女勇者,まぁ、魔王も倒しちゃったし、いらないって言えばいらないかな
商人,こ、この流れは・・・・・・マズイ！！。私の貧乏神センサーが激しく警告しています。ここにいてはマズイと・・・・・・。あっ！用事思い出しました！じゃ、これで
戦士,へ？
勇者,えー、もう少し休んでいくんじゃないのー？
商人,食料と道具を置いたらすぐ出ないと！さっ、勇者。気づいてください勇者。ほらっ、このウインクで！
勇者,？
商人,さあ、急ぎましょう
勇者,えへへー、そ、そんな誘惑されちゃったら困っちゃうなー
商人,何言ってんの！？この子。違います！
勇者,違うの？
戦士,あ、そうだ！商人、お前アレもってたよな
商人,あ、あれ？あ、これですか。はい、やくそう。修行には怪我が付き物ですからね。それじゃ！
戦士,ありがと、もらっとくよ。んでアレなんだけど
商人,あ、あれですね！はい、毒消し草。この辺蛇も多いでしょ
戦士,いやぁ、いろいろもらっちまって悪いな。んで、アレなんだけど
勇者,伝説の剣のこと？
商人,ちょっ！！！
戦士,そうそう、あれ看板にすれば人も寄ってくると思うんだ。村も発展するだろうし
勇者,そうだねー
戦士,商人、アレ譲ってくれないかな
商人,あっ・・・・・・あう・・・・・・・あうっ・・・・・・で、では買っていただけるということで？
戦士,ああ、ただなんていわねーよ
商人,これはこのお値段になります
戦士,おい！これは桁が４つか５つくらい多いんじゃないか！？
商人,わ、私はこれで売れるものと思っています。それだけの価値があると
戦士,あたし達から買ったときはこんな高くなかっただろ！！
勇者,そうだよ！もっと安い値段で買ってたよ！
商人,あの勇者さん。あなたは私の商売仲間ですよね・・・・・・
勇者,あ、そうだった、てへっ
商人,勇者さんはもう黙っててください！
戦士,お前私達を騙しやがったな！
商人,騙すとは人聞きが悪い！安く買って高く売る！これは商売の基本です
戦士,そ、それでもこれはいくらなんでも
商人,それに伝説の剣があればこの道場が流行ると思っているようですが、私はそうは思いません
戦士,なんだって？
商人,伝説の剣に集客力は確かにあるでしょう。魔王を倒した勇者の遺物の中でも最高のものですからね
勇者,あの・・・・・・私まだ死んでない
商人,それはこの世界の平和と同等の価値があるといっていいでしょう
戦士,だ、だったらそれさえあればここはもっと・・・・・・
商人,そうですか？私にはそれよりもっと素晴らしい価値のあるものがここにはあると思いますが
戦士,え？ど、どこに？
商人,それは・・・・・・戦士！あなた自身です！！
戦士,！！
商人,よし！いけるか！？。この剣は・・・・・・この剣だけは手放したくない！
戦士,あ、あたし自身・・・・・・だって！？
商人,そうです。魔王を倒した戦士さん、それ自体伝説であり、みんなの憧れでしょう
戦士,で、でも子供しか習いにこないし・・・・・・
商人,それは宣伝が足りないからです
戦士,宣伝？
商人,ええ、この道場の前以外にここがわかる看板はありますか？
戦士,いや、だってこんな狭い村じゃ必要ないし
商人,ここにではありません。世界中の町にです
戦士,町に？
商人,ええ、魔王を倒せし戦士道場とでもしてここを紹介すれば門下生などいくらでも集まるでしょう
戦士,な、なんかそれ恥ずかしくね？
商人,あなたのような超一流の戦士に剣を習えるのです。恥ずかしがる必要などありません
戦士,あははは、そ、そっかなぁ。なんか照れるなぁ
商人,ですので、伝説の剣などなくてもあなたは十分伝説です
戦士,なるほど
商人,よかった・・・・・・いけたか・・・・・・本当によかった・・・・・・・
勇者,じゃあ戦士が伝説の剣を持ったら２倍すごいね！
商人,あああ！もうこの子はあああああ！
勇者,頭かゆいの？
戦士,そりゃそうだ！商人、剣も欲しいぞ！
商人,代金をいただかない限りお譲りできません！これは商人としての誇りの問題です！
戦士,そこをなんとか・・・・・・なっ、仲間のよしみで
商人,では仲間のよしみで、この値段で
戦士,だから高いって！！
商人,これ以上はまかりません！
戦士,じゃ、じゃあ借金で・・・・・・ん？勇者そういえばあんたの借金返すあてあるの？
勇者,うん、商人と一緒に商売して帰すんだー
戦士,そ、そんな儲かるの？
勇者,すごいよ！
商人,あ、なんかまたやな予感・・・・・・
戦士,じゃああたしも・・・・・・
商人,あっ！！急に電波が来た！！呼ばれてます！これで失礼！
戦士,待て
商人,あ、あの戦士さん痛いです・・・・・・。肩が・・・・・・
戦士,商人の誇りは分かった。だからお金は払う
商人,いたたたたっ、ちょっ、ちょっと・・・・・・お金ないんでしょう？
戦士,だから体で払う
商人,体でって・・・・・・
戦士,な、何見てんだよ！違う！あたしもお前と一緒に行く
商人,あっ、電波が強くなってきた！聞こえません！何も聞こえません！
戦士,あたしも商人の商売に協力するから、なっ！
商人,ど、道場はどうするんですか！
戦士,大丈夫だって！どうせガキどもも遊び半分で来てるんだから
商人,あ、あなたに剣を教える資格はない！！
戦士,そういうことだから、よろしく、ねっ
商人,か、肩が・・・・・・
戦士,いいだろ？
商人,わ、分かりました！ただし、お金払ってくれないと絶対売りませんからね！
戦士,やった！
商人,疫病神が二人に・・・・・・
戦士,大丈夫だって！今だって商談成立させたでしょ？あたし結構商売の才能あるかも
商人,いや、今のは脅迫・・・・・・
戦士,それ商売に必要じゃね？
商人,まぁ時には必要ですが・・・・・・はぁ・・・・・・
勇者,わー、また３人で旅だ！なんか昔に戻ったみたい！
戦士,おい、勇者どこへいく
勇者,あ、いや、トイレ
戦士,部屋の中にあるぞ。そっちは廊下へ行くドアだ
勇者,えっと、その・・・・・・えへへへへ
戦士,商人のところか？
勇者,いやぁ、まぁ寝る前に挨拶しておこうかと
戦士,駄目だ
勇者,えっ？
戦士,さっさと寝ろ
勇者,な、なんでー別に変な事しないよ！一緒に寝るだけだから
戦士,何か気に食わないから
勇者,えー？
戦士,おやすみ
商人,では次は砂漠の町を目指します。あそこは大富豪が多いようですからね
勇者,はーい
戦士,へーい
商人,戦士さん、これから商売について色々教えていきますから。私のことは師匠と思うように
勇者,はーい！師匠ー！
商人,だから腕に絡まないでください！
戦士,砂漠の町っていうと結構とおいなー
商人,ええ、ですので道中十分気をつけていきましょう
戦士,気をつける？
商人,泥棒や強盗などです。商人はいつもその危険に晒されることになりますから。高価な品を持っていれば特に
戦士,んなもん、全部ぶった斬ればいいじゃん
商人,駄目です、守る剣にしたんでしょう？
戦士,守るために斬るのはいいんだよ
商人,私の指示に従ってください
戦士,へいへい
山賊,おう、てめぇらちょっと待ちな
商人,出ましたか
山賊,へへへ、ここを通りたきゃ通行料を払っていきな
戦士,よっしゃー！あたしに任せろ！
商人,駄目です！！
戦士,な、なんでだよ
勇者,商人どうする気？
商人,通行料はおいくらほどですか？
戦士,なっ！
山賊,そうだなー。荷物全部と、へへへっ、そのきれーなお嬢ちゃん二人置いていってくれればお前は通っていいぜ
商人,それはちょっとお高い
山賊,んだと！？
商人,現金であれば多少お渡ししましょう。こんなものでいかがですか？
山賊,て、てめぇ舐めてんのか？
商人,いえ、お互い怪我はしたくないでしょう。お金で済むならそれで済ませたいというだけです
山賊,怪我、俺達にか！？
商人,ええ、これでも私達は結構な使い手ですよ、やりますか
山賊,あっ、こ、こいつらあの勇者・・・・・・。でも、女二人だぞ。やっちまってもいいんじゃねーか。待て待て。危険な橋渡るこたあねぇ！てめえら金払おうっていうんだな
商人,ええ
山賊,通りな！
商人,では、これお金です
山賊,おう！
戦士,なんでやっちまわなかったんだよ！この腰抜けやろう！
商人,それはですね・・・・・・
戦士,あー、もう言い訳なんて聞きたくねー。見損なったぜ！。あれが商人の誇り！？笑わせんじゃねーよ！
勇者,せ、戦士おちついてよ
商人,ではあのまま戦って皆殺しにでもするつもりだったんですか？
戦士,そ、それは・・・・・・
商人,そこまでして守るための剣ですか？
戦士,で、でも追い払うくらいは・・・・・・
商人,それで誰かが怪我をしたら？殺してしまったら？。私達商人は全てのものがお金で買えると思っています。平和でも命でも。だからお金で解決できるならそれが一番なんですよ。勝てるとも限りませんし
戦士,勝てるさ！
商人,世の中には隠れた実力者がたくさんいるものですよ
戦士,じゃあなんでそいつは魔王討伐にいかなかったのさ！
商人,正しいことだけに力が使われるわけじゃないからです。分かりませんか？
戦士,わっかんねーよ！
商人,それは残念。もうすぐ町ですね
勇者,つかれたよー
戦士,・・・・・・
盗賊,おう！ひゃっはー。待て！
戦士,またか
商人,なにか御用でしょうか
盗賊,おうよ！親分が御用なんでい！
親分,俺の言うことはいつも一言だけだ！奪って晒せ！
盗賊,ヒャアアアアアハー！
商人,逃げますよ！
戦士,うりゃああー！
盗賊,いつつ！
戦士,逃げたきゃ一人で逃げろ！意気地なしめ！
勇者,せ、戦士
盗賊,親分ー！
親分,俺に二言目を言わせるたぁな。どっせい！
戦士,ぐあっ！け・・・・・・剣が・・・・・・
勇者,真っ二つだ・・・・・・
親分,生半可な腕で挑んできたこと後悔するなよ
盗賊,親分カックイー！
親分,せいやああ！
商人,危ない！
戦士,わっ
商人,うぐぐっ・・・・・・
勇者,い、今回復を・・・・・・
商人,そんな時間はありません。人間はモンスターみたいに待ってくれませんよ
戦士,あっ・・・・・・あっ・・・・・・そんな・・・・・・
親分,そのとおり！
商人,目潰し！！
親分,いでぇ！こんなもの！
商人,煙幕！
盗賊,ど、どこ行きやがった
商人,さあ今のうちに・・・・・・うぐぐっ
勇者,戦士！肩貸して！
戦士,あ、ああ・・・・・・
勇者,回復回復ー
戦士,まったくお前は・・・・・・
商人,いつつ・・・・・・卑怯でしたか？目潰しに煙幕なんて。でも、それが私です
戦士,そ、そうじゃねーよ
商人,？
戦士,な、なんであたしを助けたんだよ
商人,は？
戦士,お、お前は逃げようって言ってたのに聞かずに向かっていったのはあたしなのに・・・・・・
商人,そんなの当たり前じゃないですか
戦士,えっ！？
商人,だって戦士さんは私の
戦士,う、うんっ
商人,私の大事な・・・・・・
戦士,だ、大事な？
商人,弟子ですからね。弟子のケツを拭くのも師匠の役目です
戦士,はぁ！？
商人,だから気にしないでください
戦士,こんの・・・・・・馬鹿！
商人,いたっ！
勇者,戦士駄目だよ！まだ怪我してるんだから！
戦士,馬鹿！・・・・・・馬鹿！！
勇者,戦士泣いてるの？
商人,け、けつは余計でしたかね、は・・・・・・ははは。ごめんなさい
戦士,馬鹿・・・・・・
商人,いやぁ、被害も最低限で着いてよかったですね
戦士,最低限じゃねーよ！
商人,ええ、まぁ、ちょっとだけお金減りましたけど
戦士,お、お前の体は最低限じゃねーっての！///
商人,え？
勇者,戦士顔赤いよ？
戦士,うっ、うっさい！疲れたから今日は休もう！
商人,そうですね、荷物と馬車預けてきます
勇者,やっとベッドで休めるー
商人,あ、あの戦士さん、なんで私のベッドに・・・・・・
戦士,勇者がお風呂入ってる間にちょっと話したいことが・・・・・・ごにょごにょ
商人,ち、近いですって！
戦士,嫌か？
商人,そ、そんなことないですけど
戦士,そうだよな。あたし見たいなガサツな女魅力ないもんな・・・・・・
商人,そんなことないですよ
戦士,え？
商人,戦士さんは十分魅力的な女の子ですよ、どうしたんですか、元気ないですね
戦士,そ、そお？魅力的？み、魅力的って言われちゃった///
商人,な、なんでくっつくんですか！
戦士,な、なぁ・・・・・・お金で買えないものはないって言ってたよな
商人,ええ、まぁ
戦士,じゃ、じゃあ何であの時あたしを庇ったり、その一緒に旅に同行させたりしてんだよ
商人,へっ？
戦士,お金が大事なんだろ？それなのに損することばかりしてねーか？
商人,私には全部お金で世の中が見えるんですよ。剣の値段、鎧の値段、国の値段。人の気持ちの値段、幸せの値段、やさしさの値段。だから私の守ったものの値段もお金で換算されています
戦士,い、いくらくらいだよ。あたしの値段は
商人,ふふふっ、秘密です
戦士,で、でも商人にだったら・・・・・・あたしの値段全部あげても・・・・・・
勇者,あーーっ！いいお風呂だったー
戦士,は、ははははははやかったな！ゆゆゆ勇者！。あ、あたし何言ってたんだ。頭がボーっとして
商人,///
戦士,商人が顔赤くしてる・・・・・・。も、もしかして商人もあたしのこと・・・・・・
商人,ふ、服！
戦士,服？
商人,服くらい着て出てきてください！勇者さん！
勇者,だって暑かったんだもん。あーっ、赤くなってる。見た？見たっしょ？
商人,見てません！
戦士,・・・・・・
商人,やっとこれで逃げられますかね。私には夢があるのです。いつか世界をまたにかけた大きな貿易の中心に立つという夢が。そのためにはこんなところで立ち止まってはいられません。さすがに疫病神二人はきつすぎます。お金も手紙も残していきますし、大丈夫でしょう。朝になったら二人が寝てるうちにでましょう。出ましょう・・・・・・と思っていたのに。なんで二人とも私のベッドで腕掴んで寝てるんですか！。はっ、まさか先手をうたれた！？この私が！？
勇者,んぅー、もう朝ぁ？あと５分～
戦士,ああーなんかいい夢見た・・・・・・って商人！？なんでここに！
商人,それは私の台詞です
戦士,い、いやぁ、寝相が悪くってさぁ、悪い悪い///
勇者,わたしも寝相がー
戦士,いや、あんたと商人のベッド端っこ同士だし！真ん中のあたしなら分かるけど何であんたが逆の端に来てんだよ！
勇者,それはもうすごい寝相で、えへへ
戦士,この・・・・・・
商人,はぁ・・・・・・もういいです。一緒にいきましょう
戦士,おう！
勇者,はーい。あの、二人とも私の腕に捕まるのやめてくれませんか？。いいじゃん、ねー。あったかいし。ここ砂漠ですよ
戦士,あたしは片方だけじゃバランス悪いだろうから仕方なくだよ。べ、別にやりたくてやってんじゃねーからな！
商人,動きにくいんですが
勇者,いいからいいから
戦士,そうそう
宿屋,お客さん、昨晩は二人相手にハッスルですか。お楽しみでしたね。うひひひひひ
商人,あの・・・・・・余計な事言わずにお会計してください。では私は富豪の方々と交渉にいってきますので、お店お願いしますね
勇者,はーい
戦士,任せろ！
商人,これが売値の表、これが買値の表ですからね
勇者,うん
戦士,了解
商人,そして、これが売値の表、これが買値の表ですからね
勇者,なんで二回いったし
商人,最後に、これが売値の表、これが買値の表ですからね
勇者,３回目！？
商人,間違えないようにお願いしますね。あと割引は１割まで。それ以上つけてはいけませんよ
戦士,な、なんかこまけぇな
勇者,大丈夫大丈夫。私でも出来たんだから
商人,じゃあお願いしますね
勇者,ほらっ、これ被って
戦士,な、なんだよこのフード
勇者,これ被って売らないとだめなの
戦士,な、なんで？
勇者,えーっと商品価値がなんとか
戦士,はぁ？こんなの被ってられるか
勇者,商人がそうしないとって
戦士,し、仕方ねぇな。被っておくか・・・・・・
勇者,いらっしゃい！いらっしゃーい！
戦士,い・・・・・・いらっっしゃ・・・・・・・い
勇者,駄目だよ。戦士、もっと大きな声出さないと
戦士,な、なんだよ偉そうに
勇者,私これでも先輩店員ですから
戦士,大して違わないだろ
勇者,さぁさぁ、寄ってらっしゃい見てらっしゃい。あの超絶可愛くて、超絶かっこよくて、超絶モテモテの勇者様一行の武具放出品だよー
戦士,あ、あんたよく恥ずかしげもなくそんなこといえるな・・・・・・
勇者,えー、何が？
戦士,いや、超絶可愛くてってところから
勇者,だって事実だし
戦士,こ、こいつは・・・・・・。い、いらっしゃい！
勇者,そうだよー
戦士,ど、どうぞ
勇者,そ、それ汗臭いっていうんじゃ・・・・・・
戦士,な、何してるんだ！！？。お、おい！
勇者,や、やめてよ！。ちょっ、ちょっとやめて！やめてよ
戦士,て、てめぇらそれ以上卑猥な事言ったら
勇者,こ、この・・・・・・
戦士,変態どもがああああああああああああ！
商人,さすが富豪の集まる町ですね。結構売れました。これならあの二人と一緒でも旅に支障はないかもしれませんね。あれ？あの騒ぎは？。こ、これは・・・・・・。酷い・・・・・・この一角が破壊されてる。大丈夫ですか？。やくそうですか。さっ、使ってください。代金はこれだけになります。私は商売人ですので。毎度、で、何があったんですか？。それで二人はどこに？。そうですか、ありがとうございました。こちらは情報料です。やくそうですから使ってください。なんでも売ります。何でも買います。それが商人ですので
勇者,ううっ・・・・・・ぐすっ。どうしよう。どうしよう戦士ー
戦士,泣いてても捕まっちゃったんだからしょうがないだろ
勇者,捕まったことじゃないよ。こ、今度こそ商人に嫌われちゃうよー
戦士,嫌われる・・・・・・
勇者,絶対商人今困ってるよ
戦士,ま、まぁなぁ
勇者,もしかしたら私達見捨てて言っちゃうかも・・・・・・
戦士,や、やだ！それは・・・・・・やだ・・・・・・うっ・・・・・・うっ・・・・・・
勇者,せ、戦士まで泣かないでよぉ、ぐすっ
戦士,で、でもしょうがねーじゃん・・・・・・あれだけやっちゃったんだから・・・・・・。商人・・・・・・会いたいよぉ・・・・・・
勇者,戦士・・・・・・商人のこと好き？
戦士,な、何いきなり聞いてんだよ！
勇者,どのくらい好き？
戦士,いや、なんで好きが前提なんだよ
勇者,えへへー、見てれば分かるよー
戦士,べ、別に好きじゃねーよ
勇者,うそだー
戦士,うっ・・・・・・だ、誰にも言うなよ！
勇者,うん
戦士,この世界全部くらい好きだ
勇者,じゃあ私の勝ち！私は宇宙全部くらい好きだから
戦士,す、ずりぃぞ！
商人,何がずるいんですか？
勇者,！？
戦士,きゃっ！！
勇者,き、聞いてたの！？
商人,いえ、今きたところですので。何のことです
戦士,なんでもない！なんでもないからな！
商人,そうですか、では行きましょうか
勇者,え？
戦士,でもあたしたち捕まっちまって
商人,釈放の手続きは済ませてます
勇者,え？ど、どうやって？
商人,それは後ほど、早く行きましょう。こうして余り長く話すのも許されていませんので
戦士,どういうことだよ
商人,いやぁ、まぁ、罪は許してもらったんですが、国外追放ってことで。さっ、いきましょう
勇者,う、うん・・・・・・
戦士,ああ
商人,分かってますよ。出て行きますから
勇者,商人ー
戦士,商人
商人,大丈夫ですよ、二人とも。さぁて次の町目指しますか
戦士,ま、待てよ！
商人,何ですか？
戦士,な、何でだよ・・・・・・
商人,は？
戦士,な、何で助けに来てくれたんだよ
勇者,うん！それにどうやって
商人,いや、まぁ、誠心誠意謝って、被害を補償すれば大方の人は許してくれます
戦士,じゃ、じゃあやっぱり迷惑を・・・・・・
勇者,商人ごめんなさい
商人,いえいえ、高価なものがいくつか売れましたので、大丈夫ですよ
戦士,じゃ、じゃあ伝説の剣も売れちまったのか。ま、まぁしかたねぇけど
商人,はぁ？何を言っているんですか？
戦士,え？
商人,これは戦士さんにご予約いただいているんだから売るわけないじゃないですか
戦士,しょ、商人・・・・・・ううっ・・・・・・ぐすっ
勇者,あー、泣かしたー
商人,えっ？私が悪いんですか！？
勇者,そうだよ！あっ！そういえば！
商人,な、なんです？
勇者,私達の武具をいやらしい目的で買おうとした人たちにも売ってたんでしょ！
商人,え・・・・・・ええ！？
戦士,そ、そうだ。もとはといえば・・・・・・
勇者,なんであんなものまで売ってったの！
商人,そ、それは・・・・・・
戦士,そうだった・・・・・・泣いて損した。お前・・・・・・覚悟はできてるだろうな
商人,わ、私は商売人・・・・・・だから
勇者,へぇ・・・・・・それで？
商人,私は何でも売る！何でも買う！たとえそれが男の劣情でも！！私は商売人なんだから！
勇者,言いたいことは・・・・・・
戦士,それだけかああああああああ！
勇者,回復、回復・・・・・・
戦士,ち、ちっとやりすぎちまったかな・・・・・・
勇者,う、うん・・・・・・助けに来てくれたのにね
戦士,あのまま放っていっちまってもよかったのにな
勇者,なんで来てくれたんだろう？
戦士,さぁ
商人,わ、私が商売人だからです・・・・・・よ・・・・・・いつつ
戦士,わ、生きてた！
勇者,生きてるよ！
商人,私は何でも買います。それが私の心の安心でも
戦士,心の安心？
勇者,？
商人,二人をあのまま見捨てたら安心してこの先進めませんからね
勇者,商人・・・・・・
戦士,で、でもあんないやらしい商売はもうだめだからな！
商人,わ、私はそんなつもりで売ってたんじゃないですよ。買う人が勝手に・・・・・・
勇者,言い訳しない！
商人,はい・・・・・・。それで、次の行き先ですが
勇者,あ、落ちたよ。あ、あの経理簿だ
戦士,ちょっと見せてみろ。あっ！
商人,おっと、すみません。拾ってくれて
戦士,ご、ごめ・・・・・・
商人,な、何言ってるんですか！次の町ですよ！。次は大聖堂のある教会都市です。世界中からお布施が集まる都市ですよ
勇者,へぇー、あそこ一度いってみたかったんだー
戦士,あんたそんな信心深かったっけ？
勇者,ううん、全然。大聖堂が見たい！。すごーい！でっかいなぁ
商人,あれが大聖堂ですね
戦士,あれだろ？選ばれた神官や僧侶じゃないと入れないって言う
商人,ええ、でも別に中に入らなくても商売は出来ますからね
戦士,お坊さんにそんな武具売れるか？
商人,こういった聖遺物は教会は大金を出してでも欲しがるでしょうから需要はあると思いますよ
勇者,だから私死んでないって！
僧侶,あら、みなさんお揃いで
勇者,僧侶！どうしてこんなところに！？
僧侶,どうしては私の方ですよ。なんでみなさんがこのような神聖な場所に？
戦士,あ、何気にひどい
商人,確かにお金に汚れてますけど
僧侶,そのようなつもりはなかったのですが・・・・・お久しぶりです。みなさん
商人,お久しぶりです
勇者,あ、今僧侶の胸見た！
僧侶,えっ！？
商人,み、見てません！
戦士,おっきけりゃいいってもんじゃないだろ
僧侶,んもぅ・・・・・・商人さんは相変わらずですね
商人,え、私ってそういう目でみんなに見られてたんですか？
僧侶,それでみなさんはどのようなご用件で？
商人,ええ、商売で参りました
勇者,私は商人に借金で縛られて、あんなことやこんなことまで・・・・・・
戦士,あたしも似たようなものだな
僧侶,ふ、不潔な！！そこまでだったなんて！見損ないましたよ！。Hな事はいけないと思います！！
商人,そ、それ前やりましたから！
僧侶,今すぐ立ち去りなさい！！穢れます！
商人,だ、だから・・・・・・
僧侶,ち、近づかないで！人を呼びますよ。さぁ、勇者様、戦士さん、こちらへ
商人,だ、だから・・・・・・
僧侶,いや！！
戦士,うわぁ、いたそー
勇者,あ、あの、僧侶、今の冗談だから
僧侶,へ？
戦士,僧侶も相変わらず真面目だなー
商人,痛い・・・・・・
僧侶,あ、あらあら！ど、どうしましょう
勇者,僧侶！深呼吸！
僧侶,はぁーっ、ふぅーっ。と、取り乱しまして、あの・・・・・・商人さん
商人,はい
僧侶,ごめんなさい
勇者,だめだよー、僧侶。暴力は
戦士,あんたが言うな
商人,戦士さんもですよ・・・・・・もう。僧侶さんはどうしてこちらへ？
僧侶,え、ええ。分かれた後こちらに呼ばれまして、色々大聖堂のお手伝いをさせていただいてます
商人,そうでしたか。立派になりましたね
僧侶,いえいえ。あ、そうです。みなさんも折角ですから大聖堂の再建にご寄付をしていきませんか？
商人,え？
戦士,寄付？
勇者,再建ってすごくおっきくて綺麗だよー
僧侶,どうも老朽化が進んでいるようで、随分お金が必要と大神父様がおっしゃってまして
商人,うっ！！こ、この寒気は！！
僧侶,それで・・・・・・
商人,ま、待って！待ってください。なんかその後聞きたくないです！お願いします！
勇者,何言ってるの？商人
戦士,ああ、まだ話の途中だろ
商人,おお！神よ！何ゆえあなたは私にこのような試練をお与えになるのか！
僧侶,それで私貰ったお金も全部・・・・・・
商人,あーっあっーあっー！きーこーえーまーせーんー！
戦士,聞けよ
商人,や、やめて！何で私には貧乏神ばっかり！
勇者,どうぞ
僧侶,は、はい。それで私貰ったお金全部ご寄付させていただいたんです
勇者,へぇー、さすが僧侶は偉いなぁ
僧侶,あ、ありがとうございます。でもそれだけじゃ大聖堂再建のお金には足りないらしくて、こうして寄付を募ってるんです
勇者,あんなに寄付しても駄目なんだー
戦士,いったいいくらかかるんだよ
僧侶,それがこれくらいらしいです
勇者,えええ！？
戦士,これ・・・・・・無理だろ
商人,ああ・・・・・・これは・・・・・・
僧侶,どうかなさいましたか？
商人,いえ、言いにくいですが、これは大聖堂再建の金額ではありませんね
僧侶,えっ！？ど、どういうことですか？
商人,宗教によくある手ですよ。見える分かりやすいものに必要だと言ってお金を出してもらうのは
僧侶,えっ？えっ？
商人,はっきり言って、この金額があったら大聖堂が１０個は作れます。いえ、私がやれば１５個は作って見せますよ
戦士,ま、マジかよ
勇者,１５個もあったらすごく綺麗だろうなぁ・・・・・・
戦士,騙されたっていうのか？
僧侶,だ、大神父様がそのようなことをなさるはずがありません！
商人,騙しているかどうかはまだわかりませんよ
勇者,どゆこと？
商人,宗教というのはお金のかかるものです。それもこれだけ大規模なものとなると相当なものでしょう。信者への施しや、神父や僧侶の生活費、小物、服、それに建物の維持費などたくさん必要でしょうね。だから名目はともかくお金が必要なのが宗教です。だから寄付やお布施が必要になるんです
僧侶,じゃ、じゃあ大神父様は・・・・・・
商人,いえ、潔白かどうかはまだわかりませんね。それにこの手口。ちょっと臭いですね
勇者,わ、私じゃないよ！
戦士,あ、あたしでもないからな！
僧侶,す、すみません///わ・・・・・・私です///
商人,・・・・・・
戦士,おい、何もしないってどういうことだよ！
勇者,そうだよ！僧侶がかわいそうだよ！
商人,勘違いしないでください。私はここには商売できたんですから。それに騙されてると決まっているわけでもない
僧侶,い、いいんです。みなさん。私は大神父様を信じていますから
勇者,僧侶・・・・・・
戦士,ほんとにいいのか？
僧侶,はい、みなさんにまた会えてうれしかったです。勇者様、戦士さん、変態さん・・・・・・あっ、失礼かみました。商人さん
商人,どういう噛み方ですか
勇者,商人ッたらさっき僧侶がおならした後息が荒くなっていたもんねー
戦士,鼻の穴も膨らんでたな。変態でいいよ
商人,言いがかりです！
僧侶,まぁまぁいいではありませんか
商人,よくないです！
僧侶,商売とはどのような？
商人,勇者の聖遺物を売りに来ました
勇者,だから殺さないで！
僧侶,それはきっと教会のみなさんも喜びます
商人,案内してくれますか？
僧侶,はい、では大神父様のおられる聖堂まで
勇者,え？僧侶大聖堂行けるの？
僧侶,ええ、寄付金額が多いほど位も高いらしくて、な、なんか大僧正やっちゃったりしてます///
戦士,へぇー、あの僧侶がねー
僧侶,すみません、こんな私がすみません
商人,いえ、僧侶さんはもっと上の身分でも勤まりますよ
僧侶,へ？
商人,では案内していただけますか。商売の時間です
僧侶,こ、この部屋でお待ちです。アポイント取れました
勇者,さすが大僧正！やるー
戦士,で、お前はなんでそんな変装してるんだ？商人
商人,念のためですよ。ええ、念のため
勇者,ぷっ・・・・・・ヒゲ全然似合ってないよ
戦士,ほ、ほんと！そのメガネも、ぶくくっ
商人,これでいいんですよ。ではいきましょう
大神父,よくいらっしゃいました
商人,はじめまして。豪商と申します
勇者,へ？
商人,しっ！
大神父,豪商様ですか。よくいらっしゃいました。そちらのお二人は？
商人,私の弟子です。まだ駆け出しですが
勇者,よろしくー
女戦士,ふんっ
大神官,お二人とも顔がフードで見えませんが・・・・・・
商人,慎み深さを商売のもっとうにしておりますので
僧侶,あ、あの・・・・・
大神官,ああ、ご苦労様でした。下がっていいですよ
僧侶,は、はい
大神官,それで聖遺物をお売りになりたいとか
商人,はい
大神官,では、二人だけでお話させていただきたい
商人,わかりました。下がってください。お弟子さん
勇者,ぶー
戦士,・・・・・・
大神官,ありがとうございます。それでお売りになりたい聖遺物はこちらに？
商人,はい、これです
大神官,お・・・・・おお・・・・・・これは・・・・・・。す、すばらしい・・・・・・これほどの物を扱っているとは、いやはや羨ましい
商人,羨ましい？
大神官,い、いえ。素晴らしい品です
商人,大神官様？どこかで会ったことありませんか？
大神官,？。いえ・・・・？
商人,そうですか、私の勘違いでした
大神官,それで豪商様はこれをどちらで・・・・・・？
商人,それは勇者様たちから直接買い付けました
大神官,ほほぅ！なるほど、本物のようです
商人,気に入っていただけたようで
大神官,そ、それでこれはおいくらで？
商人,高いですよ？
大神官,分かっております。しかし、これほどのものが手に入り象徴となれば・・・・・・
商人,もっと信者が増え、それ以上の収入となる
大神官,！！？
商人,いえ、いいんですよ。私は商売人です。それに大神官様も商売人と見えます。いい取引をしたいのです
大神官,いい取引？
商人,お互い腹の中は晒していきましょう。私もお金が大好きです
大神官,ふふっ、あなたとは話が合いそうだ。それで、取引とは？
商人,これらの商品は寄付しましょう。大聖堂建て替えの費用として
大神官,へっ？く、くれるんですか？
商人,その代わり大聖堂の建築を私に任せていただきたい
大神官,そんなことでいいんですか？
商人,そんなことじゃありません。大聖堂を建築したという名は終生語り継がれることでしょう
大神官,なるほど
商人,商売に必要なのはその知名度とコネです。これで私はその両方を手に入れる
大神官,あなたの商才には感服いたします
商人,いえいえ、あなたの商才もたいしたものです
大神官,ははははは、めっそうもない
商人,教会の他の建物も建て替える時はぜひ声をかけてください
大神官,わかりました。ご協力しましょう。いやぁ、いい取引になりそうです
商人,では、契約書は明日持ってまいりますので
大神官,はい、ではまた明日に
戦士,はぁ！？寄付した？
勇者,大聖堂の建て替えを請け負ったって！？
僧侶,あ、あの・・・・・・それはうれしいのですが、なんで急に・・・・・・
商人,いえ、臭い臭いとは思っていましたが、それが大当たりでしたので
僧侶,こ、今度は私じゃありませんよ！
戦士,あ、あたしも！
勇者,ごめん///
