ルイーダ,という訳で、晴れて貴方は魔王討伐の旅へ出る冒険者に選ばれましたー。これに反対するって事は、王様への反逆z。若者は苦労を買って出ないとねぇ。で、PTについてだけど。貴方には三人でPTを組んでもらう事になったわ。そうよ三人PTよ。三人PTよ。三人よ。犬になるか配合されたいのね。あー戦士君とかの事ね。不思議な事にあの子の訃報が伝えられてしばらく。忽然といなくなったのよね。というか貴方含めて三人しか残っていないの。貴方含めて、冒険者は三人しかいません。いないわよ？。すばしっこい盗賊の貴方。性格の事が？。何事にも迅速に対処する。速さなら誰にも負けない……。早漏。で、他が頭脳明晰の魔法使い。期待の三人目はっ！。お調子者の遊び人。じゃ、頑張ってねー
魔法,追えない。というか大惨事じゃないそれ。何か昨日、地震と共に穴が広がったそうよ
遊び,……ゾーマ？。普通に考えたら頭おかしい発言
魔法,数階の塔から飛び降りているものね。まあ……普通の初見の人はアレフガルドってだけで凄いテンション上がるけどもね
遊び,テンション上がりすぎて涙出るほどだったなぁ
魔法,とりあえず適当に進むしかないのかしら？
遊び,おお、スライム！ここ、この世界の序盤位置？。あるぇー？
魔法,流石にこれはどうツッコミを入れればいいのかしら
遊び,それよりオルテガがいるっぽいね
魔法,何とか勇者ちゃんの事を伝えたいわね
遊び,みたいだね
魔法,というか、キメラって上の世界じゃ見かけなかったけど、一体なんなの？
遊び,汝が久しく深淵を見入るとき深淵もまた汝を見入るのである。無理ぃぃ絶対無理ぃぃ
魔法,この洞窟、魔法が使えないわよ。魔法解禁でも勝てないわね
遊び,やべぇ出ようよ！
魔法,凄いわね……どうやって封じているのかしら
遊び,ひぎゃあああ青い八岐大蛇が出たぁぁぁ
魔法,生きている事が不思議ね
遊び,お宝いっぱいだぁ！
魔法,中身開けてもいない宝箱で喜ぶなんて……
遊び,うおわぁ！ミミックぅ！
魔法,全くね
遊び,ねえこれ……やばいフラｇ。今？！。というかこの人達どうやって暮らしているの
魔法,貴方より強いのは確かね
遊び,た、タンスからモヒカンの毛が出てきた……
魔法,せ、世紀末救世主……
遊び,うわーん、地図ないのかなぁ
魔法,敵は強いし不味いわねぇ……
遊び,さっきの洞窟だぁね。ちゃんと探索しないからだぁ！無駄骨に対する謝罪を要求する！
魔法,こればっかりは擁護できないわね。痛恨の一撃で遊び人が沈んだわ……
遊び,ペロッ。これは帝愛グループの味っ！
魔法,不吉な事言わないの。良くやったわ盗賊！
遊び,ここぞとばかりの喜びよう。……あれって、ここと魔王軍との癒ｔｙ
魔法,言わない方がいいわよ。あたしも巻き込まれたくないし……。すごろく場３のドラゴンテイル以来の換装ね
遊び,超ダイジェスト
魔法,何か効果あるのかしら？
遊び,ちょっとオイラにも……
魔法,勇者ちゃん気づいてくれると良いわね
遊び,次に会う時着てたりして。やばい、今すぐ会いたいなぁ。途中の洞窟ガン無視だったね
魔法,どうせあたし達に装備できるものなんてそう多くないんだしね
遊び,銃の威力は豆鉄砲だがオリハルコン弾は魔法則を帯びている
魔法,極限まで薄くしましょうか
遊び,良い値で売れたな！。燦々と輝き飾られる王者の剣の姿が！！
魔法,あたし達に支払われた金額に上乗せされているわね。さあ？勇者ちゃんの事じゃないの？
遊び,でもこの間の十一月で勇者死んだよねぇ。なにこいつお金ざっくざｋｋひでぶぅ！
魔法,そいつこの近辺だと何気に大魔神の次に攻撃力あるわよ……
遊び,銀行のお金上げるなんて言わなければ良いのに
魔法,力の盾にミスリルヘルム、見鏡の盾……結構な金額ね。貴方の分買えないわね……。じゃあラスト一戦って事で
ホロゴースト,即死の恐怖をお裾分け
遊び,世界樹の葉って便利
魔法,勇者ちゃん分が補給できない……
遊び,なら遊び人ちゃん分を補給させてあげるだぁよ。痛！痛い！ごめんなさい！ごめんなさい！
魔法,ま、このレベルだと全滅するでしょうけどね……。バシルーラで盗賊が飛ばされたわ
遊び,ドラゴン三体も残っているんだけどどうするのこれ
魔法,棺桶引きつつアリアハンへルーラ。事も無げに遊び人の棺桶に腰掛けたわね。忍び足でやり過ごす？。あら、ラリホーが効くのね
遊び,ここがおいらのオンステージだぜぇい！。うおらあああああああ！！！
魔法,何気に凄いのかしら……アレ
遊び,あれは削りきれないね
魔法,アークマージは魔法が効きにくいからね
遊び,剣類の道具効果全滅だぁね
魔法,これは……もう
遊び,い、息はあるみたいだぁよ！。どうするのこの遺言……
魔法,お、重たすぎるわ……
遊び,今のはメラゾーマではない。メラだ！
魔法,錬成している訳じゃないから威力上がらないわよ
遊び,あ、これを飲み込めばもしや！
魔法,手伝うわ
遊び,あ、や、冗談ですよぉやだなぁじょうｄあががががが
魔法,あたしはMMPが１８上がったわ
遊び,オイラMHPが３５、素早さが３上がったよー
魔法,セーブポイントに
ゾーマ,出でよ我が僕達！
遊び,こいつはやべぇーぜ！
魔法,祈りの指輪全開でいくわよ！
遊び,と、盗賊で８０ダメージ
魔法,スクルト！スクルト！賢者の石！。ま、全くね
遊び,え……気持ち悪い……
魔法,褒められなれていない遊び人がドン引きしているわ……
遊び,ひぎゃああ！
魔法,腐ってもバラモスね！。スクルト！
遊び,PT最堅を誇る魔法使いが……。まだあわてるようなｚ。これならいけそうだぁよ！
魔法,ゴリ押しいけそうね！
遊び,うぃーヒック！おうこら盗賊ぅ、なにリーダー面してんだぁよぉ
魔法,ああもうばか！。なんかもう駄目な気がする
遊び,早いよ！
魔法,まさか……
勇者,あたしも戦います！戦わせて下さい！！
魔法,ダメよ！勇者ちゃんには……
勇者,！はい！！
遊び,あれ……今オイラの名前出てこなかった？。物理もつええええ！
魔法,く……回復が追いつかない！
勇者,任せてください！ベホマズン！
遊び†,
魔法,魔法使う余裕も無いわ！
勇者,ベホマズ……
ゾーマ,フハハハ！滅びるが良い！
魔法,分かりきった事をしないの！
勇者,あ、遊び人さん……
魔法,あたしもHP７０よ！
勇者,魔法使いさんにベホマ！
魔法,賢者の石！
ゾーマ,フハハハ！何処までも耐え、もがき苦しめ！それこそ我が糧よ！
勇者,草薙の剣！
魔法,空打ちきた！賢者の石よ！
遊び,オイラ完・全・復・活！ゾーマ！覚悟ぉ！。迸る激情！滾る闘魂！くらぇ！雷のｔ
遊び人†,
魔法,復活の杖禁止
勇者,イリュージョンシールド……。たあああ！
ゾーマ,お、おのれ……
魔法,みたいね……
ゾーマ,わ、忘れるな……光あるところに闇もまたある……その時には、お前達は生きていまい
魔法,あ、今思ったのだけれども、あたしが勇者ちゃんにモシャスすればもっと楽に戦えたかも
勇者,どうなんでしょう……でももし装備の耐性が得られるんでしたら凄いかもしれませんね
ゾーマ,ごふっ！
魔法,リレミトが効かないんだけども
勇者,というかなにか変なBGMが！
魔法,定番ね
勇者,えーと……とりあえず、遊び人さん蘇生しますね。MP尽きました……
魔法,忍び足でここを抜けましょ
遊び人†,
勇者,あとまたBGMが変わりました
魔法,脱出BGMがリドリー戦版ね。更なる地下世界行きかしら
勇者,ゾーマのゾンビ？！復活早すぎじゃないですか？！。あれ？なんか地鳴りというか
魔法,あら本当ね……。あ、明かりが
勇者,これって浮き上がっているのかな？
魔法,っち……ここは魔法が封じられているのね
勇者,そ、それにしてもここって何処でしょうか？
魔法,……ここって盾があった洞窟かしら？。結局、あの穴はなんだったのかしらね？
勇者,さあ……？
魔法,それが崩れた今、安心していいのかしら？
勇者,あたし達の世界は盗賊さん達だけで救いましたからね……
魔法,というよりも、ここで遊び人をハブらなかった盗賊は大人ね
勇者,あの……それ遊び人さんが、じゃなくて杖の担い手が欲しいだけじゃ……
魔法,戦士や武道家なら尚良しね。見て！東の空！
勇者,あ……太陽……
魔法,あの時の日の暖かさは今でも覚えている
勇者,えっと、えっと
魔法,ごめんね、後でちゃんと全巻貸すからね
勇者,え、あ、ありがとうございます
魔法,さあお城に行きましょうか
勇者,はい！。……あ。あの、あたしお役に立ててましたでしょうか？
魔法,攻撃の七割は勇者ちゃんが与えたようなものだし
勇者,一厘が遊び人さんの雷の杖でしょうか……
魔法,思ったのだけれどもあれ、絶対に防御させておけばもう少し壁になったわよね。いやあたしにもいるんだけど
遊び,オイラにもいるぞ！。なんで知ってんの……？
魔法,というか何時の間に復活してたの？
勇者,あ……袋の中にあった世界樹の葉を使ったのですが駄目でしたでしょうか……？
魔法,勇者ちゃん可愛い！許す！！
遊び,もっと早く使って！。え、この人本気で言ってる……
魔法,これからは元の世界に戻る手段を探しましょうか
勇者,……
遊び,……どうやって探そうか？
勇者,……いえ、あたしは皆さんとこのアレフガルドで頑張ろうと思います。……辛い事は辛いですけども、でもあたしももう子供じゃありません。それにお母さんはお父さんのお葬式の時でも泣きませんでした……あたしの尊敬する強い女性です。おじいちゃんも年の割には元気です。……。……元気すぎて叔父、叔母が生まれていない事を祈るぐらいです
魔法,そんなにパワフルなの……
勇者,孫がいなくなって好き放題してそうで恐い……長い事死んでたし
遊び,触れちゃいけなさそうだぁね……
魔法,何でここで暮らしているのかしらあたし達
勇者,お魚いっぱい釣れましたよ！。……でも遊び人さんが高波に攫われちゃったんですけど
魔法,いいんじゃない？
勇者,ええぇぇぇ……
