・このSSは,静・ジョースターの奇妙な日常
静,悪いんだけど……何の話？……ちょ、ちょっと……ヤバい話じゃあ……ないの？
純,バ～～カ！200万円稼ぐってえのはね、1万円稼ぐのの200倍苦労がいるのよ？当然だけどッ。……とりあえず片っ端から呼んでみるわね？あ！ビデオ撮って裏でさばけば、もう少し楽出来るか。……貴方はもう表歩けなくなるけどね。キャハハハハハハ！
静,ゴメン。マジで悪いとは思う。だけど……それは無しでッ
純,……はあ？
静,無し。……そ、それ以外で……お願いします
純,……あんたさあ、世の中ナメてるの？普通にお金稼ぐのだって、時間とか体力とか様々なモン捨てなきゃあならないのよ？大金稼ぐんだったらさあ、カラダだって捨てなきゃ――
静,オ・ネ・ガ・イ・シ・マ・ス！！
純,……ったく……しょ～～がねぇ～～なぁ～～ッ……。あそこの塀の上に植木鉢がひとつ見えるわね？
静,……
純,あの鉢を持ち上げて底をのぞいてみな。おっと、近づかないでよ？距離をとって……貴方だけでやってよ？
静,……
純,そこにさあ～～……結構大きな橋があるじゃあない？一級河川一小川にかかってるヤツ
静,……
純,その橋を渡りきった所に、ポストがある。……橋を渡りきって、その包みをポストの下に置け
静,……
純,……それだけよ……そうしたら、受取人の女がそれをもらうからね
静,……この包みは何？なんのために……中身は何？
純,そんな事知ってどうすんのォ～～？持って渡って置け……私何か難しい事言ってる？
静,きッ……聞く権利はあるわ。私が運ぶんだから……権利はあるッ
純,……ハァ～～……ひとり言、だけどねェ……
静,……
純,今、裏の世界で……流行ってる麻薬がある……のよねェ～～……
静,！！……まッ……？
純,おい、うっせぇーぞミソッカスが。私はひとり言を言ってんだ。……イチイチ反応してンなよなァ～～？
静,……
純,……その麻薬はさあ、ペーパードラッグって言われてて……日本語で紙麻薬……見た目も純度も普通のヤクなんだけどさあ……絶対に足がつかないの
静,……
純,なんでかって言うとそのクスリ、逸話があってねえ。……ある一人の中毒者ジャンキー
静,……
純,……バカみたいな話でしょ？けどマジよ。中毒者ジャンキー
静,……
純,そんな訳だからさァ～～……もし貴方が捕まっても……私や他の誰かさんに被害は出ないって訳
静,……
純,……おい、聞いてんのか？耳クソつまってんのかァ？私は今アンタに話しかけてんだぜ……返事したらどうなんだ？エ？
静,……エニグマの……紙、って事……？
純,はあ？意味わかんない。何言ってんの？
静,……
純,とにかく、アンタはそれを置けばいい。……それが200万円分の行動よ。静……。働いてもらうわよ？……200万円分
静,ぐ……グレートに、ヤバいかもね……泣いちゃいそう
純,……それを持っていく前に……いくつかルールを決めておこうか？
静,……
純,絶対に守るべきルールよ。取り引きが円滑に上手くいくようにするためのルール。破ったら……貴女や虻村くんの身体がどうなるか、わかんないわよ？脅しかけるようだけどね……
静,……どんなの？
純,んー……そうね。まず一つ……スタンドを使う事を禁ずる
静,！……何故？
純,何故？理由いるの？……まあ、あるけどさぁ～～。貴女は今からそれを持って歩く訳だけど……貴女はすでに監視されている……
静,……
純,遠くからね。あの大きーな橋を渡る所もしっかり監視されてる。受取人の女から。……それを持って橋を渡るというのが、取り引きの条件なのよ。向こうはそれを見て行動を開始する……
静,……
純,透明になったら、渡ってる所が見えなくなるでしょう？スタンドで何かを動かしたりでもしたら、相手が不信に思っちゃうわ。だから禁ずる……私何か間違った事言ってる？
静,……わかったわ。スタンドは使わない
純,良し。……二つ目。アンタがもしも……いい？もしもの話よ？もしも……捕まったりでもしたら……
静,……
純,私も他の人も無関係……OK？もしも捕まったりしても、決して口を割らない。自分一人の責任よ……
静,……
純,ハイ！今言った事を復唱しろ。もしも捕まったら、貴女はどうする？
静,……口を割らない……全部、あたしの責任って事にする……
純,いいじゃあないの。わかってるわね……ああけど、勘違いしないで
静,何？
純,私は取り引きが上手くいくようにって願ってる。……取り引きの成立は金儲けに繋がるからね。貴女が捕まるって事は、私としても不本意なの。……今のは最悪のケース、万が一っていう可能性の、予防線の話よ
静,……わかった
純,最後。三つ目……。逃げるな
静,……
純,……説明はいらないわよね？代償は相当高くつくわよ。貴女は逃げる事無く、橋を渡りきり、ポストの下にそれを置けばいい
静,……
純,あら、意外と簡単ね。こんなので200万円稼げるなんて、マイク・タイソン以上に幸運ラッキー
静,……。あそこにいる人は……警官なの？
純,どの人？……質問多いわね、貴女
静,……
純,あのさあ……貴女もしかして、警官に追われる心当たりとかあるの？
静,……いや
純,じゃあ……なんの問題もないわね。警官なんてどこにでもいるし
静,……
純,貴女も、相手も……私も……みんな無関係よ。……誰も警官には追われてない。只のそれだけよ。……これから追われるかもしれないけど。……さあ行きなさいよ
静,……クソ……。……
オッサン,チクショー、ワイシャツが濡れちまった……この暑さで乾くかな。グビッ、グビッ！
静,……あの、コーヒー飲んでるオッサンが警官なんて……いうのは、無さそうね……。け、結構距離あるわね……橋まで。……橋も大きいし。……こんなもの持って歩いてるから、精神的にもクるし、それに……。……悔しいわ。死ぬほど……！。クソ、この静・ジョースターともあろうものが……小悪党の使いっパシりなんて、笑えないっての。やれやれね……。ン？……夏なのに、落ち葉多いのね……注意しないとスベりそうだわ。……よし、橋の向こうのポストが見えた。……あとは、渡り切るだけ。……なんとかなる、か……？。……。……。……おかしい。奇妙だ……何か引っかかる。……何か……見逃したような……そんな気が……。……アイツの目的は、本当にお金か？……取り引きを成功させたいだけか？あたしや虻村から、金を取り立てたいだけ、か……？。ポストの下にこれを置く。……それだけで、全てが解決するのか……？
警官1,……あのォ～～
静,！！。は……え？つ、ついクセでサングラスかけちゃったけど……姿消せないんだっけ……！
警官1,少し、お話いいですかね？君ィ～～……今大丈夫？
静,なん……だっての……？。――はッ！！
警官2,……
警官3,……
警官4,……応援頼む、例の少女発見。制服着用、サングラス……
静,なッ……！？
警官1,あのォ～～、もし僕の勘違いだったら、本当に申し訳ないと思うし……心からお詫びするよ
静,ちょっ、待……
警官1,少しだけ……その包み……確認させてもらってもいいかなァァ～～？
静,！！～～……。……――ハアッ！ハア！ハァッ……！！。いッ……今！わかった……！！この時に！！こんな時にッッ！！
警官4,……通報のあった通りの格好、背丈。……至急応援を……
静,あいつ……吉岡純ッ！！たしかこう言ったわね？……透明になったら、渡ってる所が見えなくなるって！……何故ッ！！。何故ッ！あたしの能力が透明化だと知っているんだッッ！？。くッ――
警官2,おおーっとぉッ！！
静,うっ！このッ……離してッ！
警官2,逃げる事は無いだろ？私達はその包みを少し確認したいだけ……ただそれだけさァ
警官3,暴れるんじゃあない。公務執行妨害とみなすぞ？
静,こッ……この警官の数ッ！！間違いない……あたしはッ……。……ハメられたッ……！！
純,ええ、ハイ。おそらくぶどうヶ丘の生徒だと思います。立ち聞きしちゃって……はい。薬物の話でした。間違いなく。サングラスをかけてて……え、名前？そんなの知りません。……私の？ああ、何でもいいじゃあないですか。上様でもP子でも
虻村,……グピイ……
純,くふふ……もう捕まったかなァァ～～静のヤツ。……騒がしくなってきたわね、向こうの方。人は敵だと思うヤツには最大限の注意を払うが、それ以外にはあんがい無防備なモンなのよねェ～～……嘘ついて何も知らないフリしたら、コロッと騙されちゃって！案外かわいいわね、アイツ。……アイツが捕まったら、メイは喜ぶだろうなあッ！遠ォ――くゥ～～の方へブチこまれるといいわ。くふっ！。……そして……
女,……
純,……
女,……良い取り引きだったわ
純,こちらこそ
女,……
純,……ニヤリ。あいつがちっぽけな量のヤクでドジふんでる間に、こちらでもっと大きな取り引きをする……私の計画には無駄が無いのよ。あいつが捕まるのもメイのために動くのも、お金のた・め♪……ふふっ！私ってばお金だーいっ好き！だからねェ～～～～
虻村,ググ……
純,おい虻村ァー。テメェー静が捕まるまでくたばるんじゃあねーぞ？最後まで見届けてからくたばりなァ。アンタのうめき声が、最ッ高のBGMになってんのよォ～～。懲役何年かなァー、アイツ……ふふ、ふふふふふ……！
静,うおおあッ！離せッ！離しやがれッ！このォーッ！
警官3,おい！暴れるなと言っとるだろーがー！！。取り上げろ、あの包みッ！ブツの可能性が高いッ
警官2,では、失礼して……
静,このッ――
警官2,うげェッ！！！
警官4,あっ！！
警官1,おっ……おまえッ！！
静,悪いとは――思ってるっての！！
警官1,ゲッ！
静,ハァー！ハァー！！け、けど……中身は、見せられないッ……！
警官3,逃げるなあッ！！！
静,うううッ！！ワイル――。――……は、出せないッ！！ルールは破る事が出来ないッ！！。ぐっ！
警官4,きさまぁ！！逮捕する！！
警官3,公務執行妨害！！……並びに麻薬所持容疑だッ！！
静,う……おおッ……。おおおおおおおおおおおおおおおおお。ジョースター！ジョースター！！ジョースター！！！……本当にジョースターの人間だったら、賭けに負ける事もッ！ハメられる事もッ！無かったはず……あたしは……
警官4,この包みは君が所持していたモノに間違いないなッ！？
警官3,証拠品として開けて中を確認するぞ！いいな！？
静,……あたしは……スタンドが使えなかったら、こんなにも弱い……！！。けど、あたしは――
警官3,くっ、この包み……なんて厳重な……！
静,あたしは、それでも――。……ジョースターを名乗るんだ。あたしは――静・ジョースターだから……！！
警官3,ん！？
警官4,何……？
静,……スタンド出せないし、涙も出ない……ションベンだって出そうに無いわ。けど……そんなあたしでも……。……出せるものがある……それは……！！。……コォォォォオオオオオオ……！！
警官3,えっ！！
静,波紋オーバー。疾走ドライブ
警官3・4,ビリっときたああああ
静,うおおおあああッ！！
警官1,よッ……容疑者一名逃走！応援を頼む！繰り返す、応援を頼む！
警官3,うぐうッ！？か、身体が動かないッ……！！
オッサン,おいィ？テメェーら真夏に何騒いでんだァ？暑いぞ
警官3,やかましゃぁぁぁ――一般人が近寄るなッ！
オッサン,……
静,ハアッ！！ハアッ！！ハアッ！！……ルールは守るわよ、純ン～～ッ！橋を渡って置く……それが200万の行動だったわね！？。つまりこういう事だな！？包みを置いた後は……スタンドを使ってもいい……と！そういう事なんだなッ！？。ならばやる事は決まってるッ！！見えたぞッ！！ポストが見えてきたッ！！。ポストに――。タッチダウ――ンッッッ！！！。200万円だッ！！！。ン！……。……。キツネッ！。あ、ちょうちょッ！。カエルぅぅ～～。……良し、問題無ェー。ルビーに変えられてた右手は問題無く動くッ。あとは、この橋を引き返して純に会うッ！なァーに……
警官,待てェ――貴様ァー！！逮捕だァ――ッ！！！
静,――簡単な話ね。Wild・Honey――ッ！。消える
警官1,なッ！！待て！止まれッ！！危なァ――いッ！！
警官4,何ィーッ！？
警官3,橋が……消滅しちまったァ――ッ！！？
警官2,うおおおあッ！？オッ！俺は高いの苦手なんだよォーッ！！
警官3,俺に抱きつくんじゃあねーッ！！邪魔だッうっおとしいぜッ！！
警官1,危険だ下がれッ！道を封鎖するッ！！
警官4,おい！押すなと言っとろーがー！！！
静,はいよ失礼ィィー
警官1,えっ？
警官2,えっ？
警官3,えっ？
警官4,えっ？
警官1,なッ……えっ？あいつ何ィ？空中を今、歩いて……？
警官3,……ほ……呆けてる場合か？場合なのかァァ～～！？急いで追いかけるぞッ！！
警官4,待つんだァ――ッ！！
静,追いかける……そりゃあそうよねえ。だけど気をつけた方がいい。なんせこの一帯はワイルド・ハニー
警官4,うぐう！？
警官3,うおおっ！？なッ！？何だァーッ！？
警官4,ぷげッ！？わ……わからないッ！見えない何かにッ！滑って……！
警官1,な、何でお前らこんな、なにも無い所でコケてるんだッ！？ここは私が――。ぷがぁ――ッ！！？
警官2,ぎゃああああああああス！！？
静,人って見えてる脅威には注意を払うけど、見えないモンはなんとも思わないのよね……純のヤツが教えてくれたようなモンだけどッ！ワイルド・ハニーで落ち葉を透明にしたッ！！ここらの落ち葉は気をつけないと、やたらめったら滑るわよォ～～。そしてあたしもワイルド・ハニー。これであたしの姿は見えない……警官にもッ！そこらじゅうにいるパトカーからもッ！！
純,ふふふ！聞こえる！聞こえるゥ！どんどん集まってくるわねェ～～パトカー！。もう捕まったかな？静。メイの敵でコーマンチキで変なヤツだけど……意外と心が真っ直ぐで面白い所もあったわね。もし罪をつぐなっていずれ留置場とかから出てきたら……。今度は友達になるのも面白いかもねェ～～。ウヘヘッ。…………
虻村,グム……ゲハッ！……スゥー……ハァー……すぅー……はぁ……
純,なッ！……え？……何？
虻村,ううーん……うう……
純,……何故……宝石になった身体が、元に戻っている？……虻村……！！。こ……これはッ！つまり……これはッ！！。静が行動を達成した！という事ッ！……ヤツは橋を渡りきり！ポストの下に包みを置いたという事ッ！！……ヤ……。ヤツは捕まっていないのかッ！？ヤツは――逃げ切ったというのかッッ！！？。マズイッ！！静・ジョースターは透明になる能力を持っている！ヤツは気付かれず！私に近付く事が出来るんだッッ！！。何処だッ！？静・ジョースタ――ッ！！何処にいるんだァァ――ッッッ！！！？。あぎィッ！！？。ぷ……ぎィ～～……！！。ぷが――ッ！！！。うぎィィィイイイイ……ハ、ハナがッ！ハナのホネがッ！！。――はッ！！
静,……
純,しッ！！……静……！！
静,……純ン……
純,ハァーハァーハァーハァー……！！
静,……してやられたっていうやつよ。今回ばかりはアンタに完璧敗北って感じだわ。認めたくないけどね。……だからさァ～～今からさァァァ～～。メタメタにアンタをぶちのめすからな。アンタのしたたかさはある意味尊敬するけど、そうでもしねーとこれからあたし、ジョースターを名乗れない。……そんな気がするのよね
純,んな！？……た、ただの憂さ晴らしでッ……殴るのかッ！！この私をッ！？
静,イカサマした。虻村殺そうとした。あたしに工口いことさせようとした。運び屋やらせた。騙してあたしをブタ箱にブチ込もうとした。あたしをバカにした。……憂さ晴らし以上の感情が、アンタにはあるかもねェ～～
純,うぐッ！？……こ、これはッ！？
静,包みは持ってきた。……あのままポストの下に置いてたら、警察に調べられて指紋やら髪の毛のデータ取られそうだったからね。……アンタの言ってた行動はポストの下に置く……それだけだったから
純,バッ！馬鹿なッ！？いや馬鹿かお前！？なんてものを持ってきてるんだッ！！警官が来たら捕まるぞッ！！私もお前も！！
静,警官が来るまで何分だ？5分か？10分か？15分くらいか？……それまでにアンタをぶちのめす。全力でぶちのめしてあたしは消える
純,や、やめろ！待ちなさい静ッ！実は今私、結構な大金を持ってるのよッ！！貴女がガンバッてオトリになってる間に手に入れた金よッ！？私にとって命より大切な金だけど……折半でいいわッ！！それで……それで……！！
静,……悪いんだけどさ、純。――あたし、プッツンきてんのよ。何より自分が許せねー
純,う――うおッ――。うおおおおおおおおおお！！！！右手で殴る方に100万円ッッッ！！。プギッ！？
静,もう右は選ばねー……左よ。賭けはアンタの負けだっての。うぐッ！？。な！？……あたしの拳からッ！？血……が……？？……！？
純,賭け……は……負けた、か……パキパキパキパキ！
静,！？
純,だけどグッド。賭けに負けた分は、すぐに払わないとね！パキパキパキパキ！
静,ぐ……！！純の顔面がッ！！硬いルビーに変化しているッッ！！
純,さあァ～～どうしたのッ！？静ァッ！全力でぶちのめすんじゃあなかったの？エ？私はま～～だピンピンしてるわよォ？……こうなったら意地でも倒れねェェ……テメェに死ぬまで食らいついてッ！！一緒にブタ箱だろうが地獄の底だろうが付きまとってやるぜッ！！パキパキパキパッキィーッ！！！
静,……
純,賭けはテメェーの負けだッ！！静ァ――ッ！！心が貧弱なんだよッこの赤ん坊がッ！！ギャハハハハハハハハハハ――。バギ！！……え！？
静,……
純,な……にを……？静、お前……？
静,痛ぇーわ。メチャクチャ痛ェー……拳でルビーを壊すのは、ちょっぴり……いや！かなり無理があるかもね。……けどさ、純……。あたしは有栖川メイを倒すのに……命を賭ける覚悟があるッ！！ジョースターを名乗る者として、強大な敵に立ち向かう覚悟があるッ！！
純,……！！……
静,お前にはあるのか？純……あたしに食らいつく覚悟がッ！！あたしにルビーを叩き壊される覚悟がッッ！！！
純,……う……ううう……！！
静,……あたしはすでに出来ている。……両拳をぶっ壊す気でぶちのめす覚悟が……ね
純,ああああああああ！！！ドラドララッシュに10億え――。オゴオォオオ――
静,おっと！
純,ぐゲッ！？
静,さて。純……あたしは今から姿を消す。当然アンタは薬物の入った包みを抱えたまんま警察に見つかって、留置場にブチ込まれる訳だけど……助かりたい？あたしなら助けられるわよ？
純,プ……
静,ならそれだけの行動をしないと、ね？……メイについて知っている事、全てしゃべってもらうからな？
純,ぐ……
警官1,こっちだ！こっちに逃げたぞォ――ッ！！
警官3,追い込めッ！捕まえるんだァ――！！。……
警官4,……。……どこにいる？容疑者って……どこに誰がいる？
警官3,き……消えた……
警官1,この建物の裏……だ……確かにいたんだ！
警官4,消えただと？他に道は無いのに、どうやって逃げたっていうんだ？
警官2,おいサイレン止めろ！顔は？容疑者の顔を見たヤツいるか？
警官3,そ……それが、お……おかしいな
警官1,サングラスをかけていて、その……
警官3,詳しい顔は……確かに……
警官2,……
警官4,……
オッサン,なんなんだよォォォォ
警官,？
オッサン,お前らが橋の所で暴れるから、コーヒーこぼしてまた濡れちまったあ～～～～！！オメーらのズボンをよこせッ！パンツまでぐっしょりなんだよッ！
警官,…………
スタンド名―ルビー・チューズディ,取り立て日
本体―吉岡純,16歳
賭け事に負けた者が、その賭け金をきっちり支払うまで、身体の一部をルビーへと変える。,本体とて例外では無い
個人的な事なのですが、完璧なオリジナルキャラクターを名前付きで出すっていうのはあまりやりたくなくって、誰かの子供だとか成長した姿とか、そういう感じでキャラは出したいなって思ってます,全部が全部は無理だけど
