アイドルのみんなも、,どうしたんだろうね
女性,財閥の水瀬グループというのを、ご存じでしょう？その別荘が１０年ほど前にはこの近くにあったんてすよ。その年に水瀬財閥のみなさんが、来られたんですが……彼は財閥がなんだ！と息まいて。普段、彼に辛辣にされている他の子達がじゃあ別荘に乗り込んでみろよと唆して……引っ込みがつかなくなった彼は、本当に乗り込んでしまったんです
伊織,それで？もしかしてひどい目に！？
女性,いえいえ。警備の人に簡単に押さえ込まれ、車で丁重に送られてきましたよ。あちら様も、捕らえてみたら子供でびっくりしたそうです。しばらくは、黙ったまま考えごとをしているようでした。何か大それた事を考えているんじゃないかと、心配もしたんですが、暫くすると猛烈に勉強をするようになって
やよい,そうなんですかー！
女性,高校を出て、大学の奨学金が貰えるようになると、島を出て東京へ……。規則ですので、それはお話しできません
伊織,はあ。じゃあ、帰りましょうか。もうここに用は……
女性,当時のアルバムを持ってきたのですけど、ご覧になられます？
伊織,ありがとうございます。ありがたく拝見させていただきますわ。うわぁ
やよい,うわー！これって私と同じぐらいの年れいでしょうかー
千早,か、かわいい……
伊織,な、なによちょっと整った顔立ちしてるからって、そんな表情しちゃって……。こ、これ……
やよい,ええーーっっ！！
千早,なんで……？どうして！？。どうして小鳥さんが、プロデューサーさんと一緒に写っているの！？！？！？
女性,みなさん、音無小鳥さんをご存じでらっしゃるの？
伊織,こっ、小鳥……じゃなかった。音無さんは、私たちの事務所で事務員をしているんです
女性,まあ。芸能人はお辞めになった、とは聞いていましたが。そうですか、今でも芸能界に関わっておいでなんですねえ。いえいえ。音無小鳥さんは、こちらへ慰問で来て下さったんですよ。玉野で話を聞いたとかで、お一人で。良い方でしてね。お手紙も、何度もいただきましたわ。子供達にも優しく接していただきました。応援していたんですけれど、世間ではそれほど有名にはならなかったようですわね。今は、みなさんと一緒におられるんですね
あずさの回想,プロデューサー失踪１ヶ月前
あずさ,語学留学ですか！？
小鳥,ええ。前々から考えていたんですよ、英会話に興味があって。社長に相談したら、オッケーをもらえました
Ｐ,ウチも海外進出が、具体的になりそうですしね。英語ができるスタッフを養成しておくのも、得策だろうという話になったんですよ
小鳥,なにより、自分自身のスキルアップの為に！不肖、この音無小鳥は旅立つことになりました！！
真美,え→ピヨちゃん、行っちゃうの→
亜美,そんな→行かないでよ→
小鳥,真美ちゃん……亜美ちゃん……ごめんなさい、私……もう決めたことなの！
真美,あずさお姉ちゃ→ん、見てないでピヨちゃんを止めてよ→
亜美,みんなもほら、はやく→
千早,ふふっ。大丈夫よ
真美,え？
伊織,あんた達ねえ、ちゃんと話を聞きなさいよ。ウチの事務所の為に、小鳥は行くんでしょ？
雪歩,だからね、行くと言っても……
亜美,あ！そっか、またすぐ帰ってくるんだね？
小鳥,ううっ。もうちょっとみんなに惜しまれつつ去りたかったのに……そうです。短期の語学留学だから、三ヶ月ほどなの
あずさ,そうなんですか……ちょっとほっとしました
真,んー。でも、三ヶ月でもやっぱり少し寂しいよ
美希,ミキがソファーで寝ているときに、毛布とかかけてくれる人がいなくなっちゃうの
律子,そもそもソファーで寝るのを、やめなさい！
Ｐ,まあまあ。意外とすぐだよ、三ヶ月なんて。それに帰ってきたら……きっと小鳥さん、英語ペラペラになってるぞ
貴音,なんと！それでは小鳥嬢は、帰ってきたらわたくしにはわからない言葉ばかりを話すようになってしまうのですか……？
響,いや……別に英語しか喋らなくなるわけじゃないから、そうはならないと思うぞ
春香,寂しいですけど、そうですよね。がんばってきてください！
伊織,それで？どこへ行くの？
小鳥,まだ社長の許可が出ただけで、具体的には……ニューヨークとかどうかな？
伊織,英語を身につけに行くんでしょ？それならイギリスでクイーンズの正当派の英語にしなきゃ
千早,イギリス……私、いつかロイヤルアルバートホールで歌いたいと思っていました……
やよい,プロデューサー、ろいあるやるバットボールって野球に関係する所ですかー？
Ｐ,ロイヤルアルバートホール、な。日本でいうと……武道館とかに相当する感じかな
真,武道館！燃えますね！！
雪歩,真ちゃん、真ちゃん？そこで歌うことを想像して、燃えてるんだよね？
真,え？あー……うん
響,あれはきっと、違うぞ
雪歩,きっとそうだね
春香,海外版武道館でライブ、かあー。もう私たちも、そういう段階まできてるんだよね
律子,準備段階、がね。でもそうね、そう言われると……身が引き締まるわね
亜美,千早お姉ちゃんなんて、もうず→っと身が引き締まってるしね
千早,くっ……
伊織,正しい英語を、身につけてよね。ただでさえ日本人はＬとＲの発音の区別ができない、って馬鹿にされてるんだから
Ｐ,ああ。私はあなたを、こすりますってやつか
伊織,そうそう
響,どういう意味だ？
伊織,あのね、日本人はＬとＲの区別ができないからILoveYouと言っても、相手にはIrubYouって聞こえるのよ……はい、春香！
春香,あ、あいらぶゆー
あずさ,うふふ。今のはIrubYouね。rubはこするっていう意味だから……
真,私はあなたをこすります、か。ははは、こりゃいいや
春香,ううー
美希,春香も、小鳥と行ったらいいと、ミキ思うな
千早,うふふ
春香,もー！千早ちゃんまで笑わないでよー！
響,もしもし。765プロダクションだぞ。……そうだぞ。プロデューサーは見つかったのか？
美希,響！電話、ミキに代わるの！もしもし、ハニーは見つかったの！？。残念なの。響？ああ、響は今日のオーデションに落ちちゃったの。久しぶりに落選したから、落ち込んでるの
響,うぎゃー！自分、落ち込んでなんかないぞ！！今日だって、たまたまジュピターの調子が異常なぐらい良かっただけだぞ！！！
美希,わかったの。ちょっと待つの
高木,彼は、いなかったそうだね。なんだって……そんな話は聞いた事もないが……言われてみれば、彼は音無君が連れてきたんだったな。プロデューサー志望の若者がいる、と聞いて会ったのが最初だったな。どういう知り合いかは特に聞きもしなかったが。大至急、確認してみよう。それからこちらからも知らせたい事がある。彼の部屋にあった日記、覚えているだろう？。あれが消えた。警察も捜索に入ってくれて、彼の部屋を調べたんだが日記は無かった。管理人もその事は覚えているが、現実に日記は消えてしまった。ケータイの方は警察には黙っている。まだ使い道が、あるかも知れないしね。まだだ。正直、どのタイミングで使ってみるか迷っている。一度でも使えば、相手にバレて二度と相手がわからなくなるかも知れない。わかった
伊織,早く事務所に戻りましょう、ぐずぐずしていられないわ
千早,……それは無理よ
伊織,え？
やよい,もうこんな時間ですよー
伊織,もう！なんてことよ……
やよい,あのー
女性,なんですか？お嬢さん
やよい,私、聞きたいことがあるんですけどいいですか？。プロデューサーは、センセイにひどい事を言って傷つけてしまったってすごい後悔してたんですよ。それってなんて言われたんですかー？
女性,きっとあの時ね。彼は私に言ったのセンセイもどうせ俺が人殺しの子供だ、って思ってるんだろ！？だから辛くあたるんだろ！？って
千早,え？
女性,乱暴者で、嫌われていた彼はそう言われていたようです。お前の親は人殺しに違いないって……
やよい,プロデューサー……かわいそうですー……
女性,ところで、みなさん？厚かましいお願いなのですが……ここの子達に、歌を聴かせてやっていただけませんか？
千早,歌を……ですか？
女性,喜ぶと思うんです。よろしければ、ですが
千早,はい。歌わせてください
伊織,ちょっと、千早！
やよい,伊織ちゃん、私も歌ってあげたいなー
伊織,やよいまで……。ふう、そうね……いいわ。ハコに見合わない豪華な出演者だけど、私はやるからには手を抜かないわよ
千早,素敵……
やよい,ありがとうございますー
伊織,ふうん。悪くないわね……
女性,どんな時でも、人には優しさがある。そして人はやり直せる。それを教えてくれる歌ですわ
千早,歌には力がある……
女性,さすがですね。よく、おわかりですこと
千早,プロデューサーが、言っていた言葉です
女性,ああ……ああ……私が……私が彼に教えた事です……私が……
やよい,プロデューサー、ちゃんとわかってたんですね。センセイの教えを
伊織,アイツに、隠し事や秘密、暗い過去があっても……アイツはアイツよ！
千早,どうしたの？春香
春香,うう……オーディション、落ちちゃった……
律子,レッスンのおさらいも兼ねた、調整でもあったんだけどね
春香,歌もダンスも、上手くいったんですよ？調子だって悪くなかったし……やるからには調整とか思わずに、真剣にやったのに……
千早,春香……
春香,オーディションに落ちるなんて、いつ以来かな……？こんなに……こんなに、悔しかったっけ……
律子,あずささん、ちょっと。春香が落選したオーティション、受かったのは……ジュピターなんです
高木,更に言うと、ジュピターは一昨日もオーディションに出て合格している。ウチからは誰もエントリーしていなかったがね。ジュピターの実力は、私も認める。悔しいが、流石にあの黒井が見出し、育てただけはある。しかし……
律子,この戦略と成績は、異常です。今までの彼らと、違いすぎます
高木,恐らくは。そして、ここに新たな情報がある
律子,……まさか
高木,明日のオーディション、ジュピターはエントリーを既に済ませているそうだ
律子,そんな……明日は、竜宮小町もエントリーを。緊急に、レッスンを行います
高木,あの彼に、そんな過去が……しかしまだ、彼の失踪の真実はわからないね。異論はない。それで、どうするつもりだね？。なんなりと。よし、わかった。それと……音無君の事だが。彼女は今、ロンドンにいる。これは間違いない。だが。問題は、その時期だ。彼女がロンドンに着いたのは、二週間前だ。これも、間違いない。どう思うかね？。同感だ。私は、君よりも彼女とのつき合いは長い。多少変わった所はあるが、大それた事をする娘じゃないと、私も信じているよ。うむ！私は音無君を、そして彼も信じているよ。ただこうなった以上、音無君をこのままにしてはおけない。業務命令で、即刻帰ってきてもらう。では、先程の作戦は了解した。Ｗの正体がわかると、これも私は確信しているよ
ただ美希ちゃんだけは,でこちゃん、うらやましいの
雪歩,小鳥さん、プロデューサーとずっと知り合いだったんですね
真,全然そんな風に、みえなかったけどなあ
美希,小鳥もうらやましいのー！
律子,でも、今はロンドンにいるとはいえ、私達をだましてどこにいたのかしら……
貴音,それが良いでしょう。小鳥嬢を、わたくしは信じます
やよい,そうですよー！きっとじじょう、があったんですよー
春香,それにしてもプロデューサーさん、可哀想な子供だったんですね……
貴音,辛い過去にも負けず、あの方は……
真美,兄ちゃん……すごいね
亜美,もう帰ってきても、亜美達にせっきょ→できないけどね
春香,ええと……１０時ぐらいまでは、大丈夫ですよ。今はまだ９時半ですし。あ……その、なんて言うか
響,うぎゃー！思い出すのも悔しいぞ！！控え室ではなんだかコソコソしてたくせに、本番になったら急に自信満々で！！！
春香,……そうなんだよね。って、あれ？やっぱり響ちゃんも思った？控え室での態度が変だ、って
響,思う思う！なんか３人で、集まって日記みたいなの読んでたぞ
春香,やっぱり！ノートみたいなのに鍵なんかつけて、大げさだなーとは思ったんだよね
響,ああ。そうだと思うぞ
春香,うんうん
真,それで鍵は真ん中あたりについていて、よく見ると色もグラデーションかかってる？
響,そうだったぞ！自分、思い出した
春香,それだよ、それ！
真,間違いないよ、それはプロデューサーが作っていたアイドル虎の巻だよ！
真美,アイドル……
亜美,虎のマキ？
亜美の妄想,プロデューサー失踪９日後
亜美,虎よ！虎よ！あかあかと萌える！！
マキ,萌えーーー！！！
亜美,あれ？あなたはだあれ？
マキ,ボクはタイガー！
亜美,しかも強くて？
マキ・亜美,丈夫です！！！
亜美,ふふふふふ、象印には負けないもんね→……
貴音,亜美？どうしたのですか？
亜美,ハッ！だ、だめよ、亜美……だめぇ！！
美希,その虎の巻って、なんなの？
真,プロデューサーはさ、ボク達をプロデュースするにあたって得た経験を全部、書き留めていたんだ
律子,それはまあ、私もやってるけど
真,それに加えてプロデューサーは、考察や他の資料や予測、仮説と検証とかを思いつくままに書いていたんだよ
律子,……ワーカーホリックだとは思っていたけど、すごい情熱ね
真,上手く読み解けば、オーディションでも敵無しの武器になりうる。そうプロデューサーは言っていたけど。え？
春香,それってつまり……
響,ジュピターは、プロデューサーの部屋から盗んだものを使って、自分達に勝ったんだな！？なんてやりかただ！！
真,いや、それは……どうかなあ
伊織,どういう事なの？
真,あの虎の巻さあ、プロデューサー以外の人には読めないと思うんだよね
真の回想,プロデューサー失踪４日前
真,いやー、すっかり遅くなりました。もう１０時過ぎかあ
Ｐ,ああ、真が帰って来た。うん、それじゃあまたな
真,プロデューサー、帰りました
Ｐ,ああ。悪かったな、電話しててすぐに挨拶できなくて
真,気にしないでください。あれ？これ、なんですか？
Ｐ,……見られたか。これはな、人呼んでアイドル虎の巻！これまでみんなをプロデュースしてきた経験のすべてを、ここに書き記してある
真,へえ。ボクもですか
Ｐ,当然だろ。そこに加えて、考察や海外も含めた他の資料や予測、仮説と検証とかを思いつくままに書きしたためてある
真,なんだかすごいですね。免許皆伝の書、みたいなものですか？
Ｐ,そうだな。上手く読み解ける事ができれば、オーディションのノウハウだって豊富だから、敵無しだと思うぞ
真,すごい！ボクにちょっと見せてくださいよ
Ｐ,いやいや、これは真といえども……
真,へへっ！やーりぃ！
Ｐ,な！なんだ今の真の動き……見えなかったぞ！
真,ボクだって日々、進歩していますからね。では、拝見しま……あれ？
Ｐ,ふっふっふっ、どうしたのかね？菊地クン
真,ＫＶｏト↑ひ５おーば……ＤａオーデアピＶｏ……なんですか！？これ
Ｐ,そうした俺の、いや765プロみんなの集大成が、もしも無くしたり誰かの手に渡ったら大変だろ？
真,暗号、ですか
Ｐ,そんな、大げさでもないけどな。俺だけが読むんだから、俺だけがわかるように書いてる。しかも筆跡を微妙に変えようと、書くときは利き腕じゃない方の腕で書いてる
真,？何か意味があるんですか？
Ｐ,なんか、カッコイイだろ。いかにも秘密の書、って感じで
真,はあ、一気にさっき言ってた能書きが疑わしくなりましたよ
Ｐ,うーん。やっぱり真も女の子だな、男はこういうのに燃えるんだが。実際この鍵だって、その気になれば簡単に壊せるしな
真,あ、あたりまえですよ。ボクは……女の子なんですから
Ｐ,だから、そう言ってるだろ。さて、さっきの真の動きは見事だった。これも書き加えないとな、Ｋ味↑８……と
真,それは、なんとなくわかります。Ｋっていうのはボクで、味はアジリティーでしょう？
Ｐ,そうだ。なんでＫかわかるか？
真,菊地、だからじゃないんですか？
Ｐ,ふふふ、ノーコメントにしておこう
真,あー！気になるなあ。もう一回、見せてください
Ｐ,な！このやりとりの間にも早くなっている、だと！？
真,女子は、３秒目を離したら括目して見てくださいね。ええと……このＢ７２もっと↑に……って、千早の事が書いてあるんですか？
Ｐ,な！なんでわかった！？
真,怒りますよ、きっと
Ｐ,？なんでだ？じゃあＢは真にするか？それで千早は……いや、それも困るか……
真,なんだかわかりませんけど、この事は千早には内緒にしておいた方がいいですよ
Ｐ,わかった。助言と貴重なデータの貢献に、感謝する
千早,くっ……
真,……げ、元気だしなよ。千早
貴音,今の話、何か安堵するような情報がありましたか？
春香,はい。まだ９時５０分ですし、大丈夫ですけど……
真,？ともかく、何が書いてあるかは、プロデューサーしかわからないと思うんだ。だからジュピターがあの虎の巻を手に入れても、プロデューサーが解説しないと……
春香,プロデューサーさんは
響,ジュピターに
貴音,いえ、むしろその所属する
真美・亜美,961プロに
律子,監禁されて
やよい,おしごとしてるんですかー？
雪歩,きっと、無理矢理だよ
真,そうさ！たぶん脅されて
千早,仕方なくやっているのよ
伊織,……ゆるさない！今度という今度は、ゆるさないわよ！！
美希,でも……。ハニーは……ハニーは生きてるの？無事、なの？
真,ジュピターが、あの虎の巻を使いこなしているのなら、きっとあれを読み解けるプロデューサーが協力させられてているのは、間違いないよ
美希,じゃあ……
雪歩,無事だよ。きっと。ね
美希,うう……良かった……良かったの……良かったのー！ミキ、ミキね、ずっとずっと心配してたの。ハニーは、もしかしたら……もしかしたら……
春香,時間……あ、１０時になっちゃいましたね。？そうですけど？
千早,あら？THEIDOLM@STER？
真美,ケータイの着信じゃない？
亜美,誰→？
雪歩,すみません。ちょっと失礼しますぅ
真,あれ？雪歩、そのケータイって変えたの？
雪歩,もしもし？もしもし！？答えてください！プロデューサー？プロデューサーなんですか！？もしもし！！もしもし！！！
高木,残念だが……。彼ではない。残念だったね、雪歩君。いや、Ｗとお呼びしようか？
春香,あのぉー。状況が、まったくつかめないんですけどぉ。ええと……あっ！プロデューサーさんが持っていた、あのケータイ！！
千早,そうね。間違いないわ
真,そう言えば……でも、雪歩が持っているのは……色違いの同じケータイ？
春香,じゃあ、あの時プロデューサーさんと親しげに電話をしていたのは……
雪歩,……私、ですぅ。……はい。それは、私も……ですぅ。それなんですけど……。そのＷって、なんなんですか？。私、確かにみんなに内緒でプロデューサーさんとケータイで連絡を取ってました。でも、Ｗってなんのことか……。わ、わかりました……
雪歩の回想,プロデューサー失踪７日前
Ｐ,……
雪歩,……
Ｐ,……
雪歩,……
Ｐ,……ん？うおわっ！ど、どうした雪歩！？
雪歩,ぷ、プロデューサーにお話があるんですけど、なんだか考え事をしているみたいだったから……
Ｐ,そ、そうか。悪かったな
雪歩,いいえ……
Ｐ,……はあ
雪歩,……プロデューサー？
Ｐ,あ？あ、ああ。ごめん、雪歩
雪歩,……昨日の事ですか？
Ｐ,えっ！？
雪歩,昨日の事で、そんなに考え込んでいるんですか！？
Ｐ,き、昨日……何かあったっけ？ははは……
雪歩,私、見に行きました
Ｐ,え？
雪歩,プロデューサーがプロデュースする、初めての伊織ちゃんの単独ライブ。見に行きました
Ｐ,あ、ああ、来てくれたのか。なら、楽屋とかに来てくれても良かったのに。雪歩なら、顔パスだろ
雪歩,……行きました
Ｐ,え、ええっ！？
雪歩,プロデューサーと伊織ちゃん、とっても楽しそうで……
Ｐ,声、かけてくれれば……
雪歩,なんだか私、おじゃまかなって思えて……
Ｐ,……そんなわけないだろ。同じ事務所の仲間なんだし、伊織だってきっと喜んだと思うぞ
雪歩,……
Ｐ,なあ、雪歩？
雪歩,プロデューサーは、伊織ちゃんが好きなんですか……？
Ｐ,は？
雪歩,ずっと見てました。現場でのプロデューサー、すごい真剣な顔で……
Ｐ,そりゃあ、仕事中はいつだって……
雪歩,真剣というか、鬼気迫る感じを受けました
Ｐ,そんなことは……
雪歩,私のライブの時、プロデューサーはあんな表情……見せてくれません
Ｐ,……あのな、雪歩
雪歩,ものすごく、集中して考えながらやっているのがわかりました
Ｐ,雪歩、聞いてくれ。それは……
雪歩,プロデューサーは、伊織ちゃんを好きなんですね？
Ｐ,……
雪歩,そうなんですね？
Ｐ,……違う
雪歩,……伊織ちゃんを、好きじゃないんですか？
Ｐ,そう言ってるだろ？なあ、今日はどうしたんだよ雪歩
雪歩,じゃ、じゃあ、証拠。証拠を見せて下さい
Ｐ,証拠？
雪歩,今度のドラマの事で私、ちょっと悩んでいるんですけど……
Ｐ,ええ？あ、ああ、遠距離恋愛の女の子役のな
雪歩,あんな風に恋人と、ケータイだけで連絡し合う恋愛ってどんな感じかと思ってて……
Ｐ,うん、なるほど
雪歩,……
Ｐ,？それで？
雪歩,わ、私にっ！
Ｐ,あ、ああ！
雪歩,ケータイで連絡をくっ、くださいませんか？毎日決まった時間に！
Ｐ,え？
雪歩,そうしたら、恋人からの連絡を待つ気持ちとか、電話がきた時の嬉しさとか、もっと演技に活かせると思うんですっ！
Ｐ,……でもなあ……
雪歩,やっぱり、伊織ちゃんが好きだからそんなことはできませんか？
Ｐ,いや、そうじゃないけど
雪歩,じゃあお願いします。専用のケータイも用意しました
Ｐ,……用意周到だな。料金とかだって、かかるだろ？
雪歩,私が、自分の為にやることですから……お揃いの色違いケータイを持ち合うって、本当の恋人みたいじゃないかと思うんですぅ。やっぱり私なんかとじゃあ、恋人のフリは嫌ですか？
Ｐ,そんな事はないさ
雪歩,じゃあやっぱり、伊織ちゃん……
Ｐ,わかった。雪歩の為に、協力する。だから、伊織の事は二度と持ち出さないでくれ
雪歩,はい！わかりましたぁ！！
Ｐ,ゲンキンだな。雪歩は意外に頑固なのはわかっていたが、新しい一面も見られた
雪歩,……ごめんなさいですぅ
Ｐ,いいよ。じゃあ……そうだな、毎日夜の１０時になったら電話を必ずする
雪歩,メールも……帰ったら必ずください
Ｐ,いつになるか、わからないぞ？
雪歩,メールだからかまいません。それと……あの、あの……
Ｐ,？これ以上、なんだ？この際だ、何でもするぞ
雪歩,め、メールでの連絡は……その、あの……好きって書いてください……
Ｐ,え！？
雪歩,こ、恋人の雰囲気を出すために……
Ｐ,……わかった。でもこれ、みんなには絶対に内緒だからな。いいか？
雪歩,は、はいっ！！！。いきなりの告白は無理でも、恋人のフリとかから発展しないかなあ……って思って
真,臆病なのに、時々強気な雪歩らしいなあ
亜美,兄ちゃん、意外に押しに弱いモンね→
美希,ミキの押しには、ハニーはびくともしないの
真美,ミキミキのは押しってゆ→より、体当たりだモンね→
春香,でもこれって、抜け駆けじゃない？
千早,春香、あなたは告白までしたでしょ
春香,のワの……
伊織,……ねえ
雪歩,なに？伊織ちゃん
伊織,アイツが私の事、好きだって雪歩は感じたの？
雪歩,……うん。それで私、焦っちゃったんだ。次の日にケータイ契約して、プロデューサーに迫っちゃったんですぅ
伊織,……そう
響,今の話だと、プロデューサーはみんなに内緒にしたかったみたいだからな、もしもケータイ見られても誰だかわかる本名は、避けたんじゃないか？
真,うん。それにわかったよ、ボクがＫって虎の巻に書かれていたのは菊地だからじゃなくて、イメージカラー黒のＫだったんじゃないかな？
千早,じゃあ私が、Ｂだったのは……
真,たぶん、BlueのＢだよ。ボクをBlackにすると二人ともＢになっちゃうからボクはKuroのＫにしたんだと思うよ
雪歩,み、みんな……。ごめんなさい。みんなに黙って内緒で、プロデューサーさんと……その……
美希,そんなの気にする事ないの。ミキだっていつもアタックかけているし、そんなの当然なの
千早,そうね。機会があったらアピールしろ、そうプロデューサーも言ってたものね
真美,恋はね、後出しも先出しもオ→ケ→なんだって
春香,まあ私は、雪歩を責められないし……
貴音,気にする事は、ありませんよ雪歩
真,だね
響,そうさー！
雪歩,みんな……ありがとう
伊織,これで明日は、オーディションに集中できるわね。まずは勝って、ジュピターを追い詰めてやりましょう！
亜美,ぬっふっふ→虎の巻と兄ちゃん、を取り返してやるんだもんね→
律子,……
亜美,どったの？りっちゃん？
律子,勝てる……かしら？明日のオーディション
伊織,ちょっと！どうしたのよ、律子！！
律子,本人ではないとはいっても、あのプロデューサー殿を敵に回して戦うのよ。勝てるの、あんた達？
伊織,！
亜美,そっか……兄ちゃんに勝たないといけないのか→
千早,心配ないと思います
律子,千早？
千早,プロデューサー本人ならともかく、過去のデータと手法しか載っていないなら怖くありません
響,そうだぞ。タネがわかればなんくるないさー！
春香,そうですよ。私だってそうだとわかっていたら、それなの方法できっと勝ちましたよ
翔太,あれー？今日は全員でエントリー？
北斗,チャオ☆エンジェルちゃん達。今日はオーディションが一段と華やかだねえ
真美,むむっ！出たな、兄ちゃんをさらった悪のアイドルめ→
冬馬,おいおい、人聞きの悪いこと言うなよな。お前らのプロデューサーの失踪と、俺達とはなんの関係も無いぜ
亜美,む→！しらじらし→！！
真,じゃあなんでプロデューサーの、アイドル虎の巻を持っているんだよ？あれはプロデューサーの……
翔太,あれ？なんで知ってるの？
貴音,あなた方の悪事は、全てお見通しです
冬馬,悪事って何だよ、俺達はちゃんとお前らのプロデューサーからこれはもらったんだからな。読み方だって、ちゃんと教わったぜ。天海、我那覇、すげーよな、これ……いや、お前らのプロデューサー
伊織,だから誘拐して、監禁してるってワケ……
冬馬,だからそんな事してねーって……まてよ……
春香,なによ？
冬馬,……いや、なんでもねー。けど、俺達がおたくのプロデューサーに会った時、アイツ言ってたぜ。お前らの……。プロデューサー、人間やめるってよ
北斗,冬馬、時間だぞ
冬馬,あ、ああ
伊織,ちょっと！逃げるつもり！！
翔太,まあまあ、オーディショの時間だから、ね
亜美,かんけ→ないよ！
冬馬,……わかった。今日のオーディション、そっちが勝ったら俺が知ってる事を全部話してやる
北斗,冬馬、そんな勝手な事
冬馬,当たり前だ
亜美,でもさ→りっちゃん大丈夫かな？。だってさ→きの→だってあんなにきん超してたのに、あまとうとあんな約束しちゃったら……
律子,さあ、あんた達。今日の私の指示は、無茶苦茶だからね。覚悟しなさいよ！
亜美,りっちゃん！
伊織,ふん、なかなか頼もしいじゃない
律子,曲はSMOKYTRILL！
伊織,まあ……
亜美,じゅんと→？だね。それで？
律子,亜美、あんたはダンスに意識を集中ね
亜美,え？うん……
律子,あずささんは、二人の動きを見てサポートできる所はお願いします。伊織、この曲はヴォーカルが命だからがんばってね
伊織,そんなの……当たり前じゃない
律子,以上です
亜美,ええっ！
伊織,ちょっと律子！それっていつもと同じじゃないの！！
律子,色々と考えたけど、奇をてらってしまったら負けるのは目に見えてるわ
春香,センターを今日だけチェンジするとか、思ってましたけど
律子,あずささんの歌唱力も魅力だけどね、あずささんの艶っぽさが出ないと意味無いし
真,ダンスをいつもと変える、とか
律子,付け焼き刃のダンスより、目新しさは無くても完成度の高いいつものダンスよ
亜美,そ→かな→？
律子,そうよ。千早、プロデューサーがオーディションで一番難しい事はなんだって言ってた？
千早,当たり前の事を、当たり前にすることが一番難しい……
伊織,それは……そうね。確かに
律子,今日はあんた達に、この一番難しい事をやってもらうわよ。いつも通りの事を、いつも通りにやってちょうだい。ただし、最高のクオリティで
真,でも、負けた響や春香だって……
響,いいや！自分、おとといは新曲だったからな
春香,私だって、レッスンで習得した事を出そうとして中途半端になった感じがあるよ
律子,ね。それに今日は３対３よ？昨日までの１対３とは違うわよ！
真美,さっすがりっちゃん！目が赤いから、通常の３倍だよ！！３倍！！！
雪歩,言葉の意味はわからないけれど、とにかくすごい自信ですぅ
伊織,わかったわ。新しく付け加える事がないのなら、集中を高めておくだけよ
やよい,うっうー！伊織ちゃん、はい！！
伊織,ありがと……ん、100％オレンジジュース！さすがね、やよい
やよい,えへへー
亜美,……いいなあ。よし！真美！！
真美,うっう→！亜美、はい！！
亜美,ありがと→……ブーッ！！な、なにこれ！？焼肉のタレぇ？
真美,亜美、好きでしょ？
亜美,こんなのドリンク感覚でゴクゴク飲めないよ→！！！
雪歩,はい。あずささんには、ジャスミンティーですぅ。プロデューサーを、お願いしますぅ
北斗,いいのか冬馬？あんな約束して
冬馬,かまわねえ。北斗も、気になってるんだろ？
北斗,それは、まあね。けど、社長は……
冬馬,おっさんに怒られたら、俺のせいにしろ
翔太,ずいぶんと、あの人に肩入れしてるね。冬馬は
冬馬,俺はな！勝てばいいって気にはなれねえんだよ
翔太,冬馬……
冬馬,あの男……なんであんな目をしてたんだよ
伊織,どう？当たり前の事を、当たり前にやりきったわよ
亜美,つかれたけどね→どうかな、あまとう？
冬馬,次は俺ら、だな
北斗,ええと……竜宮小町は、ビジュアルイメージが高くてそこにヴォーカルアップの曲を入れてきたなら……ダンスイメージを強くアピール、とある
翔太,他には？
北斗,後は……冬馬？聞いてるのか？
冬馬,あ？ああ、悪い
翔太,しっかりしてよ、冬馬
冬馬,わかってるよ
司会,オーディションの結果は……合格、竜宮小町！それ以外の方々は、帰って結構ですよ
亜美,……やった？
伊織,勝った……のよね？
一同,やったあああぁぁぁーーーっっっ！！！
翔太,そ、そんな……
北斗,この虎の巻、無敵のハズじゃあ……
真,上手く読み解けば、そうプロデューサーは言ってたよ
北斗,……
冬馬,やっぱ本人が指示を出すのとは、雲泥の差か……
春香,格好つけてるみたいだけど、約束！守ってもらうからね
冬馬,ああ。わかってる
冬馬の回想,プロデューサー失踪４日後
翔太,社長も、何を考えてるんだろうね。こんな所に行け、なんて
北斗,アイドル活動の参考になる、と言ってたな
冬馬,あのおっさんのやる事だ、きっと意味が……誰だ？そこにいるのは！？
Ｐ,……
北斗,ん？もしかして……
翔太,765プロのプロデューサーだよ！なんで961プロに？もしかしてスパイとか？
冬馬,なんだと……おい、あんた！そこで何してる？事と次第によっちゃあタダじゃあおかないぜ
Ｐ,……
北斗,冬馬、様子がおかしいぞ
翔太,視線が虚ろで、なんかボーッとした感じというか……
冬馬,……だな。おい、765プロのプロデューサー！どうしたんだよ！！
翔太,ほ、北斗ぉ……こ、怖いよぉ……
北斗,どうしたんだ、一体
冬馬,まさかクスリでもヤってんじゃ、ねえだろうな
Ｐ,……鬼ヶ島か
冬馬,だからいい加減、俺の名前をちゃんと覚えろ！俺は天ヶ瀬だ！！天ヶ瀬冬馬！！！
Ｐ,そうか……
翔太,どうしちゃったのかなあ？あれ？もしかして社長がここに行けって言ったのは……
北斗,まさか……
冬馬,いや、そりゃねーだろ？こいつは765プロのプロデューサーだぜ。俺らのプロデュースなんて……
Ｐ,俺は、もう……誰のプロデュースもしない
北斗,誰も？じゃあ765プロのエンジェルちゃん達は……
Ｐ,あいつらを、危険な目には遭わせない……俺はもう、やめる……
冬馬,なんだと！？765プロを辞めんのかよ！あんたが！？
