シャロ(ある日私は、ココアと入れ替わってしまった。よく漫画とかアニメで人と人が入れ替わるというお話がある。私も小さい頃、そういう漫画を読んでいて入れ替わってみたいなと思った時期もあったっけ……そこで千夜にからかわれたのよね、,シャロちゃんと私が入れ替わったらいろいろと貧相になっちゃうわー
ココア(シャロ),な、何？。うぇ！？そ、そんなことないよ！
千夜,ほんとかな～
ココア(シャロ),！！！？？？//////
千夜,ちょっと熱いわね。大変！もしかしたら風邪かも！
ココア(シャロ),風邪じゃないから。だ、大丈夫だから安心して？
千夜,う～ん、自分の体の事だしココアちゃん本人がそういうならいいけど。でも決して無理はしちゃダメよ。何か具合悪かったら私にすぐ言うこと！
ココア(シャロ),…ありがとう千夜ちゃん
千夜,うん！だって私たち、親友でしょ？
ココア(シャロ),うん！
千夜,それにしてもシャロちゃん遅いわね。もしかしてまた兎に追いかけられてるのかしら
先生,桐間さん！なんですか、この小テストの結果は！
シャロ(ココア),ごめんなさい…
先生,バイトで忙しいのはわかりますが、勉強を疎かにしていけません。学生の本業はあくまでも勉強ですからね！
シャロ(ココア),はい…
先生,というわけで今から再テストを行うわよ！
シャロ(ココア),え～！
先生,え～！じゃありません！同じ問題ですから今日の授業を聞いていれば解けるはずです！。では今から始めますよ！ほら準備して！
シャロ(ココア),うぅ……ﾀﾞﾚｶﾀｽｹﾃｪｰ!
千夜,シャロちゃんどうしたのかしら？そろそろバイトの時間なのに…もしかして何かあったのかしら？
ココア(シャロ),ほんと遅いねー
千夜,…私ね、最近心配なの
ココア(シャロ),心配？
千夜,うん、ココアちゃんも知っていると思うけど、シャロちゃんいつもお金に困っていて貧乏だからバイト掛け持ちしながら頑張ってるのよ
ココア(シャロ),うん……
千夜,学校が終わったらバイトに行って、帰ってきたら授業の復習、予習をする。そんな毎日をシャロちゃんはおくっているの
ココア(シャロ),………
千夜,こんなに頑張っているのに生活は良くならないし、この間なんか贅沢禁止しなきゃ…って声をシャロちゃん家から聞こえたの…。だから私この間シャロちゃんにお金貸してあげようと思って話したら千夜は余計な心配しなくていいのよ！って怒られちゃった。こんなに頑張っているのに生活は良くならないなんてかわいそうじゃない！だから私もなんとかシャロちゃんのために支えてあげようって思っているんだけど何をしてあげたらいいのかわからなくて……。シャロちゃんの身近にいるのに何もしてあげられない私自身が悔しくて……
ココア(シャロ),…………
千夜,シャロちゃんいつか過労で倒れてしまうんじゃないか、って考えるといてもたってもいられなくなるの……。ねえ、ココアちゃん。私、シャロちゃんのために何をしてあげたら良いのかな？もう私、何をしてあげればいいのかわからないの…。こ、ココアちゃん！？
ココア(シャロ),私ね、思うんだ
千夜,…？
ココア(シャロ),千夜ちゃんはさっき何をしてあげたらいいかわからないって言ってたけど、シャロちゃんにとってはね…千夜ちゃんがそばにいるだけで充分なんじゃないかって
千夜,え…？
ココア(シャロ),どんなに忙しくて大変でも大好きな人や大切に思っている人と会ったり話したりするとね、そんな疲れ、忘れてしまうものなんだよ。そして前向きに頑張れるの
千夜,でも、シャロちゃんは私のこと嫌いって思っているかもしれないし……
ココア(シャロ),千夜ちゃん！それ本気で言ってるの！！
千夜,…！
ココア(シャロ),あのシャロちゃんが千夜ちゃんのことを嫌いだなんて言うと思ってるの！？
千夜,………
ココア(シャロ),シャロちゃんもね、きっと、いや絶対に千夜ちゃんのこと大好きだと思ってるはずだよ
千夜,…そうかしら
ココア(シャロ),うん！たしかにシャロちゃんは過酷な毎日をおくっているかもしれない、でもそこまでシャロちゃんが頑張ってこられるのはきっと千夜ちゃんのおかげなんだよ
千夜,…！
ココア(シャロ),千夜ちゃんの挨拶、会話、それだけでシャロちゃんは嬉しく感じているはずだよ
千夜,……
ココア(シャロ),だからね、千夜ちゃんは気づいてないかもしれなかったけど自然にシャロちゃんの支えになっていたと思うの
千夜,…シャロちゃん
ココア(シャロ),千夜ちゃんは今のままで大丈夫……だから自信持って！そして…シャロちゃんのこと、これからも支えてあげて
千夜,ｸﾞｽｯ……こ、ココアちゃぁぁん！！。ココアちゃん、今日はいろいろごめんなさいね
ココア(シャロ),ううん、私も千夜ちゃんとお話できて楽しかったよ！
千夜,ふふっ、ありがとうココアちゃん
ココア(シャロ),じゃあそろそろ帰るね。じゃあ千夜ちゃんまた明日ー！
千夜,じゃあねーココアちゃん
ココア(シャロ),ただいまー
シャロ(ココア),シャロちゃぁぁぁん！！
ココア(シャロ),うわっ！い、いきなり何すんのよ！
シャロ(ココア),今日学校でね、私が小テストの結果悪かったからって、ずっと補習やらされたんだよ！？
ココア(シャロ),勉強しなかったココアの自業自得でしょ
シャロ(ココア),あんなの勉強してもわからないよー！
ココア(シャロ),それに補習って何よ。再テストしたんじゃないの？
シャロ(ココア),…そ、それは
リゼ,前回行った小テストと同じ問題だったのにも関わらず、合格できなかった
シャロ(ココア),り、リゼちゃん！
ココア(シャロ),…どういうことかしらー？
リゼ,それに小テストの解説授業を聞いてなかったんだよな？
シャロ(ココア),リゼちゃん！どうしてそれを…
リゼ,シャロと同じクラスの後輩から聞いたよ。お前なぁ……授業中に寝るってのはどうかと思うぞ…
シャロ(ココア),リゼちゃん！これ以上言わないで～
リゼ,その補習のせいでバイトにも行けなかったんだろ？後で電話しといたほうがいいんじゃないか？
シャロ(ココア),あ、あはは……
ココア(シャロ),ココア～～～？
シャロ(ココア),ひぃっ！こんなに怖い自分の顔初めてみたよ…
ココア(シャロ),何してんのよ！！あんたは！
シャロ(ココア),うわーん、ごめんなさーーーい！！
リゼ,まったくココアのやつは…
チノ,はぁ、ココアさんらしいです
ココア(シャロ),まったく……
シャロ(ココア),うぅ…ほんとごめんね？シャロちゃん…
ココア(シャロ),もういいわよ。で、あんたはなんでここにいるわけ？
シャロ(ココア),それは…
リゼ,私が呼んだんだ
ココア(シャロ),リゼ先輩が！？
リゼ,実は…お前たちを元に戻す方法が見つかってな
ココア(シャロ),ほ、ほんとですか！？
シャロ(ココア),リゼちゃん！どんな方法なの！？
リゼ,ああ、本当だ。実は親父の知り合いに有名な薬の研究者がいてな、親父にお前ら2人のことを話したら、すぐ作ってくれたんだ
チノ,…薬ってそんな短期間で作れるんですか？
リゼ,さあな、私も薬に関してはさっぱりだからな
チノ,いいかげんですね…
シャロ(ココア),これを飲めばいいんだね？
リゼ,ああ、だが少し問題があってな…
シャロ(ココア),えっ、なになに？
リゼ,飲めば戻るんだが、問題は…その……薬の飲み方なんだ
シャロ(ココア),もー！もったいぶらないで早く教えてよ
リゼ,えっと、そ……その///…く、くち…//
シャロ(ココア),？
ココア(シャロ),？
リゼ,く、口移しで飲まなきゃダメなんだ！！///
ココア(シャロ),
チノ,
シャロ(ココア),……………え？
ココア(シャロ),く、口移しですってぇぇぇ！？///
リゼ,なんでも……お互いの唾液を必要とするらしくてな。そのお互いの唾液の成分が薬と調和し合って効果がでるらしい…
チノ,…ほんとですか？それ
リゼ,ほ、ほんとだよ！親父が言っていたんだから間違いない
ココア(シャロ),ですって。ココア、どうする？
シャロ(ココア),口移し…口移し、シャロちゃんと……口移しだなんて////
ココア(シャロ),…こりゃダメね
チノ,ココアさん！！！
ココア(シャロ),ひゃぁい！！ち、チノちゃん？
チノ,まったく、しっかりしてください
ココア(シャロ),ご、ごめんね…
リゼ,まあ、飲むかどうかは２人に任せるが
シャロ(ココア),しゃ、シャロちゃん…どうする？
ココア(シャロ),…もちろん、飲むに決まってるでしょうが
シャロ(ココア),で、でもシャロちゃんの…ふ……ファーストキスが…///
ココア(シャロ),…そんなの気にしないわよ。それに、これは戻るためには仕方のないことなんだからノーカンよ、ノーカン
シャロ(ココア),あっ！そっか！
ココア(シャロ),それに……ココアとキスするの、嫌じゃないし…//
シャロ(ココア),………え？///
チノ,シャロさん！それってどういうことですか！？
リゼ,チノ、落ちつけ
ココア(シャロ),言葉の通りよ。別にココアとキスするのは嫌じゃないわ。でも安心して。ココアのこととるつもりはないから
チノ,そうですか…
シャロ(ココア),元に戻ったらいーっぱいお姉ちゃんに甘えてもいいんだからね♪
チノ,そ、そんなことしません…！////
ココア(シャロ),ココア、そろそろいい？
シャロ(ココア),うん！
リゼ,じゃあ私たちは二階に行くから終わったら呼んでくれ
シャロ(ココア),へ？どうして？
リゼ,どうしてって……お前は、私とチノがいる前でキスできるのか？
シャロ(ココア),あ……そっか…//
リゼ,じゃあ、チノ私たちは上に行くぞ
チノ,そうですね
シャロ(ココア),なんだか入れ替わるっていうのもあんまり良いもんじゃなかったな…
ココア(シャロ),あらそう？私は結構楽しかったけど
シャロ(ココア),え～！？
ココア(シャロ),でもまあ、あんたの体でしばらく過ごしてきたけど、やっぱり自分の体が一番しっくりくる感じがするわ。なんか落ちつかないというか
シャロ(ココア),あっ、それ私も思ってたんだー。なんか自分が自分じゃ無くなっていく感じがして……
ココア(シャロ),そうね。でもま、しばらくの間だったけど、演技頑張ってくれてありがとね
シャロ(ココア),シャロちゃんこそありがとう！こうなったのも本当は私のせいなのに…迷惑かけちゃってごめんね
ココア(シャロ),もういいわよ。それから戻る前に私から一言！
シャロ(ココア),？
ココア(シャロ),チノちゃんのお姉ちゃんとして振る舞うのもいいけど、たまにはお母さんみたいな振る舞いもしてあげなさい
シャロ(ココア),へ？それってどういう……
ココア(シャロ),言葉の通りよ。覚えておきなさい
シャロ(ココア),は、はぁ…
ココア(シャロ),ココアからは何かある？
シャロ(ココア),正直、シャロちゃんと入れ替わってからの生活は大変だったよ。口調変えなきゃいけないし、お嬢様としての振る舞いをしなきゃいけないし、勉強は難しいし、学校の後はバイト、しかも掛け持ちだし…
ココア(シャロ),それは……悪かったわね
シャロ(ココア),ううん、たしかに大変だったけど毎日が充実していたし、お嬢様学校に一度通ってみたいな～って昔から思ってたからいい機会だったし。それにね、こんな忙しい日々をシャロちゃんは毎日おくっているんだなって考えたらシャロちゃんのこと尊敬しちゃった
ココア(シャロ),…べ、別にそんな大したことしてないわよ
シャロ(ココア),私からすればすごいことだよ！…だからね、あんまり無理しちゃダメだよシャロちゃん
ココア(シャロ),……あんたに言われなくてもわかってるわよ
シャロ(ココア),じゃあそろそろ飲もっか
ココア(シャロ),ええ、って最初はどっちが飲むのよ
シャロ(ココア),えーと、じゃあシャロちゃんお願いね！
ココア(シャロ),わ、私！？
シャロ(ココア),私だと上手くできるかわからないし、こぼしてしまいそうだから
ココア(シャロ),私だって上手くできるかわからないわよ。まあ、やってみるけど…
シャロ(ココア),うん、お願い
ココア(シャロ),……じゃあ、いくわよ。…………
シャロ(ココア),…………
ココア(シャロ),……ﾝｯ…
シャロ(ココア),……！///
ココア(シャロ),……ん……ん……
シャロ(ココア),…んん…ん……！
ココア(シャロ),………ん…
シャロ(ココア),…んんっ、ちゅっ……。ちゅる……はむ、んぅ……
ココア(シャロ),ん、っ……ちょ……ゃめっ………
シャロ(ココア),ん、んっ………はむ…。ちゅっ…ん………くちゅ…
リゼ,気になるからココアとシャロには内緒で陰から見ていたが…
チノ,あわわわわわ//////
リゼ,チノにはまだこの光景は早かったみたいだな……
ココア(シャロ),ん、っ……ん……ちゅる………
シャロ(ココア),くちゅ………はむ…
千夜,こんにちはー。シャロちゃんいるかしらー？って……
ココア(シャロ),ちゅっ……はむ…………
シャロ(ココア),くちゅ………ふぁ、ん……
千夜,………………え？
リゼ,うわっ、眩しいっ…
ココア,ぷはっ……
シャロ,………
ココア,何！今の光！？ってあれ？
シャロ,………
ココア,戻ってる……私の体だ！やったー、元に戻れたー！
シャロ,………
ココア,シャロちゃん、やったよ！私たち元に戻れたよ
シャロ,…きな……す…のよ
ココア,へ？
シャロ,いきなり何すんのよ！口移しだけのはずでしょ！？なんであんなに長くやる必要があったのよ！
ココア,ん？ああー…それはごめんねー……
シャロ,私が離れようとしたらあんた急に肩つかんできて、離れようにも離れること出来なかったし…
ココア,あはは、ごめんね。私キス初めてだったからどんな感じかわからなくて。いざしてみたら、とても気持ち良かったもんだからつい…
シャロ,もー！！……
リゼ,お前たち、無事に戻れたか？
シャロ,リゼ先輩！
ココア,あっ、リゼちゃん！うん、無事に戻れたよ
リゼ,そうか。それは良かったな
ココア,あれ？チノちゃんは？
リゼ,あー、チノならちょっと熱がでたから部屋で休んでるよ
ココア,ほんと！？それは大変！お姉ちゃんが看病してあげなきゃ！
リゼ,だ、大丈夫だ、熱はそんなに高くなかったから
ココア,ほっ、それならよかった
シャロ,まったく、もうココアと入れ替わるなんてこりごりだわ
ココア,えー、シャロちゃんそれひどいー
千夜,……………
リゼ,あーお前たち、楽しんでいるところ悪いんだが……
シャロ,はい？
ココア,んー？
リゼ,その、入り口に千夜がいるから、話しかけてやってくれ
シャロ,…へ？
ココア,え？
千夜,…………
シャロ,
ココア,
リゼ,…あ、あー私はチノの様子でも見てくるかな
シャロ,あ、あの…千夜？
ココア,おーい、千夜ちゃーん…
千夜,二人ともどうして…
シャロ,え？
千夜,どうしてさっき二人でキスしてたの…？
シャロ,え？…キス！？な、なんのことかしらーココア？
ココア,い、いやだなぁ千夜ちゃん。私とシャロちゃんは決してキスなんかしてないよ。ほら！あれだよ。友達としてのスキンシップで抱き合っていただけで……
千夜,嘘なんでしょ？私途中からばっちりと見ていたから
ココア,
シャロ,
千夜,二人ともひどいわ…
ココア,えーと、千夜ちゃん。それには深いわけが…
千夜,シャロちゃんは千夜ちゃんのこと絶対大好きなはずだよってココアちゃん言ってくれたのに…！。あの時、悩んで悲しんでた私…馬鹿みたい……
シャロ,千夜ちがうの！ほんとは私…！
千夜,ｸﾞｽｯ……うぅ……ココアちゃんとシャロちゃんのばかぁぁぁぁぁぁ！！！
シャロ,ちょっ、千夜！
ココア,シャロちゃん、追うよ！
シャロ,ええ！このまま誤解されたままなんて冗談じゃないわ！
ココアシャロ,待ってー千夜(ちゃん)！！
ティッピー,まったく、さわがしいのぉ…
シャロ,千夜、大事な話があるの。聞いて
千夜,…？何かしらシャロちゃん
シャロ,私ね、ずっと前から千夜のことがーーーーーーー
