……名を冥,メイ
純,は？……え、何？
双馬,……動けない
静,……
純,……は？
双馬,ずっと……浴びせられてる。振り絞るような殺意が……僕に突き刺さっているんだ
静,！！。……そ、双馬……！
双馬,……畜生。ただの……純粋な、ドス黒い殺意なら、良いんだ。耐えられる。……なのに……！。……なんなんだ、クソ。……吸血鬼だろうがッ！お前……人を食い物にする、化物……じゃあないのか！！
メイ,…………
双馬,なんで……そんな、辛そうな顔で……本当は殺したくないなんて、シミったれた偽善者ぶった顔で……内側からヒネり出すように、殺意出して、僕を見るんだッ！！！
メイ,……私は、皆が手を取り合える世界へ行く。……だけど、ね……。人では無く、物から過去の記憶を読む貴方は……貴方だけは
双馬,……
メイ,……連れていく事は、出来ないの。貴方の能力は……天国を壊すから
純,……
静,……は？
双馬,……ハアッ！ハアッ！ハァ……！！。ペーパー――……！！。……
純,……？…………
静,……そ……
メイ,……約束するわ。……貴方の事は、忘れない
双馬,…………
メイ,……貴方という犠牲のもと……私達は、天国で生きる
双馬,……。
純,……あ……ああああ……！！
静,……双、馬……？
純,双馬ァァァア――――ッ！！！！
静,うああああああぁぁぁぁあああぁあああああ！！！！
メイ,無駄・無駄・無駄・無駄……無駄なのよ、静
静,くッ！テメェ……離せッ！離しやがれッ！！メイィィィイイイイ！！！
メイ,私達は向かうの。完成した私の能力によって……この世の人類が幸せになれる世界へと、向かうのよ……。名を冠するならワンダフル・ワールド素晴らしきこの世界
静,！！……な……
メイ,それじゃあ……おやすみなさい、静。新しい世界では……私と、いっぱい、仲良くしてね？
静,……ふざけ――……
？？？,……ずか……静…………起きなさい、静や。起きなさい。これ……風邪をひいたらどうするんじゃ。静……
ジョセフ,おお、起きたかの～～静
静,5歳
ジョセフ,……なんじゃ、静。泣いておるのかのー？
静,え？……あれ？なんで、あたし……ないて……？
ジョセフ,怖い夢でも見たんじゃろう。よーしよし、わしがおるから大丈夫じゃぞ。よーしよし……
静,……うん……あたし、こわい夢……見た、かも……。夢の中で、あたし……もっと年上の、おねえさんになってて……
ジョセフ,……
静,それで……アメリカじゃあなくって、どこか遠くの、小さな町で……あたし、なんだか……大切なものを、失った……そんな、夢を見た気がするの
ジョセフ,ふーむ……それは辛かったのう。ほれ、おいで静
静,……うん
ジョセフ,よしよし、大丈夫じゃ。お前さんはなーんにも、失っちゃあおらんからの
静,……本当？
ジョセフ,本当だとも！おじいちゃんはのー、静にウソなんか言った事ないわい
静,……おじいちゃんの話す冒険話は、うそくさいけど、ね
ジョセフ,むむむ……もっと格好いい所見せないといかんかのう……。ほれ、そろそろ行きなさい。静
静,え？
ジョセフ,お友達が来ておるよ。いつもの子じゃ。エントランスまで迎えに行ってあげなさい。今日は寒いが天気も良いしのー……一緒に外で遊んだらどうじゃ？
静,……友達……？
ジョセフ,ほれほれ、早く行ってあげなさい。お友達を待たせるもんじゃあないぞ
静,……。……友達……あたしの、友達って……？。……だって、ニッポン人の顔してるあたしの事、みんなあまり、話してくれないし……冒険ごっこだって、いっしょにしてくれない……。あたしと、遊んでくれる人なんて……。誰も……。……ほら。エントランスになんか、誰も――……
？？？,……あッ！
静,え？
？？？,やっと来たわね。フフフ……お昼寝でもしてたのかしら？一緒に遊ぼうって言ってたのに……忘れちゃった？
静,う、ううんッ！忘れてなんかないっての。友達の……あなたとの約束、だもの！
？？？,そうよね！フフフ……
静,……え？けど……あ、アレ？
？？？,なあに？どうかした？
静,……あ、あなたって……？
？？？,もう、静ったら！まだ寝ぼけてるんじゃあないの？
静,ごめんね。えっと……？
？？？,フフフ……
