男,学校来んなよ、ブス
QB,総体から切り離された個体の僕は。...この体が最後の体だ。...そして、あまり寿命も長くない。ふふ、まどかに猫って言われたけど。死に際を見られたくないんじゃ、本当に猫みたいだ
杏子,...お前...
ほむら,...礼は言わないわよ
QB,...勿論さ、僕が招いたことだからね。...さて、僕がいなくなった事によって、また後任がここへ来る。その個体は多分、今まで通りまどかを狙ってくるよ。...精精、気を付けることだね。...じゃあ
まどか,...待って
QB,...起きたんだ
まどか,...ありがとう、QB
QB,...。...はは。...こんな機能、付いてないんだけどな
まどか,な、なんとか間に合ったね...！
ほむら,ふふ、えぇ、そうね
まどか,...すぅ...はぁ...
ほむら,原因の魔女は倒したから大丈夫よ
まどか,...あ...えへへ
ほむら,...昨日まどかが事の全てを聞きたがるもんだから...ふあぁ...
まどか,...よし、行くよ
さやか,おっ、まどか、おはよー！
まどか,...
さやか,どうしたどうしたー？もしかしてさやかちゃんが可愛すぎて声を失ったかー？
まどか,お、おはよう、さやかちゃん...！
さやか,おう！転校生もおはよ！
ほむら,...おはよう
まどか,...えへへ
ほむら,...良かったわね、まどか
まどか,うん！。...次は英語だっけ
ほむら,忘れたの？
まどか,...うーん...何かに引っかかって...。よし、取れ...。...た...？
さやか,あっははははははははははははははははははははははははははははははははははははははははははははははは！！！！！！
まどか,...い。...嫌ぁぁぁぁぁーーーーー！！！！！！！
杏子,...何か食いもんねーかな。...あの野郎、いつも何食ってやがんだ？。ぱさぱさの板切れしかねーぞ...。...ん？。...よう、久々だな。まだ甘い事抜かしてんのか？。学校サボるなんてらしくねーじゃねーか、マミ
マミ,...佐倉...さん
杏子,...
マミ,...どうして、あなたが...
杏子,さぁな。...ところで、調子はどうだい？
マミ,...えぇ、大丈夫よ
杏子,...？。...いつになく静かだな
マミ,...その様子だと、違うようね
杏子,...は？
マミ,...あなたの魔法かなにかだと思っていたけれど...
杏子,...なんだ何だ？どうした？
マミ,...。...あなた...ここ数カ月の...記憶がある？
杏子,...
マミ,...気が付いたら...家具の配置が微妙に違ってた。...ソウルジェムも、少しだけ色がくすんでいた。...あなた、何か知ってるの？。...周りの人に聞いてみても、記憶が無いのは私だけなのよ
杏子,...
マミ,...？
杏子,...お前だけ...なのか？。...おまえだけ記憶がないのか！？
マミ,...！？...え、えぇ...
杏子,...くそっ...！
マミ,どこに行くの！？
杏子,悪い！マミ！ちょっと待っててくれ！
マミ,...。...何なのよ...もう...
杏子,...くそっ！くそっ！！
さやか,あー、久々に気分いいわぁー
ほむら,...大丈夫？まどか
まどか,...ひっぐ...ぐすっ...
さやか,まどかぁ、聞かなかった？今度は爪じゃ済まさないって
まどか,...ざやが...ちゃん...
ほむら,...
まどか,...
ほむら,...帰るわよ、まどか
まどか,...え？
さやか,そう簡単に返すと思ってんの？。あんたも標的だよ、てんこ
ほむら,...どきなさい
まどか,ほ、ほむら...ちゃ...
ほむら,行くわよ、まどか
まどか,...うううぅ...痛いよぉ...。...どうして...？。...もう...終わったんじゃないの？
ほむら,...魔法は消えてはいなかった。...彼女達を解放するには、あまりにも長くあの魔女の魔力下に居すぎた。...文字通り...根付いてしまった
まどか,...そ、んな...！
ほむら,...大丈夫...大丈夫よ...。...私だけは何があっても...あなたの味方で居続けるから...！
杏子,...ほむら！
ほむら,...杏子
杏子,...まどかは！？
ほむら,...
まどか,...うっ...ううぅ...ぐすっ...
杏子,...まど、か...
まどか,...ひっぐ...ひっく...ぐすっ...
杏子,...。...もういい。...分かった。...辛かったな、まどか。...大丈夫...あたしが。...あたしがそいつらを殺してくるから。...だからお前は笑っててくれ
ほむら,...杏子！
杏子,止めんな。...もういいんだよ、もう。...結局あたしたちじゃ、何も出来なかった。...まどかにとって、この街はもう敵だ。...だったら、あたしは。...まどかの味方のあたしは...。...この街をぶっ壊すしか...。！？
マミ,...話はよく分からないけど、そんな事はさせないわよ
杏子,...マミ...！！！！
ほむら,...巴...マミ...
まどか,ひっ...！！！
マミ,...。...あなたは...？
ほむら,...！。...あなた...！彼女を見て何も思わないの...！？
マミ,...？えぇ...
杏子,...マミだけが、例外だ。...魔法少女は、魔法さえ消えれば、その後影響は受けねぇ。...そういう事なんだろ
ほむら,...そう
マミ,...大丈夫...？
まどか,...やだ...来ないで...
マミ,...えっと
まどか,...来ないで！！！
マミ,...
まどか,...もうやだよ。...もう、分かんないよ。...私は...
ほむら,...
まどか,...何も悪いことなんか...してないのに...！
ほむら,...まどか
まどか,...みんな...みんな。...私を虐めた人たちみんな...！同じ目に合えばいいのに！！！！
ほむら,...っ
杏子,...
マミ,...
まどか,もう...嫌だよぉ...
杏子,...
ほむら,...
マミ,...
杏子,...まどかは？
ほむら,...寝室から出てこないわ
杏子,...そっか。...あいつ、ずっと我慢してたんだ
ほむら,...当たり前よ。あんな...辛い...！
杏子,...なんて言えばいいのか...分かんねぇよ。...あたしは、どうすりゃいい。...あの魔女を倒せば、まどかは普通に生きていけると思ってた。...でも、その方法が無いんだろ？。まどかを本当に救う方法は、無いんだろ？
ほむら,...
マミ,...ねぇ、貴方達何を言ってるの？。...彼女は、見たところとてつもない素質を秘めているようだけど...。...それに関係しているの？
ほむら,...そうね。...教えるわ
マミ,...そんな、事が...
ほむら,...あなたのここ数カ月の記憶がない理由も...分かるわね？
杏子,...
マミ,...そんな、酷すぎるわよ...。...余りにも...
ほむら,...この街から出ていくのは簡単よ。...彼女がそれを望むなら、私は手を貸す。...だけど、この街は...。...いくらひどい仕打ちを受けても...あの子が生きてきた町なのよ。...数ヶ月に及ぶ、彼女に対しての様々な暴力に、彼女が耐えることが出来たのは。...それ以前の大切な思い出があったから
杏子,...だったら...なおさら残酷じゃねぇか...
ほむら,...そうね
マミ,...魔女に標的にされた...たったそれだけの事で...こんな事になるなんて
杏子,...
マミ,...決めたわ。私も手伝う
杏子,...はぁ！？
マミ,...私もあなた達を手伝うわ
杏子,あ、甘い事言ってんじゃねぇ！あんたあの現場を見たことあんのか！？。...とても耐えられるもんじゃ...！
マミ,...佐倉さん。...あなた、変わったわ
杏子,...はぁ？
マミ,...確かに芯の...優しい心根の部分は変わってはいないけれど。...あなたは、人の為に何かをしようとはしなかった
杏子,...言ってる意味がわかんねーな
マミ,そう？じゃあ丁寧に教えてあげる。...あなたを変えた、彼女達と、話してみたい
杏子,...！
マミ,暁美ほむらさんと、鹿目まどかさんと。私は、語り合いたい。...これまでのこと、そして、これからのこと
杏子,...ば、ばっかじゃねーの...
マミ,馬鹿でも構わないわ。私は、貴方達と、お友達になりたい
ほむら,...。...その言葉を、まどかにも言ってあげて
マミ,えぇ...
杏子,...
まどか,...もうやだよ。...嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ...。...私は、悪くない...！何もしてない...！。...方法はないの...！？私...ずっとこのままなの！？。...っ！。...死...ぬ...。...それは、嫌だよ。...。...え？。...Q...B...
QB,だからまどか。僕と契約して、魔法少女になってよ！
ほむら,...
杏子,...。...まどか、置いて来ちまったな
ほむら,...いいのよ、たまには休まないと
杏子,...お前は平気か？
ほむら,あらあら、随分と弱く見られたものね？
杏子,...何かあったらすぐに呼べ、約束だぞ
ほむら,...ふふ。えぇ、そうね、約束よ
さやか,あっれぇ？転校生？。今日はあいつと一緒じゃないの？
ほむら,...
さやか,...無視すんなよ！
ほむら,...。...ふふ。...まどかが居ないから、今度は私？。安い人間ね？美樹さやか
さやか,...。...そうやってさぁ、上から目線で物言うの、止めときなよ。...ふふ、その顔、見られなくしてあげる
ほむら,...。...
さやか,...怖い？あはははは！なにか言う事は...！
ほむら,...ペッ
さやか,...
ほむら,...あなたってホント、愚かだわ？
さやか,やってくれんじゃん！根暗がさぁ！！！
ほむら,...
さやか,...よ～し、あんたが泣いて謝るまで人間サンドバックだ。...いや、泣き喚いても止めないかなぁ。ほっんっとっ！ムカつくなぁ！！
ほむら,...
さやか,...いつもいつもあんなやつの味方でさぁ！。分かんないの？あいつはさ、いじめられてるんだよ！。死んだ方がいいんだよ！。...っはあ...はあっ...！。ふふふ、美人な顔が台無しだね
ほむら,...。...終わり...？
さやか,...あ？
ほむら,...こんなくだらない事で私を屈服させることができると思ってるの？。やるなら、殺してみなさいよ、この意気地なし
さやか,...。上等だよ！この女ぁ！！！
ほむら,...つっ...！
さやか,もういい、あんたの顔グチャグチャにするまで止めないから。このぉっ！！
ほむら,...いっ...！！
さやか,所々髪の毛引きちぎって斑ハゲにしてやるよ！！あはははははははははは！！！！！！！！！
まどか,...もう。...酷いよ...二人しておいていくなんて...。...大丈夫。...ほむらちゃんと、杏子ちゃんが居れば...私は。...魔法少女にならなくたって...生きていけ...！。ひゃ！？。...何の...音...？。...何、これ...？。...髪の毛...？。...お、おかしいよ。...この、量...。...でも、これって...！！
さやか,ほらほら！！！もう無い方が多いじゃん！！！はははははははははは！！！！
ほむら,...
まどか,...。...誰...？
ほむら,...ま、どか...
まどか,...嘘、だよね？。...ほむ、ら...ちゃ...
ほむら,...
さやか,まどかおっそーい。これ、なんだと思う？
まどか,...これ...
さやか,あいつの、か、み、の、け。...ぷっ...あっははははははははははははははははははははははははははは！！！！！！！
まどか,...。...もう、ダメだ
さやか,聞こえてる～？。あんたに植毛してやるよ！これぇ！！！！
まどか,...QB
QB,...やあ
ほむら,...まど...か...！それは...ダメ...！！
さやか,...何こいつ？ペット？
まどか,...。殺せる力が欲しい
QB,...僕の聞き違いかな
まどか,...私の大切なお友達を、こんなふうにした。...ううん、ゴメン...もう止められない。...私をいじめてきた人間全てを！！殺せる力が欲しい！！！！！。復讐してやる！！！
QB,そうかい...それは君の魂を差し出すに足るものかい？
まどか,...魂でも何でも、差し出すよ。だから、私に！！！
ほむら,ダメェェェーーーーーー！！！！。...あ、あ...
まどか,...Q...B...？
さやか,なななな、何なのよ...！あんた...！
ほむら,...き...こ...
杏子,...あぶねーな、バカ野郎
まどか,...杏子...ちゃん...どうして
杏子,こいつを殺すしかお前の契約を止める方法がなかった
まどか,...どうして...邪魔するの？
杏子,...バカ野郎...まどか...。...辛い時は、頼れよ...。...そんな、下らない願いなんて叶えるな。...お前は、もっと、優しいだろ？。...頼むから、馬鹿なこと考えないでくれよ
まどか,...
さやか,あ、あんた...！
杏子,黙れ。お前は口を開くな
さやか,...あ、え...？
まどか,...杏子...ちゃん
杏子,...大丈夫、傷は浅いよ。...帰ろう、まどか。...そいつも大丈夫さ。魔力を使えば、傷は治る
まどか,...ほむらちゃん...
ほむら,...
まどか,...ほむらちゃん...ほむらちゃん...ほむらちゃん...！！
杏子,...
マミ,...あ...
杏子,...よう。...今帰ったぜ、マミ
マミ,...！ひ、酷いキズ...！
杏子,手当してやってくれよ...こいつ、もうソウルジェムも真っ黒なんだ
マミ,...えぇ...
杏子,...はは、抜け目ねぇな、QBの奴...。...ちょっと、あたしも疲れた。...寝てくる
マミ,...
さやか,...許さない許さない許さない。...何なのよ...あいつ...！。何なのよ...！何なのよ...！
QB,知りたいかい？
さやか,っ！？
QB,知りたいなら教えようか？
さやか,あん、た...さっき死んだはずじゃ
QB,うん、さっきの固体はね、だけど僕達インキュベーターに明確な死は存在しない。絶対にありえないけど、強いて挙げるなら種の絶滅かな
さやか,...さっきの、あいつは何？
QB,...佐倉杏子かい？
さやか,あの赤い髪の毛の奴しかいないでしょ！！。何も無いところから...槍を出して...意味わかんない...！
QB,それはね、彼女が人知を超えた力を持つ、魔法少女だからさ
さやか,...はぁ？。...馬鹿馬鹿しい...魔法なんてあるわけが...
QB,ふうん、僕達のような小動物が人間の言葉を喋ることは有り得るのに？
さやか,...
QB,彼女達はね、その願いと引換に、魔法という力を授かった存在なのさ
さやか,はぁ？引換になってないじゃん、それ
QB,言葉が足りなかったね、魔法という力を駆使して魔女を倒す使命を負う、という事が対価だよ
さやか,...
QB,僕の言葉を信じるかい？
さやか,...。...それで？
QB,...え？
さやか,あんたはわざわざ私にそれを教えるために来たっての？
QB,随分荒んでるね
さやか,...
QB,君さえ良ければ、魔法少女にならないかなと思っただけさ
さやか,...は？
QB,君は僕が見えているんだ、素質としては充分だよ
さやか,...私も...あいつみたいになれるってこと...？
QB,君さえ望めばね
さやか,...。...くひっ...はははは。...それってさぁ、どんな願い事でも叶えられるの？
QB,願い事に関しては、僕達は口出ししないよ、助言はするけどね
さやか,...あはは
QB,...？
さやか,だったら、私に教えなさいよ
QB,...？
さやか,まどか
QB,...そんなことが君の望みなのかい？
さやか,ふっ、あははは！そんなこと！？。あいつが隠してること、何もかも全て私が握ってやるんだよ！
QB,...。彼女が憎いなら、魔法の力で殺せばいいじゃないか、魔法を使えば完全犯罪なんて...
さやか,分かってないなぁ、あんた。自分が殺されるって分かってる奴を殺して何が面白いのよ。サイッコーにむかつく奴をじわじわ追い詰めて、勝手に死んでいく姿を見るのが楽しいんじゃない！！
QB,...なるほどね。僕には、感情なんてないけれど。人間の価値観で言えば、君は最低だ
さやか,最低で構わないっての！。さぁ！叶えるの！？叶えないの！？。いいや、叶えろよ！インキュベーター！！！！
QB,...。契約は、成立したよ
さやか,...。...あ、れ...？。...私、何して...？。...え...あんた...何...？
QB,...僕は、QB。...君はたった今、僕と契約をして、魔法少女になったんだ
さやか,...。...思い出せない。何...魔法少女...？
QB,ふう、君は忘れてしまったのか。じゃあ、教えてあげるよ。君の願い事は鹿目まどか
さやか,まど、か...？。...は？...え...？。...何が...何で？。...これは...私...？
QB,間違いなく君だよ。頭でも打ったのかい？記憶が喪失しているようだけど
さやか,あ、あんた...何言ってんの？。...わ、私が...まどかにそんな事するわけが...。...うぐっ...！！。...おえええええええっ...！！！。...意味わかんない...！だって私は...まどかの...
QB,まどかの、何だい？
さやか,イヤッ...！！イヤッ...！！いやぁっ！！！！。いやぁぁぁぁぁぁああああーーーっ！！！
杏子,...
ほむら,...
マミ,...
ほむら,...あ、その...マミ...
マミ,なぁに？
ほむら,...ありがとう
マミ,...。いいわよ、別に。...元に戻ってよかったわ、綺麗な髪の毛だもの
ほむら,...
杏子,...おい、ほむら
ほむら,...
杏子,...なんで、約束を破りやがった
ほむら,...。...それ、は...
杏子,...言ったよな？やべぇ時は呼べって
マミ,...佐倉さん...暁美さんにも...
杏子,事情があるからなんだってんだよ。...お前は、まどかに同じ事をされて平気なのかよ
ほむら,...
杏子,...巻き込みたくないとか、迷惑をかけたくないとか、そんなこといちいち考えんな。...されて嫌な事なら...二度とすんな
ほむら,...
杏子,二度とすんなっ！！！
ほむら,...ごめん...なさい...
杏子,...グスッ...
マミ,...あら？。...変な気配...
ほむら,...え？
マミ,...この街に魔法少女は3人しかいないのよね？
杏子,...？あぁ...
マミ,...だとしたら、この反応は...魔法少女ではないってこと？。...新手の魔女？
ほむら,...！！
杏子,...いや、違う。...この反応は...魔法少女だ、魔女じゃ、ねぇ...
ほむら,...。...美樹...さやか...！
杏子,...美樹...？
ほむら,...かなり、厄介ね。...もし、マミが正気に戻った原因が魔法少女であるということではないとしたら...。...もし、さやかがあのさやかのまま、魔法少女になったとしたら...！
杏子,誰だよ...そいつ！
ほむら,...あなたが切った女の子よ...
杏子,...！！！！
ほむら,...まどかが、危ない...！
杏子,...くそっ...！！
さやか,...。...ここに、まどかはいる...
QB,君はその記憶を信じないつもりかい？
さやか,...当たり前でしょ...！まどかが私の知らない転校生の家にいる訳ない...！。まどかは、自分の家に...！
詢子,...おう、さやかちゃん、どうした？
さやか,...。...あ、あの...
詢子,うん？
さやか,...その...！。...まどかは、居ますか...？
詢子,...。...あー。悪い、どこか行ったっきり帰ってこないんだわ
さやか,...っ...。...いつ、帰ってきますか？
詢子,...さぁ、分かんない
さやか,...そ、それは...
詢子,ん？
さやか,...今日は
詢子,...。...ぷっ...あはは、マジな顔しちゃってまぁ
さやか,...！
詢子,あいつなら、三日前か四日前から見てないよ
さやか,...。...はぁっ...はぁっ...はぁっ...！！！
詢子,そもそもさー、私あいつ嫌いなんだよね。娘と思ったことなんか、1度もなあさ。あ、タツヤは違うけどね。お、おい、さやかちゃん！？
さやか,わ、私は...！まどかを傷つけてなんかいない！。だ、だって...！まどかは私の親友で...！。帰り道には、一緒にアイスを食べたり...！CDショップに行ったり...！。...私の悩み事や、あいつの悩み事を聞きあったり...！。...それで、それで...！！
QB,誰に言っているんだい？
さやか,...っ！！
QB,いいや、違うね。君は、言い聞かせてるんだ。信じられないから、そんな自分が。だけど、心のどこかで、彼女を傷つけたのは自分だという確信があるから。君は自分に言い聞かせたんだ
さやか,...。...私は、本当に...。...まどかを、あそこまで...！
QB,標的を仕留めるには、まず近しい立場の者を引き入れればいい。あの魔女なりの、策だったんだ。不運だね、君はまどかに近すぎた余り、まどかをあれ程まで傷つけてしまった。近しいものに裏切られた時の絶望は、想像を絶するらしいからね
さやか,...。...。...あんた...。...暁美、ほむら...
ほむら,...はぁっ...はぁっ...！！
さやか,...そっか。...私、あんたにも...酷いことしたんだ...。...うぐっ...おぇえ...！
ほむら,...
さやか,なるほど...殺しに来たってわけ...？
ほむら,...
さやか,そりゃ、そうだよね。...もう分かってる、これは、私が本当にやったこと。手のひらだったとは言え、踊ったのは私。...あははは、あはははは
ほむら,...
さやか,...なんで、そんな顔するのよ...。...知ってる？私ってば、まどかをもっと深い絶望に落とすために。まどかの全てを知りたいって願ったんだって。...きっと、それが私の本質なんだよ。...いや、そうじゃないのかもね...でも、もう、分かんない...
ほむら,...
さやか,...殺しなさいよ...！私を...殺し...！
ほむら,...使いなさい
さやか,...は？
ほむら,...それを使って、ソウルジェムを浄化しないと...あなたは死んでしまう。...今更嘘をついて、あなたを騙そうなんてしないわ。...浄化しないと...本当に死ぬわよ
さやか,...だからっ...！死にたいって言ってるのよ...！。私は、死にたいのよ...！！
ほむら,...
さやか,...あれだけ酷いことをした私に生きる価値なんてない！。まどかも...！それを望んでる...！
ほむら,...あなたは契約によってまどかのすべてを知ったんでしょう！？
さやか,...っ！
ほむら,だったら...！分かるはずでしょ！。...まどかは今でも...あなたの帰りを待っている...！。...それが分かっていながら...殺してだなんて...！。貴方はどこまで彼女を傷つければ気が済むの！？
さやか,...
ほむら,まどかについて全て知っているなら、それについても知ってるでしょう...！。...魔女の卵...グリーフシード...それを使わないと...あなたは...！
さやか,...馬鹿。...馬鹿だよ...まどかも、あんたも...
ほむら,...
さやか,...何だって...こんな私を信じるの...？
ほむら,...あなたが、美樹さやかだからよ
さやか,...。...そっか。...まどかは、許してくれるかな
ほむら,...そんなこと知らないわ、あなたが決めることよ
さやか,...そっか、そっか...
ほむら,...
さやか,でも、これは受け取れない
ほむら,...っ！？
さやか,まどかは私をきっと許してくれる。...最低な私でも、受け入れてくれる。でも、それじゃダメなんだ
ほむら,...あなたっ...まさか...！
さやか,踊らされていたとはいえ、あいつの人生を踏みにじったのは、私。だったら、私も...。...残りの人生、残りの全てをかけてまで償わないと...割に合わない
ほむら,それ以上呪わないでっ！ソウルジェムが...！！！
さやか,私を糧にして。まどかの大切な友達であるあんた達の、糧にして
ほむら,さや...！
オクタヴィア,オオオオオオオオオオオオオオオオオオ！！！！！！
ほむら,...美樹っ...さやか...！！
オクタヴィア,...オオオオオオオオオオオオオオオオオオ！！！！！！
ほむら,...馬鹿...馬鹿...！！
オクタヴィア,...オオオオオオオオオオオオオオオオオオ！！！！！！
ほむら,...。...お前は...。...お前は、断じてさやかじゃない。...お前は...あの。...馬鹿ね。...不器用過ぎるわよ...！
オクタヴィア,アアアアアアアアアア！！！！
ほむら,あああああああああああ！！！。...。そうよね
オクタヴィア,...アアアア...アアアア...
ほむら,...。...。...聞こえる？さやか...。...私が、あの子を守るから。...きっと、ワルプルギスの夜を超えてみせるから。...だから、安心して、眠りなさい
杏子,...
マミ,...。...魔法少女は、魔女になるのね
杏子,...あぁ
マミ,...私達は、QBに利用されていたに過ぎないのね
杏子,...だな
マミ,...
杏子,だけど。...そんなこと、気にもしないで、前を向くやつがいる。自分にとっての世界すべてに裏切られても、諦めなかった奴がいる
マミ,...
杏子,...あたし達が、諦められるわけがねーよな？
マミ,...そうね
杏子,...マミ、やるぞ
マミ,...
杏子,...この世には、救いがあるって事を、あのクソインキュベーターに見せてやろう
マミ,...えぇ...！
杏子,諦めない限り、この世に希望は残ってるんだ！！
QB,へぇ、なるほど。暁美ほむらが、美樹さやかに手を差しのべるとは思っていなかったな。人間というのは本当、理解に苦しむよ。だけど、そうか。これがあるから、君たちの生み出すエネルギーは膨大なんだね。分かったよ。よく、分かったよ。立ち直らせるわけには行かないんだ、まどかを。彼女は絶望の中で、魔法少女になって。世界を呪いながら死んでいくべきだ。この世に希望はあるよ、でもね。行き着く先は、絶望だけさ
ほむら,...。...はっ
まどか,えへへ、おはよう、ほむらちゃん
ほむら,...おはよう、まどか
まどか,...昨日もずいぶん遅かったね？何してたの？
ほむら,...ふふ、色々、よ
杏子,おいおい、あたし達も居るんだぞ
マミ,...本当に、この熱さには参った物ねえ
まどか,ふ、二人とも...！。...ほむらちゃん...？
ほむら,え？
まどか,ボーッとしないでよぉ
ほむら,わ、悪かったわ
杏子,...にしても、恐ろしいくらいQBからの接触がねぇな
マミ,そうねぇ...あ、紅茶飲む人ー
杏子,おーう
まどか,はーい
ほむら,...頂くわ
マミ,ふふ、待っててね
杏子,...また、腕上げたな
ほむら,...
まどか,美味しいですよ、マミさん！
マミ,ふふ、そう？
まどか,ええ！毎日でも飲みたいくらいです！
杏子,毎日飲んでるだろ
まどか,あ...えへへ...
ほむら,ふふ
マミ,もう、鹿目さんたら
杏子,へへ
ほむら,...
まどか,...！。そ、そんなに見つめないでよ...！ほむらちゃん...！
ほむら,ふふふ
まどか,...起きてよぉ...！起きてよぉ...！ほむらちゃん！！！。...杏子ちゃん...！！マミさん...！！。...どうして...どうして...皆起きないの...！？
QB,起きたくないからさ。幸せな夢を見ているあいだは、誰だって、邪魔をされたくないだろう？
まどか,...QB...！...やっぱり...！あなたの仕業なんだね...！
QB,彼女達のソウルジェムを外界から遮断した。これでもう外界へ魔力を放出することも出来ない。微量な魔力の消費は、魔法少女にとって新陳代謝のようなものだからね。異常を感じたソウルジェムは自らの身を守るため、魔法少女の体全体を睡眠時の様な状態へ半ば無理やり移行させる。勿論、魔力を抑え込むというこの技術も完璧ではない。だけど、ここで彼女達に幸せな夢を見せることが出来たなら。...辛い現実を生きている彼女達はきっと、気が付けない。それがまやかしであると言う可能性に。結果としてソウルジェムは見事に騙され続け、この様に身動きひとつ取れない状況に陥る。さぁ、見せてもらうよ。二週間後に来る、最悪の結末を、君1人でどうやって回避するのかをね、鹿目まどか
まどか,...っ！
QB,仕方が無いだろう？君が絶望しなかったんだから。さぁ、そろそろおしまいにしよう
まどか,...起きてっ...！起きてよっ！...。...ほむらちゃん...！！！！。...。...ほむらちゃんたち...大丈夫かな
QB,だから大丈夫だって言ってるじゃないか。彼女達は、今のところ命の危険性はないよ
まどか,...あなたが、言うの？
QB,僕の言葉が信用出来ないのかい？
まどか,...着いて、来ないで
QB,...やれやれ。君1人で、耐えられるのかい？
まどか,...今までだって...耐えてきたもん
QB,...ふうん
まどか,...。...。...。...つっ...
仁美,...
まどか,...
仁美,あらまどかさん、手を怪我しているようですね？
まどか,...
仁美,私が、巻いて差し上げますわよ、絆創膏
まどか,...
仁美,...ほらっ...！
まどか,...きゃっ...！
仁美,人の好意は素直に受け取るのが普通ではなくて？
まどか,...っ...。...仁美ちゃん
仁美,...何でしょう
まどか,...ふふ
仁美,...
まどか,...さやかちゃんは、きっと私を苛めることが、気持ちよかったんだと思う
仁美,...は？何を...
まどか,...みんな私をいじめるけれど、理由は人それぞれだった
仁美,...
まどか,...私が怖いんでしょ？
仁美,...
まどか,...どれだけ苛められても、泣き喚いても、それでも学校に来る私が、怖かったんでしょ？
仁美,...何を...！
まどか,...残念だけど、私は来るのを止めないよ。...これからも、何ら変わることなく、来続ける
仁美,...上っ等ですわ...！この女...！
まどか,...ぐえっ...！
仁美,よりにもよって志筑家の跡取りである私に向かって...良くもそんな口を...！
まどか,...ぁ...かはっ...えぇ...！
仁美,...
まどか,...うぇっ！！！！
仁美,よよ、よ、よりにもよって...！人間の中でも最底辺の、あ、あ、あなたが...！
まどか,あがっ...！！ごえぇ...！！！
仁美,誰に向かって、その口を開いて居るのでしょう！
まどか,...～～～！！
仁美,...。...後悔させますわ、まどかさん。失神なんかじゃ済ませません、あなたの心をへし折ってあげますわよ
まどか,...
仁美,...チッ！
QB,...やあ、お帰り
まどか,...
QB,ひどい有様だね、よっぽどこっぴどくやられたようだ。...僕には理解出来ないね、手を伸ばせば届く距離に希望があるのに
まどか,...。...私は、強くなるの
QB,...？
まどか,...どれだけ苛められても、それに耐えてみせる、ほむらちゃんたちが目を覚ました時に安心してもらえるように...。...私は、屈しない...
QB,...
ほむら,...とうとう。...とうとうワルプルギスの夜を乗り越えたのね...？
杏子,あぁ...そうみたいだな
マミ,余裕の勝利って訳ではないけどね
ほむら,...やった...？。...本当に、私はもう...繰り返さないで済むの？
まどか,ほむらちゃん！
ほむら,...ま、どか...
まどか,...頑張ったね
ほむら,...！。...うぅ、うううううう...うううううううう！！！
まどか,...ありがとう、大好きだよ、ほむらちゃん
ほむら,...うん、私もだよ。...あなたが、大好き
杏子,...ったく、終わって早々これかよ
マミ,...もう慣れたものだわ
杏子,...なあ、マミ
マミ,...なぁに？
杏子,あたし、もう少しだけ頑張ってみるよ
マミ,...？
杏子,...あんたの隣で、もう一度だけ、人間として生きてみるから。...その...
マミ,...ふふ、いいわよ。...お帰り、杏子
杏子,...ただいま...マミ...さん...！
ほむら,...っ！？。...誰...？
まどか,...ほむら、ちゃん...？
ほむら,...っ！。...誰なのよ...！お前は...一体...！
杏子,...おいほむら...どうした？
マミ,...暁美...さん？
ほむら,...幻惑...？。...。...。...おま、えは...！
QB,...システムエラー...？。...いや、違う。...中核が、乗っ取られてる...？。...。...。...それこそ、有り得ない。...確かに精神疾患にかかった個体の意識は、それまでの情報の確保のために捕縛される。...リセットなんて生易しいものじゃない。...特に、感情という不安定なものをもった君が総体に戻ったのなら...。...無数にある個体の意識に押し潰される...！。...。...そうか、君は。...とっくに、そして。...僕らの想定以上に、故障していたんだね。...。...
ほむら,...。...。...馬鹿ね、全く。...悪役のくせに、格好つけているんじゃないわよ。...はぁっ...！！はぁっ...！はぁっ...。...はっ...はっ...。...まど、か...。...まどかっ！！
まどか,...
杏子,...うおっ...！！
マミ,...今のが...夢
ほむら,...ごめん、なさい、まどか...
まどか,...何言ってるの...！
ほむら,...
まどか,...さ、3人とも...疲れて寝てただけじゃない...！。...ち、ちゃんと...待つことくらい...出来るんだからぁ...！！。...ぐすっ...ひっく...うぇええ...！！
ほむら,...。...そうね。...ありがとう、まどか、待っててくれて
まどか,...うん...！うん...！
ほむら,...。お前達は、どうしても、まどかを魔法少女にしたいようね
QB,そうだね、それが僕らの目的だから。そして君に、まどかの願いを否定する権利はないよ
ほむら,...そうかもね。...けれど、お前の思うようにはさせない。まどかは。まどかは、幸せになる。そこをどきなさい、インキュベーター。そこにあなたは、要らないわ
QB,...やれやれ
杏子,しかしさ、何であいつ私達まで眠らせたんだ？
ほむら,...あいつは、まどかの支えを無くすために私たちを眠らせたわけではないわ。いえ、もちろんそれでまどかが絶望に落ちれば、それでも良かったんでしょうけど。...むしろ、あいつらの目的はその先。...この1ヶ月の最後を魔法少女無しで迎える事なのよ
杏子,...？
マミ,...？
ほむら,もうすぐここに、ワルプルギスの夜がやって来る。最悪の魔女にして、災厄の使い、スーパーセルに揶揄される程の超弩級の絶望がやって来るのよ
杏子,...！
マミ,...ワルプルギスの夜...！！
ほむら,...
杏子,...なるほどな、あたし達が動けねぇってことは
マミ,...鹿目さんの選択の余地を与えない。...無理矢理にでも契約しようってことだったのね
ほむら,...そうよ。...。...私と一緒に、戦って欲しい
マミ,...
杏子,...
