黒船来航から始まった,幕末
弥彦,くっ……由太郎！あのコウモリ野郎は、耐久力はさほどでもねえはずだ。竹刀を投げるぞ！
由太郎,おうっ！
蝙也,見苦しい悪あがきをしよって！ならば……“空中飛空発破”！
弥彦,ちくしょう……これじゃもう打つ手がねえ！
由太郎,あ、あなたは……！。雷十太先生！
雷十太,由太郎、お前に“情けない”と罵られた後、吾輩は己を見つめ直した。これまでの自分を恥じ、技と精神の修養を重ねた。現在吾輩は殺人剣ではなく伝統武術として、古流の再生を目指しておる。そして騙していたお前に一言詫びをしようと、神谷道場を訪ねたのだが──。戦いのため京都に向かったと聞き、ようやく追いついたのだ
由太郎,俺はもう神谷活心流の剣士だけど……先生が来てくれて嬉しいです！
弥彦,へっ、人間変われば変わるもんだな
蝙也,いつまで俺を無視して、ゴチャゴチャとしゃべっている！。ガキ二匹にウドの大木が加わったところで、俺の勝利は揺るがん！
雷十太,秘剣“飛飯綱”……二連撃！
蝙也,俺の翼が斬られ……うわぁぁぁぁぁっ！
夷腕坊,ぐふふっ……おでにこぶし、効かない……
左之助,さすがはデブ……ぶ厚い脂肪してやがる。だったらコイツだ！破壊の極意、二重の極み！
夷腕坊,ぐふ……！？
左之助,オイオイ、まさか破裂しちまうとは……！──ん！？
外印,やれやれ、二重の極みを使える者が安慈の他にもいたとはな。誤算だったよ。あの技には、衝撃吸収機巧も意味をなさんからな
左之助,なるほど、あのデブは人形だったってワケかい
外印,“丸鬼”の夷腕坊改め、“機巧芸術家からくりあるていすと。作品を壊された借りは、きっちりと返させてもらう！。再起不能は覚悟せい！
左之助,ちっ、なんだこの糸は！？触れるだけで皮膚が切れやがる！
外印,斬鋼線……拳一辺倒のお前に破れるシロモノではない
左之助,たしかに……まともにやり合ったら、全身ズタズタにされちまう。──なら、こうしてやらぁ！
外印,勝機はないと悟り、トチ狂ったか……。む！？。土煙で……私の視界を遮りおったか！ど、どこへ！？
左之助,こっちだ、ボケ
外印,が、は……！
安慈,ぬうんっ！
蒼紫,無駄だ。お前の拳……もし触れれば、ただでは済まないことは分かる。だがお前の巨躯では、この流水の動きはとらえられまい
安慈,がっ……！
蒼紫,お前は外法の悪というわけではなさそうだ。大人しく負けを認めろ
安慈,ま、まだだ……！。炎の中で命を落としたあの子たちが輪廻の環をくぐり転生するその時まで。“明王”の安慈は負けるわけにはいかぬのだ！！！
蒼紫,ぶっ……！。並大抵の威力ではないと予測していたが、かすめただけでこれほどの衝撃とは……
安慈,ぬおおおおおっ！！！
蒼紫,さすがは十本刀、流水の動きに徐々に対応し始めている……。だが、次の一撃で──
安慈,ぬうんっ！
蒼紫,遠当て──！
安慈,ぬああああっ！
蒼紫,だが俺とて待つ者がいる。まだ死ぬわけにはいかん。回天剣舞六連！！！
安慈,私は……“明王”は……負けぬ！
蒼紫,この僧……精神が肉体を凌駕しているようだな。俺もかつて、“最強”の二文字にとらわれていた。だが、武田に敗れ、抜刀斎の手で般若たちを失いかけ、樹海で修業を重ね。ようやく気づいた。俺は行き場のない部下のためにではなく──。部下のせいにして、最強を追い求めていたに過ぎなかったと。お前も同じことだ。死んだ子供とやらは、お前が“明王”になることなど望んでいなかったはず。お前は子供たちの願いから目を逸らし、怒りを発散しているだけに過ぎん
安慈,黙れぇっ！。ごあ……っ！
蒼紫,いかに強靭な肉体だろうと精神だろうと、呼吸器を塞がれれば倒れざるをえまい。いずれお前も気づく時が来るだろう……この俺のようにな
宇水,この程度か？ま、志々雄を殺る前の準備運動にはちょうどいい強さだ
刃衛,盲人ゆえ、“心の一方”は全く効かぬし。動きを先読みされ、こちらの技はあの亀甲の盾によってさばかれてしまう。まさに最悪の相性といえる。だが──。これでいい！。これでこそ斬り合いは面白い！。うふわははははははあああっ！！！
宇水,狂人め……。だが狂人とて、我が心眼から逃れることは不可能！
刃衛,どうだ？この俺の肉の感触は……
宇水,悪くない
刃衛,肉をえぐってくれた礼に、こちらも奥の手を使わせてもらおう。我！不敗！也！。我！無敵！也！。我……最強なり
宇水,心拍数が増大し、筋肉が膨張した！？おそらくは自己催眠の一種……！
刃衛,これぞ影技“憑鬼の術”……行くぞ！
宇水,速いっ！しかも威力が桁違いに上がっている！。ティンベーに亀裂！？
刃衛,おっとォ！
宇水,く……完璧な交差法だったはずだが、傷三つとは！
刃衛,人は“思い込む”ということに、とかく脆い。昔の俺は、自分は死ぬまで人斬りに過ぎぬと思い込んでいたが。ガトリング斎……いや、観柳によって料理人という新たな道を示された。宇水といったか……お前もそうなんじゃないか？。俺も剣客のはしくれ、洞察力には優れているつもりだ。志々雄を殺すといいつつお前は……自分は志々雄に勝てないと思い込んでいる
宇水,な！？
刃衛,うふふ、どうやら図星だったようだなァ！！！
宇水,何が可笑しい！！！
刃衛,……ぐっ
宇水,動揺が、技を曇らせたか……。心眼も……自分の心までは……見抜けな、んだ……
刃衛,この場は生かしておいてやろう。もっともその後鮮度を取り戻すか、さらに腐るかまでは、面倒みきれんがね。そういえば、京都には赤べこの姉妹店があると聞いたが、後で寄ってみるか。久々に人の肉を斬ったら、ますます牛の肉を斬りたくなっちまった
斎藤,…………
剣心,十年ぶりでござるな、斎藤
斎藤,ふん……俺はお前など知らん
剣心,なっ！？
斎藤,己の剣に溺れた愚物など、俺の眼中にはないからな
剣心,拙者を侮辱するでござるか！？飛天御剣流、龍翔──。ぐ、は……っ！
斎藤,加減した牙突すらかわせんとは……心だけでなく技量も地に落ちたようだな
剣心,さ、さすがでござるな……。ならば拙者も、師匠のもとで会得したこの技で応じよう。飛天御剣流、奥義──。屑龍閃！！！。細目！政府の犬！スダレ頭！不良警官！かけそば中毒！。相手を罵倒しながら、敵に突きを放つ！。怒り狂った相手は、防御も回避も不可能！。これぞ飛天御剣流奥義“屑龍閃”！！！。え
斎藤,俺を相手に突きで勝負とは、地に落ちたどころのハナシではなかったか。阿呆が。もはや出す必要もないが、かつて貴様用に編み出した技で勝負を決めてやる
比古,あんな濁った眼をした奴に、本当の奥義など伝授するわけなかろう。バカ弟子が……！
剣心,ぐあああああっ！。拙者の右腕がぁぁぁ……っ！
斎藤,惨めだな。今の貴様は、俺の“悪・即・斬”には到底値しない。だが俺はガトリング斎のように甘くはない……。金輪際、剣は振るえまい。目障りだ、とっととこの場から消え失せろ。そしてその歪んだ剣と心にまみれた人生を、一人空しく完遂することだ。貴様にはお似合いの末路だ……
剣心,うぐっ……一片の淀みなく……己が道を貫く……。簡単なようで……なんと難しいでござるか……。斎藤……おぬしはこれから近代化する明治で……。どこまで刀に生き……“悪・即・斬”を貫けるで、ござるかな……
斎藤,無論、死ぬまで
宗次郎,じゃあさっそく、始めましょうか
観柳,えぇ。この青年の足の速さは、ガトリングガンをも避けかねませんねェ……
宗次郎,ガトリングガンに手加減は無用……“瞬天殺”で一瞬で決めちゃおう
観柳,今です！
宗次郎,うわぁぁぁっ！。ぼくは……間違っていたんですか……！？
観柳,えぇ、間違っていました。あなたの足の速さを生かせる職業なら、他にも色々あるはずからねぇ
由美,ま、まさか……！。宗のボウヤや、抜刀斎まで敗れるなんて……！
観柳,さてと、志々雄のところへ案内してもらいましょうか
由美,分かったわ……。だけど志々雄様に挑めるのは一人ずつ……誰から挑むの？
観柳,無論、私です。構いませんよね、皆さん？
斎藤,好きにしろ。貴様が殺られたら、俺が志々雄を殺すだけのこと
蒼紫,異論はない
刃衛,それなりに楽しめたし、一番美味しいところは譲ってやろう
左之助,頼むぜ、観柳！
弥彦,ここまで来たら、一気に決めちゃってくれよ！
志々雄,待っていたぜ、ガトリング斎。てめえに撃たれた足の傷がうずきやがる……。俺の糧になれ。終の秘剣、火産霊神カグヅチ
観柳,近代兵器、回転式機関砲ガトリングガン
志々雄,グアアアアッ！。俺の弱肉強食という信念も──。てめえのガトリングガンには遠く及ばなかった、というわけか……
観柳,志々雄さん、弱肉強食という信念、なにも武力にこだわる必要はないでしょう。実業家の観点からいわせてもらいますが。商売の世界も、弱肉強食である部分が多々ありましてねェ。例えば客がよく来る店は繁盛し、客が来ない店は潰れるのみです。あなたは武力では私に及びませんでしたが──。商売の世界では通用する可能性が残されている。あなたは弱肉強食を掲げる場所を間違えていただけなのです。これからは、今までとは違う場所で実力を発揮すべきでしょう
志々雄,…………。フッ……一理あるかもしれねえな
宗次郎,買い出しに行ってきます
志々雄,牛鍋に火をつけるか。シャアアアアアアッ！
安慈,二重の極みで、ゴミを粉砕！
方治,私が赤べこの経営を徹底的に改革してやる！
由美,いらっしゃいませぇ
鎌足,客引き対決、由美さんには負けなくてよ
宇水,我が心眼で、良質な食材を選び抜く！
宗次郎,買い出し終わりました
妙,あの新入りの人たち、ホントよく働いてくれて助かるわぁ
観柳,適材適所……これが“びじねす”における基本ですからねェ
薫,さすが観柳ね！
刃衛,うふふ……これで赤べこはますます繁盛するというわけだ
オイボレ,ええじゃないか、ええじゃないか～……おや？
剣心,もういい……もう疲れた……
オイボレ,ふむ……。どうやらこの若者は、“捨てて”しまったようじゃのう。ほれ若いの、シケモクでもどうじゃ？
剣心,！。吸うでござる！吸うでござる！
オイボレ,落人群はお世辞にも良き場所とはいえぬが。なんの楽しみもない場所、というワケでもない。こうして出会ったのもなにかの縁。これからは共に肩を寄せ合って生きていこうではないか
剣心,うむ……そうでござるな！
観柳,薫さん。かつて私がまだ“人撃ちガトリング斎”だった頃──。闘いの最中、私は自分の妻を撃ってしまったことがあるのです
薫,え……
観柳,雪代巴……美しく、そして誰よりも優しい女性でした。おそらく彼女の弟は、今でも私を恨んでいることでしょう。これは実業家としての勘ですが、まもなく彼は私の前に立つ。そんな気がするのです。ですが、私はようやくこの罪を償う方法を見つけたのです！
薫,観柳……
縁,俺の姉さんを殺した罪！上海で身につけた倭刀術でもって人誅を下してやる！。ぐおああぁぁぁっ！
観柳,聞きなさい。私はあなたに慰謝料を支払う準備があります
縁,慰謝料だと！？ふざけ──。姉さん！？。俺の中にいる姉さんが今までにないくらい、笑顔になった！。姉さんは……アイツを許すというのか……！。俺の……負けだ……。同志にも伝えておく……！
観柳,どうやら……巴さんが微笑んでくれたようですねェ
弥彦,チィーッス
薫,あ、来たわね
弥彦,これから出稽古だってのになんの用だよ、観柳
観柳,弥彦君、あれから色々ありましたねェ……。私は薫さんと結婚し、薫さんは息子、観路を出産しました。恵さんは会津に戻り、左之助さんは日本を出て、斎藤さんは異動……。赤べこは刃衛さんや志々雄さんたちのおかげでさらに繁盛し。そこに雪代縁の人脈も加わったことで、今や海外展開を始めるほどです。京都にいる御庭番衆も蒼紫さんを中心に、楽しくやっているようです。そしてあなたもまた、燕さんや由太郎君、雷十太さんといった仲間に恵まれ。今や日本有数の剣士となりました
弥彦,どうしたんだよ観柳、今日はやけに多弁じゃねえか
観柳,構えなさい。一本勝負です
薫,弥彦、今日はあなたの十五歳の誕生日でしょ。元服っていって、昔の武士ならもう一人前として扱われるわ
弥彦,！。そうか、観柳は俺が一人前になったか試そうとしてるんだ！。よしっ！
観柳,では薫さん、合図をお願いします
薫,──始めっ！
弥彦,うおおおおっ！。ぐあぁぁぁっ！。へへ……やっぱかなわねぇか……
観柳,えぇ、ですがいい気迫でしたよ
＞弥彦,へへ……やっぱかなわねぇか……
観柳,今日は、あなたに受け取って欲しいものがあるのです。弥彦君、元服の祝いにこれをぜひ受け取って下さい
弥彦,回転式機関砲ガトリングガン。こんな大事で高価なもん、いくらなんでも受け取れねえよ！
観柳,いえ。次代を担うあなたにこそ、これを託したいのです
弥彦,…………。分かったぜ、観柳
観柳,しばらくは扱いに苦労するかと思いますが。あなたなら、いずれガトリングガンを自在に使いこなせるようになるでしょう。そしていつか、私を越えて下さい
弥彦,ああ！
薫,……ねぇ、やっぱり十五年共に過ごしたガトリングガンを手放すのは寂しい？
観柳,ふ～む……寂しさもありますが、嬉しさの方が上ですかねェ。いずれは観路にも、弥彦君のような立派な若者になってもらいたいものです
薫,ふふふ、そうね
観路,おかねもちこそ、このよでさいきょう！
薫,観柳
観柳,はい？
薫,とりあえず、お疲れ様！
