彼の名前は,高橋
高橋,か。。。完成・・・・。このＯＳは無駄を全てなくした。マウスで操作もできない。全てキーボードでの操作。グラフィックボードやサウンドボードも反応しないＯＳ。よし、１万で組んだＰＣで試してみよう・・・。いっけええええええええええええええええええええええええ！！！！！！！！
パソコン,ウォーン・・・・。ウォオオオオオオオーーーーーーー
高橋,まぁ・・・電源入ってんだから動くことは動くわな。お？・・・・おおおおおおおおおおおおおおおおおおおおおおお！！！。起動したあああああああ！！。きたあああああああああああ！！！。起動が早すぎるｗｗｗｗ電源ボタンを押して５秒でデスクトップ・・・ｗｗｗ。よ・・・・よし・・・・。ファイル共有ソフトを一時的に展開・・・。そしてメモリの中だけで読み込ませる・・・。残量は足りてるはずだ・・・。きたあああああああああああああ！！！。そしてこのソフトを起動・・・。たしかＦ３キーで起動するようにプログラミングしたはず・・・。はい余裕～ｗｗｗｗニヤニヤｗ。いまのところウイルスには感染してないな。Ｐ２Ｐネットワークは稼動してるな・・・。でもだれもいない。ログオンユーザー１人ｗｗ俺だけｗｗｗ。これでこの俺が作ったＯＳと条件書を添えた紙を一緒に同封した封筒を富岳に送って富岳の方でもＰ２Ｐができれば・・・。連絡は取れることになる・・・。富岳・・・・
富岳,高橋・・・・
高橋,ネット・・・使えたな・・・。
富岳,お前すげえよ・・・まさかＯＳつくってしまうなんて・・・。
高橋,う・・・うん・・・。さっきまで変なテンションだったけど・・・・。いまは現実を受け入れることができない。
富岳,俺もだ・・・・。ちなみにこのＯＳはお前のだが、なんて名前にしたんだ？
高橋,Highmountainだよ・・・。
富岳,なぜそんななまえに・・・？
高橋,高橋の高と富岳の岳をあわせたんだ。
富岳,そっか・・・・。なんかありがとな相棒・・・。
高橋,いや・・・ここまでこれたのは全部富岳のおかげだよ・・・。
富岳,これはお前の努力だ。この新ＯＳを発展させたら次世代のＯＳになるわけだな。
高橋,そゆことになるね。
富岳,明日に俺の地元の東京にこい。一緒に霞ヶ関にいくぞ。
高橋,え？明日？う・・・うんわかった・・・。
富岳,一応明日わかるようにいま俺の顔写真を送るからな。お前のもおくれよ。
高橋,わかったよ。とりあえずおくるね。富岳の顔・・・予想外・・・なにこのイケメン。
富岳,案外普通だな・・・・。
二人,ｗｗｗｗｗｗｗｗｗ
高橋,何時に到着するかはわからないけど、緑色ののパーカー着て行くからね。
富岳,わかった。じゃあ俺も緑色の服きていくから。じゃあ明日かならず東京駅の前で待ってるからな。
高橋,了解。じゃあいまから航空券買いにいくわ。なんせ自分北海道なんでねｗｗｗ
富岳,あいよ。いまパソコンは安定領域だからこのまま放置しながら待ってる。もしシャットダウンしてもう起動しなくなったら嫌だもんな
高橋,じゃあ俺もこのままにしておくわ。ってかこのＯＳいれてから一度もシャットダウンしてないや。
富岳,そうかｗってかさっさといってかましてこいや。
高橋,なにをだよｗｗｗいってきます。
富岳,おう！。涙が・・・クソッ・・・。高橋は良いやつだ・・・・。
店員,ありがとうございました～
高橋,ああああああありガットおおおおござっざああいました・・・・。この一ヶ月で新しいパソコンのプログラムを組んで、インターネットの接続に成功した。このことを報告するために明日霞ヶ関にいってくる。
母,そっかぁ・・・。ホントなの・・・？
高橋,あぁ・・・本当のことだよ。
妹,おにいちゃん・・・・。
高橋,お？どうした？
妹,少しゆっくり休もう・・・？がんばりすぎだよ・・・。心配だよ・・・・。
高橋,俺は大丈夫だよ。
妹２,おにーーーちゃーーーーん☆
高橋,おっ！たかいたかーいｗｗ
妹２,だっ☆
高橋,妹もありがとう！
妹,えっ・・・・?
高橋,あ、調子に乗りました。ごめんなさい。
妹,スグ帰ってきてね・・・。
高橋,う・・・・うん。
父,お前のやれることを全力でやってこい。できないことは無理してするな。たまには他人に任せるべきもある。お前のやれることをやるんだ。
高橋,はい。父さん。明日の朝９時の便でいきます。
父,いってかましてこい！！！！ｗｗｗ
高橋,え・・・・ｗはいｗいってかましてきますｗ
母,もうあなたはゆっくり寝なさい。
高橋,はい。わかりました。みんなおやすみです。妹２もおやすみねー♪たかいたかーいｗｗ
妹２,だっ♪おーやーすーみー☆
妹,おにいちゃんおやすみっ。明日の朝は何時頃に起こせばいいかな？
高橋,起こしてくれるの・・・？７時半には家を出たいから。。。６時半に起こしてください。
妹,わかったよ！じゃあしっかり寝てね！
高橋,ありがとう・・・おやすみ・・・。さすがに・・・・体がキツイな・・・・。食べる時間ももったいなくて開発に取り組んだ・・・。寝る時間ももったいなくて・・・。あ・・・目の下のクマがひどいや・・・。クラクラする・・・・。服を着替えるのもめんどくさい・・・このままでいいや・・・。ｚｚｚｚｚｚｚ
妹,おにいちゃん♪おはよっ♪
高橋,あ・・・おはよう・・・。
妹,ちゃんと寝れましたかー？
高橋,あ・・・はい・・・。
妹,ホラッ！今日は東京いくんでしょ！元気だしてっ！
高橋,んぎゃあああ！！！！
妹,元気でたねっ！
高橋,はいッ元気でました！もう元気です！大丈夫です！
妹,ホントかなー？♪
高橋,いろんな意味で死にそう・・・ｗｗｗ
妹,がんばってきてね・・・。
高橋,うん！
妹,すぐ帰ってきてね・・・。
高橋,いつになるかわからないけどなるべく早く帰るようにするからね。
妹,約束だからね・・・。
高橋,うん！やくそく！
妹,ねぇ・・・おにいちゃん・・・。
高橋,ん？なに？＾＾；
妹,大好き・・・。
高橋,はへっ！？
妹,ご飯の支度してくるね！♪ちゃんと布団からでるんだゾー？♪
高橋,いまなんて・・・・。空耳だよな・・・空耳・・・。俺疲れてるんだよな。うん。とりあえず富岳にも個人チャットして返事もきたからおｋだ。もうそろそろしたら家をでます
富岳,おｋまってるぞ。ちなみに東京には何時くらいに付きそう？
高橋,昼の２時くらいかな～
富岳,わかったじゃあそれくらいで東京駅でまってるわ
高橋,把握した。
妹,ご飯できたよー！
高橋,はーーーーーい！！！ちょっちまって～！
妹,冷めるぞ～！
高橋,いまいく～！！。・・・。やっぱうめぇなあ・・・。
妹,・・・
高橋,おいしいっ！ｗ
妹,ドモ・・・ｗ。おにぎりも一応作ったからね・・・。
高橋,ありがとう！じゃあもっていくね！。ごちそうさま！じゃあもう出発するね！
妹,気をつけてね。いってかましてこおおおおおおい！ｗ
高橋,いてっ！ｗ背中を蹴るな・・・らないでください！ｗｗｗ
妹,あ、漫画とか勝手に漁るから～ｗ
高橋,ど～ぞｗでもパソコンは触らないでねｗあれいま不安定だからｗｗｗ
妹,はいはいｗいってらっしゃいね＾＾
高橋,いってきます。
玄関ドア,バタン！
高橋,やっと空港についた・・・。搭乗手続きっと・・・。１５分暇だな～。暇なんて久々だなあ・・・なんか最近すごく忙しかったからなあ・・・。携帯もないし、暇だな～・・・。妹元気にしてるかな～ｗｗｗ。さすがにはやいかｗｗｗ。よし、飛行機の準備が終わったか。初めての飛行機緊張するなあｗｗ。いよいよ離陸・・・ｗ。おっおっおっｗｗｗｗ。加速してるｗｗｗ。フリーダムに乗ってるみたいだｗｗｗ。クッ！Gが・・・ｗ。ｚｚｚｚｚｚ
アナウンス,まもなく羽田に到着いたします。このたびは全日空をご利用いただきまことにありがとうございました。またお会いできることを心より楽しみしております。
高橋,ｚｚｚｚｚｚｚｚｚｚ
ｽﾁｭﾜｰﾃﾞｽ,お客様？
高橋,ｚｚｚｚｚｚｚｚｚｚ
ｽﾁｭﾜｰﾃﾞｽ,お客様ご到着しましたよ！＾＾
高橋,え？あ？・ｐ＜
ｽﾁｭﾜｰﾃﾞｽ,おはようございます＾＾ご到着でございます＾＾
高橋,あ、ごめんなさい。すみません。うーん・・・あまりゆっくり寝られなかった・・・。いま１２時か・・・・なんか早くついたな・・・。あとは東京駅に向かうだけだな・・・。とりま東京駅ってある程度電車停まるんだな。すげえ。ってか東京初めてこわい。到着してしまった。１時かぁ・・・おなかもすいてきたからおにぎり食べよう。・・・。うん！うまい！塩加減が丁度良い!!。妹は絶対良い嫁になるな。うん。
？,たかはしー！！！
高橋,ん？お！おおおおお！とみたけええええええええ！！！！
富岳,たかはしいいいいいいい！！！あいたかったあああああああああああ！！よくきてくれたああああああ！！！
高橋,ちょｗ富岳ｗｗｗｗ
富岳,あ、そのおにぎりうまそっ
高橋,うまいだろ～ｗ妹が握ってくれたんだよ～ｗ
富岳,え？妹？あの空気入れる奴？ってかこれうまいな！
高橋,空気いれるやつ？え？うまいだろ！！ｗ
富岳,あ、わからないならいいやｗｗｗ
高橋,おなかもふくれたし！いこうか！
富岳,こゆときって文部科学省？外務省？厚生労働省？経済産業省？
高橋,外務省じゃね？これ一応世界が関わってるし。
富岳,おｋいこうず。あの～ちょっとお話良いですか？
受付,はい？
高橋,インターネットの復旧の仕方がわかったのでその報告にきました。
受付,え！？少々おまちください！！！
偉い人,君たちは～・・・。何者だい？
二人,チーターです。
偉い人,え？チーター？
二人,はいチーターです。
偉い人,インターネットがどうとか受付嬢がいってたけど・・・
二人,あぁ説明しますね。まずこの状況はーーーーーーーかくかくしかじか
偉い人,ほうほう・・・じゃあ一応このことはうちのプロのプログラマーにちょっと携わってもよろしいかな？
二人,あぁいいですよ・・・一応その新しいOSはここにあるので・・・
偉い人,ちょっとまっててね＾＾；
受付嬢,コーヒーどうぞ＾＾
二人,うまいなｗｗｗこんなうまいコーヒー初めてのんだｗｗｗ
ﾌﾟﾛｸﾞﾗﾏｰ,お待たせいたしました＾＾；すみません
二人,あ、いえ・・・。ぜんぜん＾＾；
ﾌﾟﾛｸﾞﾗﾏｰ,君たちはえーっと・・・
二人,チーターです
ﾌﾟﾛｸﾞﾗﾏｰ,あぁ、チーターね。
二人,！？
ﾌﾟﾛｸﾞﾗﾏｰ,大丈夫ですよっ。私もチーターだから。
三人,＾ｐ＾ｗｗｗｗｗｗｗｗ
ﾌﾟﾛｸﾞﾗﾏｰ,さて本題だけどインターネットの復旧のことね。
二人,はい。説明しますと・・・かくかくしかじか
ﾌﾟﾛｸﾞﾗﾏｰ,よくそんなことに気が付いたね＾＾；無線ＬＡＮとは以外だよ・・・。そこにヒントがあったなんてね・・・ｗ
高橋,なのでこの新ＯＳをもうちょっとウィンドウズ並にしっかりしないといけないとおもうんですよね。
ﾌﾟﾛｸﾞﾗﾏｰ,そうだね。じゃあウチのﾌﾟﾛｸﾞﾗﾏｰﾁｰﾑで会議するね。もちろん君たちにも参加してもらうからね＾＾
二人,はいっ！
ﾌﾟﾛｸﾞﾗﾏｰ,もしこのＯＳが実用的になれば君たちは・・・・ｺﾞﾎﾝｺﾞﾎﾝ。大丈夫だれもこのＯＳを取ったりしないからねｗ僕が保証するからｗ
二人,んぅ？まっいっかｗ
しかし高橋君は見事に成功してしまった。,実際はＣをマスターしてなくて難しいところをアセンブルとベーシックとバイナリに置き換えただけ
高橋,なんかよくわかんない単語が飛びまくりですね。富岳さん
富岳,そうですね高橋さん。なんか質問されたら絶対答えられないですよね高橋さん。
高橋,そうですね富岳さん。
ﾌﾟﾛｸﾞﾗﾏｰ,君、この技術は特許をとるべきだ。技術特許をとり、あとはプロに任せなさい。この特許はスグにとれる。
高橋,まぁなんかわかんないですけど・・・将来実用性があるんですか？
ﾌﾟﾛｸﾞﾗﾏｰ,いや・・・もうすごいことになるとおもうよｗ
高橋,じゃあよろしくおねがいしますｗ
その名は,HighmountainSP
パソコン,ズガガガガガガガガガ！！銃声
秘書,高橋社長。
高橋,ははははあいいいい！！！なななななんでしし・・・しょうううくぁｗせｄｒｆｇｔｙふじこｌ；ｐ＠：
妹,秘書
高橋,はいｗ
母,社長らしくしなさい！
高橋,はいｗｗ
父,ゲームばっかりしないで仕事しろ！ｗｗ
高橋,そういや富岳～
富岳,ん？
高橋,結局あの事件の犯人は誰だったのかね？
富岳,ん～もう前のＯＳは使えないし・・・特定するのは難しいかもしれないな。
高橋,んじゃいま俺たちのＯＳを使って波をたどったりできないかな？
富岳,いや、もうあの頃のネットとは話が違うからな。難しいだろうよ。まず犯人はインターネットの使用を不可にして何がしたかったんだろうな。
高橋,世界の混乱が目的だったり？
富岳,そんなことして何になるんだよｗｗ金にならんでしょｗｗ
高橋,金の話だけど、俺は金がほしくてこのＯＳ作ったわけじゃないよ？
富岳,なんでその話になるんだよｗｗまー・・・俺たちはＦＰＳがあればいいよな
高橋,もうチートはできないけどねｗｗｗ
富岳,犯人探しでもする？
高橋,どうやってｗｗｗ
富岳,そもそもウイルスってのはネット回線から蔓延するもんだよな。
高橋,まーそうだけども・・・。
富岳,いま俺たちが作ったＯＳは今のところウイルスには感染しない。だけどこの先いつウイルスができるかどうかわからない。
高橋,Ｃとアセンブルとベーシックとバイナリ全て共通するウイルスってこと？
富岳,全てに共通するコマンドか・・・。あったらあったで怖いけども
高橋,たとえ普通のウイルスができたとしてもそれぞれの言語に反応しないからウイルスとして成立しないんだけどね。
富岳,実際俺たちのＯＳってどんな仕組みになってるわけ？
高橋,俺が作った原点のＯＳはＣではできないところをほかの言語で置き換えたんだよ。
富岳,ほーほー・・・それで？
高橋,でもプロの人たちがそれの応用を利かせてそれぞれの言語が支えあってるＯＳらしいよ。だからもしＣのウイルスがきてもほかの言語が拒否反応を起こすわけであってだな。
富岳,まぁ・・・なんとなくわかった。でもさ、この４つの言語からなるＯＳに対して４つのウイルスが同時にきたらどうなるの？
高橋,同時にってことはないとおもうけどねｗｗｗ
富岳,それの打開策は？それくらいは考えておいたほうが良さそうだけども
高橋,んー・・・考えてみる？じゃあ妹さん
妹,ん？
高橋,ちょっとそれぞれの会社のプログラマー集めてくれないかな？
妹,はいさ～
高橋,っというわけですね・・・皆さんお集まりいただきました。
ﾌﾟﾛｸﾞﾗﾏｰ,本当に貴方は斬新ですねｗｗｗ
高橋,いや・・・これは富岳社長の案なんですよ
ﾌﾟﾛｸﾞﾗﾏｰ２,まぁ・・・それも考えたほうがいいですね。実際物理的に不可能なんですが・・・。
ﾌﾟﾛｸﾞﾗﾏｰ３,０．０００００００００秒の誤差もなくウイルスを送るのは無理でしょうよ・・・。
高橋,まぁそうなんですけどね、今後のＯＳプログラムとしてしっかりしていきたいです。
富岳,まぁ・・・そゆことなんでみなさん協力してくれませんか？
ﾌﾟﾛｸﾞﾗﾏｰ一同,はい。
ﾌﾟﾛｸﾞﾗﾏｰ４,光回線といえども、このＯＳのデータ分のウイルスを送るのは難しいと思うんだけどね。
ﾌﾟﾛｸﾞﾗﾏｰ５,このデータ量は分割しないと難しいし・・・。そんなことあるわけないと思うけどなー。
富岳,俺の妄想ですけど、いままでにない隠密するウイルスがあったらどうします？
ﾌﾟﾛｸﾞﾗﾏｰ達,隠密するウイルス？ｗｗｗ
富岳,いや・・・妄想ですけどね。
全員,ｗｗｗｗｗｗｗｗっうぇ
高橋,んーたとえばこのＯＳを完璧に解析して違うＯＳをネットで販売とか？ｗ
富岳,それだ！
ﾌﾟﾛｸﾞﾗﾏｰ達,うむ。
高橋,えっ
富岳,実際このＯＳにはウイルスに感染しない。しかし、偽者ＯＳウイルスが開発されたらって話だな。
高橋,ほー・・・。このＯＳのそっくりさんってことね？
富岳,うん。
高橋,ソフトとしてもらったらそれは０．００００００００の時間差は関係ないね。
ﾌﾟﾛｸﾞﾗﾏｰ２,要するにネットを通じて感染するのではなく個人が意図的にパソコンに感染させてしまうっというか。
高橋,はい。パソコン初心者は最新バージョンをスグパソコンに取り入れてしまいますからね。
ﾌﾟﾛｸﾞﾗﾏｰ達,よし、開発しよう。
秘書,高橋社長、マイクロソフト社から連絡が来ています。
高橋,はひっ！？！？
ﾏｲｸﾛｿﾌﾄ,新しいＯＳが作成されてもウイルスは攻撃してくるのですが、このＯＳは完璧に今までウイルスを弾き返してました。もし弾き返すことのできなくなるウイルスが出てきたらどうしますか？
高橋,今その会議してます。
富岳,高橋ー！！！いま一般から電話かかってきたらしいぞ。苦情の電話だ。
高橋,はぃ？
富岳,いやさ、パソコンが動かなくなったって・・・。
高橋,パソコンが動かなくなる理由はいろいろあるだろ。ＣＰＵの故障とか、マザーボードが悪いとかさ
富岳,。だからいまメーカーがそのお宅の家に行って見に行ってるみたいだよ
高橋,そうか・・・。第二次ウイルスがこなければいいけどね・・・。
富岳,もし第二次が来たら・・・俺達どうなるんだろうか・・・会社が無くなるってことか？
高橋,それだけは回避したい。ネットゲームのためにも
妹,おにいちゃん社長
高橋,なにいー？
妹,その変になったパソコンは機械的には故障してなかったみたいだよ
富岳,始まったな。
高橋,なんでこう・・・会議してる日にこうなるわけ？ｗｗ
富岳,笑ってる場合じゃねえよ！ﾌﾟﾛｸﾞﾗﾏｰ達に急がせないと！
高橋,あぁ・・・わかったよ。妹秘書
妹,あん？
高橋,依頼のあったメーカとちょっと電話繋げてくれるかな・・・？
妹,はいさー！
電話,プルプル
高橋,あ、もしもし富橋工業株式会社の高橋です。
ﾒｰｶｰ,うわっ社長！
高橋,いや・・・年齢も貴方がだんとつに上なのでタメ口でいいですよ・・・。
ﾒｰｶｰ,いえ・・・そんなわけにはいきませんよ
高橋,とりあえずその家のパソコンはどうなってたんですか？
ﾒｰｶｰ,本体や周辺機器を見たところ異常はありませんでした。検査もしました。
高橋,おｋです。んでどんな状況に陥ってたんですか？
ﾒｰｶｰ,ＯＳが立ち上がらずこのＯＳ特有のレッドスクリーンでした。
高橋,ならＯＳがわるいですね。ではそのパソコンを買い取って私の会社に持ってきてくれませんか？
ﾒｰｶｰ,ﾌﾟﾗｲﾊﾞｼーがかかってます
高橋,そっかあ・・・ならばそのお宅の方も連れてこの会社へ。
ﾒｰｶｰ,同意してくれれば可能です。少々おまちください。
高橋,了解です。
メーカー,おｋです今からそちらにパソコンと一緒に向かいます
高橋,わかりましたよろしくおねがいします。
会社案内人,社長、メーカーの方々がご到着されました。
高橋,わかりました。妹秘書。つれてきてくれるかな？
妹,いや、自分で行ってください。おにいちゃんが呼んだ人なんだから
高橋,やっぱこの部屋で待ってかっこつけたいじゃん！
妹,かっこ良くもないくせにカッコつけないでいいよ
高橋,いや、俺社長じゃん！カッコつけたいじゃん！
妹,いやもうカッコつけないでよ
高橋,いや、だって俺社長だよ！？
富岳,連れてきたぞ～
妹・高橋,！？
妹,富岳社長・・・。すみません
富岳,いやｗｗいいよｗｗｗｗ
高橋,なんか・・・ごめん・・・
富岳,５回死んでくれ
ﾒｰｶｰ,そして問題のパソコンがこちらです。
高橋・富岳,ほーレッドスクリーンだねぇ～黄猿風
高橋,んーこれどうする？
富岳,えっ・・・なんも考えないでこれ寄こしちゃったの？
高橋,いや。。。うん・・・。
富岳,じゃあとりあえずﾌﾟﾛｸﾞﾗﾏｰに聞いてみようか
高橋,そだね。妹秘書
妹,はい！
高橋,妹は富岳の前だとすごく素直だな。
妹,そんなことないですよ！
高橋,じゃあそゆことでプログラマーを集めてください
妹,はいさー
ﾌﾟﾛｸﾞﾗﾏｰ,高橋さんなんでしょうか？
高橋,ここにＯＳの腐ったＰＣがあるわけだ
ﾌﾟﾛｸﾞﾗﾏｰ,ほうほう
高橋,さてこれをどうすればいいものか
ﾌﾟﾛｸﾞﾗﾏｰ,簡単なことです。ほかのＰＣからこのＰＣのＯＳごと引っこ抜けばいいんです。
高橋,あ、そうか。
ﾌﾟﾛｸﾞﾗﾏｰ,このＯＳは互換が優れています。なのでもしＯＳウイルスであれば解析が可能ですね。
高橋,じゃあさっそくお願いします。
ﾌﾟﾛｸﾞﾗﾏｰ,はい＾＾。あ、おｋです吸出しできました。
高橋,んー。。。なんか変なところありますか？
ﾌﾟﾛｸﾞﾗﾏｰ,ＯＳのそれぞれの言語が多少書き換えられてますね。
高橋,ウイルスってこと？
ﾌﾟﾛｸﾞﾗﾏｰ,従来のウイルスというのは実行プログラムから成るものですね？
高橋,はい。
ﾌﾟﾛｸﾞﾗﾏｰ,だけど今回は実行プログラムで成るのではなく、個人の意図的なダウンロード+インストールで成るものですね。
高橋,あーやっぱりそうでしたか。お宅の人さん。なにかダウンロードされましたか？
お宅,えーーーっと・・・・。右下になにか出てきましたのでそれをしたあとにシャットダウンを推奨されたもので・・・
高橋,なら決まりですね。
ﾌﾟﾛｸﾞﾗﾏｰ,おっ解析したら、このデータの発信先が出てきましたね。
高橋,なんかこのウイルスを作った人アホですね。
ﾌﾟﾛｸﾞﾗﾏｰ,このＯＳは限られた人しかわからないプログラムで組んでますからね。
高橋,特定情報を隠しきれてなかったのかｗｗ
ﾌﾟﾛｸﾞﾗﾏｰ,そゆことになりますねｗｗｗとてもバカですｗｗ
高橋,んで発信先は？
ﾌﾟﾛｸﾞﾗﾏｰ,合衆国ですね
高橋,え？あ、へぇ～
ﾌﾟﾛｸﾞﾗﾏｰ,なのでアメリカの特定はアメリカに任せましょう。きっとこうしてるうちに世界でウイルスに感染した人が出てきてると思いますし
高橋,妹秘書さん。よろしくおねがいしますね。
妹,はい。
富岳,ニュースみてみろ
高橋,お？
テレビ,速報です！！！HighmountainSPに感染するウイルスの製作者逮捕です！！。犯人は在米日本人だと判明いたしました！！。合衆国ＦＢＩは余罪を追及とともに事情の追求を現時点で実行してるとのことです！！
高橋,んーこの在米日本人はどうなっちゃうの？
富岳,んー・・・多額な損害賠償だろうね。
高橋,ほー。。。とりあえず会社としては安心したね。
富岳,だね～でもこの日本人すごいな。まさかこのＯＳのウイルスを作っちまうんだからなｗｗ
高橋,初期開発者の俺でも全然わからないのにｗｗｗ
富岳,俺少しもわかんない＾ｐ＾
高橋,まあ一安心♪
富岳,いや全然一安心じゃねえよ！今回は日本人のこの人だったが、この人が作れたってことは違う人も作れるって事だよな。しかもこの日本人はHighmountainSPの知識を０からのウイルスの製作をしている。とてもすごい人だと思うよ。
高橋,あ、そっか！すごい人だねこの人！
ﾌﾟﾛｸﾞﾗﾏｰ,あの・・・なに感動してるんですか？
二人,あ、失礼。
テレビ,犯行の理由が明かされました。
三人,お？
テレビ,容疑者は無職で中学生の頃に両親の都合で合衆国へ。そこの生活に馴染めず、２０年間無職であった。そこで世界をアッと言わせたいからこの犯行に及んだとの話です。
三人,ほーｗｗ
高橋,この人やっぱすごくね？独学でここまで学んだってことだよね？。しかも英語ペラペラってことだよね？。この人がこの会社にほしい。
富岳,お前なにいってんの？
ﾌﾟﾛｸﾞﾗﾏ,はぃ！？
テレビ,更に速報です！！！この日本人は前回の世界麻痺を起こしたウイルスプログラムの開発をしたとの表明もしたとのことです！！
高橋,えっ
富岳,えっ
ﾌﾟﾛｸﾞﾗﾏ,えっ
三人,ｱｯｰ!
高橋,この人ほしい!すごくほしい！
富岳,いや・・・やめておけ・・・
ﾌﾟﾛｸﾞﾗﾏ,あまりオススメはできないな・・・。
高橋,いや、俺も元ニートだからこの人の気持ちすごくわかるんだ・・・せっかくこんな知識持ってて社会に貢献できないのは絶対におかしいとおもうんだ。
富岳,まぁ・・・・でも大犯罪者だよ？
高橋,この会社は犯罪者とか関係ない！ただ救いたいだけなんだ！
富岳,まてまてｗｗそもそもコイツ牢獄行きだぞ？
ﾌﾟﾛｸﾞﾗﾏ,たしかに・・・あのネット麻痺で自殺した人もいたからな。
高橋,人間には一人ひとりそれぞれの得意分野があるんだ。
富岳・ﾌﾟﾛｸﾞﾗﾏ,俺たちの話聞いてる？
高橋,決めた。
二人,なにをｗｗｗ
高橋,あの人の損害賠償は俺が払う。
二人,！？
高橋,そしてコンピューターに欠かせない人間になってもらう。それが彼の道であってそれが趣味になると思うんだ。俺いまからアメリカ行ってくる。妹秘書さん
妹,あ～？
高橋,一緒にアメリカいきますよ
妹,あ～いいよ～
富岳,いってらっしゃい＾＾；
妹,いってきます♪
高橋,うむ着いたな
妹,ですね。まずは買い物したいです。
高橋,終わったら買い物いくらでも付き合います。
妹,そろそろ兄妹で敬語やめませんか？
高橋,そうですね。
妹,やめろっていってんだろｗｗｗｗｗ
高橋,まずはペンタゴンだね。
妹,はぁい。。。
高橋,あの・・・富橋工業株式会社社長の高橋と申します。
国防官,ミスター高橋！？はい、なんの御用でしょうか！？
高橋,以前パソコンの容疑者の逮捕の件なのですが、この容疑者の保護監察保証者になりたいとおもい日本から来ました。
国防官,少々お待ちを。。。
妹,ってかアメリカにはるばる来たけど・・・アメリカ支部に任せることできなかったのかな？
高橋,それこっちについて俺も思った。アメリカ支部で多分おｋだったと思う。
妹,これ・・・ただの旅行じゃん・・・。
高橋,まぁいいじゃないのｗｗｗ
国防官,お待たせいたしました。容疑者をお連れいたしました。
？,なんだよ・・・・・・。なんだよコルァアアアアアアアア！！！
高橋,ッ！？ごめんなさい怒らないで！
妹,ビビリすぎ・・・・
高橋,まって!別に喧嘩売りにきたわけじゃないよ！
？,あ？なんだよなにしにきたよ社長さんよぉ～！？
高橋,いや、俺は貴方のパソコンの知識に惚れてしまって。。。だから富橋工業で働きませんか？
？,なにいってんのおまえｗｗｗバカじゃねえのかｗｗｗ
高橋,損害賠償金も俺が払うからさ、うちにきて一緒に働きましょう！
？,えっ・・・・俺は世界に大迷惑をかけた大犯罪者なんだぞ？
高橋,うちの会社は犯罪者とか関係ないもんでｗｗ俺ニートだったしｗｗ
？,お前に俺の気持ちわかるわけないじゃん
高橋,いや俺も元ニートだったから貴方の気持ちが良くわかるよ。友達もいないしずっと家に引きこもってばっかりでゲームばかりしてた。
？,・・・。
高橋,貴方の名前を教えてもらってもいいですかね・・・？
？,き・・・菊田・・・。
妹,いや・・・テレビで菊田容疑者って言ってたし・・・。
高橋,じゃあ菊田さん。一緒に日本へ帰りましょう。
菊田,・・・。・・・日本に帰っても俺は何をすればいいか・・・。
高橋,当然富橋工業でプログラムの開発に携わっていただきます。
菊田,・・・。
妹,おにいちゃん、結構強引だな・・・。
高橋,国防官！では損害賠償金払います！
妹,早っ！
高橋,ではいま俺が保護観察保証者になったから一緒に日本に来てもらうね。もう悪さしないでね。
菊田,クッ・・・。
高橋,じゃあ三人で日本にかえろっか！＾＾
妹,あれ・・・買い物は？
高橋,そんなもん日本でもできます！
妹,おみやげは？
高橋,仕事できているのです！
妹,ん・・・。
高橋,またアメリカに来たかったらいつでも会社の飛行機用意できるからどーぞ。
妹,はぁい・・・。こっちにくるまでがめんどくさいんじゃん・・・。
テレビ,ニュース速報です！菊田容疑者の保護観察保証者がなんと富橋工業の社長となりました！！
富岳,ッブ！！！
ﾌﾟﾛｸﾞﾗﾏ,やりやがったｗｗｗｗｗｗｗ
秘書,うっわーｗｗｗｗやりましたねｗｗあの社長ｗｗｗ
富岳,まじでやっちゃったよｗｗｗｗｗ
高橋,よっしゃ帰るぞ！妹２も待ってることだしな！
妹,おー！
菊田,・・・。
高橋,いや～ｗｗｗこの加速したときのＧがたまらんねぇｗｗｗフリーダムのパイロットになった気分だよｗｗ
妹,え？なにそれ
菊田,ｗｗ
高橋,おっ！菊田さんわらった～ｗｗｗ
妹,おーー！菊田さーんｗｗｗ
菊田,別に笑って・・・ないですよ。。。
高橋,またまた～ｗ
妹,あ、日本本社には美人な女性いっぱいいますよ～＾＾
菊田,女こわいです。
高橋,いや、俺も女性苦手なんですよね。
妹,ウチも苦手？
高橋,最初のころはちょっと苦手だったかもｗｗｗ今は大丈夫だよ＾＾
妹,あっそｗｗｗ
高橋,そういえば菊田さんはなんかゲームしてました？
菊田,ネットゲームを少々・・・。
高橋,俺もです！ＦＰＳがめっちゃ好きなんですよ～ｗｗ現実の世界ではオドオドしたザコなんですけどね！
菊田,ＦＰＳ私もやります・・・。
高橋,俺はＦＰＳでスペシャルフォースとか、カウンターストライクとかＡＶＡとかよくやりましたねぇ～♪たのしかったです♪
菊田,スペシャルフォース・・・私もやってました・・・。
高橋,まじですか！。ってかもっと笑いましょう！ｗｗ
妹,そうですよ～ｗｗｗ笑いましょう！日本についたら楽しいことばかりです！
菊田,楽しいこと・・・・グスッ・・・。
高橋,はい＾＾楽しいことばかりです！
妹,この社長は本当に元引きこもりニートだったんですよーｗｗめっちゃ気持ち悪かったですもんｗｗ。世の中には菊田さんと同じ心境の方はいっぱいいます＾＾なので心配しないでください♪
菊田,ウッ・・・ック・・・・。
妹,泣かないでくださいねー＾＾
