北与野博士,つ、ついに完成したぞ！私の長年の研究が実を結んだんだ！バンザーイ！
あい,……もう、終わっていいですわ
黒磯,え？
あい,しん様を追いかけて様子を報告するの、やめていいですわ
黒磯,し、しかし、それでは……
あい,……いや、それだけではなく、あいに仕えるのも今日で終わりです
黒磯,あ、あい様！？
あい,あいももう18……いつまでも黒磯にいてもらうわけにはいきません
黒磯,……
あい,あんなに幸せそうなしん様の顔、あいの前では見せたことありませんでしたわ。あの二人、お似合いですもの
黒磯,……あい様、それでいいのですか？
あい,いいんですわ。あいもやっと踏ん切りがつきましたの。しん様が幸せでいてくれるなら、あいはそれでいいのですわ……
黒磯,……分かりました
あい,仕事ならちゃんとあるから安心しなさい黒磯
黒磯,ありがとうございます、あい様
あい,……早く帰って、家族サービスでもするんですわ。子どももいるのでしょう？
黒磯,は、はい。いいのですか？
あい,さっさと行きなさい！最後の命令ですわ！
黒磯,あい様……
あい,早く行って！
黒磯,はい。で、では
あい,…………。……しん様……もう、これっきり……。さようなら、ですわ……
しんのすけ,何が大変なの？
風間,見ろよ！ウサギ小屋があった場所に！
ネネ,プレハブが建ってるのよ！
しんのすけ,おお、それはへんたいだゾ……
風間,もうタイムカプセルは掘り出せないよ
マサオ,そ、そんなァ……
ネネ,なんとかならないかしら……
しんのすけ,おお！オラ、頼れる人を知ってるゾ！
北与野博士,ほうほう。なるほどね
博士,それじゃあいいものがある。ついさっき完成したんだよ。タイムマシン！
風間,ええええ！
マサオ,タ、タイムマシンって、あの？
博士,そう！あの！
ネネ,なるほど！過去に行って、プレハブができる前にタイムカプセルを掘り出すって算段ね
しんのすけ,みさえは三段腹ね
博士,んで、何年前に戻るんだ？
風間,そうだなァ……。おそらく、ひまわりちゃんがアクション幼稚園に入った時には既に……。だけど、僕たちの頃はまだウサギ小屋は健在だったから……。となると……
しんのすけ,ドナルド？
風間,ちがう
注原作の,しんのすけのバックトゥザフューチャー
風間,今4人で話し合って決めた結果、12年前……僕たちが6歳だった頃、卒園する日に行こうと思います！
博士,12年前、卒園の日、1998年の3月にいくんだな
風間,えっと……3月だから、そういうことになりますね
博士,よしきた。ただ、タイムマシンは二人乗りだから、四人は乗れないよ
しんのすけ・風間・ネネ・マサオ,え！？
博士,いやま、乗ろうと思えば乗れるかもだけど、ちょーきついよ
ネネ,ちょっと、どうすんの？
しんのすけ,そうだ！ジャンケンで決めよう
風間,おいおいテキトーだなァしんのすけ。そんなんでいいのか？
マサオ,でも確かに、一番公平な方法だよね
ネネ,よーし、じゃ、いくわよ！ジャーンケーン……
風間,なんでわざわざ公園でタイムスリップするんですか……
博士,この場所じゃないとダメなんだよ。時空うんたらのせいで
しんのすけ,なんかうさんくさいね
風間,しかもトイレ型って……
しんのすけ,なんかうんこくさいね。まあいっか！風間くん、乗ろうよ
風間,ああ
博士,あ、あっぶね！これ渡すの忘れるとこだった！
しんのすけ,ほほーい
博士,あ！それから！タイムスリップしてから24時間以内に現在に戻らないと、一生戻れなくなるからな！
しんのすけ,ほほーい
博士,……ほんとに大丈夫かな
風間,このレバーを小の方に回せば過去にいくんだな
しんのすけ,風間くん
風間,なんだよ
しんのすけ,やっと二人きりになれたね
風間,気色悪いこと言うなよ！！！
しんのすけ,んもう、照れちゃって
風間,照れてない！
しんのすけ,お、もう過去に着いたみたいだゾ
風間,はや
博士,お、消えた。無事過去に行ったみたいだな。じゃ、研究所に戻って録画した再放送の不揃いの蛇苺たちの再放送見よ！
風間,……ほんとに、過去に戻ったのかな
しんのすけ,たぶん
風間,僕らがまだ幼稚園児だった頃か
しんのすけ,風間くんがプールでタマタマを堂々と見せたり、女子高の文化祭でうんこ漏らしたりしてた頃だね
風間,なんでそういうことばっかり覚えてるんだよっ！！！。……とにかく、アクション幼稚園に行ってみよう！。もう園児は皆帰ったみたいだね。先生たちは……職員室だな、たぶん
しんのすけ,みどりにあいさつしてく？
風間,ばか！当時のよしなが先生からしてみれば、僕たちは赤の他人なんだぞ！
しんのすけ,ほうほう
風間,よし、今なら掘りに行ってもきっとバレないぞ！
しんのすけ,えー、大丈夫かな。夜中まで待ったほうがいいんじゃない？
風間,博士が、24時間のタイムリミットがあるって言ってたろ？おちおちそんなことも言ってられないよ
しんのすけ,ほうほう
風間,僕の合図で一気にウサギ小屋まで行くぞ……今だ！
しんのすけ,無事、ウサギ小屋の前まで来たね
風間,ああ、さっさとスコップで掘っちゃおう
しんのすけ,ウサギちゃん、ちょっとごめんね
風間,変だな……確か金属製の箱に入れてた気がするんだけど……
しんのすけ,全然見つからないゾ……
風間,あ、あった！？。おかしい……こんなに小さかったけな
しんのすけ,風間くんのちoちん？
風間,ちがうよ！！！
しんのすけ,風間くん、しーーーっ！
風間,あ……。気をつけないと……。！？。中身がない！？これやっぱり僕たちが埋めた箱じゃないよ！
しんのすけ,紙が一枚入ってる
風間,ほんとだ……
しんのすけ,この字……幼稚園児なのは間違いなさそうだね
風間,うん、そして、この場所を知っているのは当時、防衛隊の5人だけ
しんのすけ,じゃ、この紙を書いたのは……
風間,おそらく……
しんのすけ・風間,ボーちゃん！
風間,……いや、まてよ
しんのすけ,え？
風間,ボーちゃんの字ってこんなだったっけ……
しんのすけ,……どうだったっけ？オラよく覚えてないや
風間,こんな丸い感じだったっけなァ……これじゃまるで女の子……。とにかく、ここに長居するのはまずい。一旦外へ出よう
しんのすけ,うん。で、どうするの？
風間,とりあえずボーちゃんを探すしか……
しんのすけ,あれ、この声は……
シロ,アン！アン！アン！
しんのすけ,おおお！やっぱりシロだゾ！
風間,え！？ほ、ほんとだシロだ！
しんのすけ,シロ～！！久しぶり！！オラずっと会いたかったんだゾ……！！
シロ,クウゥン！
しんのすけ,シロ！わたあめ！
シロ,アン！
しんのすけ,ちんちんかいかい～
シロ,アンア～ン！
しんのすけ,おお！さすがだシロ！全然鈍ってないな！
風間,でもなんでシロはお前がしんのすけだって分かったんだ？
しんのすけ,シロはオラのにおいを嗅ぎ分けてきたんだよ
風間,そうか、しんのすけのにおいは昔と今でそう変わらないから……。まてよ……におい……？。そうだ！！！
しんのすけ,お？
風間,シロ！この紙のにおいを嗅いでみて！
シロ,アン！
しんのすけ,おお！それでこの紙を書いた人を捜すんだな！
風間,そう！察しがいいなしんのすけ！
シロ,アンアンアン！
しんのすけ,お、こっちだって！
風間,ついてってみよう！。はあ……はあ……
シロ,アン！アン！
しんのすけ,お、もしかしてあそこにいる人なのか？
風間,ボーちゃん……じゃなさそうだね
しんのすけ,声をかけてみる？
風間,うん。あのー……。ちょ、なんだなんだ！？放してください！
しんのすけ,サングラスの男……もしかして
風間,あ……黒磯さん……？
黒磯,！？……な、なぜ私の名を……
あい,黒磯、この二人を放してさしあげなさい
黒磯,しかし……。は、はい今すぐ！
風間,……じゃあ、君は……酢乙女あいちゃん？
あい,なぜあいの名前を知っているのです？
風間,そ、それは……
しんのすけ,オラたち未来か……
風間,わー！わー！
しんのすけ,……
風間,いやね、僕たち別に、怪しいもんではないんですよ
しんのすけ,そうだそうだ！
あい,オラ……？
シロ,アン！アン！
あい,この犬……しん様が飼ってる……。短髪の方
しんのすけ,オラのこと？
あい,はい。納豆はどうやって食べますの？
しんのすけ,そりゃあもちろんネギを入れて。これが美味いんだなァ
あい,嫌いな食べ物は？
しんのすけ,ピーマン、たまねぎ、ニンジン
あい,好きなテレビ番組
しんのすけ,アクション仮面シリーズ、カンタムロボシリーズ。風間くんの好きな番組は？
風間,もちろん魔法少女萌えP！！！
しんのすけ,少女向けアニメ好きな18歳の男性が6歳の女の子に声をかける……へっ
風間,おい！！！誤解を招くような言い方はやめろよ！！！
あい,……今のニヤリとした笑い方……！。やっぱり……野原しんのすけ……しん様ですわね！
しんのすけ,ええ！？なんで分かったのー！？すごーい
風間,ば、ばか
しんのすけ,まあいいじゃない。どうせバラさないとあれ貰えないだろうし
風間,ああ、まあ……そうか
あい,わたくしには分かりますわ！そのキリッとした目、渋い声、愛らしい笑顔……間違いなくしん様ですわ！
風間,そうかなァ……
黒磯,お、驚きました……
しんのすけ,あいちゃん
あい,なんですの、しん様！
しんのすけ,この紙、やっぱりあいちゃんが書いたの？
あい,そうですわ！これはまさしく、わたくしが書いたものです！
風間,ボーちゃんじゃなかったのか……
しんのすけ,一体なんで……
あい,それは黒磯が説明してくれますわ
黒磯,……
シロ,アン！
黒磯,え？あ、はい、説明します
しんのすけ,完全に油断してたね今
黒磯,実は、まだ公式には発表されていない情報を酢乙女家は入手したのです。それは、アクション幼稚園に新たな校舎を建てるというものでした。で、これは謝らないといけないかもしれませんが……。私はいつも草むらの中からあい様を見守っておりまして……偶然にもしんのすけさんたちがカプセルを埋めていたのを見てしまったのです
しんのすけ,の、のぞきがシュミだったのかァ……
黒磯,ち、違います！。それで、あい様がこう言ったんです。しん様がタイムカプセルを掘り出せなくなるのは可哀想だから、先に掘り出しておきなさい、と
あい様,念のために、その紙も書いておいたんですわ
風間,でもなんで、この紙には酢乙女あいの名を書かなかったんだ？
あい,書く必要がないからですわ。そもそも、このような形でしん様にバレるのは本望ではないのです
風間,ふうん……
しんのすけ,で、肝心のタイムカプセルはどこにあるの？
あい,ボーちゃんが預かっています。彼には、来たるべき時にそれをしん様たちに打ち明けて欲しいと言いました
しんのすけ,ほうほう
風間,やっぱりボーちゃんが
しんのすけ,ボーちゃん捜しにいこう！
風間,うん！あいちゃんありがとう！
しんのすけ,ありがとうあいちゃん！
シロ,アンアンアン！
黒磯,二人とも行ってしまいましたね。しかし、本当になぜ、名前を書いておかなかったんです？
あい,そもそも、わたくしが関与したことは、バレたくなかったのですわ。カプセルのことは、あの5人だけの秘密であるべきだったのですわ
黒磯,あい様、それでいいのですか？
あい,しん様が幸せでいてくれるなら、あいはそれでいいのですわ！。それより、大人になったしん様があんなにかっこいいなんて……わたくし、ますます燃えてきましたわ！。しん様とは違う小学校になっちゃうけど……どこまでも追いかけていきますわ！いいわね、黒磯！
黒磯,あ、はい！追いかけていきます！
あい,それと、風間くんが萌えP好きだったなんて意外ですわ……これはネネちゃんに伝えなきゃですわ
風間,あいちゃんのおかげでカプセル、助かったみたいだね
しんのすけ,うん！未来に戻ったら、未来のあいちゃんにもお礼しにいこーっと！
シロ,アン！
みさえ,むさえ、泊まっていかないの？珍しいわね
むさえ,うん帰る。しんのすけが卒園するってんで、美味いもん食べれるかな～って来ただけだし
みさえ,あ、そ
むさえ,じゃ、またいつか来るね
みさえ,はいはい、じゃあね
しんちゃん,むさえちゃん行ってきマス寿司
みさえ,しんのすけ、さようならでしょ！
むさえ,ははは、しんのすけ！さよう奈良の大仏！。はあ、家まで地味に距離あるから歩くの疲れるんだよなー。！！！。こ、この腹の痛みは……きた！。と、トイレどこだ！。あ、あそこの公園の公衆便所でいいか……！。急げ漏れる！。南無三！。うう……ううん……。…………ふう。ああ、生きててよかったァ！！！。公衆便所で大便したのいつぶりだったかなァ。あ！やっべ！ねーちゃん家に忘れ物しちゃった！。取りに帰らないと。……。春日部ってこんなだったっけ……？。ま、いいや
みさえ,びっくりしたもう誰よ急にドンドンドンドン！。ひまわり、出てくれる？今私手が放せないのよ、料理してて
ひまわり,あたしも今手が放せないから無理
みさえ,ええ？何やってるのよ
ひまわり,玉木宏の写真集見てニヤニヤしてる
みさえ,要するに暇なんだろーが！はよいけっちゅうねん！
ひまわり,手放してるやん……。……えっと、どちら様ですか？
むさえ,そ、それはこっちのセリフなんだけど……あんただれ？
ひまわり,？……よく分からないけど、間違い訪問ですか？
むさえ,違うよ！私むさえだよ！む、さ、え！
ひまわり,むさえ……むさえ！！？？
むさえ,家に財布置いてきちゃってさ、取りに来たんだよ。入るね
ひまわり,あ、ちょっと！
みさえ,ちょっと何家の中にはい……
むさえ,あれ？なんかねーちゃん急に老け込んでない？
みさえ,…………！？
むさえ,ど、どしたの？震えてるよ、包丁落としてるし……ていうかさっき夕食食べたばっかりじゃ……
みさえ,うそ……
むさえ,え？それよりさっき財布を……
みさえ,ゆ、ゆ、ゆ……
むさえ,ゆ？
みさえ,幽霊が出たあああああああああああああああ！！！
むさえ,え、うそ！？幽霊！？どこ！？
ひまわり,マ、ママ！！とりあえず落ちついて！！。ママ……大丈夫だから……落ち着いて……深呼吸……
みさえ,はあ……はあ……むさえ、あんた生きてたの？
むさえ,うん、そりゃ生きてるよ。ねーちゃんなんかおかしいよ？
みさえ,バカァ！！！。何年も行方不明になって、何今頃になってのこのこ帰って来てんのよ！
ひまわり,……
むさえ,え……？
みさえ,私が今までどんっだけ心配したと思ってんの！！？
むさえ,……ねえ、ねーちゃん、イマイチ話の筋が見えないんだけど……。私何年も行方不明になんかなってないよ
みさえ,……ど、どういうことよ
むさえ,だからさ、さっきまでしんのすけの卒園祝いパーティー的なもんやってたじゃん
みさえ,……！
むさえ,で、私が一旦帰ったんだけど、財布をこの家に忘れちゃって今戻ってきた。30分ぐらいしか空いてないよ、ねーちゃん
ひまわり,……
みさえ,そんな……むさえはあのパーティー以来、行方不明になったのよ！。ははは、しんのすけ！さよう奈良の大仏！。……これがむさえから聞いた最後の言葉だったはずよ……。一体どういうことなの……？
むさえ,ていうか、ずっと気になってたんだけど、その女の子だれ
みさえ,ひまわりよ
むさえ,ひまわり！？
ひまわり,……こ、こんちは
むさえ,ま、まてよ……急に老け込んだねーちゃん、急に日本語覚えたひまわり……
ひろし,今日もつかれ……。……え、君は……
むさえ,や、やっぱり老け込んでる……！ま、まさか！。ねーちゃん！今の時間は！？
みさえ,え……19時20分よ
むさえ,何年の！！！
みさえ,2009年にきまってるじゃない
むさえ,……やっぱり。タイムスリップしちゃったんだ、私……
みさえ・ひろし・ひまわり,なんだってー！？
ひろし,ほほほ本物のむさえちゃんなのか！？
ひまわり,らしいよ
ひろし,こ、こいつは驚いたぜ……
みさえ,タイムスリップ……きっとこれは
みさえ・ひまわり,博士の仕業に違いない！！！
むさえ,……しかし2009年の芸能界ってどうなってんだろ
ひまわり,俳優の藤原啓治とアンジェラ小梅が昨年離婚したよ。不倫が原因だって
むさえ,うっそマジ？あんなにラブラブだったのに。やっぱ男同士って満たされないのかな
みさえ,んなこと言うとる場合か！！！博士のとこに行くわよ！！！
マサオ,ネネ……さっきから何してんの？
ネネ,絶妙なタイミングで名曲ラブ・ストーリーは突然にのイントロをかける練習よ！
マサオ,……ネネって昔からそういうの好きだよね……
博士,あー不揃いの蛇苺たち面白かった。お、誰だろう。はいはい今すぐ開けますよ！おーこわ
むさえ,あ、あの公衆便所がタイムマシンだったの！？
ひろし,まじかよ……
みさえ,幽霊じゃなかったのね、よかった……よかないけど
博士,むさえさん、トイレに使用中の表示なかったの？鍵は？
むさえ,鍵？いいえ
ネネ・マサオ,！！
博士,しんちゃん……あれほど言ったのに……
ひまわり,ね、ねえねえちょっと！お兄ちゃんがなんか関係あるの！？
博士,ああ、しんちゃんはタイムマシンを使って過去に行ったんだ
ひろし,う、うそだろ！？
みさえ,帰りが遅いと思ったら……過去に行っただなんて
ひまわり,お兄ちゃんは……しんのすけは無事帰ってこれるんだよね！？
博士,……
みさえ,ちょ、ちょっと……
ひろし,おい！うそだろ？なんとか言えよ！
ネネ,そ、そんな、しんちゃんが……風間くんだって過去に……
ひまわり,か、風間くんまで……！？
みさえ,博士……！
博士,…………
ひまわり,…………
博士,…………
ひまわり,……おいおいおいコラジジイ！！
博士,ジ、ジジ。……す、すまん
ネネ,なかなかやるわね。ネネの弟子にしてやってもいいかも
マサオ,ひまちゃんかっこいいなァ
博士,分かった、説明する。あのタイムマシンには一往復分の燃料しか乗せていなかった……いや、そもそもそれしか燃料が用意できなかったんだ。そして、その一往復分の燃料は使い果たしてしまった……燃料がないとタイムマシンは動かない
みさえ,じゃあ、タイムマシンでしんのすけたちを助けに行く方法はもうないの！？
博士,いや、あるにはある
ひろし,お、おい！どうすりゃいいんだよ！
博士,記憶だよ
ひろし,記憶だァ？
博士,そう、記憶
みさえ,なによそれ、どういうことなの？
ひまわり,具体的に説明してよ
博士,例えば、5年前のある日に行きたいとする。その場合、その5年前のある日の記憶が確固たるものとしてあるならば、過去に行ける
みさえ,な、なによそれ
ひろし,イマイチ基準がわかんねーよ！
博士,私だって、この方法は成功したことないから基準は分からんのよ
ひまわり,……よく分かんないけど、あたしが助けに行くことは無理そうだね
ネネ,……あ
マサオ,そっか……
ひまわり,1歳の時の記憶なんかほとんどないしね……無念
ひろし,とにかく、俺は行くぞ！しんのすけを助けに！
みさえ,わ、私だって行くわ！
ネネ,ネネが助けにいく！風間くんもしんちゃんも大事な友達なんだから！
マサオ,じゃ、ぼ、僕だって行く！！
むさえ,じゃ、私も助けにいく！私に責任あるし！
博士,私は行かない！
ひろし,てめえ！
みさえ,せっかくいいダチョウ倶楽部の流れだったのにィ！
ネネ,そもそもあんたがタイムマシン作らなければこんなことには……！
マサオ,博士の分からずや！
ひまわり,あの時の恨み！げんこつ！
むさえ,…………
ひろし・みさえ・ネネ・マサオ・ひまわり・博士,冷静に写真を撮るな！！！
ボー,ボー……誰ですか？
風間,信じられないかもしれないけど、僕は未来から……2010年から来た18歳の風間トオルなんだ
しんのすけ,オラはキアヌリーブスだゾ
風間,違うだろっ！！
ボー,しんちゃん……
しんのすけ,おお！なんで皆オラのこと分かるのー？こんなにありふれた平凡な青年なのに
風間,どこがだよ……。でも……ボーちゃん、僕たちのこと驚かないの？
ボー,世の中不思議たくさんある
風間,な、なるほど……
ボー,これ、タイムカプセルの箱
風間,そうそう！これだよ！僕たちが埋めたのは！
しんのすけ,そうだっけ
風間,うん間違いない！裏に春日部防衛隊の皆の名前も書いてあるし！
ボー,未来の僕にも渡してね
風間,もちろん！任せといて！
ボー,ボー！今いく！。もう行かなきゃ
風間,ああ、そうだね……
ボー,大丈夫すぐに会えるよ
しんのすけ,うんすぐに会える！
風間,そうだな、すぐに会える！いつか未来でまた！。タイムカプセルも無事取り戻したことだし、あとは未来に帰るだけだな
しんのすけ,そういえば、この犬の飼い主はどうしてるんだろ
風間,あいつのことだから、ホイホイと綺麗なお姉さんにでも付いて行ってるんじゃないのか？
しんのすけ,なんてハレンチな奴なんだ！けしからん！
風間,お前のことだよっ！！！
シロ,アン！アンアン！アン！
しんのすけ,あ、シロ！どこ行くんだ？
風間,あ！あのイガグリ坊主は……！
しんちゃん,おお！シロ！こんなところにいたのかァ！
シロ,アン！アン！
風間,ま、間違いない！過去のしんのすけだ
しんのすけ,懐かしいですな
しんちゃん,……
風間,……な、なんだよ坊主
しんちゃん,未来の風間くんだ
風間,なんで分かったんだよ！
しんちゃん,前に一度家に来た。ターミネーチャン倒しに
風間,タ、ターミネー……そんなの僕は知らないぞ！
しんのすけ,ほんと？オラもちょっと覚えてるゾ
風間,え、うそ
しんちゃん,で、なんでシロがこの二人と……？
風間,あ、それは……
しんちゃん,分かった！未来の風間くんと未来のオラだァ！
しんのすけ,正解！
しんちゃん,わーい！当たった当たった商品はなんだー！
風間,なんで皆そんなすぐ分かるんだよ！
しんのすけ,風間くんが特殊すぎるから
風間,どう考えても特殊なのはお前だろ！
しんのすけ,じゃあ、シロにエサちゃんとやるんだゾ
しんちゃん,ほい
しんのすけ,みさえにはエサやりすぎるなよ
しんちゃん,むずかしいちゅうもん
しんのすけ,父ちゃんの足のにおいに気をつけろ
しんちゃん,おえ
しんのすけ,ひまわりがサンマを食べる時は、ホネをちゃんととっておいてあげるように
しんちゃん,やれやれ手間のかかる妹だ
風間,なんなんだよこの会話……
しんのすけ,風間くんには優しく耳をはむはむしてあげてね
風間,やめろ！
しんのすけ,シロ行っちゃったね
風間,元々お前が飼ってたんだから、当然だろ
しんのすけ,まあね
風間,さてと、やっと公園についた。これでタイムマシンに乗って帰れ……
しんのすけ,風間くん、何固まってんの？
風間,……ない
しんのすけ,え？
風間,タイムマシンがなあああああああああああああああああああああああああああいいいいいいいいぃぃ！！！！！
しんのすけ,そんな大声出すほど嬉しいんだな、良かったよかった
風間,よかねーよ！！！嬉しくねーよ！！！。ああ、もうダメだよ戻れないよアハハハアハアハハハハ！！
しんのすけ,……やっぱりうれしそう
風間,ていうか鍵がかかってたはずなのになんで……まさかしんのすけ！
しんのすけ,あ
風間,あの一文字で済ませるなああああ！！！！！
しんのすけ,うっかりどっかり鍵かけるの忘れてた
風間,しっかりしてくれよしんのすけ……
しんのすけ,ま、あんまりうようよするなよ
風間,お前のせいだろーが！！！それに、うようよじゃなくてくよくよだし！！！
しんのすけ,もう風間くん短期なんだから。こういう時こそデラックスデラックス
風間,ああそうだよね、リラックスだよねアハハハハ！。もっとマジになれよしんのすけ！早くなんとかしないと一生未来に帰れなくなるんだぞ！
しんのすけ,えええ！！？そんなのやだよオラ明日ななことランチの予定があるのに！
風間,そうだろ！？ななこさんとデートしたいだろ！？
しんのすけ,したい！
風間,じゃあ何か策を考えなきゃ！
しんのすけ,そうだ！この時代の博士に会いに行くってのは水曜どうでしょう
風間,よし！とりあえずそれでいこう！……どこかの洋画で見たことあるような展開な気もするけど。かくかくしかじか……というわけなんです
博士,なるほど……君たちは未来のしんちゃんと風間くん……
風間,はい……
博士,じゃあ、タイムマシンの研究は成功するってことか！バンザーイ！
しんのすけ,バンザーイ！
風間,なんでしんのすけまでバンザイするんだよ！
しんのすけ,今のバンザーイはウルフルズのバンザーイだから
風間,紛らわしいんだよ！
博士,君、記憶がタイムマシンの動力源にもなり得るといったね
風間,ええ
博士,ならば、私たちが記憶に残るような事件を起こすってのはどうだ
風間,ああ……
しんのすけ,？
風間,そうすれば、二人はこの時間に戻ることができるようになるかもしれない
博士,そういうことだ
しんのすけ,なんかオラよくわかんないけど……、やらなきゃいけないことだけは分かった気がする
風間,お前は野上良太郎かってーの
しんのすけ,よく分かったね風間くん
風間,僕のオタ知識なめるなよ
博士,だが、リスクはある
風間,そうですね……問題はそこです
しんのすけ,リスクって？
風間,それがトラウマになりすぎて、両親のその後にかなりの影響を及ぼす可能性もあるということ。さらに、両親に影響があった場合、しんのすけにも影響が出るってことだ。つまり、今のしんのすけではなくなるかもしれない
博士,トラウマ故に、その記憶を封印されるかもしれないっていう可能性もある
しんのすけ,なんだ、そんなの大丈夫！
風間,しんのすけ……
しんのすけ,オラの父ちゃんと母ちゃん、ずぶといから！
風間,多分、お前にだけは言われたくないだろーよ……
博士,うむ
しんのすけ,とにかく！それしか方法がないなら、やるしかないよ！
風間,ああ、そうだな！しんのすけの言うとおりだ！
博士,じゃあ今から作戦を……
ひろし,俺とみさえの二人で行くことになったはいいものの……
みさえ,どうすりゃ過去にもどれんのよ
博士,とにかく、当時の記憶を鮮明に思い出すんだ！ある臨界点を越えれば自動的にその過去に飛ぶ！
ひろし,わ、分かった！確か卒園式の日は……
みさえ,式の後、家でしんのすけたちがパーティー開いてたはずよ！あなたも仕事休みだったから覚えてるでしょ？
ひろし,そうだったっけ……？もう10年以上前のことだからあんまり覚えてねーよ……！
みさえ,ちょっと何よそれ！卒園式の日だってのに！
ひろし,んなこと言ったって、小学校や中学校の卒業式の方が印象に残ってるだろ！
みさえ,あなた、子どもたちへの愛が足りてないんじゃないの！？
博士,ああ、二人ともこんな時に喧嘩は……
マサオ,しんちゃん……風間くん……
ネネ,二人とも、無事に帰ってこなかったら承知しないんだから！
ひまわり,大丈夫だよ！あの二人のことだよ！きっと……きっとなんとかなるよ！
むさえ,……今朝、横着せずにトイレ行っておくべきだったわ……
マサオ・ネネ・ひまわり,……
ネネ,ねえ、おばさん
むさえ,おばさんはやめて！
ネネ,あ、すいません。あの、むさえさんさっきまで過去にいたんですよね
むさえ,まあ、そういうことになるわね
ネネ,じゃあ、もしかしてむさえさんが一番記憶が鮮明なんじゃないですか？。そんな……
ひまわり,なによそれ、非科学的ね……
むさえ,私だって熱意はあるつもりだけど、親が子を想う気持ちにはそりゃ勝てないよね
マサオ,パーティーの映像もビデオカメラで撮っておけばよかったね……
むさえ,カメラで撮っておけば……？。そ、そうだ！このカメラ！。マサオくん！1000円貸して！はやく！
マサオ,え、はい
ひまわり,どうしたんですか！？急に立ち上がって！
むさえ,ちょっと出かけてくるっ！
ひまわり,行っちゃった……
マサオ,……ネネ、まだタイミング狙ってたんだ
ネネ,あはは、つい癖で……
むさえ,くっそお！走れ私！もっと速く走れむさえ！
みさえ,あらやだ、むさえ財布忘れてってるわ
ひろし,おい、それよりしんのすけはどこだ？
みさえ,シロをどっかに置いてきちゃったからって、捜しに行ったのよ。でも、一人で行かせたのはまずかったかしら……
ひろし,この時間に一人で行かせたのかよ。事故にでもあったらどうすんだ！
みさえ,……私、心配になってきた
ひろし,……あ、あいつのことだから、大丈夫だと思うけど……。……おい、しんのすけまだ帰ってこないぞ！
ひまわり,うえええええええん
みさえ,……こうしちゃいられないわ！二人で捜しに行きましょう！
ひろし,ああ、今俺もそう思っていたとこ……
みさえ・ひろし,！
ひろし,…………みさえ、電話だぞ
みさえ,あ、あなたが出なさいよ
ひろし,なんでだよ
みさえ,お願いあなた……
ひろし,わーったよ！俺が出るよ俺が！
みさえ,スピーカーにしてね
ひろし,わかってるよ。はい、野原です
？,御宅のしんのすけ君を誘拐した
みさえ,
ひろし,な……
？,返して欲しければ、アクション幼稚園まで歩いてくるんだ
ひろし,おい！！しんのすけは……しんのすけは無事なのか！！おい！！
？,ほほーい！オラピンピンしてるゾ！
みさえ,しんちゃん！
ひろし,しんのすけ！
ひまわり,たいのたい！
？,あ、父ちゃん！今夜放送のドラマ不揃いの蛇苺たち録画しといてね
ひろし,……ああ
みさえ,おバカ……
？,そういうことだ。じゃあまた会おう
ひろし,あ……切れちまった
みさえ,アクション幼稚園に歩いて来いって言ってたわ……
ひろし,ああ……金を持って来いとは言ってなかったが……一体何のために！
みさえ,ま、まさか……！私の身体が目的……！？
ひまわり,……け
ひろし,ないない
みさえ,さ、早く幼稚園に行くわよ
ひろし,はい
ひまわり,たい
ひろし,みさえ、周りに気をつけるんだ
みさえ,うん。こ、この声は！
ひろし,しんのすけ……しんのすけがいるぞ！
しんちゃん,父ちゃん母ちゃん！
シロ,アン！アン！
みさえ,しんちゃん！それにシロも……無事でよかった！
ひろし,ああ……！
みさえ,ま、待ってでも、誘拐犯は一体どこに？
ひろし,そ、そうだった！誘拐犯！一発ぶん殴ってやらないと気が治まらないぜ！
しんちゃん,あの人たち、結構いい人だったよ
みさえ,しんちゃん……意外と心優しいのね
しんちゃん,雛形あきこの写真集見せてくれたからいい人！
みさえ,少しでも感動しかけた私が馬鹿だった
ひろし,しんのすけお前って奴は……めちゃめちゃイケてるぜ……
ひまわり,け！
しんちゃん,あの人たちなら、あっちの方へ行ったよ
ひろし,あっちか！よし！
みさえ,追いかけるの！？
ひろし,ったりめーだろ！ひっ捕まえて、警察に突き出してやる！
風間,これでしんちゃんの両親の記憶がより鮮明になってくれればいいが
しんのすけ,風間くん、オラたち犯罪者だね
風間,や、やめろー！……お金取らなかったから、大丈夫だろきっと……
しんのすけ,ねえねえ、もし誰も未来から助けに来なかったら、二人でたくましく生きていこうね
風間,……そうなったらな
しんのすけ,ラブラブカップルだと思われちゃうかもね
風間,思われねえよっ！！
ひろし,そうだ……思い出した……あの日、しんのすけは誘拐されたんだ！
みさえ,そうよ！確かに、そうだったわ！
ひろし,くそっ！こんな大変なこと、なんで今まで思い出せなかったんだ！
みさえ,なんか急に頭の中に入ってきた気もするけど……
ひろし,覚えてる……！あの日は覚えてるぞ！忘れられるわけねーよ！
みさえ,ええ！
むさえ,ねーちゃん！
みさえ,む、むさえ！？どうしたの全速力で！
むさえ,パーティーの写真、現像してきたんだよ！ほらこれ！
みさえ,！
ひろし,むさえちゃん！俺にも見せてくれ！
むさえ,うん！
ひろし,はは、しんのすけ、あそこにぞうさんの絵描いてやがる
みさえ,昔はいつも描いてたわよね。やだ、ほんとお下品ね
ひろし,この後、しんのすけがシロを置いてきちゃったからってシロを捜しに行って……
