優花里,私のところへそんな連絡は…。え？グループLINE…？。私そんなの招待されてないのですが……。というか皆さんLINEしてたんですね…。私がアカウント聞いても皆インストールしてないって……。あっ、いえどうぞ私にはお構いなく西住殿は行ってください。いえ、泣いてないですよ、大丈夫です。早く行ってあげてください、はい。この袋ですか？これは戦車のプラモデルです。毎年クリスマスはプラモデルを組み立てながら過ごすのが決まりなんです。まあそれ以外に過ごす方法がないのですが…。西住殿のその手の箱は……？プレゼント交換ですか？へ、へぇ……それは楽しそうですね。私結構早い歳からクリスマスのプレゼント貰えなくなっちゃって…それで思い切って自分で自分に贈り物してるんです。このプラモデルがそれなんですよー、結構レア物で自分へのご褒美っていうか。でもやっぱり貰うなら一度でいいからお友達から心がこもったプレゼントを…。あ、ごめんなさいこんな話で足を止めさせてしまって……それではまた来年に……。えっ！？いやいやいいですよ！私招待されてないですもの…！。そんな場所に西住殿に連れられた私が乱入したら変な空気になりますって……。いいですって、私プレゼントも何も持ってませんし！。本当にお構いなく！西住殿はパーティーを楽しんで来てください！。私は戦車達とパーティーなので！それでは！。ただいまー……。お母さん、これ頼まれてたフライドチキン…。私は……いいや、今日はちょっと食欲なくて。部屋に戻るね…。……。うわわわっ！？。な、何ですかびっくりした……あれ！？。西住殿……！五十鈴殿に武部殿と冷泉殿も……！。どうして私の部屋に……？皆さんクリスマスパーティーをしていたのでは……その、私を除いて……。……えっ！？ど、ドッキリぃ！？。ど、ドッキリってどういうことですか、一体全体…。私が毎年寂しいクリスマスを過ごしてた噂を聞いてサプライズを………ですか？。私を最近避けてたのはこれを悟られない為で…。さっき西住殿と遭遇したのはアクシデントで……西住殿は嘘が苦手だから私に少し情報を流してしまったんですね。……って私の部屋にいるってことはお母さんもグルですか！？。……あっ、いや！大丈夫です、こらは悲しくてじゃなくて嬉しい涙で……！。うぅ……よ、良かったですぅ…！私てっきり皆から嫌われたかと……！。それにまさか友達とクリスマスを過ごせるなんて……！。あ、謝るなんてとんでもない！確かにちょっとびっくりはしましたけど、本当に嬉しいんですよ……！。あ……西住殿、それはさっきのプレゼント……。わ、私にだったんですか……！？あ、開けてもよろしいので…？。うわぁ！これは…ボコのマフラー……！それに西住殿の首に巻かれてるそれと色違い…！まさかこれは…！。ぺ、ペアルックですか……！？か、感激ですぅ……！。しかし私は交換用のプレゼントを用意しては……。い、いいのですか…？そんなサプライズだからって私だけ…。……わかりました。皆さんの気持ちとても嬉しいです！。今日は人生で一番幸せなクリスマスです！。お母さん、やっぱりフライドチキン食べる！人数分お願い！。あっ、いや…普段家ではこの話し方で……。もー、笑わないでくださいよー！！。はぁ……今年はあんこうチームの皆さんとクリスマスを過ごせるかと思ってましたが…。西住殿は熊本へ帰り…。冷泉殿はお祖母様と一緒に過ごし…。五十鈴殿は五十鈴流のクリスマス花道ショーなるイベント出演…。武部殿はクリスマスまでに彼氏作れなかったショックで寝込み…。今年も1人になってしまうとは…。例年通りプラモデルを組み立てながらチキンを頬張りましょうかね…。……ん？私をグデーリアンとソウルネームで呼ぶその声は……。エルヴィン殿！おお、しかもドイツ軍の冬仕様のコート着用です！。あ、あははメリークリスマスです……いえ私はその…。じつはあんこうチームの皆さんの都合が合わなくて…。その大量の食料はもしかしてパーティーの食材で…？。えっ、わ、私もですか……！？。い、いいのですか……カバさんチームのパーティーに私なんかが乱入しちゃって…。そう言って貰えれば嬉しいです…！それじゃあお言葉に甘えて…。そうだ、プラモ晩酌用にシャンメリ買ってたんです。皆で飲みましょう！。えっ、サンタコス……？これ私が着るんですかぁ！？。わ、分かりました……招待して頂きましたし、全力で仮装します…！。どうですか？えへへー、いやーなんだかんだ言って楽しいですね仮装は。私何度か潜入捜査で変装をしているので、結構癖になっているのかもしれませんねー。………いえ、どちらかと言うとオットースコルツェニーが連合軍の制服に変装したグライフ作戦ですね。ふふふ、それでは行きましょうか。カバさんチームのお家には初めてお伺いしますね、確か西住殿も一度訪れたことがあったとか…。私がドアを開けるのですか？えっ、サンタの乱入……？。なるほど、クリスマスだからサンタでサプライズですね！カエサル殿達の驚く顔が目に浮かぶようです！。では、不肖秋山サンタが失礼をして…！。メリークリスマース！。……ん？えっ、なぜ皆さん甲冑や火縄銃で臨戦態勢……っていうか驚いてない……？。うわわわわっ！？いたっ！いたたっ！やめてください！サンタにこんな狼藉ー。痛い！プラスチックでも刀は痛いです左衛門佐殿！。助けてエルヴィン殿…、ちょっ、何でモデルガンを……？。うわーー！ひー！四面楚歌ですー！。ふ、ふん縛られてしまいました……何なんですか一体…。一度サンタを捕獲してみたかった……？。サンタだってローマ兵と騎馬兵と海援隊とドイツ兵士に襲われるなんて想定してませんよ！。まさかエルヴィン殿、サンタコスを着せたのは自分がこの役目をするのが嫌だったからで……？。はっはっはっはー！じゃないですよ！！サンタにこんなことしたらプレゼント貰えませんよ！。もうコスチューム脱ぎますからね…、ん？いえ、物を貰ったって私の機嫌は……。こ、これは自衛隊の戦闘糧食……！？。私も申し込みしたのに惜しくも抽選筈てしまった代物です…。いいのですか、こんな貴重なもの……！？。し、仕方ないですねぇ！今回だけですよー！。まさかこんな形でコレクションが増えるとは…！。それにしても部屋の中はなかなか個性的な飾り付けですね…。日独伊の文化が混ざりまくってます……これクリスマスと言えるのでしょうか。というか、結構意外ですね、皆さんがクリスマスを祝うなんて。ほら、ローマ時代や戦国時代や幕末にクリスマスは……？。……えっ？あ、そうですねエルヴィン殿。自分の人生は自分で演出する……。確かに！戦車道と同じで、自分がこうだと思った物がクリスマスになるのですね！。そしてこちらの一角は随分とボロボロですね……地図の裏に書いた聖母を飾って……。もしやこれは…！エルヴィン殿！。やはりですね！では歌いましょうか、ドイツ兵士の気分で！。あれっ？おりょう殿達はご存知ないですか？。これぞスターリングラードの聖母ですよ！流石はエルヴィン殿！。本来3番の歌詞はロシア兵士が歌ってくれるのですが流石にプラウダ高校の方々が乱入するなんて展開は…。ん……？あっ、ま、窓を見てください！。雪が降ってますよ！うわぁ綺麗です…！。ホワイトクリスマスなんて……ロマンチックですねぇ…！。本当に綺麗です……！。……。……それだ！！。え、えへへー、私もどうやら皆さんのノリが伝染っちゃったみたいですね！。それでは皆さん、せっかくのホワイトクリスマスです、楽しみましょう！！。あんこうチームの皆さんもこの同じ雪を見ていればいいのですが…。来年こそはあんこうチームと…。いえ、カバさんチームもカメさんもウサギさんも、戦車道受講者皆で…。皆でクリスマスパーティーをしましょう……！
アリサ,ええっ！？い、いいんですか……。私……たかしと聖夜を過ごすから女同士の虚しいクリスマスなんて御免なんて啖呵切って飛び出したのに……
ナオミ,まあイラっとしたけどね
ケイ,あなたはサンダースのメンバーでしょ。Oneforall,Allforoneよ！
アリサ,隊長……！！
まほ,ほらな……この通りだ
アンチョビ,良かった良かった！
ミカ,孤独というのはなろうとしてなれるものじゃない……
まほ,これで全員パーティーに行けるわけだ
アンチョビ,うぅ……私は……
まほ,……一度皆あってみるといい。多分お世話になっている隊長を彼氏に紹介したいのだろう
アンチョビ,そ、そうなのか……それじゃあちょっとだけ……
ケイ,それにしても随分面白い組み合わせね
ナオミ,それぞれの学園艦がたまたまここの陸に着岸してるんだろうな
アリサ,へぇ、道理で……。…………ん、だったら
ケイ,どうしたの？
アリサ,いえ、ちょっといいことを考えまして
まほ,……なるほどな
アンチョビ,おー、まさか……！
ミカ,……。……いくぞ
エリカ,隊長ー！
まほ,エリカ…、それ皆。わざわざ呼び出してすまなかったな
エリカ,そんなことないですよ！私隊長とクリスマス過ごせるなんて感激です！
小梅直下,皆喜んで駆けつけますよ！
まほ,ありがとう…。もっと早くから皆と過ごしていればよかったなせっかくのクリスマスなんだから
エリカ,でも少し驚きました。急にこの店に皆で来いなんて…
小梅,それにこのお店の状況……
まほ,ああ、なんたって…………クリスマスパーティーだからな
アンチョビ,うおおぉーー！お前らサプライズなんて生意気だぞぉーー！！
ペパロニ,ごめんなさいって姐さん！許してくださいよ～
カルパッチョ,だからこの作戦は止めとこって…
アンチョビ,でも良かったぁ！皆私を嫌ってるんじゃなくてぇ……！！。お前ら！私を驚かせた罰だ！夜明けまで飲めや騒げやだぁーーー！
ペパロニ,了解っすぅーー！！
カルパッチョ,結局いつものクリスマスと変わらないけど……やっぱりドゥーチェと一緒が一番ね……！
アキ,もー！何でいつも言ってるのにケータイ落とすかなー！
ミカ,……
ミッコ,町中探し回ったよ
アキ,でも……ちょっと意外かも。ミカがクリスマス会に誘ってくれるなんて。こういうの意味があるとは思えないんじゃないの？
ミカ,確かに……1年の内のたった1日に意味と意義を見つけることは困難だ。でも……今日は誰もが口にするありきたりなクリスマスの奇跡を信じよう
アキ,……何それ
ミッコ,とにかく楽しめってことじゃない？
アキ,素直じゃないんだからー
ミカ,……♫
ナオミ,4校の生徒が集まると壮観だな
ケイ,ほとんど貸し切り状態ね。楽しげでいいわね、ナイス判断よアリサ！
アリサ,サンダースの賑やかなクリスマスもいいですが……今日はさらに賑やかで華やかにしてみたくて
ナオミ,私達の知らない間に友情でも芽生えたかい？
アリサ,友情……って言えるのかしら？ぼっち同盟でもないし……。ただ、クリスマスにばったりあっただけの仲ね。そしてそのまま一緒にクリスマスを祝う……ただそれだけの仲
ヘルメット娘,車長ー！全員にシャンメリー行き渡りましたー！
アリサ,ありがとう。……あの、隊長、本当にあたしでいいのですか？
ケイ,遠慮しないの、多分今日の主役は最初に集まったあなたたちだと思うからね！
アリサ,……はい！。それじゃあ、黒森峰！アンツィオ！継続！そしてサンダースの全生徒へ！カップを手に持って！。長ったらしい前置きは無しにして簡潔に行きましょうか。そして思い切り騒ごうじゃない！
まほ,ああ
アンチョビ,よーしっ！
ミカ,……ふふ
アリサ,メリークリスマス！！！かんぱーーい！
