ナレーション,双海亜美
律子,亜美ー？どうかしたの？今日はおとなしいじゃない
亜美,う、う、うん！そ、そっかな→？
伊織,律子は……なにかあったの？
律子,？べっつにー
亜美,……いおりん、亜美もう恐いよ
伊織,あずさ……私達、どうすれば……
あずさ,帰ったら……みんなで集まれる？外で
伊織,？連絡しておくわ
律子,さー！今日もお仕事、お仕事ーーー！！！
春香,つ、つきあってるー！？
真美,つっつきあってる→！？
貴音,律子嬢と……
千早,プロデューサーが？
あずさ,きっとね。間違いないと思うわ～
春香,あー
千早,春香、元気出して
美希,間違い……ないの？
亜美,今日のりっちゃん見たら、ミキミキも絶対なっとくだよ
美希,うう……
春香,美希ぃ……
美希,春香ぁ……
春香・美希,うえええぇぇぇーーーんんん！！！
貴音,抱き合って泣く二人の姿……まこと、美しいですね
伊織,意外にも、雪歩が冷静よね
真,いや、これもう呆然としてるだけだと思うんだけど
雪歩,……
亜美,けどさ→、りっちゃんも兄ちゃんも機嫌がいいのはつきあってるからだとして→。なんで亜美達に黙ってんNO？
あずさ,私達みんなが、春香ちゃんや美希ちゃん、雪歩ちゃんみたいになるとわかってるからじゃないのかしら～
真,なるほど
真美,ナットクだよ
春香,うええ……
美希,あーん
雪歩,……
あずさ,まあ最重症の３人はちょっとおいておいて～ここにいるみんな、少なからずショックよね～
伊織,私は……別に……
千早,ショックです
伊織,千早！？
千早,でも、なんとなくわかってたわ。プロデューサーは律子が好きなんじゃないか、って
貴音,私も、残念ではありますが薄々は気がついておりました
真,律子もボクらの仲間なんだし、そう思うと……
千早,ええ。やっぱり嬉しいし、諦めもつきそうよね
あずさ,そうよね～やっぱりみんな、そうよね～
貴音,これ。そこな三人、いいかげんに落ち着きなさい
春香,うう……
美希,うう……
雪歩,うう……
あずさ,それで～これから私達は、どうしましょうか～
やよい,はわわ！お、お赤飯を炊きましょうかー？
伊織,うーん。なんか変だけど……まあおめでたいと思って、なにかしてやらなきゃね。材料を買いに行く？
貴音,失恋するとお腹が空くもの……高槻やよいの炊く、お赤飯……わたくし、腹が高鳴ります
あずさ,いいわね～だけど……
伊織,？
あずさ,やっぱりちょっと、悔しくない～？
春香,そうです！仕方ないけど……
美希,律子に一言は言いたいのー！
雪歩,そうだよぉ。そうじゃないと、私も踏ん切りがつかないよぉ
真,確かに……そう、かな？
真美,でもさ→なにすんの→？
あずさ,うふふ～私にちょっと、考えがあるのよね～
Ｐ,みんな……行っちゃったな
律子,なんか、全員で夕食を食べるって
Ｐ,小鳥さんは？
律子,アニメ見ないといけないって、帰っちゃいましたよ
Ｐ,ああ、黒バスの日か
律子,プロデューサー殿は、いいんですか？
Ｐ,今だけだからな、律子といられて話ができるのは
律子,……バレませんでした？真と雪歩に
Ｐ,うーん、なんかいつもとは違ったけど、どうだろな
律子,私は大丈夫でしたよ
Ｐ,流石、元アイドル
律子,ふっふーん
Ｐ,もう一回、アイドルは……
律子,それはやりません
Ｐ,……そうだな、もう俺だけのアイドルだ
律子,……
Ｐ,ひとつ、お願いがあるんだけど……
律子,なんですか？
Ｐ,ふ、二人っきりの時は……だ、ダーリンって呼んで、く……くれない、か？
律子,え？
Ｐ,律子、もうアイドルじゃないだろ。もうアイドルにも戻らないし
律子,ええ
Ｐ,だから、俺だけにダーリンって呼んでくれるんなら……嬉しい、から……
律子,今さら……そういうの、恥ずかしいですよ
Ｐ,なんか律子の特別になれた、って気がするからさ
律子,別に……そんな呼び方を変えなくても、私はプロデューサー殿の彼女ですよ
Ｐ,……そっか
律子,だから……二人っきりの時だけですよ。ダーリン
Ｐ,え！？
律子,好きですよ、ダーリン
Ｐ,律子……ありがとう
律子,こまりますよ、プロデューサー殿！もっとしっかりしてください！！
Ｐ,ああ、悪いな。経費の計算、やっといてもらって
律子,プロデューサー殿は、ほっとくと経理は後回しなんですから、まったく！！！
Ｐ,助かったよ
春香,……
美希,……
雪歩,……
あずさ,亜美ちゃん、そろそろ～
亜美,おっけ→
Ｐ,あれ？亜美、今日はひとりで行くのか？収録
亜美,うん！パ→ソナリティ→の千早お姉ちゃんは先に行ってるし、大・丈→夫だよ
Ｐ,そうか？
亜美,うん！
あずさ,プロデューサーさん～。過保護は良くないですよ～
Ｐ,まあ、亜美もプロ意識が出てきたもんな。律子に鍛えられたかな？
律子,そんなことないですよ。亜美も自発的にがんばってるんですよ、ダーリン
春香,！
美希,！
雪歩,！
Ｐ,り、律子！？律子ー！！
律子,え？……あ！い、いや、その……だー……たーりん……ぷ、ぷぷぷ、プロデューサー殿の、ノータリン……なんて……
Ｐ,い、いやあ……り、律子はキツいなあ！あ、あはははははは……
春香,……
美希,……
雪歩,……
千早,今日は同じ事務所の可愛い妹分、双海亜美に来てもらってます
亜美,……亜美だよ
Ｐ,！？
律子,なに！？今の亜美の超低テンション
Ｐ,プライベートでも聞いたことの無いダウナーさだったな
律子,出る時は、元気だったのに……
あずさ,どうしたのかしら～？
千早,あれ？今日は随分と元気ないわね
亜美,うん……聞いてよ千早お姉ちゃん。最近ね、亜美……事務所の空気がトゲトゲしてて嫌なんだ……
千早,ああ……でも亜美、それは収録の後で……
亜美,もうイヤだよ！亜美、兄ちゃんやりっちゃんがケンカしてるのヤだよぉ……
律子,そんな……。亜美……ごめんなさい
あずさ,律子さん……亜美ちゃんだけじゃないのよ。みんな、色々と心配したり不安になったりしてるんですからね。付き合ってるなら、そう言えばいいのに～
律子,……もしかして、全員？
春香,気づいてますよ！
美希,律子……さん、ひどいの！
雪歩,私達を信用してないんですか？
Ｐ,いや、律子が悪いんじゃなくて俺が悪いんだよ。みんな、ゴメン
律子,ちが、違います！全部、私が言い出したことで……ほんとにごめんなさい
あずさ,……ですって。どうする～みんな？
春香,プロデューサーさんは……律子さんが好きなんですね？
美希,どうなの！？ハニー！！
雪歩,そうなんですか？
Ｐ,……そうだ。俺は律子が好きだ！
春香,そっか……
美希,じゃあ、くやしいけど……
雪歩,しょうがないです
律子,え？
貴音,みんな、祝福いたしますよ。お二人を
やよい,うっうー！高槻家特製の、お赤飯ですよー！！お祝いに、みんなで食べましょう！！！
律子,え？え？
真美,このままパ→ティ→に突入だYO！
律子,あんたたち……最初から用意してたの？
Ｐ,じゃあさっきのラジオも！？
春香,トランスミッターで、事前に録音した音声をラジオに飛ばしたんです
Ｐ,……気がつかなかった
律子,じゃあ、さっきの亜美の声は……演技？
美希,そうなの。迫真の演技だった、ってミキ思うな
律子,よかった……
春香,それで、２人はどこまでいったんですか？
律子,ちょ、春香！
雪歩,それぐらい聞いても、罰はあたらないと思いますぅ
Ｐ,いや、まだ全然
美希,ホントなの？
Ｐ,ああ。な、律子
律子,そ、そうよ
美希,キスも？なの
Ｐ,あー……それは
律子,も、黙秘します
Ｐ,したよ。でも、そこまでな
一同,ヒュー！！！
律子,ちょ！プロデューサー！
真美,おりょりょ→りっちゃん、真っ赤だよ→
Ｐ,隠し事はもう止めよう。その代わり、公私の区別はつけるから
あずさ,う～ん。でも律子さんにはそれ、難しいかもね～
律子,へえ？
伊織,バレバレだったわよ。ここんトコ、ずっと
律子,嘘……
雪歩,むしろバレて無いと思うほうがおかしいですぅ
美希,じゃあハニー……プロデューサーは、まだ全然この先の事も考えてないの？
Ｐ,……いや。いちおう……こういうものは、用意してある
春香,それって……
雪歩,うわあ、いいなあ。うらやましいなあ
美希,ミキに見せて！
Ｐ,律子……これ、受け取ってくれるか？
律子,やだ……こんな、そんな……
美希,律子……さん、要らないのー？
伊織,へえ！結構、奮発したじゃない。これって３ヶ月分？にししっ
春香,それなら私が……
律子,ダメ！それは私の……。……おほん。あ、ありがたく受け取ります。ありがとう、ダーリン
春香,♪えんだーーー☆♪★♪♯
伊織,春香……音、外れてるわよ
春香,のワの……
響,千早が帰ってくるの、待って歌ってもらった方がいいぞ！
雪歩,律子さん、指輪してみてください
律子,そうね。あれ？
春香,これって……
雪歩,サイズが……
美希,合ってないの
Ｐ,えええぇぇぇーーー！？だって律子、前にサイズは１２号だって……
律子,それは服のサイズです！指輪は１１号ですよ！！
あずさ,ええ～？それじゃあもしかして……。……ぴったりですね～
春香,これって……
雪歩,あずささんの、運命の人って……
美希,ハニーなの？
律子,だあああぁぁぁりいいいぃぃぃんんん！！！
Ｐ,指輪、ごめんな
律子,……いいです。あんまり何もかも完璧にじたいが収まると、かえって不安になります
Ｐ,そうか
律子,私、みんなの事をちゃんとわかっていませんでした。なんでも物事を分析していれば、間違いないと思っていたのに、肝心のみんなの優しさを考慮に入れてませんでした
Ｐ,確かにな。でも、そういうのも含めて律子だと俺は思うぞ
律子,？どういう事です？
Ｐ,真面目で、美人で、ちょっと固くて、スタイル良くて、頭が良くて、笑顔が可愛くて……それで最後に
律子,最後に？
Ｐ,ちょっと抜けてる所、がな
律子,もう！
Ｐ,律子、怒ったか？
律子,怒ってませんよ。だって、その通りですし……
Ｐ,ま、俺もそうだし
律子,え？
Ｐ,指輪
律子,あずささんに、あげなくていいんですか？
Ｐ,俺は、律子が好きだからな
律子,……私もですよ、ダーリン
小鳥,……あの、これは……これはどういうことピヨ？
律子,え？
Ｐ,あ、あれ？
小鳥,私が出張に行っている間に……な、なにが……。ひどいピヨー！！
