グラーフ,ハァ……ハァ……
グラ,あぁ。たとえば、ピルスナーの他にもケルシュというものがあるが。それはこの国でいう“軽い”飲み口で……。デュンケルやシュバルツというビール。これは黒くて“しっかりとした”味わいだ。私はこちらをあまり飲むことはないがな
提督,ほぇー
グラ,うん、美味しい。このホッケのように……。日本食はうまくこのピルスナーと合うようになっていることが多いが……。さきほど食べたラーメンとの組み合わせはまだ想像ができないな
提督,まぁ一緒に飲むというより、飲んだ後に食べる方が美味しく感じるけどね。そりゃもうびっくらこくぞー……後でやってみる？
グラ,それは遠慮しよう。あなたのために、体重は維持しておきたいのだ……。ふぅ……満足だ
提督,それはなによりで。……そうだ
グラ,ん、なんだ
提督,もう一軒どう？。……俺の奢りで
グラ,そんな、奢りなど……。急にどうしたのだ、アトミラール？
提督,いや、深い意味はないよ。ただ、せっかくの“オデカケ”だし……。それらしいことをしようかなって
グラ,そういうものなのだろうか……。……では。有り難くご一緒させていただこう
提督,俺はスレッジハンマーを
グラ,では私はラドラー……できるか？。ショットバーか……
提督,ん？どうしたの
グラ,いや……アトミラールがこういった所に来るイメージがなかったんだ
提督,あはは、そのアトミラールだから来るんだよ。……てか、ぶっちゃけお酒に関してはこの手のショートカクテルが一番好きかも。ふぅ……。染みるなぁ。鎮守府にいたころはウォッカなんて、飲ませてもらえなかったからなぁ
グラ,それは、そうだろうな。そもそもあなた自身が存外、酒のマナーに厳しい人なのだから
提督,厳しいというか……。お酒を人様に迷惑をかけた時の言い訳にしてほしくないだけだよ
グラ,……なるほどな。♪
提督,……君が飲んでるそのラドラーって。名前はどういう意味なの？
グラ,ムゥ……私もよくは知らないが……。たしか“自転車乗り”のような意味だったと思うな
提督,自転車乗りかぁ。自転車……。ホテルに着いたー！。これが俺のフェイバリットホールド！。ホテルベッドダーイブ！
グラ,みっともないからやめよう、アトミラールっ
提督,そうおっしゃらず……ほれほれ
グラ,……まったく
提督,
グラ,アトミラール……寝てしまったか。……私の身体が綺麗だと言ってくれた人……。……こうやって、そんなあなたの胸元に収まる度に思うよ。……私の居場所はひとつになってしまったんだな
提督,ｩﾏｲｩﾏｲ
グラ,取りすぎだぞ、アトミラール
提督,ホテルの朝食バイキングとはそういうものだヨ。……君こそ甘いものばかり取りすぎだぞ
グラ,そ、それは良いんだ……。朝は糖分を摂取せねば脳が働かないのだ……
提督,……
グラ,なんだっ
提督,なんでも。まぁ食っとけ食っとけぃ。今日は存分にカロリーを消費してやるんだからな
グラ,今日は自転車を使うとは……どういうことなんだ？
提督,うん、つまるところレンタサイクルだよ。で、この旅最後の宿は嵐山でとることにします
グラ,アラシヤマ……
提督,そう、嵐山。で、その嵐山までの道中は自転車で移動します
グラ,そうか、なるほど……。……いやまてっ。ここから嵐山はそこそこ距離がある……。それはまだいいが、レンタルならまた返しに来ることになるぞ
提督,問題ないんだよなぁ。レンタサイクルには乗り捨てシステムってのがあって……。そのお店と提携してるお店にも返却ができるらしいんだ。だから、明日に向こうから一番近いお店に返しに来ればいい
グラ,そうか……それなら安心した
提督,さすがにロードバイクのレンタルはなかったか……。ママチャリってこんなに重かったんだなぁ
グラ,それは仕方あるまい。せっかくなんだ……ゆっくりしよう
提督,りょーかい。んじゃ、とりあえずこの今出川通りを真っ直ぐ西に突っ切る
グラ,あぁ、分かった
提督,なんだここ……塀がえらく長いなぁ
グラ,見てみろアトミラール、東西だけじゃない。南北にもずっと伸びているな……
提督,君の美しい髪のように……
グラ,アトミラール……
大学生,なんだあいつら……
グラ,アトミラール、ここは今日は祭りなのか？。露店がたくさん並んでいるぞっ
提督,ほんとだ。でも、これは祭りというより……バザー？。俺、ちょっと覗きたいかも
グラ,あぁ、行こうか
提督,サンキュー！。なんかいい錆具合だなぁこれ。このサントリーの栓抜き……いつのなんだろう？
おっちゃん,それは一本、４００円
提督,高いのか安いのか判別がつかーん。……買いますっ
おっちゃん,おおきにな
提督,衝動買い怖すぎィ！
グラ,なんだか女の子みたいだな……
提督,インテリアになりそうなものを買ったはいいけど。どうせ飾れないんだろうなぁ。ちょっと早いけど、お昼行っておこうか
グラ,立ち止まったついでだしな……。あの町家でランチが頂けるようだっ
提督,ちょうどいいや、うどんが食いたかったんだよねぇ。すげぇ……本当に極太の麺が一本なんだ……
グラ,ホウショーに作ってもらったウドンとは趣が異なるな……。あぁ、とても美味だ
提督,餅に近い食感だなぁ……すごく食べ応えがあるよ
グラ,これはとてもじゃないが、ススルことはできないな。あむっ……ふぅっ……
提督,……
グラ,んふぇ？
提督,飲みこめる？
グラ,ふぉお。これは……“アラシデン”と読むのか？
通行人,ねーちゃんそれ、“らんでん”って読むんやで～
グラ,なにっ、そうだったのか。お恥ずかしい話だな……ははは……
提督,……ははは……。ねぇ
グラ,ん、なんだアトミラール？
提督,ちょっと回り道になるんだけど……。頑張ってこの西大路通りを登ると金閣寺に行けるんだよ
グラ,！。金閣寺とは、あの黄金の……！
提督,イエスイエス
グラ,ぜひ行きたいが……いいのか？
提督,全然オッケイすよ。この修学旅行生の数は間違いない。ここが金閣寺だねー
グラ,？。ははは、何を言っているアトミラール。どこも黄金じゃないだろう？
提督,塀まで金色じゃあ近隣住民に迷惑がかかるよ
グラ,……
提督,意味を理解したらしい
グラ,……。とても綺麗に貼られたキンパクだな……
提督,そうだねー
グラ,……そういいながらこっちを見るなっ
金閣寺の正式名称は,鹿苑寺
金閣寺に限らず、京都の著名な歴史建築及び歴史遺産は１４６７年から１０年続いた内乱,応仁の乱
修学,
提督,修学旅行生が記念メダルの機械に群がってる……。俺も昔は欲しかったんだよなあーゆうの。今となっては、なんで欲しかったんだろうってな……
グラ,…………
提督,……ならないでおこう
グラ,なんだか恥ずかしい思いをしたぞ……
提督,外国の人だからセーフセーフ
グラ,うぅ、とにかく……次へいこうかアトミラール
提督,せやねぇ
グラ,？
提督,……俺もこっちに染まってきたかも……。この辺はお寺が多いみたい。全くノーマークだったなぁ……
グラ,それは良いことだな。やはり、プランは決めて行かなくて正解だった……。私は知らないことならなんでも知りたい性分なんだ
提督,あぁ。よぉく分かってるよ
グラ,こ、ここは……靴を脱ぐのか……。……
提督,どしたの？
グラ,……私はブーツを履いているんだ……
提督,なるほど……。……うわっ、やべー。俺の足の臭いすごいことになってるー。グラさん、俺の近くにいたら臭い移っちゃうかもなー
グラ,……！。ありがとう……。これは……見事な庭だ……！。もらったパンフレットによれば……。これは“カレサンスイノイシニワ”というらしいな
提督,砂と石だけで水を表現しようとしたんだな……。今の人の感性では、再現できないかもしれないね
グラ,私はそれでいいと思う。いつまでも人の感性が変わらなければ……。こういった感動も今後、無くなってしまう
提督,…………
グラ,……人前で寄り添うのは……。やはり恥ずかしい……な
提督,…………
グラ,…………。広い池に出てきたな
提督,けっこう走ったねぇ……。ちょっと休もうか
グラ,アトミラール、あれはなんだ？
提督,あれはたこ焼きの屋台だなぁ
グラ,タコヤキ……？
提督,そっか、食べたことなかったか。別に京都の食べ物じゃないけど。……食べる？
グラ,……ｺｸｯ。アトミラール。“オマケ”……とは、なんだ？
提督,それはだな……。“べっぴんさん”の特権だと思ってくれたらそれでいいよ
グラ,……意味が分からないぞ？。あふっ！あっふぇ！
提督,わぁ、一口で行くから！
グラ,なかなか美味しかったぞ、アトミラール
提督,涙目になっちゃってまぁ……。さて、嵐山自体はもう近くのはずなんだけど……。ここはどちらへ行けばいいんだろうか
グラ,まだ時間はあるのだろう？。多少迷ったところで、あまり問題はないはずだ
提督,そうだね、せっかくの自転車だし……
グラ,マチヤの並びが増えてきたぞっ
提督,道も石畳っぽくなってきたね。ここは一度、この交差点を真っ直ぐ行ってみよう。同じパターンの道が続いてるから……こっちが正解かも。違った……
グラ,まぁまぁ、アトミラール。私はここもなんだか好きだ……。マチヤの店が多くて……緑にも囲まれてる
提督,……そうだなっ。こういう所を、日本の言葉で“穴場”って言うんだよ
グラ,“アナバ”……
提督,あっちに鳥居がある。自転車置いて、行ってみよう
グラ,ここまで見てきた町家もすごいが……。この“テラ”のような屋根の家はそれ以前のものなのか？
提督,それは分からないけど……。この屋根はたしか、茅葺きっていうんだよ
グラ,カヤブキ……。ゴジユウニオハイリクダサイ……
提督,行くっきゃない
グラ,おぉ、可愛らしい人形がたくさんあるぞっ
店女,あら、こんにちは
提督,こんにちは
グラ,コンニチハ。ここは……人形の店なのか？
店女,そうですよ。ここの人形はすべて、蚕の繭でできています
グラ,“カイコ”？
店女,蚕というのは、日本のカイコガの幼虫の事で。この蚕の糸、天蚕糸を使って作る着物は……。この国では昔から最高級品として愛されているんですよ
グラ,“キモノ”……。キモノ……かぁ
提督,すみません、お茶まで頂いてしまって……
店女,遠くからいらしてもらったんですから、これくらい……
グラ,これが“オモテナシ”の心……。フフフ……
提督,この猫の人形、めちゃくちゃかわいいよー。蚕の繭でこんなこともできるんだなぁ
店女,ここの人形は全て、うちの主人が手作りでこしらえてます
提督,えっ、手作りなの！？
グラ,それはすごい……！。“仲良く寄り添う二匹の猫”……か
提督,とても良い買い物だね
グラ,あぁ
提督,おぉ、ついに嵐山の二文字が見えたぞ
グラ,アトミラール、あそこに飾ってあるのは……。日本の機関車なのか？
提督,あぁ、そうだねぇ。この建物は……なに、トロッコの駅？
グラ,トロッコとはなんだ？
提督,ゲッ、今日のトロッコは終了してるのか……。ちょっと、楽しみだったんだけどなぁ
グラ,明日また来ればいいじゃないか。それより……あそこ。日本の機関車がたくさん置いてあるぞ
提督,おぉ、本当だ！。行こう行こうっ
グラ,
提督,すっげーなぁ……。男の子は本当、こういうの大好きなんだよなぁ
グラ,そのようだ
提督,このC-62なんかでかくてロマンあふれるね！。今の電車より、機関車の方がディテール感というか、こうロマンが……
グラ,……
提督,……なんで撫でるの？
グラ,なんとなくだ
提督,お土産コーナーでデゴイチのポストカードも買った。実に満足だ
グラ,まるで大きな子供だな……。……！。あれは……っ
提督,ん？。へぇ～……。着物レンタル、か。気になるんだ？
グラ,……
提督,……でもたしか。結婚式でも着るよね
グラ,……。あ、あぁ……そうだな。キモノは……キツケに時間がかかるという……。……すまない、私のわがままだ。……時間をとってしまうな。では次に……
提督,すみませーん！着物レンタルできるって書いてあったんですけどー
グラ,！。ア、アトミラー……っ！
提督,少し時間がかかるらしいし……。今のうちに二台とも自転車を駐輪場に預けてくるよ。着物じゃ乗れないしね
グラ,アトミラール……
提督,ん
グラ,あ……。ありがとう
提督,いいの。着物姿、俺も早く見たいし。ママチャリは重いな……。ものぐさな気持ちで両手で持ったのはミスだった。……ん？。着物屋の向かいに洒落た古本屋があるな。ちょっと立ち読みしようか。迫真脱サラ部・人生の裏技……。…………。この先、俺はどんな仕事をしようかなぁ。グラーフ
グラ,な、なんだ……
提督,良く似合ってる
グラ,そ、そうか……。……嬉しい……ぞ
提督,京都らしい朱色に鶴柄……。グラーフが選んだの？
グラ,……。私には花柄などは似合わないし……。それに、この色もはじめは若すぎると思って諦めたんだが……。……でも、やっぱり着てみたかったんだ
提督,最高です。写真まで撮ってもらっちゃったな
グラ,あぁ。一生大切にするよ……
提督,あはは、まだ着物を着てるのに。……予約した旅館に行く前に、また返しに来ようね
グラ,分かった
提督,着物似合うなぁ……。隣を歩けて……俺も嬉しいや
構内には足湯があり、電車に乗らずとも１５０円で利用することができる,タオル付き
グラ,ここは坂ではないが……まるでキヨミズのようだなっ。通りも綺麗に整備されている……
提督,土産屋もいっぱいあるしね。ここらでカーチャンの土産も買っとくか……ん？。なんか……嵐山って、コロッケ屋が多い気がするなぁ。さっきの着物屋の周りにも何店かあったし
グラ,そうなのか？。コロッケなら何度か食べたことがあるが……。全然気づかなかったぞ
提督,金賞コロッケか……何の金賞なんだろう。美味いのかなー。……
グラ,……
提督,ムマイっ。１個２００円のコロッケは伊達じゃないなぁ
グラ,着物に落とさないようにするのは大変だ……。しかし……。なんだか私達、食べてばかりだな
提督,いいんじゃないかな、運動できてるし。旅行なんだから、その所々で美味しいもの食べておかないとね
グラ,あぁ、その通りだな
提督,天龍寺、行かなくてよかったの？
グラ,あぁ。今日は寺を二つ訪れているし……。それに、暗くなるまでにここで通っておきたい場所もある
提督,なんだろう。けっこうアップダウンがあるなぁ
グラ,この辺りらしい、もう少しだ……。！。……ここだ
提督,おぉ……これは……
グラ,なんて美しいんだ……
提督,日も暮れかけだから……。夕焼けとのコントラストも絶妙だね
グラ,ふふふ……
提督,そっか、向こうには紅葉はあっても。竹は生えてないんだよな……
グラ,私はこうやってあなたと……
提督,！
グラ,日本のタケというものを眺めてみたかった。ふふ……やはり、洋服は動きやすいな。だが、着物は良い体験だった……
提督,着物姿はしばらく見納めかぁ
グラ,アトミラール、今日の食事は……どうするのだ？
提督,あぁ、今晩は旅館で頂くことにしたよ。シーズンじゃないからかもしれないけど……。予約は問題なかったね。しかも最後だから奮発して温泉旅館だ。喜べぇいっ
グラ,また温泉に入れるのかっ。この旅はつくづく、川との縁があるな
提督,そうだなぁ。月の渡る橋か……センスある名前だよね
女将,ようこそお越しくださいました……
提督,……あれはもうしないの？
グラ,しない！
女将,お夕食なのですが、直前の御予約でしたので……。お部屋ではなく、個室のお食事処でお召し上がりいただきますが……。お差支えはなかったでしょうか……？
提督,全然、大丈夫ですよー
グラ,アトミラールっ！。部屋の奥に、温泉が付いていたぞっ！
提督,フフフ……驚きましたか？。これが日本の露天風呂付客室だよ
グラ,なんて贅沢な……。ガイジンの私ごときが……貸切など……。よいのか……？
提督,えぇ……予想の斜め上のリアクションだなぁ。しかし、時間が時間だから……先にご飯だね
グラ,分かった……。楽しみにとっておくよ。アトミラール
提督,はいな
グラ,この旅行中に一つ思ったことが……。キョウトでは……私が歩いていてもジロジロ見られない
提督,あぁ～……。戦争中は外国の人が日本にいるのも珍しかったからね。それに、京都はもともと外国の人がよく来る所だし
グラ,なるほど……
提督,部屋食じゃなくても、内容は変わらないみたいだねぇ。美味いっ
グラ,そうだな……しかし。アトミラール、これは……。トウフなのか？
提督,うん、これは湯豆腐だね。このポン酢につけていただくんだよ
グラ,。おぉ……。いつも頂くトウフとはまるで別物だっ
提督,ほんとだ、滅茶苦茶美味しいなこれ……。濃厚で……豆腐自体がなんだかしっかりしてて……
グラ,このアブラアゲも美味だ
そして嵐山の旅館で振舞われる豆腐の大半は、１５０年の歴史を持つ老舗,森嘉
提督,食った食った～
グラ,日本のリョカンの料理は品数が多いからな。戻る前に少し、館内を散歩してみてはどうだろう
提督,そうだなぁ。祇園で泊まった所よりも、良い意味で賑やかなところだね。場所ごとの雰囲気に忠実というか、なんというか……
グラ,それとなく分かるぞ。ここには部屋のものだけじゃなく、大浴場もあるのか……。温泉というものは、一日に何度も入って良いものなのか？
提督,うん、いいんだよ。一日中温泉に入るためにこういうところに来る人もいるらしいし
グラ,ふむ……
提督,行きたいんだろうな。……じゃあ、せっかくだからここも入っておこうか
グラ,本当かっ。では……遠慮なくそうさせてもらうよ
提督,ぷは～、生き返るなぁ。この濁った感じが昨日の所より温泉って実感が湧くね。景色は……昨日の鞍馬の方が好きかなぁ。いやぁ……鎮守府にも温泉が欲しかったよ。執務室に風呂と脱衣所作ろうとしたら。グラーフが滅茶苦茶怒ったっけ。あの子がこの国に来て、それほど経っていなかった頃だな。このチンジュフの風紀はおかしいぞ！だって。なんて真面目君な奴なんだって、思ってたけど……。……じきに分かった。知らないこと、分からないことだらけのこの国で……。……不安だったんだよな。なんか、放っておけなかったから。彼女の支えになれればって、はじめは思ってたけど……。今となっては、俺自身も依存してるんだよなぁ。みんな、こうやって恋をして。結婚して……父親になるのかな。……そろそろ上がるか
グラ,おぉアトミラール。これは良いな！。日本の家庭にはみな、これが置いてあるのか？
提督,マッサージチェアなんて高すぎて置けないよ。それより、あっちに卓球台があるんだけど……。……やろうや
グラ,…………
提督,……わん、わん
グラ,ふふふ……えらいなぁ忠犬アトミラールは……
提督,こ、こんなはずでは……。あんな全米卓球チーム時代のフォレストのような動き……。見たことない……
グラ,では、奢っていただこうか……。あなたが本当の犬でもなければ、それぐらいは……。……できるよな？。それとも……本当の犬のように……。私に“お手”をすることがお望みか？
提督,あれ、悔しいけどなんかいいゾこれ。なんで引いちゃうのさー
グラ,だって……。本当にお手をするとは思わなかったんだっ
提督,……はい、コーシーぎゅーにゅー
グラ,あぁ、ありがとう
提督,ふぅ～。和室は落ち着くネェ
グラ,あぁ、以前はこのイグサの臭いが気になっていたが……。今ではこの香りをすっかり気に入ってしまった。美味しいお茶と……サービスの“コゲツ”のお菓子もまた泣かせる。ふふふ……
提督,卓球したらまた汗をかいてしまった……。風呂、先入っていい？
グラ,あぁ、構わない
提督,そっか、サンキュー
グラ,…………
提督,あぁ～……やっぱ貸切風呂はいいなぁ。賑やかな大浴場もいいけど、やっぱ風呂はゆったりできてなんぼよね。い～い湯～だ～なぁ～アハハン。……こうやって、独り言もごち放題だよ
グラ,……アトミラール
提督,！
グラ,隣、良いか？
提督,う、うん
グラ,…………
提督,…………ｺﾞｸｯ
グラ,あなたはひどい人だな……
提督,……なんで？
グラ,いつもは余裕ある風にふるまうくせに。こうやって素肌を触れ合わせるたび……。あなたは私の顔を見てくれなくなる
提督,……ごめん
グラ,……私は。あなたのどんな顔だって……。……見てみたいんだ
提督,……っ
グラ,アトミラール……
提督,……ん
グラ,まだ起きていたか
提督,……うん。なんか……寝られないんだよね
グラ,私もだ。旅行は、もうこれで終わってしまうんだな。なんだか寂しいよ
提督,……はは。まだ明日もあるし……。それに、ここにはまた来ればいいんだよ
グラ,……そうだな
提督,いつかまた、二人か……。……それとも。……グラーフ。よかったら……もっかい
グラ,……
提督,……クゥーン……。次に来るとき……。俺たち、どんな暮らしをしてるのかな？。最後の朝飯よし！
グラ,和食で大変美味だったぞっ
提督,最後の風呂よーし！
グラ,朝風呂も大変気持ちがよかったぞっ
提督,いざゆかん、トロッコと保津川下りっ
グラ,あぁ！
提督,よりによって最後の日が雨なんて……
グラ,しかも、なかなか強い雨だな……
提督,無慈悲すぎるぜ神様ぁ。予想はしていたが……。トロッコがかろうじて運行していて。保津川下りが欠航か……。けっこう楽しみにしてたんだけどな……
グラ,そう落ち込まないでくれ、アトミラール。雨だから、トロッコに乗る人も少ないようだ。だから、かえってゆっくりできるだろう
提督,おぉ、きたきた
グラ,なんだか……可愛らしい見た目だぞ
提督,観光列車だしね、仕方ないね。途中、渡月橋から見た川がちょっと濁ってたからなぁ。それだけが心配かも。動きだしたっ
グラ,とてもゆっくり進むのだな……。これなら、窓の無い車両に乗った甲斐があるぞ
提督,本線に乗り入れるのか……すごいな。ん、もう次の駅だ
グラ,トロッコアラシヤマエキ……。昨日の、タケの散歩道の近くから見えた場所だなっ
提督,今日は人がほとんど乗ってないなぁ
グラ,これはまたも“カシキリ”だな
提督,んじゃ、今これを空けても……。迷惑にはなんないかなぁ
グラ,アトミラール、こんな時間からビールを飲むのか？
提督,へへへっ。……自転車に乗るからノンアルコールだけど
グラ,下から見上げることはあったが……。改めて、日本の山々の持つ風情のすごさが。分かった気がするな……
提督,山がしもけてて、霧の中を進むトロッコかぁ。絵になるなぁ
グラ,雑誌にはセセラギを楽しむものと書いてあったが……。ここの自然は天候が変われば、こうも姿も変えるものなんだな。霧の中、とめどなく水が叩きつけるように流れる保津川を。どっしり構えた深緑の山々が形作っているんだ
提督,なんか詩的っ。ん、止まった……？
グラ,な、なんだ、車掌が歌いだしたぞっ
提督,なんの歌なんだろうねこれ。でも……なんだか楽しいなぁ。楽しくて往復乗ってしまった……
グラ,ははは、まぁ……。帰りは普通の電車かこちらかのどちらかだったからな。それに……行きと帰りで風景の見え方が違う……。とても良かったぞ
提督,いやー……勢い収まんないなぁ
グラ,あぁ……
提督,しかし、自転車は返さないといけないから……。……最低でも二条まで行かないといけないなぁ
グラ,このままでは埒もあかないし……。アトミラール、走ろう
提督,それっきゃないよなぁ。あぁぁ顔がいてえええっ。冷たぁぁぁいっ。ほい、ホットコーヒー
グラ,あぁ……ありがとう
提督,たまにこうやって、雨宿りしていかないと持たんね
グラ,……
提督,この辺りは映画会社にゆかりのある場所みたいだ。アハハ……あの建物の中、ガメラのソフビがあるよ。懐かしいなぁ
グラ,なんだか……。この雨にも慣れてきてしまった
提督,え、マジでっ
グラ,大雨でずぶ濡れになりながら……キョウトを縦断するなんて。私のようなよそ者が、そうそうできることじゃないぞ
提督,そりゃね……
グラ,観光地は逃げないが、雨は降るときにしか降らない。雨が降っても、私はあなたといっしょに居られるんだ……。そんな日は、“雨に唄ってやろう”ではないか
提督,ついに自転車を返すことができた……
グラ,おつかれさま、アトミラール
提督,グラーフもね
グラ,それにしても……この通りは屋根があって助かるな
提督,確かに……でかいアーケード街だなぁ。人も多いし、日本にまだこんな活気のある商店街が残ってたんだね。コンビニが向こうにあるけど……。どうせなら、商店街の傘屋さんで買ってみたいね
グラ,同感だアトミラール
店主,あぁこんにちは……
提督,どうも
グラ,コンニチハ
店主,お兄さんら、ずぶ濡れやんか……
提督,あはは……これには訳が……
店主,おい、タオルを
奥さん,はいはい
グラ,そんな、気を使っていただかなくても
店主,ええねん、お客さんもこういう日しかこーへんから
提督,ありがとうございます
店主,……で、傘やな。お兄さんら、体おっきいからなぁ……。こんなんどーえ？
グラ,おぉ、なんと可愛らしいんだ
提督,似合うよ、グラーフ
グラ,ありがとう……
店主,で、今度は兄さんのやな。えーと……
提督,いや……この一本でいいんです
グラ,え？
提督,すみません
店主,……ﾌﾟﾌﾟｯ。うし、分かったっ。じゃあその一本で、えっと……いくらやったかな……
グラ,……こうするためだったのか
提督,……
グラ,アイアイガサ……か
店主,若い頃を思い出すなぁ
奥さん,あんたも昔は男前やったんやで
店主,……お前もな
提督,へー、すっごいおっきい…(お堀)
グラ,これが日本のシロか……。私の祖国のシロとは、やはり趣が異なるな。興味深い、入ろうアトミラールっ
提督,うん、そのつもり
グラ,この国の城はとても白いが……。素材は何が使われているのだ？
提督,漆喰だよ
グラ,“シックイ”……？
提督,そう。石灰とか麻とか砂なんかを混ぜて作るんだ
グラ,セメントのようだが……。ふふ、素材自体の美しさは敵わないな
提督,見事な襖絵だなぁ
グラ,アトミラール、この国の昔の絵は……。なんだか人物がゆがんで見えるのだな
提督,あぁー……西洋だと、この時代も人の絵ってリアルだよね。昔の人は写真に写ると魂を吸われると言ってたらしいから……。リアルな絵にするとおんなじようにダメなんじゃない？
グラ,そうなのかっ
提督,分かんないけど
グラ,日本のシロは今まで見られなかったからいい経験になったぞ
提督,そりゃーよかったよ。もうそろそろ、京都駅に戻りながら移動しないとね
グラ,あぁ、確かにそうだ。では……。このままマルタマチストリートを東へ行って……。カラスマストリートを南に降りよう
提督,そうだね。遅めの昼ごはんになってしまったなぁ
グラ,いいのだ、アトミラール。こういう定食屋に一度入ってみたかった……
提督,……君、お箸の使い方上手になったね
グラ,本当か！？。嬉しいぞ……これで。あなたのオカアサマをがっかりさせずに済むな
提督,あれ、なんだか見覚えのある塀だね
グラ,では……ここがカラスマストリートだな。もう、あとはまっすぐ南に向かうだけだ
提督,ん、分かった。ビジネス街に戻ってきたなぁ
グラ,そうだな
男,……
グラ,……なんだかすごく落ち込んでいるな
提督,スーツ姿だし、仕事先でなんかあったみたいだね
グラ,私もこの国に来てすぐ、満身創痍で戦地に戻ろうとして。それを咎めようとしたあなたに罵倒されて……。とても落ち込んだことはあったぞ
提督,うっ……。悪かったよ……
グラ,あはは、良いんだ。あの時はお互い青かったということだよ。周りの皆はひどいと言っていたが……。あの時があったおかげで、今私は生きて。こうやって幸せな気持ちでいられる。あなたには感謝をしてもしきれない
提督,京都タワーが見える。もう少しだね
グラ,……アトミラール。最後、あれに登ってみないか
提督,えっ。高いとこダメだから敬遠してたんじゃ……
グラ,恥ずかしながら、そうだ……。でも、以前に地震があって怖かった時も。一昨日の時も、あなたに支えられて体の震えがなくなったんだ。そ、それに……。に、日本の……カップルというのは……。二人で……夜景を見に……。高い所へいくのだろう……？。私も……やってみたく……なったんだ……
提督,あーもうかわいいなぁこいつ。グエッ
グラ,あっ……。す、すまない……
提督,いやいや、いいよ……
グラ,エレベーターの開閉ボタンを間違えてしまった
提督,震えてる……。やっぱりまだ怖いんだろうなぁ。手は握ってて
グラ,……あぁ
提督,……じゃあ、目をあけて
グラ,はは……。なんて綺麗なんだ……
提督,……大丈夫？
グラ,……。これが……キョウトの夜景……か……。恐怖より……。感動が勝っているよ……
提督,ここからだと、俺たちがどう歩いて来たか……。実によく分かるなぁ
グラ,四日間かけて……。ここから東と北へ、そこから北へ北へ。北から西へ……。そして西からここへ……か。今更だが、少しは移動手段に頼っても良かったのかもしれないな
提督,あはは……まぁ、確かに。俺たち、ずぶ濡れなんだな
グラ,あぁ、最後まで乾かなかったな……
提督,俺たち、周りの人の目にはどう映ってるんだろう
グラ,……そんなこと、分からないな。私にはあなたしか見えていないんだ
提督,……
グラ,……
男性,ただいまー
女性,おかえりなさい、アトミラールっ
男性,そろそろその呼び方やめないと。あの子が真似するよ……。ママって呼んでもらえなかったらいやでしょ？
女性,ははは……すまない
男性,で、今……どうしてる？
女性,あなたが叱りすぎるから、泣き疲れて寝てしまったが。とても反省しているよ……。私達の“メオトチャワン”を割ってしまったこと
男性,そっか。俺が怒ったのは、あの子が食器棚に登った事だよ。形あるものはいつか壊れる……仕方がないよ
グラ,……あぁ、そうだな
男性,……そうだ。……ボーナスも入った事だし。そろそろ家族サービスしないとなぁ
女性,……カゾクサービス？
男性,うん。今度、旅行にいこうよ
女性,おぉっ、本当か
男性,うん。そして、またあそこに三人の茶碗を……
女性,……違うぞアトミラールっ
男性,？
女性,……。……四人……だ
男性,……！。そっか……。じゃあ四つだねっ
女性,あぁ。まだ少し先になるが……。今度は四人で、キヨミズノブタイを見下ろしに行こう。四人で、今度も楽しい旅にしよう……。……な、アトミラール？
男性,あぁ……。それは……いいなぁ
