・モバマスはアニメ時空,22話より後
ギラグ,うおおっ！リアル文香ちゃんだぜ！俺サインもらって
カイト,俺達は先に行くぞ
ギラグ,ぬおっ！？
ミザエル,カイト……
カイト,明日にはアストラル世界へ向かう準備が整う。しばらく戻れなくなるだろう。挨拶くらいはしておけ
ミザエル,……そうしておこう
ハルト,じゃあ、僕たちは帰るね！
文香,……すみません。わざわざ時間をとっていただいて
ミザエル,かまわん。それより、私に話があるから呼び止めたのではないのか
文香,あ、はい……。今日の私……どうだったでしょうか
ミザエル,………。私の言った通りだった。書店で私に案内をする文香も、ステージで踊る文香も、同じだ。今日はなかなか華やかだったがな
文香,……そうですね。同じなんです。私は……本好きで、アイドルの鷺沢文香ですから
ミザエル,……いい目つきになったな
文香,はい……あなたのおかげで、迷いを断ち切ることができました。ありがとうございます
ミザエル,ああ。とはいえ、私の愛するドラゴンの瞳には遠く及ばないが
文香,き、厳しいですね……。――では、しばらくここには戻ってこられないんですね
ミザエル,アストラルには借りがある。我らの力を集結させ、戦う時なのだ
文香,……無事で、いてください
ミザエル,当然だ。私も私の仲間も、強者ばかりだ
文香,それは、わかっています。でも、やはり心配なものは心配で……
ミザエル,………。これをやる
文香,えっ……これは
ミザエル,キャラメルだ。ハルトいわく、元気が出る魔法の菓子らしい。アストラル世界の危機を救ったら、またお前の話を聞きに行く。それまで待っていろ
文香,………。はい。頑張って、ください
ミザエル,お前も、強くなれ
文香,帰ってきたら……私と、デュエルをしてくれますか
ミザエル,それまでに、せいぜい腕を磨いておくことだ。せめてエクシーズ召喚くらいはできるようにしておけ
文香,ふふ……頑張ります
凌牙,遊馬！いつまでしょぼくれていやがる。さあ、行くぞ！
カイト,アストラル世界に新たな危機が迫っている
小鳥,さあ、取り戻しに行くんでしょ！一番大事なものを
遊馬,かっとビングだ！俺ーっ！
文香,……かっとビング
ありす,……なんですか？その変な言葉
文香,私のお知り合いのご友人の、座右の銘だそうです……。勇気をもって一歩踏み出すこと。どんなピンチでも決して諦めないこと。あらゆる困難にチャレンジすること
ありす,……ネーミングはともかくとして、立派な考えですね
文香,そうですね……私も、そう思います。ミザエルさん……私も、私なりに戦います。……お互い、頑張りましょう。……ふふっ
周子,あれ、なんか文香ちゃん機嫌イイね
奏,素敵な出会いでもあったのかしら？
フレデリカ,気になるな～♪
文香,な、なんでもありません……そういうのでは、ないですから
奏,あら。その反応、図星？まさか男？
周子,よけい気になってきたね
フレデリカ,吐いちゃったほうが楽だよー？
文香,う、うう……
ありす,ご愁傷様です、文香さん
