皆さんが,もうやめてくれ！！
(;Ｔ),アッハイ
あきつ丸,このハンガーフック、恐らく妖怪本体に繋がっているであります！！
壁,フハハ、鋭いのう
(;Ｔ),へ、へぇ…そうなんだ…
あきつ丸,提督殿の腕力なら、引き抜くのも容易いはず！！本体さえ現れてしまえば、後は提督殿の独壇場であります！！
(Ｔ),なるほど、クソ提督共の幽霊と、同じ末路に遭わせてやれということか。そういう事なら…ッ！！！！
(#Ｔ),マッスル～～～～～～～～～～～～～！！！！！！。うおおおおおおおおおおおおおおお！！！！！！
あきつ丸,ナーバス！！ナーバス！！
(#Ｔ),ぬがああああああああああああああ！！！！！！
あきつ丸,ガーリレイ！！ガーリレイ！！
(#Ｔ),トニイイイイイイイイイイイイイジャアアアアアアアアアアアア！！！！！！！！
あきつ丸,！？
(#Ｔ),抜けねええええええええええええええええええ！！！！！！！！！！！
あきつ丸,そんな、馬鹿な！！提督殿のマッスルを以ってしても、一ミリも動じないとは！！！
壁,無駄無駄無駄！！例えダンプカーで引っ張ったとしてもワシは動じん！！
(#Ｔ),この俺をダンプカー如きと一緒にすんじゃねええええええええええ！！！！！！
あきつ丸,提督殿！！引いてダメなら叩き壊すであります！！！！
(#Ｔ),その手があったか！！！！幸い、ここはジム！！！！！重くて硬い物ならいくらでもある！！！！！
壁,ハン、上手くいくといいのう
(#Ｔ),喰らえエエエエエエエエエ！！！！！バーベル攻撃だアアアアアア！！！！！
(;Ｔ),なっ…！？
あきつ丸,バ、バーベルが…折れたのであります！！
壁,おーおー、物は大事にせんとバチが中るぞ
(;Ｔ),傷一つ付いてねえ…だと…？
壁,例え核爆発に巻き込まれても、ワシは砕けん！！
(;Ｔ),この俺を核爆発如きと一緒にすんじゃねえよ･･･あきつ丸、手は無いのか！？
あきつ丸,…
(;Ｔ),あきつ丸！！
あきつ丸,ぐっ、ああ…！！！
(;Ｔ),どうした！？
あきつ丸,体の自由が……！！
(;Ｔ),てめえ！！何をした！！
壁,フン、貴様らが余りにも鬱陶しいからのう。ワシの妖気をその小娘に少々多めに送り込んだのじゃ。この鎮守府内、どこに逃げてもワシの妖気からは逃げられん！！この場所から離そうが無駄じゃあ！！
(;Ｔ),なんだと！！
壁,自身の意思とは関係なく乳首相撲がしたくて堪らんじゃろうて！！
あきつ丸,ぐあああああ！！
(;Ｔ),てめえええええええ！！！！！一体何の目的でこんな極悪非道な事を！！
壁,知れたこと！！楽しいからよ！！
(#Ｔ),ぬおお！！許さんッ！！タルカス！！
壁,フン！！貴様に何が出来る！！自慢の筋力が通じず、妖気を封じることも出来ん！！。艦娘がいなければ何も出来ない、木偶も同然よのぉぉぉ～～～～～～！！！！！！！
(;Ｔ),くっ…クソォオオオオオオオオオオ！！！！！！
あきつ丸,提督殿…ッ！！
(;Ｔ),ハッ！？
あきつ丸,奴の言う事など…真に受けてはいけない…ッ！！。自分は、あぐっ！！し…知っているであります…ッ！！提督殿は…提督殿はッ！！。我々に勇気と、勝利をもたらしてくれる…漢だと言う事を！！！！！
(Ｔ),あきつ丸…
壁,こやつ、まだ笑うか！！
あきつ丸,貴様にはわかるまい…妖怪よ！！良い女は、苦しい時ほど笑うもの！！
壁,小癪なぁああああああ～～～～～～～！！！！！
(Ｔ),ッ！！！！！！。これだ…これしか、無い！！。あきつ丸！！待ってろ！！俺が絶対に何とかしてやる！！
壁,フハハ！！あやつ、逃げよったぞ！！
あきつ丸,提督殿は、何とかすると言ったら必ず何とかする漢！！妖怪よ、貴様の命運は直に尽きるのであります！！
壁,ほざけ！！先に貴様が辱めを受けるのじゃああああああ！！！！
あきつ丸,ぐううううううううううううう！！！！！
(#Ｔ),あの野郎オオオオオオオオオオオ！！！！！！。どこだ！！あれはどこだ！！。ッ！！。烈風！？。どういうつもりだ！！加賀ァ！！！！
加賀,…
瑞鶴,…
(#Ｔ),灯篭が…！！。なるほど…野郎、本気で俺を殺して乳首相撲大会を開きたいらしい…なァッ！！。クソが！！こっちは急いでんだよ！！。最短で眠らせてやる！！地獄の血みどろ…うおっ！！
加賀,…
瑞鶴,…
(;Ｔ),チィッ！！。ッ！！。お前は…ッ！！
龍驤,呼ばれて飛び出て、龍驤さんやーーーーーーーーーー！！！！！！
長10cm砲ちゃん,Groovy(イカすぜ)
龍驤,なんや…ちょっちおもろいことになっとるなぁ。長10cm砲ちゃんの言うた通りや
(;Ｔ),お前、どうして…
龍驤,ウチがさっき、壁がどうのこうのでツッコんだやろ？あん時、あきつの奴からサインがあったんや
(;Ｔ),サイン？
龍驤,ウチら陰陽師タイプの空母は手ェから謎の炎出てるやろ？これ、いくつか種類があって、そん時の状況ごとに使い分けれるんや。んで、ウチがジムから出て行く瞬間にあきつはあるサインを出した。緊急ニ付キ警戒態勢…これでウチは君らが何らかの事件に巻き込まれてると察したんや
長10cm砲ちゃん,Groovy(イカすぜ)
龍驤,そしたらタイミングよくこの子らが来て、事情を説明してもろた。それ聞いた時ウチ腹抱えてわろたでｗｗｗｗｗ
(Ｔ),いや、笑い事じゃないんだけどね？
龍驤,さ、ここはウチらが引き受けた！！早ぉ進みや！！
(Ｔ),…助かる！！頼んだぞ！！
龍驤,任せとき！！。さぁて…艦載機のみんなぁ！！お仕事お仕事ォ！！！
長10cm砲ちゃん,Groovy(イカすぜ)
加賀,…
瑞鶴,…
龍驤,ハン！！スケベな妖怪如きに操られおって！！正規空母も高が知れるな！！。そんなマヌケにこの龍驤さんが負けないこと、思い知ってもらうで！！
(#Ｔ),オラアアアアアアアアアア！！！！！なんで見つからねえだーーーーーーーー！！！！！！。ッ！！
(;Ｔ),ッぶね！！。ぬわーーーーーー！？
榛名,逃がしませんよ！！提督ゥゥゥーーーーーーーーー！！！！！！！
明石,夕張さん！！
夕張,ええ！！。対テラフォーマー及び提督用発射式蟲獲り網！！てー！！
(;Ｔ),おまっ…！！
榛名,提督…提督提督提督提督提督提督提督提督提督提督提督提督提督提督提督提督…。捕まえた！！！！捕まえたああああああああははははははははは！！！！！！！！！
夕張,無理ですよ提督。この私と明石さんがテラフォーマーズを読んで三日三晩掛けて完全再現させた代物ですからね
明石,テラフォーマーの筋力の三倍でも千切れない強度です！！自慢の一品ですよ！！
(;Ｔ),こんな状況じゃなきゃあ素直にはしゃいでたよクソが！！！！！
榛名,さぁ、提督ゥ…榛名と乳首相撲しましょう。大丈夫、乳首が千切れても、大丈夫ですから…
(;Ｔ),折角のお誘いだが、御免だね！！
榛名,ダメですよォ！！提督ゥ！！！！！
(;Ｔ)∴,ゴパァ！！
(;Ｔ),ゴホッ！！ゴッホ！！
榛名,嗚呼…可愛いです提督…もっと、もっっっっっっっと！！その顔を魅せて！！！！！。ッ！？
(;Ｔ),なっ…誰だ！！。その声、そのセリフ！！
北上,はいよー、重雷装巡洋艦北上。遅れて登場ってね
大井,全く。何をヤンデレ如きに手こずってんのよ！！
(;Ｔ),大井！！北上！！
大井,鳳翔さんから言われたのよ！！アンタらが鎮守府の存亡に関わる事案に関わってるって！！助けに行ってくれって！！。乳首相撲が鎮守府の存亡に関わる！？全く悪い冗談だわ！！目の前のヤンデレクソ女がいなきゃ、鼻で笑い飛ばしてるところよ！！
榛名,ああああああああああああ！！！！！余計なことををををををををぉぉぉおおおおお！！！！
大井,チィッ！！鬱陶しいのよ！！
北上,大井っち！！
大井,陸の藻屑に、なりなさいな！！
榛名,ッ！！
大井,ああもう！！めんどうくさい！！
(;Ｔ),ちょｗｗｗｗｗおまｗｗｗｗｗ
大井,ジッとしてなさいな！！狙いがズレたらアンタでも死ぬわよ！！
(;Ｔ),無茶ッ…するなお前！！
大井,ハァ！？お礼の一つくらい言いなさいよ！！
(;Ｔ),今すぐハグしてキスかましてえくらい感謝してるよ！！悪いが任せていいか！！
大井,サッサと行って！！邪魔なの…よッ！！
(;Ｔ),恩に着るぜ！！ハイパーズ！！
大井,フン！！
北上,はいよー、頑張ってねー
榛名,折角、折角捕まえたのに……お前らの所為でええええええええええええ！！！！！！
明石,邪魔ですねえ……邪魔邪魔邪魔邪魔邪魔邪魔邪魔まままままｍｍｍｍｍｍｍ
夕張,魚雷の無い重雷装艦が二人…フフッ、色々試してみても、いいかしら？
大井,…やっぱりシカトしとけば良かったわ
北上,いやー、そうもいかないでしょ。提督にはあのキモいアイテム持って行ってくれた恩があるし
大井,それはそうですけど…
北上,ま、誰が相手だろうと。大井っちと組めば、最強だよね！！
大井,北上さん…！！。ええ…誰も私達の前を、遮れないわ！！
北上,それでこそ大井っち。それじゃ…。ギッタギッタにしてあげましょうかね！！
(;Ｔ),ハァッ！！ハァッ！！。ハァッ！！ハァッ！！
夕立,ぽい…
時雨,ﾌｼｭｳﾙﾙﾙﾙ…
(;Ｔ),ハァー、ハァー…。やっと見つけたぞ…この、アホ共…。可笑しいと…走りながら思ってたよ…もしお前らが俺を探し回ってんなら、すぐにでも見つかる筈だった…。だが、見つけるのに凄まじく苦労したよ…お互い追っているんなら、かち合うのは早い。だろ？。俺は最初、お前らが俺達を探していると思ったが、そりゃ逆だった。逃げてたんだ。俺から、あきつ丸から。だからロクに周辺の確認もせずに、大広間を出たんだ…ちょっと考えりゃわかることだったが…
夕立,ぽいー…ぽーい…
時雨,ﾌｼｭｳｳｳｳｳ…ｸﾞｳｳｳｳｳ…
(Ｔ),これ以上、援軍は望めない…来たとしても、お前らを相手するに限っては、頼ることが出来ない。俺がなんとかするしかない。例え…いや、俺の懐刀だからこそ、俺自身が、なんとかするしかないんだ…。さぁ行くぜ。俺の可愛い小悪魔共。そのブツを…
夕立,ぽいッ！！！！！！！
時雨,シュッガアアアアアアアアアアアア！！！！！！！
(#Ｔ),渡してもらおうかァァァアアアアアア！！！！！！！
あきつ丸,っ…
壁,フハハハハ、壮観！！壮観よのお！！
あきつ丸,この…下種がッ…！！
壁,そろそろ待つのも飽いたのお…どら、ここで終わりにするか。主に見捨てられた絶望と怒りと悲しみと共に、恥辱に堕ちろォォォーッ！！！！
あきつ丸,ッ！！
壁,きっ、貴様ァ！？
(Ｔ),I'mback
あきつ丸,提督殿ォ…
(Ｔ),よく耐えた…よく、頑張ったな
あきつ丸,提督殿、体が！！
(Ｔ),ああ…心配すんな。ちょっと犬とじゃれ合っただけだ
あきつ丸,犬！？あの二人と戦り合ったのでありますか！？
(Ｔ),思ってたより弱かったぜ。操られて無けりゃ、余裕で殺されてたけどな…さて
あきつ丸,それは…
(Ｔ),ああ。これこそが、そこのクソッタレ攻略の鍵だ。そうだろ！？妖怪！！
壁,…
(Ｔ),この鎮守府の現状で最強のセキュリティにこのアイテムを持たせ、徘徊させるとは考えたな
あきつ丸,それは一体、何なのでありますか！？
(Ｔ),ピンと来たんだよ。ハンガーフックの位置は俺の乳首と同じくらいの高さだった。そしてこの拷問器具。恐らくこれは、壁から妖怪を引き摺り剥がす唯一の手段だ。鉄輪をハンガーフックに掛け、万力を挑戦者の乳首に力いっぱい挟む。後は…わかるだろ？
あきつ丸,て…提督殿…！！まさか！！
(Ｔ),そのまさかさ。俺が、奴と乳首相撲でケリを着ける
あきつ丸,しょ、正気でありますか！！提督殿！！。奴は壁と完全に一体化してる！！そしてさっき言ったダンプカーにも核爆発にも負けない！！その言葉が本当なら！！。提督殿は、最悪なまでに不利な状況で、奴の土俵で戦わなくてはならない！！！！！
(Ｔ),最悪！不利！！敵の土俵！！！！！！。だからこそ、燃えるんじゃねえか！！！！！。これはもう乳首相撲じゃあねえ！！俺と！！！！奴の！！！！生きるか死ぬかの乳首戦争だ！！！！
壁,…クッ。クカカカカカカカカカ！！！！！！気に入ったぞ！！認めよう！！貴様の推理は正しいと！！。だがワシは決して負けん！！貴様の乳首を引きちぎり引導を渡してくれるわ！！
(Ｔ),引きちぎれるのはてめえの乳首だアアアアアアアアアアアア！！！！！！。乳首戦争チェーンデスマッチ一本勝負、とでも名付けようか…
壁,ほっ！！粋な名じゃのう！！
(Ｔ),あきつ丸
あきつ丸,はっ、はい！！
(Ｔ),お前の信頼、確かと受け取った。次は俺が応える番だ。見てろ。俺の戦いを。…行くぜ
壁,いつでも
(#Ｔ),オラァ！！
壁,ぬぅん！！
(#Ｔ),ぐああああああああああああ！！！！！いってええええええええええ！！！！
壁,！？。それ……でも。それでも！！ワシの乳力は！！貴様を数倍するのだッ！！
(#Ｔ),赤沙の岩熊かてめえはアアアアアアアアアア！！！！！！。ちくしょおおおおおおおおおおおおお！！！！！！！嫌なもん見せやがってえええええええええ！！！！！！
壁,フハハ！！痛かろう苦しかろう！！辛いならギブアップしても良いのだぞ！！
(#Ｔ),舐めんじゃねええええええええええ！！！！！！！！。ルオオオオオオオオオオオオオ！！！！！！
壁,ぬうッ！！
(;Ｔ),ぐあッ！？。うわああああああああああああああ！！！！！！
壁,フーーーーーーハハハハハハ！！！！貴様と乳首の悲鳴が鎖を通して伝わってくるぞーーーーーーー！！！！。この振動、音！！心地良い感触よ！！！！
(#Ｔ),肝心の内容は…クソだったがなあああああああああああああああ！！！！！！
壁,フハハハハ！！乳首が痛すぎて意識が朦朧とし始めたようじゃのう！！
あきつ丸,提督殿……。提督殿…もう…。…。だが、しかし…
(#Ｔ),オラアアアアアアアアアアアアアアア！！！！！！
あきつ丸,提督殿っ…。頑張れ！！
(#Ｔ),おお！！。あげちゃっても…いいさ！！
壁,ぬ！？
(#Ｔ),逆に考えるんだ！！あげちゃってもいいさと考えるんだ！！
壁,何の真似じゃあ！！
(#Ｔ),コンプレッサーだ！！。力の加え方を、線から点に変えるんだ！！。マッスル～～～～～～…。ニップル・バイブレーション！！！！！！
壁,何を馬鹿な…なっ！？。何ィ～～～～～～～～！？
(#Ｔ),うおおおおおおおおおおおおおおおお！！！！！！！
壁,小癪なァァァァアアアアアアアアア！！！！！
(#Ｔ),ルオオオオオオオオオオオオオオオ！！！！
壁,負けん！！ワシは…ワシは大妖怪じゃあああああああああ！！！！！
(#Ｔ),俺はッ！！！！。天下の大提督だああああああああああああああああああああ！！！！！！！！
壁,ッ！？
(#Ｔ),もういっぱあああああああああああああああああつ！！！！！！！
壁,やめッ…！！
妖怪,ぬうううううううううううう！！！！？？？？
あきつ丸,やっ…やった！！
妖怪,ぬううう！！！。まだだ…もう一度、もう一度壁に潜り込みさえ、すれば…！！
(;Ｔ),クソッ…体が…！！
妖怪,フハ…ワシはまだ、負けておらん…負けておらんぞ！！。ワシの、ワシの勝ち…
あきつ丸,逃がさないであります！！
妖怪,ッ！？
あきつ丸,烈風脚！！！！！
妖怪,グボラァ！！
あきつ丸,提督殿ォ！！トドメをッ！！
(Ｔ),でかしたぞ…あきつ丸ッ！！
(#Ｔ),俺の艦隊を辱め、相棒を泣かせた罪をッ！！その身に刻め！！クソ野郎オオオオオオオオオオオオオオオオオオオ！！！！！
妖怪,ヒッ、ヒイイイイイイイイイイイ！！！！！
(#Ｔ),ハリケーンミキサーッ！！！！！
妖怪,グボラァ！！。ギアッ！？
(#Ｔ),まだだあああああああああああああ！！！！！。地獄の九所封じラストワン！！。地獄の断頭台ーーーーーーーーーーー！！！！！！
妖怪,ぐぼらああああああああああああああああ！！！！！。
(Ｔ),…
あきつ丸,提督殿！！やったであります！！
(Ｔ),…
あきつ丸,提督殿…？
(Ｔ),…
あきつ丸,き…気絶、いや、息をしていないのであります！！だ、誰かーーーーーーー！！！！
青葉,えーと…この青葉でもちょーっと理解し難いのですが…。司令官は、壁と乳首相撲をして、この状態になったと？
(Ｔ),死にたい
あきつ丸,壁ではなく妖怪であります！！それに、乳首相撲なんて生ぬるいモノでは無い！！あれは正しく、乳首戦争であります！！。あの時の提督殿は、陸軍兵士など比べ物にならないほどの男気に溢れていたであります…このあきつ丸、惚れ直したでありますよ～！！
青葉,うーん、この鎮守府のほとんどの人が何も覚えてないらしいんですが、あの方達が言う限り、嘘を言っているわけでは無さそうですねぇ。ま、でも乳首相撲の被害者が司令官一人で良かったじゃないですか！！これが艦娘だったら轟沈者が多数出ますって！！
(Ｔ),死にたい
青葉,またまた～。司令官が乳首相撲如きで絶望するわけないじゃないですか～
(Ｔ),乳首痛い…死にたい…
あきつ丸,提督殿！！自分が薬を塗りこんで差し上げるのであります！！ささ、乳首を出すのであります！！
青葉,きゃー！！司令官が部下に可笑しなプレイを強要させてます～！！
(Ｔ),もう…もう…。もう乳首相撲はコリゴリだーーーーーーーーーーーーー！！！！！！！
