同性・異性を問わない,友達
P,すまん……って、今のはどちらかと言うと小日向の方に非が……
美穂,その…………近……
P,…………ごめん
美穂,…………Pくん……その……
P,……ん？どうかした？
美穂,…………みんなが、見てるから……
P,……見てんじゃない！見せもんじゃねぇんだぞ！！
新田,っけぇぇ！！やれ！ぶん殴れ！！
卯月,あ、あの……新田君、50m走はそう言う競技じゃ……
美穂,見て見てPくんっ！うちのクラス2位ですよっ！！
P,……悪いな小日向、今僕はそんなお遊戯みたいなガキの駆けっこなんかよりも集中して見なきゃいけない事があるんだ
美穂,ガキって……同い年だよね？
加蓮,何々？五十嵐はまたバカな事言ってるの？
P,おはようございます北条さん！今僕は誠心誠意クラスメイトの応援に励んでいる次第です！！
加蓮,うん、よろしい。ところで鷺沢見なかった？
P,あいつなら多分ゴールテープ横に居るんじゃないかな
加蓮,……あっつ……いいや、戻って来たらで
P,うん、僕もテントから出たくない
卯月,あ、美穂ちゃんに五十嵐君。知ってると思いますけど、出場種目の二つ前までにゲート前に集合ですからね？
P,分かってるって島村さ……
卯月,……？五十嵐君……？
美穂,……Pくん
P,あぁいや、島村さんが張り切ってるし僕達も頑張らないとなって思ってたんだよ
卯月,えへへっ！島村卯月、張り切って頑張りますっ！ブイッ！
P,……もう一回みんなでそのポーズやらない？
美穂,はいはい、後でわたしがやってあげますよーだ！ふんっ！
P,痛い痛い。足の小指だけピンポイントに踏み抜くの痛い
美穂,…………小日向美穂、頑張ります！ぶいっ！
P,…………笑顔引き攣ってるぞ
美穂,なんで顔見るんですかっ！！
P,普通顔見るもんだろ
美穂,わたし以外だったら別の場所見るクセに！
P,じゃあ逆に僕はどこ見れば良いんだよ！
美穂,ふーんだっ！自分で考えて下さいっ！！
P,あ、新田走ってんじゃん。あいつ結構足速いよな
美穂,なんで普通にクラスメイト応援してるんですか？！
P,体育祭って本来そういうものなんじゃないかなぁ！
加蓮,……他所でやってくれないかな
智絵里,……暑いです
加蓮,あ、ねぇ美穂飲み物買いに行かない？
美穂,構いませんよー。Pくんバイバーイ！べーっ！
加蓮,はぁ……五十嵐、テントから出るの嫌だから私の分買って来てよ
美穂,えっ
P,え、僕だって暑いし畏まりました丁度買いに行こうと思ってたところだし。何がお好みですか？
加蓮,ふむ、よろしい。私ポテト
P,飲み物の概念
加蓮,私がポテトって言ったらポテトはポテトなの！。智絵里は？
智絵里,えっ？わ、わたし……？五十嵐君に頼むの悪いから……
加蓮,良いから良いから！ねっ？五十嵐
P,うん、もちろん。緒方さんは何が良い？
智絵里,あ、えっと……なら、ほうじ茶で……
加蓮,卯月は何が良いー？
卯月,生ハムメロンソーダでお願いしますっ！
加蓮,じゃー五十嵐、美穂と一緒に行ってらっしゃーい
美穂,えっ？！わ、わたしもPくんにおつかい頼んじゃいます！
加蓮,一人で五本は持てないんじゃない？
美穂,むぐぐ……じゃあ飲み物要らないもん
加蓮,ほらほら意地張らない。二人三脚まだ先だしゆっくりして来なって
美穂,……早く自動販売機行きますよ、Pくん！
P,行ってらー、僕コンビニ行くから
加蓮,五十嵐
P,よし行くぞ小日向！
智絵里,…………はぁ……
加蓮,手のかかるカップルだよね、仲介手数料取りたいくらい
美穂,……Pくん！
P,ん？どうかした？
美穂,……そ、その！わたし、不機嫌っぽくありませんか？！
P,うん、不機嫌っぽい
美穂,ですよね！
P,……うん
美穂,…………
P,…………
美穂,……何か言ってくれないと……さ、寂しいんですけど！
P,……今日、暑いな
美穂,ですね、すっごく暑いです
P,…………
美穂,…………。……下手！圧倒的会話下手ですPくん！きみいつもだったらもっとベラベラ喋ってくれるじゃないですか！！
P,余りにも理不尽なキレだと自分で思わない？なんか不機嫌な人相手に一人でトークショーする程僕もコミュニケーションに飢えてはないから
美穂,じゃあ逆にわたしが機嫌良かったらもっと会話してくれるんだよね？！
P,まぁそりゃ
美穂,わーい！わたし、今とっても幸せですっ！！
P,…………熱中症なら保健室連れてくけど……
美穂,なんでこんな時に限って本気で心配するんですか！！。……あ、PくんPくんっ！
P,テンションの落差
美穂,熱中症、ってゆっくり言って下さい
P,熱中症
美穂,速いです、やり直し
P,ねぇぇぇぇぇぇぇ……つぅぅぅぅぅぅぅぅ……ちぃぃぃぃぃ
美穂,もうすこし丁度よく！
P,オーダーがアバウトすぎる
美穂,熱と中と症を一字ずつ分けて言う感じです
P,なるほど
美穂,感情を込めて、何かを求める感じでお願いします
P,小日向が先に手本を聞かせてくれよ
美穂,…………えっ？
P,いや、スピードが分からないから小日向に言って欲しいって
美穂,……Pくんは……その、わたしに…………言って欲しいんですか……？
P,……いや、別に……そこまで無理してまでは……
美穂,……む、無理じゃないもん……ただ、その……覚悟が必要と言いますか…………だって、ね？。すー…………ふー…………
P,すー……………ふー…………
美穂,…………Pくん……わ、わたしと…………。わ、わたしと……！ね、ねっ……
P,小日向
美穂,へっ、はっ、ふぁいっ！
P,おでこ、触るぞ
美穂,えっ？あっ、えぇぇっっ？！。わっ、あわわわわわわわわわっっ！！
P,……さっきよりも顔が赤いな……大丈夫？
美穂,だ、だだだっ！大丈夫じゃなす！です！はい！。わ、わたしは大丈夫ですから……いつでも……はい！どうぞっ！！
P,…………保健室行くぞ
美穂,えっ？！あぅ、ええっっ？！ほ、保健室ですかっ？！
P,ちゃんと診るぞ
美穂,ちゃんと！みっ、見るっ！ほ、保健室で……それって……あぅ……。…………や、やっぱりまだダメッ！
P,お、おい小日向！！。そっちに自動販売機無いぞー！！。…………まぁいいや、飲み物買いに
加蓮,…………
智絵里,…………
新田,…………
P,……ん？どうした皆んな、結局自分で買いに来たの？
新田,……救えないバカだな
智絵里,い、今のは美穂ちゃんもじゃないかな……
加蓮,両方バカでしょ。追い掛けなよ、五十嵐
P,え、でも飲み物買いに……
加蓮,良いから、代わりに私が買っといてあげる！貸しひとつだから！。ダッシュ！はいダッシュ！美穂道に迷って泣いてるかもよ！
P,北条さん割と小日向に対する評価低いよね。追い掛けないと後々また怒られるし……行ってくるか。…………何処だ……
美穂,……ふぅ……お茶美味しい……
加蓮,あ、おかえりー五十嵐
P,…………やぁ、久し振り。小日向……北条さん……僕にこう、何か一言あったりしない？
美穂,あ、Pくんっ！もうすぐ二人三脚なのに何処ほっつき歩いてたの？
加蓮,まったく……ペアに心配かけちゃダメでしょ
P,いや、おい…………まぁ良いや
加蓮,そう言えば美穂、さっきなんでキスしなかったの？
美穂,えっ？な、なななっ、なんでわたしがPくんなんかとキスしなきゃいけないの……？
加蓮,え、逆に聞くけどしたくないの？
美穂,……逆に聞きますけど、加蓮ちゃんはどっちだと思いますか？
智絵里,…………はぁ
加蓮,面倒くさい女だね……
美穂,わ、わたしは結構ストレートなつもりだもんっ！
加蓮,はぁ…………五十嵐
P,え、あ、はい
加蓮,アンタなんで美穂の事探してたの？
P,え……？そりゃ迷子になっちゃったら大変でしょ
加蓮,ふーん、心配してあげてたんだ
P,心配…………？。なんかこう、僕が追い掛けるべきかなって
智絵里,うわぁ……こういうの、彼氏面って言うんですよね……？
加蓮,チア部の発表より優先して？
P,正直凄く後悔してる
美穂,あのっ！
P,でもほら、小日向は……
美穂,……こ、小日向は……？
智絵里,ま、まさか……
加蓮,お、これはー……？
P,…………あれ？ほんとなんで僕小日向なんかを探してたんだ？
美穂,…………
P,なんだろ、北条さんが追い掛けろって言って……あぁあれだ、ゴミ箱にゴミ投げたのに入らなかった時みたいな感覚
美穂,……例えが酷過ぎませんか？
P,あれ？でもなんで見つかった時安心したんだろ……
美穂,…………安心……したんだ……
P,投げたゴミがちゃんとゴミ箱に入ってるの確認した時みたいな安心感だった
美穂,うるさい！ゴミゴミゴミゴミうるさいです！！
智絵里,…………はぁ
加蓮,面倒くさいカップルだね……
P,ん、そろそろ行かないとまずそうかな
美穂,ゴミ箱にですか？
P,引きずらないでくれると嬉しいんだけど
美穂,ゴミ袋みたいにですか？
P,もう水に流してくれよ
美穂,液体ゴミみたいにですか？
智絵里,…………もう……
加蓮,ゴミゴミゴミゴミうるさい！さっさと行け産業廃棄カップル！！
智絵里,加蓮ちゃんもだよね……？
加蓮,は？何？私が産業廃棄物って言いたいの？！
P,いや二人三脚出場者だよねって意味だろ
加蓮,うるさい不燃ゴミ！
P,可燃だよ！！
美穂,ねぇ、智絵里ちゃん。加蓮ちゃんってPくんと仲良いよね……
智絵里,……面倒くさ……
加蓮,……他のクラスに手回しは？
鷺沢,出来てるよ。やる気ない奴らばかりで良かった
美穂,……が、頑張ろうね、Pくん
P,緊張してる？
美穂,し、してなく……なく……ない……ある……
P,どっちだよ
美穂,き、緊張してるに決まってるでしょっ！
P,僕はしてない
美穂,ず、ズルイっ！わたしはこんなに緊張してるのに！！
P,いや別にバランス取れて丁度良いんじゃないか？
美穂,Pくんの落ち着き程度じゃ釣り合わないくらいドキドキしてるもん！
P,なんでそこ張り合うの？
美穂,な、なんとかして下さいっ！！
P,えぇ……じゃあまぁ、ありきたりだけど……
美穂,えっ？あっ、えっ？っあぅ……
P,どう？これ割と落ち着くと思うんだけど
美穂,そ、そうでもないんじゃないかな？。こ、こんな事されて……落ち着ける訳無いもん……
P,放した方が良い？
美穂,ダメっ！も、もうちょっとだけ……繋いでて下さい
P,うん、まぁ小日向が落ち着くまでは
美穂,…………あ……
P,ん？どうかした？
美穂,……あ、あははー……ねぇ、Pくん
P,なんだよ、早く言え……って……。なんだかなー……
新田,なんだよ五十嵐、お前勝ったのに湿気た面してよぉ
P,いや、なんかさ……なんだろう、この納得いかない感じ
新田,うるせぇ！女子と二人三脚やってる時点でお前はもう勝ち組なんだよ！！
P,いやでも小日向だぞ
新田,お前一回捨てられた方が良いわ
P,ゴール直前で僕ら以外のペアが全員転ぶってある？
新田,焦り過ぎてテンポズレたんだろ
P,そう、なのかなぁ……。立ち上がる時間は十分あった筈なんだけどなぁ
新田,焦っちゃったんだろ
P,あと1.2歩でゴールされてたのに
新田,焦っちゃったんだろ
卯月,おめでとうございますっ！美穂ちゃん、五十嵐君っ！
P,ありがとう島村さん！いやぁ、辛くも辛勝って感じだけど練習した甲斐があったよホント！頑張って良かった！！
新田,お前ほんとなぁ……
智絵里,おめでとうございます、五十嵐くん
P,ありがとう緒方さん！緒方さんの応援のおかげだよ！
新田,お前……
加蓮,いぇーい美穂！お互い一位おめでとっ！！
美穂,いぇーいっ！とってもステキな思い出になりましたっ！
加蓮,じゃあもうウチのクラスの体育祭は終わった様なものだし、ヒーローインタビューとかいっちゃう？
男子,ヒューヒューっ！
加蓮,二人三脚で無事一位を取ってクラスに貢献してくれたアンタと美穂に決まってるじゃん
P,それは北条さんペアもでしょ……あれ？鷺沢は？
加蓮,お礼言いに行ってる
卯月,それでは皆さん、テント裏に体育座りで集まって下さい！
加蓮,それじゃ、今日のMPカップルからのスピーチ始めるよ
美穂,ええっと……み、みなさんの応援のお陰で無事Pくんと一位を取れましたっ！ありがとうございますっ！
クラスメイトs,ひゅーひゅー！！
美穂,あと直前に緊張してる時、Pくんが手を握ってくれて……えへへ……
男子s,ひゅーひゅー！！！！！！
美穂,ほんとうにっ！ありがとうございましたっ！！
加蓮,それじゃ、次は新郎の五十嵐から
P,おう、それじゃ……みんな！。僕ら！別にカップルじゃないかなら！！。んで、お前と北条さんって結局どう言う関係なのさ
鷺沢,言うなれば……クラスメイトだな
P,へー、それ北条さんに伝えとくから
鷺沢,ここに150円ある
P,おっけ、僕は何も聞かなかった
鷺沢,……ん？どうした五十嵐、下駄箱見つめて
P,……開けられた形跡がある
鷺沢,は？
P,僕ってほら、見ての通り几帳面だろ？ドアきちんと閉じて帰るんだよ。だけど見ろ、今はこの通り微妙に閉まり切ってない
鷺沢,隣の俺が閉めた衝撃で開いちゃったとか
P,いや、お前そんな勢い良く閉めてないだろ
鷺沢,……お前の記憶違いじゃないのか？
P,バカ言え、僕は生きるメモリーカードと言われた男だぞ
鷺沢,シーラカンス的な？
P,…………今日ってバレンタインだっけか？
鷺沢,一昨日体育祭だったの忘れたのか？
P,つまり体育祭は2/12に開催されたって事か
鷺沢,時空を歪めてまでバレンタイン説を推すんじゃない
P,……開けるぞ
鷺沢,爆弾処理班かお前。早くしないと予鈴鳴るぞ
P,へーへー。…………は？
鷺沢,なんだお前、本当に爆弾でも入ってたのか？
P,それに近いモノが入ってる。…………なぁ、鷺沢。これってさ……
鷺沢,……おいおいマジか、遂に成し遂げたんだな……
P,……ラブレターだ
鷺沢,速報速報速報！遂に五十嵐にラブレターが渡されたぞ！！
新田,えっ、マジ？！
智絵里,……わぁ……美穂ちゃん、頑張ったんだ……
加蓮,やれやれ、ようやくって感じじゃない？
卯月,えっ？五十嵐君にラブレターっ？！誰からなんですか？！
P,やれやれ……なんで僕以上に盛り上がってるんだみんな
新田,おい五十嵐！お前なんで喜んでねぇんだよ！
鷺沢,そうだぞ、ラブレター貰うとか羨まし過ぎんだろ喜べよ！！
P,全く…………あのな？こういう時は下手に舞い上がらず落ち着いて振る舞いたいもんなんだよ。っっっひゃっほぁぁぁぁぅぅぅぅっっ！！。誰かなぁ！誰がくれたんだろうなぁ！
新田,開けろ開けろ！
P,いやぁ、でもこういうのは一人で落ち着いて読みたいんだよなぁ！！
鷺沢,まぁお前以外のみんなは誰が書いたのか分かってるけどな
P,なんでさ
美穂,ふぅ……日直じゃなければもう五分くらい長く寝れるのに……えっ、な、なんでこんなに盛り上がってるの？！
加蓮,やるじゃん美穂！末永く幸せにね！！
智絵里,美穂ちゃん……勇気、出したんですね……！
美穂,……ん？え？何の事……？
加蓮,…………え……ねぇ美穂、一応聞くけど……誰かにラブレター渡したり……してない？
美穂,え？らっ、ラブレターですかっ？！ま、まだ渡せてませんっ！
智絵里,え、えっと……誰かの下駄箱にコッソリ入れたり……
美穂,まだ出来てませんっ！
加蓮,…………
智絵里,…………
鷺沢,…………
新田,…………
クラスメイト全員,…………
P,それじゃ、読むかー！
加蓮,鷺沢っ！
鷺沢,分かってるっ！！
P,っぶなっ！何すんだよお前っ！
鷺沢,事情が変わった、お前にそのラブレターを読ませる訳にはいかない
P,うるせぇ！こいつは僕が貰ったラブレターだ！
美穂,Pくんっ！後ろっ！！
新田,お前ら！目標はラブレターだ！五十嵐自体には可能な限り怪我を負わせ無いように！
P,お前が言うなよ
新田,間違えた、可能な限り怪我を負わせろ！死なない程度にブッ殺せ！！
男子s,応っっ！！
P,クソッ！！
新田,逃すかボケェ！追え！！
男子s,新しい女に手を出させるなこの妻帯者！！
P,…………ふぅ……。すー…………開くか……っっ？！。これは…………栞
鷺沢,次は股間を狙う
P,使い物にならなくなるから本気で辞めて欲しい。よく分かったなお前
鷺沢,小日向にお前が逃げそうな場所を聞いたんだ
P,えっズルイ。あとよく栞投げて刺せるな……
鷺沢,姉さん直伝だよ。15メートル以内なら外しはしない。従姉妹だよ
P,結婚出来るじゃん
鷺沢,いや、でも姉さんってこう……家だと女捨ててるから……
P,は？従姉妹の姉さんと同居してんのかお前。事情が変わった殺す
鷺沢,こっちのセリフだ馬鹿。妻帯者でしかもあんなに可愛い妹さんがいるのに更にラブレターが読みたいだと？寝言は永眠してから言え
P,……あ、窓の外におっぱい！
鷺沢,マジ？！。あっ、騙したなお前！
加蓮,逃す訳無いじゃん
P,……どいてくれ北条さん
加蓮,だーめ、悪いけどアンタにラブレターを読ませる訳にはいかないの
P,鷺沢と海行った時の写真送るから
加蓮,…………そ、そんなんで私が釣れると思ったの？。今回ばかりは私も譲れない……あの子を傷付ける様な事はさせないから
鷺沢,よし、北条。そいつをそのまま引き留めててくれ
P,……鷺沢！今朝の150円返すわ！！。北条さん。今朝鷺沢に二人はどんな関係なの？って聞いたらただのクラスメイトだって言ってた
加蓮,…………ふーん
鷺沢,…………言ってないぞ
加蓮,……そっか……そうだったんだ……
鷺沢,…………
加蓮,…………何か言ったら？
鷺沢,……五十嵐後で覚えてろよ
加蓮,へー、後があると思ってるんだ
P,そろそろどっかに隠れて……うぉっ？！。……新田か
新田,殺す
P,会話して。……悪いな、新田。僕は逃げ切る。ラブレターの為なら……手段は選ばない！！
新田,死ねオラァ！！
P,先生ぇぇぇっ！廊下でバスケしてる奴が居まぁぁぁぁす！！！
新田,げっ、おい馬鹿やめろ！もう今月何回反省文書かされたと思ってんだ！！
P,先生こっちです！あいつあいつ！！
新田,覚えとけよ五十嵐っ！！
P,…………さて。……やるか
男子A,お゛う゛ゴラァ五十嵐ぃ！出てこいボケェ！出すもん出さんかぃ！！
男子B,エロ本あるぞー、すっごく良いエロ本だぞー
智絵里,……五十嵐くん
P,っ？！
智絵里,えへへ……わたし、いつも中庭で四つ葉のクローバー探ししてるから……
P,……緒方さんも、ラブレターを奪いに？
智絵里,うん……その、本当は良くない事って分かってるけど……それでも、お友達の為だから……
P,……ごめん、緒方さん。悪いけど、このラブレターは渡せない
智絵里,…………良いんですか？
P,え、何が？
智絵里,……ここ、茂みなんです
P,そうだな
智絵里,……今は、わたしと五十嵐くんしか居なくて……
P,……そうだけど……？
智絵里,…………わたしが悲鳴を上げたら、どうなっちゃうのかな……
P,……………。……………勘弁して下さい
智絵里,えへへ……だったら……ラブレター、下さい
P,……逃げ
智絵里,ようとなんて考えないで下さい……余計に罪が重くなっちゃうから……
P,……緒方さん！
智絵里,えっ？は、はい……！
P,参りました！！！！！。…………
新田,…………
鷺沢,…………
加蓮,…………
智絵里,…………
クラスメイトs,…………
卯月,反省して下さいっ！。……先生、怒って職員室に戻って行っちゃいました。誰が呼びに行かなきゃいけないか分かってますよね？。……私が行くんです。戻って来たら全員ちゃんと謝って下さい
新田,五十嵐が逃げなければ丸く収まってたんだぞ
P,僕悪い事してないんだけどなぁ……あれ？鷺沢は？
加蓮,保健室じゃない？。にしてもホントナイスじゃん智絵里
智絵里,……先生に怒られちゃう……
P,……僕のせいにして良いから
加蓮,あ、美穂。せっかくだしラブレターの差出人だけ見ちゃえば？
美穂,えっ？そ、そんな事出来ませんっ！
加蓮,ライバルの事くらいは知っといた方が良いと思うけど
美穂,ら、ライバルだなんて……
加蓮,智絵里それ美穂に渡してあげて
智絵里,え……っ、あっ、はい
美穂,そ、そんな事悪くて出来ないです……。……あー、何もしてないのに開いちゃいましたーっ！。…………あれ？
加蓮,ん？
智絵里,ど、どうかしたんですか……？
美穂,これ、鷺沢君へって書いてあります……
加蓮,…………
智絵里,…………
新田,…………
P,…………
クラスメイトs,…………
P,保健室行ってくる
新田,行くぞ
男子s,応っ！！！
卯月,…………
美穂,はぁ…………
加蓮,何ため息なんて吐いてるの？幸せ逃げてくよ
美穂,良いですよねー加蓮ちゃんは。そういう悩み無さそうで
加蓮,心配したら毒吐かれたの普通に傷付くんだけど
美穂,今日だって一緒に帰りたかったのに、お友達と本屋さんに行っちゃうし……
加蓮,美穂も行けば良かったじゃん
美穂,勿論わたしも一緒に行きたいです、って言ったけど……ダメって言われちゃったんだもん……
加蓮,もしかして鷺沢と一緒に買いに行くって言ってた？
美穂,あ、うん。なんで分かったんですか？
加蓮,あー、うん。確かに断るよね。…………あのバカ……私がいるじゃん……。……何？私の胸に何かついてる？
美穂,加蓮ちゃんにも２つついてました……
加蓮,……美穂、結構五十嵐に影響されてるよね
美穂,ところで加蓮ちゃん、サイズの方は
加蓮,83だけど
美穂,卯月ちゃん一族の方でしたか……
加蓮,美穂もそんなに変わらないでしょ
美穂,わたしもあと1大きくなればPくんも興味持ってくれるのかな……
加蓮,……無理でしょ、五十嵐が美穂の事そういう目で見るなんて
美穂,……Pくん、もしかして他に好きな人いるのかな……
加蓮,いないんじゃない？
美穂,……そんな気はするけど……だったら！尚更！わたしの事好きになっても良いじゃないですかっ！！
加蓮,……はぁ……あ、そういえばこないだ美穂ラブレター書いたとか言ってなかったっけ？
美穂,家に厳重に保管してあります
加蓮,渡す気0！
美穂,そ、そんな勇気あったらとっくに付き合えてるもん！！
加蓮,余りにも自過剰
美穂,加蓮ちゃんはわたしとPくんじゃ釣り合わないって言ってるんですか？！
加蓮,めんっっっっどくさい！！美穂割とめんどくさいとこあるよ？！
美穂,加蓮ちゃんにだけは言われたく無かったかなぁ！
加蓮,……やめとこ？不毛過ぎるから
美穂,…………うん
加蓮,……はぁ……仕方ない、頼らせたく無かったけど
美穂,え？
加蓮,……隣のクラスにさ、優秀な恋愛アドバイザーがいるんだよね
美穂,恋愛……アドバイザー……
加蓮,通称、ラブ師匠
美穂,ラブ師匠……
加蓮,あいつが恋のキューピットになったカップルは数知れず、豊富な知恵と大胆な作戦でどんな難産カップルもあっという間にバカップルにしちゃう。明日、行ってみたら？
美穂,……うん、そうしてみます。……あ、ところでその子の名前は？
加蓮,…………あいつの名前は……。……なんだっけ
美穂,そんな事ある？
卯月,美穂ちゃん、一緒にお弁当食べませんか？
美穂,あ、ごめんね卯月ちゃん。わたしこれからラブ師匠だから
卯月,……ラブ師匠だから、って断られたの初めてでビックリです
美穂,し、失礼します！ラブ師匠はいますかっ？！
先生,…………
生徒,…………
美穂,…………きょ、教室間違えました……っ！
卯月,あ、おかえりなさい美穂ちゃん。ラブ師匠ってなんなんですか？
美穂,まだ授業してました……
卯月,そんな授業ありました？
美穂,ら、ラブ師匠……居ますかー……？
？？,……あの、恥ずかしいのでその呼び方辞めて貰っていいですかぁ？
美穂,っ！あ、貴女がラブ師匠ですかっ？！
？？,ねぇ聞いてました？
美穂,わ、わたしだって恥ずかしいもんっ！！
？？,だったら呼ぶのやめれば良いじゃないですかぁ！
美穂,じゃあなんて呼べば良いの？裸婦師匠？！
？？,それじゃただの露出狂ですよぉ！！
まゆ,ごっほんっ！佐久間まゆです。貴女のお名前は？
美穂,あっ、えっと……小日向美穂です。その、相談したい事があって……
まゆ,ラブ師匠って呼んで来た時点で恋愛相談だって分かってますよぉ
美穂,ところでなんでラブ師匠って呼ばれてるんですか？
まゆ,あの女が馬鹿にして呼んでただけです。なのに何故かそれが広まってしまって……
美穂,それで……今相談しても大丈夫ですか？
まゆ,はい、まゆは恋する女の子の味方ですから。あ、一名だけ対象外ですが。では……美穂ちゃんでいいですか？
美穂,うん、わたしもまゆちゃんって呼べば良い？
まゆ,構いません。それで……好きな男がいるって前提で大丈夫ですよね？
美穂,はい……ええっと、幼馴染で今も同じクラスです
まゆ,ふむふむ。成る程……鈍感過ぎて美穂ちゃんのアピールに全く気付いてくれない、と
美穂,うん……酷いよね、女の子の敵だと思う
まゆ,いえあの、まゆは別に愚痴を聞く係って訳ではないので
美穂,Pくん、胸がついてれば誰だって……きっと鶏だって良いんです！
まゆ,あの
美穂,エッチな本読むし！女の子の事エッチな目で見てるし！そのくせわたしにはそう言う感情一切抱いてくれないの！
まゆ,アドバイス受ける気あります？
美穂,…………でも優しくてカッコいいんです……
まゆ,…………重症ですねぇ……。……それ程までに、美穂ちゃんはその方にお熱なんぇすねぇ
美穂,…………うん、好き。とっても好き
まゆ,それを伝えてみるのが一番手っ取り早いと思いますが……
美穂,出来ないから……その、良いアドバイスを貰えたらな、って……
まゆ,……うふふ、良いでしょう。まゆにお任せですっ！。ところで、その方の写真とかって持ってますか？
美穂,スマホは学校に持って来て無いから……おうちに帰ればアルバムがあるんだけど……
まゆ,……あ、アルバム？……あぁ、小学校とか中学校の頃のですかぁ？
美穂,え？ううん？Pくんの写真だけのアルバムだよ？
まゆ,…………美穂ちゃんとは仲良くなれそうです
美穂,あ、ありがとうございます……
まゆ,……まず、簡単な所ではデートですねぇ。デートという名目でなくとも、男女二人きりでのお出かけともなれば自然と距離が近付く筈です
美穂,あ、休日はいつも二人でのんびり過ごしてます
まゆ,むむ、やりますねぇ……何処にお出かけしてますかぁ？
美穂,Pくんのお部屋が多いかな
まゆ,は？
美穂,何処かに出かけるよりものんびり出来るし、Pくん朝起きられないからわたしが迎えに行ってあげないといけないから……
まゆ,は？
美穂,あ、平日はいつもわたしが起こしに行ってあげてるんです。そのまま一緒に寝ちゃう時もたまーにあるけど……たまーにですよ？
まゆ,は？
美穂,でもね？Pくんの寝顔、とっても可愛いんです。無防備で、無邪気で……き、キスはまだ出来てないですけど……
まゆ,は？
美穂,あ、それでね？Pくんには妹がいるんだけど、その子が居ない二人っきりの時はいつも心臓バクバクしちゃって……緊張して空回りしちゃったりするんだ
まゆ,……ず、随分と進んでらっしゃいますねぇ
美穂,そうなのかな？当たり前になっちゃってて分からないかも……
まゆ,幼馴染とは言え異性ですよ？
美穂,でももう慣れちゃってるから……
まゆ,……ごほんっ、それはそれとして……お部屋に入り込めているようであればもうこっちのものです
美穂,そうなんですか？
まゆ,どうやらその方は随分と性に対する興味が大きそうですから……そうですね、シャツのボタンを一つ多く開けてみたり、スカートの裾をさり気なく上げてみたりは如何でしょう？
美穂,うーん……Pくん、わたしが下着つけてなくても全然興味無さそうなんです
まゆ,…………は？
美穂,わたし今下着着けてないんだよ？って言っても全然恥ずかしがってくれないし……驚いちゃうよね
まゆ,今まゆは美穂ちゃんに対して今世紀最大の驚きを覚えてます
美穂,あ、ところで他には何かないかな？
まゆ,無いです、無理です。まゆには手に負えません。何というか……きっと、二人の距離が近過ぎるんだと思います
美穂,そう？
まゆ,普通、異性の部屋でノーブラノーパンになったらそこでゴールインですよぉ！
美穂,お、幼馴染だから……昔はよくお風呂借りてたし……
まゆ,その幼馴染だからが最大の弊害ですねぇ……
美穂,……だよね……たまに思うんだ
まゆ,押してダメなら引いてみろ……とは言いますが、美穂ちゃんには難しそうですねぇ
美穂,そ、そんな事ないよ？別にPくんと一日くらい会えなくても……
まゆ,それ殆ど答えじゃないですかぁ……とは言え、きっと不安になるだけなので下手に距離を置いても良い事はなさそうですね
美穂,…………うん。毎日会いたいです
まゆ,……その気持ちを伝えれば良いだけではあるんですが……ところで美穂ちゃんは、どうしてその方が好きなんですか？
美穂,えっ？
まゆ,好きになった理由です。きっかけとか、意識し始めた理由とかありませんか？
美穂,……それは……
まゆ,……思い出せないのであれば、きっと思い出してみた方がいいと思います。無いのであれば……うふふ、今から見つけるだけです
美穂,…………
まゆ,どうやら美穂ちゃんが好きな男の子には、意中の子はいない……なら、美穂ちゃんが諦めなければ、きっといつか結ばれる日が来ると思います
美穂,で、でも……もし他の子がPくんに告白しちゃったら……
まゆ,そうなったら…………うふふ、ふふっ
美穂,……………ど、どうするの……？
まゆ,カラオケならお付き合いしますよぉ
美穂,失恋してるー！！！！。ありがとね、まゆちゃん
まゆ,うふふ、お安い御用ですっ。あ、そう言えば近々隣の駅に屋内プールが出来るそうです。誘ってみると良いかもしれませんねぇ
美穂,ぷ、プール…………うん、誘ってみます
まゆ,ラブレターも、書き終えている様でしたら持ち歩いた方が良いと思います。もし勇気が出せそうな時、すぐその場で渡せる様に
美穂,……うん。ほんとにありがとね、まゆちゃん
まゆ,決して下駄箱に入れるなんて事はしないように。焦って隣の人の下駄箱に入れちゃったら大変ですから
美穂,そんな事ある？
まゆ,……思い返したら恥ずかしくなってきました……あぁもう、まゆのおバカ！
美穂,…………あー……
まゆ,……うふふ、彼氏さんが呼んでますよ？
美穂,……返してあげるの忘れてた……ごめんねPくん、今行きますっ！
響子,お兄ちゃーん！玄関雨漏りしてますっっ！！
P,バケツ何処だっけ？！
響子,洗面所の下！！
美穂,わ、わたしも手伝いますっ！
P,いいって、取り敢えずそっちは連絡入れとけ。ふぅ……響子、洗濯物取り込んであるよな？
響子,ちゃんと取り込んで屋内に干してありますからっ！
P,小日向、どう？
美穂,うん……無理そうです。ピークが今夜の一時だって
P,え……これまだ強くなるのか
美穂,どうしよう……帰れないからPくんの家に泊めて貰いますって連絡はしましたけど……
P,いやそれもう答え出てるじゃん
美穂,いいですか？
P,もちろん
響子,着替えは私が貸しますから。あと美穂ちゃん……私の部屋で寝るんですからね？
美穂,そんな……事分かってますからね？
響子,今露骨にがっかりしてませんでした……？
P,先二人で風呂入ってくれば？
美穂,えっ？わ、わたしとPくん
響子,の妹の私とですからね？
美穂,わ、分かってるもんっ！
