”,なに！？俺が守れだと！？やれやれ、勝手なことを言ってくれる！。いや、だから私はクリスティーナでも助手でもないといっとろう――……え？。これがシュタインズ・ゲートの選択だよ
岡部,……お前に当たっても仕方がないな。綯、今日は萌郁と店番か？
綯,あ、はい。今日は萌郁おねえちゃんと２人です
岡部,フゥーハハハ！ならば光栄に思え！この鳳凰院凶真が３人目の《店番》となってやろうではないか！
綯,あっ……結構です
岡部,なに？なんだってシスターブラウン？拒否の意を表す言葉が聞こえた気がするが？気のせいだよなそうだよな？
綯,ぁう……！き、気のせいです……。……やっぱりオカリンおじさんは苦手だ。こわいよ……
？？,……岡部君っ
岡部,んん？お、指圧師ではないか。どうした珍しく眉を釣り上げて
萌郁,……綯ちゃんを、イジめてた……
岡部,は？おいおい人聞きの悪いことを言うなよ。ただお話していただけだよな、そうだよな綯？
綯,はっ……！はいぃ……
萌郁,……言わされてる……。謝って
岡部,すみませんでした。そんなに怒らなくってもいいだろー。なぁ綯？
綯,ひっ……
萌郁,……いちいち、綯ちゃんを怖がらせないで……
岡部,い、いちいちって！そんなつもりは微塵もない！ただ俺が話しかける度に綯が怖がるものだから……
萌郁,……気を付けて、話しかけて
岡部,気を付けてったってなぁ……はぁ
綯,……おじさんに悪気はないんだよね。わ、私も大人にならなきゃ！。……お、おじさん、それで、店番いっしょにするんですよね？
萌郁,……
岡部,うおぉい萌郁ウェイウェイウェイ！なんだその《視殺光線》は！女２人で店番は心許ないだろうから男の俺が手伝ってやろうと思っただけだ！
萌郁,……ほんと？
綯,う、うん……そんなことまで考えてたとは思わなかったけど……
萌郁,……なら、いい
岡部,ふぅ……へぁんぱない殺気だな萌郁よ。今のの1/10でいいから常に放っておけ。普段のお前はちとオーラが無さ過ぎる
萌郁,……そう、かな……
綯,そんなことないよ？
萌郁,……そんなことないって……
岡部,あぁそう……綯の意見が絶対的に優先なわけだな。まぁいい。なんにせよ店番は俺もさせてもらうぞ！
萌郁,……白衣、邪魔……
綯,……おじさん、他のラボメンの方々は、いつ来れるんですか？
岡部,あいつらは……たしかまゆりとダルが4時頃に来るはずだ
綯,あぁ、店番ってつまり暇つぶしなんだ……
萌郁,……白衣、邪魔……
岡部,えぇい黙れ黙れ！俺から白衣を取ったらただのサイエンティストになってしまうではないか！邪魔だと！？慣れろ！脱げ！？断固拒否！
綯,白衣を取るとサイエンティスト……そんな設定が……
岡部,は？何言ってんだお前。お前は小動物以外の何者でもないだろ。調子乗んな
綯,
萌郁,……岡部君……？
綯,ぁぅぅ～……
萌郁,……白衣
岡部,へ？
萌郁,白衣……綯ちゃんに、貸してあげなさい……
岡部,だ、だが断ｒ
萌郁,
岡部,な、綯ー！白衣だぞー！ほのかにドクペの香る鳳凰院白衣だぞー！
綯,あ……いいん、ですか？
岡部,もちろん！いいわけないだろうが！！
綯,じ、じゃあ、ちょっとお借りします……。わぁ～……！
岡部,ほぉ……当然のごとく丈はズルズルだが、ふいんき(ryは中々に研究者のそれになったな
綯,すごい……カッコいい……！
萌郁,……気に入った……？
綯,うん！白衣ってなんだか怖い印象があったけど、着てみるとすごくカッコいいね！
岡部,そうだろうそうだろう！若い身空で中々に肥えた審美眼をしているなシスターブｒ
萌郁,じゃあ、それあげる……
綯,わぁ～い！
岡部,。あげ、あげ？なんて？
萌郁,岡部君……いっぱい白衣、持ってるでしょ？一着くらい……
岡部,ぶわかやろおおおおおおお！んむおえくわあ！誰の白衣だと思ってるう！ふざけるなあああああああ！！
萌郁,……ふざけてない、白衣は、岡部君の……分かった上で、一着もらった……
岡部,過去形かあああああああ！既に綯のものなのかあああああ！！
綯,あ、あの、おじさん……これ、やっぱり私にはまだ大きいから、お返しします……
岡部,ほぉーら萌郁！見さらせこの綯の品行方正っぷりを！お前もコイツを見習うんだな！偉いぞ～綯～♪
綯,あぅ、あぅ、あぅ痛い痛い痛いおじさん頭撫でるの下手ぁ～
萌郁,……ﾁｯ
岡部,舌打ち！？。しかし綯よ。お前の白衣姿は存外サマになっていたぞ。こんどまゆりにでも言ってお前用の白衣を作ってもらうか
綯,ほっ、ほんと！？……ですかっ！？
岡部,あぁ本当だ。完成がいつになるかは分からんがな、wktkしつつ待っていろ。……クックククク、綯はこのところラボに度々出入りしている。このまま傘下に入れてしまえば、ミスターブラウンはもう俺に強く出れまい
萌郁,…………強く出れまい、なんて、考えてる……？たぶん逆効果……
岡部,な、なにぃッ！？貴様《高速の指圧》だけでなく読心術まで体得したというのか！？
萌郁,……むしろ、岡部君が、サトラレ……
岡部,なッ！？
萌郁,……綯ちゃんを、ラボメンにしたら……裕吾さんはきっと、ラボの活動内容に、危険が無いか、見にｋ
岡部,というわけだ残念だったな綯さっきの白衣話は御破算だぬか喜びさせて済まなかった全てはお前の父君が悪いエルプサイコングルゥ
綯,え、えぇ～……？
萌郁,……じゃあ、椎名さんには、私から話を付けるから……
綯,ほ、ほんとおねえちゃん！？。へ……？あ、は、はい……
萌郁,岡部君……めんどくさい……
岡部,完成の暁には、天王寺綯よ！！
綯,は、はい！！。……ラボメン……カッコカリ……
萌郁,年齢制限……あるんだ……
岡部,返事は！！
綯,はっ、はい！よろしくお願いします！
ダル,うん……うん、それじゃ。おやすみ牧瀬氏、愛してるお……。……。……っふあー……。幸せすぎて、死にそうだお……。デレデレ牧瀬氏のかわいさ反則だろ常考。なんだあのかわいい生物……。口でチュッ☆て。チュッ☆て。やっべ、マジやっべ。うがぁ～ちゅーしてぇ～！12月までのあと2ヶ月待たなきゃいかんとかどゆこと？地獄？天国へ続く地獄？。はぁ……牧瀬氏牧瀬氏牧瀬氏……頭ん中牧瀬氏だらけだ……日常生活に支障が出そうなレヴェル……。はぁ～……牧瀬氏～……！君に一生萌え萌え☆キュンだお！結婚してくれーーーーーっ！
客,なんだあいつ……
紅莉栖,うん……うん、じゃあね橋田、大好き、愛してる……ﾁｭｯ。……。……えへへへへへ……。最後にﾁｭｯってしちゃったぁ～、橋田気付いてくれたかな……あいつなら気付いてくれるよね……。あぁ～私いま相当ヒドい顔してるって～……橋田橋田ぁ、んん～♪。愛してるお(ｷﾘｯ。何よそれ～！残念語尾のくせになんでそんなカッコいいのよ～！。ちゅーしたいなぁ……橋田にちゅーしてほしい……2ヶ月なんて待てないよぅ、橋田ぁ……。はぁぁあ……私今日寝れるかなぁ、橋田が一人、橋田が二人、橋田が三人、橋田が。寝れるかぁ！目ェ冴えるわ！もぉ～寝不足で明日のゼミ遅れたらどうしてくれんのよ橋田～……。彼氏のことで頭がいっぱいで寝れませんでした、キリッ！通るかバカ！教授陣に張り倒されるわ！。……だめだ、寝られるテンションじゃない。そうか、逆転の発想よ、もうちょっと橋田を妄想すれば寝れるはず……。橋田……んん、ちゅーしてぇ、ちゅー、橋田にがしって肩捕まれて、ぐいって引き寄せられて、あぁ、ん……ふあ……。ってイカンイカンイカン！だから明日はゼミなんだっての！自重しろ私！心頭を滅却せよ！。むんむむむむぅ～……。……もぉ～！橋田出て来過ぎ！明日絶対文句言ってやるぅ～！
ダル,……寝れねー件について！。一発抜いたのに牧瀬氏が消えてくんないお！？なんぞこれ！？。もう一回抜けというリア充神の思し召しか……？だが眠いのは確かなんだよな、でも目を瞑ると……。はいはいはい牧瀬氏出てきたお～わらわら出てきたお～寝れるわけねーから！明日１限なのにぃ！。彼女のことで頭がいっぱいで寝れませんでした、キリッ！言えるか！大学のオタ友から総スカン食らうお！。はぁあ……もういっそ、牧瀬氏を極限まで妄想して……。……。……。うがーだめだだめだ！作戦失敗！頑張れ僕、セルフ賢者タイム！。南無妙法蓮華経南無妙法蓮華経南無妙法蓮華牧瀬氏経南無妙法蓮牧瀬氏華経南無妙法蓮華経牧瀬氏牧瀬氏。ぬわーーーーーっ！牧瀬氏自重しる！振り向いた坊さんの顔がことごとく牧瀬氏って！。はぁぁぁ……もうだめぽ。もっかい抜いとこ
紅莉栖,……。……。……。……。……すごい、夢、見ちゃった。……。……。……
ダル,……僕の夢？。……どんな夢だったん？
岡部,お、ダルじゃないか。構内で会うのは久しぶりだな、っと、すまん電話中だっ…………た……か…………？
ダル,オカリン後でマジぶっ飛ばす……！！。なんでもないお、ちょっと切る。僕の健全なるキャンパスライフの為に今は襲い来る視線の数々から逃げなければならない！！
紅莉栖,ご、ごめん、あんた外だもんね。不注意だったわ。でもそうなら言ってくれればよかったのに……
ダル,……ごめん、僕も聞きたかったし、話したそうだったから、遮るのもいやだった
紅莉栖,……橋田……。……じゃあ、さ
ダル,ん？
紅莉栖,今週末……土日。こっちは夜でそっちは昼は変わらないけど、どっちも家に居るよね……
ダル,へ？うん……？ま、まさか！？
紅莉栖,……えへへ
ダル,牧瀬氏も……大概HENTAIだな
紅莉栖,橋田の彼女だもん……このくらいが丁度良いでしょ？
ダル,ふひひ、たしかに
紅莉栖,ふふ……。あと、そうだ。橋田のPCにはカメラ付いてる？
岡部,……Skypeのテレビ電話をご所望かお？
紅莉栖,あはは、バレちゃったか。電話じゃやっぱり我慢できないもん。橋田の顔、見たいよ
ダル,うん……僕も。声だけじゃイヤだ。それにSkypeならタダだしね
紅莉栖,そ。テレビ電話機能はよく遠恋に使われるんだって
ダル,……遠恋でSkypeなんて、テレビの中だけの話だと思ってた。それを僕らはやろうとしてんだな……
紅莉栖,だって……私と橋田は、恋人同士だもん
ダル,……牧瀬氏が、僕の彼女
紅莉栖,実感ない？私も、ちょっとまだ。恋人になったのに会えないからかな
ダル,う、ごめん……僕がもっと早く告白してれば
紅莉栖,あぁもう。それはもういいって。2ヶ月間、この歯痒い感じを楽しむしかないでしょ？
ダル,……そうだな。彼女にそんなこと言われるなんて情けない。今から2ヶ月後が楽しみで仕方ねーお！
紅莉栖,私も！それじゃ授業がんばってね橋田！愛してる！
ダル,ん！牧瀬氏も一日お疲れさま、お休み！愛してるお！
綯,……オカリンおじさん……
岡部,この時期にお前の訪問……ッ！そして左手には封筒……ッ！
綯,は、はい。お察しの通り、家賃を
岡部,ぐっふぅ！よ、よせ綯、近付くな！その封筒には俺の左手の封印を解く呪法が掛けられているんだ！
綯,はぁ……。また始まった……なんだっけ、厨二病？使い所を間違えなければすっごくカッコいいのに……。じゃあ、封筒はここに置いておきますから、お金だけ。めんどくさい……。……何か袋に入れて投げ渡して下さ
岡部,ぐああああ！！ひ、左手が！封印が今にも解けてしまう！逃げろ綯ェェェェェッッ！
綯,……
岡部,うぅぅ……綯に辱められた……
綯,な、なに言ってるんですか。それじゃ確かに頂きましたから。お釣りはここに置いておきますね
岡部,鬼ぃ……悪魔ぁ……萎えぇ……
綯,私の名前が悪口みたいに言うのやめてくださいっ
岡部,萎えぇぇぇぇ…………え？おい綯。白衣は？
綯,え？あ、はい。ラボにいるときはちゃんと大切に着てますよ。か、かっこかりかっこかり連呼しないで下さい！それに、白衣着てるのなんて紅莉栖おねえちゃんとおじさんしか
岡部,シャラァップ！貴様と俺たちとではラボへの貢献度が違うのだよ！同列に語ろうなど愚の骨頂！罰として今すぐ白衣を着ろ！
綯,え、えぇ～、あんまり汚したくないんですけど……
岡部,汚れてこその白衣だ！戦闘服の汚れを気にする戦闘員がどこに居る！ほれ着ろいま着ろすぐに着ろ！
綯,わ、分かりましたよぉ……。こ、これでいいですか？
岡部,うんむ！！！！
綯,嬉しそうだなぁ……。……あ、そうか。紅莉栖おねえちゃんがアメリカに行っちゃったから、もう着る人はオカリンおじさんしか居ないんだ……。……まゆりおねえちゃんに、もう一着お願いしようかな
岡部,む？何か言ったか小動物
綯,何も言ってませんし小動物じゃないです。む、むかつくぅ～……！。……万年白衣厨二病ガリガリ老け顔オヤジ
岡部,
綯,あっ……
岡部,……綯。おじさん怒らないからこっち来なさい。な？こっち来なさいよ。怒らないから
綯,ひ、ひぃぃ……！と、父さ～ん！
岡部,ちょ、おま！ミスターブラウンを頼るのは反則だろ！待てこの腹黒小動物！
ダル,……しあさってだな
紅莉栖,うん……今日が最後のSkypeになるわね。と言っても2週間そっちに滞在したらまたすぐ戻ってくるんだけどさ
ダル,2週間、めいっぱい楽しもうず
紅莉栖,うん。橋田に会ったら、まずぎゅってしたい
ダル,だめだお。僕がする
紅莉栖,ふふ、分かった。ちゅーもしてね？
ダル,うん、僕からする。あわよくばその先にも行く
紅莉栖,ぶっ。……ほんとストレートよね、あんたって奴は
ダル,だってしたいお。牧瀬氏と
紅莉栖,……うん、私も。……そう、綯は無事なのね
ダル,うん、骨折もなかったし、後遺症が残るようなこともないって。術後の経過もぉｋ。今は至って普通に生活してる
紅莉栖,そっか……良かった……
ダル,オカリンが近くに居て良かったよホント。頭打ってたから、早期に処置できてなければヤバかったって
紅莉栖,今回ばかりは岡部GJだわ。リーダーの面目躍如ね
ダル,入院中も付きっきりで看病してたしな……。やっぱあいつは、ラボのリーダーだよ
紅莉栖,そうね……岡部のおかげで私たちの関係もあるんだし。帰ったら労ってあげようかな
ダル,あ、僕にもお願いします！オカリンが居ない間ラボの留守を守ってました！
紅莉栖,はいはい。あんたは別口でちゃんと労ってあげるわよ。みんなに会うの、楽しみだなぁ……楽しみだけど、今年最後のこのSkypeも切りたくないわ
ダル,名残惜しい感じがするよな……。僕、牧瀬氏の顔が画面から消える瞬間が毎回嫌いなんだよね
紅莉栖,私も。味も素っ気もなく橋田が消えちゃうんだもん。こう、消えていく感じとかさぁ、もっと欲しいわよね
ダル,そういうナマの感覚はやっぱ3日後のお楽しみかな。……はっ！
紅莉栖,言わないわよHENTAI
ダル,えぇー今更じゃんか。言ってくれおー
紅莉栖,3日後を楽しみにしてなさい
ダル,ちぇ、分かった
紅莉栖,ふふ、じゃあまた。ばいばい橋田
ダル,うん、牧瀬氏をぎゅって出来るの楽しみにしてるお。じゃね牧瀬氏
まゆり,紅～～莉～～栖～～ちゃ～～～～～ん！！
紅莉栖,ま～～～ゆ～～～り～～～！！
まゆり,紅莉栖ちゃん久しぶりぃ～！ちょっと背大きくなった？
紅莉栖,なるか！もうほぼ成長止まってるわよ！
ダル,……
紅莉栖,そこのHENTAIどこ見てんだコラ！
岡部,よくぞ帰ったクリスティィ～ンナッ！貴様の居ないあいだ我がラボは激しい戦力ダウンに喘いでいたぞ！お前の終生の地は未ガ研にあると知れ！！
紅莉栖,はいはい久しぶりの岡部節は聞き応えあるわね。心配しなくても、ラボは私の第二の故郷よ
岡部,嬉しいこと言ってくれるじゃないの……ラボに来てうーぱクッションをファックしていいぞ
紅莉栖,死ねHENTAI！！綯を面倒みてあげたって言うからちょっと見直してたのに……あ、綯！
綯,紅莉栖おねえちゃん！
紅莉栖,ごふ！ふ、腹部にタックルはよしなさいタックルは。体にも障るわよ？
綯,むぅ、みんなそうやっていつまでも心配する。私もう大丈夫ですよ？
紅莉栖,ふふ、我慢なさい。みんなあんたが大好きなのよ。心配し過ぎなくらいが丁度いいの
るか,お帰りなさい、牧瀬さん
紅莉栖,相変わらず綺麗ねあんたは……ただいま、るか。あれから素振り修行だ愚か者！
るか,はい……60回は出来るようになりました
紅莉栖,……岡部、あんた今度るかと腕相撲してみなさい
岡部,フッ、なな何をばばばかなことを。師匠より優れた弟子など存在しない！！
紅莉栖,その論が真なら人類は衰退していく一方じゃないアホか。そして萌郁さん！シャッター音うるさい！
萌郁,……2ヶ月前と、ポーズ、一緒……
紅莉栖,う、うっさい！どうせ消してないでしょうから今この場で2ヶ月前含めデータを消させてもらうわ！
店長,そこら辺にしとけ萌郁。紅莉栖嬢をからかうな
萌郁,あぁ～……携帯が……
店長,嬢ちゃんもいつまでも面白リアクション取ってねーで学習しな。さてはいじめられっこ体質か
紅莉栖,！？き、禁句！！それ以上の指摘は店長さんと言えど許しませんよ！人の過去を窺うの禁止！
店長,お、おぅ、すまんかった……
フェイリス,必死すぎワロニャ
紅莉栖,留未穂ひさしぶり！今なんか言った！？猫耳引っこ抜くわよ！
フェイリス,やめるニャ！フェイリスの猫耳を外したらアキバに闇の障気が溢れて途端に死のまｔ
紅莉栖,しっかし寒い！日本寒すぎ、夏は蒸し暑くて冬は乾いてて寒いとか誰得よ！
フェイリス,無視すんニャー！
岡部,だからこそ四季を感じられるのだよ。メリケン処女には山紫水明は理解できんかな？
紅莉栖,コンクリジャングルのアキバで白衣男がぶるぶる震えながら何か言ってます本当に(ry
まゆり,オカリンは骨皮筋えもんさんだから、寒さや暑さをダイレクトに感じちゃうんだよね～。もっとダルくんみたいにお肉付けなきゃだめなんだよ？
萌郁,……橋田君は……付けすぎ……
紅莉栖,言えてる。岡部も橋田も両極端よ。あとデブだからって寒さに強いと思うなよって私じゃなくて橋田が言いなｓ
ダル,ｻﾑｲ
紅莉栖,はっ、橋田ァァーッ！？く、くちびる紫ﾜﾛｴﾅｲ！どどどどっかカフェ入ってあったまりましょ！。橋田ぁ～っ！
ダル,牧瀬氏ぃ～っ！
紅莉栖,橋田ぁ……待ちに待った橋田の感触ktkr……あぁ、あったかい……思ってた以上に柔らかい……
ダル,よ、予想以上にピザで悪かったな！牧瀬氏こそ柔らかいっての！
紅莉栖,え！？ふ、太ってはないはずなんだけど
ダル,ｵﾊﾟｰｲが
紅莉栖,HENTAI！……もう。うりゃ、もっと味わえ
ダル,ちょ、そ、そんな押し付けられたら柔らかいところが固くなってしまいますお！
紅莉栖,重ね重ねHENTAI！ふーんだ、固くなっちゃえ、うりうり
ダル,ちょちょ、ちょちょちょ！
紅莉栖,テ、テレビ電話でいろいろしたんだから今さらじゃない。何を恥ずかしがることがある！
ダル,お、男らしー！……牧瀬氏がそのつもりならこっちも！
紅莉栖,ひゃん！い、いきなり胸は、やぁ、ん……
ダル,うひょー！ままま牧瀬氏の胸やらかすぎﾜﾛﾀ……
紅莉栖,も、揉みながら奇声を上げるなばか……あぁん、はしだぁ……
ダル,……ま、牧瀬氏……
紅莉栖,え、ちょ、ほ、ほんと？し、しちゃうの……？
ダル,……
紅莉栖,あ、まってよはしだ……心の準備が、ぁん、ふあ……
ダル,……。……ッス、ストップ！っし耐えた！僕よく耐えた！おぱいの誘惑に耐えてよく頑張った感動した！
紅莉栖,は、んん……あ、あれ、しないの……？
ダル,まずちゅっちゅだお！
紅莉栖,……あはは、そういえばそんなこと約束したわね。流されちゃってたわ
ダル,このままえっちに雪崩込んでももちろんアリだったけど……やっぱまずちゅーしたい
紅莉栖,あんたも根っこは純情よねぇ……。……分かった
ダル,……
紅莉栖,ん……
ダル,……牧瀬氏、愛してるお
紅莉栖,私も……橋田、愛してる
莉栖,…………ちゅ
ダル,……
紅莉栖,んちゅ、……ふぅ、……ん
ダル,ん…………ふ……
紅莉栖,ふあ…………はぁぁ……、はしだぁ……
ダル,キ、キスって、すごいな……
紅莉栖,うん……
ダル,……牧瀬氏……
紅莉栖,もっと……したいように、してもいいんだよ？はしだ……
ダル,……オ、オーキードーキー。え、遠慮なしでやっちまうお？
紅莉栖,うん……来て……
岡部,しまったしまった、この俺としたことが定期を忘れてしまうとは。なんたる不覚。改札前でもたつく恥ずかしさは異常。照れ隠しについ定時連絡をしてしまったぞ。フゥーハハハ。これもシュタインズ・ゲートの選択か……。ん？鍵が開いている？。誰か居るのかー……？
綯,こ、これでいいですか？
岡部,うんむ！！！！
綯,嬉しそうだなぁ……。……あ、そうか。紅莉栖おねえちゃんがアメリカに行っちゃったから、もう着る人はオカリンおじさんしか居ないんだ……。……まゆりおねえちゃんに、もう一着お願いしようかな
岡部,む？何か言ったか小動物
綯,何も言ってませんし小動物じゃないです。む、むかつくぅ～……！。……万年白衣厨二病ガリガリ老け顔オヤジ
岡部,……
綯,あっ……
岡部,……綯。おじさん怒らないからこっち来なさい。な？こっち来なさいよ。怒らないから
綯,ひ、ひぃぃ……！と、父さ～ん！
岡部,ちょ、おま！ミスターブラウンを頼るのは反則だろ！待てこの腹黒小動物！
紅莉栖,と……もうこんな時間か。至、ちょっとコーヒーブレイクしましょ
ダル,んー、紅莉栖は休んでてくれお。僕はもうちょっとキリのいいとこまで……
紅莉栖,そんなこと言って、昼からずっとソースコードと睨めっこしてるじゃない
ダル,んー……
紅莉栖,む
ダル,おわ。ちょ、紅莉栖抱きつくなお。前が見えな
紅莉栖,少しは休めって言ってんのー、ていうか構えこの
ダル,いでで、分かった分かった。休みますから一回離れろって
紅莉栖,だーめ、あんたも抱き返してくんなきゃ離れませんー
ダル,はぁ、世話の焼ける嫁だお……
紅莉栖,えへへ、もっともっと。もっとぎゅーってしてくんなきゃヤｄ
綯,お前らその辺にしとけ
ダルクリ,！！？。すみませんでした……卑猥て……
綯,ほら、倫太郎さんもあのとおり鬱陶しくなっちゃってるし
岡部,あ、もしもしダル殴り代行ですか？はい、はい、主に下半身を。ええ、星屑の握撃もセットで
紅莉栖,新次元の厨二病に罹かっている……
ダル,ダル殴り代行てなんぞ……つかオカリンも綯たんとイチャイチャすりゃいいんじゃねーの？
岡部,ははは、お前分かってて言ってるだろ？笑顔
ダル,ふふふ、もちろんだお笑顔
紅莉栖,疲れてるだろうに、どうして岡部とああいう馬鹿やる元気はあるのかしら。やっぱり男同士だからかなぁ
綯,いくつになっても男は子供、って言いますし。父さんも昔の友人と話すときは可愛らしい少年のような表情ですよ
紅莉栖,小6が実父に対してその発言はどうなんだ……
ダル,ちょ、オオオオカリン、ギブ、まじギブ、死ぬ、このままじゃオチ、オチ……オ……
岡部,ミスターブラウン直伝チョークスリーパーの前に敵はない……！
綯,倫太郎さんの勝ちー
紅莉栖,至もこれでやっと休めるわね。岡部、足持ってやってくれる？ソファに寝かせてあげたいから
岡部,ん、いいだろう
紅莉栖,よしっと……ありがと岡部
岡部,ん？お前もソファに座るのか？というか座れるか？ダルの巨体が端から端まで占拠してoh...
綯,oh...膝枕ですか……
紅莉栖,あはは、こいつこうやって寝るのが好きなのよ。起きてる時にやるとすぐHENTAI行為に走るから、寝てる時くらいは……ね
ダル,すぅ……すぅ……んご、紅莉栖……
紅莉栖,はいはい、私はここに居るわよ。ほら、帽子も脱いで
岡部,なんだこのリア充オブリア充……叩き起こしてぇ……
綯,なんだかお母さんみたいですね、紅莉栖おねえちゃん
紅莉栖,お、お母さん？至の奥さんみたいってこと？ほんとに？えへへ、もっと言って綯ー♪
綯,はいはい紅莉栖おかあさん紅莉栖おかあさん
岡部,紅莉栖、ロシアの件以来おまえ少々ダルを甘やかし過ぎではないか？あまり調子に乗らせるとコイツのことだから際限無く
紅莉栖,別に私は際限なくなってもいいのに、最近はむしろ至の方が引き気味なのよ。ちょっと押し過ぎなのかな……
岡部,
綯,なんというデレデレ。ツン成分はどこ行った。これは明らかにダルおじさんの影響
紅莉栖,そうかなぁ。実感はないけど、私そんなに変わった？
岡部,……あぁ、変わったな。もう昔のツンっぷりは見る影もない
紅莉栖,そう……変わったか。至に変えられちゃったんだ。そっか……
綯,うわぁ嬉しそう。ダルおじさんホント愛されてるなぁ……
岡部,ダル殴り代行ですか？えぇ、今邪魔するのはアレなんで、自宅にいる無防備なとこを狙って(ry
紅莉栖,ねえ至聞いた？私、あんた色に染まっちゃったってさ。ふふ……
綯,ダルおじさん殴り代行ですか？えぇ、今邪魔するのはアレなんで、一人になった時を見計らって(ry
ダル,んん、紅莉栖……
紅莉栖,ひゃっ、おなかに顔押しつけるなっ……！……もう、今だけよ？
綯,ｳﾎﾞｧｰ……いよいよ固有結界を張り始めたよ。お邪魔みたいだし、下行く？
岡部,断る！！リア充にわざわざ気を使うほど俺は人間出来ちゃいない！！
綯,器ちっさー。下行ったら私が膝枕してあげるからさ
岡部,はぁん？そのほそっこい足で？膝枕？まだまだ肉付きの足りてない小房が？俺に？膝枕？
綯,……へぇ、わざわざそっちの方向で喧嘩売ってくるんだ、へぇ～
岡部,……しまった
綯,本当に肉付きが足りてないか……確かめてみる？倫太郎さん……
岡部,ぐううっ！？あ、相変わらず小学生のする目じゃない！
綯,ねぇ……ほら、ここ、触ってみなよ。ちょっと撫でるだけ、指を滑らせるだけでいいから……
岡部,中の人はおばさん中の人はおばさん中の人はおばさん中の人はおばさん中の人はおばさん
綯,途中から口に出てるぞコラ。別に中の人おばさんじゃないってば。そりゃ倫太郎さんよりは年上だけど
岡部,で、ほんとは何歳なんだ？
綯,女性に年を聞くんじゃありません
岡部,ほら、教えてくれないじゃないか。おばさんかもしれんだろ
綯,だから違うといっとろーが……
岡部,というよりな、お前を脳内でおばさん扱いしていないと、ﾀｲｰﾎ的な意味で俺の危険が危ないんだ
綯,……ほう？色仕掛けはそれなりに効果あるわけね？ほうほう。それってもうちょっとでオチそうですーっていう自供？
岡部,そ、そんなわけあるかそんなわけあるかそんなわけあるか！
綯,必死すぎﾜﾛﾀ。……ま、”本気”はまだ出さないでおいてあげるわよ
岡部,ｿﾞｸｯ……い、今なにか言ったか綯。背筋が凍えたんだが……
綯,気のせいじゃなーい？
岡部,……それで、綯
綯,お？久々のマジ声
岡部,茶化すな。あれから夢はどうだ
綯,相も変わらず。ま、仕方ないよ。これが私に課せられたリスクってことでしょ
岡部,……目元のクマも、その内メイク程度では隠せなくなるんじゃないか。綯！
綯,……
岡部,……俺は本気で心配してるんだ。頼むから、茶化さないでくれ……
綯,……
