プロデューサー,以下P
育,前に麗花さんがね、わたしがお仕事で一人で困ってたときにお仕事は楽しくやっていいんだよって教えてくれたことがあるの。でも最近のPさんは、全然楽しそうじゃない気がする。わたしの前では笑ってくれるけど、なんかいつもとちがう感じがして…。Pさん、わたしにお芝居のお仕事をさせるために、いっぱいがんばってくれてるはずだよ。それできっと、無理してるのかも。ねぇまつりさん、わたしどうしたらいいと思う？まつりさんならPさんのこと、元気にしてあげられる？
まつり,お姫様にはエスコートしてくれるナイト様が必要なのです。Pさんはまつりたちのためなら、たとえ火の中水の中なのです。どうしてそんなに頑張れるのか。それはきっと、ナイト様であるPさん自身が、誰よりもお姫様を必要としているから……なのかもしれないのです
育,どういうこと？
まつり,育ちゃんが普段どおりわんだほー！なお姫様でいてくれれば、それだけでPさんはきっと元気になるのです
育,ほんと？
まつり,765プロのお姫様たちはみんなぱわほー！な魔法を使えるのです。育ちゃんもその一員なのですから、ね？
育,うん……そうだね。ありがとうまつりさん！じゃあ……レッスンが始まるまで、わたしの演技見てもらってもいい？
まつり,お安いご用なのです♪
桃子,お姉ちゃん、ちょっといい？
P,えっ桃子――どうしたのこんな時間まで。レッスンならとっくに終わったはずじゃ
桃子,それはお姉ちゃんだって同じでしょ。帰ろうとしたけど、律子さんとロコさんが何かの書類を作ってるのを見かけて訊いてみたら――。お姉ちゃんのお仕事を手伝ってるっていうから、桃子も手伝ってきたの
P,そう……ごめんね。遅くさせちゃったから、私が車を出すよ。こんな時間に一人で帰らせるわけにはいかないもの
桃子,いいよ。律子さんが送ってくれるって言ってたし、それにお姉ちゃんまだお仕事片付いてないんでしょ。まったく…
P,それは、そうだけど…
桃子,…ねぇお姉ちゃん、今までなんとなく訊いちゃいけない気がして訊かないようにしてたんだけど――もうそんなこと言ってられない。お姉ちゃんって……昔、役者さんだったんでしょ？
P,……どうしてそう思ったの？
桃子,そうなのかもって思ったのは、前に夜想令嬢の稽古を見学させてもらったとき。千鶴さんも、莉緒さんも、恵美さんも、朋花さんも、昴さんも……みんな初めての通し稽古とは思えない立ち振る舞いだった。まだ舞台監督さんともちゃんとすり合わせてないのに……あれはどう考えても、お姉ちゃんの教え方が良かったからだよ
P,教えるのが上手いからといって経験者とは限らないでしょう。逆も然り
桃子,もう屁理屈言わないで。ごまかしたところで、どのみち桃子は事実だって思ってるんだから。このまま黙ってるか本当のことを言うか、どっちかにして
P,……ええ。その通りだよ。私は女優――いいえ正確には“女優を目指していた人”だった
桃子,目指していたって……結局女優にはなれなかったってこと？
P,切符は手に入れたし、列車にも乗り込めた。ただ目的の駅まで辿り着く力がなかった。それだけのことだよ。それで進路に困っていたときに、大学の先輩――765プロの前のプロデューサーが誘ってくれて……後は桃子も知っているとおりだよ
桃子,そう……なら、隠していたのはどうして？
P,隠してたというか、夢を追いかけてる女の子を支える仕事を、夢を諦めた女がやってるっていうのもちょっと変な話でしょ。まあそんな感じで――
桃子,弱いところを見せたくないからだね
P,……言ってくれるね
桃子,初めてデコレーション・ドリ～ミンッ♪の歌詞を読んだとき……どうしてこんなに桃子の気持ちを言い当ててるんだろうって、不思議だった。作詞家さんにそれとなく訊いたら、プロデューサーさんからの発注通りにイメージを膨らませただけなんだって教えてくれた。まだ出逢ってそんなに経ってないのに、あそこまで桃子の心を見透かせたのは――お姉ちゃんが桃子に似てるからだよ。だから桃子に隠し事したって無駄だよ。お姉ちゃんがもう限界に近いことくらい、桃子にはお見通しなんだから
P,そこまでお見通しなら、私が必死になる理由もわかってるはずだよ。大丈夫、今が頑張り時なんだ。峠さえ越せばちゃんと休むから
桃子,…桃子は、悔しいけど育みたいに強くないし、辛い目に遭ってもあんな風に振る舞えない。それはきっとお姉ちゃんも同じでしょ。育はいつか必ず自分の夢を叶えるよ。誰が無理だと笑っても、絶対に……。でもそのためには、お姉ちゃんの力が必要なんだよ。今ここでお姉ちゃんが潰れちゃったら、誰が育の夢を支えるの？いくらあの子が強くてもそれだけじゃどうしようもないって、お姉ちゃんならわかるでしょ。桃子たちにはなんでも相談しろって言うくせに、何勝手に一人で背負い込んでるの？……自分を大事にしないなら、許さないんだから
P,桃子……。…そうだよ。初めて出逢った面接で、あなたの目の奥から助けを求めるような色を感じて、かつての私にそっくりだと思った。だから業界での悪評のせいであなたの獲得に消極的だった先輩を私が説得した。意外に思うかもしれないけど、育のオーディションのときは、逆に私が説得されたんだよ
先代P,なあ、今の子のこと、君はどう思った？
P,中谷育ちゃんですか――歳の割に受け答えもしっかりしていて、笑顔も可愛らしい子でしたね。ただ、10代前半では既に採用が決まっている箱崎星梨花ちゃんがいます。彼女と並んだときに見劣りしないかといえば、私は正直微妙だと思います
先代P,それはどうかな？習い事をたくさんしているみたいだし、基礎能力も高いと思うけどな
P,幼くしてこういうオーディションに出てくる子は大概そういうものですよ。最終的に物を言うのは、一目で見る者を惹きつけられるインパクトかと
先代P,俺は惹きつけられたぞ。というか、絶対にあの子を囲っておくべきだ。間違いなく大物になる。誰かの太陽になれる子だ
P,太陽……ですか？
先代P,一緒に過ごすようになればきっとわかるようになるさ。君も彼女と一緒に成長していけばいい
P,……。音無さん、遅くまでお疲れ様です。まだ事務所に明かりがついていたので驚きましたよ
小鳥,お互いさまですよ。Pさんこそ、このところ働きづめじゃないですか。少しくらいご自分を労ってあげてくださいね
P,ええ。今の仕事が一段落したら、そうさせていただきます。あっ例の舞台装置の発注関連の書類、仕上がったのでこちらに置いておきますね
小鳥,まあこんなにたくさん…
P,いえ。ほとんどロコや律子がまとめてくれたんです。私がやったのは文章の最後の仕上げ程度で。みんなにも気を遣わせてばかりで、申し訳ないですね
小鳥,とりあえず掛けてください。今、お茶を淹れますね。どうぞ
P,いただきます
小鳥,……その鞄も、すっかりくたびれてきましたね
P,確かに……。営業先の印象も良くないかもしれません。明日の帰りにでも新しいものに買い換えようかな
小鳥,いえ、そういう意味で言ったんじゃありません。働き者の勲章だな、と思って。ウフフ
P,……育は、この鞄を大人っぽくてかっこいいって言ってくれました。私が、自分の夢に区切りを付けるために買ったこの鞄を
小鳥,そうですか
P,ガラじゃないってわかってるんです。こんなデキるキャリアウーマンぶったもの……。私の本質なんて、夢見がちな小娘の成れの果てです。でもそのままじゃ誰かの夢を支える仕事なんてできるわけないと思った。だからこの鞄を選んだんです。現実に負けてただ泣いているだけの駄々っ子を封じるために…。そんな後ろ向きな理由で使っているものを……それを使っている私を……あの子はかっこいいって言ってくれたんです。救われた気がしました。同時に改めて決意が湧きました。あの子の思いに報いたい、その夢を叶えるために戦えるかっこいい女になりたいと…
小鳥,あなたは十分、戦っていると思いますよ
P,いいえ、全然ダメですよ。…以前エンジェルスターズ18人全員での公演の日に、ファンの方がこんなことを話していたんです。今日はエンジェルスターズみんなのライブなのに、どうして育ちゃんがいないんだろう――って。その人たちは、育の所属チームを間違えて覚えていたみたいです。パーソナルカラーがイエローだから、仕方ないのかもしれませんが。私のマーケティングの至らなさを痛感しました。PrincessBeAmbitious!!のダンスを一生懸命練習する育の姿が浮かんで、情けなくて…
小鳥,育ちゃん、あの曲が大好きですものね
P,はい。この歌詞みたいな強いお姫様になりたいっていつも言っています。それはまさに、私がプリンセススターズに托したテーマとも合致していて
小鳥,ただ王子様に助けてもらうだけじゃない、新しい時代のお姫様像――ですね
P,どうしてもあの子を、本物のお姫様にしてあげたい。育がお芝居の仕事をしたいと言い出したときは、その良い機会になると思いました。なのに……なのに私は、門の狭いオーディションを受けさせるのが精一杯で、それ以外に何もしてあげられない…。今後を考えれば、勝ち抜けなかった経験だって財産になるのはわかってます。だけどこのところ、この件では理不尽な目にばかり遭わせていて。まさか私は、あの子にかつての自分と同じ思いをさせようとしているのか。あの子の未来を信じる純真な笑顔を、打ち砕くつもりなのか。音無さん……私、今のままじゃ育にも、みんなにも顔向けできません。みんなの夢を支えるかっこいい女は、今ここにはいません
小鳥,どうやらそのようですね。だけどそれも、“今は”ですよね
P,はい。長話に付き合わせてしまってごめんなさい。けど……少しだけ肩の荷が下りた気がします
小鳥,よく話してくださいました。だから今夜はもう少しだけ、弱い女のままでいてください。あなた自身のため、そしてあなたの愛するみんなのために
P,やっぱり音無さんには敵わないな……先輩も昔は、こうやって甘えたりしてたんですか？
小鳥,ウフフ、それはお姉さんの秘密ですよ。当然今夜のこともみんなには内緒にしておきますから、ね？
P,わかりました……
小鳥,いっぱい泣いたら、またいつものあなたに戻ります。だってあなたは、そういう人ですから
春香,Pさん、起きてください。Pさん
P,ん……春香、律子、なんで――ってそうだ。私事務所に泊まって…
律子,まったく……あの後気になって小鳥さんに連絡したらPさんが事務所に泊まるって聞いたので、朝一で様子を見に来て正解でしたよ
春香,でもその様子だとちゃんと睡眠は取れたみたいで良かったです。ソファの上ですけど…
律子,さあ、早く顔洗ってお化粧してきてください。仕事の準備は私がしておきますから
春香,じゃあ私、朝ご飯作ってきますね。おまちどうさまです。ササッと作らなきゃってことで簡単になっちゃいましたけど
P,ありがとう。…二人とも心配かけてごめんね。私が泊まってなきゃ、こんなに早く来ることもなかったでしょ
律子,いいえ。今日は私も春香も定期公演の本番ですから、当初から朝練をする予定ではいたんですよ
春香,私と律子さんはテレビ番組の収録が重なって、なかなかレッスンの時間を取れませんでしたから
P,でも春香は家が遠いのに……まさか始発で来たんじゃない？練習もいいけど、本番に響いたらそっちの方が心配だよ
律子,確かに、春香はこのところちょっと張り切り気味かもしれませんね。まあ張り切っているといえば、全員なんですけど
P,そっか。みんな須五井プロ劇場の件を気にして…
春香,…それは当然ですよ。みんなの大切な劇場のピンチに、何もしないわけにはいきませんから
律子,まあ私の分析によると、このピンチは近いうちに解消されるはずですけどね
春香,えっ、どうしてですか？
律子,考えてもみて春香。須五井プロは少数精鋭がモットーの事務所。劇場に登壇するアイドルも既に売れっ子の10人のみ――みんな多忙な日々を過ごしているはず。そんな彼女たちが果たして、そう頻繁に集まって定期公演を行い続けることができるかしら？
春香,――あっ、そっか！
P,律子の言うとおりだよ。普通アイドル劇場っていう形態は多人数で回すもの……だけど須五井の方針なら練習生に正規タレントと同じ舞台を踏ませることは絶対ない。私の見立てではあの劇場はそのうち、アイドル以外の舞台やライブにも使われる多目的ホールにリニューアルされるんじゃないかな
春香,ちょっと待ってください。じゃあPさんはそれをわかっていて私たちに須五井プロ劇場のことを黙っていたんですか？
P,ええ。ライバルとしては端から眼中になかったけど、相手は大手だし大々的な宣伝をするからその喧騒にみんなを置きたくなかったの。私と因縁のある事務所でもあるし、それがバレた場合気にする子はとことん気にするだろうから
律子,まあさすがの桃子もP殿が須五井プロの練習生だったってところまでは見抜けなかったみたいですけど
春香,うぅ……もう、みんなほんとに心配してたんですからね！育ちゃんのオーディションのことと重なって、劇場の空気も重くなってたし
P,春香……そっか、あなたを板挟みにしちゃったんだよね。本当にごめんなさい。私の過去は知ってても、須五井プロ劇場のことは知らなかったんだものね。でもそれだけ春香がみんなのリーダーでいてくれてるってことだよね。ありがとう。先輩が今の春香のことを知ったら、きっと喜んでくれるよ
春香,も、もう……そうやってすぐ乗せてくるんですから…
律子,それで今日の育のオーディションですけど、手応えはありそうですか？
P,手応えとなると正直今までで一番厳しいと思う。今度のは、不治の病に冒されて闘病の末亡くなってしまうという役どころ……育のイメージとはかなり離れている
律子,ならどうして受けさせることにしたんですか？もっとも、イメージに近い役は既に片っ端からあたった後でしょうけど…
P,オーディションでの課題が、なぜか発症前の元気な頃のシーンばかりなの。その課題に対してなら育の個性は抜群に活きる。その一点に賭けようと思って
律子,どうやらそこに勝ち抜くヒントがありそうね……けど人事を尽くして天命を待つ、ですよ
春香,私だって今まで色々ありましたし、育ちゃんならきっと大丈夫です。何かあっても、私たちみんなが味方ですから
P,うん。二人の気持ちはしっかり受け取ったよ。今日の定期公演、くれぐれも怪我のないように頑張ってね
志麻子,あら、あなたは確か……中谷さんでしたっけ？
育,耳度志麻子ちゃんだ！こんにちは。志麻子ちゃんもこのオーディション受けるんだね
志麻子,ええ。キボンヌ国際映画祭で好評を得た飯花市撮男監督の最新作ですからね。出演が叶うとしたら名誉なことです。お互い頑張りましょうね
P,飯花市監督は大規模スポンサーの絡む超大作は手がけない。でも国際映画祭にエントリーする作品に出演できれば役者にも箔が付く
天斎演美の母,良いかしら演美ちゃん、1秒で泣いて100万人を泣かせるあなたの力なら必ず勝ち上がれるわ。平常心で臨みましょうね
天斎演美,ええママ、わかっているわ。私は選ばれし者――この世界に感動をもたらすために生まれてきたのだから
P,どおりでどこの事務所も絶対的エースを送り込んでくるわけだ。これは本当に厳しい戦いになりそうね
育,Pさん、だいじょうぶ？
P,育――ごめんごめん、私が緊張したってどうしようもないのにね
育,緊張してるなら、わたしが手をつないであげるね！わたしの初ライブのときもそうしてあげたでしょ？ほら、手を出して
P,フフッ、そうだったね。ありがとう、育
育,Pさんの手、指が長くてきれいだよね。おかあさんの手も好きだけど、わたしPさんの手も好きだよ
P,ありがと。ほんと、育の手は柔らかくてあったかい――こんな風に、これからもたくさんの人の心をあたたかくしていこうね
育,うん！
P,育は緊張してない？
育,えっと……ちょっと緊張してたけど、もう平気。それに志麻子ちゃんたちみたいなすごい子と一緒に競い合えるのが嬉しいから
P,よし、それじゃあ行っておいで。精一杯楽しんできてね
育,うん。いってきます！
P,えっ、飯花市監督――せ、先日はどうもお世話になりました。合格……あ、ありがとうございます！こちらこそよろしくお願いいたします。ええと、それじゃあ……どうして中谷を起用したいとお考えになったのですか。いえあの、そういうことではなくて…。それで、中谷を…。まあそういうことなんだろうけどそこはオブラートに包んで欲しかったな
育,そっか……この役のモデルになった女の子がいたんだね
P,うん。ちゃんとした治療法がまだないこの病気の研究が少しでも進むように――それがこの映画に携わっている全ての人の願いなんだ
育,じゃあ、映画が少しでも多くの人に観てもらえたら……誰かが助かるかもしれない？
P,今の頑張りがすぐ結果に結びつくわけではないけど、近い将来必ず道は拓ける。私はそう信じているよ
育,わたしも信じたい！Pさん、わたし他の共演者さんやスタッフさんたちといっしょに、力を合わせていい映画を作るからね！
P,遠くの誰かの希望になる――そういうの、育は得意だもんね
育,うん！だってわたしは世界に輝く愛の結晶――
P・育,――魔法少女トゥインクルリズム！
P,私もコレ、好きだよ。辛いことがあっても、これやると不思議と元気が出るんだよね。きっと育が使える本物の魔法みたいなものじゃないかな
育,Pさんも、子供の頃は魔法少女好きだったの？
P,もちろん。戦う女の子はみんなの憧れだもの。こう見えて私、語らせると長いんだからね
恵美,うぇぇ～ん、琴葉ぁ、エレナぁ……アタシやっぱ観るの無理だよ～
エレナ,もー、メグミってばなんで映画観る前から泣いてるノ？
恵美,だって映画の中とはいえ育が死んじゃうんだよ？想像しただけで悲しすぎてもうダメだよ～！
琴葉,屋根裏の道化師のときも一人殺されるたびに客席で頭抱えてたって言ってたね……でもせっかくの育ちゃんの晴れ舞台なんだから、ちゃんと観てあげなきゃ
エレナ,しょうがない。悲しくなったらワタシがハグしてあげるヨ！
このみ,あら、琴葉ちゃんたちもこの映画館だったのね
琴葉,このみさん、莉緒さん
莉緒,奇遇ね。…といいたいところだけど、確か上映館は都内だと3ヶ所だけだったわね
このみ,まあ単館系映画だもの。それでもお客さんの入りは上々って感じね
エレナ,イク、ライブのMCやブログでも映画のこといっぱい話してたからネ
恵美,きっとファンのみんなも育の気持ちを受け取って、たくさん口コミしてくれたんじゃないかな。アタシも友達にいっぱい力説したよ！
莉緒,おっと、あんまり話し込んでるとファンの人たちに見つかっちゃうかもしれないわね
琴葉,そうですね。他のみんなもいずれ観に来るはずですし、目立たないように早めに入場しちゃいましょうか
P,もうすぐ舞台挨拶が始まる…。主人公夫妻の娘役の育も、当然コメントを話すわけだけど――。できるだけ多くの人にこの映画の意義を伝えるにはどうすればいいか。正直、今の段階では作品の注目度が低いだけに、ニュース記事もそう量を割いてはもらえないはず。育がどれだけ一生懸命喋ったとしても、新聞や映画情報サイトの片隅に一行載るかどうか…
司会,それでは飯花市監督、そして出演キャストの皆様に登場していただきましょう！みなさん盛大な拍手でお迎えください
P,それでも今日ここに集まってくれたたくさんのお客さんたちがいる。育の言葉は、彼らの心に必ず届くはず……私も信じよう
育,――みなさんこんにちは。木峰蔦恵役の中谷育です。最後まで映画を観ていただいて、ありがとうございます。えっと……わたしはこの映画のお仕事に入る前に、おかあさんたちと一緒に、蔦恵ちゃんの病気のことを勉強しました。病気や入院中の治療のことについて知るたびに、蔦恵ちゃんはとっても辛い日々を過ごしていたんだなって感じました。でも撮影が始まる少し前、蔦恵ちゃんのお父さんお母さんとお話しすることができて、少し考えが変わりました。蔦恵ちゃんはわたしと同じで魔法少女アニメが大好きで、アイドルが出ている歌番組を毎週観ていた、そういう普通の女の子だったそうです。お話を聞いていると、だんだん蔦恵ちゃんとお友達になれたみたいで嬉しくなりました。魔法少女はみんなに希望を届けます。わたしは蔦恵ちゃんと一緒に、この病気で苦しむ人の希望になりたい――そう思って撮影をがんばりました。映画を観てくれたみなさんにも、蔦恵ちゃんがとっても素敵な女の子だってこと、きっとわかってもらえたと思います。蔦恵ちゃんはこれからもずっとわたしの大切なお友達です。みなさんも今日から蔦恵ちゃんとお友達になってもらえたら嬉しいです。ありがとうございました！。おはようございます、Pさん！ねぇ、今日は何の日か覚えてるよね？
P,もちろん。お誕生日おめでとう、育。――はい、これ。プレゼントだよ。開けてみて
育,――わぁっ、お仕事バッグだ！すごい、猫さんの刺繍が入ってる！かわいい～！
P,前に書類が入るような大人のバッグが欲しいって言ってたよね。ちゃんとリクエストにお答えしましたよ
育,ありがとうPさん！……でもこのバッグ、いつもPさんが使ってるのと結構違うよね。刺繍はかわいいけど、ちょっと子供っぽいような
P,そうかなぁ。だってそのバッグ、私も同じの持ってるよ？ほら
育,ええっ！？いつものバッグはどうしちゃったの？
P,大分くたびれてきてたから、育のプレゼントを探すついでに新しいのに買い換えようと思って。気に入ったからお揃いにしちゃった
育,でもPさん、はずかしくないの？だっていつもの真っ黒のバッグの方が大人っぽいのに…
P,こうやって自分の好きなものをワンポイントであしらうのも大人の嗜みなの。一つ大人になった育ならこのこだわりをわかってくれると思ったんだけどなぁ
育,おとなのたしなみ……そうなんだ。そっか、風花さんも猫大好きだもんね
P,そうそう。まあ私とお揃いがお気に召さないなら、プロデューサーの仕事では使わないようにするけど…
育,ううん、おそろいでだいじょうぶ！わたし、いつかこのバッグが似合うような素敵な女の人になるからね！
P,さあ、行きましょう。みんなきっと誕生日パーティーが待ちきれなくてうずうずしてるだろうから
育,それじゃあ……はい、Pさん
P,なぁに？手を繋ぐの？
育,まつりさんが言ってたよ。お姫様にはエスコートしてくれるナイト様がいるんだって
P,エスコートって――わかった。お迎えに上がりました姫様。白馬ではありませんが、よろしいでしょうか
育,平気だよ。だってお姫様は強いんだよ。自分でお馬さんに乗って、だれかを乗せちゃうんだから
P,アハハ、そうだね。育、これからもよろしくね
育,うん！
