藤居朋,あたしのカード達、今日もありがと！
朋,むしろ、どうやって？
あい,私達も探している所だ
肇,はい
あい,君は第一発見者だが、本来はいるはずのない人物だ
朋,いや、そうだけど……
あい,君によって事件が引き起こされた、そう考えるのも無理はないだろう？
朋,でも、それとこれとは違うじゃない
あい,何がどうなったら、違うのかな
朋,これじゃ、禅問答ね
あい,なに、難しく考えることはない
肇,はい。私達は調査を続けて、真相を明らかにします
朋,ええ、真相を明らかにして欲しいに決まってるでしょ
あい,許可はいただいた
肇,お時間をいただき、ありがとうございました
あい,君が言わないなら、こちらで君を含めて事件を調べさせてもらおう
朋,やっぱり、全力であたしのことを疑ってるじゃない！
肇,全てを疑うことが仕事ですから
朋,あたしも占い師の端くれだし、評判が落ちるのはイヤだわ
あい,なら、どうするのかな
朋,じゃあ……そうね……。むぅ……あたしの雪菜ちゃん、どう思う？。あの刑事さんをあたしから遠ざけるためには。だけど、厳しいわ。三船さんの状況もわからないし、取り調べは出来ないし。そっちの方が難しいわね。犯人がいるなら、見つける方が楽よ。それぐらいしかないわね。あたしの雪菜ちゃんは甘えさせようとしてくれるのね。こんなことで久しぶりに話したくなかったわ。占い師になることは反対派なんだから。明かりがついてるわね、あたしの部屋に。確かめないと。ええ。明かりをつかっているなら、部屋側にいるはず。なにか音がするわね……。そーっと……ドアを開けて……。黒髪のポニーテール、エキゾチックな雰囲気に、エプロンが凄い似合ってたわ、あんな奥さんが欲しいわね……ん？
雪菜,朋ちゃん
朋,あたしの雪菜ちゃん、ちょっと静かに
雪菜,もう、違いますよぉ。とーもちゃん、つんつん♪
朋,ほ？
雪菜,ばぁ♪
朋,ふひゃあ！。びっくりしたわよ！
杉坂海,あんなに腰抜かすことないのにさ
井村雪菜,ドッキリ大成功ですねぇ
海,朋、手は洗った？
朋,洗ったし、部屋着にも着替えたわ
海,それじゃあ、いただきます
雪菜,いただきまぁす
朋,いただきます！海ちゃんが全部作ったの？
海,ご飯とお味噌汁と煮魚はそうだよ
朋,美味しいわ！さすが、海ちゃんね
海,ありがと、朋
雪菜,朋ちゃんのお母さんが煮物とかを持たせてくれたんですよぉ
朋,ふんふん、確かに実家の味がするわ
雪菜,どうですかぁ？
朋,いつもの味で安心するわ。ところで
海,なに？
朋,どうして、二人がここにいるわけ？
海,朋のお母さんから連絡があったんだ
朋,それじゃあ、何があったか聞いてるの？
海,うん。大変だったね
雪菜,朋ちゃんのお母さんから、様子を見るように頼まれたんですぅ
海,カギは借りて来たんだ
雪菜,入り方も教えてもらいましたぁ
朋,近くもないのに、お母さんはとんでもないお願いするわね……
海,まーた、うちの娘がやらかしたって言ってたよ
朋,あたしは何にもしてないわよ！？
海,わかってるさ
雪菜,信じてますよぉ
朋,海ちゃんと雪菜ちゃんはわかってくれて、あたしは嬉しいわ
雪菜,何かあったんですかぁ？
朋,なんか刑事に疑われてるのよね。凄いしつこいのよ
海,朋を？
雪菜,朋ちゃんをですかぁ、ふふ
朋,笑う所かしら？
海,朋が犯人だったら、すぐにわかるよ
雪菜,そうですねぇ
朋,自分でもそう思うわ。占い師としてはもう少し抑えたいのだけれど
海,朋が占い師だから、疑ってるのかもしれないね
雪菜,ニコニコ顔は無表情よりも隠し事がしやすいと思いますぅ
朋,そういうことなのかしら
海,わからないけどね
雪菜,今日の朋ちゃんは、いつもよりも表情が硬いですよぉ
朋,そう？
海,うん。食欲はありそうだけど、疲れてる？
朋,そうね、色々あったし。原因の３割は事件だけど、５割はあの刑事達のせいね
海,そっか
朋,なんだか、疲れたわ
海,仕方ないよ。朋は良いことをしたんだから、落ち込まないの
雪菜,うんうん
朋,そうかしら
雪菜,偶にはそういうこともありますよぉ
海,全部上手く行くわけなんてないんだ
雪菜,成功じゃなくても良いことをしたなら、きっと報われるんですよぉ。誰かがきっと見てくれてます
海,すくなくとも、ウチらはそう思ってるからさ
朋,……うん
雪菜,明日はお休みなんですよねぇ？
朋,休みを取らされたわ。二人は？
海,明日の朝には帰るよ
朋,そっか
雪菜,だから、泊っていってもいいですかぁ？
朋,もちろん！久しぶりに話したかったから、嬉しいわ
海,朋、全然帰ってこないんだから
雪菜,お父さんとお母さんが寂しがってましたよぉ
朋,まぁ、それはねぇ。占い師になるなんて、賛成する親なんていないわよね
海,仕事はどう？
朋,まあ、ぼちぼちってとこ。自分で言うことじゃないけど、評判は悪くないわ
雪菜,朋ちゃんの占いは当たりますからねぇ
海,スカウトが来たのにはびっくりしたけど
朋,まだまだ勉強中だけどね。そうだ、海ちゃん、お願い事があるんだけど
海,お願い事？
朋,占いの衣装、オリジナルが欲しいの
雪菜,へぇ、素敵ですねぇ
朋,海ちゃん、作ってくれないかしら
海,朋……
朋,あれ、ダメだった？
海,朋が服装に気をかけるようになるなんて……ウチは嬉しい
朋,あたしは一人暮らししてる男子学生じゃないわよ？
海,冗談だよ。考えてみるね
朋,やった。急ぎじゃないから、ゆっくりでいいわ
雪菜,リクエストとかあるんですかぁ？
朋,そうね、やっぱり紫がいいわ
海,占い師っぽいし、朋らしいね。わかった
朋,ありがと、海ちゃん
海,お味噌汁、おかわりいる？
朋,ちょうだい
海,いっぱい食べて、ゆっくり休みなよ
雪菜,そうですよぉ
朋,ありがと。でもね、一番の薬があるの
海,なにかあった？
朋,二人と話すこと。なんだか、元気が出てきたわ！。ベッド使っていいのに
海,家主を差し置いて使うわけにはいかないよ
雪菜,朋ちゃんこそ気を使わなくていいですよぉ
朋,あたしはいいの。せっかくだから、美人と添い寝する権利を貰うわ
海,なに言ってんだか
朋,川の字も悪くないわ
雪菜,ふふ。ねぇ、朋ちゃん
朋,何かしら
雪菜,朋ちゃんの中の私達は元気ですかぁ？
朋,聞かれてた？
雪菜,はい
朋,元気よ。でも、なんか違う気がしてたから会えてよかったわ
雪菜,そうなんですかぁ？
朋,海ちゃんはやたらに甘々だし、雪菜ちゃんはメイクとかに執着しすぎになっちゃった
海,甘やかされたいの？
朋,海ちゃんに甘やかされたくない人間なんていないわ
海,甘やかしてはあげないよ。自分でがんばらないといけない時も絶対あるからさ
朋,ありがと。やっぱり、どんなに想像するよりも目の前にいる人の方が魅力的だわ
海,その癖、やっぱり残ってたんだね
朋,むしろ、こっちに来てから増えたの。占いの練習にもなるし
海,ウチらが近くにいたからさ、することもなかったんじゃないのか
朋,そうかもしれないわね……そう考えると、なんだか寂しがりみたいじゃない
雪菜,そうじゃないんですかぁ？私は朋ちゃんが一人暮らしを始めてから寂しいですよぉ
朋,寂しがり屋じゃなくても、寂しいわ
海,うん、誰だってそうさ
朋,でも、大丈夫よ。頼れる先輩もいるし、こうやって押しかけてきてくれる友達もいるわ
雪菜,うん
朋,占い師として皆のためになることをしていきたいわ。一つでも多くね
海,そうだね
朋,だから、決めたわ
雪菜,決めた？
朋,三船さんのために、事件を解決してみせるわ。だって、大切なお客様だもの。名付けて
海,名付けて？
朋,占い師探偵藤居朋！
雪菜,うーん……
朋,微妙だった？
雪菜,心がけはいいと思いますよぉ。ネーミングはまぁまぁ？
朋,まぁまぁ、ならいいかしら。いいことにするわ
海,朋、無理はしちゃだめだよ？
朋,わかってるわ
雪菜,ふあぁ……
朋,寝ましょうか。狭いけど、ホントに大丈夫？
海,問題ないって。朋、おやすみ
雪菜,朋ちゃん、おやすみなさい……
朋,おやすみー
雪菜,お休みなのに早く起こして、ごめんなさい
朋,大丈夫よ。いつもより良く眠れたわ
海,冷凍庫に常備菜を入れといたから、食べて。健康と火事には気をつけるんだよ
朋,海ちゃん、発言がオカン過ぎるかな
海,ウチのことはいいから。いいね？
朋,はーい
雪菜,朋ちゃん、ばいばーい
海,またね、朋
朋,ばいばーい。次に帰省する時は連絡するから。……。よしっ、占い師探偵をはじめましょうか。そうよ、あたしの海ちゃん。会社の人とか昨日の友達とか見つけられるといいわね。昨日の店員さん、いるでしょ？。昨日の刑事も来てるし、話が通じやすいはずよ。朝のコーヒーでも飲みながら、聞いてみるわ
瞳子,いらっしゃいませ。こちらのお席へどうぞ
朋,お邪魔するわ。ホットコーヒーをちょうだい
瞳子,かしこまりました
朋,それと
瞳子,なんなりと
朋,話を聞いていいかしら
瞳子,話、ですか……？
朋,三船さんのことを聞きたいの。名刺だけ渡しておくわ。今度はお店に来てね！ばいばーい。狙い通りね。ビルの管理者にも許可は貰ってるし、バッチリよ。あっ、こんにちは！占いはいかがですか？
衛藤美紗希,こんにちはぁ
朋,お昼帰りですか？
美紗希,そうですぅ
朋,お時間あったら、占わせてくれませんか？
美紗希,修行中なんですかぁ？
朋,ええ。普段は占い館で働いてるけど、武者修行中なの
美紗希,うーん、ちょっと時間があるからいいですよぉ♪
朋,ありがと！それじゃあ、そこに座ってくれる？
美紗希,はぁい。どんな占いなんですかぁ？
朋,手相とタロットカードのどちらかね。タロットカードはホンモノじゃないけど
美紗希,ニセモノ？
朋,一応出来るけど、信頼度はないわね。雑貨屋で買って来た安物だし
美紗希,へぇ、占い師さん用のタロットカードがあるんですかぁ？
朋,カードに罪はないけれど、パワーが足らないわね。占い館に来てもらえば、本当にタロットで占えるわ
美紗希,こだわりがあるんですね
朋,そうそう。名刺渡しておくわね
美紗希,ありがとうございますぅ。藤居朋さん？
朋,よろしくね。手相占いにしましょうか。経験ある？
美紗希,ないですぅ。お願いしますぅ♪
朋,はーい。それじゃあ、手を出してください
美紗希,どうぞ
朋,お姉さん、利き手は出してくれた方？あと、名前を教えてもらっていいかしら？
美紗希,左利きですよぉ。名前は衛藤美紗希です
朋,衛藤さんね、お仕事はなにしてるの？
美紗希,事務とかいろいろですよぉ。開発もやってますぅ
朋,実は同じ会社の人を占ったことがあるのよ。お姉さんに特徴的なのは
美紗希,偶然ですねぇ
朋,努力線ね。生命線とか聞いたことあるかしら？
美紗希,ここですよねぇ、親指のまわり？
朋,そうよ。ここから上に線が伸びてるでしょう？
美紗希,はい、何本か見えますぅ
朋,努力家、正しい努力が出来る人ね。線も多いし、何でも成功するわね。仕事とか勉強とかファッションとか
美紗希,本当ですかぁ？
朋,お姉さんががんばれば、本当になってあたしは当たる占い師。ウィンウィンよ
美紗希,ふふっ。立派な占い師さんになってもらうために、がんばりまぁす
朋,頼むわ。そういえば、前に見た三船さんも努力線があったわ
美紗希,前に占った人は三船さんだったんですかぁ
朋,そうよ。まぁ、その時はタロットカード中心だったけれどね。ねえねえ、三船さんってどんな人なの？今日は働いてる？
美紗希,えっと……今日はお休みですぅ。大人しいですけど、真面目で良い人ですよぉ
朋,やっぱりね。職場は一緒だったの？
美紗希,そうですよぉ
朋,評判はきっといいのよね
美紗希,美優さんは大人気でしたよぉ。昔は腰掛けだと思われてたなんて信じられないですぅ
朋,昔はそうだったけど今は変わったか変えようとしてる、ってこと？
美紗希,そうですよぉ。効率よく働けるように配慮してくれたり、色んな人を取り持ってくれたり
朋,やっぱりそうなんだ。三船さんも悩み事があるみたいだから、サポートしてあげるとあなたにとっても良いことがあるはずよ
美紗希,お手本に出来る人でしたぁ。でも、悩んでるようには見えませんでしたよ？
朋,大きいことじゃなくて小さなことじゃないかしら。職場を良くしたい、とか？
美紗希,難しいですもんねぇ。昔から働いてる人も一杯いるから
朋,流行りのセクハラ、パワハラ、モラハラとかないわよね？
美紗希,ウチの会社でありえませんよぉ
朋,良いことね。そうだ、会社の人で話を聞いて欲しい人とかいる？
美紗希,会社の人？
朋,上司とか先輩とか。ホントはいけないけど、話の内容をあなたに伝えてもいいわ
美紗希,それは行けないと思いますけどぉ……そうだ、ケータイ、ケータイ
朋,誰かいるのかしら
美紗希,美優さんの上司なんですけどぉ、この人ですぅ
朋,艶があって綺麗な人ね。この人ワケアリなの？
美紗希,そういうわけじゃないですよぉ。美優さんと話したことがあるなら、お話を聞いてみてください
朋,わかったわ。ここで待ってれば、来る？
美紗希,３時くらいに休憩で降りてくると思いますぅ
朋,ありがとう。ちょっと話過ぎちゃったわね
美紗希,いえいえ、がんばりますねぇ。ありがとうございましたぁ
朋,こちらこそ、お仕事がんばって！今度は占い館に来てね！。あたしの海ちゃん、あの人かな。こっちに来たわ。あの、お姉様！
柊志乃,あら……職場の子が話してた占い師さん、ってあなた？
朋,あたしのために占わせてください！今なら無料よ！
志乃,休憩中だけど……
朋,時間はあまり取らないわ
志乃,偶にはいいかしら……
朋,ありがとう！ささ、座ってちょうだい
志乃,失礼するわ……
朋,手相とタロットカードを準備してるわ。どっちがいいかしら
志乃,その二択なら……手相を
朋,お目が高いわね。あたしのオススメも手相よ
志乃,手相占いが得意なのね……若いのに
朋,本職はタロットカードよ。ここでは万全に占えないから
志乃,そう……手はどちらで占うのかしら
朋,どちらでも。お姉様、お名前を教えてくれる？
志乃,柊志乃よ……木の柊一文字とこころざしの志と森久保乃々ちゃんと同じ乃
朋,柊志乃さんね、利き手はこっち？
志乃,違うわ、利き手は左手……
朋,柊さん、占って欲しいことある？
志乃,そうね……あるわ
朋,なに？
志乃,昨日部下が亡くなったわ……死というのは急ね
朋,それは……ご冥福をお祈りいたします
志乃,期待の部下がいなくなって……困るわ
朋,そうね、人との出会いは価値があるものだわ
志乃,仕事運を占ってもらえるかしら……まずは
朋,仕事運ね、まずはここ
志乃,ここ……目立った線は見えないけれど
朋,うん、見えないわね。つまるところ、柊さんにそこまで仕事の熱意はないみたい
志乃,すっぱりというのね……
朋,でも、財運、金運は良さげだし、運命線はしっかりしてるわ。熱意はないけれど、やるべきことをやれるから柊さんはそのままでもいいかも
志乃,……そう
朋,柊さん以外の状況も大切そうね。部下の人、どんな人だったの？
志乃,私とは逆ね……熱意を秘めていたと思っているわ
朋,ふむ、それだと惜しい人を無くしてしまったのね
志乃,昔は私と似ていると思っていたけど……変わったみたいね
朋,柊さんも、変わりたいの？
志乃,占い師さんは……どっちだと思うかしら
朋,うーん、大きな変化を予兆する手相もないし、そういうタイプじゃない、かな
志乃,その通りね……運よく昇進もしたし、このままかしら
朋,その部下さんが亡くなって、どう思いますか？
志乃,運が悪い時はあるわね……仕方がないわ
朋,いて欲しいと望まれた人なんですね
志乃,ええ……だから、残念よ
朋,起こってしまったことは変えられないわ。これからどうするか
志乃,それじゃあ……今後も人に恵まれるかしら
朋,うーん、明確に手相には出てないわね。自分で探すとか育てるとかの方が柊さんにはいいんじゃない
志乃,熱意も……かしら
朋,柊さんはクールに、周りを熱くでもいいと思うわ。いずれにせよ、あなたが恵まれるなら周囲も恵まれるはずよ
志乃,そう……
朋,他になにかある？
志乃,健康運を……お酒は飲み続けたいわ
朋,占い師じゃなくて医者にも相談が必要ね。それはともかく健康だけど、生命線は長く伸びてるし、大丈夫だと思うわ
志乃,そう……それがなにより
朋,自分でわかってるならほどほどにね。他にもあるかしら？
志乃,いいえ……満足したわ
朋,野次馬みたいで申し訳ないんだけど、その部下さんってどうして亡くなったの？
志乃,わからないわ……病気か事故かあるいは
朋,殺人……？
志乃,わかってないわ……だから、もやもやとしたものがあるわね
朋,自分ではどうしようもできないとはいえ、歯がゆいわよね
志乃,体調は崩した様子はないし……自殺するとは思えないの
朋,ふむ……
志乃,通り魔だったら……捕まって欲しいわ
朋,通り魔は怖いわね……
志乃,川島さんも……一昨日までは元気だって言ってたのに……
朋,川島さんって誰なの？
志乃,部下の友人なのだけど……知らないかしら？
朋,有名な人なんですか？
志乃,ローカル局のアナウンサーだけど……知らないかしら
朋,どこかで見たような、どこだっけ？。わかった！職場に取材が来て、サインが飾ってあるわ
志乃,彼女も何も知らないと言ってるわ……お手上げね
朋,気を落とし過ぎないで。あたしの占いを信じるかどうかは自由だけど、現状を維持できれば良いことがあるはずよ
志乃,参考にさせてもらうわ……
朋,そうだ、名刺を渡さないと。タロットカードは占い館まで来てもらったら、やるわ
志乃,そろそろ戻らないと……占いが必要な時は連絡するわ
朋,お待ちしてます、ありがとうございました！。もしもし、留美さん？。ねぇ、川島アナって知ってる？。連絡先わかる？取材に来てたでしょ？。番組スタッフの名刺とかあるはずよ。それでいいわ。売りこみ、とか。とかはとかよ。留美さん、お願い。理由は後で話すわ。そんなことしないわ。名刺の写真を送ってくれたら、後であたし特選のノラネコアルバムを贈呈するから。留美さん、ありがと！
瞳子,２日で３回目のご来店ありがとうございます
朋,どういたしまして。また待ち合わせに使わせてもらうわ
瞳子,ご注文はどういたしますか
朋,んー、何がいいかしら？
瞳子,コーヒー、クリームソーダと来たら、ジュースでしょうか。こちらの野菜ジュースとか。砂糖控えめなのに甘いんです
朋,瞳子さんが言うなら間違いないわね。それにするわ
瞳子,かしこまりました。野菜ジュースひとつー
朋,瞳子さんは、川島アナは知ってる？
瞳子,はい。時々こちらにもいらっしゃいますから
朋,だから、ここを待ち合わせ場所にしたんだけどね
瞳子,もしかして、川島アナと待ち合わせなんですか？
朋,そうよ。三船さんと一昨日会ってたらしいから
瞳子,そうなのですか？
朋,ええ。わからないことばかりだから、知り合いをあたることにしたわ
瞳子,なるほど、でも
朋,でも？
瞳子,川島さんとは仲が良かったですよ。まさか事件に発展するようなことは
朋,それでもいいのよ。仲が良いのなら、別の手掛かりが得られるかも
瞳子,占い師さんは何かわかりましたか
朋,なーんにも。早く事件の真相を知りたいのに困ったものだわ
瞳子,焦っても良い考えはでないもの。ジュースをどうぞ
朋,ありがとう。その通りね、ジュースでも飲みながら冷静に考えるわ
瞳子,ごゆっくり
川島瑞樹,あなたが占い師の藤居朋さん？
朋,そうよ。あなたが川島さん？
瑞樹,ええ。はじめまして
朋,はじめまして。さ、座って
瑞樹,失礼します。その早速なんだけれど
朋,ちょっとだけ落ち着いて。一杯ごちそうするから、頼むといいわ
瑞樹,……そうね。店員さん、レモネードを
瞳子,かしこまりました
朋,お仕事は大丈夫なの？
瑞樹,ええ。朝が早いから終わるのも早いのよ。夜の９時には布団に入るわ
朋,そうなの？アナウンサーって大変なのね
瑞樹,そうでもないわ。楽しいわよ
朋,仕事が楽しいと思えるのはいいことだわ
瑞樹,占い師さんは、どうなの？
朋,なりたかったものになれて、もちろん楽しいわ
瑞樹,うん、それが何よりね。そうだ、私も占ってもらおうかしら
朋,お店に来てちょうだい。名刺を渡しておくわ
瑞樹,そっか、お仕事だものね
朋,わかってもらえるとありがたいわ
瞳子,レモネードをお持ちしました
瑞樹,ありがとう。本当はね、ここのコーヒーが飲みたいのだけれど
朋,カフェインはだめ？
瑞樹,その通り。寝る時間から考えると、もう控えた方がいいわね
朋,考えたこともなかったわ
瑞樹,占い師さんはまだ若いからいいけど、気をつけるなら早いうちがいいわ
朋,考えておくわ
瑞樹,それで、美優ちゃんを占ったのは藤居さんなの？
朋,そうよ。ついでに第一発見者でもあるわ
瑞樹,そうなの？それは知らなかったわ
朋,刑事さんとか来ましたか？
瑞樹,ええ。亡くなる前に会ったのは私だもの
朋,女の刑事さんだったのかしら？
瑞樹,そうよ。カッコイイ刑事さんと真面目そうな部下さんだったわ
朋,失礼なこと言われなかった？
瑞樹,そんなことなかったわよ。二人とも礼儀正しかったわ
朋,あの刑事、人によって態度が違うのね……ヤな奴
瑞樹,ヤな奴？
朋,ごめん、なんでもないの。占いの話は三船さんから聞いてたの？
瑞樹,聞いてたわ。詳しくは聞いてないけれど、結果は良かったのね、嬉しそうだったわ
朋,ふむ
瑞樹,あの子、我慢強いし気配りできるから本心を話したがらないの。占い師さんには、何か言ってなかった？
朋,うーん、深くは聞いてないのよね。約束の時間を気にしてたし
瑞樹,美優ちゃんが事件に巻き込まれるようなこと、ないわよね？
朋,でも、事件は起こってるわ
瑞樹,変だと思うわ
朋,変？
瑞樹,原因がないじゃない。何にも思いつかないわ
朋,川島さんが言うなら、そうなのかもしれないわ
瑞樹,警察は何も言ってくれないし、不安になるだけだわ
朋,そう言えば……警察は何も明確にしてないわね
瑞樹,占い師さん、美優ちゃんはその
朋,自殺とかではないと思うわ。生きたいと思っていた、違うわね、死ぬなんて微塵も考えてなかったはずよ
瑞樹,そう……また悩んでいることに気づいてあげられなかったのかな、って
朋,前にもあったの？
瑞樹,そんな深刻な話じゃないわよ。昔の思い出話
朋,川島さんが悩むことじゃないわ
瑞樹,そうね……でも、真相は知りたいわ
朋,あたしもよ
瑞樹,ちょっとね、不安だったの
朋,何が不安だったのかしら？
瑞樹,私が気づいていたら、助けられたんじゃないかって
朋,……
瑞樹,そんなことじゃないのは、わかってるわ
朋,その思いは伝わるはずよ。いえ、伝わってたかな
瑞樹,ありがとう、そう言ってもらえると気持ちが楽になるわ
朋,やっぱり、事件の解決になるような糸口が見つけられないわ
瑞樹,占い師さんはどうして、美優ちゃんのことを調べてくれるの？
朋,刑事に疑われてるの。川島さんもわかるでしょ、イメージって大切なの
瑞樹,わかるわ。私生活もきちんとしようと思うわね
朋,三船さんのことは調べてみるわ。ちょうどいいから、聞いていいかしら
瑞樹,何かしら？
朋,川島アナの話し方、イメージ、美の秘訣を教えて欲しいわ！。話のプロという前に、おしゃべり好きだったのね……川島アナは。そうね、あたしの雪菜ちゃん。そうするわ。やっぱり活躍してる人の話はためになるわね。生き様までは真似できそうもないけど。そうね。見た目も良いし。川島さんのことはともかく、問題は事件の方ね。思わないわ。三船さんが事件に巻き込まれるようなものを否定するばかりだから。あの刑事を黙らせるのは厳しいわね。事件の真相がわかるか、犯人を見つけてしまいたいわ。手掛かりが必要ね。気乗りはしないけれど、方法はあるわ。あの刑事達から引き出す。まったくよ。わかってるわ。ある程度は身を切らないとね、あの二人と渡り合うには。仕事もあるし、雪菜ちゃんからもらった入浴剤でも使ってゆっくり寝るわ。そうするわ。おやすみ、あたしの雪菜ちゃん
肇,おはようございます
朋,……どうして、ここにいるわけ？
肇,藤居さんをお待ちしていました
朋,待ってたのは、見ればわかるわ。どうして、待ってたの？
肇,お話を聞きたいと思いまして
朋,これから仕事なんだけど
肇,相談料は払っています
朋,つまり、仕事だから話さないといけないわけね
肇,いいえ。占いを依頼します
朋,はぁー、建前くらいわかってるから
肇,そうですか
朋,もう一人はいないの？
肇,すでに中にいます
朋,部下は外に残して？なんか思わないの？
肇,何も思いませんが
朋,あんたがそうならいいけど。着替えてくるから、あんたも中にいていいわ
肇,わかりました。お待ちしています
朋,心の準備は超特急で必要だけど、手間は省けたわ。やってやろうじゃない。着替え終わり、っと
留美,藤居さん、何かしたのかしら？
朋,留美さんまで……してないわよ
留美,あの二人、警察の人でしょう？
朋,そうだけど。一応仕事扱い？
留美,そういうことにしておくわ。料金も払ってくれたし
朋,行ってきます。おはよう。ご丁寧に勝手に座ってるわね
肇,お待ちしておりました
あい,おはよう。昨日はよく休めたか？
朋,おかげさまで
あい,衣装を着ると占い師に見えるものだな
朋,衣装は関係ない、とも言いきれないわね。褒め言葉として受け取っておくわ
肇,……
朋,それで、何しに来たの？
あい,肇くん、説明を
肇,三船美優さんの件について、お話を聞きに来ました
朋,そうでしょうね
肇,解決してくれるそうですが、いかがですか
朋,あたしが犯人じゃないのは十分に示せると思うけど、あんたらが納得するとは思えないのよね
あい,私は自分を神と崇める狂信者ではない。話を聞かせてくれ
肇,それから判断します
朋,わかったわよ。で、どこから話せばいいのかしら？
肇,ご自由にどうぞ
朋,……事件当日の様子からでいいわね
肇,どうぞ
朋,三船さんは、あたしや前日に会っていた友人の川島さんに言っていた通りどこかに出かけたわけじゃないわ
あい,ほう
朋,ちゃんと調べてるわよ、びっくりしたかしら？
あい,見直したよ。続けたまえ
朋,でも、午前１０時ごろに外出してるわ
肇,どちらにですか
朋,近くのコンビニよ。お昼は簡単に済ませようとしたのね
肇,誰から聞きましたか
朋,喫茶店の店員さん
肇,お名前は
朋,服部瞳子さん。あんた達も会ってるでしょう
あい,ああ
朋,袋とかゴミとかあったかしら？
肇,お話を伺ってから回答します。続きをどうぞ
朋,そんなわけで、三船さんはその時間以外は家にいたの
肇,そのようですね
朋,それで、あたしのアリバイなのだけれど
肇,はい
朋,従業員からここにいることは証明出来るわ。調べるのはあんたらの仕事でしょう
あい,そうだな
朋,つまり、あたしが三船さんを殺したということにはならないわ
あい,さて、それは本当かな
肇,殺害は直接手を下さなくても出来るはずです
朋,ここまで納得しなそうなことはわかってたわ
あい,ああ
朋,だから、事件性を否定するわ
肇,事件性の否定ですか
朋,ええ。あたし、あたしの共犯、それとも別の誰かが犯行をしてないと思えればいいんでしょう
あい,なるほど
肇,続けてください
朋,同僚、上司、友人と大家さんから話を聞いたわ
あい,ふむ
朋,仕事やプライベートでトラブルは抱えてないわ
肇,そのようですね
朋,恋人関係とかの要因も見つからないわ
肇,つまり
朋,殺害される動機を持った人間が見つからないわ
あい,話を聞いたのは
朋,同じ会社の衛藤美紗希さんと柊志乃さんね
肇,ご友人とは
朋,さっきも言った通りよ、川島瑞樹さん
肇,大家さんとは
朋,三船さんが住んでいたアパートの大家さんね。やっぱり対人関係のトラブルはないと言ってたわ
あい,ふむ。それで
朋,あたしは殺人ではないと思うわ
肇,何故ですか
朋,事件を起こせる人もいなくて、事件を起こす理由がある人もいないなら、そう考えるのが妥当だわ
あい,その通りだな
朋,自殺するとは思えないわ。そう考えると
肇,あなたの結論は
朋,不幸なことだけれど、事故か病死よ
あい,そうか
朋,誰かが関係していたとは思えない
肇,それはあなたもですか？
朋,ずっと言ってるじゃない、あたしは何も関係ないわよ
肇,わかりました
朋,占い師はそれを調べられないから、あんたらがやって。それで解決なはずよ
あい,君の言いたいことは終わりかな？
朋,ええ。率直に言うけれど、あんたらとは話さないといけないと思ってたわ
肇,私達とですか
朋,理由は情報を手に入れるためよ。あんたらの調査は進展があったの？
あい,事件についての進展はない
朋,刑事も思ってよりはとろいのね
あい,罵詈雑言は聞きなれている
朋,あたしの話はこれで終わりよ
肇,ありがとうございます
朋,仕事時間だから、終わりでいいかしら。あたしはあたしのあんたらはあんたらの仕事をする時間よ
あい,君の話は聞き終えた
肇,私達の話をさせてもらいます
朋,何かあるわけ？
あい,君は質問に答えていない
朋,何の？
肇,どうして、第一発見者となれたのですか？
朋,理由なんてないわよ、偶然よ
あい,もう一つ質問を加えようか
肇,はい。どうして、犯人を捜してるのですか？
あい,警察に任せればいい
朋,言ったでしょ、イメージの問題よ
あい,イメージが悪くなるようなことがあるのか？
朋,は？
肇,私達は警察ですから。秘密は守りますよ
あい,だが、君はそれすら恐れている
朋,何が言いたいのか、わからないわ
あい,刑事にとって面倒な仕事は２種類だ
肇,難解な事件と事務仕事を増やすだけの事件です
あい,今回は後者だ。刑事達は使命感を得られない事件には関わりたくないものだ
肇,そういうわけで、この事件を押し付けられました
あい,まったく。男性社会というのは変わらないな
朋,最初から事故だと決めつけてたように聞こえるのだけれど
あい,肇くん、質問をしよう
肇,はい。藤居朋さん、お聞きします
朋,なによ
肇,どうして、三船さんに連絡したのですか？
朋,だから、何度も言ってるじゃない
あい,肇くん、どうやら答えてくれないようだ
肇,そのようです
あい,では、こちらから答えを提示していくとしよう
朋,答え？
あい,君は遺体の第一発見者だ
肇,はい。お客に電話をかけてもつながらないことから、自宅に行きました
あい,連絡先と住所は会社から教えてもらっている
肇,そして、遺体の第一発見者となりました
あい,ここまでは間違いないな？
朋,間違いないわ
肇,そして、事件の調査を始めました
あい,しかし、だ
肇,行動のモチベーションがわかりません
朋,……
あい,そこで、一つの可能性を立てた
肇,三船美優さんとの占いに何か原因があると
あい,確認だが、占いの内容自体に問題はなかったな
朋,言った通りよ。奇天烈な内容ではなかったわ
肇,内容でないならば
あい,問題となるのは、経緯だ
朋,経緯？
あい,それを明らかにするために、君のことを調べさせてもらった
朋,なんで、あたしのことを調べるわけ？
肇,真実に近づくためです
朋,はぁ
あい,イヤだったか？
朋,イヤに決まってるでしょう
あい,別に君がどう思おうが関係ないが、正しい方向ではあるようだ
肇,あなたはここにスカウトされる前から、占いの腕は評判でした
朋,そうね。だから、ここで働いてるのだけど
あい,君の友人にも聞いてみたが、その理由まではわからなかった
朋,海ちゃん達から聞いたわけ？
あい,ああ。こちらに来ていたようだからな
朋,信じられないわ……
