頭皮が気になる年頃のモバP(以後P表記),只今戻りました
？,それじゃあ、私は誰かわかりますか？プロデューサーさん
Ｐ,千枝だろ？
沙理奈(千枝),わぁ、どうして分かるんですか？他のみんなは全然わからなかったのに
Ｐ,プロデューサーだからだよ
時子(芳乃),考えるのではなく、感じるのでしてー？
美波(みりあ),プロデューサー♪
沙理奈(千枝),プロデューサーさん♪
？,ほわぁ～…
Ｐ,ああほら２人とも。もう１人いるから。ツッコまざるを得ない絵面してる人がそこで居眠りしてるから
美波(みりあ),え～？せっかく大きくなったのに～
沙理奈(千枝),千枝達、今は大人なんですよ…？
Ｐ,大人と入れ替わっただけでお前達が大人になった訳じゃないからな
？,ふわぁ～…？
Ｐ,うぉい立ったまま寝るなこずえっ。寝るならせめてソファーにいけ
？(こずえ),えぇー…。ぷろでゅーさー…
Ｐ,わふん
？(こずえ),だっこー…
あい(こずえ),ふわぁ～…。ぷろでゅーさー…
美波(みりあ),プロデューサーっ、こずえちゃんばっかりズルいよぉ～
Ｐ,引っ張るな落ちる、こずえが落ちる
沙理奈(千枝),こずえちゃんだけ贔屓するのはダメですよ、プロデューサーさん
Ｐ,だから落としちゃうっちゅーねん。なのでこうしてお姫様抱っこで運搬しているのだが…
美波,次はみりあー、みりあもーっ！
沙理奈(千枝),じゃあ、千枝はその次にお願いしますね
あい(こずえ),ふわぁ～…
Ｐ,っ！？
あい(こずえ),ぶろでゅーさーも…ねるの～…
Ｐ,待て待て待て待て、これはマズい流石にマズい
美波(みりあ),じゃあみりあも寝る～♪
Ｐ,ぐぇっ
沙理奈(千枝),じゃあ、千枝も…いいですか？
Ｐ,もふっ。腰が痛い…
時子(芳乃),お疲れ様なのでしてー。そなたー、随分お疲れなのでしてー？
Ｐ,肉体的にはどうってことないんだが、精神的疲労がハンパ無いからなぁ・・・この騒動は。…仮眠室でちょっと一休みするか
時子(芳乃),今日は一日、混沌極まりなき出来事ばかりでしたのでー
Ｐ,数多の星々を導きし運命の先駆者とて苛烈なる煉獄の業火にその身を焼かれ闇色に輝きし魂はその仄暗き灯火を揺らし冥府へと誘われん(流石に少し疲れた)
ほたる？,っ！？
Ｐ,同胞よ、その身に宿りし異霊の魂の在り処は存ぜぬがこの宿業、刹那に撃ち払わん。その真名今暫く虚空の闇に眠らせん(おうお疲れ様。蘭子はほたるになってたのか。すぐにこんな珍騒動終わらせるからもうちょっと我慢していてくれな)
ほたる(蘭子),あ、はい。えっと…お疲れ様です
時子(芳乃),闇にのまれましてー(お疲れ様です)
ほたる(蘭子),…
Ｐ,駄目だ…もう眠くなってきたわ
時子(芳乃),そなたー、寝るならばべっどの上で、でしてー
Ｐ,おー…大丈夫、どこぞの25歳児じゃあるまいし寝たくなったところで適当に寝たりしないから。一応上着とシャツは脱いでおくか…うっわ、あちこち走り回ったりしたから汗くっせ。じゃあちょっと仮眠取るから、芳乃も適当に寛いでていいからなー
時子(芳乃),ゆっくりお休みくださりましてー
？,にゃっはっはー…お疲れみたいだねぇ。もう熟睡しちゃったよ。時子インザヨッシーは給湯室でお茶の用意中・・・つまり、今ここには２人だけ。しかもこんな無防備なキミが。ふっふー♪それじゃあ、いっただきま～す♪。っ！？
P,まんまと罠にかかったなハスハス星人
？,あれっ、起きてたのっ？
P,あちこち歩き回った上に行く先々でドタバタしてたからなぁ、正直気を抜いたら即熟睡出来るわ。でも、お前がずっと俺の事尾行してたのは分かってたしな
？,にゃっはっは…まんまと引っかかっちゃったって訳かぁ
P,こんな簡単な罠にかかるなんて、らしくなかったな。油断でもしてたか？。あと俺のシャツ返せ、志希
泰葉(志希),それは出来ない相談だねぇ～キミを直ハスハス出来なかったのは残念だけど、今日一日の汗がたんまり染み込んだこのシャツは戦利品として頂いていくよっ！
P,逃がすと思うか？諸悪の根源を、みすみすここまで追い詰めて
泰葉(志希),んっふっふー、この程度で逃げられないとでも思う？
P,…いいや、お前の事だから何か企んでいるんだろうよ。逃走手段の１つや８つ用意していてもおかしくない
泰葉(志希),さっすが、あたしの事よく分かってるねぇ～。んじゃ、ご期待通りに…
P,でもな志希？。逃げられる前に、逃げられなくする手段もあるんだぞ？
泰葉(志希),おっとぉ物理的なトラップまで用意してたなんてねぇ。でもこれぐらい…
P,ま、よっぽどトロくさくなければ避けられるだろうよ。けど、お前は避けないよなぁ。プロデューサー自家製、ここ１週間の激務で溜まった洗う暇も無かった洗濯物の雨だっ！お前はもうチェスや将棋で言う詰みなのだよ志希ぃ！
泰葉(志希),な、なんですとぉー！？
P,どうだ、日頃の激務の結晶。汗と涙とスタドリの染み込んだ良い歳こいた男の衣服地獄は
泰葉(志希),ぷはっ…！むっふ～、ちょっとは驚いたけど、この程度であたしをどうにかしようなんて…。どうにか、この程度でどうにかしよう、なん、て…。にゃふっふーっ！こんな程度でっこんな程度でぇぇ！。にゃっふー！んふーっ、んふーっ！。悔しいっ、でも興奮しちゃう！
P,結構余裕そうじゃねぇか。ほれハスハス。観念して白状しろ。どうしてこんなことした？っつーか元に戻せ。これじゃあ仕事にならん
泰葉(志希),ハスハスーッハスハスゥゥーーっ！！
P,おい、話を聞け。そして服を返せ。洗ったらまた着るんだからな、それ。嗅ぐな舐めるなしゃぶるなスカートの中に入れるな
泰葉(志希),ハスハスっ！ハスハスっ！
P,…ファブリーズするぞ
泰葉(志希),にゃーっ！それはストーップ！！そんなことしたら折角ここまで熟成されたスメルが台無しになっちゃうよ～！
P,自分の服と匂いで狂喜乱舞してる担当アイドルを眺めていなければならない俺の気持ちも考えろ
泰葉(志希),はふぅ…思わずトリップしすぎちゃったよ。こんな上物久しぶりだったからちょっと興奮しすぎちゃったみたいだねぇ～
P,さぁ、どうしてこんな事をした。お父さん怒らないから言ってごらんなさい
泰葉(志希),にゃっはっは～、それって絶対怒られるパターンだよねぇ
P,せやね
泰葉(志希),怒られるのは嫌だし～…黙秘権っていうのは？
P,ファブリーズその口にねじ込んでゼロ距離噴射してやろうか
泰葉(志希),にゃっはっは…目が笑ってないから本当に怖いよ～？大事なアイドルなんだから大切にしてよ～
P,お前の所業で他の大事なアイドルたちが大勢カオスな事になってるんだが？
泰葉(志希),それは不可抗力、って言うか事故だよ～、あたしのせいじゃないってば
P,ほほう？
泰葉(志希),ちょっ、本当だって！だからその手のファブリーズは一旦置いて、ね、ね？
P,デタラメこいてるとファブリーズからゴキジェットに変わるからな
泰葉(志希),やめてくださいしんでしまいます
P,なら吐け。あ、毛玉じゃなくて自白しろって意味だからな
泰葉(志希),みくちゃんじゃないんだから吐かないって、そんなの
菜々(前川),ｶｯ､ｶｯ!ぺっ、ぺっ…うぅ～…喉がイガイガするにゃあ
泰葉(志希),ホントはねぇ、中身が入れ替わるなんてトンデモなクスリじゃなかったんだよ。いつも通り良い感じにトリップできる匂いを調合してたんだけどさぁ。ついつい夢中になって徹夜続きになっちゃってねぇ。んで、眠気覚ましにとちひろさんから貰ったスタドリでも飲もうとして…。調合途中のクスリの上にバシャーッて
P,ほう
泰葉(志希),待って待って！それぐらいでこんな事にはならないってば！確かに緑色の煙とか立ち始めてヤバいなぁ～って思ったから何かで蓋しようと思ってさぁ。事務所で手ごろに何か被せられるようなもの無いかなぁ、って探してたら丁度良いモノがあったからビチャッ、て
P,…何をぶっかけた
泰葉(志希),イチゴパスタ
P,便利だなぁイチゴパスタ！。要するにアレか、今回の騒動は志希の怪しいクスリ+ちひろのスタドリ+橘さんのイチゴパスタによる暗黒錬金術って訳か
泰葉(志希),Exactly(そのとおりでございます)。いやぁ～、まさか会社全体にまで広まるとは思わなかったよ～。で、バレたらどうせ怒られると思ったからさ～
P,だから逃げてた訳だ
泰葉(志希),バレないと思ったのになぁ…ねぇ、いつからあたしがずっと後を付けてたって気づいてたの？
P,ずっと誰かに見られているような気配はしてたんだけどな、決定的だったのはコレだ
泰葉(志希),ん～？ネットの掲示板？
P,目撃情報を募ってたんだよ。そしたらコレだ。最初は怖っ！って思ったけどな。そりゃ、自分を追いかけている相手を逆尾行していればある意味一番安全だもんなぁ
泰葉(志希),で、疲れて帰ってきて仮眠室で力尽きたってフリをしてたプロデューサーにまんまと誘き寄せられちゃった訳かぁ～
P,そろそろハスハス成分が不足して来る頃合だろうと思ってたしな。普段のお前ならこんな露骨な罠にかかったりしなかったろうに
泰葉(志希),にゃっはっは…してやられちゃったねぇ～
P＆泰葉(志希),AHAHAHAHAHAHAHA
泰葉(志希),では、そういうことで
P,んな訳いくか。この騒動が偶然の産物によるものだとすると、元に戻す方法は知らなさそうだよなぁ
泰葉(志希),は、離してくれたら全力で解毒薬作るよ～…？
P,信用ならん
泰葉(志希),酷いっ！アナタの大事な大事なアイドルなのにっ
P,今まで自分がしでかして来た罪を数えろ。まあ安心しろ。今お仕置きしても被害は泰葉の体に及んでしまう。それは避けるべきだ。だから…元に戻ってからギルティすることにする
時子(芳乃),でしてー
雫(あやめ),ニンッ…ニンッ！？
P,芳乃、志希を拘束、後にきらりんハウスに隔離
時子(芳乃),御意のままにー
P,あやめは…後でまた引き摺り下ろしてやるから、ちょっと待ってろ
雫(あやめ),か、かたじけありませんっ！ふんっ、ふんっ！ぬ、抜けない…
泰葉(志希),えっ、ちょっ・・・マジ？ほら、よくあるパターンじゃない？志希ちゃんだけは何だかんだでお仕置き逃れてにゃっはっはー、ってさぁ
P,他所は他所、ウチはウチです
時子(芳乃),誰もが一度は母君から言われたことのあるお言葉でしてー
P,安心しろ。レアメダルにされるよりかはマシな筈だ
泰葉(志希),にゃあ～っ！へるぷっ、へるぷみーっ！！
時子(芳乃),さあさあ、しまっちゃうのでしてー
ちひろ,そろそろ志希ちゃんを開放してあげても良いんじゃないですか？プロデューサーさん
P,まだお仕置き部屋に入れてから1日しか経っていませんよ
ちひろ,愛海ちゃんと二人きりで狭い個室に監禁刑なんて、思いつくことが鬼畜ですよね…
P,橘さんの体で小学校行って人生2週目プレイを満喫していた金の亡者に鬼畜呼ばわりされるのは心外ですな。それにちゃんと志希は両手両足を縛ってありますし目隠ししていますから大丈夫ですよ
ちひろ,それ絶対人には見せられないことになりません！？
P,本当は全身にシロップぶちまけてブリッツェンと二人きりにさせるつもりでしたが
ちひろ,そういうのは薄い本でやってください
P,ウィ
ちひろ,しかし…本当に大変な一日でしたね、昨日は
P,まだ入れ替わりの影響が残っている娘が何人もいますしね。雫は天井裏に上りたがるし。凛は時々ブモッ
ちひろ,雪美ちゃんは時々プロデューサーさんのこと持ち上げようとしますし、きらりちゃんは不意に無表情になっちゃいますし・・・
P,泰葉はやたら俺に刷りついて匂い嗅いできますし、まゆは昼食にポテチなんて食べてますし…。前川は何故か菜々さん相手にぎこちないし、李衣菜はにわかだし、かな子は中までチョコたっぷりだし…
ちひろ,一部今回の騒動と関係ない風評が混ざってますね
時子,…いたわね
ちひろ,あ、その声は時子ちゃん？おはようございます
P,おぅ、本物の時子か、1日ぶりだな
時子,…ちひろはそんなところで何やってるのよ
ちひろ,あはは…聞かないで下さい
Ｐ,で、どうした？時子は今日オフだろ？
時子,貴方に聞きたいことがあったのよ。わざわざこうして出向いてあげたのだから感謝なさい
Ｐ,聞きたいこと？最近買ったゲームは龍が如く0
時子,知っちこっちゃあないわよ、そんなもの。本当は昨日のちに問い詰めたかったのだけれどね。志希のせいでそれどころじゃなかったから
Ｐ,割と気を使うよなあ、時子って。女王キャラの癖に
時子,アァン？
Ｐ,めんご
時子,チッ…まあいいわ。で、聞きたいのだけれど
Ｐ,何なりと
時子,昨日は目が覚めたら芳乃の体だったのだけれど、どうして貴方の部屋で目が覚めたのかしら？
ちひろ,は？
Ｐ,え、なんだって？
時子,それで誤魔化せると思ってるのかしら？
Ｐ,時子、それ鞭ちゃう、それは法螺貝や
時子,何故か荷物の中に入っていたのよ。豚の頭カチ割るにはピッタリよねぇ
Ｐ,？
早苗,ハァイ
Ｐ,ｏｈ…
時子,言い残すことは？最後にそれぐらいの慈悲は与えてあげるわ
Ｐ,……ｲ
時子,アァ？
Ｐ,アニメ第２期よしのんボイス入りﾊﾞﾝｻﾞｰｲ！！
時子,幻聴聞いてるんじゃないわよこの豚ぁ！
芳乃,今日はお帰りが遅いのでしてー…
ちひろ,それ、むしろご褒美なのでは…？
