俺はその女,志希
幸子,フフーン！当然です！ボクは６歳時のピークを保つどころか、年々カワイさレベルを更新していますからねっ！
周子,放課後の学生組がみんな見に来てもーた
芳乃,皆さん新鮮なのでしょうー。普段はあまり、すきんしっぷをなさらぬお人ですゆえー
奈緒,いやぁ一時はどうなるかと思ったけど、案外馴染んでるようで良かったよ
ライラ,いつでもどこでも、住めば都でございますよー。隣人に恵まれればなおさらでございます
響子,ひのふの……みんなーっ、お茶が入りましたよーっ
菜帆,和菓子もご用意しました～♪
藍子,いただきますっ。――だけど、美穂ちゃん達は大丈夫なんですか？
美穂,え、大丈夫って何が？
藍子,プロデューサーさんには大人の時の記憶が無いんですよね。ということは、美穂ちゃん達の正体も……
美穂,あ……
智絵里,か、考えたこともなかったです……
芳乃,ご心配なさらずともー。そのことでみなさまを嫌い、恐れる子ではないのでしてー
美嘉・まゆ,…………
こずえ,………………。ぷろでゅーさー……
卯月,こずえちゃん？
ショタＰ,むぎゅぎゅ……え、何？
こずえ,ぷろでゅーさーはー……にんげん、すきー……？
ショタＰ,人間？考えたこともなかったけど……別に嫌いではないっていうか、まあ、普通……かな
こずえ,じゃあ、にんげんじゃないのはー……すきー……？
一同,！？
美穂,こ、こずえちゃんっ。それは難しい話だから、今はあの、ほら、ね？
まゆ,そ、そうですよぉ。ひょっとしたら混乱させてしまうかもしれませんし……
美嘉,もうすぐ解毒剤が来るかもだから、話さないで済むならさ、それに越したことは――
智絵里,わ、わ、どうしよう、どうしましょう紗枝ちゃん……！
紗枝,……うちは、どちらでも。おたおたしたかて仕様のないこともありますさかい
菜帆,そうですね～……。どうしても、気になることもありますから～
ショタＰ,人間じゃない……って、どういう意味？
こずえ,んー……
美穂,こずえちゃっ――
こずえ,…………ん
美穂,ぽこーっ！？
紗枝,……こん
智絵里,！
菜帆,あら～……
美嘉,あっ、ちょ！
まゆ,はぅ……っ！
ショタＰ,
周子,やってもーた……！
美玲,お、おい、いいのかッ！？
芳乃,見守りましょうー。何かあらば、わたくしがふぉろーしますゆえー
美穂,ぽ、ぽ、ぽこ……。私が受け入れられたのは、先に事務所にみんながいてくれたから……
美嘉,アタシの件にしたって、既に芳乃ちゃんや茄子さんみたいな不思議な人達を知ってたからで……
まゆ,まっさらな子供の状態で、この姿を見てしまったら……？
智絵里,ﾌﾟﾙﾌﾟﾙﾌﾟﾙﾌﾟﾙﾌﾟﾙ
紗枝,どないなっても、うちは甘んじて受けますさかい……
菜帆,だけど、どうなるかしら～……
ショタＰ,…………す、すごい
美穂,ぽこっ？
ショタＰ,すごい……すごい！お姉さんたち変身できるの！？
美嘉,えぁ……変身っていうか、元の姿っていうか……
ショタＰ,も、も、もっと凄い！！美嘉お姉さんの羽ってそれじゃあ本物！？
美嘉,あ、うん。ほら
ショタＰ,おおおお……っ！まゆお姉さんのは！？
まゆ,ま、まゆですかぁ？動きますけどぉ
ショタＰ,凄い！かっこいい！きれいだ！初めて見た！。美穂お姉さんはたぬきで、紗枝お姉さんはきつねで智絵里お姉さんはうさぎ！？
美穂,ぽこっぽこっ
紗枝,こーんっ
智絵里,?
菜帆,優しく撫でてあげてくださいね～。私はハーフですから、フルたぬきフォームじゃありませんけど～。それにしても、怖くないんですね～
ショタＰ,いやすごくかっこいいよ！！もっと見せて！！！
まゆ,…………あ
美玲,うわぁあ！？だ、大丈夫かよッ！？どっか痛むのか！？
まゆ,ごめ、ごめんなさい……痛いんじゃなくて……Ｐさぁんっ！
ショタＰ,わぷっ
まゆ,まゆ嬉しいっ……。やっぱり好き、大好きぃぃ……っ
美穂,ぽこっ！ぽこーっ！
智絵里,ﾃｼﾃｼﾃｼﾃｼﾃｼﾃｼﾃｼ
紗枝,こんこんっ
美嘉,き、気持ちは正直わかるかも……ぐすっ
卯月,良かったぁ。丸く収まりましたね！
小梅,プロデューサーさんは……ちっちゃい頃から、セガ派だったみたい……だから……
加蓮,それって何か関係あるの？
輝子,……ある……。セガの看板作品は、ソニックシリーズ……。あれは、主人公がハリネズミなんだ……
小梅,それに、尻尾のプロペラで飛ぶ狐とか……ハリモグラ、コウモリ、ネコや鳥とか……色んな動物キャラが出るの……
輝子,――つまり……幼少時から、ファンタジーな動物達にも理解がある…………！！
みく,いやそんなんでええんかい！！
奈緒,そこで伏線回収してくんのかよ！？
まゆ,やっぱり運命の人……っ！許嫁……っ！これは婚約待ったなしですよぉ……！！
美嘉,こっこら！なに勝手なこと言ってんのっ！
美穂,ポンッ！
ショタＰ,
ロリ志希,あっ！みっぺいミスっちった！
ロリアーニャ,シトー？なんだか、体が小さく……？
ロリデリカ,どうしようシキちゃん！フランス産美女が美幼女になっちゃった～！
ロリ晶葉,待て落ち着け、薬剤はまだ残っている！もう少しで解毒剤が完成するのだ！
ロリ奏,記憶が子供時代に戻る前になんとかしないといけないわけね……！
桃華,みなさま、お茶が入りましたわ。少し休憩……まあまあまあ！わたくしが一番お姉さんですのっ！？
――女子寮,なんやかんやでみんな帰ったり仕事行ったりした
みく,ふにゃ～……ちょっとしたイベントみたいだったねー
菜帆,にぎやかで楽しかったです～♪
みく,あれ、Ｐチャン達は？――って
芳乃,みなさまー、お静かにー
ショタＰ,……すぅ……すぅ……
こずえ,くー……くー……
美穂,たぬき
紗枝,きつね
智絵里,うさぎ
由愛,プロデューサーさんが、芳乃さんの膝枕に……
周子,もふもふが周りに固まって寝とる
菜帆,うふふ～。さすがに疲れちゃったのかしら～
みく,ほんとに、この子がああなるなんて信じられないにゃ
芳乃,たいそうお疲れでしょうがー……みながかくも集いしは、ひとえにそなたとの縁によるものー。……それらは全て、そなたが誇る宝でしてー。まこと、善き子ですー……
ロリ志希,できたっ
奏,ふぅ……効果は確かみたいね
フレデリカ,久しぶりにパリの風を感じる歳に戻ったよ～
晶葉,うむ。志希、お前も早く戻るといい
ロリ志希,んー…………
アーニャ,シキ？どうか、しましたか？
ロリ志希,あのね。いっこ聞きたいんだけど
アーニャ,……シトー？
ロリ志希,１８歳のあたしは、まいにちこんなおもしろいことをしてるの？
アーニャ,ダー！みんな一緒で、楽しいこともたくさんです♪
ロリ志希,！……にゅふふ、いいこときいちゃった。それじゃばいばい、未来の助手たちよ～
志希,んお！おりょ？ここどこ？あ、そっかあたし例のクスリこぼしちゃったんだ！
フレデリカ,はろはろシキちゃんおかえり～！ロリ体験どうだった～？
志希,んー……ぜーんぜん覚えてない！！
晶葉,精神の退行が起こった後だと、その時の記憶は失われているようだな
奏,私達はなんとか間に合って良かったってことね
アーニャ,ふふっ……小さなシキもかわいらしかったですよ♪
真奈美,済んだかい
志希,にﾞゃーっ真奈美ちゃん！いたんだ！
真奈美,いたさ。それにしてもまた問題を起こしたようだね、志希
志希,にゃははは、まあこれも知的好奇心の賜物とゆーかなんとゆーか……
フレデリカ,ありゃ、シキちゃんが珍しくワタワタしてる！
奏,真奈美さんが苦手なのよ
真奈美,夏に顔を見た時は挨拶もくれなかったものだから寂しかったよ
志希,いや～、真奈美ちゃんほどのプロなら、あたしがチェックするまでもなく健在だしー的なー？
真奈美,光栄だ。そうだ、帰る前にひとつトレーニングでもしていくか？ずっと君の運動不足が心配でね
志希,おっお～う……
フレデリカ,シキちゃんファイト！
アーニャ,アーニャも一緒にやりますっ♪
志希,
美穂,うん……うん。わかった、ありがとう奏ちゃん！。Ｐ君っ。解毒剤できたって！
ショタＰ,そうなんだ……よかった
まゆ,戻っちゃうんですかぁ……？
みく,まゆチャンがあれからＰチャンの半径１メートル以内から離れようとしない……
イヴ,ただいま帰りました～。余ったケーキ貰ってきましたよ～う♪
菜帆,わぁい♪
周子,わぁい
蘭子,わぁい
みく,わぁい
響子,私、切りますねっ
ショタＰ,あの……色々、本当にありがとう
美穂,お礼なんてそんなっ！普段は私達の方こそお世話になってるもん！
まゆ,あなたに惚れ直せた素敵な時間でした……♪
ショタＰ,惚れ……そこは、ちょっとよくわかんないけど……。……僕ってアイドルのプロデューサーなんだね
美穂,うん。すごいんだよ、たくさんのアイドルを導いてくれてるの！
ショタＰ,そっか。……自分がそうなるって思わなかったな
美穂,そのくらいの歳だと、何のお仕事するかってあんまりよく考えてないもんね
ショタＰ,……
まゆ,……どうかしましたか？
響子,ケーキ、みんなの分切り分けましたよーっ
美玲,早く来ないとチョコ乗ってるとこ取っちゃうぞーッ！
美穂,あ、はーい今行くーっ！……Ｐ君？
まゆ,もしかして、何か悩みでもあるんですかぁ？
ショタＰ,いや、そういうんじゃないんだ。ただ本当に意外っていうか……だって。お父さんが、芸能事務所の人だったから
Ｐ,というわけで戻りました
ちひろ,はいお疲れ様ですこれ未処理の書類
Ｐ,お祝いが重すぎる！？
芳乃,無事に復帰できて何よりでしてー
Ｐ,いやぁすまんすまん。それよりあの元凶は何があったの
志希,
アーニャ,アー……キンニクツウ？で、動けないです……
奏,普段レッスンもこなしてる筈だけど、それを上回るメニューだったものね
志希,ふぎゅーっ！
Ｐ,なにやら知らぬところで天罰が下っていたようだ……。けど、女子寮の世話になっちゃったって聞いたけどマジで？
響子,はい。Ｐ君とってもいい子でしたよっ♪
Ｐ,そ、そうか……いやほんとすまん。さっぱり覚えてないんだよ
加蓮,覚えてない方が良かったんじゃない？結構いろいろしちゃったし
Ｐ,いろいろとは
紗枝,それはそれで寂しなぁ。せやったらプロデューサーはん……。……うちの体のどこのホクロがあるかも、みぃんな忘れてしもたん？
Ｐ,ブッッフォ
周子,さーえーちゃん
紗枝,こーんっ♪
周子,また変なからかい方しおってからに。京都から帰ってはっちゃけに磨きがかかっとるな
美穂,……
まゆ,……
蘭子,んむ……？内なる精霊を彼方に遣わせしか？
美穂,あ、ううんっなんでもないの！
まゆ,ええ、なんでも。やっぱりプロデューサーさんは今が一番素敵だなぁって♪
美穂,……初めて聞いたね、あのこと
まゆ,大人の男性ですから。ご実家についてあまり話さないのは、当たり前ではあります
美穂,うん、そう……そうだよね。折り合いが悪いなんてことも無いみたいだし……
まゆ,子供の頃のことですから、きっと本当に意外だったんですよぉ。彼が自分から言わない限り、このことはまゆ達の胸にしまっておきましょう
Ｐ,――お、二人もありがとうな。色々大変だったろ
まゆ,あっ、プロデューサーさぁん?
美穂,そんなことありませんよっ。楽しかったです！
まゆ,そうですよぉ。小さなプロデューサーさんもとっても素敵な殿方で……あ、でもお忘れですかぁ？
Ｐ,忘れ……？ああ、色々覚えてなくてな。なんか言ってた？
まゆ,小さなプロデューサーさんがまゆに一目惚れして、大きくなったら結婚して欲しいって言ってくれたことです?
Ｐ,ブフォーーッ！！
美穂,まゆちゃん！！！！
紗枝,そんなっ……うちを養ってくれる言うたんは嘘やったん……？
志希,死後あたしが体を標本にして保存するとゆー話は！？
小梅,魂は……私が、お世話してあげるって……
輝子,セガハード復活計画は……？
Ｐ,どこまで信じていいかわからない！！
美穂,も、もうっみんな～～っ！！
Ｐ,ふぅ……覚えていなくてよかったのか悪かったのか。まあ良かったんだろうな、精神衛生上
凛,撮ってるよ
Ｐ,
凛,動画もあるけど
Ｐ,あるけどじゃないんですけど？見ないんですけど！？
凛,そう？悪くないと思うんだけどな……
奈緒,ああそうそう、あたしだけ呼び捨てだったんだよ！どういうことだよっプロデューサーさん！
Ｐ,やめて再生しないで！うわああっ声変わり前の自分の声って超聞きたくない感じ！！！
こずえ,………………。せがさたーん…………しろー…………
