Target8.佐藤心,しゅがーはーと
P,体力がないこと自体がダメなわけじゃない。それでも頑張れることが大切なんだよ。早耶って色んな趣味に手ぇ出してるけど、プロテインに凝ってたり、ランニングにハマったり、体力系が多くなってきたのも、それが原因じゃないのか？
早耶,…えへへぇ♪。ちゃんと見ててくれてるんですねぇ♪
P,そらまあ
早耶,じゃあ、4つ目お願いしますぅ♪
P,雰囲気がエロい
早耶,何ですかぁ！それぇ！
P,たまにね。ホントに女子高生かよ！って思う時があるのよ。喋り方とか、見た目が艶めかしいんだよな
早耶,へぇ～…てことはプロデューサーさぁん♪早耶のこといやらしい目で見ちゃってるってことですかぁ♪
P,手は出さんけどね
早耶,うふふ♪早耶の魅力で、いつか手を出させてあげまぁす♪
P,で、最後だけど
早耶,はぁい♪
P,…まあ、飯を食いながらでいいかな？
早耶,えぇー！？それはずるいですよぉ！！
P,はいはい。後で5個と言わず、たくさん話してやるからさ
早耶,ん～…それなら、仕方ないですぅ♪
P,ん。それじゃあ、レッスン頑張ってこいよ
早耶,…えへへ。プロデューサー。大好きですよぉ♪
P,はいはい。わかってるから。また後でな
早耶,はぁい♪
志希,超新薬！スネオニナールスネ夫になる
