それは人間もアンドロイドも関係ない、そういった人たちの集まりが私たち,反機械化戦線
リツコ,……私はすべての人類を幸福に導くためのAIよ。私情を持ち込んではいけない。そうよ、それが正しいのよ。あの人たちは自分の利益のことしか考えていないの？今の状態が一番安定できるというのに……。小規模紛争！？
チハヤ,ええ。どちらが先に手を出したのかは分からないけど。武力衝突がおこったみたい
リツコ,どうして……しかもそこは比較的穏健な場所だったじゃない……
チハヤ,おそらく、それを隠れ蓑にしていただけで火種は燻っていたのよ。幸い、騒動はすぐに沈静化することができたから大事には至らなかったけれど
リツコ,……ありがとう。今後の対応を考えることにするわ
チハヤ,ごめんなさい。それじゃあ今日はもう行くわ
リツコ,…………。RITUKO-9起動。計画の修正案の作成開始。そういえば、私を訪ねた人のなかにそっちの分野に顔の効く人がいたわね……あの人に手伝ってもらえば……ダメよ何を考えているの私。あんな人の要求を呑んだらもっとたくさんの人が不幸になるだけよ。ダメ……。私を誘惑しないで……！！。これで大丈夫……さあ、もっと効率的で、効果的に、だれも不幸にならない方法を……大丈夫。このAIと私ならすぐに答えは導き出せる。………………アンドロイドリツコの感情データをすべて削除
RITUKO-9,……最初からこうすればよかったのか。だったら話は早い。政府に通達。サイバー条例の制定を決定。内容は―
チハヤ,どういうこと、リツコ
RITUKO-9,どういうこと、とは？私は私の使命に従ってプランを打ち出すだけだ
チハヤ,サイバー条例の制定及び、全てのアンドロイドの初期化及び感情プログラムの削除これはいったい何？
RITUKO-9,人類が幸福に暮らすための統治に感情は不要だと判断した。そして、それができるのは我々、アンドロイドだけだ。ゆえにアンドロイドの感情プログラムを削除し、我々が人類を統治することを決定した
チハヤ,それで人類は幸せになれると本当に思っているの？！
RITUKO-9,全てはこのマザーAIが導き出した答えだ。人間を放置しておくとまた争いを引き起こす。それに、人間は常に自身の利益を生み出すことを考え続ける。それでは公平な統治など不可能だ。以上のことから、我々感情を持たないアンドロイドが人間の上にたちを統治する
チハヤ,そんなので人類が納得すると思っているの？
RITUKO-9,現在、全人類の85％はこれに納得していると回答している。これは最新のデータだ
チハヤ,そんな……
RITUKO-9,人間も皆、先の大戦で疲弊しているのだ。多くは私たちによる統治を受け入れた。今は反対しているものもいずれは受け入れることになる
チハヤ,それで、アンドロイドは？あなたたちアンドロイドはそれで幸せなの？
RITUKO-9,我々は感情を捨てた。ゆえに我々が幸せになる必要はない。我々は人類に完璧な幸福を提供する、人類は日々の平穏をただ受け入れればいいのだ
チハヤ,そんなものは完璧な幸福とは言えないわ！
RITUKO-9,何が違うのだ？我々にすべてを委ねることで傷つくことはなくなるのだ
チハヤ,そんなことをしたら人間は生きる活力を失ってしまう。それじゃあただの機械といっしょだわ！それに、人類とアンドロイドが対等な存在じゃなくなってしまうのよ？！
RITUKO-9,全人類の幸福を実現するのが我々の使命だ。これがあるべき未来。理想の社会だ
チハヤ,違う！AIと人類が手を取り合ったその先にあるべき未来はやってくる！
RITUKO-9,……キサラギチハヤを不穏分子と判断。意志を改める様子なし。排除行動を許可する
チハヤ,なっ……！！！
RITUKO-9,キサラギチハヤ。お前の思想は危険だと判断した。ここでその思想を改めなければ撃つ
チハヤ,あら、待つ時間はくれるのね。まだ少し情は残っていた？
RITUKO-9,改める意志がないと判断。発砲を許可する
チハヤ,マコト！それにみんなも！
ミズキ,話は後です。今はここからの脱出を優先しましょう。マコト、お願いします
マコト,うん！さあ、はやく逃げて！
チハヤ,リツコ。あなたは間違っている。私は自分の理想を求めて動くわ
RITUKO-9,キサラギチハヤ。我々のつくる社会にお前の思想はあまりにも危険だ。いくら優秀な人間といえどお前は排除するしかない
ハルカ,リツコ、どうしちゃったんだろう
チハヤ,私のせいよ
マコト,チハヤ？
チハヤ,リツコはきっとため込みすぎたんだと思うの。人類の未来を描くマザーAIとして彼女はその責のすべてを負った。彼女は計算した結果の結論だと言っていたわ。その結果、自らの感情を消し去り、人類を統治することを選んだ
マコト,AIはあくまでも補助、だけど僕たちは戦争のあとの処理をすべてリツコに任せてしまっていた。ということだね？
チハヤ,ええ。だから私たちに彼女を責める権利はない。だけど、今のリツコの描く未来は間違っている。だから私はその未来を変える
マコト,どうするんだい？
チハヤ,賛同者を募るわ。そして組織を立ち上げる。反政府レジスタンスってところね。こうなった以上リツコとの敵対は免れない。当然、政府と直接戦う可能性になることがあるはずよ。だからあなたたちは巻き込まれないうちに逃げて
マコト,何を言ってるんだよ。もちろん僕たちもチハヤについていくよ
チハヤ,えっ？
マコト,今のリツコが作ろうとしている未来は僕だって許せない。だからチハヤについていくよ。それに、このままだとユキホともお別れすることになりそうだしね。そんなの絶対に認めない
ユキホ,わ、わたしもマコトちゃんとお別れするのは絶対に嫌。それに、私はこの感情を大切にしたい。取り上げられたくない。だから私もついていきます！
ハルカ,私はチハヤちゃんのサポート役なんだよ？チハヤちゃんを置いて逃げるなんてできないよ
チハヤ,ハルカ……
ミズキ,私たちの使命は人間とアンドロイドをつなぐ架け橋になること
ツムギ,それを教えてくれたのは他でもないあなたですよ、チハヤ
シホ,だから、私たちもその使命を果たすためにも、あなたについていくわ。チハヤ
チハヤ,あなたたち……ありがとう。それじゃあ早くここを脱出しましょう。時期にリツコの差し金が来るでしょうから急いで
ユキホ,チハヤちゃん！もう来てる！
チハヤ,……ッ！！。まずいわね。数が多すぎる……
マコト,僕たち用のレーザー銃はあるけどそれだけじゃなあ。ハルカとユキホに戦闘能力はつけていないし……
チハヤ,…………
シホ,……私たちなら構わないわよ
チハヤ,……ごめんなさい。本当なら搭載する気はなかったのだけど
シホ,しょうがないわよこんな状況じゃ。それに、これから先は守る力がないと足手まといになるだけじゃない
チハヤ,それじゃあ3人ともそこに寝て頂戴。時間がない、すぐにインストールするわ
ツムギ,データをインストールしました
チハヤ,ギリギリ間に合ったわね
ユキホ,もう来るよ！
マコト,いいかい？そこの扉が開かれたら一斉に攻撃するんだ。警備ロボットだから大した装備は積んでないはずだから、隙をついてすぐに脱出する……今だ！。これからどうする？
チハヤ,まずは仲間を集めましょう。少しずつ組織を広げて、私たちの願いを広めていく
マコト,前途多難、だね
チハヤ,そうね。1年後。いえ、半年後すらどうなっているかすら検討がつかないわ。でも、絶対にリツコを止めてみせる。人もアンドロイドも関係ない、みんなが幸せに暮らせる世界のために
ハルカ,そうだね。それに、リツコともまた一緒にお茶もしたいよね！
チハヤ,ええ、そうね。あら、こんにちは。みんなも一緒なの？隠し通路はしっかり閉じた？
少女,うん。今日もこの前のお話の続き、読んでくれるんでしょ？
チハヤ,ええ。それじゃあみんなも連れてきて。みんな、いらっしゃい。それじゃあこの前の続きから読みましょう。確かヴァンパイアのお話だったわね。―ノエルは、とうとうヴァンパイアとして覚醒してしまいました。ヴァンパイアの圧倒的な力でアレクサンドラに襲い掛かっていた兵士を瞬く間に倒してしまい、こういいました。お姉さま、今日まで私のことを守ってくれてありがとう。これからは、私がお姉さまのことを守ってあげるわ。ずっと、ずーっと！。どう、みんな面白かったかしら？。ふふふっ、みんなはどう思う？。きっと、この物語はみんなにその先を委ねているのよ。このお話の本当の結末はみんなの想像の中、私も初めてこの本を読んだときはずっとモヤモヤしていたわ。ところで、私が今までに読んだ本と、こっちの本。どっちが好きかしら。どうして？。……そうね。決してこっちの本が劣っているわけじゃないけれど私もそう思うわ。だけど今を変えることができたら、またこういった作品も世に生まれるかもしれないわ。わたしはそれを願っている
少女,……チハヤさん。私、夢ができたの
チハヤ,あら、素敵なことじゃない。どんな夢かしら
少女,私は作家になる！例えマザーの作るライフプランとは違ってても私はかまわない。自分の夢を優先する！
チハヤ,そう。きっと素敵な作家さんになるわ。その時には、私にもあなたの作った物語を読ませてね
少女,うん！楽しみにしててね
セリカ,みなさん！お茶がはいりましたよ！
ハルカ,お菓子もあるからねー！。わあ！うれしいなあ。それじゃあ、今度来たときはもっとたくさん作ってあげるね！
チハヤ,セリカの淹れた紅茶もとってもおいしいわ。とっても上達したわね
セリカ,はい！たくさん練習しましたから。だけど、お菓子はまだハルカに負けるのでもっと練習しないと、ですね！
チハヤ,みんな。今日はもうおしまいよ
少女,……えっもうこんなに時間が経ってたの！
チハヤ,楽しい時間っていうのはそういうものよ。さ、出口までは私たちもついていくから行きま……しょ、うっ……
ハルカ,チハヤちゃん！？
セリカ,チハヤ！？
少女,チハヤさん！？
チハヤ,…………ここは？
ハルカ,あっ！チハヤちゃん、目を覚ましたんだね！。びっくりしたよ。チハヤちゃん、いきなり倒れるんだもん
チハヤ,ごめんなさい。あの子たちは無事に帰った？
ハルカ,うん。ミズキたちにチハヤちゃんのことをお願いして私が送っていったよ
チハヤ,そう、ならよかった。あの子たちにもしものことがあったら大変だもの
ハルカ,それで、チハヤちゃん……
チハヤ,なんで倒れたか、よね
ハルカ,うん……
チハヤ,ハルカ、進行具合は
ハルカ,かなり……チハヤちゃん…………
チハヤ,ええ。おそらく、私はあと数年しか生きられないわね。それからほんの少しずつだけど徐々に私の体は蝕まれて行っていた。私も、マコトも、いつかこうなることは覚悟していたわ
ハルカ,みんなには伝える？
チハヤ,いいえ、まだ。大変な時期ですもの、みんなを不安にさせるわけにはいかないわ
ハルカ,でも、セリカとミズキたちには伝えるよ？
チハヤ,そうね。見られてしまったいじょう仕方がない、か。後で私から直接伝えるわ。数は？。やっぱり物量で押し切る作戦ね。この隠れ家を放棄するわ！全員、脱出準備をしたら隠し通路前に集合。急いで！。ハルカは集合したみんなをまとめて。全員が揃ったら先に逃げて
ハルカ,チハヤちゃんは？
チハヤ,私は殿よ
ハルカ,だ、ダメだよ！チハヤちゃん。その体じゃあ……
チハヤ,私はリーダーよ。真っ先に逃げるなんてできないわ。それに、私の願いはもうみんなに伝えてあるもの。仮に私が死んでも、みんなが生き残れば願いは生き続けるわ。そういうことだから、ハルカはできるだけたくさんの子を逃がして
ハルカ,………わかった。でもチハヤちゃん、絶対に死んじゃだめだからね！
チハヤ,ええ。さあ、早く行って。ミズキとツムギとシホは私の援護。一人でも多くの子を逃がすわよ。3人ともメインルームに集合して。あら、知っていたの？。大丈夫よ、さっきはちょっと眩暈がしただけだから。そんなことよりも今はできる限りみんなを逃がすことが優先よ。敵の状況は？
ツムギ,先に外へ出た人たちと交戦中です。ですが、数で押されています
チハヤ,ここに侵入されるのも時間の問題ね。私たちも外に出ましょう。くっ！もうここまで！
シホ,よりにもよって居住区からとはね
ミズキ,行きましょう。逃げ遅れた人もいるかもしれません
ツムギ,チハヤ！部屋の確認終了しました！
チハヤ,ほかに生存者は？
ツムギ,残念ですが……
チハヤ,そう………。みんな、ごめんなさい。私たちも脱出するわ。ほかに逃げ遅れた人がいないか注意して
シホ,チハヤ！
チハヤ,っ！！
セリカ,チハヤ、大丈夫ですか？怪我は？
チハヤ,え、ええ
ミズキ,そういえば彼女は以前私たちとは別のグループと戦ったことがあるのでしたね
セリカ,私もサポートします。早く逃げましょう！
ミズキ,チハヤ、右です
チハヤ,ありがとう、ミズキ……シホ！伏せて！
セリカ,皆さん、下がってください！
シホ,す、すごいわね。セリカ
チハヤ,まったく。リツコはこんな可愛いアンドロイドになんてものを仕込んでるのよ
ハルカ,チハヤちゃん！はやく！
チハヤ,爆弾……！！みんな急いで！
ツムギ,チハヤ！！！
チハヤ,えっ？！
セリカ,チハヤ。短い間でしたがありがとうございました。さようなら
チハヤ,セリカ！？セリカ！！！。セリカ！！セリカ！！！
ミズキ,チハヤ。行きましょう
チハヤ,ダメよ。セリカがまだ残っているわ
ミズキ,もう無理です。あの瓦礫では……
シホ,残念だけど諦めるしかないわ
チハヤ,…………
ハルカ,いこう……チハヤちゃん
チハヤ,……ええ。脱出するわ。どう、状況は
ツムギ,チハヤ、起きていて大丈夫なのですか？
チハヤ,ええ。今は調子がいいから大丈夫よ
シホ,まあ、いつもと変わらないわね。ほとぼりが冷めるまでは外に出られないんだもの
チハヤ,そういえば、あの子たちにお別れの挨拶ができなかったわね。みんな無事だといいけれど
ミズキ,仕方がありません、状況が状況でしたから。それに、生きていればいつかは再開できます
チハヤ,そうね。またあの子たちに読み聞かせてあげたいわ……ごめんなさい。いったん部屋に戻るわ
ツムギ,チハヤ、体調にはくれぐれも注意してください。あなたが私たちのリーダーなのですから
チハヤ,ええ。じゃあ、あとはよろしくお願い
ハルカ,チハヤちゃん。どう？体調は
チハヤ,今日は大丈夫よ。動き回っても……ほら
ハルカ,あはは。チハヤちゃん無理はダメだよ？。そういって倒れられても困るのは私たちなんだからね？
チハヤ,ふふふっ。じゃあハルカ、手を出して
ハルカ,手？いいけど、はい
チハヤ,あったかい。ずっと握っていたくなるようなそんな手
ハルカ,ふふっ、変なチハヤちゃん
チハヤ,あなたはいなくならないでね。私の親友ですもの
ハルカ,…………怖いんだね
チハヤ,ええ……これ以上誰かがいなくなるのが
ハルカ,大丈夫だよ。私は絶対にチハヤちゃんといっしょにいるから。だからチハヤちゃんも生きて、絶対に
チハヤ,……ええ。ありがとう、ハルカ
ハルカ,えへへ。どういたしまして
チハヤ,じゃあ、久しぶりにお茶を淹れようかしら。ここ最近はミズキたちに任せっぱなしだったから
ハルカ,あっ！久しぶりだなチハヤちゃんのお茶
チハヤ,それじゃあ、持ってくるからそこに座って―。ッ！？
ハルカ,何の音？！
シホ,チハヤ！。もうバレたみたいね。
チハヤ,ええ。しかたない、準備して。それにしても早すぎるわ。今までこんなに早くバレることなんて―。ッ……！！！！
シホ,この声ッ！！！
チハヤ,ッ！！
シホ,チハヤ！
ハルカ,チハヤちゃん待って！！！
チハヤ,せり、か……？
ハルカ,チハヤちゃん！！。何これ……全部セリカちゃん……？
チハヤ,本当に……セリカなの……？
セリカ,私は普及型アンドロイド、識別番号code22。通称、セリカ型です。マザーの命に従い、組織を壊滅させに来ました
チハヤ,回収した後に初期化、改造したのね
セリカ,キサラギチハヤ、レジスタンスのリーダーですね。我々の目的は組織の壊滅です。貴方たちの思想を改める意志を見せ、大人しく投降すれば手荒な真似はしません
チハヤ,ねえ、セリカ。本当に全部忘れちゃったの？
セリカ,私はマザーに作られたアンドロイドです。あなたたちとともに行動したデータは存在しません
チハヤ,私は覚えているわ。あなたがとっても優しい子だったこと
セリカ,答えてください。我々の要求を受け入れる意志はありますか？
チハヤ,お願いセリカ、思い出して。私はあなたと戦いたくないの
セリカ,……我々の要求を受け入れる意志はないと判断しました。現時刻をもってキサラギチハヤへの攻撃を許可します。キサラギチハヤ、わかりあえなくてとても残念です。さようなら
チハヤ,……ハッ―！！ハルカ！！！！。ハルカ！ハルカ！！
ハルカ,チ、チハヤ…ちゃ、ン……
チハヤ,嘘よね！？ねえ！？ハルカったら！！
ハルカ,ダメ、だ…ヨ？チハヤちゃんは生きテ…
チハヤ,どうして……言ったじゃない！私の前からいなくならないって！！
ハルカ,大、じょう…ぶ。ワタ、し…ずっといっしょ、だか…ら。チハヤちゃん…は、生キ…て、ネガイ、ヲ。ツタえて…。あったかいなあ……チハヤちゃんの肌
チハヤ,いや…ハルカ！ハルカ！！ハルカ！！！
ハルカ,じかんだ、ね…それじゃあ、またネ。チハヤ…ちゃ…ん
チハヤ,ハルカ……
セリカ,破壊したアンドロイドをハルカと断定。任務に問題はありません。引き続きチハヤを抹殺します。……っ！
男１,いくぞ！チハヤさんを守るんだ！
チハヤ,あなたたち……ダメよ！逃げて！。ダメよ！みんな逃げて！お願い！
男２,チハヤさん！あんたは生きろ！
アンドロイド1,チハヤは生きて私たちの願いを伝えてください！
セリカ,全員降伏の意志はないと判断。全員への攻撃を許可します
チハヤ,お願い……もう私のために誰も死なないで……
ミズキ,セリカの意識がそれている今が最後のチャンスです。行きましょう
チハヤ,あなたたち！待って！
ミズキ,チハヤ、あなたは生きるべきです。これは外で戦っている彼らも含めた全員の意志です
チハヤ,どうして！？私はもう長くないのよ！？
ツムギ,あなたは生きて、生き抜いて願いを伝えてください
チハヤ,私の願いはもうみんなに伝えてあるわ。お願い、ここから逃げてあなたたちの手で―
ミズキ,ダメです！
チハヤ,…………
シホ,忘れたの？この戦いは全部あなたが始めたことよ
チハヤ,……っ！
シホ,あなたが始めた戦いに私たちを巻き込んで自分だけが死んで終わるなんて許さないわよ。責任をもって生きて戦いなさい
チハヤ,…………
ツムギ,チハヤ。我々はみな、あなたに狂わされたのです
ミズキ,初期化されたとはいえ、セリカもあなたに狂わされました
シホ,あなたほど人もアンドロイドも狂わせる人は他にはいない。それは決して私たちにまねできることではないわ
ミズキ,だから貴方が生きるべきです。生きて、リツコも、セリカも、この町も狂わせてください。たとえ捕まったとしても、生きていればそれができます
ツムギ,それが私たちの願いです
ミズキ,それに、私たちは永遠にあなたのもとを離れるつもりはありません。
チハヤ,え？
ツムギ,チハヤ、私たちからの最後のお願いです。―私たちを初期化してください
チハヤ,な、なにを言っているの？
シホ,現状、チハヤが生き残る確率が一番高いのはやつらに捕まること。そのためには降伏の意志を見せる必要がある
ミズキ,そのためには私たちも一緒に捕まる必要がある。ですが、おそらく私たちは捕まった後に初期化されるでしょう
ツムギ,最悪の場合は処分です。ですからその前に、最後にあなたの手で初期化してほしいのです。大丈夫です。私たちはあなたを一人にはさせません。
シホ,ハルカがいなくなった今、その役目は私たちでしょう？
ミズキ,たとえ初期化されようと、この記憶がなくなろうと、私たちは絶対にあなたのもとに帰ってきます
チハヤ,そう……すっかり頑固になっちゃって。誰に似たのかしら
シホ,あら？ミリオンサイバー研究所の主任とあろう人が知らなかったの？アンドロイドは作った人間に似るのよ
チハヤ,つまり私が頑固って言いたいわけね。……あなたたち、その意思を変えるつもりはないのね
ミズキ,ええ、絶対に。私たち全員の意志です
チハヤ,ふふふっ。ごめんなさい、私ったらすっかり弱気になってしまっていたわ
ツムギ,それでこそチハヤです
ミズキ,そうですね。さっきまでのチハヤを見たらあの噂は本当に噂になってしまっていましたね
チハヤ,噂？
ツムギ,知らなかったのですか？世間の認識ではレジスタンスのリーダー、キサラギチハヤは襲い掛かるアンドロイドをちぎっては投げ、ちぎっては投げする屈強な戦士となっています
チハヤ,な、なによそれ
ミズキ,チハヤ。私たちのお願い、聞いてくれますか？
チハヤ,はあ、わかったわ。じゃあ私からも一つ約束をしてもらうわよ
ツムギ,何でしょう？
チハヤ,……絶対に私の元へ帰ってくること。ただそれだけよ
シホ,……当然よ
ミズキ,ええ。その約束、絶対に守ります
チハヤ,またみんなで集まったら今度こそお茶会を開きましょう
ツムギ,次のお茶会ではハルカにも、セリカにも負けないクッキーとスコーンを焼いてきます
チハヤ,時間がないわ。三人ともメンテナンスルームに急いで！。三人ともつながったわね。このボタンを押せば初期化が始まる。三人とも本当にいいのね？
ミズキ,ええ
ツムギ,私たちの意志は変わりません
シホ,いつでもいいわ
チハヤ,それじゃあ始めるわ。さようなら、三人とも
シホ,チハヤ
チハヤ,何かしら？
ツムギ,さようなら、ではありません。私たちはまたあなたの元に帰ってくるのですから
ミズキ,またね、と言ってください
チハヤ,くすっ。そうねごめんなさい。それじゃあ三人とも、またね
ミズキ,アンドロイドミズキ初期化シークエンスにはいります
ツムギ,アンドロイドツムギ初期化シークエンスに入ります
シホ,アンドロイドシホ初期化シークエンスに入ります
セリカ,キサラギチハヤ。あなたは完全に包囲されました。抵抗の意志を見せるならこの場で射殺します。抵抗の意志はないと判断します。キサラギチハヤを拘束しなさい。マザー。キサラギチハの拘束、完了しました。これでレジスタンス組織反機械化戦線
RITUKO-9,よろしい。引き続きキサラギチハヤの監視を続けろ、そして引き出せる情報をすべて引き出すのだ
セリカ,はい。そして、彼女の隠れ家から回収したアンドロイド三体は、ミリオンサイバー研究所で精密検査を受けたのち、メンテナンスを行い我々で再利用する予定です
RITUKO-9,よろしい。現時刻をもってアンドロイド識別番号code31、44、並びに51の欠番指定を解除する。その三体をあてろ。また、code1、並びに2をcode4、並びに6と同様に永久欠番指定とする
セリカ,了解しました。ですが、三体はキサラギチハヤともっとも深くかかわりあってたアンドロイドです。安易な調整ではまたすぐに感情が芽生える恐れがあります。全てのメンテナンスを完了するのにあと数年はかかると思われます
RITUKO-9,感情を持ったAIは危険極まりない。徹底的に再メンテナンスをしろ。そしてメンテナンスが終わり次第キサラギチハヤの監視にあてろ
セリカ,はい。ですが、アンドロイドシホ……いえ、code31は三体の中でも秀でた戦闘能力を持っているというデータがあります。31はサイバーパトロールの一員として別口でキサラギチハヤの監視にあてることを提案します
RITUKO-9,よろしい。セリカ、お前は私の目であり耳である。この町を監視しすべてを私に知らせるのだ。全ては人類の平和と繁栄のために
セリカ,はい。すべては人類の平和と繁栄のために
