島村卯月,お、おはようございますっ！
Ｐ,あのちえりのくちから……あんな卑猥なことばが……でるなんて……。うっ……！！
智絵里,えっ！？
Ｐ,ウォオオオオオオオオオオオ――――！！。ああああああああああああ――！！！！
卯月,一体何が……。まさか、暴走！？
響子,違います……これは覚醒……！
美穂,ぷ、プロデューサーさんのえんとりーぷらぐ……！
響子,……まさか大天使の智絵里ちゃんが第一のオカズに落とされるなんて
卯月,きょ、響子ちゃん！どういうことなの！？
響子,――私たちが浴びせ続けたヨゴレ系の言葉が相殺されきれず、プロデューサーさんの中で生きていたんです
美穂,男の人って……ああなるんだ……///
響子,それが、さっきの智絵里ちゃんの発言をトリガーにして、一気に発露した……。プロデューサーさんの……新しい性癖の扉が開く……
智絵里,プロデューサーさんっ！。落ち着いて！落ち着いてください！。ほ、ほら、私を見て――
Ｐ,ああああああああああ――！！。あひぃいいいいいいいい
智絵里,操作系がっ！？
響子,普段の放出量を超えている……。このままじゃプロデューサーさんが昇天しちゃいますっ！
卯月,そ、そんなっ！
美穂,///
智絵里,プロデューサーさん……。私の……私のせいなんですか……
Ｐ,あああ……あがが……あが……
智絵里,私……どうしたら……。メール？こんな時に……。――これって！？
Ｐ,あ……ああ……。ちえ……り……
智絵里,――プロデューサーさん
Ｐ,ちえり……ちえ……り……
智絵里,希望が消えても――願いと呪いはこの世界に残る。遺志は情報として世界を伝い――変えていく
Ｐ,……ち、えり……？
智絵里,ごめんなさい。これはあなたが望む幸せじゃなかったですよね。性癖の扉は私が閉じます。安心してください
Ｐ,なにを……いって……
智絵里,そんな顔、しないでください。また会えますよ。プロデューサーさん
Ｐ,ちえ――
智絵里,――プロデューサーさん。ただいま、まったりのんびりぽかぽか温泉ガシャ開催中です！。ぜひこのチャンスに限定アイドルをゲットしてくださいね！
Ｐ,ぎゃぁああああああああああああああああ――――――！！
愛野渚,ん？薫ちゃん、何見てるの？
龍崎薫,あれだよ！みてみて、渚お姉ちゃん！
薫,あっちのほう、光がぶわーってしてるの。きれいだなー
渚,ホントだ。なんだか十字架みたい。……でも、あっちって事務所がある方向だったような
薫,事務所で何か、あったのかな？
渚,まあ、うちには芳乃ちゃんとかこずえちゃんとか、超常現象には事欠かないメンバーが揃ってるしね。そんなことより薫ちゃん。買い出し済んだから、何か好きなお菓子買っていいってさ
薫,ホントー！？やったぁ！
渚,買い出しを手伝ったご褒美だって。ですよね――。ちひろさん
千川ちひろ,ん？
ちひろ,ええ、はい。二人がいてくれて今日は助かりましたから。特別です♪。あっ、でもあまり高いものはダメですよ？
薫,何がいいかなー！みんなが喜んでくれるものがいいなー！
渚,ちひろさん、ずいぶん笑顔でメールしてましたけど――。もしかして、カレシとか？
ちひろ,ふふっ、違いますよ。プロデューサーさんのために、ちょっと必要事項を伝えていただけです
渚,いやいや。あながち間違ってもいないんじゃないですか？。実際、プロデューサーとはそれなりの付き合いなわけですし……
薫,ええー！？せんせぇと！？。むぅ……そうなの……？
ちひろ,もう、渚ちゃんったら……。大丈夫ですよ薫ちゃん。期待されても、心配しなくても――プロデューサーさんとは良き仕事仲間です。だってプロデューサーさんは、アイドルみんなのプロデューサーですし。そして私は――。あくまで、アシスタントですから♪
Ｐ,つ、疲れた……。おかしいぞ。なんだこの疲労感……。いや、肉体のほうはちひろさんが置いといてくれたドリンクで回復したからいいんだが……なぜか精神まですり減ってる気がするんだよな。そもそも今日の記憶自体、なぜか曖昧だ。気づいたらソファで寝てたし……何があったんだ……？。そういえば、寝てる間にものすごい夢を見た気がするんだが……駄目だ、思い出せん……。それに起きた時、上半身が寝汗でぐっしょりだったのに、下半身はなぜかスッキリしてたんだよな。っていうかこれ、ズボンもパンツ新品じゃないか？。でも、着替えた記憶なんてまったくないし……。うおっ！？。お、おお、どうした、まゆ
佐久間まゆ,いえ……、女子寮に着きましたよ、と……
Ｐ,お、おお！そ、そうだったか……！
まゆ,……ごめんなさい。やっぱり、お仕事でお疲れのプロデューサーさんに送ってもらおうだなんて、ご迷惑でしたよね
Ｐ,いやいや気にするな！そもそもこんな時間じゃ物騒だって、言い出したのは俺なんだから。こっちこそ悪かったな……。大切なアイドル乗っけといて、ボーっと運転してたなんて……
まゆ,そ、そんな！そんなことないですよ！まゆ、とっても嬉しくて、それで……。――そうだ。良ければこのまま、まゆのお部屋に来ていただけませんか？。今日のお仕事はもうないんですし、ちょっと休憩して――なんでしたら、そのまま泊まっていただいても構いませんよぉ
Ｐ,だめだめ。そんなの女子寮に上がりこんだ時点で、世間的にも事務所的にもアウトに決まってるだろ。一発でスキャンダルだ。特にまゆは今や注目集まる人気アイドルなんだぞ。アイドルとして、いつどこで何を見られてるか分からないんだから。脅かすわけじゃないが、用心しないと
まゆ,それは、そうですけど……でも……
Ｐ,お前たちはまだまだこれから、もっと活躍できるんだ。丁度今だって、ディレクターさんと話して、まゆやウチのアイドルを出させてもらえる番組を企画中なんだぞ
まゆ,本当ですか！。うふふ。嬉しいです♪
Ｐ,そうだろうそうだろう！
まゆ,楽しみ、ですね。みんなと一緒に……うふふ♪
Ｐ,……まゆはさ。最近、いい笑顔で笑うようになったよな。出会ったばかりの頃だって光るものは当然あったけど……、最近はそれが輪をかけて、より磨きがかかった感じだ。なんて言うか――まゆ自身も楽しんでるのが伝わってくるよ
まゆ,そうですか？。――うふふ。そうですね。そんな風になれたのは、きっとみんなのおかげです。プロダクションの皆さん――仲間のみんなと出会えたから。プロデューサーさんにスカウトされて、アイドル業をって心に決めて――その決断を後悔したことはありません。でもあの頃の自分は、単身でこちらに移ってきて、身の回りもガラッと変わったことで――やっぱり、心のどこかで、寂しくて不安を感じていたんだと思います。だから、私の周りにたくさんの優しい仲間が居てくれるって分かって、良かったなぁって……。プロデューサーさんとの出会いが運命だとすれば――彼女たちのとの出会いもまた運命、なんでしょうね。あっ、でもみんなには内緒ですよ？。こんなこと、加蓮ちゃんなんて絶対からかってくると思いますし……、李衣菜ちゃんならロックだねって、言ってくれるかなぁ
Ｐ,まゆ……
まゆ,当然、プロデューサーさんだって、そんな大切なみんなのひとりです。ですから――まゆのお部屋で、とはもう言いませんけれど――お休みすることも大事にしてください。プロデューサーさんは、みんなにとってかけがえのない存在。だからこそ、時にはお仕事から離れることだって必要ですよ？
Ｐ,ははは……。耳が痛いなぁ……。でもこれはさ、ある種、職業病みたいなもんでな――。たまの休みの日とかでもさ――みんなのプロデュースのことを考えちゃうんだよ。次はこういう仕事はどうかとか、こんな一面だって活かせるんじゃないかとか……。それにまゆも言ってたように、他のアイドルとの出会いでも――お前たちはお互いに響き合って、磨かれて――。色んな輝き方やその可能性を見せてくれるからな。アイドルのプロデューサーとして、そうやって成長していくみんなの姿を一番早く、一番近くで見続けていきたい。一緒にその軌跡を追い続けたくて仕方がない。俺はお前たちの魅力に、すっかり射抜かれてるのさ
まゆ,…………
Ｐ,な、なんて！なんかクサイこと言ってるよなー！。こんなことで引き留めて悪かった。まゆは明日はオフだしゆっくり休んでくれ――。……ま、まゆ？
まゆ,……Ｐさん。ああ……Ｐさん……Ｐさぁん……
Ｐ,！？。な、なんだ！？。まゆの身体、だんだん薄くなって……。消えていってる！？。お、おいまゆ！しっかりしろ！。だめだッ！どんどん姿が消えていってるぞッ！。こ、こういう時は……。なんだっけ……確か、そう……。ヨゴレ系のことを言えば――！！。ま、まゆ――！。オナ禁明けの一発目はいつもお前でヌイてるぞっ！！。……えっ
まゆ,――うふふ。駄目じゃないですか、プロデューサーさん。プロデューサーさんは今や注目集まる人気アイドル――そのプロデューサーなんですよ？。アイドルに携わる人として、いつどこで何を聞かれているか分からないんですから
Ｐ,ま、まゆ――
まゆ,脅すわけじゃあ、ないですけど。用心しないと、ね？
Ｐ,あ、あのな……
まゆ,あ、誤解しないでくださいね。まゆ自身はとっても嬉しいんですよ？。プロデューサーさんの気持ちを聞けて、天にも昇る気持ちなんです。背中に羽根が生えたように、身体も心も軽やかで――今にもパタパタ飛んでいきそう……！。でも、まゆ的には良くても……事務所的にはどうでしょう？。世間的には、どうでしょう。どうなっちゃうんでしょうか？。誤解されないといいですねぇ？
Ｐ,ま、まゆ……あの……
まゆ,うふふ。これからまゆのお部屋で休憩しませんか。――なんて、もう言いませんよぉ。そんなこと言いません。まゆは
Ｐ,
まゆ,はぁ……///。すごかったです……あんなになんども……。すっかりあなたに射抜かれて――。まゆ、汚されちゃいましたぁ……💛
久しぶりにスレ立てたらエラーやら規制やらでたいへんだった,小並感
