●全90レス前後,予定
黒木母,・・・・・・・・・・・・・・
黒木,どうしても、気を惹きたい男の子がいて。メイクの仕方を教わってるうち、そういうことも教わるようになって。いろんなサイトや動画を教えてもらって・・・
加藤母,・・・・・・・・・・・・・・
学年主任,ふうん、そう。でも、加藤は
加藤,はい。黒木さんは、わたしをかばっています
教頭,ふう、む
加藤,わたしは男の子とのお付き合いのことなんて、教えられるほど詳しくありません。黒木さんはいろいろな本を読んでいて、男女の関係についても詳しかったんです
黒木,ラノベやエロゲも含めれば、ウソではないんだよな
黒木母,・・・・・・・・・・・・・・
加藤,だからわたしが無理を言って、黒木さんにいろいろなサイトや動画を見せてもらって
学年主任,・・それでふたりとも、その相手のことは
黒木,それだけは勘弁してください
加藤,相手が誰だろうと、この件についてはあまり関わりがないはずです
加藤母,・・・・・・・・・・・・・・
加藤,・・・履歴のチェックもなさいますか
学年主任,そこまではしなくていいでしょう
黒木,工作しておいたけど、ムダになってなにより
学年主任,お母さまがたのほうからは、なにか
黒木母,わたしは前回、言いたいことはすべて言ったので
黒木,言っただけじゃないだろ
教頭,加藤さんからは
加藤,・・・・・・・・・・・・・・明日香
黒木,・・・・・！
加藤,・・・はい
加藤母,間違いないのですか
黒木,・・・お母さんも怖い人だな・・・
加藤,・・・間違い、ありません。黒木さんは、わたしを
加藤母,わかりました
学年主任,加藤さん？
加藤母,明日香、お立ちなさい
加藤,はい
加藤母,
加藤,・・・・っ
黒木,え？！
黒木母,・・・・・・・・・・・・・・
教頭,ちょ、ちょっと！
加藤母,・・・智子さん
黒木,は、はいっ
加藤母,智子さん。わたしはあなたが嘘をついているとは思いません
黒木,は、はい・・・
加藤母,けれど、わたしはこの子の母親です
加藤,・・・
加藤母,だからわたしは、この子を信じます。明日香、黒木さんに謝りなさい
加藤,黒木さん・・・すみませんでした
黒木,そ、そんな
黒木母,黙りなさい
黒木,んごっ？！
黒木母,加藤さん、お気持ちはわかりました。でも、この子に責任がないわけではないです
加藤母,・・・
黒木母,ほら、しっかり謝んなさい
黒木,・・・すみませんでした、加藤さん
加藤,黒木さん。わたし・・・
加藤母,明日香。・・・先生がた
学年主任,は、はあ
加藤母,どうか存分に
黒木母,この子はすこし痛い目見たほうがいいんです
黒木,もう十分見てる
教頭,ううむ
黒木,・・・終わった、のかな
加藤,ひとまずは
黒木,・・・はああ、まいった
加藤,・・・黒木さん、わたし
黒木,朝、約束したよ
加藤,そうだね。もう、謝らない
黒木,これでおしまい、うらみっこなし
黒木母,なに言ってるの
黒木,うぐえ
黒木母,加藤さん、明日香さん。本当にご迷惑をおかけして
加藤母,・・・こちらこそ。ほんとうに申し訳ないです。この子の無理につき合わせてしまった上に
黒木,そ、そんなことは
加藤母,明日香があなたにしたメイク、見せてもらいました。あれでは、笑われてしまって当然です
加藤,・・・・・・・・・・
加藤母,せめてもの、お詫びに
黒木,え、まさか
加藤,お母さん？！
加藤母,・・・智子さん、いいかしら。ご迷惑でなければ
黒木,いえいえいえいえ！とんでもないです！お願いします！
黒木母,す、すみませんすみません。そこまでしていただいて
加藤,・・・お母さん、いいの？お仕事以外では、他人へのメイクは絶対しないって・・・
加藤母,今回は特別です。明日香、よく見てごらんなさい
加藤,・・・あっ
黒木,え？わ、わあ・・・！
加藤母,・・・何度も言ったことだけれど、あなたはすぐ飾りすぎてしまう
加藤,・・・
加藤母,こんなに大きくてきれいな目をごてごてと飾りつける人がありますか。雑誌の通りそのままやればいいというものではないのですよ。リップもそう。智子さん、あなたは口もとても大きくて、セクシーなんです
黒木,そ、そんな
加藤母,だから控えめに、自然に―
黒木,・・・おおおおおお！！
加藤,す、すごい・・・
加藤母,あなたは、とても綺麗なんですよ。智子さん。この子よりも、あの雑誌のモデルよりも、ずっと
黒木,わ、わっ、わあああ！！
加藤母,はい、できあがり
黒木,す、すごっ・・・夢みたい
加藤母,どうかしら、智子さん
黒木,すごいです、すごすぎます・・・
黒木母,わたしもやってもらいたい・・・
黒木,まるでわたしじゃないみたい・・・
加藤母,智子さん、これがあなたなんですよ
黒木,これが、わたし？？
加藤母,装うとは偽ることでなく、自身の内面を表現することだとわたくしは思っています
黒木,は、はあ・・・・・・・・・・
加藤,自身の、内面を。・・・・・・・・・・・・・
黒木,写メとっとこ。ラインにツイッターにインスタに
加藤,黒木さんは自分の可愛さを知ってた。そして、それを表現する方法を知ってた
黒木,全世界に拡散するんだ
加藤,そして―
田中,あ、黒木さん、加藤さん
田村,黒木さんのお母さん。そっくり・・・
根元,みんなでお茶しよ、無罪放免祝いだよー・・・
黒木,ん
田村根元田中,
黒木,…無罪じゃないんだけどな
根元,くっ、くっ、くろぉ？！クロなの！！？？
田中,く、黒木さん。それ、こないだの？
黒木,すごいでしょ
田村,
黒木,加藤さんのお母さんに、してもらった
根元,う、うそ・・・
黒木,どうだ参ったか？笑えるもんなら笑ってみろ
根元,…参りました。加藤さん、ごめんなさい
加藤,ううん。わたしが、下手だっただけ
加藤母,本当は髪や服も手をつけたいんですけどね
黒木,お金払うからやってください
加藤母,・・・・・・・・・・・・・
黒木,え？！
加藤母,ただでメイクしてあげるのは、もうこれっきりですけれど。うちにあるものを使って、自分たちでなさる分には構いません
黒木,い、いいんですか？！
加藤母,仕事で使っているものはダメですけど、それ以外のものならお貸しします
黒木,う、うちにあるものって・・・
加藤母,まあ、不足ないくらいには。コスメに衣装、ウィッグ、アクセサリー。それに資料も
黒木,・・・信じられない・・・ありがとうございますっ
根元,…クロ、いーなー
加藤,ふふ、お友達の方々も、ぜひ
根元,えっ？！い、いいんですかっ！
田中,ど、どうしよう
田村,・・・・・・・・・・・・・・
根元,行こうよ！行かなきゃ損・・・あ、その
加藤母,ふふ、、損はさせないつもりですよ
田中,でも、大勢でいいんですか？
加藤母,ええ、にぎやかにしてもらえると嬉しいわ。空っぽになってしまうことが多い家ですから
根元,あ、ありがとうございますっ！
田中,加藤さん、お邪魔します
田村,…お邪魔します
加藤,うん…
黒木,おごってもらうドリンクバーは格別
加藤,・・・みんな、ごめんね
田中,ううん。でも、よかった
根元,・・・でも、やっぱり加藤さんのお母さんってすごいなー
黒木,うふふ、そうかしら
根元,こんな気持ち悪いのでも、こんなに綺麗にできるんだもんね
黒木,うるせー。でも、メイクってやっぱりすごい
田村,わたしもしてるんだけど
黒木,え？！
田村,目元をちょっとだけ、だけど
黒木,そ、そうだったんだ
田中,知らなかったの？
田村,はじめたの、つい最近だから。修学旅行の後くらい
黒木,言われてみれば、なんか人相変わってたような気が・・・
田中,わたしも楽しみ。そばかす消してみたい
黒木,なんてもったいない
田村,真子はそれが可愛いのに
田中,もう、ゆりったら
田村,わたしも・・・加藤さんに、メイク、教えてほしい
加藤,・・・田村さん
根元,みんなで見せっこしよー。クロには負けないんだから
黒木,ふふーん。かかってらっしゃい
根元,やっぱこのおばちゃんキモい
黒木,っるせー！
加藤,ふふふ、わたしだって負けないよ
黒木,あ、そっちはもう降参します
根元,なにそれー
黒木,だって勝負にならないし
加藤,・・・・・・・・・・
根元,クロは加藤さんには甘いんだからなー
黒木,あ、甘いとかそんなんじゃ
加藤母,ごちそうさま。美味しかったわ
加藤,えへへ、ありがとう
加藤母,明日、母さんは先に出てますからね
加藤,・・・うん。朝ごはん、ちゃんと食べていってね
加藤母,朝はおなかが空かないのよ。美味しいものがあれば別ですけどね
加藤,もうお母さんったら、子どもみたい。なにか、作っておくから
加藤母,ふふ、お願いするわ
加藤,・・・・・・・・・・。・・・・・・・・・・。・・・ああ、楽しみだなあ。黒木さんたち、家に来るんだ。みんなでメイクしあうんだ。見せあいっこするんだ。こんなの、ひさしぶり。・・・・・・・・・・。黒木さん、どんなメイクしてあげようかな？。どんな服着てもらおうかな、どんな髪型にしてあげようかなー。・・・・・・・・・・。・・・わたしってば、黒木さんをまたオモチャにしようとしてる。悪い子だなぁ。・・・でも。・・・ふん、ふん、ふん♪
加藤母,・・・・・・・・・・
