本当は、今すぐ駆け寄ってきて,行くな
ダル,下の確認……考えようによってはエロい気がする
紅莉栖,お待たせ、下は大丈夫だったわ
ダル,その下ってのがイマイチ分からない件について
紅莉栖,詳しい説明は……またいつかする。さあ、バナナを用意して
ダル,ほい、これをレンジの中に入れればおｋ？
紅莉栖,ええ、そして電話レンジの設定をする……
ダル,温めるなら＃押して数字入れればいいはずだけど
紅莉栖,それを変えるの。数字を入れてから＃を入力する
ダル,へっ？そんなことしてなんになるん？
紅莉栖,観てれば分かるわ。……１、２、０、＃
ダル,おっ、電話レンジが動き出した。これでも動くのか……
紅莉栖,後は、バナナが房に戻れば……再現できたってことになる
ダル,おっ、終わったみたい。結果は……うーん、ホカホカバナナの出来上がり
紅莉栖,……失敗、か。偶然の産物、理論が偶然に当てはまり、そして環境が整っていた。ゼロからラボの環境を作り、リフターの存在する環境も同じであるかも分からない。それでも、やるしかない……理論はある、実際に電話レンジは機能したという事実がある。……それならきっと、生み出すことはできるはず
ダル,……バナナ、あたたかいお
紅莉栖,……今日はダメか。時間的にもこの辺がリミットね
ダル,牧瀬氏、どうなったら成功なん？さっぱり分からないまま配線弄ったり温めたりの繰り返しなんだが
紅莉栖,今言っても信じないと思う……だから、成功したらその目で確かめて
ダル,んー、わかりますた。じゃ、またやることになったら連絡して
紅莉栖,ええ、また明日連絡するわ
ダル,あ、明日……？明日もこれと同じことを繰り返す訳？
紅莉栖,もちろん。私一人でもやるわ、……早く、なんとかしたいから
ダル,……午後からなら行けるかもしれないから、またその時はよろしくってことで
紅莉栖,ありがとう橋田さん。また会いましょう。……ある程度は覚悟してたけど、実際上手く行かないと萎えるわね。殺風景な部屋……ゴチャゴチャしてたけど、あれ位じゃないと落ち着かないわね。岡部……あんたは、本当になにも思い出さないの？まゆりも、私のことも……。……っ！？電話か……もしかして、岡部！？。も、もしもし！。なんだ、まゆりか……。そ、そういう訳じゃないの。……えっと、何か用かしら？
まゆり,おーい、クリスちゃーん。ごめんね、待たせちゃったかな？
紅莉栖,まだ待ち合わせの五分前、全然問題ないわ
まゆり,クリスちゃん、今日はお願いします
紅莉栖,ただメイド喫茶に連れて行くだけだけど……ともかく、早速行きましょうか
まゆり,うん！まゆしぃはメイド喫茶は初めてなのです。どんなところなの？
紅莉栖,……とりあえず、女一人で行く場所ではないってことは確かね
フェイリス,お帰りニャさいませ。お嬢様♪
まゆり,は、はじめまして……椎名まゆりです
フェイリス,ニャニャ？これはご丁寧にどうもだニャン。フェイリス・ニャンニャン、よろしくニャ♪
紅莉栖,別にいきなり自己紹介をしなくてもいいのよ、まゆり
まゆり,えー、そうなの？まゆしぃ、こういうところは初めてだから……
フェイリス,今日はお嬢様二人とは珍しいニャン。どういう風の吹き回しかニャ？
紅莉栖,えっと、この子がメイド喫茶でのアルバイトに興味があるって言ってるのよ
まゆり,く、クリスちゃん……えっと
フェイリス,ニャるほど……マユシィ、でいいのかニャ？
まゆり,は、はい
フェイリス,では……早速テストだニャン！
紅莉栖,……テスト？
フェイリス,今からいくつか質問するから、それに答えてほしいニャ！
まゆり,よ、よろしくお願いします
フェイリス,第一問！マユシィの趣味はなにかニャ？
まゆり,えっと、コスプレの衣装を作ることです
フェイリス,ニャニャ！？高評価だニャン！続けて第二問！人と接するのは好きかニャ？
まゆり,うーん、誰とでも友達になりたいなー、って思います
紅莉栖,私ともすぐに仲良くなったから、人と接するのは好きだと思うわよ
まゆり,えへへー、ありがとうクリスちゃん
フェイリス,ニャニャニャニャ……！これは大物の予感がするニャ……
紅莉栖,なんの大物だ、ってのは野暮よね、きっと
フェイリス,最後の質問ニャ！なにか口癖、または特徴とかはあるかニャン？
まゆり,口癖……特徴……えっと
紅莉栖,ほら、いつものアレ。やってみたら
まゆり,えっ？う、うん……トゥットゥルー♪まゆしぃでーす。あ、ありがとうございます
フェイリス,マユシィ、明日からよろしくニャン♪
紅莉栖,よかったわね、まゆり
まゆり,うん！クリスちゃんのおかげだよー。ありがとう、クリスちゃん
紅莉栖,世界線が変わっても、人の本質は変わらないのかもしれない。それならあんたは、どうして変わってしまったの……？。外見じゃない、人間の中身……それが、今のあんたは変わってる
フェイリス,お祝いってことで、今日はメイクイーンを思う存分楽しんでほしいニャン♪
紅莉栖,じゃあ、お言葉に甘えようかしら。えっと席は……あっ
ダル,あっ
紅莉栖,なるほどね……まあ、そんなことだろうとは思ってたけど
ダル,いや、僕にはフェイリスたんに会うという重大な使命があって……
紅莉栖,いいわよ、そんなことで責めないわ。、こっちは協力をお願いしてる訳だし
まゆり,あれ？ダルくんだー、トゥットゥルー♪
ダル,まゆ氏、まさかコミケ以外の場所で会うとは思わなかったお
まゆり,本当だねー、こうやって会えると嬉しいね
ダル,でも、まゆ氏がどうしてここに？
まゆり,えっとね、まゆしぃは明日からここで働くのです！
ダル,……なんですと！？牧瀬氏、申し訳ないが明日からはしばらくやることができたので
紅莉栖,……どうぞ、ご自由に
ダル,じょ、冗談だお……だからその冷たい目は勘弁
まゆり,へー、クリスちゃんとダルくんは一緒に実験してるんだね
ダル,まっ、実験と言っても僕にもなにがなんなのかさっぱりわからないんだけど
紅莉栖,……そのうちわかるわ、きっと
まゆり,でも、なんだか面白そうだねー。まゆしぃは実験とか、そういうのはよくわからないから羨ましいのです……
紅莉栖,それなら、来てみる？ラボに
まゆり,えっ？行ってもいいの、クリスちゃん？
紅莉栖,ええ、まゆりなら大歓迎よ。ねえ、橋田さん？
ダル,まゆ氏も来るなら行くしかないだろ常考
紅莉栖,……本当、わかりやすい人間で助かったわ
ダル,牧瀬氏、そんなに褒めるなって
紅莉栖,褒めてないっつーの。ここがラボよ、なにもなくて退屈だろうけど
まゆり,うわー……ここで実験をしてるんだね
ダル,実験という名のガラクタ作りだったりするんだけど
まゆり,でも、いいなーここ。まゆしぃはこういうのに、ちょっと憧れてしまうのです
紅莉栖,それなら、いつでも来ていいわよ。ねえ、橋田さん？
ダル,熱烈歓迎まゆ氏。いつでもカモン、待ってるお！
まゆり,ありがとう、クリスちゃん♪
紅莉栖,……そうだ。せっかくだから、まゆりもラボメンにならない？
まゆり,ラボメン？
紅莉栖,そう、私たちの仲間ってこと。私がラボメンナンバー００１、橋田さんが００２
ダル,ってことは、まゆしが００３って訳か
まゆり,おおー、なんかカッコいいねー。どんどんラボメンが増えたらもっと楽しくなるね
紅莉栖,そうね。次は、００４……か。……変な話ね、あれだけラボのリーダーだって主張してたあいつがいないなんて。００４の私が００１、００３の橋田が００２、００２のまゆりが００３。だったら、あんたは００４ってことになるわね。……もし、本当に入ってきたら……助手って呼べばいいのかしら？。それが嫌で入ってこないとか有り得るわね……まっ、来たらの話だけど。……来なさいよ、バカ。まゆり、バナナ！
まゆり,は、はい！
紅莉栖,橋田さん、次はこっちとこっちを組み合わせて
ダル,オーキードーキー！
まゆり,クリスちゃん……休まなくて大丈夫？まゆしぃは心配なのです……
紅莉栖,大丈夫……よ。時間は……限られてる、よっ……から
ダル,あー……あっちー……
まゆり,ダルくん、飲み物買って来たよー
ダル,うおおお！まゆ氏マジ女神！しかもダイエットコーラとか気が利き過ぎだろ常考……
紅莉栖,きょ、今日もダメだった……
ダル,うへー……疲れたお……
まゆり,二人とも、大丈夫……？
紅莉栖,ええ、大丈夫……時間も時間だし、そろそろまゆりは帰った方がいいわね
まゆり,クリスちゃん、今日は色々ありがとう。感謝してもしきれないのです
紅莉栖,大げさよ。……私も買い物ついでに外出ようかしら。橋田、あんたはどうするの？
橋田,僕も帰るお……つーか牧瀬氏、僕の扱いぞんざいになってね？
紅莉栖,そう？きっと気のせいよ、ほら早く
まゆり,ダルくーん、置いてっちゃうよー
ダル,そ、そこはゆっくりと待つとこだろ常考……。牧瀬氏……
紅莉栖,なによ……
ダル,……なにも、起きない件について
紅莉栖,…………
ダル,……無言はなしでお願いします。……つーか、お互いに結構ガタがきてるんじゃね？
紅莉栖,あるあ……あるある
ダル,……前から思ってたんだけど、牧瀬氏ってねらーでＦＡ？
紅莉栖,…………
ダル,……沈黙は肯定と受け取るのぜ
まゆり,あれー？二人とも、元気ないねー……
紅莉栖,ええ……きっと暑さのせいよ……
ダル,ホカホカバナナの暑さにやられたか……
まゆり,二人とも……ぐったりって感じなのです。ダルくん、クリスちゃん、なに食べる？
ダル,……コーラ
紅莉栖,……アイスコーヒー、目を見てまぜまぜなしで
まゆり,もうー、飲み物だけじゃなくてちゃんとご飯も食べなきゃダメだよー
ダル,……食べる気起きねーっす
紅莉栖,……橋田に同じく
まゆり,むー、まゆしぃが元気になりそうなもの持ってくるから、ちゃんと食べてね
紅莉栖・ダル,あーい……
ダル,……なんでまゆ氏ってあんな元気なんだろ
紅莉栖,……本当ね、ごはんも毎日たくさん食べてるみたいだし
ダル,……なるほど、食料の差が決定的な胸の差を生み出して
紅莉栖,……電極カイバー
ダル,……すんません
頭の中では、,やっぱり
私の聞いた答えは、,まゆりは死んではいない、原因は不明である
紅莉栖,まゆりはまだ死んではいない……でも、このままでは確実にまゆりは……。早く、早く電話レンジを完成させないと……完成させる？。何日も実験して、なにも成果が出なかった。それが一日で完成するのか？。それよりも早く、まゆりが死んでしまったら……終わりだ。世界線の移動もできず、まゆりも助けられない……今一番可能性が高いのは、この結果。私は、私はなにができる？まゆりを助けるために……いったいなにが……。必要なものは……整った環境、優秀な頭脳、そして……まゆりを助けたいと思う人間がいること。……心の奥底で、考えていたことがある。もし、こうなってしまった時にどうするか。取り返しのつかない事態になった時、どうやってこの状況を打破するのか。私には一つだけ、方法がある。……岡部倫太郎にも、ラボにも頼らない方法がある。……ＳＥＲＮに、技術を提供すれば
まゆり,あのね、クリスちゃん……まゆしぃは、ごめんなさいしないといけないのです
紅莉栖,えっ……？な、なにを謝るって言うの？
まゆり,せっかくクリスちゃんのおかげでアルバイトできたのに……こんなことになって
紅莉栖,ば、バカ！あんたの体が何よりも大事なの！そんなこと……謝らなくていい
まゆり,でもね、まゆしぃがお店で倒れたら……クリスちゃんはきっと気にするんじゃないかな、って思ったの
紅莉栖,違う……そうじゃない。まゆり、あなたは……死ぬことが決められている……
まゆり,なにも気にしなくていいから……まゆしぃは、クリスちゃんにとっても感謝してるから
紅莉栖,……わかった。ありがとう、まゆり……今、あんたは。そっか……言ってくれれば会いに行ったのに
まゆり,実は……ラボにも寄りたかったから。ここ、まゆしぃのお気に入りだったんだよ
紅莉栖,……喜んでもらえてよかった。ここで待ってるから、早く戻って来なさい
まゆり,うん！……クリスちゃん、ありがとう
ダル,はあ……はあ……牧瀬氏！まゆ氏はここに……
まゆり,あっ、ダルくん。メイクイーンにいたんじゃなかったの？
ダル,まゆ氏を追って走ったけど……はあ……はあ、物凄く速かったから見失って……ふー……
まゆり,こんなに元気なのに、病院に行かないといけないなんておかしいよね……
紅莉栖,……本当に、本当にそうね。どうして、どうしてこんな元気なまゆりが死なないといけないのか……
ダル,……まゆ氏、そろそろ戻った方がいいんじゃね？
まゆり,……もうちょっとだけ、ここにいたいのです
紅莉栖,まゆり……でも――電話？も、もしもし。岡部……岡部なの？
まゆり,……っ！
紅莉栖,岡部！まゆりが……まゆりが！。あっ……そうだ、この岡部は……岡部じゃないんだ。まゆり、どうする？
まゆり,……言っても、いいよ
紅莉栖,分かった……。岡部さん、まゆりは秋葉原にいます。……どうしますか、連れて行きましょうか？。わかりました、場所は秋葉原駅を出て――
岡部,……まゆり、こんなところにいたのか
まゆり,オカリン……迎えに来てくれたの？
岡部,ああ、お前の両親に頼まれた。……ったく、どうして脱け出したりしたんだ
まゆり,……ごめんなさい
紅莉栖,待ってください、まゆりはこれから入院するから……その前に挨拶をしに来てくれただけです
岡部,それが駄目だって言ってんだ。普通に考えたらわかるだろ？
まゆり,…………
ダル,えっと、まゆ氏も反省してるみたいだし、ここは穏便に……
岡部,あんたには関係ないだろ。……ん？その顔、どっかで……
ダル,高校の時、同じクラスだった橋田。……覚えてないかもしれないけど、一応
岡部,いや、覚えてるよ。こんなとこで会うとはな……それにしても、ここはなんなんだ？
紅莉栖,……それ、どういう意味ですか？
岡部,ボロいビルの部屋の中はレンジがずらっと並んでる……なんか怪しい宗教でもやってんのか？
紅莉栖,このレンジは……そんなものじゃない！
まゆり,ち、違うよ！クリスちゃんもダルくんも優しいし、メイクイーンだって楽しいもん……
岡部,お前の両親から聞いたけど、メイド喫茶なんだろ？まゆり、いかがわしいところでバイトはするな
ダル,いかがわしい……？……それ、メイクイーンを馬鹿にしてるように聞こえる件について
紅莉栖,……岡部、それ……本気で言ってんの？
岡部,ああ、本気だ。まゆりのことを思ってこそだ、なにか間違ってるか？
紅莉栖,岡部……岡部えええ！！
すると向こうから,せーの！
紅莉栖,……ごめんなさい、話が急すぎて整理できてないみたい
鈴羽,大丈夫、きっとそうなるだろうって牧瀬博士も言ってたから
紅莉栖,牧瀬博士……それが私の二十年後か
鈴羽,そう、あたしがお世話になった博士。父さんと岡部倫太郎の仲間であり、タイムマシンの開発者
紅莉栖,……私は、やっぱりＳＥＲＮに行ったのか。そうするしかなかったから、仕方が無いか……
鈴羽,牧瀬紅莉栖、あたしは全て話すように牧瀬博士に頼まれてるんだ
紅莉栖,全てを……？岡部のことやまゆりのことを教えてくれるの！？
鈴羽,うん。だから、聞いて欲しい。これから君が、二十年後の君がどんな道を歩んだのか。そして。岡部倫太郎の、無念を
紅莉栖,岡部の……無念
ダル,……まゆ氏の葬式依頼、か。久しぶりだな、岡部さん
岡部,……ダル、その呼び方はなんだ。もう俺を、オカリンと呼んでくれないのか……？
ダル,オカリン……？一度も読んだことがないな、勘違いじゃないか？
岡部,なっ……！ほ、本気で言っているのか！？
ダル,ああ、本気だ。……悪いけど、なにも知らない
岡部,俺は……まゆりを助けるために後少しのところまで来たんだ……それなのに、それなのに……！
ダル,……それは、牧瀬氏が昔言っていたことととても似ているな
岡部,ああ……紅莉栖は正しいことしか言ってなかった。それを俺は……俺は、俺は……
ダル,……牧瀬氏に、連絡を取ってみないか？連絡先は知っているだろう？
岡部,……昔、消してしまった
ダル,それなら僕が代わりにコンタクトを取ろう。それでいいな？
岡部,頼む、ダル……もう遅いかもしれないが……それでも俺は……
そこでは、岡部は,見た目は
紅莉栖,まゆり……って、こう呼んでもいいのかしら
まゆり,うん！いいんだよー、クリスちゃん
紅莉栖,あの、岡部はどこにいるの？今はどこかに出かけてるとか？
まゆり,……えっとね、オカリンは今……入院しているのです
紅莉栖,……えっ？ど、どういうことなのまゆり！？
まゆり,まゆしぃもよくわからないけど……気づいたら入院していて
紅莉栖,意識は……あるの？
まゆり,……入院したての頃は、ちょっとだけ起きてたの。そこでクリスちゃんのことを教えてもらったのです
紅莉栖,私のことより他に話すことがあるでしょうが、あのバカ……
まゆり,今は、ずっと寝てて起きないから……まゆしぃは心配で仕方ありません
紅莉栖,……まゆり、その病院。教えてくれる？お見舞いに行ってみようと思う
まゆり,あっ、それなら一緒に行こうよ。二人で行けばきっとオカリンもすぐに起きるよー
紅莉栖,そうね……一緒に行きましょうか。岡部……本当に目を覚まさないのね
まゆり,まゆしぃがどれだけ声をかけてもダメだったのです……
紅莉栖,……どこを怪我したの？
まゆり,お腹にとっても深い傷があるってお医者さんが……
紅莉栖,……なにをしたらそんな傷がつくのかしら
まゆり,それが分からなくて、オカリンもなにも言わなかったみたいなのです……
紅莉栖,そう……まあ、岡部らしいといえばらしいわね。またそうやってあんたは一人で抱え込もうとしてるのか？。聞きたいこと、たくさんこっちはあるんだから……早く起きなさいよ、岡部
まゆり,クリスちゃん、まゆしぃはそろそろ帰らないといけないのです……
紅莉栖,ええ、わかった。気を付けて帰りなさいよ、まゆり
まゆり,クリスちゃんはもう少しここにいる？
紅莉栖,そうね……そうしようと思ってる
まゆり,じゃあ、オカリンのことよろしくお願いします。またねクリスちゃん、トゥットゥルー♪
岡部,…………
紅莉栖,岡部にやっと会えた、まゆりも側にいる……それなのに。あとはあんたが起きるだけよ、岡部……
岡部,…………
紅莉栖,…………
岡部,…………
紅莉栖,…………
岡部,……あー
紅莉栖,…………
岡部,いや、その……
紅莉栖,…………
岡部,とぅ、トゥットゥルー……
紅莉栖,……い
岡部,……い？
紅莉栖,い、い……
岡部,い……？
紅莉栖,いやあああああああああああああああああああああああああ！！！！！！！！
