読んでいる方がわかる過去作,同じ世界観、繋げていく部分有
陸奥,……鳳翔さん所で飲んで、ちょっと酔っちゃった…なんて言う私に提督が
女提督,休憩してく…？ってしないからぁ！
陸奥,ノリノリじゃない
女提督,それはそれ！全く…陸奥ちゃんは私に何を期待してるのよ…
陸奥,火遊びよ♪火傷するくらいの…ね？
女提督,それ、私が男だったら喜んでるんだけど
陸奥,まあ嬉しい。何で女性なのかしらね？
女提督,ちょっと、傷つくからやめて！私がそれ一番思ってるから！
陸奥,フフフッ♪
女提督,もうお姉さんやだぁ…。とりあえず行こうよぉ
陸奥,はいはい
女提督,──こうよ！
阿賀野,うわー！色気が無い！
女提督,だ、だってこんな事する事ないもん！
酒匂,ぴゃーあ♪指令可愛いよぉー♪
能代,…提督に何やらせてるのよ、阿賀野姉ぇ
阿賀野,何って…投げキッスだよ、投げキッス
能代,そういう意味じゃなくてね。ていうか何で提督もやってるんですか…
女提督,余裕のある女って投げキッスが似合うよねって言うから…
能代,はあ
矢矧,(読書中)
酒匂,次はあたしがやるー♪。んちゅっ♪
女提督,あ、アアッ！酒匂ちゃんっ！可愛いよぉぉーー！！
酒匂,んん～♪くすぐったいよ～♪
阿賀野,酒匂がやるとあざとくなるね、確かに可愛いけど。…っていうか能代も何で酒匂に抱きついてんの？
能代,…え、えと……あまりに可愛くて…つい
女提督,むしろ動じてない阿賀野ちゃんに驚きだよ
阿賀野,さいですか
矢矧,(読書中)
女提督,次は阿賀野ちゃんやってみてよ、話題の言いだしっぺだし
阿賀野,え～阿賀野もやるの？
女提督,ほらほらぁ～
阿賀野,仕方ないなぁ…。…こうかな？
酒匂,…うーん
女提督,適当過ぎ！駄目よ！何も感じないッ！
能代,阿賀野姉ぇ…
阿賀野,ちょっ…な、何よ！やれって言うからやったのに！能代もそんな目で見ないでってば！！
女提督,そんなんじゃ射止められないよ、振り向いてくれないよ
阿賀野,別に、誰にもやる気無いから！。ていうか次能代やってみてよ！
能代,え…えぇ！？わ、私！？
矢矧,(読書中)
阿賀野,私もやったんだから！あんな目で見たんだから！
能代,…は、恥ずかしいよ
阿賀野,大丈夫だって、私らしか居ないし。…ほら
女提督,私も能代ちゃんの見たいなぁ～
酒匂,あたしも～♪
能代,そ、そんな…
阿賀野,満場一致だね、やるしか無いよ！能代！
能代,うぅぅ…すっごい恥ずかしいけど。…ちゅっ…
阿賀野,うわぁー！
能代,うわぁってどういう事よ！
女提督,様にはなってないけど…これはこれでアリだね！
酒匂,能代ちゃん可愛い～！
能代,あぁぁぅ…穴があったら入りたい…
阿賀野,炬燵ならあるよ
能代,……
女提督,入るんだ…
阿賀野,頭だけ出した亀みたいになっちゃったね
能代,…今日はここから出ないもん…
阿賀野,お腹空いたら出てくるね、間違いない
酒匂,ぴゃん♪矢矧ちゃんもやってみよーよー♪
矢矧,…ん？
阿賀野,そうだよ、矢矧もやってみてよ
矢矧,何を？
女提督,これよこれ
矢矧,投げキッス…？別に良いけど
能代,い、嫌なら無理しなくて良いんだからねっ！矢矧！
矢矧,いいえ？別に平気よ
女提督,やだ、かっこいい
阿賀野,矢矧はどんな感じ何だろうねぇ
矢矧,普通だと思うけど…。こうでしょ？
女提督,！？
能代,！？
阿賀野,エロい！
酒匂,矢矧ちゃん上手ー！
矢矧,そう？
女提督,色気が違いすぎる…負けた…！
阿賀野,こりゃ矢矧の圧勝だね
矢矧,よく分からないけど、もういい？
酒匂,うんっ！ありがと、矢矧ちゃん！
矢矧,ん、良いよ
能代,こ…これが…
女提督,余裕のある女…！。ふぁ～ぁ……今日はもう寝よ…。……
陸奥,提督ーーーーッッ！！！
女提督,！？。な…何…！？
陸奥,あれれぇ～？提督はぁ～？
女提督,ああっ！これ陸奥ちゃん酔ってる！むっちゃん酔ってるパターンだ！。悪いけど、酔ったむっちゃん相手するのは面倒くさいからこのまま寝たふりしよ…
陸奥,居ないの～…？
女提督,そうよ、私は居ないのよ～。あ、足寒っ…。…あ
陸奥,あっ！居るじゃないのよーっっ！！
女提督,ぐえっ！
陸奥,も～ぉ！酷いじゃない！何で居ないフリ何かしてたのぉ～？
女提督,ｹﾎｯ…いや、フリじゃないよ…気付かなかったの…ごめんね？
陸奥,あ、嘘だぁ～！…お姉さんにはバレバレなのよ～？
女提督,い、いえ…決してそのような事は…
陸奥,嘘をー吐くイケナイ子にはー…。ちゅーしちゃうぞー！
女提督,ひ……ひえええええええっ！！。ご、ごめんむっちゃん…！だからちょ…やめてぇ…
陸奥,あらあら～♪正直に言えましたね～♪偉い偉～い♪
女提督,あ、あははは。な…何だこれ！？。っていうか陸奥ちゃん…お酒臭いっ！
陸奥,えっ…
女提督,えっ
陸奥,うっ…ぐすっ…うぅぅっ………え～～んっ！！提督が臭いって言ったぁぁ～！
女提督,えええええ！ちょ、泣かないでむっちゃん！！
陸奥,うわ～～ん！！だってぇ…提督が臭いってぇ…
女提督,う、嘘嘘！嘘だから！ね！？
陸奥,ぐすっ…えぐっ…ほんとぉ…？
女提督,モチロン！本当に決まってるじゃない！むっちゃんは良い匂いよッ！
陸奥,そっか…良かったぁ…♪
女提督,あがぁぁぁっ！普段のむっちゃんからはとても見れない顔ッ！良いッ！良いよッ！むっちゃん！
陸奥,…あれぇ…何だか熱くなってきちゃった…
女提督,まぁお酒飲んでるしね。こらこら、女の子が服をパタパタしちゃ駄目でしょ～
陸奥,提督しか居ないからい～の～っ！
女提督,そういう問題じゃ──
陸奥,ねぇ…脱いでいい？
女提督,！！？
陸奥,んしょ…
女提督,わーっ！わーーっ！
陸奥,ちょっとぉ…何するのよぅ……折角脱いでたのにぃ
女提督,脱いじゃいけませんっ！良い！？脱いじゃ駄目！
陸奥,ウフフッ♪提督ってば恥ずかしがり屋さんなのねっ♪
女提督,いやぁ…そういうんじゃ無いんですけども…
陸奥,じゃあ…。──脱がしてあげる♪
女提督,えっ……うゎっ！？
陸奥,んふふふ…♪一緒に脱ぎ脱ぎしましょうねぇ～♪
女提督,ｷｬｧｧｧｧ！やめてっ！むっちゃん！
陸奥,一緒に脱げば恥ずかしく無いわよ♪
女提督,いやあのっ！これは何と言いますか…色々問題では！？
陸奥,だぁ～いじょうぶ♪
女提督,そ、それにこんな所誰かに見られたら───！！
木曾,おい、扉開けっ放しにしてんじゃねよ。不用心…───
女提督,き、木曾ちゃんっ…！？
陸奥,んふふ～♪
木曾,……あ、あ～…えっと……。邪魔したなッ！！
女提督,ちょぉっ！？違うの木曾ちゃん！誤解なの木曾ちゃああああん！？
陸奥,提督の…御拝け～～んっ！
女提督,いやぁぁぁぁぁぁぁぁっ！
暁,ねぇねぇてんりゅー！今日は何の日でしょう～かっ！
天龍,11月11日……何かあったっけか？
暁,ふっふっふ…じゃぁ～ん！
天龍,あァ…？ポッキー？
暁,そう！11月11日はポッキーの日なの！
天龍,へェ～そうなのか。食えばいいのか？
暁,まぁそうでも良いんだけどね、どうせならゲームをしばしょうよ
天龍,ゲーム？
暁,度胸試しみたいなものよ
天龍,ほーう…面白そうじゃねェか…何をするんだ？
暁,えっとね、こう…ポッキーを両端から食べて行くの
天龍,成程な……ん？
暁,ん？
天龍,え…これを、両端からか…？
暁,そうだけど
天龍,！？。で、出来る訳ねェだろ…！？。…はっ。いや待てよしかし…これは度胸試しだ…ここで怖気づくのはダセェ！
暁,あははは！そうよね、最初は皆そんな感じの反応するもの
天龍,だけど…度胸試しなんだろ？なら、やってやるぜ！
暁,あ、やるのね！良いわよ！。じゃあ早速……はむっ
天龍,くっ…！
暁,ほらほらぁ～
天龍,……い、行くぜ！
暁,いいよー
天龍,はむっ！
暁,っ！？。……………
天龍,………………
暁,……………えっと
天龍,……じ、事故！今のは事故だからっ！ノーカンなっ！？
暁,う、うん……
天龍,あークソ…
女提督,なにあれ…
電,暁ちゃんと天龍さんはとても仲良しさんなのですよ
女提督,へぇ～ふ～ん…そうなんだあ…
雷,ちょっと司令官？ポッキー纏めて噛んじゃ駄目よ？意地汚いじゃない
女提督,うん、ごめんね雷ちゃん
雷,もーぅ！聞いてないじゃないのよー！
電,…二人を見る司令官さんの目が怖いのですぅぅぅ！
木曾,此処かー？
女提督,……
木曾,ったく……そりゃ部屋に居ねぇ訳だ。おい、こんなとこで寝たら風邪引くぞ
女提督,……
木曾,だから俺も手伝うって言ったんだよ…。頑張り過ぎなんだよ……バーカ…
女提督,……
木曾,……起きねぇと、襲っちまうぞ～
女提督,……
木曾,……。はぁぁ……アホらし…。…世話の焼ける奴…。……人の気もしらねーで…
女提督,……
木曾,……。……礼として貰っておくからな。…おやすみ
女提督,……。……ふぅぅ。木曾ちゃんてば、大胆だなぁ…あははは…。…えー…っと…。ど、どーしよ…。……。…！
木曾,ふぁ～ぁ……ん、何だもう居たのか。おはよう
女提督,お、おおお…おはよう。む、無理無理無理！昨日のあんな事された後じゃ顔なんて…無理無理無理！
木曾,お、おう…？。ん…？今顔背けられた…よな？
女提督,きょ、今日の分の…デイリーお願いね…木曾ちゃんっ！
木曾,ああ…それは良いんだが…。何か今日は変だな？どうした？
女提督,んんっ！？べ、べべべ別に…？い、いつも通りだけど…！？
木曾,落ち着け、書類が駄目になる…
女提督,ひゃっ！？ご、ごめん…
木曾,…やっぱりお前なんか変だぞ…熱でもあるのか？
女提督,い、いやっ！大丈夫だからっ！。あっ……
木曾,あ、ああ……そうか…悪ぃな。…じゃ、デイリー消化してくる
女提督,あ、うん…。な、何やってるのよ私ぃ～…馬鹿ぁ…
木曾,やっぱり今日のあいつ変だよな…？。一息いれる──
女提督,ごめんっ！ちょっと天龍ちゃん所行ってくる！
木曾,か…。あ、哨戒の事なんだが───
女提督,木曾ちゃんに任せたっ！
木曾,ちょ…。良い時間だな。そろそろ昼飯食わねーか？
女提督,今日は一人で食べますっ！
木曾,え、おい。やっぱりおかしい…不自然過ぎる…。…避けられてる？。あいつに…？…何かしたかなぁ……。あ…
女提督,！！
木曾,あ、おい！待て！
女提督,うゎゎっ！
木曾,っし……お前、今日どうしたんだよ？朝から変だぞ
女提督,へ、変じゃないよ…！？
木曾,バレバレだっての。本当の事言うまで離さないからな
女提督,う、うぅ…
木曾,何だよ？
女提督,お、怒らないでね…？
木曾,…内容によるな
女提督,わあああっ！絶対怒るよこれぇぇ！
木曾,決めつけんなって！とりあえず話してみろよ！
女提督,えーーっ！だってもう怒ってるー！。……わかった
木曾,おう
女提督,多分、この一言で木曾ちゃんなら察してくれると思うけど
木曾,一言？
女提督,…起きてたの
木曾,はぁ？起きてたって───。はっ！！？？
女提督,あはは…
木曾,じょ、じょじょじょ冗談だろ…？
女提督,ざ、残念ながら…
木曾,う…。うわああああああああああああ！！
女提督,木曾ちゃん！？
木曾,お、起きてたんなら最初から起きてろよお前えええええええ！！。何で寝たフリしてんだよおおおおおおお！！
女提督,おおおお落ち着いて木曾ちゃんんんん
木曾,これが落ち着いていられるか！？
女提督,だ、大丈夫！最後の辺りしか知らないから！！
木曾,そこが問題なんだよ馬鹿野郎ぉぉぉぉ！！
女提督,あががががが！
木曾,ハァ…駄目だ…恥ずかしくて死ぬ…
女提督,げ、元気だして…？
木曾,そういう慰めはいらねぇよぉぉ…
女提督,そ、そうだよね…ごめん…
木曾,……………
女提督,……………
木曾,だが……終わっちまった事はしょうがねぇ
女提督,…うん？
木曾,なぁ……お前は…俺の事どう思ってる
女提督,えぇっ！？…と、突然だね！？
木曾,いいから…どうなんだ？
女提督,え、えぇっと…その…うんと…
木曾,嫌いか？
女提督,き、嫌いな訳無い！それは！絶対に！
木曾,…じゃあ？
女提督,うぁっ……えっと…。………。す、好き……かも…
木曾,それは……仲間としてか？
女提督,ううん……多分これは…そういうのじゃないかも…
木曾,…そうか。そりゃ良かった
女提督,…良かった？
木曾,ああ。あんな事したんだ、分かってるとは思うが…。俺も、お前の事が好きだ
女提督,わわっ…
木曾,ははは！何かバレたものはしょうがねぇって思ったら何でも言えそうだ
女提督,い、今の私には色々と言われたら、刺激が強すぎるかなぁ…
木曾,ははっ！…じゃあ追い打ちだ。…今のこの戦争…いや、軍に属してる間じゃあ正直なんも出来ねぇ。だから…1日でも早く俺がこの戦争を終わらせてやる。…こんな事言うと怒られちまいそうだけどよ…。…お前の為に、俺は戦う…。そして、深海棲艦が居なくなる日まで…静かな海を取り戻すまで。俺が、お前を守る
女提督,…木曾ちゃん…
木曾,…良いだろ？
女提督,…うん。でも、カッコつけすぎかな
木曾,っ…！？
女提督,ぷ…変な顔…あはははは！
木曾,お、おまっ！？わ、笑う事無いだろ！？
女提督,だって…だって…あはははは！
木曾,俺が折角…！あーもう、知らんっ！
女提督,あははは！…ごめんごめん！
木曾,知らねー！
女提督,でも、でもね？
木曾,…あンだよ？
女提督,惚れちゃったかも♪
木曾,くっ…
女提督,あらら～？照れてるの～？
木曾,う、うるせー！
女提督,ふふふっ♪ねぇ、木曾ちゃん。こっち向いて？
木曾,なんだよ──。なっ
女提督,えへへ…。昨日のお返し…だよ…
木曾,ば、馬鹿か…
女提督,あははは…。……ね、ねぇ木曾ちゃん…
木曾,…今度は何だよ…
女提督,次は…こ、ここに…して？
木曾,恥ずかしいならやんなよな…
女提督,あ、あははは…
木曾,ったく……良いぜ
女提督,…ほんと？
木曾,ああ…。……改めて
女提督,う、うん…
木曾,…好きだぞ
女提督,私もだよ…
天龍,オーイ！提督此処かー？……！？
暁,新しい映画借りてきたわよー！…えっ！？
雷,どうしたの？居なか──…！？
電,は、はわわ！？
女提督,………！？
木曾,………！？
天龍,…あーっと…おめでとう？で良いのか？
暁,ね、ねぇ…これって…
雷,電！み、見ちゃ駄目よ！
電,はわわわ…
女提督・木曾,あ…。ああああああああああああああああっ！！！！
