本田未央,そんなっ！だからって、私達を残してっ！
モバＰ,……偶然なら仕方ないですね。男女二人きりって状況にならなければ。うん、まあ……
留美,先輩Ｐが構ってやれって言ったからかしら？考え方が柔軟になってるわね。んもう、妬けちゃうわね
モバＰ,仕事ですからねぇ。先輩の言う事は絶対。社畜の鑑
美優,仕事抜きで構ってください……もう、Ｐさんの馬鹿……
先輩Ｐ,お疲れ～。モバＰちょっと話が
加蓮,Ｐさん！やったよぉ！！決まったぁ！！
モバＰ,のわっ！飛びつくなっ！近い近いっ！！
加蓮,耳噛んでいい？耳噛んでいいっ！？もう、噛んじゃうっ！
モバＰ,あふんっ……やめ……ひゃうんっ！
先輩Ｐ,気持ち悪りぃ！！
モバＰ,んごっ！……ひでぇ
先輩Ｐ,お前もぶっ壊れすぎ。自重しろ
加蓮,いった～い！Ｐさんとの関係認めてくれたんじゃないの～？
先輩Ｐ,そういうことじゃないわ……あぁ、もう……どっちにしても暴走すんのかよ。めんどくせぇ
モバＰ,それで、決まったってフェスの事？
卯月,ですよ～！はむっ
モバＰ,ひうんっ！
先輩Ｐ,だから、やめろっちゅーに。……未央ストップだ。天丼とかお約束とかいらねぇ
未央,……ちぃ
留美,フェスって結構出演してるわよね？すごく、喜んでいるようだけど
奈緒,まあ、いつものフェスでも出れることは嬉しいんだけど
凛,今回は海外なんですよ
卯月,Ｕ・Ｓ・Ａ！Ｕ・Ｓ・Ａ！
先輩Ｐ,ドイツな
美優,すごい！おめでとうっ！……楓さん？
楓,ドイツ……ビールとソーセージが私を呼んでる。今夜祝杯を兼ねて、行きましょう？
美優,は、はは
モバＰ,楓さんはぶれないなぁ。とにかく良かったな。NGとTPも世界デビューかぁ……凛は特に大変だろうけど頑張れ
凛,うん。来月だからちょっと不安だけど……選んでもらったからには全力を尽くすよ
モバＰ,急なオファーだったもんな。来月って……
先輩Ｐ,昨日、スケジュールの組み直しで一日潰れたからな……あ、そうだ。その事で話があるんだよ
モバＰ,なんですか？……へっぶし！んあ……すんません
先輩Ｐ,……体調悪いとこすまんが、フェスまでこいつらの事にかかりきりになるんだよ。んで、こいつら以外の私の担当してる娘を……な？
モバＰ,わお……昨日さらに新人が入ってるんですが……
先輩Ｐ,だーいじょうぶ、だいじょうぶ！私が休暇中、回せてたんだから！いけるいけるっ！
モバＰ,また適当に……まあ、そうですね。それに、明日からの休暇で英気を養えますし。任せてくださいっ！
先輩Ｐ,おう、お前の休暇が終わるまでは私も頑張るっ！それじゃ、三日後から頼むな？
モバＰ,はい！……は？
先輩Ｐ,お前が出張に行ってた、ちびっ子事務所あるじゃん？あそこ、配水管逝っちゃったらしいじゃん？
モバＰ,いや、知らんけど……は？
先輩Ｐ,直すついでに、軽く改装するらしいじゃん？事務所が使えんくなる訳じゃないけど、改装中は子供達危ないじゃん？
モバＰ,は？は？
先輩Ｐ,工事は三日後から。そっからしばらく、うちで預かりまーす！わー、楽しみねー！卯月、ねー？
卯月,ね、ねー
モバＰ,卯月ですら、戸惑ってるじゃないですか！何人いると……て言うか！俺の休みっ！抹茶！甲冑！！温泉！！！
美優,あ……温泉
楓,にーがーさーなーいー
美優,はう……
先輩Ｐ,一人で甲冑着てなにするんだよ……チビ達は基本親御さん達がついていくだろ？なら、例え１０人以上いようと、お前なら……な？
モバＰ,それプラスここの娘達でしょうがっ！じゃなくって……いや、これも大事ですが！休み！俺の休み！！
先輩Ｐ,このご時勢、連休とれるなんて……うらやましい
モバＰ,二日！あんた、十日！俺、風邪！あんた元気！！
先輩Ｐ,いい大人なんだから、体調管理はしっかりしとけよ
モバＰ,ぬがぁ！こ、このっ！ふぬぁぁ！ふぬぉぉ！！
留美,お、落ち着いて。私達もフォローするから、ね？よーしよし……
モバＰ,ふおぁぁ……ふあぁぁ
先輩Ｐ,気持ち悪りぃ！！
モバＰ,んがっ！……このぐらいの役得ぐらい、いいじゃないですか……
先輩Ｐ,留美さんも、それはやり過ぎですよ……未央ストップだ
留美,はーい
未央,……ちぃ
先輩Ｐ,真面目な話、二日でもキツイんだよ。お前には本当に悪いと思ってる。だけど堪えてくれ。こいつらの為にも
モバＰ,……ずるいなぁ。わかりましたよ……その代わり、絶対成功させてくださいよ！
先輩Ｐ,おう！
加蓮,Ｐさん、私の為にごめんね。私もＰさんの為に頑張るね！
奈緒,あたし達の為だろ。調子乗んな
加蓮,ごめんごめん。あれ？ちひろさん、どうしたの？
ちひろ,……今、あっちの事務所から電話があったんですが
モバＰ,どうしたんです？そんな優しさ溢れる視線で見られると照れ
ちひろ,工事明日からになったそうです
モバＰ,
ちひろ,明日からに……なったそうです
先輩Ｐ,……
モバＰ,
先輩Ｐ,今日は、もう上がっていいぞ。ゆっくり、風邪治して……な？
モバＰ,
卯月,え？じゃあ、プロデューサーさんの休み
未央,シッ！
モバＰ,もう疲れたんだ……
