モバＰ,以降Ｐ表記ですか？メモしておきますね
未央,およよ、しまむー乾いてきた？言葉に毒が混ざり始めたぞぉ
凛,くんくん…うん、ついさっきまでここでやってたみたいだね、食事会
みく,にゃーっ！ズルいにゃあ！みく今日はお休みだったのにどうして誘ってくれなかったのさ！Ｐチャンのバカー！社畜ー！
未央,プロデューサーもイジワルだなぁ。みくにゃんオフなの知ってただろうに。…あ、じゃあ今から私たちでご飯にしない？
凛,えっ？もう楽屋のお弁当食べてきたのに
未央,まぁまぁ、いいじゃんいいじゃん。お風呂で汗を流してほんのり良い感じに小腹が空いてるしさ
卯月,そんなに食べてばっかりだとお肉がついちゃいそうですね
未央,大丈夫。全部胸につくから。ねぇみくにゃん？
凛,せいっ
未央,あいたっ
みく,ちょっ、みく何にも言ってないのに痛っ！
凛,仕方ないなぁ…まぁ、今回はどんなもの作ったのか興味無くもないし…いいよ、付き合ってあげる
卯月,じゃあ私、今から大急ぎでまゆちゃん誘ってきますね！
みく,やめろぉ！ロシアンパーティーじゃねぇにゃあ！！
未央,んー…おお、やっぱり。あの主夫力高いプロデューサーのことだからと踏んでたらビンゴ。作り置きが沢山冷蔵庫にあったよ
凛,でもそれ、勝手に食べていいものなの？
卯月,タベテイーヨ、ってメモ貼ってあります！
未央,それじゃ問題ナッシング。あ、ご飯もいっぱい炊いてあるよ。ほらほらみくにゃんおいで。薄情なプロデューサーなんか放っといてニュージェネと食卓を囲もう！
みく,そうするにゃ
Ｐ,ん？今チョロい猫耳アイドルの悲鳴が聞こえたような…気のせいか？
芳乃,そなたーそなたー、次は玉子をー
Ｐ,はいはい、今握りますよっ、と
芳乃,石塔返しですー
Ｐ,へいお待ち。次は何握ってほしい？
芳乃,お手をー
Ｐ,はいよっ。…違わない？
芳乃,むふーっ
アッキー,終わりだ
優,アッキー、ほんのり生臭い
行きつけの魚屋に通いすぎてすっかり顔覚えられてしまったのでマグロ編お食事会です。とある所で,その命、神に返して乙倉くんを書きなさい
