私は千歌ちゃんから,押し入れの整理してたら、すんごーいモノ見つけたから来て！
梨子,よっちゃんのアホーっ！どうして突っ込むのを我慢できないのよっ！
曜,この脳ミソキャラメルマキアートコンビめーっ！成敗してくれるーっ！
善子,これはリトルデーモンが勝手にやったことで──
曜,ルビィちゃんのせいにするなーっ！
……って、,私
梨子,そうそう、私とルビィちゃんは全部よっちゃんの指示に従ったまでで──
曜,千歌ちゃんにアレな同人誌を貸したのも？
梨子,それは……奥手な曜ちゃんと千歌ちゃんのためを思ってのことよ
曜,へぇ～、そっか♡
よしりこ,ひ、ひぃーっ！！
表情は確認できないけど、,私
千歌,あはは……ほどほどにしてあげてね、よーちゃん
ルビィ,うわぁ～、美味しそぅ～♡
千歌,ルビィちゃんも飲む？甘いよ～♡
ルビィ,えっ？いいんですか？
千歌,いーよ♪よーちゃん、あっちのバカップル2人と遊ぶのに夢中だし。ささっ、ぬるくなる前にっ♪
ルビィ,は～い♡
曜,ちょっとルビィちゃん!?それ、私と千歌ちゃんの──
千歌,よーちゃんが彼女を無視して遊んでるからでーす♡
ルビィ,んん～っ、あんまぁ～いっ♡
曜,そんなぁーっ！
梨子,ふふっ、いいもの見させてもらったわ～♪
梨子ちゃんがスマホ片手にガックリ落ち込む,私
曜,だから撮るなぁ！肖像権ガン無視するなぁ！
善子,良かったわね、リリー♡
梨子,えへへぇ～♡よっちゃんにナデナデされちゃったぁ～♡
千歌,うわっ!?梨子ちゃんの顔がとろけちゃってる……
曜,普段の梨子ちゃんの原型はどこへやら、だね
ルビィ,ですねぇ～、ヨハネ様のしつけがなってないからですよ！
善子,ってなんで私が責められるのよっ！
梨子,違うよぅ～♡よっちゃんがしつけてくれたから本来の私が出せるようになったんだよぅ～♡。ってルビィちゃん、真顔で撮らないでぇ～♡
言葉とは裏腹にやたら嬉しそうですねー、,この
善子,リトルデーモンの内輪揉めに介入するつもりはないわよ
梨子,介入してよぅ～。よっちゃんが何度もスクールアイドルやらない？って誘ってくれたみたいに。よっちゃんのおかげで、私はまたピアノと向き合えるようになったんだからぁ～♡
千歌,あははっ♪この5人の時間が、これからもずーっと続けばいいのにね
曜,へっ!?
ようやく私が,私
曜,ちょっと待ってよ、千歌ちゃん！
千歌,んっ!?どしたの、よーちゃん？
曜,今さ、千歌ちゃん5人って言ったよね？
千歌,うん。チカ達aqoursの5人だよ
聞き間違いでもなんでもなく、彼女ははっきり,5人
曜,いやいや、私達aqoursは6人でしょ！
千歌,へっ？6人？
曜,ちょっと全員の名前、挙げてみて
千歌,う、うん。チカでしょ、よーちゃんでしょ、あと善子ちゃんに梨子ちゃんでしょ
善子,ヨハネよっ！
千歌,そしてルビィちゃんの5人だよ。他に誰かいるの？
曜,いや、もう1人いるじゃん。花丸ちゃんが
千歌,花丸ちゃん？誰それ、知ってる？
梨子,さぁ？よっちゃんのクラスの娘？
善子,ああ……言われてみればいたわね。図書委員の地味な眼鏡っ娘が
ルビィ,なんだか話しかけづらいんですよね。休み時間中もずーっと1人で本読んでて
でも単に,同じクラスの娘
曜,えっ？花丸ちゃんがaqoursのメンバーじゃないの？
千歌,さっきからそう言ってるじゃん、よーちゃん。まだボケるには早いよ、チカより3ヶ月先に産まれたんでしかないのに
善子,私達aqoursは最初このヨハネと曜が、千歌から誘われたのから始まったんでしょ！
善子ちゃんがご丁寧に,ここ
曜,へっ？梨子ちゃんじゃなくて善子ちゃんが？
善子,ヨハネっ！忘れたの？リリーは最初作曲だけ手伝うって話だったって
確かに,私が知っている
曜,それ本当？梨子ちゃん？
梨子,ええ、よっちゃんの言ったとおりよ
ルビィ,そうですよ。体育館でのライブを観て感動したから、ルビィと梨子さんが加入を決めたんです
梨子,うん。んで東京のイベントの後で、ダイヤさん達3年生の3人が加わったのよね
千歌,そうそう。果南ちゃん達が卒業するまで、チカ達8人のaqoursで頑張ってきたんだもんね。浦女の名をラブライブの歴史へ遺そう！って
曜,わかった。もう止めにしよ
千歌,どうしたの、よーちゃん？
曜,私達は9人で頑張ってきたんだよ！悪ふざけも大概にしよう、ってこと
善子,悪ふざけなんてしてないわよ！
ルビィ,どうしてそんなに、その花丸ちゃんって娘がいるってことにしたいんですか？特別仲良くしていた訳でもなかったってのに！
梨子,そうよ！今の今までロクにおしゃべりだってしてこなかったのに！
善子,どうでもいいって思ってるクセにね。ずら丸のことなんて
曜,そ、そんなことは──
千歌,気にすることないじゃん、1人くらい欠けたって♪
曜,……千歌、ちゃん？
ルビィ,ですよね～
善子,そうよね～
曜,ひっ、ひいっ！
梨子,じゃあ邪魔な私はさよならするね～
千歌,よーちゃん、大好きだよっ♡
曜,いっ、嫌だ。やめてっ！
千歌,チカとよーちゃんだけのaqours、それがお望みなんでしょ♡
曜,いや、いやっ……。いやーーーっ！！。いやぁーーーっ!!。はぁ、はぁ……夢、か。明晰夢……ちょっと違うか
明晰夢とは、夢の中にいながら,自分は夢を見ている
でも,あの夢
曜,あるいは……深層心理？
夢というものは,脳が記憶を整理する過程で生まれるもの
またその際に深層心理、すなわち,自分が心の奥底で望んでいること
この話は本当ならば、私は未だに,千歌ちゃんと結ばれたい
更に言えば,そのためなら、千歌ちゃんと梨子ちゃんが出逢ってから1年かけて積み重ねてきた絆なんて、全てなかったことになってしまえばいい
ただ,私と千歌ちゃん
花丸ちゃんの存在が抹消されていたり、千歌ちゃんが梨子ちゃんのためにしてきたことが善子ちゃんがしていたことへ置き換わっている等,私が生きる世界
曜,いちいち気にしてても仕方ない、よね？夢の内容なんて。不在着信が13件もっ!?。善子ちゃんっ!?。もしもし、善子ちゃん？。どうしたの、善子ちゃん？。花丸ちゃんが!?
よりによって,あの夢
曜,ごめん、スマホの電源切ってた
善子,みたいね。しかも家に掛けても全然出ないし
曜,……そっちもごめん。ウチのママ、朝からパートだから
善子,やれやれ、よっぽど熟睡してたって訳ね
曜,他のみんなには伝わってるの？
善子,私からリリーと千歌へ連絡回したわ。でもルビィには繋がらなくて
曜,……そっか
善子,ルビィのお母さんの話だと昨日の晩は花丸ちゃんのお家へ泊まりに行くって。でもずら丸のおじいちゃんからはルビィちゃんは来とらんぞって言われたし
曜,……了解
千歌,あっ、曜ちゃんに善子ちゃん
曜,千歌ちゃんに梨子ちゃん。もう面会したの？花丸ちゃんと
千歌,うん。でも……会わない方がいいかも
善子,どういうことよ？
梨子,そ、それは──
善子,リリー？
梨子,……酷かもしれないわ。特に善子ちゃんには
曜,善子ちゃん、ね
梨子ちゃんが善子ちゃんを,よっちゃん
曜,失礼します
花丸祖父,よく来てくれたのう
曜,おはようございます
善子,それで、ずら丸の容態は？
花丸,またaqoursのメンバーだって人なの？
ようよし,へっ？
花丸,マルは知りませんよ、スクールアイドルなんて
善子,ちょっと、寝言は寝て言いなさいよ。ずら丸！
花丸,ひっ!?寝言なんて言っていないずらよ、善子ちゃん……だよね？
善子,ヨハネよっ！……って私のことは憶えてるみたいね
花丸,うん。幼稚園一緒だったもんね
だとしたら梨子ちゃんが,酷かも
花丸,ところで、そちらの方は？
曜,へっ？私？
花丸,もしかして、そのaqoursの先輩だっていう人？さっきの2人と同じで
曜,う、うん。渡辺曜っていうんだけど……憶えてない？
花丸,……すみません。憶えていないです
となると、花丸ちゃんは,aqoursに関係する記憶
善子,ねぇ、ずら丸。これを見て
花丸,善子ちゃんとルビィちゃんに……マル？
善子,そうよ。私達、1年間ずっとaqoursのメンバーとして頑張ってきたのよ
曜,花丸ちゃん、私達先輩のことはともかく、善子ちゃんやルビィちゃんと頑張ってきたことも思い出せないの？
花丸,……すみません。善子ちゃんに関しては幼稚園の頃の、ルビィちゃんは中学でのことしか
それにしてもこんな風に特定の物事に関する記憶,だけ
善子,本当の本当に忘れたっての!?私とアンタとルビィの3人でやってきたこと全部！
花丸,……うん、信じられないずら。マルがこんなにキラキラ輝いているなんて
善子,……信じられないでしょ？アンタなのよ、これ全部。そっくりさんでもなんでもない……ずら丸本人なのよ
花丸,善子ちゃん……
善子,そして私はアンタへ告って、アンタは泣いて喜んで……こんなマルで良ければって応えてくれて……なのに、なのにっ。ううっ……ぐうぅっ
花丸,ごめんね……本当にごめんね、善子ちゃん。ううっ……うわあぁっ
梨子,……曜ちゃん
曜,ねえ、千歌ちゃん
千歌,どうしたの、曜ちゃん？
曜,悪い夢、なんだよね？花丸ちゃんがaqoursのこと、何もかも──
ちかりこ,リアルこそ正義
その痛みが,これは現実なのだ
曜,ふぁ、ふぁい
千歌,まあ、これは善子ちゃんの受け売りだけど……認めたくないよ、こんなリアル
梨子,私だって千歌ちゃんと同じ。ここ数ヶ月でようやく花丸ちゃんとの間にあった壁を破れたのに……一緒にコミケ行こうって約束だってしてたのに
曜,……そっか
そこで初めて、唯一私,だけ
善子,記憶喪失が題材のアニメや映画は何作も観てきたけど、いざ自分が同じ立場になると……こんなに、辛いもの……なのね
曜,善子ちゃん……
善子,だってそうでしょ！aqoursとしての、私達との1年間が消えたってことは、私達の知ってるずら丸が死んだようなもんじゃないの！
花丸祖父,うむ、マルは幸せ者じゃのう。こんなにも大切に想ってくれる友人達と巡り会えて
千歌,はい。そういうものなんですよ、スクールアイドルって
花丸祖父,みたいじゃな。マルもよく話してくれるからのう。さてと、マルがどうしてあんな状態になったのか。ワシから伝えねばならんのう
善子,んで、ずら丸はどうして記憶を無くしたの？しかもaqoursのことだけなんて
花丸祖父,うむ、我が寺に封印されし数多の呪いの書が1冊、忘却の書によるものじゃ
善子,忘却の書？
梨子,なんかそのまんまな名前ですね
未だに,悪い冗談の類だ
花丸祖父,うむ、本来の名はヨルダとジェレミアの理想の新婚生活なる古代ローマの小説なんじゃが
梨子,恋愛小説!?なんでそんな幸せそうなタイトルの本が呪いの書に？
花丸祖父,嫉妬心、じゃよ
梨子,嫉妬心？
花丸祖父,今は関係ないことじゃ
曜,どう思う？この話
梨子,嘘か真かってこと？
曜,うん
千歌,曜ちゃん、まさかこれがドッキリだとでも？
曜,いや、そこまでは思わないけど
だとしたらあまりにもタチが悪いが、事態が事態なのでいっそこの場にいる全員から,ドッキリでした～！
曜,3人とも信じられるの？こんなオカルト
善子,信じたくはないけど……信じるより他ないじゃない。ずら丸が演技であんなドッキリ仕掛けられる訳ないでしょ。もし演技だっていうんなら、私が泣き出したらごめんね、冗談だからって……絶対バツの悪そうな顔になるわよ
曜,だよね、ごめん。変なこと言って
花丸祖父,曜くんの気持ちもわかるぞ。でも、これは事実なのじゃ
曜,その忘却の書は封印されていた……ということは誰かが盗み出したんですか？
花丸祖父,うむ。我が寺に張ってあった悪鬼払いの結界を解いた上でのう
千歌,悪鬼？リトルデーモンのこと？
善子,違うわよ、千歌。リトルデーモンはヨハネの友達、悪事は働かないのよ
千歌,だよね。じゃあ何者？
梨子,他人の痛みが想像できない人のこと、ですよね？
花丸祖父,そうじゃ。君達も歴史の授業で習ったじゃろう？魔女狩りやホロコーストといった、目を覆いたくなるような悪行の数々を。そういった行為を平気で実行したり、命令できるような者達なのじゃ
千歌,ううっ……おっかないね、そういう人って
梨子,本当にね。大丈夫、千歌ちゃん？
千歌,……うん、大丈夫
曜,それで、もし結界の中へその悪鬼かもしれない人が入ったら、どうなるんですか？
花丸祖父,激しい頭痛やめまい、吐き気に襲われて早くここから出たいという思いで頭がいっぱいになるそうじゃ
曜,うわっ、なかなかえげつないですね
花丸祖父,もっとも、千年以上も前にご先祖様が編み出した秘術ゆえ、実際はどうなるかわからぬがのう
千歌,千年前ねえ。花丸ちゃんちって、そんなに由緒あるお家だったんだね
花丸祖父,更に言うなら書庫にはより強力な結界が張られており、最悪魂そのものが浄化されてしまう……という記述が遺されておる
善子,それだけ悪用されたらヤバい本がいっぱいある、ってことね
梨子,何か企んだりしてないわよね？犯人へ仕返ししてやるとか
善子,……してなくはないわ。嫌になるわ、怒りに呑まれたら……ずら丸を襲った奴と同じになるってのに
梨子,善子ちゃん……
花丸祖父,善子くんの考えが正しい。憎しみはまた新たな憎しみを生むだけじゃ
曜,そう、ですね
おとぎ話でも,悪い鬼を倒すため、自らもまた鬼になる
花丸祖父,かつて織田信長や太平洋戦争下の日本軍、更にはGHQの占領軍なんかも呪いの書を求めてきたが、先代達はそうした圧力をはねのけてきたのじゃ。そしてこれが、昨晩の出来事じゃ
千歌,ってノーパソ!?
梨子,意外と最新機器を使ってるんですね
花丸祖父,そうじゃろ、未来じゃろう？
善子,やれやれ。この祖父にして、あの孫娘ありって訳ね
何せ若者から,お寺＝古臭い場所
花丸祖父,それでこのファイルが、防犯カメラに映っておった映像じゃ
善子,……何度も来てたのに気付かなかったわ
花丸祖父,そりゃ像の中へ仕込んでおるからのう。あと最近は遠隔操作のドローンで盗まれないよう、電磁波でジャミングする装置も敷設する予定だったんじゃがのう
千歌,うわぁ、最近のお寺ってハイテク機器満載なんだねぇ
善子,魔術と科学の併用……人工の結界ってヤツね
梨子,良心を持たない人には結界の力が働いても、心そのものが無いドローンには効きませんものね
花丸祖父,そういうことじゃ
善子,Xlll機関か、はたまたメカ○シ団か
曜,いやいや
花丸祖父,赤外線センサーくらい取り付けておくべきじゃったのう
曜,あの分厚い本が忘却の書ですね？
花丸祖父,うむ
彼女は咄嗟に犯人へ飛びかかり,忘却の書
千歌,うっ……
梨子,……酷い
そして犯人は,忘却の書
曜,あの白いビームが呪い、なのかな？
花丸祖父,みたいじゃのう。ワシもアレが使われたのを見たのは初めてじゃ
善子,何なのコイツ……強盗殺人と変わらないじゃない！
千歌,これが……悪鬼
まるで,他人の家へ盗みに入ったものの、家族に見つかったから口封じのために殺害した
曜,それで、何か手掛かりは掴めたんですか？
花丸祖父,今のところ何も掴めてはおらぬ。髪の毛の1本、指紋の1つすら見つかってはおらんのじゃ
曜,そう、ですか
花丸祖父,結界の存在を知っておったことといい、極めて計画的な犯行じゃな
善子,まさか外国のテロリストや、死の商人が放ったエージェントって可能性も
曜,いや、さすがにそれは──
花丸祖父,あり得んとは言い切れんのう
曜,そ、そうですか
花丸祖父,現状は市内全域と海上に検問を張っておる。黒澤家や小原グループの全面協力もあって助かっておる
梨子,それだけの一大事ってことなんですね？
花丸祖父,うむ
千歌,わたし達にできることってないですか？
花丸祖父,ない
千歌,即答ぉ!?でも花丸ちゃんがやられたのに何もできないなんて……
梨子,落ち着いて、千歌ちゃん
千歌,梨子ちゃん……う、うん
花丸祖父,こうやってお見舞いへ来てくれただけでも、ワシは嬉しいぞ。マルはこれだけ愛されておったんじゃから
それ以前に、仲間が何者かに攻撃されたショックが大き過ぎて、とても,何かやろう！
千歌,はぁ、これからどうしたらいいんだろう？
善子,私達の手で犯人を見つけてとっちめてやりたいけど……手掛かりゼロじゃねえ
千歌,だよねぇ。相手は忘却の書持ち。しかもルビィちゃんは行方不明だし
曜,もしかして、ルビィちゃんが犯人なんじゃ──
善子,疑うっての、彼女のこと？
曜,いや、そういうつもりじゃ──
善子,アイツが……ルビィがずら丸を傷付けるような真似、する訳ないでしょ！
曜,……だよね、ごめん
大切な親友を,悪者ではないか
千歌,うんうん。もし忘却の書だけが目当てだとしても、花丸ちゃんからaqoursの一員として頑張ってきた1年を消すなんて絶対しないよ！
曜,うん、千歌ちゃんの言うとおりだよね
梨子,神様、お願い。花丸ちゃんを元に戻して……犯人が無事捕まり──
千歌,大丈夫、梨子ちゃん？
梨子,ほへっ!?千歌ちゃん？
千歌,ずっと上の空だけど、気分悪いの？
梨子,うん。すっごい怖くなってきたの
千歌,怖い？記憶を失ったら……って？
梨子,だってそうでしょ？私が今こうしてここにいられるのは、千歌ちゃんやみんなに出逢えたからで。それらが全部なかったことにされるって今の私が消えてなくなっちゃう、ってことだから
千歌,大丈夫だよ
梨子,千歌ちゃん……
千歌,もし犯人が襲ってきても、わたしが千歌ちゃんビームでやっつけてやるから。ビビー、ズドドドーン☆って！
梨子,ふふっ、ありがと
善子,リトルデーモン・リリーへ手を挙げようとするのなら、この堕天使ヨハネも助太刀するわよ！
曜,もちろんウルトラマンヨーソローもいるでありますよ！デュワッ☆
梨子,善子ちゃん、曜ちゃん……でも誰1人やられたら駄目だから、万が一が起こったらみんなで逃げようね
ようちかよし,了解(であります)
梨子,とはいえ、こればっかりは神様へ祈るしかないわね
善子,リトルデーモンでありながら神頼みなんて言語道断よ、リリー！……って言いたいところだけど
千歌,いいね、神様へお祈り
梨子,いや、千歌ちゃん？
千歌,きっと一介の女子高生にできることって、それくらいなんだと思う
曜,私も千歌ちゃんに賛成！
善子,って曜は基本的に、何でも千歌へ賛成してるじゃない
曜,そうかな？
善子,そうよ
梨子,ようやく花丸ちゃんと友達になれたのに……そんな矢先に全部お釈迦にされちゃうなんて
曜,閉校祭で？
梨子,うん
(途中で千歌ちゃんと出くわして,ちょっと用事があるの
梨子,花丸ちゃん、ずっと悩んでたの。梨子さんとの間に1枚壁があるみたいだって
曜,まあ、端から見てもそう感じてたよ
善子ちゃんを挟んだ,友達の友達
実際梨子ちゃんと花丸ちゃんが2人きりで一緒に行動しているのを目にして、私を含めみんなが,珍しい組み合わせだね
曜,善子ちゃんやルビィちゃんとは、仲良くなるきっかけがあった。でも花丸ちゃんとは特に何もなかった訳でしょ？
梨子,うん。でも私の方から歩み寄ろうとしなかった。改めて1年を振り返って後悔したの
曜,でも梨子ちゃんなりに少しずつ交遊関係を広げていったんだから、別に自分を責める必要はないんじゃないかな？
私が,広く、浅く
梨子,かもね、うん。ただ、花丸ちゃんは焦りを感じてたみたいなの
曜,焦り？
梨子,善子ちゃんやルビィちゃんはaqoursに入る前と比べて色々と変われた。自分の殻に閉じ籠っていたのが、今や積極的に周りの人と向き合えるようになった
曜,確かにね。でもやっぱり花丸ちゃんは巡り合わせが悪かっただけで──
梨子,自分は機会に恵まれなかった、なんて神様のせいにするのは甘えずらって
曜,まあ、一理あるかもね
私とて梨子ちゃんと出逢っていなければ、未だに千歌ちゃんに,だけ
梨子,勇気が出せず、自分を律することができず、1人だけ遅れを取っていることに悩んでいたの
曜,ああ見えて意識高い系なところあるんだね、花丸ちゃんって
梨子,かもね。閉校祭の次の休みに2人でマルサン書店へ行った後、喫茶店で色々おしゃべりしたの
千歌,ちょっと初耳なんだけど！
梨子,あの時は私から誘ったじゃない！そしたらああ……ごめんなさい。わたしはちょっと用事があるのって
千歌,それは……善子ちゃんがスマ○ラやりたいからって
実際は閉校祭の時の,埋め合わせ
善子,ヨハネよっ！だってリリーもずら丸も下手っぴだし
曜,確かに
梨子,むうっ
曜,私とルビィちゃんの4人で遊んだんだよね。また今度やろっか
善子,……千歌がもう少し手を抜いてくれるならね
曜,それは同意
こんな凄いスキルがあるのに自分を,普通怪獣
千歌,それで、花丸ちゃんとどんな話をしたの？
梨子,ある相談を受けたの
千歌,相談？どんな？
梨子,もう1人分厚い壁がある人がいる。だけどマルと何一つ共通点が無いから、どういう話をしたらいいのかわからないって
曜,へぇ、誰のことだろう？
すぐに,私のことだ
ちかよし,ジー
梨子,花丸ちゃんね、年が明けてから自主練を始めたらしいの。毎朝4時に起きて3キロのランニング
千歌,4時起き!?はっや！
曜,夏合宿の時もそうだけど、早起きするの得意なんだね
善子,ずら丸なりに変わろうと、見えないところで努力してたのね
梨子,うん。それで自分だけ遅れを取っているから、練習に付き合ってほしいって素直にお願いしたら？ってアドバイスしたの
千歌,そっか。そしたら？
梨子,無理に早起きをお願いするのも失礼だから、マル1人で頑張ってみるずらって
善子,確かに厳しいわね、慣れてない人には
梨子,一応休みの日に1時間くらいならどう？って提案したんだけどあの人はいつも誰かと先約が入っているからって
曜,そっか、果南ちゃんも困ったものだね
千歌,曜ちゃんさあ……果南ちゃんはもう沼津にいないんだよ
善子,そんなにずら丸のこと避けてたのね、失望したわ
曜,もしかしなくても……私のこと？
ちかよしりこ,うん。他に誰がいるの？
曜,やっぱり!?
ちかよしりこ,うん
花丸ちゃんにとって,壁がある
千歌,曜ちゃんってさ、花丸ちゃんとまともに話してるの見たことなかったし
善子,曜はずら丸のこと見えてなかったの？存在そのものを認知できてなかった？
曜,そこまではないから！
？？？,うう……どうすれば良かったんだろう
曜,ルビィちゃんっ!?どうしてここに
ルビィ,曜さんっ!?みんな……
曜,ルビィちゃんっ!?
ルビィ,ううっ……ごめんなさい、ごめんなさい、花丸ちゃんっ……ううっ。ルビィのせいなんです。花丸ちゃんが襲われて……忘却の書が盗まれたのは
善子,ルビィ……アンタ、自分が何やらかしたのかわかってんの！
梨子,止めてっ！善子ちゃんっ！
──と制止され,……わかったわよ
千歌,話してくれない？何があったのか
ルビィ,でっ、でも──
千歌,最悪、警察へ突き出さなくちゃならなくなるよ……ルビィちゃんのこと
ただ脅しをかけた千歌ちゃんからも,こんなこと言いたくないし、したくもない
千歌,わたし達はルビィちゃんの味方だよ、信じて
ルビィ,……脅されて、いたんです
千歌,誰に？
ルビィ,生徒会長に
善子,ダイヤが？
梨子,もう卒業したから。というか統合したし。それ以前に姉妹だから
というより、この場合の,生徒会長
曜,つまり、月ちゃんから？
ルビィ,うっ……はい。信じられない、ですよね？
千歌,ま、まあ
ルビィ,ルビィだって信じたくないです。でも……コレを見てください
曜,これって……私と千歌ちゃんの
ルビィ,コレを拡散されたくなかったら協力してって
善子,合成写真って感じでもなさそうね
ルビィ,反対したんですよっ！どうしてっ!?スクールアイドルは凄いって認めてくれたんじゃなかったんですか？って
梨子,そうよね。イタリアの時のやSaintSnowとのライブを観て、あんなに感動してたのに
それらを撮影した後で,僕達だけしか知らないなんてもったいない
ルビィ,そしたら僕は生徒会長なんだよ。だからスクールアイドル部の活動を認めないことだってできる。賢いルビィちゃんなら、この意味がわかるよね？って
曜,私と千歌ちゃんのために、aqoursのために言い出せなかったんだね？
ついでに,他言無用
善子,曜は信じるっての？
曜,うん。月ちゃんは目的のためには全力で取り組む性分だから
千歌,で、ルビィちゃんが花丸ちゃんを殴りつけたの？
ルビィ,ううん……ルビィがやったのは、お寺の結界を作る像を2体動かしただけで
そこには国木田の寺の大まかな見取り図と、その上から赤ペンで書かれた,上向きと下向き、2つの三角形を重ねた記号
善子,これは、六芒星の呪縛!?
ルビィ,うん。6体の像のうち2体を動かせば、結界のバランスが崩れて消えるって
しかし月ちゃんはどこで,忘却の書
千歌,じゃあ書庫には入ってないんだね？
ルビィ,うん
善子,本当ね？
ルビィ,本当だよ
梨子,私は信じるわ、ルビィちゃんが花丸ちゃんを殴る訳ないもの。まして、わざわざaqoursの記憶を消すまですることないものね
曜,私も信じるよ、ルビィちゃんのこと
千歌,もちろんわたしもだよ
善子,私も。っていうか、ルビィが自分からここまで壮大な計画を練るなんてあり得ないし
ルビィ,みんな……ありがとう。ルビィは電話でやり取りするのを禁止されていたから像を動かしてから30分後まで隠れて待っていたんです
曜,通話禁止、ねぇ
ルビィ,そしたらパトカーやら救急車やらが来て……担架で運ばれる花丸ちゃんが見えて……
善子,ルビィ……
ルビィ,それで……ルビィは取り返しのつかないことをしちゃったんだって……ううっ
梨子,大丈夫？最後まで話せる？
ルビィ,う、うん。ありがとう、梨子さん
梨子,気にしないで
ルビィ,誰かへ話さなくちゃって思ったけど、警察のお世話になったらaqoursのみんなやお姉ちゃんの迷惑になるから……隙をみてお寺から出て、会長のお家へ向かったんです
千歌,月ちゃんへ報告するため？
ルビィ,い、一応。そしたらお母さんから朝から生徒会の仕事があるから学校へ行ってるって教えられて
曜,そっか、それは面倒なことで
ルビィ,それで生徒会室まで行ったら副会長も一緒で。でも会長が構わないよって言うからどうして花丸ちゃんを！って聞いたんです
善子,副会長？
曜,みのりちゃんだね。そしたら何て？
ルビィ,仕方ないでしょ？見られた以上はとだけ
曜,となると、実行犯はみのりちゃん？
ルビィ,そこまではわからないです
曜,……それもそっか
ルビィ,それで会長からメモリーカードを手渡されてバックアップは取ってないよ。信じてほしいって
曜,なるほど、それで月ちゃんとの取り引きはおしまいって訳だね
善子,んでルビィはどうしてここへ？
ルビィ,それは……神様へお願いしに──
善子,ぷっ。私達と同じって訳ね
梨子,ふふっ、これも巡り合わせ……もしくは1年も一緒にやってきて、考えが似通ってきたからかも
千歌,梨子ちゃんの言うとおりかもね。何にせよ辛かったよね、ルビィちゃん
曜,もう大丈夫だよ。私達がついてるから
ルビィ,千歌ちゃん、曜さん……ありがとう
曜,月ちゃんとみのりちゃんが首謀者で、もしかしたら生徒会全員が協力している可能性もあるってことだね
善子,だとしたら厄介ね。ところで忘却の書を盗んだ理由は聞いてるの？
ルビィ,うん。そしたら副会長が余計な詮索はしない方が身のためよって
千歌,とにかくウダウダ考えてても仕方ないよ！月ちゃんへ直接尋ねてみようよ！
曜,千歌ちゃん……うん、それが一番だよね
梨子,でも向こうは忘却の書を持ってて──
曜,わかってる
これが単なる,話し合い
曜,何か理由があるはずなんだ。単に個人で利用する以外の……大きな理由が
善子,どうしてそう思うのよ？
曜,ルビィちゃんの記憶を消さなかったから
善子,あっ、なるほど。普通なら貴様はもう用済みだ。消えろ！ってなるものね
曜,そういうこと。とりあえず、月ちゃんの下には私と善子ちゃんの2人で行くよ
善子,ヨハネね。了解
千歌,いや、行くならわたし達全員で行こうよ
梨子,千歌ちゃんの言うとおりね
曜,いや、千歌ちゃんと梨子ちゃんはバックアップ、万が一が起こった時の控えで
梨子,万が一……うん、わかった
千歌,でっ、でも2人だけじゃ──
梨子,信じてあげて、曜ちゃんのこと
千歌,梨子ちゃん……わかった
ルビィ,だったらルビィにも償わせて！
善子,ルビィは足手まとい！
ルビィ,うぐうっ!?
曜,どのみち月ちゃん達を説得しなくちゃならない。今なら警察のお世話になる前に、どうにかできるかもしれないから
ルビィ,まあ、ルビィのお父さんならどうにかしてくれるかも
千歌,曜ちゃん、善子ちゃん……ご武運を
善子,こんな時くらいヨハネと呼びなさいよっ！
梨子,本当に2人だけで大丈夫？
曜,大丈夫だよ
善子,曜……アンタ、会長がどうしてこんな馬鹿やらかしたのか見当がついてるのね？
曜,うん、一応
その中の,最悪の説
曜,これ以上、取り返しがつかなくなる前に──
善子,もう十分に手遅れなのよっ！。ずら丸がやられたのよっ！曜にとってはどうでもいいんでしょうけどね
曜,そんな訳……ないよ
善子,心からそう思ってる？
曜,私だって花丸ちゃんとどう接したらいいか……わからなかったから
善子,以前のリリーと同じなのね？
曜,うん
善子,会長が従姉妹だから庇いたいのはわかる。けど私からすればアイツは恋人の仇なの
曜,善子ちゃん……ごめん
善子,理由によっては、きっちり法の裁きを受けてもらうわ
曜,……わかってるよ。でも、まずは話をさせて
善子,……ええ。気付かれたみたいね
曜,もっと警戒しながら進もう
善子,ええ
月,やあ。待ってたよ、曜ちゃん
机上には,忘却の書
善子,単刀直入に聞くわ、生徒会長！アンタ──
曜,ストップ。まずは私から話させて
善子,……了解
曜,ねえ、月ちゃん
月,なんだい？
曜,どうしてあんなことしたの？
月,あんなことって、どんなこと？
曜,国木田のお寺から忘却の書を盗み出したこと。そしてそのためにルビィちゃんを脅して利用したこと
月,うん、やっぱりその件について尋ねに来たんだよね？
曜,それ以外に何かあるの？やっていいことと駄目なこと、その区別がつかない訳じゃないよね？
月,もちろんだよ
曜,だったら──
月,でも時と場合によっては、決まり事を破らなくちゃならないことだってある。違う？
曜,それは……なくはないけど
善子,安問答はもういいわ。これだけの悪事を重ねた理由、さっさと答えなさいよ！
月,ははっ。血気盛んだねぇ、善子ちゃんは
善子,ヨハネよっ！早く答えなさいよっ！
月,うん、わかってる。それはね──
ようよし,それは？
月,千歌ちゃんと梨子ちゃんから、お互いの記憶を消すため、だよ
ようよし,は？
月,あの2人が共に過ごした1年間の記憶を抹消して、もう一度赤の他人だった頃まで戻す。ただそれだけのこと
曜,月ちゃん……自分が何を言ってるのか、わかってるの？
月,もちろんだよ
曜,千歌ちゃんと梨子ちゃんが付き合ってて、お互いのこと大切に想ってるって、わかってて言ってるの！
月,わかってるも何も、だからこそ、なんだよ。曜ちゃん
