※ある番組の,墓友
ヴィーネ,はぁ～、それにしてもまさかサターニャが…うぅ……
ガヴリール,仕方ないよ、ヴィーネ。人は誰しも、死を迎えるものさ。それが例え若くてもな…。
ヴィーネ,でも、実感がないわよ。だって、あんなに元気だったサターニャが、突然！？
ガヴリール,うん。正直、私もだ。数日前、急に連絡が取れなくなって、ヴィーネと二人でサターニャの部屋を訪ねたら……あいつ部屋の中で死んでたしな！
ヴィーネ,それにしても、死因はショック死……今思えば、どうなったらショック死するのよ、何もないあの部屋で、あの状況で…。
ガヴリール,病院の話だと何か怖い悪夢を見たショックでの死亡かもしれないって話だし。ましてや、警察は事件性なしって判断したしなぁ。
ヴィーネ,はぁ～、サターニャ…アンタ、どうして死んだのよ……。
ガヴリール,泣くな、ヴィーネ。ほら、ハンカチだ、拭け
ヴィーネ,ありがとう、ガヴ…。
ガヴリール,それにしてももう一つ、不思議だよな
ヴィーネ,なにが？
ガヴリール,いや、共同墓地の事だよ。あいつ、確か一度購入したけど、色々あって解約したって聞いたはずなのに、死後に遺言書が見つかって、内容が一度解約した共同墓地をもう一度買い直し、そこに自分を埋葬して供養してほしい
ヴィーネ,あっ、そういえば、そうね！解約したのを、もう一度買い直せって言うのが変よね？それになんで購入したのを、後になって解約した理由も明かさなかったし…ガヴの言う通り頭に引っ掛かる事ね
ガヴリール,まっ、あいつが死んだ今、真相は永遠に分からないしな。でも、共同墓地って言っても大勢じゃなくて、二人だけってのも珍しいな？
ヴィーネ,あぁ、サターニャを埋葬した共同墓地の事ね。確か、私とガヴが購入したのは、もっと大勢だったわよね！
ガヴリール,あっ、もしかして、サターニャよりも先に埋葬されていた別人が、二人っきりだけの方が良いから他の奴は埋葬されるなって、意味の呪いでも掛けたりしてな？
ヴィーネ,もぅ、ガヴ、怖い事言わないでよ！？
ガヴリール,あはは、ごめんごめん
ヴィーネ,でも、サターニャよりも先に埋葬された人ってどんな人だったのかな？
ガヴリール,さぁな、私らに関係のある人物だから分からない。だけど、共同墓地を購入したって事はそうとう友達もいないような寂しい奴じゃないかな？。まっ、そういう奴でも後から購入したサターニャのような存在の墓友が出来て、今頃草葉の陰で喜んでるんじゃねぇか！
ヴィーネ,……そうかもしれないわね。
ガヴリール,まっ、いずれにしろ…今はサターニャが安らかに眠れる事を願うしかないな
ヴィーネ,そうね。サターニャ、あの世でどう過ごしてるのかしらね？もしかして、新しい友達とかと過ごしてるのかな…。
