みく(猫),何で、しっぽが生えてるにゃ？何で四本足で歩いてるにゃ？何で言葉がしゃべれないにゃ！(猫語)
P,なるほど。じゃあ寝る前に、ちょっとだけ抱っこさせて
みく,いいにゃうわぁ！
凛,ダメ
P,何でよ～いいじゃ～ん
凛,ダメ
みく,凛チャン、苦しい………！
凛,ダメ
P,わかったわよ。じゃあ、早く寝なさいよ～
みく,げほっ、何するにゃあ
凛,みく。このことは私とみくだけの秘密だよ。くれぐれもプロデューサーにすり寄ったり、匂いを嗅いだり、膝の上で寝たり、グルーミングと称して舐めたりしたら、剃るよ
みく,凛チャンの、Pちゃん好きは困ったものにゃ………
晶葉,人を猫にする薬ぃ？
凛,うん。晶葉ならそういうの作れるでしょ
みく,そうにゃ！みくを猫の体にしたでしょ！
晶葉,まさかこの猫がみくだと言うんじゃないよな。そうだとしても私ではない
みく,うそにゃ！こんな便利なバウリンガル作っといて！猫型ロボットなんて、みくとキャラが被るにゃ！
晶葉,何を言っているんだこの畜生は。言っとくが、巷で便利屋なんて言われているが、私の専門はロボット工学で、ケミストリーの分野はそんなに得意じゃないぞ
凛,そう………巷で困った時の晶え○んなんて言われてるのに
みく,じゃあ、晶葉ちゃんじゃなかったら、誰にゃ？
晶葉,それは分かりかねるが
凛,じゃあ私の思い違いだったのかな………ごめんねみく。今から仕事だから
みく,そんにゃあ………
晶葉,………なあみくよ。目が覚めたら猫になっていたのだな
みく,そうだけど
晶葉,実は私にも一人、心当たりがあるんだ
みく,マジ！？誰にゃ誰にゃ？
晶葉,私以外に天才の名をほしいままにしているやつがいるだろ。しかも分野は薬学系。自分の興味のためだけに自由奔放に駆け回るギフテッド
みく,薬学………？
晶葉,心当たりっていうのは
志希,にゃふふ～。プロデューサー君のハンカチゲット～♪ん～いい匂い？にゃふ。今日は何しようかな～♪
晶葉,一之瀬志希だ
みく,あー………
志希,晶葉ちゃー。おっはよぅ♪これ、嗅いでみる？いい匂い～♪ハスハス
晶葉,結構だ。ところで志希。何か変な薬を作らなかったか？
志希,作った～。飲んだ人が猫ちゃんに変わっちゃう薬～♪牛乳に混ぜて冷蔵庫に入れといたのに無くなってるけどね
みく,貴様かー！
志希,お、このにゃんこ………もしかしてみくにゃん？
晶葉,わかるのか？誰も言ってないのに
志希,わかるも何も、みくにゃんの匂いしかしないも～ん。ハスハス～♪というよりあれ、飲んだんだ
みく,確かに飲んだにゃ！飲んでいきなり眠くなって、どうしてあんなもの作ったにゃ！
志希,作りたいから作ったんだ～にゃふ。それにもともと君に飲んでもらおうって思ってたんだー
晶葉,そうなのか？なぜだ？
志希,それがプロデューサー君の願いだから♪
みく,Pちゃんかー！次会ったらシバいたる………にゃ
晶葉,つまり、助手との共謀だったってわけか
志希,んーん。これはアタシ一人でやったこと。プロデューサー君、みくにゃんのこと心配してたんだよ
みく,心配って何を心配してたにゃ？
志希,みくにゃんってー。猫キャラだけど、結構ほかの猫キャラの人も増えてきたからもし猫キャラをほかの誰かに喰われたらどうしようって本気で悩んでたヨ？もし何らかの形で猫を本当に体験できたら～ってことも言ってきてね、アタシはプロデューサー君の願いを叶えてあげようって思ってね♪あ、この薬のことは私以外知らないよ
晶葉,確かに助手はみくのことを本気で心配してたな。ネットでもファンやめますって書かれてるのを見て、ネタを本気にして悩んでたらしいな
みく,Pちゃん………
志希,本当はちゃんと説明してから飲んでもらおうって思ってたんだけど、まさか先に飲んじゃうとは！みくにゃん食いしん坊♪
晶葉,なるほど。助手なりに心配してたのか。で、みくよ。猫になってみてどう感じたんだ？
みく,確かに、いろんな人が猫をキャラにしてるってことは事実で、ほーんのちょっとだけ不安なときもあるにゃ。でも、Pちゃんがきちんと考えてくれて、真剣にみくのことを思ってくれてるのなら、今回のことは確かに貴重な体験だったにゃ
晶葉,そうか。なら、助手の願いが届いたってことだな
みく,うん。ちょっと強引だけど、みくはPちゃんの期待に応えるにゃ。猫に慣れて本当に良かった。ありがとう志希にゃん！
志希,うんうん。そーれは良かった～♪じゃあ、もうそろそろもとに戻してあげる
みく,お願いにゃあ
志希,………
凛,ふぅ、これで今日の予定は全部クリアかな
P,お疲れ様。凛もだいぶ様になって来たわね。この調子ならトップアイドルも見えてきたわね
凛,うん。プロデューサーのために頑張るね
P,俺じゃなくて自分のために頑張りなさいよ………それはそうと、スポーツドリンク飲む？
凛,あー、いいよ。自分のがあるし
P,あるんだ。まあ俺の飲みかけだったし今思うと勧める物じゃ、
凛,ごめんなかった。買ってなかった。咽渇いたから頂戴
P,ないのかよ！まったくおっちょこちょいね。はい
凛,ありがとう
P,大した飲みっぷりね。相当喉が渇いてたと見た。あ、もうそろそろ事務所につくわよって、飲んだ途端に眠っちゃってこの子は。しょうがないわね。宿直室まで運んであげましょうか
凛,うー………ん。ぷろでゅーさー………
P,はいはい俺はここにいるわよ………
凛,あれ？いつの間に寝てたんだろ………ん？。何でしっぽが生えてるの？。何で四本足で歩いてるの？。何で言葉がしゃべれないの？。何で犬になってるの！？
