コミック版,激闘！マジノ戦ですっ！！
ケイ(あんこうスーツ),イェーッス！やっぱりシホ達が揃ったなら最後はANKOUダンスよね！！
沙織(あんこうスーツ),ケイさん…なんでそんなに楽しそうなんですか…
ケイ,こんなパワフルでエネルギッシュな事が楽しくないわけなんてないじゃない！！
エクレール,…うふふ、アハハハハ！！
沙織,え、エクレールさん？
フォンデュ,大丈夫ですか！？ゲロのお時間ですか？鬼太郎袋？洗面器？いいえゴミバケツくらい持ってこないと！！
エクレール,心配いりませんフォンデュ、もう吐く物はありませんわ！ええ、弱音さえもです！！。今日一日で色々な事を学びました…ハッキリと言います、私達は弱いです
フォンデュ,エクレール様…
ガレット,いきなり弱音じゃない
エクレール,続きがありますの！だから強くなろうと私は躍起になっていました。私が強くなって皆を引っ張ればって思っていました…でも。…でも、もっと強くなりたいって気持ちは皆同じだというのに気づいていなかったの！。だから、お願い！こんな私とですが一緒に強くなれるよう歩んでください
ガレット,まったく…大洗の練習試合の時といい…進歩のありませんこと
フォンデュ,ガレットさん！
ガレット,ですから、これからも私達が貴女を支えます、エクレール様の御心のままに前進してください
カリソン,負担も分けて喜びも分かち合う、いいことやないですか
フォンデュ,ガレットさん…カリソンさん…も、もちろん私もです！！
エクレール,皆…本当にありがとう！
沙織,なんか、よくわかんないけど、結果オーライなのかな？
しほ,ええ、そうですよ沙織さん、じゃあ！良い話でまとまった所で…
好子,新生マジノ学園のお披露目とまいりましょう！！
エクレール,お披露目ぇ？
百合,他校に見せつけてさしあげるのですよ
久子,おケイ、準備はいいか？
ケイ,オッケーイよ、オバア！さぁマジノの皆も、スーパーギャラクシーにハリーアップ！！
フォンデュ,え？では着替えてまいり…
しほ,いえ、その格好のままでいいですよ
ガレット,こ、こんな恥ずかしい格好で！？///
カリソン,私達、芸人じゃないのですが…
久子,こまけえ事はいいんじゃよ！
エクレール,武部さん、あの…西住しほ様は、いつもこんな事を…
沙織,うん…そうだよ…、いつも、こうなんだよね…
しほ,では出発です！
ケイ,イエース！まかせて！！
キュイイイン！！,飛び立つ、スーパーギャラクシー
マドレーヌ,…エクレール、遠くからですが私も見守っていますよ。これは…忘れ物かしら？
沙織,それで、しぽりんお披露目するってどこに行くの？
しほ,それはですね…
オレンジペコ,ダージリン様、紅茶です
ダージリン,いただきますわ
優花里,西住殿、粗茶とお菓子よかったらどうぞ
みほ,優花里さん、ありがとう
小梅,隊長、コーヒーを淹れました
まほ,ああ、すまない
ダージリン,茶柱は…ありませんわね
オレンジペコ,ダージリン様が茶柱を嫌がるので、一々濾すの大変なんですよ
みほ,あっ…茶柱が…
優花里,ああ、せっかく立った茶柱が沈んでしまいましたね
みほ,う、うん…
まほ,なぁ、なんでコーヒーに茶柱が立っているんだ？
小梅,縁起がいいですね
まほ,……
エリカ,隊長！！
まほ,どうした、エリカ
エリカ,こちらに向かっている輸送機があるのですが
まほ,機体と所属は？
エリカ,C-5M、サンダースです
小梅,あれ？ウチへの着艦予定なんてないはずですよね？
エリカ,そうなのよ、だから隊長の方で何か聞いているかと思いまして
まほ,いや…私の方は聞いてないな…わかった、ケイに連絡してみよう。こちら、黒森峰女学園、西住まほだ。ケイ、輸送機がこちらに向かっているのだが。何かあったのか？。なぁ、その後ろから流れている、スチャラカな曲はまさか…。うわぁぁぁぁぁ！！お母様ぁぁぁぁだぁぁぁ！！。学園艦、対空戦用意！！
エリカ,そんな装備ないですよ
まほ,ならば、全車輌、準備！！目標はC-5M！！
エリカ,無理ですって届きませんよ…戦車道の戦車なんですから
まほ,ああぁ！どうすれば撃墜できる…このままでは、お母様が…お母様が来る！！
小梅,取り乱していますけど、実の母親を叩き落す気は満々なんですね
エリカ,隊長…。副隊長より意見具申
まほ,エリカ！？
エリカ,ウチのヘリをサンダースにぶつけます
小梅,確かに空の事は空で片付けるのが手っ取り早いですね
まほ,だが、操縦はどうする？自動操縦なんて機能はないぞ
エリカ,私が乗ります
まほ,なっ！？エリカ、危険すぎる！
エリカ,ですが、現状ではこれしかないかと
まほ,しかし、お前にもしもの事があっては！
エリカ,大丈夫です、この時の為に“アムロ再び”を何度も見てシュミレーションしてきました
まほ,……
エリカ,TV版も劇場版も両方です
まほ,し、しかしだな…
エリカ,隊長…、いいえ、まほ
まほ,！！
エリカ,私が守護るわ
まほ,エリカ…
？？？,まったぁー！！(まほ真似)
小梅,なに一人だけ、良いカッコしようとしてるんですか
エリカ,小梅
小梅,その手伝い、私にもさせて下さい
まほ,こ、小梅まで…
エリカ,危険よ、無事に帰れるかわからないのよ
まほ,そうだ、お前まで…
小梅,エリカさんと二人でなら確率は上がります、それに助けたいという気持ちは同じですから
まほ,小梅…
エリカ,わかったわ！時間はないからすぐに出るわよ！！
小梅,はい！
エリカ,では行ってきます
小梅,あとは頼みます
まほ,あ、ああ…。あの二人が乗ったヘリ…、逆方向に飛んでいる…。エリカ…方向が違うぞ。……。エリカぁぁぁ！！小梅ぇぇぇ！！
ケイ,ハーイ！マホ！遊びに…
まほ,うわぁあぁぁぁぁ！！いつもだ！！いつも！！いつも！！私ばっかり！！
エクレール,黒森峰に着いて、いきなり目にしたのが号泣している西住まほさんとは…
フォンデュ,あれが高校戦車道、最強の人…！？
ケイ,オゥ…
まほ,ケイ、教えてくれ、私は後、何回踊ればいい！！。後、何回エリカと小梅に逃げられればいいんだ？。お母様の事になると、みほは何も言ってくれなくなる…教えてくれ
ケイ,知らないわよ
まほ,ケイ～
しほ,まほ
まほ,お母様…
しほ,お母さん、今日はまほの顔を見たかったのよ
まほ,は、はぁ…
しほ,マジノのエクレールさんがね、黒森峰の頃の私を知っていてね～。まほのティーガーに乗ってた学生時代を思い出して来ちゃったの！
エクレール,あれが…
ケイ,ゲロとか色々な液にまみれたティーガーね！
まほ,そ、そうなんですか…マジノも遠いところから…後、母が迷惑をかけたようで…
フォンデュ,そ、そんなことはないです！
ガレット,ええ、西住流、大変勉強になりました
まほ,一応言っておくが、そのあんこうスーツとあんこう踊りは西住流とは無関係だからな
カリソン,へ？そうなんですか
まほ,もういや…
ティーガー,……
エクレール,あの戦車の中で…///
ケイ,クレイジーにも程があるわよね～
沙織,どうしたの？二人とも、さっきからまぽりんの戦車を眺めて
エクレール,な、なんでもありませんわ！！
ケイ,ふふ～ん、サオリには悪いけど、これは私とエクレールだけのシークレットなの！
しほ,さぁ！久々の黒森峰でハッスルするわよ！！
好子,当然、ダンスだけじゃなく戦車道もしますからね！
ケイ,イエス！じゃあ、サンダースからも呼び寄せて、三校合同でやりましょうか！
まほ,わかった…付き合うから、もう、好きにしてくれ…
フォンデュ,な、なんか凄い事に…
ガレット,ええ…そうね
エクレール,でも、このメンバーの中で揉まれ続ければきっと私達の成長になりますわ！
カリソン,“鉄を叩いてこそ鍛冶屋”って事ですね！！
エクレール,ええ、皆さん、それでは行きますわ！！。見ていてください、マドレーヌ様、私…いえ、私達は強くなりますから！！
アンチョビ,やっと着いたぞ！マジノ女学院！！
ペパロニ,髪解くの大変だったスね～
アンチョビ,そのせいで、私の…私のファーストキッスが！！
カルパッチョ,す、すいません…
千代,千代美ちゃんの唇、ほんのり味噌味で大変おいしゅうございました
ペパロニ,アンチョビ姐さん、まだ味噌舐めるの続けてるんスか？
アンチョビ,う゛あ゛あ゛あ゛ぁ゛！！西゛住゛流゛め゛！！ゆ゛る゛さ゛ん゛！！。ア゛ン゛ツ゛ィ゛オ゛高゛校゛だ！！動゛く゛な゛！！
マドレーヌ(あんこうスーツ),これは…なかなか刺激的な衣装で…ッ！？
アンチョビ,おい、マドレーヌ…なんだ、その格好は…
ペパロニ,マドレーヌの姐さん、久しぶりッス
マドレーヌ(あんこうスーツ),あの…その…/////
カルパッチョ,こちらに西住しほさん達が来ていると思うのですが…
マドレーヌ(あんこうスーツ),ウチの学校の子達を連れて飛び立っていきましたわ////
千代,ああ…一足遅かったのね…今回は良いとこなしだったわね…私達
アンチョビ,おのれ、ママさんチームめェェェーッ！！
沙織,しぽりんが高校生の時の黒森峰ってどんな感じなの？
エクレール,現在の常勝校、黒森峰の礎を作りあげたのは、しほ様達のなのですよ
沙織,達？他にも凄い人がいたんだ
しほ,ええ、幸運にも一つ下に井上、二つ下に久川って各学年で隊長格を張れる優秀な後輩がいましてね
エクレール,その三人を“戦車道の三女神”だなんて世間は持て囃したりしましたわ
沙織,へぇ～、今のしぽりんからじゃ考えられないね
しほ,……
沙織,その後輩はどんな人なの？
しほ,二つ下の久川は、そうねぇ、この中だと…カリソンさんが似てるかしらね
カリソン,ふぇ、私ですか？どのあたりが似ているでしょうか？
しほ,普段は上品ぶってるけど、素になったりブチ切れると関西弁になるとこ
カリソン,方言かい！
しほ,よく、あの子の戦車にチャベス号って書いて怒らせたりしたわぁ～
沙織,それでそれで、一つ下の井上って人は？
しほ,……。…17歳です
沙織,そりゃ、高校二年生だから17歳でしょ
しほ,…今でも、17歳なのです
沙織,え？どういう事？
しほ,私が聞きたいですよ…高校時代が忘れられないのか…いまだに自分は17歳だって言って憚らないですから
しほ(マジノ制服),全く、いい年して何をしているんでしょうねー
沙織,しぽりんがそれ言うんだ…
エクレール,うぐぐ…
しほ,私がキング・オブ・ハートで…
百合,私がジャック・イン・ダイヤでしたわね
好子,そして、私が…クイーン・ザ・スペードなんです！
久子,ブラック・ジョーカーのヒサコ・マゴガスキーだ
沙織,私に描かれた…これ、クラブのエース？
しほ,似合っているわよ、ゼク・ゼクシィ
沙織,ちょっと！変な呼び名つけないでよ！！
