俺の名前はＰ、ここで新人保育士,＝幼稚園教諭
Ｐ,あずさ先生！？
あずさ,あら～？ここはどこかしら～？おトイレはどこ～？。ごめんなさいね～……ご迷惑をおかけしてしまって
Ｐ,いえいえ。見つけたのが俺たちで本当によかったですよ
いおり,さすがにびっくりしちゃったわ
あずさ,みんな、お見舞いに来てくれたの？ありがとうね、とっても嬉しいわ～
やよい,しぇんしぇー、げんき？
あずさ,うんー。やよいちゃんのお顔を見たらすぐ元気になっちゃったわ。ごほ、ごほ……
Ｐ,ああ、無理しないで
ちはや,ここがあずさせんせいのおうち……ここですごせばきっといつか……
Ｐ,具合はどうですか？
あずさ,ちょっとせきが出ますけど、あとはもうすっかり大丈夫ですね～。……って、いけない！
Ｐ,慌ててマスクを付け出した。そっか、子供たちにうつったら大変だもんな
あずさ,…………
Ｐ,？
あずさ,み、みました？みましたよね
Ｐ,みたって、なにを……
あずさ,………………すっぴん
Ｐ,ああ、はい。みましたよ。でもあんまり変わらないですよね
あずさ,～～！
Ｐ,なんだ？怒っているのか、喜んでいるのか……心なしか顔がさらに赤くなったような。あずさ先生、ひょっとして熱あがったんじゃ……
あずさ,ちょ、ちょっと私お化粧してきます
Ｐ,何を言ってるんですか！ちゃんと休んでいてくださいよ！
ちはや,あずさせんせいはおけしょうしなくてもきれいです
いおり,たしかにそーね
やよい,わたしはおけしょうしてないほーがいいでしゅ
あずさ,あらあら、みんなありがとう……
Ｐ,子供ってのは、親しい人が化粧しているとなんだか距離を感じてしまうものらしい
やよい,しぇんしぇー
あずさ,や、やよいちゃん？
やよい,……これしゅきでしゅー。ぶらじゃーないからいつもより……
あずさ,ちょ、ちょっと……
やよい,？いつもこーしてましゅよ？
あずさ,そうだけど……ほ、ほら。ばいきんまんがうつっちゃうから
Ｐ,これはあかん
あずさ,…………もう、恥ずかしいわ
ちはや,……くっ。……すぅ、すぅ…………
やよい,……むにゃむにゃ……たりないかなぁって…………
いおり,…………ｚｚｚ………
Ｐ,話しつかれたのか、いつの間にかベッドの隅で３人は寝てしまった
あずさ,ふふ。かわいいですね……やよいちゃん、ふたりに抱きつかれちゃってる。いま起きてるのは……私と、プロデューサーさんだけですね……
Ｐ,なんだかんだありましたが、やっぱりやよいはこのふたりには心を開いてるみたいだ
あずさ,なんだかんだって？
Ｐ,じつは今日ですね……千早とやよいにこんなことがあって……
あずさ,あらあら……
Ｐ,それから他にも……。最近では、このようにあずさ先生と自然とお話ができるようになった
あずさ,ふふ。もっと色んな話、聞かせてください
Ｐ,やっぱり素敵な人だなあ……
あずさ,…………！
Ｐ,おっと、もうこんな時間か。ほらみんな、起きろー
ちはや,んあー……
いおり,もーそんなじかんなの……あふぅ
やよい,……ｚｚｚ……
Ｐ,カラスが鳴くからかえりましょ、ってな。そろそろ家の人が迎えにくるから、幼稚園に戻ろう
あずさ,……今日はわざわざ来ていただいて、ありがとうございました～
Ｐ,いえいえ。それよりお見舞いに来たはずが、なんだか話すだけになってしまってすみません
あずさ,いいんですよ。みんなのお顔を見れて、私も嬉しかったですし。……でも
Ｐ,でも？
ちはや,ぷろでゅーさー。たかつきさん、おきてくれない……
Ｐ,おっと……やよい、朝だぞー。おはよう朝ごはんだー
あずさ,……なんでもありません
Ｐ,あ、冷蔵庫の中にいろいろ入ってますから食べてくださいねー！それでは
いおり,じゃーね、あずさ
ちはや,さよーなら。はやくげんきになってください
あずさ,はい、さようなら。みんな、ありがとうね～
Ｐ,音無先生、園長先生。お先に失礼します
小鳥,おつかれさまで～す……あたしはまだ山のようにやることがあるのに……ぴよぴよ
園長先生,音無君、君は遠足から帰ってきてずっと寝ていたんだから仕方ないだろう……
Ｐ,ははは……お疲れ様でした。さて……帰って夕飯の支度を……おや、電話？。ええっ！？あずさ先生から電話なんて、初めてだな……。もしもし……。あずさ先生、どうしたんですか？もしかして俺、忘れ物とかしちゃいましたか？。でも？。……もちろん、いいですよ。眠れない子を寝かしつけるのは、得意です。…………。顔を見ていればあんなに話せたのに、どうして電話だとこうもいかないんだろう。……具合はどうですか？。それはなによりです……。やっぱり、あれか。子供たちがすぐそこにいたから、俺は緊張せずに話すことができたんだな。なにがですか？。……気にしないでください、俺も一緒ですから。この気持ちまで、一緒なら……俺はとても嬉しい。え！？あ、やっぱりすっぴんを見たってのが……。それじゃあ一体……。なまえ？。あのときのこと覚えていたのか……というか、そんな約束はしたっけか？あずさ先生酔ってたからな。いや、その……ほら、子供たちがいましたし。…………すみません。なんだか、照れくさくて。あずさ先生と話していると、自然と心臓の鼓動が早くなるな……。毎日昇っているこの坂道も、いつもよりきつく感じる。あ、はいすみません！ちょっと坂道がきつくて……ははは。まあ、そのへんですね……ふぅ、やっと登頂しました。え？。そこには、あずさ先生がいた……なんてことはなく。……街が見えます。今は、家やビルに灯りが付いて……きらきらしている。……ええ。……そうですね。そして、携帯電話を握りしめた……あなたがいる。電波の向こう。隣にいるくらい近くて、手も届かない遠い場所に……あずさ先生がいる。……はい。俺も……あずささんの、言うとおりだと思います。俺はきっとこれから先、この会話を忘れないだろう。そして……。この坂道を登る度に……あなたがすぐそばにいるように、感じてしまうんだろうな
まこと,ぷろでゅーさー！
ゆきほ,ひ～ん……ま、まって～まことちゃ～ん……
あずさ,プロデューサーさーん！バンナム幼稚園の方からお電話ですよ～
Ｐ,はいはい！いま行きまーす！
