敢えてタイトルが3じゃないのは続編が増える度に数字が増えていく系SSタイトルは個人的にごちゃごちゃして見づらいなと思ったらからです。,＊めちゃくちゃ個人の意見です。
サターニャ,ふふふ、甘いわねガヴリール。確かにこの勝負のルールは公平よ。ただし、今回壁ドンする相手はラフィエル。ラフィエルと言えば普段から笑顔と言う名の仏頂面で普段から周りに感情をあまり出さない事に定評のある相手。もし仮に壁ドンがドキドキする行為だったとしても、ラフィエルに効く可能性は皆無と言っても過言ではない。この勝負どちらに転んでも私の勝利は確定。残念ねガヴリール、今回も私がアンタをぎゃふんと言わせてやるわ。ラフィエル
ラフィエル,はい、サターニャさんおはようございます。どうしましたか？
サターニャ,ちょっとこっちに来て頂戴
ラフィエル,わかりました
サターニャ,うん、この辺りね
ラフィエル,？。！？
サターニャ,決まった
ラフィエル,………………
サターニャ,ふふふ、どうよガヴリール、この通り壁ドンなんて何とも……
ラフィエル,い、今のはなんだったのでしょうか、サターニャさん///
サターニャ,なんか思ってたリアクションと違う！！。ちょ、ラフィエルなによその反応は！？。アンタはこういうのに動じないキャラじゃない
ラフィエル,そんな事を突然言われましても……
ガヴリール,どうやら今回の勝負は私の勝ちみたいですね。やっぱり壁ドンはドキドキする行為なんですよ。と言う訳でサターニャさん、私にも壁ドンをして下さい、さあ
サターニャ,なんでそうなるのよ！！。私はまだ負けただなんて認めてないんだからっ！
タプリス,あ、天真先輩達がいましたよ、天真先輩～
ヴィーネ,こら、千咲ちゃん学校で走っちゃダメよ？
タプリス,あぅすみません。月乃瀬先輩
ヴィーネ,それにしてもガヴとサターニャは今日も賑やかね、一体何の話をしているのかしら？
タプリス,胡桃沢先輩が天真先輩の元から離れて行きます。どこに向かうのでしょうか。白羽先輩が居ました。どうやら胡桃沢先輩は白羽先輩に用事があったようですね
ヴィーネ,サターニャからラフィに話しかけるなんて珍しい
二人,！？
ヴィーネ,さ、サターニャがラフィに壁ドン！？なにがどうして！？。千咲ちゃん落ち着いて流石に結婚は飛躍し過ぎよ
タプリス,で、でも結婚もしていない二人があんな近い距離感で……わわわ
ヴィーネ,あ、離れた
タプリス,ふぅ、お二人ともお互いが結婚してない事に気付いて離れたみたいです。これでひと安心ですね
ヴィーネ,千咲ちゃんの結婚観が気になり過ぎて後半ほとんど頭に入って来なかったんだけど！？
タプリス,？
