塩見周子,18
P,……もしかしてキスもほとんど経験ないのか？
周子,いやー、そーゆーわけじゃないんだけど
P,随分初々しい感じだったけど
周子,……わかっちゃうもんなんだ。ま、あってないようなもんよ
P,…ほら、もう一回。次は口開けてみ
周子,あー
P,歯医者か。軽く、だ
周子,……あい。……これってあれだよね
P,舌、入れるぞ
周子,うわやっぱり舌かぁ……映画とかでやってる、じゅるーってやつだよね。舌、入るってちょっと想像つかないけど。んっ……。んっ！？
P,っぷはっ、あれ、大丈夫か？
周子,……なんかすごいゾクってきた
P,……舌は神経が集まってるからな。敏感なんだよ
周子,うわ、そんなとこ絡め合わせるの
P,……もう一回な
周子,……っ、やっぱりすごい、ゾクゾクするっ…。熱い塊が口の中で暴れてて。あたしの体温が、侵されてる感じで。なんか、浮いてるみたいな…。ん……
P,大丈夫か？
周子,……きもち、いい、かも……。あはは、腰、抜けちゃった…
P,……キスはこれくらいにしとくか
周子,うん、おかしくなりそう……あ、でもちゃんと最後まで、してよね。……あれ聴き続けるハメになったの、半分くらいはPさんのせいなんだから
P,責任取れ、って？
周子,そゆこと
P,……足、上げて
周子,ん……こう？
P,もうちょい
周子,え、こんなに？
P,毛、めっちゃ薄いな…
周子,あ、うん。なんか、ね
P,……触るぞ
周子,ひゃんっ
P,……敏感だな。人に触れられるの、あんまり慣れてないだろ
周子,だって、こんな……っ
P,こういうことだけじゃなくて、普段から
周子,んっ……あ、やっ………。そういえば、人の温度こんなに感じるのって、すっごい久しぶりかも。っ………ぁ。手、温かい。なんか、こうやって、触れられてると。あたしが、融けてる、みたい
P,……これくらい濡れれば大丈夫だろ
周子,ね、Pさん
P,ん
周子,ちょっと、ぎゅって抱き締めて
P,……おう
周子,……あはは、やっぱりだ
P,ん？
周子,Pさんの体温。暖かくて、優しい
P,……そうなのか？
周子,そうなの。ふふ、Pさんのこと好きになっちゃいそ
P,っ……
周子,こりゃ、後悔なんてしようがないよ。ほーら♪貰って？
P,もうちょい力抜いて
周子,え、あれ？そんな力入ってる？
P,……3秒、手足力んでから力抜いてみ
周子,んーっ……ふー
P,ん、これなら
周子,わ、感動の瞬間
P,入れるぞ
周子,……うん。あ、痛い痛い、痛い痛い
P,しっかり息吐いて
周子,ふーっ、あたた、ふーっ
P,もうちょい入れるぞ
周子,ーっ……
P,全部入ったぞ
周子,へ？あ、うわ、ホントだ……繋がってる
P,痛いか？
周子,めっちゃ痛い……。でも最後まで、ね。初体験失敗はイヤだし
P,……わかった。キツいし、すぐ終わると思う
周子,ん。ね、Pさんはあたし、どう？
P,…さっきから肌が桃みたいになってる
周子,へ？
P,白にじんわり赤が広がってて、体も熱くなってきてて……正直、たまらん
周子,へへへ、そっか。気に入ってもらえたならなにより。ほら、いいよ。んっ………
P,大丈夫、か？
周子,んっ、へーき……あ、でも
P,ん？
周子,Pさんにもぎゅーってして欲しい。んっ……ふふっ
P,気に入ったのか
周子,うん。あたし、こういう温かいのに飢えてたのかも。んっ、あっ……ねぇ
P,っ、ん？
周子,これ、クセになっちゃったら、責任、取ってくれる？
P,痛いんじゃないのか
周子,痛いけど、さ。こうやって体温重ねるの、すっごい気持ちいい
P,……っ
周子,んんっ……痛くなくなったら、どうなっちゃうんだろ、ね？。んぅ、あ、足も使ってこうすれば。へへ、もっと温かい……
P,おい、蟹挟みはヤバいって、おい、おい
周子,へ？ヤバい？
P,いやこれ抜けな……。…………あ……
周子,んっ、ひゃっ……え、あれ、跳ねて……。…………あ。……えっと、ごめん……？
P,…
周子,あ、ほら、今日安全だし、あたし周期安定してるし大丈夫だよ
P,…
周子,いやー、ゴムつけないとダメだね、あはははは
P,……
周子,ま、初体験で中に出されちゃったってのもいい思い出になるっしょ♪
P,……そういう問題じゃ……
周子,……と、とりあえずお風呂もっかい借りていい？。えっと、一応洗っといた
P,……おう
周子,あーほらそんな頭抱えないでよ、大丈夫だってば
P,いや、自己嫌悪が……
周子,いーじゃん、あたしもいい発見あったし。ほらっ。へへ、温かい♪
P,……今だけだぞ、本当に
周子,えー、腕くらいはこれからもいいでしょー？こんなん知っちゃったら、無しじゃつらいよ
P,……寝るぞ
周子,ね、あたしもベッドでいい？
P,……今日だけな。電気消すぞ
周子,ん。あのね、ちょっとわかっちゃった
P,ん？
周子,肌を重ねるって言うじゃん。本当にその通りなんだね
P,……処女のクセに
周子,ふふ、誰かのお陰で卒業したけどね♪
P,…………
周子,ま、しばらくはお預けになっちゃうけど。また、たまにこうしてくっついてもいい？。もうあたしのカラダ、Pさんの温度覚えちゃったからさ。本当にたまににするから、ね？
P,……人目につかないようにな
周子,あはは、じゃれる感じにすれば大丈夫だって。……ね、あたし明日は頑張ってみるよ
P,……おう。俺もアイドルの塩見周子、見てみたいからな
周子,ん。全力で飛んでみるからさ。あたしのこと、しっかり捕まえといてよね？。うー、寒い寒い……おはよー
ちひろ,あ、周子ちゃんおはよう。久しぶりね
周子,おっひさー。あれ、Pさんは？
ちひろ,あっち。しー、ね
P,………………
周子,ありゃ、お疲れかぁ。泊まりだったの？
ちひろ,京都から帰ってきてから、ちょっとお仕事溜まっててね。昨日頑張ってたのよ。今日は午前はみんなレッスンだから、お昼まで休ませてあげて？
周子,ほーい。うー、さむ……あ、そーだ。へへー、寝ててもPさんは温かいねー
ちひろ,…………！！金の匂いだ…………！
周子,あ、あたしもちょっと寝てるから後で起こして
ちひろ,はーい。プロデューサーにツケとくわね
周子,よろしくー。よっと、腕はこっちで……。ん。ただいま、Pさん♪
