おっちゃんから渡された伝票の名前を見て、誰に言うでもなく,なるほど
千足,失礼だろ。………というわけで。私達はその墓を探してるんだ
乙哉,なるほどねー
桐ヶ谷,……
千足,桐ヶ谷、どうかしたか？さっきから様子が……って！この傷はなんだ！？
桐ヶ谷,さっき、剣持さんが……
しえな,ボク！？
千足,剣持、貴っ様……！！！！
しえな,おかしいだろ！！はぁ！？さっきハサミを振り回してたのは乙哉で
乙哉,あたしに罪を着せるんだ……
しえな,それはボクの台詞だ！！！
千足,言い訳はあの世で聞く
しえな,その剣、本物なのか……？
千足,それはお前の体で確かめてみたらどうだ？
乙哉,いい感じでポンコツってる
しえな,しー！乙哉！しぃー！！
柩,剣持さん……いま、千足さんのことポンコツって言いました………？
しえな,言ってない！言ってないです！！はぁ！？
千足,やぁあ！
しえな,！？
千足,私は、剣持………お前を許さない！
しえな,もうなんなんだよ！
乙哉,安心して！しえなちゃんはあたしが守るから！
しえな,一瞬感動したけど、よく考えたらおかしいだろ
乙哉,ちょっと言ってみたかっただけー
しえな,おい
千足,邪魔するならお前も……！
柩,千足さん、やめてください。武智さんは悪くないです！
しえな,悪いだろ。むしろこいつだけが悪いだろ
千足,しかしだな、桐ヶ谷……！
乙哉,柩ちゃん……ごめんね……。怪我、見せてくれる？
柩,…はい
しえな,かすって赤くなってるだけじゃないか！！
乙哉,あたし達このかすり傷のせいで殺されるところだったの？
千足,まぁ、愛ってそういうものだから
しえな,どういうものだよ
千足,殺すこともある
乙哉,わかる
しえな,共感するなよ、こわいよ
乙哉,どうってことないsympathy♪
しえな,それお前の曲じゃないだろ
柩,あと、愛によって死ぬこともありますね
しえな,お前らの唱えるものが愛の全てだと言うならボクは死ぬまで愛なんて知りたくない
千足,いいか、今度桐ヶ谷を傷つけたら……
乙哉,わ、わかったわかったよ、ね？しえなちゃん
しえな,というかボクが桐ヶ谷を傷つけるような真似するわけないだろ
乙哉,そういえばしえなちゃん、さっきから柩ちゃんのこと見ようとしないね？
しえな,別にそんなことない
柩,寂しいですねぇ。ぼくと目を合わせるの、そんなに嫌ですか？
しえな,ごわいがらぢがよるな！！！！
乙哉,濁点欲張り過ぎ
しえな,……
乙哉,え、ちょ、ちょっと！？しえなちゃん
しえな,お前はそれ以上ボクに近寄るな
乙哉,ちょっとあたしを盾にしないでよー
柩,大丈夫ですよ、武智さんは撃ったりしませんから
乙哉,え？！武智さん“は”！？しえなちゃんのことは！？
千足,偉いな、桐ヶ谷
柩,千足さん……///
しえな,ピンク色のオーラ出してるとこ悪いけど、ボクは説明を求めるぞ、そこのレズ二人
柩,ちょっとしたジョークですよ。ぼくが意味なく剣持さんを撃ったりするわけ
しえな,っぶねぇええ！！！！
乙哉,おぉ、今のよく避けたね
しえな,よく避けたねじゃないだろ！あいつ撃つ訳ないって言いながら撃ったぞ！
乙哉,すごいしえなちゃん、怒鳴りながら泣いてるの？可愛いね？
しえな,うるさい！っていうか生田目！どうにかしろよ、この危険人物！
千足,？私にとっては危険じゃない
しえな,お前そんな自己中な奴だったか？？？？？？。いたたた………
乙哉,！！！し、しえなちゃん？薬、飲んだ？
しえな,飲んだよ……ただちょっと騒ぎ過ぎたみたいだ……具合悪くなってきた
千足,毒なのに病院抜け出したりするからだ
しえな,お前だけはそれをボクに言っちゃいけない立場だろ
千足,私はすぐに解毒剤を飲まされたし、入院してるところを抜け出したりしてない
柩,っていうか病院を抜け出すって……バカなんですか？
乙哉,ごめん、あたしこのことについては何もフォローできないや
しえな,お前らの言葉が毒になってボクの中を巡ってくよ
乙哉,えっと、とりあえず休もう？
しえな,頭痛い……
千足,………剣持、ほら
しえな,……え？
千足,遠慮するな。私は鍛えてるし、体調も万全だ
しえな,………え、えと、ありがとう
千足,うん、立つぞ
しえな,しばらく頼む
千足,お安い御用だ
乙哉,……
柩,……
しえな,おいその物騒な物音やめろ
千足,桐ヶ谷、どうしたんだ？何故剣持をPOISONしようしている？
しえな,POISONするってなんだよ
乙哉,でも意味はわかるから怖いよね
柩,ぼ、ぼくはそんなつもりじゃないです……ただ、千足さんのおんぶ、いいなって思って……
乙哉,思って？
柩,POISONしようって思いました
しえな,完全に“そんなつもり”だろ！！！
千足,大丈夫か？あまり騒がない方がいい
乙哉,そーだよー体に毒だよー
柩,また毒ですか
しえな,はいイジメ、今の完全にイジメだからな
千足,まぁまぁ。で？これはまっすぐでいいのか？
しえな,あぁ。この一帯を回ったら最後、かな
千足,最後なのか
しえな,あぁ
千足,……いいや、なんでもない
柩,なんであの人が千足さんの背中に……
乙哉,柩ちゃんったら、しえなちゃんの悪口言うの？また怒られるよ？
柩,武智さんだって一緒になって言ってたじゃないですか
乙哉,んー可愛いから、ついね
柩,可愛い……？あぁ、千足さんのことですか？
乙哉,千足さん……？あぁ、あの男装
柩,あ？
乙哉,は？
しえな,生田目、後ろの二人の会話が怖いからなんとかしてくれ
千足,私だって聞こえないフリしてるんだから…無茶言わないでくれ……。見回りはこんなものか
しえな,あぁ、そうだ。あとは出口を目指して歩けばいい
千足,じゃあ
しえな,いや、もう平気だ。ありがとう、生田目
千足,どういたしまして
柩,あ！千足さん！
千足,なんだ？
柩,この道、さっき千足さんが言ってた目印と一致しません？
千足,あぁ、言われてみれば……今度こそ墓参りが出来るかもしれないな……！！
しえな,お前らはそっちの道に行くのか
千足,あぁ。またな
柩,……
しえな,どぉぉいい！！！！？！？
乙哉,あの二人、散々迷子になっておいて、まだお墓参り終わってなかったんだっけ……
しえな,そんなことよりボクが殺されかけたことに対して何かないのか！？
乙哉,避ける時の動き、江頭2:50みたいで可愛かったよ♪
しえな,お前ってホントムカつく奴だよな
神長,ううぅぅぅぅぅ………………！！
春紀,離れろって！！子泣きジジイかよ！！
神長,わ、私は女だからババアだ！
春紀,そこそんな真面目なテンションで主張するとこか！？
神長,こわい……これから来た道を帰らないといけないだなんて……
春紀,あぁ、もう。あとは帰るだけだろ？そんなに怖いなら歌でも歌ってたらどうだ？
神長,るーるるー………るるるるーるるー……♪
春紀,震えた声で徹子の部屋のテーマ歌うなよ、怖いだろ。もっとさ、明るい歌歌えよ。な？
神長,え、え？えーと……例えば？
春紀,うーん、手のひらを太陽にとか？
神長,太陽が見えないのにその歌を歌うミスマッチ感がすごいし、そもそも歌い出しが僕らはみんな生きているって、生きているんだったら墓地なんて必要ないだろ。なんだ？ゾンビか？ゾンビなのか？ボコって土を破って出てくるのか？
春紀,想像力豊か過ぎだろ。ゾンビじゃないっての。普通に曲として
神長,じゃあなんだ？手のひらを？太陽は無いから月に透かすのか？そうしたら何が起こるんだ？何かの封印が解かれて
春紀,だからいらん想像するなって。ただ歌詞は歌詞として、それ以上深読みするな。な？
神長,みんなみんな♪生きているんだ友達なんだー♪
春紀,おぉ！そうだそうだ
神長,だけどお前は生きてもいないただの赤の他人だから！！！
春紀,人様の墓に向かって指差すな！どんだけ罰当たりなんだよアンタ！！！。っわぁああ！？！？！
神長,悪霊退散悪霊退散！！！
春紀,……………アンタこそ何者だ
神長,ただのホームレスだろ。見たらわかる
春紀,気持ちはわからんでもないけど失礼過ぎだろ
神長,私はこいつに脅かされて心底イラついている
春紀,うん、まぁ……。それはこの墓地の管理人と話し合ってくれ。ついてきてもらうぞ。あたしらは見回りとして雇われた人間なのさ。忘れろ。あたしらだって面倒だっての
神長,ほら、行くぞ
春紀,神長はそろそろあたしの背中から降りような。そんなのは歩きながら考えてくれ
神長,次の寝床……あぁ、寒河江の家は？
春紀,アンタ本気でぶっ飛ばすぞ。なんだ、あんたらの方が早かったのか
乙哉,まーねー♪で、この人は？
神長,不法侵入者の山田太郎さんだ
しえな,ある意味壮絶な名前だな
春紀,おっちゃん、管理人さんはこっちだ
神長,私達はここで待ってよう
しえな,そうだな。みんなで行っても意味ないし、春紀なら何かあっても平気だろ
乙哉,それよりもあのおじさん、よく大人しくついてきたね？
神長,私が爆弾をちらつかせて脅した
しえな,なんでスライム相手にメラゾーマ使ってるんだ、可哀想だろ
乙哉,あ、おーい！
春紀,お、おぉ。お待たせ。さ、帰るか
神長,……？寒河江？
春紀,なんだ？
神長,いや、なんだか様子が変だと思って
春紀,変？そうか？？
しえな,もしかして眠いのか？
春紀,あー…そうだな。それだ
乙哉,だよねー。あたしも眠くなってきちゃったもん。香子ちゃんは？
神長,私も……少し眠い、かな
春紀,あれだけ騒げばな……
確かに鳰は一度も,死んだ
しえな,桐ヶ谷め……絶対許さない
春紀,どうしたんだ？
しえな,これがポケットに入ってた！
春紀,！？！？
神長,ポイズン……？
しえな,あぁ！これ、ボクを重体にしたのと同じ毒だ！
乙哉,ポケットに入ってたってことは、柩ちゃんからのプレゼント、かな？
しえな,嫌過ぎるだろこんなプレゼント！！
春紀,………どういう、ことだ？二人とも、まさか、本当に生きて……？
神長,……！！首藤！！！
首藤,久々じゃの、香子ちゃん。他の皆も、元気じゃったか？
春紀,あ、あぁ。それより……一つ、確認させてくれ
首藤,なんじゃ？スリーサイズは秘密じゃぞ？
春紀,……何しに、きた？
首藤,あっはっは。お主も分かっておるんじゃろう？ワシだけ除け者なんてあんまりじゃ。しばらく世話になるぞ
春紀,ですよねー！！！
