色々アレなモバＰ,以降Ｐ表記
Ｐ,…。…目が覚めたら前後から担当アイドルにしがみつかれた状態だった。…
乃々,ふにゅ…
芳乃,でしふぇー…
Ｐ,トイレいきたい
芳乃,ではではー、乃々殿をお送りして参りますー
乃々,ま、また来ます…
Ｐ,アイドルが男の家にちょくちょく来るなっての。でも一応言っとくわ。またなー
乃々,は、はいっ。…つ、次は６代目のお祝いで来ます…
Ｐ,…。…いかん、ちょっとだけゾクっと来た。あれ、何か忘れものか？。どうしたー？靴下でも忘れたか？
卯月,来ちゃいました！
Ｐ,ｏｈ…
未央,ご、ゴメンねプロデューサー、こんな早くから…しまむーがどうしても止まらなくってさ
みく,本当は日付が変わった瞬間押しかけようとしてたにゃ…凛チャンまゆチャンの尊い犠牲のお陰にゃ…
Ｐ,い、いや別に構わんよ。来ていいって言ったのは俺だしな。いらっしゃい。そして３人ともおめでとう。特に卯月、５代目シンデレラガールズ、おめでとう
卯月,はいっ！島村卯月色んな手段で頑張りました！
Ｐ,最初からクライマックスだな卯月は。まあ、上がりな
みく,お邪魔するにゃ
未央,おじゃましまーす。…えへへ、プロデューサーん家初めてだね
卯月,何となく乃々ちゃん芳乃ちゃんとイチャコラした気配が残ってる気がします！
Ｐ,島村さん？
乃々,…これからは、もうちょっとだけお仕事頑張ろうかと思います…。そ、そのためにもまずはいつものように机の下でプロデューサー分…もとい英気を養っ……。…。……あ、あの…な、何をなさってるんでしょう？
まゆ,…ここにいれば総選挙上位に入れてＰさんのお家にご招待してもらえると聞いて
ありす,…ここにいればプロデューサーさんに名前で呼んでもらえると聞いて
かな子,ここにいたらプロデューサーさんが美味しいオヤツを作ってくれると聞いて
乃々,こ、ここはパワースポットじゃあ無いんですけどっ！？
アッキー,芳乃に乃々、改めておめでとう。お気に入りのアイドルに声が実装されたら祝福するのがＰのルールではないのか
まさかの芳乃、乃々両名のランキング結果に声帯,鼓膜
