-居酒屋,夜
楓,良いですか、プロデューサーさん。11ヵ月後……あなたが倒れたあの日に、もう一度、Ｐさん、あなたは自宅の自分の部屋で眠ってください！それも夕方の６時にですよ！
Ｐ,は、はぁ、11ヵ月後の夕方に自宅で寝るんですか？それがどうして……
楓,それだけではありません、Ｐさん、当然ですが、絶対にこちらで死んではいけません。絶対ですよ！良いですね？後、餓死もしないでください！後、それから……
Ｐ,！！？か、楓さんの体が透けて……
楓,あなたが倒れてからこちらの世界ではまだ１日と経っていません、ですが、この１日を過ぎると、あなたの魂は、永遠に私たちの世界に帰ってこれなくなってしまいます……良いですか、お願いです。必ずこの世界の来年、あなたが倒れたあの日に自宅で夕方の６時ですよ！……お願いです、どうか……
Ｐ,……消えた……
幸子,あ、あわわわ、し、心霊現象ですよ～！Ｐさんは幽霊とお友達だったんですか～！？さ、流石のカワイイボクでもちびっちゃいましたよ！！？
卯月,プロデューサーさんは、一体どんなお話をされていたんでしょう……とても、真剣な顔つきをしてましたけど……
まゆ,……
Ｐ,本当に、ＳＦかオカルトじゃないか。こんなの……。でも、普段飄々とした楓さんが、あんなに必死な顔で……。……来年のあの日、か……ん？
桃華,失礼いたしますわ……！Ｐちゃま！
Ｐ,お、桃華じゃないか
幸子,ま、また別の幽霊があらわれましたよ～！？か、カワイイボクのライフはとっくにゼロなんですよ～！！？
まゆ,……いえ、あれは生身の人間ですねぇ。それにあの匂いは……きっと先日Ｐさんが困っているところを助けてあげた子です
卯月,に、におい？ここからだと全然わからないけど……すごいねまゆちゃん！
まゆ,ウフフ
幸子,そういう問題じゃないとおもうんですが！！？
桃華,Ｐちゃま！先日はどうもありがとうございました。それで、折り入ってお話があるのですが……
Ｐ,なに、気にすることないよ。お礼何て……
桃華,いいえ、そうもいきませんわ。わたくしなりにどうすれば良いか……考えましたの
Ｐ,ん？。そういえば、彼女の家は超お金持ちだったな、まさか、霜降り牛とか、温泉旅行とかだったりして！
桃華,プロデューサーはアイドルのプロデューサーをやっていらっしゃるのですよね
Ｐ,そうだけど……
桃華,でしたら！。わたくしがあなた専属のアイドルになってさしあげますわ！
Ｐ,えぇ！？
まゆ,
卯月,やったね、幸子ちゃん。またアイドルが増えるって！
幸子,後ろ！後ろです卯月さん！！
桃華,わたくしも、アイドルが何なのか、わからないことはたくさんありますが、きっと、お役に立ちますわ。それに何だかＰちゃまを見ていると放っておけなくて……
Ｐ,いや、あの……
桃華,大丈夫ですわ。Ｐちゃま、もう話は全て通してありますし
Ｐ,話？
ちひろ,ぷ、プロデューサーさん！！？今、社長から直接お電話があって、今日から一人アイドルが配属されるから丁重にと……
Ｐ,
桃華,不束者ですが、どうかよろしくお願いしますわ。Ｐちゃま。
Ｐ,こんな、11ヵ月後に、別れが来るかもしれないのに、アイドルなんて増やすわけには……でも、しゃ、社長じきじきじゃ断るわけにも……。は、ははは。よ、よろしく、桃華……
桃華,はい！
幸子,あわわわ、何呑気なことを言ってるんですか～！まゆさんが、まゆさんが……！
まゆ,……
幸子,あ、あれ
まゆ,まぁ、誰のアイドルになろうが、どんな過去をもっていようが、最後にはこのまゆの隣にいてくれたら、それでいいですよぉ……うふふふ
卯月,早速挨拶に行きましょう！
幸子,う、卯月さん……ある意味一番最強ですね、あなたは！まぁ！一番最強カンペキ、ウルトラ空前絶後カワイイアイドルなのは、このボクですけどね！！！
Ｐ,……。別の世界、抜けた魂、突然現れた楓さんから聞かされた衝撃の事実……。しかし、今の俺には、既に卯月たちに加え、新たな担当アイドルとして桃華まで加わってしまった……。このまま、彼女たちのプロデュースを続けたら、いずれは必ず別れの日が……。はぁ……俺はこれから一体どうすれば良いんだ……？
？,ねぇ
Ｐ,ん？
凛,店先でそんな大きなため息をつかないでくれないかな。つくなら、その辺の公園でも行ってきなよ
Ｐ,っ！！？。り、凛！そうか、ここは、凛の家族が営んでいる花屋……ということは、目の前にいるのは……俺がプロデュースしなかった場合の渋谷凛！元居た世界で、俺が初めてプロデュースした……。……ああ、ごめんよ……じゃあ、景気づけに、元気の出る花でも見繕ってくれないかな
凛,……まぁ、良いけど
Ｐ,そういって腰に手を当てていた凛が奥へと消えていく。それにしても、店先でため息をついただけで、あんな強気に言うとは、知らない相手だったら顰蹙ひんしゅく
凛,……元気の出るお花だったら、やっぱり明るい色の花が良いと思うよ、そこにあるオレンジのガーベラとかオススメかな……あとは……
Ｐ,耳元に掛かった髪をかき分けながら花たちを見て柔らかい表情で話す凛。その姿は、昔から知っている彼女と少しも変わらず、やっぱり、彼女は……。綺麗だ
凛,……え？
Ｐ,あ、いや、綺麗な花だなって。じゃあ、そのガーベラをもらおうかな
凛,……ん。良いよ、花瓶にでも挿すの？
Ｐ,あぁ、そうするよ
凛,じゃあ、いくつか別の花も見繕ってあげようか？流石にガーベラだけじゃ、味気ないと思うし
Ｐ,お願いできるかな
凛,じゃあ、大体こんなもんかな。袋、いるよね
Ｐ,あぁ、頼むよ
凛,……
Ｐ,……
凛,ねぇ
Ｐ,ん？
凛,何に悩んでるかなんて、私にはわからないけどさ。悩むくらいなら、思いっきりやってみたら良いんじゃないかな？
Ｐ,……思いっきり？
凛,うん。偉そうなこと言える立場じゃないけど、思いっきりやって、後悔するのは、やらなくて後悔するより、ずっと良いと思うよ
Ｐ,！……そうだな。ありがとう
凛,……はい、これ、後おまけで一本入れといたから
Ｐ,え、それは、どうも
凛,うん……頑張って
Ｐ,あぁ！
凛,……
凛母,凛、珍しいじゃない、お客さんにあんなこと言うなんて
凛,！？？い、いたの、お母さん！！
凛母,それに、あんたが最後におまけしてた花のハルシャギクって
凛,し、知らない。行くよ、ハナコ
Ｐ,やるぞ、俺は、やってやる！。例え俺がこの世界からいなくなったとしても、輝きを失わないようなそんなアイドルに、彼女たちを……！！！
幸子,ぷ、ぷぷぷぷ、プロデューサーさん
Ｐ,ん？
幸子,た、確かに、ボボボボ、ボクは言いましたよ？ボクは天使なので、空から舞い降りると……
Ｐ,あぁ、その結果、あのスカイダイビングだ。あの番組の視聴率は過去最高だったらしい、おまけに、あれ以来カワイイ幸子のファンも爆発的に増えたじゃないか！がんばっているところが良いとか、もっといじ……色々とやってほしいとか
幸子,ふ、フフーン！そうですよね！カワイイボクなら当然です！！……で、でもですね、でもでもですね？。確かに、ボクの可愛さは人魚姫に匹敵するとも、寧ろ、人魚姫そのものだと言いましたが……。本当に海の底に行かなくてもいいじゃないですかぁあ！！！？
-船上,檻の中
幸子,大体！なんなんですか、この檻は！！だたのスキューバダイビングにこんなの必要ないんじゃないですか！！？
Ｐ,いや、この辺りはサメがよく出るらしくて……
幸子,さ、さささ、サメええ！？シャークですか、ジョーズですか！！？カワイイ、ボクとサメの夢のコラボですかぁ！？
Ｐ,空は制したんだから……次は海、当然の帰結だと思うが……大丈夫だ、いざとなったら、人魚のように泳いで逃げろ！
幸子,いざってとき！？い、いやいや、ですから、そ、そのようなことしなくても、ボクが天使で人魚カワイイことは周知の事実、今更確かめることもないような気がするんですよ！
Ｐ,再実感したいんだよ、幸子
スタッフ,そろそろ本番、入りまーす
幸子,ひぃ！しょ、しょうがないので、プロデューサーにも、一緒に檻の中に入る権利をあげますよ！！ぼ、ボクはカワイイので！！！
Ｐ,幸子、幸子が本当に危ない目に会う時は、俺が命がけでも助けてやるから
幸子,……絶対ですよ！ボ、ボクはプロデューサーが居てくれるから、こ、こんなお仕事もやるんですからね！！？
Ｐ,あぁ、終わったら、いっぱい褒め褒めしてやるから
スタッフ,はーい、では、幸子ちゃん入りまーす
幸子,せ、せめてプロデューサー！手、てってて、手を握っていても…うわあああああん！！！？
Ｐ,幸子、強く生きろ、お前はカワイイんだから！。いつも自分でカワイイカワイイと言っているが、本当は臆病で、自分に絶対の自信なんて持っていないことを、俺は知っている。少々荒っぽいが、数々の恐怖を乗り越えた時、お前は、俺無しでも自信を持ってカワイイと言えるような、そんなアイドルになれる……！！
サメさんたち,
幸子,ひ、ひぃ！？さ、サメと戯れるボクもカワ、カワイイですねええぇぇ！！！
-ビーチステージ,舞台袖
幸子,うぅ、ひどい目にあいました……大体、ボクがほんの少し、泳ぎが、その苦手だということを、プロデューサーは知っているじゃないですか……
Ｐ,いや、すまん。でも良い絵が取れたとスタッフさんたちも大喜びで……それよりも幸子、次はこのままビーチでのライブだが……行けるか？気分が悪いなら無理にとは……
幸子,……誰に言ってるんですか、プロデューサー。目の前にいるのは、世界一カワイイ、プロデューサーのアイドル、輿水幸子こと、ボクですよ？行けるに決まってるじゃないですか！
Ｐ,そうか、そうだったな
幸子,はい！見ててくださいね、カワイイボクのステージを！
Ｐ,……幸子、今のお前なら、きっと一人でも……
幸子,あ、後、プロデューサー、さっき、船の上で言っていたこと、ボクは覚えてますから！
Ｐ,え？
幸子,後で、たっくさん！カワイイボクのことを、褒め褒めしてくださいね！
Ｐ,。……参ったな。ふぅ……
桃華,お疲れ様ですわ。プロデューサーちゃま。少し、休憩をお取りになった方がよろしいかと
Ｐ,ああ、桃華。これは……紅茶かな、ありがとう。でも、もう少し、この書類だけ……
桃華,……Ｐちゃま……ちょっとこちらへ！
Ｐ,あ、おい桃華！。一体どこへ……って、ここは、事務所のソファ？
桃華,さぁ、Ｐちゃま、そのままこちらへ……
Ｐ,え？そこって……おわっ。突然、桃華に手を引かれるなり、ソファで膝枕をされることになった……。桃華から、薔薇のような良い匂いが……って、いやいやいや！やばいって、この絵面は！！
桃華,……Ｐちゃま。あなたが最近わたくしたちのためにお仕事を頑張ってくださるのは、とても喜ばしく思っておりますわ。ですが、最近のＰちゃまはどこか、やりすぎて、前のめりになっているようなきがして……わたくし、少し心配ですの
Ｐ,……
桃華,Ｐちゃま、わたくしはまだまだ子供ですわ。仕事先で、いらぬ反発をしてしまい、スタッフの方やＰちゃまを困らせてしまったこともありますし、今のように、お疲れのプロデューサーちゃまを癒してあげるすべも、あまり思いつきませんでしたわ
Ｐ,……桃華
桃華,でも、Ｐちゃま。わたくしはあの時のようなおんぶではなく、隣で、手を取り合って一緒に階段を上っていきたいんですの。あなたと二人、トップアイドルという名の階段を……
Ｐ,……やばい、桃華の優しい声が……眠く……
桃華,……
Ｐ,……ＺＺＺ
桃華,うふふ、寝顔は子供みたいですのね、Ｐちゃま……
-事務所,夕方
Ｐ,うわしまった！！。資料！桃華のライブ……！。ちひろさん！桃華のライブは！？
ちひろ,え？あれ、プロデューサー！？えっと、桃華ちゃんなら、先ほど一人で現場に向かわれましたが……え、でもプロデューサーは外で先に待っていたんじゃ？
Ｐ,ああ、わかりました！すみません、行ってきます！
ちひろ,い、行ってらっしゃい
Ｐ,桃華の奴……変に気を遣って！
桃華,……
スタッフ,えー、桃華ちゃん、そろそろ順番ですので準備を
桃華,あ、は、はいですわ！。こ、こんなことでは駄目ですわよ櫻井桃華。少しでもプロデューサーの負担を減らさないと……でも……
スタッフ,本番１０秒前です！
桃華,Ｐちゃま……でも、やっぱり、まだわたくし……
Ｐ,桃華！
桃華,Ｐちゃま！？
Ｐ,桃華、大丈夫、いつも通り、やればいい！
桃華,Ｐちゃま、わたくし……
Ｐ,ごめんな、寝てしまって。行ってこい、ファンが桃華を待ってるぞ
桃華,……Ｐちゃま……その、やっぱりわたくしはまだ子供でしたわ……今、Ｐちゃまが来てくれただけで、すごく安心しておりますの……でも今なら……
スタッフ,３、２、１……！！
桃華,精いっぱい、ステージを楽しめますわ！！……ファンのみなさん！ごきげんよう！！
Ｐ,……ふぅ。って、これじゃあ、ますます桃華と離れられなく……
運転手,お客さん、お代
Ｐ,え？あ！？えーっと、交通系のＩＣって使えますかね……？
-事務所,応接室
Ｐ,え！？ドーム公演に、うちのアイドルたちがですか！！？
美城,そうだ。単独公演とまではいかないが、曲数も多く、かなり重要な役どころだ……引き受けてくれるな？
Ｐ,もちろんです！！やらせてください！美城専務！そ、それで、公演日は……
美城,あぁ……公演日は…………
Ｐ,……え！！？。……
卯月,プロデューサーさん！さっき美城さんから聞いたんですが！
幸子,カワイイボクたちが！ついに、ついにドームで公演するって本当ですか！
Ｐ,え、あ、あぁ
ちひろ,凄いじゃないですか!プロデューサーさん！前に言っていた、ドーム公演だなんて夢みたいだと思っていましたが、本当になってしまうなんて！
桃華,皆さん！あまり浮かれてばかりではいけませんのよ！これからもっと、レッスンやお仕事もがんばりませんと！
まゆ,……うふ、そういう桃華ちゃんがさっきは一番うれしそうにしていたじゃないですかぁ、思わずぴょんと飛び跳ねて♪
桃華,え！？そ、それは……
Ｐ,……あぁ、そうだな。お前たちが頑張ってきたから、ここまで来れたんだ
幸子,ふふーん、まぁそれは当然として、謙遜は、カワイイボクにしか似合わない言葉ですよ？
Ｐ,え？
まゆ,ここまでまゆたちがたどり着けたのも、ずっとプロデューサーが隣で支えてくれたからじゃないですかぁ
卯月,そうですよ！プロデューサーさん！これからも、ず～っとよろしくお願いしますね！！
Ｐ,……あ、あぁ、すまん、ちょっと、屋上に行ってくる
桃華,どうしたのでしょうか、プロデューサーちゃま、あまり嬉しそうになさっていませんでしたわ……
幸子,きっと、あまりに嬉しすぎて、言葉を失っているんですよ！馬鹿ですねぇ、カワイイボクを褒め称えることなんて、頑張ったなと、これからも頑張ろうな、幸子の一言だけで十分なのに！
まゆ,……Ｐさん
Ｐ,……。よりによって、あの日にドーム公演だなんて……。……ここまで、全力で突っ走ってきたが、結局は、決断しなければいけないんだ……俺は……。……あぁ、くそ！俺は一体どうすれば良いんだ！
卯月,……プロデューサー、さん？
Ｐ,！あ、あぁ、卯月。どうしたんだ？
卯月,はい！これから、そのドーム公演のお祝いに、事務所内でプチパーティを開くことになって！それで……
Ｐ,そうか、すぐ行くよ
卯月,……あの、プロデューサー、さん
Ｐ,ん？
卯月,私……怖いんです。こうして、普通の女子高生だった私が、アイドルになって、ファンが出来て、ライブをして、テレビにも出て……。今でも、たまに街頭で私自身のポスターを見つけて、知らない人が映ってるような、そんな気持ちになることがあります……
Ｐ,……卯月
卯月,でも、何より怖いのは。こうしてアイドルとして知名度が上がるごとに、プロデューサーが遠くに行ってしまうような気がして……
Ｐ,……！
卯月,私は、昔はよくプロデューサーさんに怒られましたよね。へらへらするな、なんでそんなこともできないんだ、なんで俺がお前なんかをって……
Ｐ,……それは
卯月,あの時のプロデューサーさん、実は、すっごく怖かった、です……。でも、今はそんなことありません！！それは、たまに厳しく𠮟られちゃうこともありますけど、すっごく優しくて私たちのこと大事にしてくれてるのがわかって……。あ、あれ……ごめんなさい、何だか、えへへ……
Ｐ,……
卯月,プロデューサーさん！私、プロデューサーさんと一緒なら、どんなに険しい道だって頑張れます！だから！。私と一緒に、頑張りましょう！大好きです！！！プロデューサーさん！
Ｐ,へっ！？
卯月,えへへ
Ｐ,……あー、くそ、今のは、ズルいぞ……そういう意味じゃないってのは、分かってるのに。あれだけ、笑顔を見せなかった卯月が、今は、ミリオンスマイル、何て言われるくらい笑顔が代名詞のアイドルになった。だって、こんな反則級に可愛い笑顔、普通のアイドルには……できないだろ。……。……ついに、来てしまった……。だけど、答えは、出せていないままだ。俺は……。ん？誰だ、こんな時間に……
まゆ,はぁい！あなたのまゆですよぉ？プロデューサーさん♪
Ｐ,ま、まゆ！？。どうしたんだ、まゆ。こんなに朝早く……やっぱり不安なのか？
まゆ,はい……まゆは、とぉっても不安でしたよ？今日という日が来るのが……
Ｐ,そうだな。でも、まゆなら大丈夫だ。今までだって……これからだって
まゆ,……でも、そのこれからっていう時に、大切なＰさんが居なければ、意味がないですよねぇ？
Ｐ,え？何をいって。…な！
まゆ,……おやすみなさい、プロデューサーさん
Ｐ,どうな……って…。なんだ、ここ……暗い…な。……凛！？。……これは。……。これは！？。……は！？
まゆ,うふ、おはようございます。プロデューサーさん？
Ｐ,……ま、まゆ！？これは一体……。これは、目隠しに……なんだ、リボンのようなもので手足が縛られているのか！！？
まゆ,すみません、プロデューサーさん。乱暴なことをしてしまって、痛くなかったですかぁ？まゆがなでなでしてあげますね、うふふ
Ｐ,！ま、まゆ！？……と、とりあえず、このヒモと、目隠しをはずしてくれ。今日は大切な……
まゆ,それは、ダメですよぉ。だってそうしたら……プロデューサーは元の世界？に戻ってしまうんですよねぇ？
Ｐ,…………え？
まゆ,うふ、まゆはプロデューサーさんのことなら、なんでも知ってるんですよ？つい１年前から、急に人が変わったようになったことも、あの女と、何を話していたかも……
Ｐ,！！？
まゆ,こちらの世界に留まってくれると、そう思っていましたが……まだ悩んでいらっしゃるようでしたので、まゆが決めてあげますね？。Ｐさん、あなたはこの世界で、ず～っと、まゆのプロデューサーでいてください。まゆは、Ｐさんが居なくなった世界なんて、想像できないんです。灰色だった毎日が、色づいて、他愛ない会話も楽しくて、アイドルをしているこの時が、最高に幸せなんです……
Ｐ,まゆ……
まゆ,今日は、大切なライブがありますが……うふふ、一日のＰさんに会えない損失より、一生この世界にＰさんが居てくれることの方がよっぽど大事ですから
Ｐ,……
まゆ,……Ｐさんの携帯の電源は切っておきます。それから、これは、私が預かっておきますね♪。ライブまでしばらくありますから、それまで、二人だけの時間を味わいましょうか、うふふ
Ｐ,……まゆ
まゆ,……そろそろ、リハーサルが始まる時間ですね……
Ｐ,！まゆ、俺も……
まゆ,ダーメ♪今日は一日ここで大人しくしていてください。そうすれば、明日からまたいつも通りの毎日がまっていますから、ね？
Ｐ,……
まゆ,うふふ、Ｐさん。では、行ってきます。あ、逃げ出そうだなんて、思わないでくださいね。ちゃーんと、まゆは見てますから……
Ｐ,むぐ！？
まゆ,うふふ、では、良い子にしててくださいね？
Ｐ,……むぐぅ……
卯月,……ダメです、プロデューサーさんの携帯電話に繋がりません
幸子,全く！こんな大切な日に、遅刻をするだなんて、本当に困ったプロデューサーさんですねぇ！まぁ、カワイイボクの晴れ舞台なので、緊張して眠れなかった気持ちもわからなくはないですが！
桃華,……！あれは
まゆ,すみません、遅れちゃいました～！
幸子,まゆさん！……と、あれ、プロデューサーさんは一緒ではなかったんですか？
まゆ,……Ｐさんですか？いえ、私とは一緒に来なかった
卯月,そうなんですか……
桃華,Ｐちゃま……
まゆ,皆さん、落ち着いてください。たとえ、今日一日プロデューサーさんが来なかったとしても、これからずっと会えないわけじゃないんですから
幸子,え？そ、それはそうですけど……
まゆ,寧ろ、まゆたちだけで、今日のドーム講演を成功させて、プロデューサーさんをビックリさせちゃいましょうよ♪
卯月,まゆちゃん……うん！そうですね！頑張りましょう！
桃華,そうですわね……１日くらいなら……
まゆ,うふふ
Ｐ,ぷはぁ！はぁ、はぁ。どうにか、拘束は外せたな……。あまり……厳しい拘束はされていなかったな……それに、ここは……まゆの部屋か？最悪、窓から脱出できそうだ。まゆは、そこまで本気で俺を拘束しようとしていなかったのか……？。……。もうすぐ、１７時、か。後は……
-ドーム,舞台裏
まゆ,……
幸子,さ、流石に、こんなにすごいファンを前にして歌うのは、か、カワイイボクといえど、初めてですね！！
卯月,す、すごい熱気です！？会場全体が震えていて、私たちの話し声まで、消えてしまいそう……
桃華,……いつも通り、精いっぱい楽しむのですわ。皆さん……！
まゆ,あ、ああ、Ｐさん、Ｐさん、待っていてくださいね、今日、一日、乗り越えたら、まゆたちの……。！！。でも、怖いです……Ｐさん……
Ｐ,まゆ、目を瞑ってたら折角のステージが見えないだろ
まゆ,……え？
Ｐ,それに、どうしたんだ、これだけ笑顔の似合うアイドルがそろっているのに、暗い顔なんてしてたら、ファンが悲しむぞ
卯月・幸子・桃華,プロデューサーさんちゃま
幸子,お、遅いですよ、ぷ、プロデューサ～～！！心配したんですから！！
桃華,もう！もう！わたくし、心細かったのに！
Ｐ,すまん、みんな、ちょっと遅れた……
まゆ,ど、どうしてここに！？
Ｐ,お前たちのプロデューサーなんだから、当たりまえだろ。それよりも……。みんな、夢にまで見たドーム公演だ！今日の日のために、厳しいレッスンを受けて、忙しい仕事もこなしてきたんだ。だったら、やることは一つ！。楽しんで来い！お前たちのカワイイを、ドーム中のみんなに見せつけてやれ！！
４人,はい！！
Ｐ,４人がステージに向かって走り出す、最後の、まゆがこちらを向いて不安げな目をしていたが、俺は、それにサムズアップで答えてやると
まゆ,っ！……
Ｐ,まゆは幸せそうに頬に手を当てて、そのままステージに登って行った。そうだ、これで良かったんだ。これで……
-ドーム外,夜
Ｐ,終わった……。……
卯月,プロデューサーさん！
桃華,もう、こんなところに居ては、風邪を引いてしまいますわよ？
Ｐ,あぁ……そうだな。すまん
幸子,フフーン。まぁ、あの大歓声の中にいたんですから、終わってから急に寂しくなってしまう気持ちもわかります……でも！ここは、もっと頑張ったカワイイボクを褒めて可愛がるべきところですよ！
まゆ,……
Ｐ,あぁ、お前たちは俺の誇りだ……
卯月,……プロデューサーさん？
Ｐ,時刻は、夜の１０時……楓さんに指定された時間はとっくに過ぎてしまっている。俺は、ずっとこの世界で生きていく、か……
桃華,……もう！プロデューサーちゃま！何を全てが終わった～という顔をしているんですの！
Ｐ,え？
幸子,そうですよ！ボクたちにはまだドームの単独公演、次いで、世界デビューという超絶カワイイ未来が待っているんですよ！！
卯月,プロデューサーさん！私、まだまだ、頑張ります！
まゆ,Ｐさん。私、なんでもします。Ｐさんのためなら、なんでも……
Ｐ,……お前たち……。……へ？。な、なんだー！？黒い渦みたいなものが現れて俺を！！？吸い込まれる！！
桃華,Ｐちゃま！？
まゆ,Ｐさん！
幸子,か、カワイイボクに新手のドッキリですか～！！！？
卯月,プロデューサーさん！！
Ｐ,う、うおおおおおおお！？？。うわあああ！！？
凛,！！ぷ、プロデューサー！
Ｐ,はぁ、はぁ……凛？
美優,Ｐさん！Ｐさぁぁん！！
Ｐ,え！？うわ！、ちょっと、みんな、落ち着け……
加蓮,Ｐさん……良かった……
ライラ,ふぅ、おかげで助かったでございますです
謎の少女,いえいえ～困ったときは、お互い様なのでして～
Ｐ,……そうか、俺は、戻って、来たのか……
楓,はい！でも、私との約束、破りましたね？
Ｐ,え！？えっとそれは……は、ははは。……でも、そうなると卯月たちは……
謎の少女,む……
周子,？どっかしたの～
謎の少女,いえ、どうやら、こちらの世界に連れ戻した時に……手違いがあったようでして～
-事務所,後日
Ｐ,あの事件から、数日……
卯月,おはようございます！！
凛,おはよう、卯月
卯月,あ！おはよう！凛ちゃん！
Ｐ,まさか、彼女たちの魂までこちらの世界に来てしまうとは……。あの、日本昔話に出てきそうな謎の少女を通じて、あの世界に来てしまったことをキュートアイドル４人にも話した
幸子,ちょ、ちょっと周子さん！加蓮さん！どうしてボクのピコピコした愛らしい横髪をいじっているんですか～！！？
周子,いやぁ、なんか可愛くって
加蓮,そうそう、戻しても跳ねてくるんだ～カワイイカワイイ
幸子,そ、そうですか？ふふん！まぁなら仕方がないでしょう！ボクはカワイイので！！
周子・加蓮,これは良い感じのおも、アイドルがきてくれたな～
桃華,あら、美優さん。そのような紅茶の淹れ方ではいけませんわ
美優,え？
桃華,お茶の葉が十分開くには、もう少し、時間がかかるものですわ。わたくしがお手本をおみせしてあげます
美優,ありがとうございます。桃華ちゃん詳しいんですね
桃華,これでも、ずっとＰちゃまのお茶を淹れていたのはわたくしですもの。それに、この世界につれてこられた責任をＰちゃまに取ってもらいませんと、それは即ち……うふふ♪
和久井,
服部,
ライラ,美味しいでございますですね～
奈緒,な、なぁ。う、うまいなぁ。こえ～、子供相手にも容赦しない大人超こえーー！
Ｐ,彼女たちは、意外にも元の世界に戻ることを拒否した。折角向こうでは有名アイドルという地位にいたというの、また俺と１からやり直すと、そういったのだ。それに、今の彼女たちは俺の時とは違い、魂が同化して云々で、こちらで暮らしていたときの記憶もきちんと残っているらしい……まぁ、彼女たちが納得しているのなら、俺が言えることは何もない……か
まゆ,うふ、おはようございます。プロデューサーさん♪あなたのまゆですよ～
凛,。ねぇ、まゆ、前から思ってたけどそのあなたのまゆって何なの？
まゆ,そのままの意味ですよ？まゆの魂は、プロデューサーと契約したようなものですから♪
凛,ふ～ん。ま、刹那で忘れちゃっただろうけどね
まゆ,うふふ……あの時プロデューサーが買ってきた花……多分あれはあなたの……うふふふ
ちひろ,ひえぇ、プロデューサーさんは、一体向こうでナニをやってたんですかぁ！？
Ｐ,さて！そろそろ行くか！
卯月,はい！プロデューサーさん！
幸子,今日のお仕事はなんですか？武道館でカワイイボクとのトークショーとかですかぁ！？
Ｐ,何を言ってるんだ。商店街のマスコットにきまってるだろ？
モバＰ,いつの間にか、キュートアイドルのプロデューサーになっていた件
