・春香さん…家事を完璧にこなせる、千早ちゃんの通い妻(介護要員)。料理の腕は、美食家いおりんが,やよいと一緒に、うちに専属で来なさい！
雪歩,魔王エンジェル３人を相手に１人で勝利した春香ちゃんと、互角に戦う、日高舞さん…
春香,舞さんとのライブ、楽しかったよ♪
雪歩,…他のアイドル達は、途中から怖くて見れなかった子までいたのに…
美希,亜美真美はずっとあずさに、やよいとデコちゃんは律子にずっとしがみついてたの…
雪歩,真ちゃんまで脅えるレベルだったからね…
美希,響が完璧って、なんだろう…
千早,…あれは、ライブという名の、他のアイドル達を打ちのめす逆公開処刑会場よ
春香,えぅ～…ただ全力で取り組んだだけだよぅ
千早,で、そんな舞さんがその状況を見て、一言誰がやった？
みきゆき,ﾋｨｨ…
千早,凄かったわよ…その瞬間、大御所も新人も関係なく楽屋から出てきたからね…
春香,わぁ、舞さん凄いねぇ♪
千早,スタッフ…ディレクターと音響とＡＤだったらしいんだけど…大の男が泣きながら土下座してたわ
雪歩,仕方ないよ
美希,仕方ないの
千早,そんな事があってから…私、Ｎ○Ｋの内部は信用してないの。紅白も薄っぺらく感じちゃったし、７６５プロの年末ライブの方が大切だと思えるようになったわ。だから…
春香,紅白は見ません！先輩達も出てるし、きっと名前は売れるかもだけど…見ません！オファーが来たら出るけど、途中で帰ります！
美希,７６５プロはそれで行く事になるの？
春香,ううん、私と千早ちゃんはってだけ
雪歩,春香ちゃんがいたら、流石に対応が変わると思うけど…でも、それでいいと思うよ。今年は無いけど、毎年７６５プロは年越しライブでてんやわんやになるから
千早,紅白見たい人いたらごめんなさい
美希,ミキは別に見たくないかな。何か、あの番組のキラキラは違う気がするの。一部は無理矢理なの
雪歩,私も。ここ数年は見てないしなぁ
春香,なら、これだねっ！
千早,こ、これは…
美希,千早さんキラーの…
雪歩,わあ！私、これいつも再放送しか見た事無かったんだぁ！
春香,因みに、これを見ながら、各自で笑ったら紙に正の字を書いていってね
雪歩,えっ
美希,えっ
千早,えっ
春香,一番多かった人が、罰ゲームだ～！
ちはみきゆき,
春香,あ、始まったよー♪
ちはみきゆき,
千早,
雪歩,お、お腹痛いよぅ
美希,こ、今年は凄かっの…
春香,ダメ…私、毎年ジミーさんのコーナーに勝てない…
美希,…で、一番笑ったのは誰？
春香,千早ちゃん以外だね。千早ちゃんの紙、酷い事になってるし
雪歩,正の字すらまともにかけてない…
美希,全ての線がぐにゃぐにゃなの…
春香,しかも、笑いすぎて途中から気絶してたし…
雪歩,…あ、一番は私だぁ…
春香,雪歩かぁ…美希だったら罰ゲームは正の字の秒数分、ベロチュー
美希,何でなの！？何で美希の罰ゲームは性的なの！？どうして貞操を奪おうとするの！？春香は欲求不満なの！？千早さんと２人で解消して欲しいの！
雪歩,そんな事したら、美希ちゃん目覚めちゃうよぅ！？目覚めたら、後は修羅の道だよ！？
美希,雪歩は何を言ってるの！？雪歩までどうしちゃったの！？
春香,美希とはまだちゅーしてないから…
美希,春香は相変わらずどうしちゃったの！？ちゅーしてないからって、別に今後もしなくていいの！お構いなくなの！のーさんきゅーなの！
春香,うーん。よし！じゃあ雪歩は正の字の秒数分、抱き締められてベロチュー
雪歩,待って！結局私もそっち系！？
美希,春香、キスに飢え過ぎなの…
千早,んあー…？
美希,ち、千早さん！おはようなの！早速で悪いけど、春香を止めて欲しいの！
千早,んふぇ？
雪歩,ちょ、春香ちゃん！？冗談でしょ！？ね？今ならまだ間に合うから、止めよう？ね？
春香,雪歩…
雪歩,あ…は、はるか…ちゃん…
春香,大丈夫、怖くないから…
雪歩,や…でも…ダメ…私、戻れなく…あぁ…ダメだよぅ…
美希,千早さん！雪歩が陥落寸前なの！Ｓランクアイドルの魅了(チャーム)的な能力かもしれないの
千早,…はぁ…もう
美希,千早さん…？
千早,春香
春香,あ、千早ちゃんおはよ(がしっ)…う？
千早,
春香,んん！？
美希,ふぉお…なの
雪歩,あわ、あわわ
みきゆき,あわわわわ…
春香,ん…んふ…あふっ…ち、ちは…んん
千早,ふ…んふ…ん…はぁっ…
美希,しゅ、しゅごいの…
雪歩,あわわ…あわ、あわわわわわ
春香,ち、ちはやひゃん…
千早,春香…
美希,あわわわ、い、今、春香と千早さんの唇の間に、キラキラした糸が…っ！
雪歩,え、えっちぃ…年の瀬になんてえっちぃものを見せつけて…春香ちゃんと千早ちゃん…恐ろしい子達だよぅ…
千早,愛の糸よ
美希,ドヤ顔はカッチーンとくるけど、何という説得力なの…
雪歩,ちょ、ちょっと羨ましい…かも
美希,雪歩…雪歩まで美希の貞操を…
雪歩,ううん
美希,そんなはっきり言わなくても…
春香,はうぅ…えへ、えへへ…ちゅーされちゃったぁ…
雪歩,春香ちゃんが乙女モードに…(超可愛いですぅ…)
美希,さっきの閣下モードとはなんだったのかなの(やっぱり春香は可愛いの)
千早,ふぅ…
美希,こっちはこっちで、物凄く満足した顔してるの(羨ましいの)
雪歩,あれだけ激しいちゅーしたら…そりゃ満足するよ…(羨ましい)
４人,っ！？
春香,と、年越してる！？
千早,い、いつの間にそんな時間に…
美希,貞操の危機を感じたり、馬鹿っプルのふれんちゅー(フレンチキスの事)を見せ付けられてたら年越ししちゃったの！もぉ～！なんなのなのー！
雪歩,あわわ、あわわわわわ、と、取り敢えず穴を…
千早,萩原さんやめて！ここは私の家だから！せめて外でお願い！
春香,と、年越しそばは食べ終わってるからよし！あとは…あとは…美希！お年玉頂戴！
美希,何で年上でミキより遥かに稼いでる春香にお年玉を千早ぷふぅ！
雪歩,し、新年明けましておめでとうございます！
春香,あ、うん！明けましておめでとうございます！はいこれ！お年玉！
雪歩,春香ちゃん！？中華鍋渡されても困るよぉ！
春香,ゆ、雪歩！鍋構えて！
雪歩,へ！？あ、はいっ！
春香,お玉アターック！。…
千早,
美希,
雪歩,はわぁ
千早,…何？
春香,じょ、除夜の鐘…なんちて…
美希,だーかーらー！もう新年明けたの！除夜の鐘は過ぎたのー！
４人,…改めてまして…。新年明けましておめでとうございます(なの)。そして鳴り止まない皆の携帯
春香,あけおメールですよ！あけおメール！
千早,私は事務所関係と両親からだけだから、もうすぐ止ま…なんで送るのよ、春香
春香,な、流れで
美希,ミキの所にも来たの
雪歩,私の所にも来てますぅ
春香,メール作成中も、新着メールが止まらないよぅ
千早,私はそろそろメールラッシュが止むから返信を…
雪歩,う、うちの従業員の皆さんからのメールが止まらないですぅ…
美希,友達にお姉ちゃんに…むきー！皆準備してたみたいなの！ズルいの！ミキ達は馬鹿っプルのふれんちゅーを見せ付けられてたって言うのにぃぃ！
春香,あ、あんまりふれんちゅー言わないでよ…
ちはみきゆき,(新年早々可愛いなぁ…(なの))
春香,私…まだメール来る…
雪歩,もう諦めましたぁ…
美希,ミキはもうとーっくに諦めたの～
千早,
春香,…千早ちゃん、返信しなくていいよぅ
美希,ミキにも来てるの…
雪歩,千早ちゃん…
千早,つ、つい…
春香,…美希
美希,ミキもなの！
雪歩,じゃ、じゃあ私も…
春香,あああ…またメールがあ…
千早,くっ…
春香,…
美希,…
千早,まだ来てるの？メール
はるみき,
雪歩,凄いねえ…あ、充電器に繋いだ方がいいよ
春香,このまま電池切れた方が静かでいいかなーって
美希,もうミキは電源切るの…
千早,年賀メールも考え物ね
雪歩,だねぇ…あ、初詣、どうする？
春香,うーん…間違いなく人、人、また人…だと思うなぁ
美希,ミキはこのコタツから出ると死んじゃうの…
千早,さっきトイレに行ったじゃない
雪歩,凄い早さで戻ってきたけどね…
美希,緊急時以外は出ないの
春香,まぁ、お漏らしされたりボトラーされても困るけど…
雪歩,ボトラー？
春香,詳しく知らないんだけど、小鳥さんが言ってた。トイレに行く時間すら惜しんで、空いたペットボトルに済ませちゃうらしいよ…
千早,音無さんの知識は無駄だという事が証明されたわね
雪歩,新年早々にね
美希,流石小鳥なの
春香,本人の知らぬ所で株が下落する小鳥さん…
美希,ふにゅ…蜜柑…蜜柑…
春香,コタツの主が餌を探し始めたよ
千早,毎度の光景ね
雪歩,毎度なんだ…
美希,蜜柑見つけたの♪ふふふーん♪。…しゅっぱいのっ！
春香,(可愛いなぁ)
千早,(美希…お昼位にも同じ行動を見た気がするけど、可愛いわ)
雪歩,(美希ちゃんは本当に可愛いなぁ)
美希,むー…だんだん眠くなってきたの…
千早,美希…コタツで寝たら風邪引くわよ？
春香,お布団敷いてくるね
千早,ありがとう、お願い
美希,ん～…
雪歩,も、もう寝てる…み、美希ちゃん起きて、いま春香ちゃんがお布団敷いてくれてるよ…
美希,ミキは…コタツから出ないの…ここで寝るの…コタツさん家の子になるの～…
雪歩,美希ちゃん、コタツさんは無機物だから、養子縁組みは出来ないよ？
千早,萩原さん、そのツッコミは何か違う気がするわ
春香,お布団敷けたよ～
千早,ほら美希、布団に行きなさい
美希,やぁ～…コタツから出たくないの～…
千早,…仕方ない…春香、いつものやるわよ
春香,うぇ～…新年早々やるのか～…
雪歩,いつもの？
千早,美希を布団で寝かせる技よ
春香,雪歩、ちょっと離れててね
雪歩,あ、うん…
千早,はっ！
美希,やん
春香,ほい！
美希,さむ、さむ、さむひぃぃ
春香,よっ！。オッケー！
千早,Ｇｏ！
はるちは,わんつー！わんつー！
美希,あわわ…揺れ、揺れるのぉぉ
はるちは,そぉい
美希,やぁん！
はるちは,ふぅ…
雪歩,
春香,あとは放っておけば…
美希,あう～。なの～。おやすみなさいなの…
千早,コタツの主が布団の主になるわ
雪歩,…や、ヤドカリみたい…
春香,自分から宿を探さないぐーたらだけどね～
美希,すやすや…
雪歩,えぇ！？もう寝ちゃった！
春香,これだけの速度で瞬寝(しゅんしん、春香さんの造語)出来るのは、世界中でものび太君か美希位だよ、多分
雪歩,す、凄いねぇ…美希ちゃん
千早,コタツとかソファと違って、布団の柔らかさとかを無意識に感じて、即睡眠に入れるみたいよ
雪歩,…美希ちゃんって、睡眠に関しては人間離れしてるんだねぇ
春香,冬場は特に、ハードスケジュールを終えた後でお風呂入ってポカポカした状態で寝たら、放置しとくと丸１日半起きなかったりするよ、美希は
雪歩,
千早,多分、冬眠に近いわね
春香,餌を貯えないから、起きたら開口一番お腹空いたの！
雪歩,何て言うか…本能に忠実なんだねぇ
千早,天才って、そうなのかもね
春香,千早ちゃんは努力型の天才、美希は本能だけでやれる天才…色んな天才がいるんだねぇ
千早,私は天才なんかじゃないわ。ただ、歌う事がが好きで好きで、仕方ないの…今はね
春香,千早ちゃん…そう思えるなら、私は凄く嬉しいな
千早,春香…
春香,千早ちゃん…
雪歩,口から砂糖がマーライオンですぅ…あ、コタツの位置戻そう…
春香,よぉし…メールを処理しよう
雪歩,大変だねぇ…
千早,
春香,…千早ちゃん、もう寝たら？
千早,そう…する…
雪歩,は、春香ちゃん！千早ちゃん、何か可愛いよ！？
春香,千早ちゃんは眠くなると、ちょっと子供になるんだよ！たまらないでしょ？
雪歩,う、うん！普段と全く違う！
千早,ん…はるか…わたし、もうねる…
春香,うん、おやすみなさい、千早ちゃん
雪歩,千早ちゃん、おやすみなさい
千早,おやすみなしゃい…。にゃう…
雪歩,
春香,雪歩、鼻血
雪歩,はぅあ！
春香,気持ちは分かるよ。初めて見たら、そーなるよ
雪歩,うん…何か、今日は良い事ばっかりで幸せですぅ♪
春香,？
雪歩,私ね…本当はもっと皆と仲良くなりたかったんだぁ…
春香,そうなの？もう仲良しだと思ってたけど…
雪歩,うーん…何て言うんだろう？もっと深い部分って言うのかな？事務所の中とか、仕事中とかじゃなくて、本当のプライベートで、包み隠さずにさらけ出してる部分…みたいなのをね、もっとお互いに共有したかったというか…。あぅぅ…上手く表現出来ないけど…
春香,大丈夫、何となく伝わったよ
雪歩,えへへ…良かった♪
春香,うふふ♪
雪歩,真ちゃんは前から仲良しだったし、春香ちゃんはいつも自然体だから、２人とは仲良くなれてると思えてたのね
春香,仲良しだよ！私は、雪歩と仲良しだと思ってるもん
雪歩,えへへ…ありがとう♪…でね、その内に、他の皆とも仲良くなりたいなぁ…って、思い始めたの
春香,実際、仲良しだと思うよ？歳も、住んでる場所も全然違うのに、皆がお互いを大好きだと思う
雪歩,凄い事だよね、本当。でも、皆を繋ぎ合わせてる中心は春香ちゃんだよ。これは、皆間違いなくそう思ってる
春香,そんな…私、そんな凄い存在じゃないよぅ…
雪歩,うふふ♪春香ちゃん、顔真っ赤だよ
春香,も、もう！そんな事いいから、続きを聞かせてよ！
雪歩,ふふ…えっと、真ちゃんと春香ちゃんの２人とは仲良くなれてると思ってて。だけど、他の皆とは２人と違って交流もそこまでは無くて
春香,誰かとお泊まりしたりって事？
雪歩,仕事じゃなくて、ね。それと、こんな風に夜更かししてお喋りしたり、さっきみたいに気兼ねなく一緒にご飯食べたり…私は引っ込み思案だしネガティブだから、つい自分から距離を置いちゃう
春香,そっかぁ…なるほどねぇ
雪歩,うん、事務所に入った当初より、少しは成長したかなぁ…とは思ってるけど、やっぱり自分からは少し距離を置いちゃうの。それがきっと、自分的には楽なんだと思うんだ
春香,雪歩…
雪歩,だから、今日美希ちゃんからメール貰った時、ちょっと前に踏み出してみようって
春香,そっかぁ…それで？踏み出してみて…どうだった？
雪歩,正解だったかな？千早ちゃんや美希ちゃんの意外な所が知れたし、２人は分からないけど、私は気を使わないでお喋り出来た…と思う
春香,所々が後ろ向きなのが、雪歩っぽいと言えば雪歩っぽいなぁ
雪歩,あはは…この性格は、そんな簡単には治らないのかも
春香,おお！
雪歩,ふぇ！？な、何？
春香,あ、急にごめんね、おっきな声出して
雪歩,あ、ううん…大丈夫
春香,いや、昔なら、後ろ向きだなんて言われたら、こんなダメダメでひんそーでちんちくりんな私は穴掘って埋まってますぅぅ！
雪歩,よ、四次元ゆきポケットって…あ、でも本当にそうだねぇ…やっぱり…成長、してる？
春香,うん！最近は大人っぽいし、強くなってるよ！
雪歩,春香ちゃんにそう言われたら、ちょっと自信出てきたかも！
春香,おおー！じゃあ、その調子で私と７６５プロのアイドル宅への泊まり歩きの旅を実行しよう！
雪歩,えぇ！？そ、それはまだ緊張するよぅ…それに、皆にも悪いし…そんなにすぐには無理だよぅ
春香,はちゃー…まだちょっと早かったかぁ…でも、少しずつ前に進もう！
雪歩,う、うん！
春香,最終目標は…響の家かな？
雪歩,響ちゃん？どうして？
春香,いぬ美を始めとした、我那覇家の愉快な家族達との交流
雪歩,あ～…でも、いぬ美ちゃんは平気になったんだよ
春香,っ！
雪歩,えへへ…いぬ美ちゃんはあまり吠えないし、凄い優しいから…仲良くなれたんだぁ♪
春香,雪歩…私の知らない内に強くなって…はる母さんは嬉しいわっ！
雪歩,私、頑張ったよ！はる母さん！
春香,雪歩！
雪歩,…
春香,…
雪歩,…春香ちゃん
春香,しまった…ツッコミ出来る人がいなかった…
雪歩,千早ちゃんも美希ちゃんも、もうぐっすりだよ
春香,…舞台メインで活動してる雪歩とだと、ミニコントの演技力が無駄に高いね
雪歩,演じるからには全力ですっ！
春香,おー…本当、雪歩は強くなったねぇ
雪歩,えへへ…。あれ？
春香,およ？
雪歩,メールきた…真ちゃんだ
春香,私にもきた…うわ！初日の出凄い！綺麗だね～！
雪歩,ねぇ春香ちゃん…これ、真ちゃん薄着過ぎないかな？
春香,んん？…え、ちょ…真、まさかこんな格好で深夜の富士山登頂したの！？
雪歩,これ、いつものジャージにマフラーしただけだよね？
春香,うん…ストックも杖も見当たらないし…真…凄すぎる…
雪歩,凄い良い笑顔だけど…これ、山頂は氷点下だよね？
春香,うん…
雪歩,真ちゃん…可愛い路線は諦めたのかな
春香,これでまだまっこまこりーん♪
雪歩,そ、それはやり過ぎだけど…女の子らしさはこの写真からは見当たらないよね…
春香,これ撮影したの、真のお父さんかな？
雪歩,一緒に行くって言ってたから、多分そうだと思う…
春香,…注意しなかったのかな、真のお父さん…
雪歩,娘の可能性にかけすぎだよね…
春香,富士山をこんな薄着で登頂しきる可能性なんか、普通は娘に求めないよ
雪歩,真ちゃんもやってのける辺り、流石というか…
春香,もう生っすかで真チャレンジをやるべきだと思う
雪歩,響ちゃんが富士登山にチャレンジとかは？
春香,ほら、響って暑さにも寒さにも弱いし、多分無理かな
雪歩,あ～…そういえば、この時期は毎回美希ちゃんと一緒に四条さんに抱き付いて離れないからねぇ、響ちゃん
春香,一見すると仲良しなフェアリーだけど、実際は寒さに惨敗してる３人組だからね…
雪歩,皆スタイルいいから、密着率が凄い事になってるんだよねぇ…
春香,あれを私は、妖精団子と名付けたいと思います
雪歩,よ、妖精団子…春香ちゃん、流石に四条さんに怒られるよ？
春香,ダメかぁ…貴音さんは意外に許してくれそうだけど…
雪歩,そういえば、竜宮小町はどうなのかな？やっぱり、あずささんに２人が抱き付いてるのかな？
春香,伊織を抱き締めるあずささんと、前から伊織にしがみつく亜美とか？
雪歩,あ…それ良いかも
春香,竜宮サンド、またはデコサンドと…
雪歩,で、デコサンドは止めた方が…
春香,うん…いま、伊織が超怒ってる顔が鮮明に見えた…
雪歩,伊織ちゃん、怖いからねぇ…
春香,あ、もう５時なんだ…
雪歩,結局夜更かしどころか、朝まで起きちゃってたね
春香,だね。さて、朝ご飯の支度でもする？
雪歩,お節は作ったの？
春香,流石にお節は作ってないなぁ…あ、でもお雑煮は作りたいかも
雪歩,お正月の気分を味わえるよね、お雑煮
春香,材料はあったかなぁ…冷蔵庫、オープン！…ん～…
雪歩,春香ちゃんのお家では何を入れるの？
春香,ん～…確か、小松菜と、鶏肉と、鳴門と…あ、人参も入ってた
雪歩,へー…私の家は鳴門は無かったかも。変わりに、牛蒡は入ってたかも
春香,あー、牛蒡いいね～…ダメだぁ…人参くらいしか無いや
雪歩,買いに行く？確か駅の近くにあるスーパーが２４時間だったよ
春香,うん、行こう。作りたいって思ったら、作らないと気が済まない！
雪歩,あはは…因みに、お醤油ベース？
春香,うん、お味噌ベースも作ってみたいけど、やっぱりお醤油ベースがいいや
雪歩,お醤油は大丈夫だね。出汁は…やっぱり鰹節？
春香,時間次第かなぁ…。はふ～…寒かったねぇ、外
雪歩,だねぇ…材料、あるかな？
春香,お正月だから難しいかもね…
雪歩,うーん…
春香,よし、手分けして探そう！
雪歩,うん、分かった！
春香,…こんなもん、かな？
雪歩,だね。お餅を危うく忘れる所だったね
春香,あはは…あれ？メールが来てる…
雪歩,？
春香,…
雪歩,…千早ちゃんって、寂しがり屋さんなんだね
春香,優君の事を乗り越えて、皆を頼る事を覚えて…それからかな？ちょっと寂しがり屋になったかも？
雪歩,そうなんだ…寂しがり屋さんの千早ちゃん…可愛いですぅ
春香,千早ちゃんはいつでも何でも可愛いよ
雪歩,…また口から砂糖がマーライオンですぅ…
春香,ただいま～
雪歩,またお邪魔しますぅ
千早,
はるゆき,
千早,…はるかぁ…
春香,ち、千早ちゃん…
雪歩,よ、予想外過ぎて…どうしたらいいか分からないよぅ…
千早,うぅ…起きたら春香達がいなくて、この部屋が…何だか凄い静かに感じたの
春香,はいはい、大丈夫。千早ちゃんに何も言わずにいなくなったりしないから。お雑煮を作ろうと思ったんだけどね、材料無かったから買い出しに行ってたの
千早,お雑煮…私も食べたいかも
春香,でしょ？…ふっふっふー♪春香さんと雪歩さんに任せなさい！
雪歩,うん、私も頑張って作るからね、千早ちゃん
千早,分かった、待ってるわ
春香,千早ちゃん、落ち着いてきたかな？
千早,え？あ、うん
雪歩,千早ちゃんが体育座りしてたのを見た時は、びっくりしましたぁ…
千早,ご、ごめんなさい…寝起きのボーっとした状態で、まともな判断が出来なかったから、寂しさでいっぱいになっちゃって…
雪歩,千早ちゃん、可愛いですぅ…
春香,あげないよ？
雪歩,分かってるよぅ！…ちぇっ
春香,ゆーきーほー？いま、ちぇっ…て言った？
雪歩,言ってませーん♪さぁ、千早ちゃんの為にも、早くお雑煮作ろう？
春香,むむむ…雪歩、強くなったねぇ
雪歩,えへへー♪
春香,うーん…やっぱりお雑煮作り出すと、お正月って感じだなぁ
雪歩,だねぇ…春香ちゃん、お野菜切り終わったよ
春香,こっちもお汁はおっけーかな？…はい、味見
雪歩,ん……わぁ！美味しい！
春香,ふっふっふー♪じゃあ、鶏肉とお野菜投入ー！
雪歩,おー！
千早,…。…。っ。…
雪歩,は、はる、春香ちゃん！千早ちゃんが！千早ちゃんがっ！
春香,こ、この千早ちゃんは初めて見たよっ！お餅が膨らむのに一喜一憂してる…か、可愛いよぅ千早ちゃん！
千早,っ！？…っ！…っ！
雪歩,は、はるっ、はるるん！ち、ちはやっちは、ちはー！
春香,落ち着いて雪歩！分かる！分かるけど落ち着いて！
千早,あ、あの、春香…割れたお餅がくっついてしまったのだけど、どうしたら…
春香,そだね…２つならお雑煮に入れたら食べられるから、他のは気を付けてね？
千早,わ、分かったわ…。…
雪歩,はぁぁ…千早ちゃんって、普段クールなのに、こんなに可愛かったなんてぇ…
春香,あげないよ？千早ちゃんは誰にもあげないよ？…あ、千早ちゃん。これ使って、菜箸
千早,ありがとう、春香…そうよね、素手じゃ危ないわよね
春香,そりゃね。熱々のお餅とか、結構凶器だからねぇ
雪歩,あ、お雑煮いい感じだよ、春香ちゃん
春香,はいはーい、どれどれ～？…ん、美味しい！千早ちゃん、味見してみる？
千早,ええ、いただくわ…あ、美味しい
春香,でしょ～？
雪歩,本当、春香ちゃんってお菓子以外の料理も凄い上手くなったよねぇ
春香,お嫁さんにしたいアイドル第１位は伊達じゃないのです！
雪歩,第２位があずささん、第３位が響ちゃんだっけ？
春香,響チャレンジで料理と編み物が出来るのが分かってから、急上昇したよね
千早,我那覇さんは家庭的なのよね、実際
春香,ちっちゃくて可愛い、スタイル良い、明るくて元気、ダンスが得意で運動得意、料理と編み物が出来る、動物と意思疎通が出来る…響って、超ハイスペックなんだよねぇ
雪歩,改めて考えると、７６５プロ所属のアイドルって、ハイスペックな子が多いよねぇ
千早,マイナス面もあるけど、基本的にはハイスペックね
春香,筆頭はあずささんだと思うなぁ…あのおっぱいはズルいよ
千早,性格は穏和、スタイルは神懸かり的、１人暮らししてるから家事全般得意…方向音痴も神懸かり的だけどね
雪歩,ＧＰＳが追えないんだよねぇ、あずささん
春香,多分、ワープでもしながら移動してるんじゃないかな？
千早,ま、まさか…
雪歩,スタイルで言えば、四条さんも凄いよねぇ…
千早,あの人は７６５プロ最大の謎でもあるけどね
春香,あの凶悪なまでの食欲と燃費の悪さは、確かに謎だね
雪歩,でも、それ以外だと…凛として格好良かったり、天然ボケが凄い可愛かったり…
春香,そして、あのお尻！
千早,凄いわよね、あのお尻
雪歩,うん、凄い
春香,…美希も凄いチートなんだよねぇ
千早,何をやらせても高水準、スタイルは抜群、天真爛漫で猫みたいな可愛さがあるし…
雪歩,本気になった美希ちゃんは、本当に止められないんだよねぇ
春香,まさに天才、アイドルの申し子だよ
雪歩,フェアリー…凄いね…
千早,竜宮も凄いわよ…リーダーからして完全チートに近いし
春香,何せ水瀬財閥の令嬢、圧倒的ツンデレ力の持ち主で、常識人
雪歩,頭もいいし、リーダーシップも取れるし、歌も上手いしダンスも出来る
千早,中学生の頃から竜宮小町のリーダーとして第一線でやってきてるし…
春香,伊織は凄いよねぇ…何というか、苦労も沢山してるし、抱えてる物も普通の人以上なのに、それを物ともしない
雪歩,竜宮小町で言うなら、亜美ちゃんも…
春香,というか、亜美真美…双海姉妹は２人ともハイスペックだけど、方向性というか、やっぱり全然違うんだよね
千早,明るくて元気で無邪気な亜美と、ちょっと大人で恥ずかしがり屋の真美と…竜宮小町の亜美と、ソロで独自に活動してる真美
雪歩,ハイスペックと言えば、真ちゃんもハイスペックだよね
春香,超人的とも言えるけどね
千早,でも、７６５プロで一番の乙女思考でもあるわよ
春香,…斜め上の乙女思考だけどね
雪歩,真ちゃんは自然体が一番素敵ですぅ
はるちは,異論なし
雪歩,やよいちゃん
千早,可愛い
春香,うん、可愛い
雪歩,可愛いは正義、やよいちゃんは本当に可愛いよねぇ
春香,天使って言われて違和感無いしね
千早,高槻家を支えるお姉ちゃんなんだけど、やっぱり可愛らしいのよね、素直だし
春香,良い所しか浮かばない辺り、やよいの凄さが伺えるね
雪歩,後は…千早ちゃん
千早,や、止めて…恥ずかしいわ…私なんかより春香が…
春香,うえぇ！？や、ヤだよぅ！私だって恥ずかしいし…それなら雪歩を…
雪歩,ひぇ！？わ、私なんて皆と違ってひんそーでちんちくりんでダメダメだから…
３人,…もうやめとこうか
雪歩,(でも…実際、千早ちゃんは７６５プロでも皆に負けない位チートだよね…デビューしてすぐＣＤ出して、いきなり売上ランキングでＴＯＰ１０入りだし…歌姫って呼ばれるのが当たり前に思えるもん)
千早,(…やめるとは言ったけど…春香は７６５プロで一番凄い子だと、私は確信してる。美希がアイドルの申し子だなんて言ってたけど、私は春香こそがアイドルの申し子だと思う。何をするのも自然体なのに、何をしても人を惹き付け、全ての人を笑顔にしてしまう…Ｓランクアイドルになるのは必然だったのかもしれないわね)
春香,(恥ずかしがるから言わないけど、雪歩だって凄いアイドルだよね。歌だってダンスだって上手いし、特に今は…舞台で演劇してるのを見てると、将来は大女優になる事間違いなしだもん。何て言うか、引き込まれるんだよね、雪歩の演技は)
３人,
千早,あ、お餅忘れてた…
雪歩,お雑煮…
春香,あ、考え事しながらずっと混ぜてた…焦げてはいないから平気
千早,お餅も無事よ
雪歩,あはは…じゃあ、そろそろ美希ちゃんを起こす？
春香,７時半…かぁ
千早,美希には早朝ね…起きるかしら
美希,
３人,
美希,…いい匂いがしたの…お腹空いたの…
春香,お雑煮作ったけど…食べる？
美希,食べるの～！
春香,じゃあ準備を手伝って。器を運んでくれる？
美希,分かったの～
千早,(母娘だ…)
雪歩,(お母さんと娘ですぅ)
４人,いただきます(なの)。ふう
雪歩,美味しい～…
千早,本当、凄く美味しいわ
春香,にゃはは♪
美希,ん～～～っ…。ん～。♪
はるちはゆき,(…可愛い…)
美希,はぁ…新年最初のご飯がこんなに美味しいなんて…幸せなの…
春香,ふ…ふふふ…
美希,春香？
春香,そんな美希を更に幸せにしてあげよう
美希,？
春香,さっき出汁に使った鰹節を醤油と混ぜて…
美希,…ま、まさか
春香,しかも白胡麻まで振り掛けた…
美希,
春香,おかかと白胡麻のおにぎりです！
美希,は、春香様…一生着いて行くの
千早,見て、萩原さん。あれが新しいジゴロのタイプよ
雪歩,味覚と胃袋を完全に支配してしまう…さ、逆らえる気がしない…恐ろしいですぅ
春香,誰がジゴロか…あ、冷蔵庫に余ってた煮物も、暖めたから食べてねー。他に何かあったかな～
雪歩,わぁ、いただきまぁす♪
千早,あ、萩原さん…その煮物は…
雪歩,ふぇ？
美希,あぁ…
雪歩,…っ！？
美希,その時雪歩に、電流走る…なの！
雪歩,ｺﾞｸﾝ…え？何？この煮物、何？
千早,凄いでしょ？春香本人が、年の瀬に出来た最高傑作
雪歩,この煮物…本当に今まで食べた中でも、最高かも…
美希,和食に五月蝿い雪歩がそこまで言うなんて…
千早,春香…日常生活で同業者のアイドル達までファンにしていく気なのかしら…？
美希,きっと、アイドル界を支配する気なの
雪歩,…これだけのお料理を毎日食べられるなら、私…春香ちゃんに貢いでもいいですぅ…
千早,…
美希,…
雪歩,…じ、冗談だったんだけど…
千早,私は…もう手遅れなのよ、萩原さん
美希,ミキもなの…
千早,以前、春香の手料理食べた四条さんも陥落してたわね
美希,響は料理に関しては春香は師匠だぞ
ちはみきゆき,…
春香,ただいま～…冷蔵庫ごそごそすると、色々出てきちゃうねぇ…反省、反省
千早,春香、貴方は今度から自分を無個性とか言うの、禁止
美希,お嫁さん能力が完全にグラフを突き抜けてるの！
雪歩,只でさえ円グラフがカンスト直前の完全な円形なのに、ずるいよぅ！
春香,何で私は唐突に３人から怒られてるんだろう…？
千早,
美希,
雪歩,あ、お茶淹れるね
千早,高いお茶じゃなくていいわ
美希,うん、美味しいけど…
雪歩,あぅ…ところで春香ちゃんがまた台所に…
美希,何を企んでるの…これ以上ミキに何をしろっていうの…
千早,もうこれ以上美味しいものを出されたら…体重計が怖いわ
雪歩,あわわわ…
春香,そっか～…皆、もういらないか～
ちはみきゆき,？
