・前作,今作との関連はありません
比叡,それじゃ、ちょっとお邪魔させてもらうね。――それから数週間。高雄、古鷹と綿密な打ち合わせを行った後、選抜したメンバーを集め、毎日予行演習を繰り返した。司令に影響されたわけではないけれども、労をねぎらうと言いつついらぬ苦労を押し付けてくる上層部は、確かに自分たちの欲求を優先させているのでは……。……と、私自身思わないでもなかったし、実際そういう不満を口にする子もいた。時には艦娘としての誇りのためと説き、時には間宮アイスで機嫌をとり、どうにか士気を維持しつつ、ついに式典当日を迎えた。……そういえばあれから、司令とは事務連絡ばかりであまり話をしていない。……いや、余計なことは考えず、まずはこの観艦式を堂々とやり遂げよう。高雄、古鷹、それに皆、準備はいいね？。……気合！入れて！行くよっ！！
偉いさん,提督クン、式の開始はまだなのかね？
提督,……もう間もなくです
偉いさん,先ほどからそればかりではないか。いいかね、君と君のところの艦娘の交通費、それにこの後の祝勝会の料理代に演奏代、その他もろもろ、我々がいくら予算をかけたと思っとる
提督,…………
偉いさん,そうした厚意について慮ってだな……
提督,…………
偉いさん,おっ、いよいよかね
提督,……観艦式を見世物か何かのように考えてるんじゃないか、こいつ。……見事だ
偉いさん,いやあ、なかなか見応えがあるじゃないか
提督,…………
比叡,…………
偉いさん,ひっ！？砲撃ではないか！どうなっとる、提督クン！
提督,……落ち着いて下さい。あれは空砲です
偉いさん,……んなこた解っとるよ！半ｷﾞﾚ
提督,しかしどういうことだ？空砲を撃つとは聞いていないが……
比叡,…………
偉いさん,おい、中央の戦艦、主砲をこっちに向けとらんか！？。ひぃっ！？
提督,……。……丸めた紙？。……もう一枚は。…………。…………
大淀,――お疲れ様でした、比叡さん
比叡,ありがと、大淀
大淀,私たちはこの後自由行動になりますが、比叡さんには提督が上層部と会食するのに付き添って頂きます
比叡,ひぇぇ、休む暇もなしか
大淀,時間の猶予はありますが……提督がお待ちですので、本館二階の左手突き当りの部屋に向かって下さい
比叡,はーい、了解。二階、左手、突き当り、と……あ、ここか。ｺﾝｺﾝ
明石,ｶﾞﾁｬ
比叡,……あれ？明石？司令は？
明石,大丈夫です、この明石が仰せつかっていますから。さ、入って入って！
比叡,？？？
明石,驚かないでくださいね、比叡さん……じゃーんっ！
比叡,はえ……？。…………ひえええええっ！？
明石,提督のご注文で準備いたしました……比叡さん用のドレスです！
比叡,ま、まさかこれを着ろって言うの！？
明石,当然です。比叡さんの美しさを、バシッと見せつけてやって下さいよ～
比叡,いやいやいや、無理無理無理！
明石,だ～いじょうぶです。着付けもお化粧も髪のセットも、この明石にお任せください！
比叡,ちょっ……待って……。ひええ～～～…………
提督,…………そろそろか。ｺﾝｺﾝ
比叡,！
提督,……！
明石,ふふん……どうです？
提督,……綺麗だ、比叡
比叡,…………ありがとう、ございます
提督,…………
比叡,…………
提督,……やばい、どうしよう
比叡,…………
提督,……このまま式場に連れて行きたい
比叡,///
明石,あ～、ゴホン。久方ぶりの逢瀬で燃え上がるのは解りますが、そろそろ会食に向かわれた方がいいのでは？
提督,！そ、そうだな。行こうか、比叡
比叡,は……はい
明石,……後ほどゆっくりと、お楽しみ下さいね
二人,///
提督,はぁ～、ようやく終わった。これでしばらくあのオッサンどもの顔を見なくてすむ
比叡,お疲れ様でした、司令
提督,ああ。比叡こそ、十二分に頑張ってくれていくら感謝してもし足りんぐらいだ
比叡,いえ、そんな……
提督,……それにしても
比叡,……？
提督,比叡がテーブルマナーや行儀作法に長けているのが……。そして今もそうだが、しとやかな振る舞いができるのが……正直、意外だった
比叡,……御召艦ですから、これくらいは。それと、服装のおかげですかね……
提督,まず形から、みたいなものか……そうだ、比叡
比叡,はい？
提督,よく似合っている……本当に、綺麗だ
比叡,…………。あー、どうしよう……。胸がドキドキして、言葉が何も出てこない……
提督,……少しフライングになるが
比叡,あ……
提督,…………
比叡,…………。……ダメです、司令
提督,どうした？
比叡,また、欲張りな私が出てきそうです……
提督,……心配するな。俺ももう、我慢できそうにない……
比叡,…………んっ
提督,…………
比叡,…………んっ、はぁっ……
提督,ふぅ……
比叡,あ……
提督,ん……？
比叡,……口紅、付いちゃいました
提督,…………。……じゃあもう、何回やっても同じだな
比叡,……そう、ですね。…………んんっ
提督,…………
比叡,…………はぁぁ……。…………司令
提督,うん……
比叡,……今度ドレスを着る時は。……左手の薬指に、アクセサリーがほしいです
提督,…………解った。……じゃあ……近いうちに、な
比叡,……ほんと？
提督,ああ、約束だ……
比叡,……約束、しましたからね
提督,ああ
比叡,…………
提督,お……？
比叡,……この首筋のキスマークが、証ですからね
提督,……比叡は、本当に欲張りだな
比叡,……誰のせいですか。ああ、こんなに幸せな夜を過ごしてしまったら、きっとまた――。――司令のことを考えると、眠れない。そんな夜を繰り返すことに、なってしまいそうだ――
【艦これ】比叡,司令のことを考えると眠れない
