※,シキヨク-死期欲-夢魅テルは夢見てる
ヴィーネ,まぁ、しょうがないか…。
ガヴリール,
ラフィエル,
ヴィーネ,
サターニャ,
テル・ルナ,っ！？
ラフィエル,これで信じて頂けますか？
テル,………こ、ここまで見せられたのなら、信じるしかないですよ。な、ルナ？
ルナ,うん……。でも、本当だったんだ…。
ヴィーネ,人間に正体を明かすなんて、初めてよ
サターニャ,私も
ガヴリール,まぁ、こいつらが普通の人間ではないのなら、お互い様って事だな
ラフィエル,まぁ、私達は人間を装った、別の存在ですが…。
ルナ,お兄ちゃん、天使に悪魔って伝説じゃなくて、本当に存在していたんだね
テル,あぁ。だけど、幽霊が存在するなら、天使や悪魔の実在だってあり得ない話じゃないかもな。でも、どうして、天使と悪魔が人間の住む世界に？
ラフィエル,一種の社会勉強です
ヴィーネ,悪魔も同じく社会勉強で…
テル,天使や悪魔も、人間と同じような部分があるんですね…。
サターニャ,でも、悪魔からして、人間は下等な存在。同等とは思わない事ね…くっくっく?
ガヴリール,気にしないでくれ。こいつ、口ばっかで、中身は大バカだから
サターニャ,ちょっと、喧嘩売ってんの！！？
テル,ははは…。
ルナ,なんだか、楽しそうなお姉さん達だね
ラフィエル,とりあえず、私たちの事はお話ししましたが、まだテルさん達から聞かされていない事があります
テル,えぇと、なんですか？
ラフィエル,その、ドリームリンクという力……それはどうして使えるんですか？
テル,その説明がまだでしたね。実は、俺が使う力は元々母の霊感の一種で、母が使っていたんですが、母が亡くなった後で俺が受け継いで使えるようになった訳でして…
サターニャ,霊感？
ヴィーネ,人間の世界で良く言われる、神や仏が示す霊妙な感応のことよ。主に霊的なものを感じ取るとかで、主に霊が見えるとか霊が寄ってきやすくなるって話もあるのよ
ガヴリール,んじゃあ、テルはその霊感ってヤツのおかげで力が使えるって事か
テル,まぁ、ほんとに母から受け継いだ力なもんで、ドリームリンクしか使えないんですけどね
ラフィエル,成る程。使えるようになった経緯はそういう事でしたか
テル,とりあえず、これでスッキリしましたか？
ラフィエル,はい
テル,では、俺はこれから夢の中に入って、今回の神社に関する失踪事件で救える人が居たら救わないといけませんので、これで！
ヴィーネ,その……頑張ってください
テル,あ、どうも！
サターニャ,……………。ちょっと、待ちなさい
テル,はい？
サターニャ,その…夢ってヤツにはアンタしか入れないの？
テル,え、えぇと……一応、入口さえあれば、誰でも出入りは可能ですけど…
サターニャ,なら、私を連れて行きなさい
テル,えっ！？
ヴィーネ,ちょ、サターニャ！？
ガヴリール,なんだ？なんでお前が行こうとするんだ？
サターニャ,もちろん、興味があるからよ
テル,興味？
サターニャ,まっ、人間を助けるのは癪だけど、幽霊が作り出す世界がどんなもんか、見て見たいだけよ
ラフィエル,おぉ、好奇心ですか
ヴィーネ,ちょっと待って！？好奇心で、その…夢の中に入りたいだ、なんてテルさんに迷惑よ！？
テル,う～ん。正直、一般人を入れるのは危ないですし、遊びで行く訳ではありませんので、出来れば遠慮して頂きたいのですが…
ヴィーネ,ほら、みなさい
サターニャ,ふん、いいわよ。勝手についていくから！
テル,えぇっ！？
ラフィエル,でしたら、私たちも同行しますよ！！
ガヴリール,はぁっ？
ヴィーネ,えっ！？
テル,えっ、白羽さん達もですか！？
ラフィエル,今まで過ごしてた中でこのような霊の作り出す世界を見れるなんて、いくら私が天使だとしても滅多にありませんしね
ヴィーネ,ラフィも好奇心なの！？
ラフィエル,まぁ、面白そうなのを期待したのも確かですが
テル,ちょっと、困りますよ！？いくら天使や悪魔でもこればかりは流石に！？
ガヴリール,ってか、私も行く事前提なんだな…。
ルナ,んっ、お兄ちゃんがお姉さん達と行く事になれば、お兄ちゃんの周りは………。女の人だらけにっ！！？や、ヤバい………。お兄ちゃん！
テル,んっ、どうした？
ルナ,私もお兄ちゃんと行きたい！！
テル,いや、ルナ…お前はここで待ってろ
ルナ,えぇ～～～！！
ヴィーネ,えっ！？
テル,この先はなにが待ち受けているか分からないからな。それにお前が外にいないと帰れない
ルナ,で、でもぉ！でもぉ～！
ヴィーネ,あのぉ、テルさん、なぜルナちゃんを連れて行こうとしないんですか？
サターニャ,そうね。流石に小さいのを、ここに置いていくのも危ない気がするわよ
テル,あ、いや、それは…
ガヴリール,なぁ、テル？今、ルナに対して外にいないと帰れないって言ったが、ここにルナを置いていくのは何か訳でもあるんじゃないか？
テル,えぇ。実は、ルナはここから帰るのに必要なんです
ラフィエル,ここから帰るのに必要だという事はやはりルナちゃんにも不思議な力が…
テル,はい。ルナには赤い糸の呪いという力があります
サターニャ,赤い糸の……？
ヴィーネ,呪いっ！！？
ガヴリール,なんか恐ろしい感じがするが…
テル,あ、呪いは呪いでも、むしろ良い力なんです。赤い糸の呪いは文字通りルナの指から赤い糸を生み出し、その赤い糸は俺と繋がっていて、夢の中から俺を現実へ連れ戻せるんです。いわば、唯一の道標という事です。更に説明しますと、赤い糸で俺とルナはお互いの場所が把握できる訳です。
サターニャ,なに、その便利な能力！？
ヴィーネ,でも、話を聞くと赤い糸でお互いを知りつつ、繋がって助けにもなるなんて…そこに兄妹愛を感じるわ
ラフィエル,その赤い糸の呪いも、やはりお母様から？
テル,そうです。ルナも母から霊感を受け継いでます。そして、赤い糸の呪いは掛けた相手にしか効果を発さないため、唯一掛けられた俺にしか繋がりません。ですので、他人が一人で夢に入り込んだら大変な事になります。あ、もう一つ、赤い糸の呪いはルナ自身がずっと念じないと、赤い糸はすぐに切れてしまうという欠点があります
ガヴリール,便利だけど、欠点があるとまた不便に思えるな
テル,だから、ここで待ってもらわないと…な、ルナ
ルナ,うぅ～～～…………でもぉ………
ヴィーネ,………じゃあ、私と一緒にここで待ってましょうか、ルナちゃん
ルナ,えっ！
サターニャ,ヴィネット…？
テル,あ、いや、流石にそれは月乃瀬さんにご迷惑が！？
ヴィーネ,大丈夫です。それにこんなに小さいルナちゃんを一人で置いておくのは可哀想ですし
ルナ,お姉さん…
テル,そうですか…。その、すみません！
ヴィーネ,いえ、本当に大丈夫ですから
サターニャ,じゃあ、ヴィネットがここに残るって事だから、私たちはこいつと一緒に夢に入りましょうか
ラフィエル,はい♪
ガヴリール,おい、私もやっぱ行くのかよ！？
サターニャ,当たり前でしょ
ラフィエル,ほら、ガヴちゃん！
ガヴリール,ったく、しょうがねぇな…。
テル,って、結局俺と一緒に行く事になってませんか！？
サターニャ,いいから、連れて行きなさい
ラフィエル,お願いします
テル,はぁ～。分かりました。ただし、いくら人間ではなくても、無茶はしないで下さいね。という訳で行ってくるから、大人しくな…ルナ。それと月乃瀬さん、ルナをお願いします
ヴィーネ,はい。ルナちゃんは私が責任を持って守ります。テルさんもガヴ達をお願いします、ガヴ達もテルさんに迷惑をかけない事ね
ガヴリール,分かってるよ。大体、私は好きで行く訳じゃねぇっての…
サターニャ,行ってくるわよ
ラフィエル,では、ヴィーネさん、後で。ルナちゃんも後でお会いしましょう
ルナ,………お姉さんたち。お兄ちゃんにあまりくっつかないで
ガヴリール,えっ！？
ヴィーネ,っ！？
サターニャ,で、出た…。この感じ……
ラフィエル,ふふふっ。お兄ちゃん子が、また可愛いですね♪
テル,ルナ、止めろよ
ルナ,…
サターニャ,なによ、これ…。周りが白い煙のようなものばかりで、視界が悪いわね
テル,これが胡桃沢さんが見たがっていた夢、つまりは霊が作り出した世界です。幽霊はこの夢の中を自在に移動できますが、夢の外からは出る事が出来ないので、もし追いかけられても外に出れば追ってこれなくなるので大丈夫となります
ラフィエル,成る程…。
ガヴリール,で、救える人間ってのは見つけられるのか？
テル,ひとまず、神社と周辺のみが夢ですので一通り見て、もし居なければ終了です。後、出るだけです
サターニャ,なに、元凶を突き止めて、夢を無くすことはしないの？
テル,まぁ、原因が分かれば、出来るかもしれませんが、分からない場合は基本しませんね
ガヴリール,視界が悪いな。ここから先はどうするんだ？
テル,ライトがありますので、これで進みましょう
ガヴリール,それにしても、さっきのルナの発言…少し怖かったな
サターニャ,あぁ、アレね。実は旅館で会った時もさっき同じような発言だったから、正直驚いたわよ
ラフィエル,私とお兄ちゃんは赤い糸で結ばれてる、お兄ちゃんにあまりくっつかないで…なんてルナちゃんはよっぽどテルさんに懐いているんですね。兄想いなルナちゃん、可愛いです♪
テル,別にそういう訳では！？ただ、最近、ああなんです。両親がいないせいか、寂しいと思うんです
ラフィエル,そうなんですか…。あ、一つよろしいですか？
テル,はい？
ラフィエル,その、夢魅という名字、どこかで聞いた事があると思っていましたが、もしや夢魅美々子という人の関係者ですか？
テル,！
サターニャ,ゆめみ……みみこ……？
ガヴリール,誰だ、それ？
ラフィエル,ちょっとだけ聞いた事がある話ですが、有名な占い師ですよ。随分前にテレビにも良く出演されていたとか…。
ガヴリール,へぇ～。で、それがどうした？なぜ、テルと関係あるって話になるんだよ？
ラフィエル,夢魅美々子とテルさんの、夢魅という名字が同じである事に気付いて、もしやと思って聞いたんですよ
テル,関係者とか名字が同じも何も夢魅美々子は、俺の母親だよ。そして、ルナのな…。
ラフィエル,やはり、そうでしたか…
テル,亡くなった母は夢魅美々子って占い師で、当然霊感も力も持っていた。実はというと、母が生きていた頃は母自身が夢に入って人々を救っていたんです。けど、母の死後は妹と共に霊感と力、母の意思を引き継いで怪奇探偵を始めたんです
サターニャ,へぇ～。お母様の意思と力を継いで今に至る…なんて人間の癖してやるじゃないの
ガヴリール,まぁ、確かに感心するよな。にしても、不気味だな…。
サターニャ,さぁ、亡霊。来るならきなさい！！
ラフィエル,サターニャさん、足ガクガクですよ？
テル,とりあえず、救えそうな人を探したり、神社の中も一応覗きましょうか
ガヴリール,救える人って言ったって、誰も居なかったな
サターニャ,しばらく周辺を歩いたり、神社も覗いたけど、亡霊なんていないじゃない。まぁ、大したことはなかったわね…ホッ
ラフィエル,ふふふ。何もなくて良かったと、安心しましたね、サターニャさん♪
サターニャ,そんな事、微塵も思ってないわよ！？
テル,ですが、一つだけ書物らしいのを見つけましたので、一応収穫はありでした
ガヴリール,本？
サターニャ,なんなの、これ？
ラフィエル,どうやら、日記みたいですね
テル,日記なら、中を見ましょうか
ラフィエル,そうですね
テル,えぇと……。日記はここで終わってるな
ラフィエル,日記の主は神主さんでしたか
サターニャ,神主？
ラフィエル,神社に仕えて、神道や神社において神に奉仕して祭儀や社務を行う者の事ですよ
ガヴリール,ふぅ～ん。日記からして、こいつ死を覚悟してたみたいだけど、今はいないって事は本当に死んだのかな…。
テル,この日記で大体は分かりました。兵隊の霊が神社と周辺に出没するようになった理由は観光客がふざけて神社の周辺にある慰霊碑を壊したせいだ。それに怒った兵隊の霊たちが、慰霊碑がある神社と周辺に夢霊が作り出す世界。ただし、道は霊にしか通れないが、霊は興味本位で神社に来る観光客を捕まえては霧の道を使って観光客をあの世に連れて行った。だから、失踪者が続出したんだ…。そして、霊たちがなぜそんな事をするのか……理由は、生きてる人間に恨みを持った事や霊たちの人間に対する復讐の為だ。勝手な行動で慰霊碑を壊された為に怒りだけでなく恨みも芽生え、捕まえた人間たちをあの世に連れて行く事で霊たちは精一杯の復讐を果たしてるって事だ。しかも失踪者を増やすことでネットに怖い話として広まらせ、それによって多くの人間をこの神社に呼び寄せた訳か…。これが全て！そして、事件の真相に関して納得がいくはずだ！！
サターニャ,………
ガヴリール,淡々と凄い長い推理してたようだけど、私には良く分からないな…。
ラフィエル,あ、私は理解できましたよ。それにしても全て復讐の為に起きた事だとは、恨みやら原因を作った人やらがある意味怖いですねぇ～
テル,という事は失踪者はほとんど霊に捕まってもう……。だから、見つからないんだ
ガヴリール,で、これからどうする？
テル,元凶は分かっても、俺に霊を倒すはおろか、鎮める方法もないようじゃ、後はここから出るしかありません
ラフィエル,この夢から出た後はどうするつもりで…？
テル,後は二度とこの場所には来ないだけです。
サターニャ,放置ってこと？！
テル,情けない話……ドリームリンクはあくまで入り込んだ人だけを救う事や霊から逃げる能力でもありまして、つまり霊を倒す事は出来ないんです
サターニャ,それで尻尾巻いて逃げるなんて、確かに情けないわね
テル,すみません…。
ガヴリール,おい、夢から出るならさっさと出ようぜ。このままだと…
サターニャ・テル,んっ？
ラフィエル,えぇ。どうやら取り囲んで、まとめて私たちを捕らえる気ですね…。
サターニャ・テル,っ！！？
テル,に、逃げましょう…早く！！
ガヴリール,ったく…
サターニャ,なによ、こんな奴ら！私の力でイチコロｎ
ラフィエル,残念ながら、サターニャさんが悪魔であろうと霊に物理攻撃は効きませんよ
サターニャ,えっ………あっ！し、知ってるわよ！？。ヒィッ、追いかけてきたわ！？
ガヴリール,チッ。面倒の奴らだな
サターニャ,ガヴリール、ラフィエル…アンタら、天使でしょ！？天使なら霊専門よね？！
ガヴリール,残念だが、除霊はできない
ラフィエル,天使は人を幸せに導くのが役目ですから、幽霊相手は専門外ですね
サターニャ,もぉぉーー、役に立たないわね！！
ガヴリール,それよりテル、ほんとにこっちが出口なのか？
テル,もちろんです。見て下さい…
ラフィエル,おぉ、赤い糸が見えます！！という事は、例の赤い糸の呪いというのは…。
テル,はい。文字通りルナが夢の外から中に居る俺の所まで赤い糸を繋げているんです
ガヴリール,成る程。確かに道標になるし、便利な力だな
サターニャ,じゃあ、このまま突っ走っていきましょう
ルナ,お兄ちゃん…
ヴィーネ,大丈夫よ、ルナちゃん。テルさんはガヴ達と一緒に必ず無事に戻ってくるわ
ルナ,………うん
ヴィーネ,それにしても、これが赤い糸の呪いって力なのね。赤い糸がしっかり見えて、長く伸びてるし、確かに道標になるわね。それと、テルさんの助けになっているルナちゃんも偉いわね♪
ルナ,………///
テル,はぁはぁ。もうすぐで夢の外です
ルナ,！
ガヴリール,はぁはぁ。
ヴィーネ,こ、この声は！？
テル,はぁはぁ。出られました。安心してください、もう夢の外です
ガヴリール,はぁはぁ、疲れたぁ～
サターニャ,ったく、ガヴリールは情けないわね。こんな距離、なんともないじゃないの
ラフィエル,仕方ありませんよ。ガヴちゃんは、普段運動不足ですし…。
ルナ,お兄ちゃん！
ヴィーネ,ガヴ、ラフィ、サターニャも！
テル,ルナ、ちゃんといい子にしてたな
ルナ,うん。お兄ちゃんこそ、大丈夫そうで良かった
ガヴリール,はぁはぁ。あんなに走ったのは久しぶりだ
ヴィーネ,ガヴ、足引っ張ってないでしょうね？
ガヴリール,ひ、引っ張ってねぇよ…
ルナ,それでお兄ちゃん、どうだったの？
テル,あぁ。霊が出る原因も失踪者の行方も分かったが、救えそうな人はいなかったし、霊を鎮める方法もないから、後は多数の兵隊の霊から逃げてきて…終わりだ
ルナ,そうなんだ…。
サターニャ,でも、もう幽霊は追ってこないのよね？
テル,はい。夢の外に出てしまえば、幽霊は追って来ることは出来ません
ラフィエル,あっ、兵隊さんの霊がたくさん…こちらに！
ヴィーネ,きゃああぁぁーーーーーーっ！！？
ルナ,幽霊っ！？
テル,夢の外まで出て来れないはずなので……。えっ？
ガヴリール,お、おい、何だか変だぞ！？
サターニャ,なに、まるで突っかかったのに、無理に抜けようとするかのような仕草は……？
ラフィエル,ハッ！もしや、ここから先は夢の外だから来られないにも関わらず、無理矢理夢から出ようとしているのでは！！
テル,そ、そんな馬鹿な！？こんな事今まで無かったのに！！？
ルナ,お、お兄ちゃん…！？
テル,もし、このまま霊たちが夢を突き破って来たら、更に夢が広く作り出され、旅館の主人やわずかな住むっていう住人までもが被害に遭ってしまう！？
ヴィーネ,えぇっ！？
ルナ,そんな…！
テル,どうしよう…？！俺やルナには霊を倒す手段がないというのに！！
ラフィエル,…………こうなれば、アレしかありませんね
テル,えっ？
ヴィーネ,ラフィ？
ガヴリール,どうした、なにか霊を何とかする方法でもあんのか？
ラフィエル,はい。一つだけですが、私やガヴちゃんの天使力とヴィーネさんやサターニャさんの魔力を合わせるんです！
サターニャ,はぁっ！？
ヴィーネ,えっ！？
ガヴリール,おい、天使力と魔力を合わせるって、いくら天使と悪魔だからって幽霊に攻撃をぶつけるのは難しいだろ！！
ラフィエル,いいえ、天使力と魔力を合わせたら、霊たちに攻撃ではなく、ここからテルさんの出番です
テル,えっ、俺？！
ガヴリール,ど、どういう事だよ？テルの出番って？？
ラフィエル,いいですか…それぞれの天使力と魔力を合わせたら、それをテルさんに与えるんです
ガヴリール,なにぃっ！？
サターニャ,私たちの力を、よりによって人間になんかに与えるですって！？
ヴィーネ,ラフィ、いくらなんでもそれは！？
ラフィエル,えぇ。確かに無茶苦茶ではありますが、力を持つテルさんなら私たちの力を与えれば、きっとテルさんの力は進化し、霊に対抗できるかもしれません！
テル,ちょっと待ってください！？白羽さん達の力を貰うって、それで俺の力は変わるんですか？！
ラフィエル,可能性はあります。力同士なら、なんとかなるはずです
テル,…………
ルナ,お兄ちゃん…
テル,分かりました。俺も被害は出したくありませんし、幽霊たちがなんとか出来るなら、お願いします
ラフィエル,決意してくれましたね。もちろんです
ヴィーネ,ほ、ほんとにやるの…？
ガヴリール,まぁ、いいや。面倒事が済むなら、力を貸してやるよ。それにテルが普通じゃなければ、何とかなりそうだしな
サターニャ,チッ。人間に力を貸すのは、今回だけだからね！
ラフィエル,後は、ヴィーネさんだけですよ？
ヴィーネ,分かった…。私も被害が広がって欲しくないからやるわ
ラフィエル,これで決まりですね。いいですか、作戦はこうです。まず私たちがそれぞれの天使力と魔力をテルさんに与え、同時にテルさんはドリームリンクを試してみて下さい。きっと、何かしらの変化が見られ、それにより霊たちを撃退できるという訳です
テル,分かりました。じゃあ、お願いします
ラフィエル,分かりました。では、皆さん……
ガヴリール,いくぞ、私の力しっかりと受け取れ、テルウウウゥゥゥーーーーーーッ！！！
ラフィエル,作戦通り、お願いします
サターニャ,フン！
ヴィーネ,お願いします…
テル,うおっ、天真さんに白羽さん、月乃瀬さんに胡桃沢さん…それぞれの力がしっかりと伝わってくる！？
ルナ,これは……！
テル,うおおおぉぉぉぉぉーーーーーーーーっ！！！！！。ドリームリンクウウウウウウゥゥゥゥゥゥーーーーーーーーーーーッ！！！！！。ドリームリンクで霊たちが苦しんでるの！？まさか、ドリームリンクが本当に進化したというのか！？
ルナ,凄い！？
ラフィエル,成功はしましたが、まだまだ霊たちを撃退できていません。もうひと頑張りです
ガヴリール,行くぞおおぉぉーーー
サターニャ,フン、言われなくても
ヴィーネ,もうひと頑張り！
テル,よぉし、うおおおぉぉーーーーーっ！！！。ふぅ～、なんとか撃退できた
ラフィエル,私たちの力を受け取ったテルさんの力に、進化がきて除霊が備わったようです
テル,成る程。だから、霊が苦しんでいたんですね
ヴィーネ,その除霊の力で幽霊たちは苦しんだ後、その夢の中に逃げて行った訳ね
ラフィエル,えぇ。これで夢の外に出て行くのも阻止できたし、霊たちも二度と出ようとはしないでしょう
サターニャ,まぁ、そうだといいけど…。
ガヴリール,ふわぁ～。いつの間にか、眠気が襲ってきたから、寝るよ。
ヴィーネ,こら、ガヴ、こんなとこで寝ないの！？風邪引くでしょ！？
テル,ふわぁ～、そういやあ、俺も眠くなってきたな…。
ルナ,お兄ちゃん、お疲れ様?
テル,昨夜はどうもありがとうございます。人は救えなくても、おかげで霊の進行を食い止める事は出来ました
ラフィエル,いえいえ、こちらこそ…途中から首を突っ込みまして、申し訳ありません
ルナ,私からも…ありがとう、お姉ちゃん
ヴィーネ,どういたしまして♪
サターニャ,ヴィネット、人間の女の子にニヘラしちゃって、やっぱ一人っ子の分…妹みたいな感じがして良かったのかしら～？
ヴィーネ,ち、違うわよ、そんなんじゃ！？///
ガヴリール,ここでお別れだな…。
テル,そうですね
ヴィーネ,あの、テルさん…
テル,はい？
ヴィーネ,その、私たちがそれぞれ天使と悪魔である事は、他の人達には内緒にして頂けないでしょうか？
ラフィエル,私からもお願いします。力を持つテルさんとルナちゃんは別としまして、それ以外の方々にはバレてはいけない決まりですので…
テル,えぇ、もちろん。この秘密は、俺とルナの心の中にしまっておきますよ！な、ルナ？
ルナ,うん♪
ラフィエル,うふふ、お利口さんですね♪
ルナ,っ///
テル,おっと、そろそろ行かないと！。あっ、天真さん、白羽さん、月乃瀬さん、胡桃沢さん……本当にありがとうございました。昨夜の出来事は決して忘れません。それと社会勉強、これからも頑張って下さい。では、俺はこれで！ルナ、行くぞ！
ルナ,待って、お兄ちゃん！あっ、お姉さん達もまたねぇ～♪
ガヴリール,おう、またな！
ヴィーネ,テルさん、ルナちゃん、さようなら
ラフィエル,さようなら～♪
サターニャ,フン。まっ、少しは楽しかったわ
ラフィエル,今回は色々とありましたが、最終的には良かったですね♪
サターニャ,しっかし、人間の世界にあんな人間が居たとはねぇ…
ガヴリール,なんだ、怖がってんのか？
サターニャ,ち、違うわよ！？ったく、この大悪魔が、あんな下等生物風情なんかに、なぜ…！
ヴィーネ,はぁ～、今回の旅行はいつもより一層疲れたわ。けど、学ぶ以上に学ぶことはたくさん出来たし、それはそれでありかな！。さぁ、帰るまでは旅行よ！
ガヴリール,なんだよ、そりゃあ
ラフィエル,まるで遠足みたいですね
サターニャ,ほんとね。ヴィネットはいっつもこういう調子よね
