千川ちひろ,ん～っ
P,勿論です。さあ、行きましょう
凛,初めて本当の声を聞けた気がする。ありがとう、プロデューサー
P,自分の部屋なのに落ち着かない。久々だからな……。あ、そう言えば連絡下さいって書いてあったっけ。おにぎりありがとうございました。薫には撮影の時にお礼します。よし、これでいいかな。明日も仕事だけど走り回ることはない。ゆっくり仕事が出来そうだ。はい、もしもし
あい,こんばんは
P,東郷さん、どうしました？
あい,駄目だったかな
P,いえ、そんなことはないです
あい,少しは休めたかい？
P,ええ、千川さんも気を遣ってくれたので、ゆっくり眠れました
あい,そうか、それは良かったよ
P,おにぎり、ありがとうございました
あい,あんなことしか出来なくて申し訳ないよ
P,充分です。元気が出ました
あい,そうか……
P,あ、俳優さんが決まりましたよ？明後日からの撮影です
あい,ちひろさんに聞いたよ
P,そ、そうでしたか……
あい,撮影には同行するのかい？
P,勿論です
あい,よろしく頼むよ
P,任せて下さい
あい,フフッ。君は頼もしくなったね
P,色々な方々に鍛えられましたからね。あれから担当が付いて中々会えない人もいますけど
あい,皆、忙しくなったからね
P,見えないけど、それぞれが頑張っています。ライブ、ドラマ、舞台、様々な場所で
あい,……そうだね
P,大丈夫！
あい,えっ？
P,東郷さんも頑張ってます。負けたくない気持ちは大事ですけど、比べる必要はないです
あい,…………
P,一緒に頑張りましょう。仕事なら僕が沢山取ってきますから
あい,君は心が読めるのかい？
P,声を聞いていると、ちょっとだけ分かります
あい,……ありがとう。これからも頼むよ？
P,こちらこそ、よろしくお願いします
あい,それじゃあ、そろそろ
P,そうですね。お休みなさい
あい,おやすみ……
P,あの、何かあったんですか？
あい,いいや、何もないよ。さあ、ひと思いに切ってくれ
P,いや、えっと……
あい,フフッ、冗談だよ
P,電話って恐い
あい,お休み、○○君
P,えっ！？。？。こういうところが、ずるいと思う……。お話とは何でしょう？
あい,君の試みは成功した。私もあの時よりは前に進めたと思う。だが、君はどうした？現場に顔を見せることも少なくなった
P,それは、新しい仕事の打ち合わせなどで……
あい,以前の君は今の仕事を大切にする人間だった
P,今でも大切にしています。僕は東郷さんのためにーー
あい,私のため？
P,そうです。貴方のためです
あい,フッ、私は一度でも仕事の催促をしたか？次の仕事を望んだか？。今となってはCMなど幾らでも取ってこられるか？。ドラマも、舞台も、今では次など幾らでもあるということか？
P,それは違います！！
あい,だったら！！。……だったら、答えてくれ
P,………何でしょうか
あい,君は、私をどうしたいんだ
P,えっ？
あい,私の何を見せたい？私に何を見て欲しい？君は、どんな私を見たいんだ……
P,東郷さん、僕の話を聞いて下さい
あい,………私には、今の君が何を目指しているのか分からないよ
P,東郷さん、待って下さいっ！！
あい,…………
凛,大丈夫？
P,ええ、大丈夫です。ご心配お掛けして申し訳ありません
凛,ねえ、あいさんと何があったの？
P,………
凛,話してよ。何を考えてるのか、教えて
P,……正直、ちょっと分からなくなってしまいました
凛,？
P,お仕事を取ってきて、アイドルの活躍が評価されて、僕はまた仕事を取ってくる。単純に言えば、僕の仕事はそんな感じです。最近は仕事の量も増えて来ました
凛,そうだね
P,これは皆さんが結果を出したからこそです。これで良かったのだと思っていました
凛,違ったの？
P,違うと言うか、お互いの考えがズレているような気がしました。当たり前に仕事をしていると、そう思っていたのですが、その姿勢が良くないようです
凛,姿勢ってどういうこと？
P,先々の仕事の打ち合わせなどで、現場に顔を出せる機会は少なくなった。以前なら、もっと今の仕事を大切にしていたと、東郷さんはそう言っていました
凛,プロデューサーが前とは違う。それは分かる気がする
P,東郷さんの言っていることは分かります。分かりますが、以前のようには……
凛,出来ないの？もうちょっと仕事量を抑えたりとかさ
P,今は忙しい時期ですが、今後緩やかに減っていくとは思いますよ？。ただ、減らすとなると難しいですね。これでも絞っているんです
凛,じゃあ、理由は他にあるんじゃない？他に何か言ってなかった？
P,私をどうしたいのかと、そう言っていました
凛,どう考えてもそれでしょ
P,しかし、僕の気持ちは変わっていませんよ？以前と同じ気持ちです
凛,そうじゃないよ
P,？
凛,もっと見て欲しいんだと思う。きっと、不安なんだよ
P,不安、ですか？
凛,仕事が増えて色んなことをしていく内に、自分がどんな感じだったのか分からなくなる時があるんだ。そんな時に一人だと苦しいよ。私も、ちょっとはそうだから……
P,そうでしたか……
凛,悩んでないで直接話すべきだよ。何もせずにいると時間だけが流れるから
P,……そうですね。渋谷さん、ありがとうございます
凛,ううん。私、もう行くね？
P,はい、頑張って下さい
凛,うん、プロデューサーもね。……いつかはこんな時が来る。それは、あの時から分かってた。これで良かったんだ
あい,大丈夫かい？
P,はい、点滴が終わる頃には良くなると思います。ちょっと無理をしてしまいました
あい,まだ仕事は落ち着かないのかい？
P,もう少しだけ今の状態が続くと思います。それでも、以前と比較すると大分楽です
あい,……そうか
P,ごめんなさい、東郷さん。あの時、貴方の異変に気付けなくて……
あい,謝るのは私の方だよ。君のことを考えずに、我が儘を言ってしまった
P,そんなことはないです。言ってくれなかったら、もっと大変なことになっていました
あい,君がそんなことになるなら言わなかった
P,芸能界ではよくあることですよ。管理がなっていなかったんです。あるアイドルは、一週間で何時間眠れるか考えろと言われたそうですから
あい,君はアイドルじゃない
P,でも、代わりはいませんから
あい,分かっているよ。そんなことは……
P,大丈夫。今を乗り切れば、何とかなります
あい,そんな顔で言われても納得出来ない
P,……もうちょっとだけ、待っていて下さい
あい,……信じても良いんだね？
P,勿論です。もう二度と、こんなことにはなりません
あい,一つ、頼みがある
P,？
あい,仕事が落ち着いたら、君のーーーーー。お疲れ様
P,は、はい。お疲れ様です
あい,緊張してるのかい？私のドレス姿なんて見馴れたものだろう？
P,いや、それはそうですけど、こんな場所で食事をするのは初めてなもので……
あい,………
P,あれっ、どうしました？
あい,ドレスは見慣れているだろうと言われて、まさか肯定するとは夢にも思わなかったよ
P,あっ、綺麗ですよ？
あい,今更取って付けたように言われても嬉しくないね
P,今まで見た中で一番綺麗です。誰よりも
あい,おや、照れてるね
P,当たり前ですよ
あい,それは、私にだから言うのかい？
P,………
あい,ここまで来て黙りか。私はてっきり、答えを聞けるものと思っていたよ。私はあの時、君の気持ちを知りたいと言ったはずだよ？
P,………
あい,……まあいいさ。こうして食事が出来るだけでも嬉しいからね
P,っ、東郷さん
あい,なんだい？
P,貴方にだからです。貴方にしか、言わない
あい,本当？
P,本当です。初めて会った時から、貴方だけを見ていました
あい,初めて会った時から？
P,あの、そこを詳しく聞くのはやめて下さい。お願いします
あい,フフッ。分かったよ
P,本当に綺麗だ。緊張する
あい,あまり実感は湧かないけれど、何というか、不思議な気分だよ……
P,初めて見ます。東郷さんの、そんな表情
あい,見せたのは二度目だと思うけどね
P,えっ？
あい,なんでもないよ。この先はどうするつもりかな？
P,ちょっと早くないでしょうか？
あい,急かすようで悪いけど、もう待たされるのは嫌なんだ
P,……分かりました。東郷あいさん、僕とーーーー
