モバP,以下P表記
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
杏,プロデューサー？何、今の音？何してんの？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
杏,晶葉と一緒って事は、また何かの実験？目に変なの付けてたけど、何か見てたの？
P,あぁ、そうだ
杏,何あれ？何見てたの？
P,あれはニート度スカウターだ
杏,何それ？
P,見た者がどれだけニートかを、数値化して見る事が出来る機械だ
杏,壊れたっぽいけど？
P,あぁ、つまり杏はそれだけニートって事だ
杏,ふーん……晶葉が失敗なんて珍しいじゃん
P,ん？どこが失敗なんだ？
杏,杏は、これからはマジメに仕事を頑張るって決めたもん
P,おいおい、急にどうしたんだよ
杏,だって杏がアイドル頑張ったら、プロデューサー喜んでくれるでしょ？
P,それは勿論
杏,杏が頑張る事で……杏の事でプロデューサーが少しでも喜んでくれるなら、杏の事でプロデューサーが少しでも笑ってくれるなら、杏の事でプロデューサーが少しでも嬉しいって思ってくれるなら。杏は何だって出来るし、どんな事だってやるよ。ニートやめてだらけるのもやめてサボるのもやめて、家事もレッスンも仕事も全部ちゃんとやるよ。仕事だって休みなんかいらない……1日24時間1年365日無休で頑張るよ
P,そんなにやる気を出してくれるなんて……
杏,プロデューサーのためなら、なんだって頑張れるよ……だからプロデューサー、ずっと杏の傍に居てよ
P,杏がこんなにやる気になってくれたのに、杏のプロデュースをやめる訳ないだろ
杏,へへへっ……ありがと、プロデューサー
P,こっちこそ、やる気を出してくれてありがとう
杏,残念な事に、今日はもう仕事も無いから、杏は次の仕事のために自主レッスンに行ってくるよ……じゃあね
P,おぅ、もう暗くなってきてるし遅くなり過ぎないようにな
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに肇がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
肇,Pさん……どうしたんですか、今の音？大丈夫ですか？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
肇,晶葉ちゃんと一緒という事は、もしかして、何か実験ですか？目に何か付けてたみたいですし、何か見てたんですか？
P,あぁ、そうだ
肇,何を見てたんですか？
P,あれはおじいちゃん子度スカウターだ
肇,何ですか、それは？
P,見た者がどれぐらいおじいちゃん子か、数値化して見る事が出来る機械だ
肇,壊れてしまったみたいですが……
P,あぁ、つまり肇はそれだけおじいちゃん子って事だ
肇,じゃあ……残念ながら失敗作ですね
P,ん？何でだ？
肇,最近、おじいちゃんと何をしていてもPさんの事ばかり考えてるんです。おじいちゃんと話していても、食事をしていても、釣りをしていても、陶芸を習っている時でさえも……。気付けば頭はPさんの事でいっぱいで、隣にいるおじいちゃんがもしPさんだったら……なんて事ばかり考えるんです
P,そうだったのか
肇,はい……あ、そうだ！Pさんに渡したい物があるんです
P,お、なんだ？
肇,これです
P,これは、茶碗か？
肇,はい……Pさんの事だけを考え、Pさんの事だけを想い……。私の今持っている、技術の全てと魂と血肉とPさんへの溢れて尚余り有る愛を込めて焼き上げた、今の私が作れる最高の品です
P,そんな大作を貰って良いのか？
肇,はい、受け取って下さい……それは私の全てが込められた、言ってしまえばもう一人の私です。その茶碗を私だと思って、好きな様に好きな事に使って下さい
P,ありがとう、大切にするよ
肇,ふふふ、ありがとうございます……それじゃ、私は帰りますね
P,暗くなってきたから、気を付けてな
肇,はい、お疲れ様です
P,おぅ、お疲れ
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに響子がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
響子,プロデューサー、何ですか今の音？何してるんですか？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
響子,晶葉ちゃんと一緒にいるって事は、何か実験ですか？目に何か付けてましたけど、何か見てたんですか？
P,あぁ、そうだ
響子,何見てたんですか？
P,あれは家事スキル度スカウターだ
響子,何ですか、それ？
P,見た者がどれぐらい家事スキルが高いか、数値化して見る事が出来る機械だ
響子,壊れちゃってましたけど？
P,あぁ、つまり響子はそれだけ家事スキルが高いって事だ
響子,本当ですか？あはっ！じゃあ私、良いお嫁さんになれますよねっ？
P,ああ、響子なら良いお嫁さんになれるよ
響子,うふふ！じゃあ私が16になったら、結婚して下さいね、プロデューサー！
P,おいおい……まだ先は長いんだから、別に今から相手を決めなくたって……
響子,何言ってるんですか、プロデューサーさん以外の旦那さんなんて有り得ませんし、考えたくもありません。プロデューサーのお嫁さんになれないなら、私は一生結婚なんかしたくありません。私の幸せはプロデューサーのお嫁さんになって、毎日プロデューサーの顔を見て、毎日プロデューサーのために御飯を作って、毎日プロデューサーのために掃除をして、毎日プロデューサーのために洗濯をして、毎日プロデューサーのために尽くして、毎日プロデューサーのためにプロデューサーの疲れを癒して、毎日プロデューサーのために私の体を使って気持ち良くなってもらって……。私の体を使ってプロデューサーが気持ち良くなってくれるなら、毎日だって使って良いですよ！毎日毎日毎朝毎晩毎夜毎時毎分毎秒何時だって何処でだって好きな時に好きな様に好きな事に使って欲しいんです
P,まぁ、まずは16になってからな
響子,うふふ、そうですね……それまで、ちゃんと待ってて下さいね！
P,ほら、もう暗くなってきたから、そろそろ帰ろうな
響子,約束しましたからねっ！それじゃ、お疲れ様です！
P,おぅ、お疲れ
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに亜里沙がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
亜里沙,Pくん、今の音は何？何をしてるの？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
亜里沙,晶葉ちゃんと一緒って事は、何かの実験ですね？目に何か付けてましたし、何かを見てたんですね？
P,ああ、そうだ
亜里沙,一体、何を見てたのかなぁ？
P,あれは先生度スカウターだ
亜里沙,何なんですか、それ？
P,見た者がどれぐらい先生か、数値化して見る事が出来る機械だ
亜里沙,壊れちゃったみたいですけど……
P,あぁ、つまり亜里沙はそれだけ先生って事だ
亜里沙,えーっと……つまり、どういう事ですか？
P,先生というのは見本にならなくてはいけない人だから、面倒見が良いとか頼れるとか、包容力があったりしっかりしてるとか、そんな感じだよ
亜里沙,あぁ……そういう事ですか……
P,ん？あんまり嬉しくなさそうだな
亜里沙,いえ、嬉しくない訳じゃないんですけど……
P,けど？
亜里沙,小さい子達が甘えたり頼ったりしてくれるのは、可愛いし嬉しいけど……先生だって、まだ21の一人の女なんですよ……？。すぐ近くにいる年上の男性に、頼りたい、甘えたい、寄り掛かりたい、支えてもらいたい、引っ張ってもらいたい、受けとめてもらいたい、抱き締めてもらいたい……って思うんですよ
P,そっか、そうだよな……ごめんな、気づかなくて
亜里沙,いえ、気付いてくれれば……
P,今日はもう暗くなってきたし、まだちょっと忙しいから無理だけど、今度ちゃんと相談にのるからな
亜里沙,本当ですか？うふふ、ありがとうございます……約束ですよ？
P,ああ
亜里沙,それじゃ先生はもう帰るけど、あんまり遅くまで無理しない様に……お疲れ様です
P,おぅ、お疲れ様
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに音葉がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
音葉,Pさん……今の爆発音は……？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
音葉,晶葉さんと一緒という事は……何か、実験でしょうか……？目に何か付けてましたが……何かを見ていたんですか……？
P,ああ、そうだ
音葉,一体……何を……？
P,あれは音楽才能値スカウターだ
音葉,それは……何でしょうか？
P,見た者の持っている音楽の才能を、数値化して見る事が出来る機械だ
音葉,壊れてしまいましたが……？
P,あぁ、つまり音葉の音楽の才能が、それだけ凄いって事だ
音葉,いえ……そんな事はありません……
P,ん？何でだ？
音葉,貴方の考えが……わからない……
P,ん？どういう事だ？
音葉,貴方から発せられる声や心音……貴方の喜びや悲しみも……全て聞こえる……嘘をついている……でも、その理由が……見えない……聞こえない……。悟らせまいとする……強い意志の声……心音……何故？……怯え……違う……守っている……？……貴方じゃない……誰……許せない……私以外の人が……貴方の心に……
P,ごめん音葉！確かに、ちょっと正直に言えない訳があって嘘をついた！すまない！。理由はまだ言えない！でも今度必ず話すから、少し待ってくれないか？
音葉,……
P,嘘はついてないだろ？
音葉,……そうですね……
P,暗くなって来たし、今日はもう帰ろう？
音葉,……そうですね……Pさんがそう言うなら……今日は帰ります……お疲れ様です
P,おぅ、お疲れ様
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこにほたるがいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
ほたる,プロデューサーさん、今の音は？大丈夫ですか？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
ほたる,晶葉ちゃんと一緒という事は、何かの実験ですか？目に何か付けてたみたいですけど、何か見てたんですか？
P,あぁ、そうだ
ほたる,何を見てたんですか？
P,あれは幸運度スカウターだ
ほたる,何ですか、それ？
P,見た者がどれぐらい幸運か、数値化して見る事が出来る機械だ
ほたる,壊れちゃったみたいですけど……
P,あぁ、つまりほたるは不幸なんかじゃない。それだけ幸運って事だ
ほたる,そうなんですか？ふふっ、確かにそうですね
P,おっ、自分でもそう思うのか？
ほたる,はい……今こうやってプロデューサーさんと会う事が出来て、プロデューサーさんとお話しが出来て、プロデューサーさんにレッスンを見て貰えて、プロデューサーさんと一緒にお仕事が出来て、たまにプロデューサーさんとお食事したりもして……とても幸せです
P,そんな特別な事なんて、してないだろ
ほたる,いいえ、プロデューサーさんと何かを一緒に出来ること以上の幸せなんてありません。それが、どんなに小さな事でもどんなに些細な事でもどんなに細かい事でもどんなに悲しい事でもどんなに辛い事でもどんなに苦しい事でも、プロデューサーさんさえ一緒なら……私は幸せです
P,そんな風に言ってもらえるなんて、有り難いな
ほたる,プロデューサーさん……私、もっともっと頑張りますから、これからもずーっと、私に幸せを感じさせて下さい
P,ほたるがアイドルを辞めない限り、俺もほたるのプロデューサーを辞めたりしないよ
ほたる,ありがとうございます……それじゃ、私は帰りますね
P,暗くなってきたし、気を付けてな
ほたる,はい、お疲れ様です
P,おぅ、お疲れ様
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに茄子がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
茄子,プロデューサー、今の音は？大丈夫ですか？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
茄子,晶葉ちゃんと一緒という事は、何かの実験ですか？目に何か付けてたみたいですけど、何か見てたんですか？
P,あぁ、そうだ
茄子,何を見てたんですか？
P,あれは幸運度スカウターだ
茄子,何ですか、それ？
P,見た者がどれぐらい幸運か、数値化して見る事が出来る機械だ
茄子,壊れちゃったみたいですけど……
P,あぁ、つまり茄子はそれだけ幸運って事だ
茄子,だったら……晶葉ちゃんには悪いですけど、それ失敗作です
P,ん？自他共に認める幸運の持ち主の茄子が、どうしたんだ？
茄子,……私は、プロデューサーがずっと私の傍に居てくれれば、それだけで幸せです……プロデューサーが私の傍に居ないのなら、私は不幸も同然です。お金もアイドルとしての人気も住む所も食べる物も飲む物も五体満足な体も、プロデューサーさえずっと傍に居れば、私は何もいりません。なのに……天にも、仏にも、神にも、どんなに強く大きく重く熱く激しくきつく固く思っても想っても祈っても念じても願っても請うても供えても祀っても捧げても何をしても。他の事は叶っても、他の物は手にいれても……プロデューサーだけが手に入らない、プロデューサーがずっと私の傍に居る事だけが叶わないんです。それなら、私には幸せな事なんて何一つとしてありません……
P,大丈夫だよ、茄子……茄子がアイドルを続けるなら、その間は俺もずっと茄子のプロデューサーだよ
茄子,プロデューサー……ふふ、ありがとうございます
P,ほら、暗くなってきたし今日はもう帰ろう？
茄子,そうですね……プロデューサーから嬉しい言葉も聞けて満足したので、今日は帰りますね
P,気を付けてな
茄子,はい、お疲れ様です♪
P,おぅ、お疲れ様。もう、皆帰ったみたいだな
晶葉,そうだな
P,まさか、晶葉とまゆ以外カンストとはなぁ……
晶葉,予想外だったな
P,……なあ、晶葉
晶葉,ん？どうした？
P,アイドルの子達に好感度スカウターについて聞かれた時、正直に言うのはマズイと思って、適当に嘘をついて誤魔化して。その後アイドルに何を言われても、基本的には明言するのは避けて、曖昧な感じで答えきたつもりだけどさ……
晶葉,ああ
P,それでも、この状況はちょっと良くないよな
晶葉,ああ、ちょっと良くないな
P,……なあ、晶葉
晶葉,どうした？
P,皆にはまだ話してないけど、実は俺、ちひろさんと付き合ってるんだけどさ……
晶葉,おお！そうだったのか！
P,しかも指輪も渡してある
晶葉,なんと！おめでとう！
P,ありがとう……でも、この状況を考えると、それもちょっと良くないよな
晶葉,うむ……確かに、それもちょっと良くないな
P,……さっきから何やってるんだ？
晶葉,よし、出来たぞ！危機的状況度スカウターだ
P,何だそれ？
晶葉,この機械で見た者が、どれぐらい危機的状況下に陥っているかを、最低値0から最高値100までの数値で計る事が出来る機械だ！
P,おお、すごいな！
晶葉,これで、今のプロデューサーの状況が、どれぐらい良くないか見てみようと思う
P,因みに、100が出たらどうなるんだ？
晶葉,そうだな……今の状況を考えると、どんなに良くても両手足をもがれて死ぬまで監禁とか、せめて苦しまない様にサクッと殺してくれるとか……。いずれにしても、ヤンデレバッドエンドは避けられないだろうな
P,そうか……
晶葉,では、計るぞ
P,頼んだ
晶葉,どれどれ……プロデューサーの、今の危機的状況度は……
P,…………
晶葉,…………
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,どういう事だ？
晶葉,数値100以上により計測不可能、カンストという事だ
P,マジで？
晶葉,マジだ
P,………………
晶葉,………………
P,…………
晶葉,…………
P,……
晶葉,……
P,マジかぁ……
