姫川友紀,……ふっふっふ
P,どういう意味なんだげっって。教えてくれよ
友紀,……オハヨウゴザイマス
P,うむ、おはよ
友紀,ちぇー、そんなイヤミ言わなくったってさー
P,んじゃ明日から俺も、お前のこと見かけたら嫌味じゃなくてげっって言うようにするわ
友紀,……ごめんなさい
P,ま、冗談だけど。なに？なんか後ろめたいことでもあるの
友紀,後ろめたい？
P,ユッキが出会い頭にそう言う時は、大抵事務所の中で遊んでたりビール飲んでるのがバレた時だと思ってたけど
友紀,いや、そんなんじゃなくって…
P,本当か？何か隠してるとかじゃないだろうな
友紀,べ、別に、何も…。言えるわけないじゃん！変な夢見たせいだなんて！。とっ…とにかく、何でもないからっ
P,ふーん
友紀,あと、こっち見ないで！ていうか近付かないで！
P,ひどくない？
友紀,……いつも通りで、ちょっと安心した
P,まぁ良いや。お前、レッスンまで時間あるよね
友紀,あるけど…？
P,丁度良いし、次の仕事の話しておきたくて
友紀,お仕事！はいっ！やる、やります！！
P,お、おぉ……？ちょっとびっくりしたぞ
友紀,今のあたし、気合いが全力マックスなのっ！
P,なんか急にやる気だな…
友紀,余計な事考えないで全力投球、お仕事に打ち込みたい気分なんだ！話聞かせてよ！
P,…はは、そっか。なら、今回はいつもよりたくさん任せてみようかな
友紀,ドンと来て！絶対成功させるからっ
P,クリスマスシーズンに向けて、サンタの服着て色々回ってほしいって話なんだけどさ
友紀,………さんた？
P,そ、サンタクロース。知らない？
友紀,知って、る……けど…
P,まずファッション誌からいくつかオファー来てるだろ。〇〇っていう商店街からのちょっとした依頼があって、あと……、
友紀,さ、さん、た…
P,…ってな感じかな。どうせだし事務所全体で分担しながら、まとめて全部受けようと思ってて
友紀,…
P,参加するのはお前の他に……って、もしもーし。話聞いてた？
友紀,…ぷ、
P,ぷ？
友紀,プロデューサーの、えっちーーっ！！！
P,はぁ？……ちょ、待っおい！どこ行くんだ友紀ーー！！？
飛鳥,～～、～♪
友紀,お、飛鳥ちゃんだ
飛鳥,おや
友紀,気前よく口笛なんか吹いちゃって～！なんか良いことあったの？
飛鳥,はは。まぁ、それなりにね
友紀,ゴキゲンなのは何より……って！そ、その手に持ってるのは！？
飛鳥,これ？ああ、コーヒーでも淹れようかと思って
友紀,ねこっぴーのマグカップじゃーん！飛鳥ちゃん、ついにキャッツの魅力に覚醒めてくれたんだねっ！
飛鳥,今なにか、漢字が……まあそんなことはいい。目覚めるも何も、これはキミがくれたものじゃないか。可笑しなことを言う
友紀,……え、あれ？そうだっけ
飛鳥,ああ、そうだ
友紀,んー…？お、覚えてないぞ…？
飛鳥,おいおい……折角だから事務所で使ってあげようかと思ったのに。キミというヤツは、全く…
友紀,キャッツ絡みであたしが覚えてないハズ無いんだけどなぁ……それ、いつあげたんだっけ？
飛鳥,…使うのやめようかな、やっぱり
友紀,ま、待って待って、やめないで、使ってあげて！今思い出すから……えーっと、えーっと…、。ふえぁ！？は、はーい！今行く―！。呼ばれちゃった
飛鳥,仕事かい？
友紀,うん、打ち合わせ。それと、今からちょっと近くの商店街にね
飛鳥,忙しいね
友紀,ゴメン飛鳥ちゃん、ちゃんと思い出しておくからっ。じゃーね！また後でっ！
飛鳥,あちょ、まだ話の途中……はぁ、やれやれ。……後で、か。夢で逢えたら…なんて。…フフッ。さて、果たしてコレは……何時、何処で貰ったものだったかな
