美城常務,ふむ……全員、集まったようだな。ではこれより会議を始める
常務,素晴らしい景色だ……、やはり、紅葉狩りをせずに秋は越えられないな
奈緒,さっき何て言ってた？？？
唯,小梅ちゃんなら真っ赤な血の海が～とか言うのかなっ？
奏,ふふ……、そうかもね
文香,茜さんなら、燃えてますねー！なんて仰るかもしれませんね……
周子,わかるー
フレデリカ,と、巴ちゃんならカープの応援を始めそうだね！
ありす,いい例えが浮かばないなら黙ってましょうよ
加蓮,ここで叫び始めたら即刻つまみ出されるでしょ
常務,ここで酒飲み始めたら即刻つまみが出てくる！？
加蓮,出てこない！
凛,別に酒飲みキャラじゃないでしょ！？
文香,やはり、日本の四季をこうして目にする度に、この国の良さを反芻することができますね……
ありす,まあ、それは同意ですね
奏,あら、そういえば、フランスにも紅葉ってあるの？
フレデリカ,あるある～、おそらくね～
唯,なにそれ～？
奈緒,また適当なことを言って……
フレデリカ,適当じゃないよ～！フランス国旗の赤は紅葉の赤だもん！
凛,その発言を適当って言うんだってば！
唯,じゃあフランスの白は？
フレデリカ,ほかほかご飯！
加蓮,茜？
周子,青は？
フレデリカ,サバ！
奈緒,サバ！？
ありす,全部デタラメじゃないですか！
フレデリカ,デタラメなんてひどいよー！それを裏付ける俳句だって残ってるんだから！
奈緒,なんでフランスに俳句が残ってるんだよ！？
文香,ちなみになんという句ですか……？
フレデリカ,えっとね！目には紅葉山盛りご飯と青いサバだよ！
奈緒,なんか聞いたことあるぞ！？
ありす,……元の句を知ったうえで、この会話のためにアレンジしたなら、割と凄い気が
常務,では、少し歩こうか……話をしながらな
奈緒,……？
ありす,イヤな予感が……
常務,北条、今、何時だ？そうだ、15時を過ぎたあたりだな
加蓮,とうとう返事すらさせてもらえないの！？
常務,さて、夕食の話になる
奏,……少し早いんじゃないかしら？
常務,いや、このタイミングで話すしかなくてな
唯,？
常務,む、見えてきたようだ、この公園は、様々な競技ができる多目的運動場がある
凛,……夕飯の話は？
常務,まあ、そう急ぐな
フレデリカ,けっこーおっきいね？
常務,ああ、そして、運動目的だけでなく、ライブなどの設備も整っているらしい
奈緒,……
ありす,えっ……
周子,まさか？
常務,ところで。先ほどのカラオケで喉は温まっているな？
凛,……えっ
奈緒,いやいやいやいや！！！！！
加蓮,なんでこんなことに……
ありす,聞いてませんよ……
奏,周子、この曲の後の動き、こっちから捌けた方が次に行きやすいわ
周子,はいはーい
唯,フレちゃん！髪留めズレてるよ～！
フレデリカ,わお！さんきゅー！
文香,ここのMCではあちらのカメラが……
凛,だからその適応力はなんなの！？
常務,皆、衣装に着替えたようだな。準備は万端か？
ありす,メンタル以外は
常務,既に3万もの客が詰めかけている
奈緒,逆にあたしたちに知らせずによく集めたな！？
唯,ってかじょーむ！晩ごはんの話じゃなかったっけ？？？
凛,そういえば……
常務,もちろん、その話をするために来た
ありす,ら、ライブと関係あるんですか？
常務,今回のライブの後、客にはアンケートを答えてもらう。そこで、ライブの満足度が夕飯の献立に直結するシステムだ
奈緒,はあ！？
奏,よく考えるわね……
常務,力を合わせて、客の満足と豪華なご飯を手に入れてくれ
ありす,ええ……
常務,まずはトリャイアドピュリミュスからだ
奈緒,結局まだ言えないのかよ！？
常務,開始時刻は2分後だな
ありす,ええ！？そ、そんな急になんて
凛・奈緒・加蓮,……
ありす,……え？
凛,いいよ……やってやろうじゃん……
奈緒,ああ……やるしかないな……
加蓮,目にもの見せてやる……
ありす,
文香,今度、かかりつけのカウンセラーを紹介しましょうか……
周子,3人いないしありすちゃんはポカーンとしてるから代わりに言うけど、なんでかかりつけのカウンセラーがいるん？
凛,はぁ……はぁ……
奈緒,やって……やったぞ……
加蓮,疲れた……
凛,確か、この後は暗転して袖に捌けるんだよね
奈緒,よし、退散……
加蓮,……！？
当然ながら、加蓮の頭には,スタッフのミスかな
凛,え……？
奈緒,そ、そんな……、バカな……
加蓮,ウソ……でしょ……！？
凛・奈緒・加蓮,アーニャ！？！？！？
奈緒,お、おい！！！なんだよあれ！？
加蓮,心臓止まるかと思ったんだけど！？
凛,サプライズはいいけどこっちは教えてよ！！！
ありす,いえ……、それが……
奈緒,え？
常務,アナスタシア……！？なぜ……！？
凛,把握してなかったの！？！？！？
奏,出番だったから用意しようと思ったら、スタッフさんに静止されてね
周子,しょうがなく待ってたらこれなんだよね
奈緒,アーニャは何者なんだよ！？
加蓮,あ、アーニャの歌、終わったみたい……
常務,よし、次に歌うLippsはもちろん、全員で裏まで行こうか……
ありす,そ、それがいいですね……
スタッフ,アナスタシアさん、帰られましたー！
みんな,もう！？！？！？！？
ありす,……疲れました
加蓮,死ぬ……
奈緒,かれーん……、いや、あたしもキツイ……
唯,つーかーれーたー！
奏,16時に始まって、今が19時を過ぎたとこだから、9人で3時間超ね……
文香,ラブ〇イブの方々はいつもこんなに大変な思いを……
凛,ごめん……、ツッコミを入れる元気もない……
常務,皆、ご苦労だった
文香,あ、諸悪の根源さん……
ありす,ここにきて文香さんのエンジンがかかってきてますね……
常務,今回の会議はどうだった？
奈緒,これを会議と言い張るのか……！？
常務,おまちかね、アンケートの結果だ
加蓮,待ちかねてるのは帰宅だけどね？
常務,おめでとう、最高評価ばかりだ
フレデリカ,いえーい！
周子,頑張ったもんねー
唯,それで？それで？ご飯はどうなるの！？
常務,ああ、最高評価だったので……。あずきバーだ
奈緒,あずきバーはもういいよ！！！！！
常務,それと、今回の旅の費用は給料から天引きしておく
加蓮,こっち負担なの！？！？！？
常務,次回も楽しみにしていてくれ
凛,勘弁してよ！！！
常務,次は全国ツアーだな
奈緒,目標がおかしいんだよ！！！！！
