原田美世,プロデューサー、ドライブとか興味ない？
美世,もー、言った通りだって。何か危ないことがあったら、みーんなPさんに守ってもらうの！
P,ま、守るったって
美世,だって、あたしが運転するのは危ないんでしょう？。それに、Pさんの免許はゴールドだよね？
P,あ、ああ……
美世,ねっ、安心！
P,えぇ……
美世,それに、ここからなら、バックミラー越しにPさんの顔がよく見えるの。あたしがPさんを守ってくれるなら、あたしもPさんを守らないと！。何か不調があったら、あたしがメンテナンスしてあげるからねっ
P,あ、ありがとう？
美世,えへっ、どういたしまして！
P,うわ、バックミラー越しだけど、美世の笑顔、可愛いな。完全に個人的だったけど、美世をスカウトしてよかった
美世,……どうしようか。言っちゃうなら、今がチャンスだよね……。でも、あたしはアイドル、Pさんはプロデューサー。……。あ、まずいかも。頭が働かなくなって、口が、勝手に……。Pさん
P,んー？
美世,……。あたしね……。あたしも、Pさんのこと……
P,えっ……
美世,あ、あの……す、す……
P,……
美世,す、す……！。きゃあっ！？
P,うわっ！？なんだっ！？
美世,じ、事故？
P,わ、分からない……
Pヘッドの男,……。ふう……
金髪の少女,ハニー、すごいの！やっぱりハニーはミキのハニーなのっ！
Pヘッドの男,プロデューサーとしてこれしきのこと、造作は無い。それよりも美希、お前は大丈夫か？どこも怪我してないか？
金髪の少女,ミキはダイジョーブ！だってハニーが守ってくれたんだもん！
Pヘッドの男,ハハハ、まったく美希は
P,……
美世,
P,……
美世,……
P,……あれだ
美世,えっ
P,美世、僕はあれこそが、プロデューサーとしてあるべき、本当の姿だと思う。そうに違いない！僕は確信した！
美世,ちょ、ちょっと、Pさん？
P,僕は美世に、相応しい男になってやる！
美世,Pさーん！
早苗,あのさぁ
P,……
早苗,なんでまた、事案になったか分かるよね？
P,はい……
早苗,そりゃ、一週間頑張って筋肉をつけたのは分かるよ。すっごい努力だったのも分かる。ただ魅せるためだけの筋肉じゃなくて、実用的な、それこそヒグマとだって、戦って渡り合える筋肉を身につけたのも知ってる
P,……
早苗,……まあ、トレーニングを一日欠いただけで元に戻るとは思わなかったけど
P,……
早苗,それでキミ、一昨日、美世ちゃんにこう言ったんだって？。うわぁ……。何度聞いても、これはないわ
P,……
早苗,しかもこれ、すっぽんぽんで言ったんだよね？セクハラにも程があるよね？
P,……返す言葉もございません
早苗,しかも、ドサクサに紛れて告白しちゃってるよね？どうなの？そこらへん、プロデューサーとして
P,……あの、あの時は、脳みそまで筋肉になってたといいますか……
早苗,つまり正常な判断能力を失くしていたと？
P,え、ええと、そのう
早苗,……
P,ぴぃぃ……
早苗,あー、失禁はしないでいいよ。今回は美世ちゃん、泣いてなかったし、今回だけは無罪
P,ま、マジすか
早苗,でええい、うっさいな！分かったらさっさと出て行けっ！
P,は、はいっ！
智香,あっ、美世さん！おはようございますっ☆
美世,おはよう、智香ちゃん
智香,あっ、美世さん！
美世,なあに？
智香,Pさんとは、どーなりましたかっ
美世,え、ええっ！？
智香,へへっ☆その様子だと、何かあったみたいですねっ！。ロマンチックな告白とかっ……きゃー☆
美世,え、な、なんで知ってるのっ！？。物凄く暑苦しい告白は……されたけど
智香,チアリーダーはなんでもお見通しなんですよ☆
美世,え、えええ……恥ずかしいよ……
P,どうだ？智香、時間が経った今だからこそ、言えることもあるんじゃないか？
智香,うーん……
P,ま、まだ難しそうか？なら、もう少し時間をとっても……
智香,いえ、そういうことではなくてっ。……
P,……
智香,いえっ、話すことは、何もありません
P,智香……
智香,アタシの中で、これは決着がついたことですっ！。だから、アタシはもう大丈夫です☆
P,そっか……。ま、僕でなくても、ちひろさんになら相談出来ることもあるだろうし。智香がそれでいいのなら、それでいいよ
智香,はいっ☆。……。ところで、Pさん？
P,あ、今日はサマーバケーションの時のみんなで営業か。よし、僕の車に乗り込んでくれ
美世,はーい
智香,はーい☆
ケイト,オーケイ
若葉,は～い
美世,あっ、えっと、あたし……
智香,はいはい、若葉ちゃんが助手席ですねっ☆
若葉,きゃ～！か、抱えないでください～！
智香,若葉ちゃん、軽いですっ！
若葉,ちょ、ちょっと～！子ども扱いしないでください～！
智香,美世さんは真ん中です！
美世,ええっ？
ケイト,プロデューサーの車、真ん中の席に乗ると、プロデューサーの顔が見やすいンデスヨ
若葉,なんだか噂になってましたよね～。凛ちゃんやまゆちゃんが、こぞって情報を出し渋ってましたけど～
美世,ちょ、ちょっと、あたしは別に……
P,ん？なにやってんだ、みんなして
智香,さっ、早く座ってください！お仕事に間に合わなくなっちゃいますよ☆
P,そうだぞ。ほら、乗った乗った。ほら、ケイトも……
ケイト,……。プロデューサーはミヨのことが好きだというのを、知っている人は多くないデスガ……。ワカバはワタシと話したカラ知ってマスケド、トモカは知ってるのデショウカ？。そうでナケレバ、あんなコトはしないデスヨネ
P,ケイト？
ケイト,ン。今行きマスヨ
P,若葉、大丈夫？車酔いしてない？
若葉,も～！Pさんまで子ども扱いして～っ！
美世,……
ケイト,ミヨ？どうかしましたか、ソワソワしてマス
美世,えっ？な、なんでもないよ
智香,……。美世さん美世さん
美世,な、なあに？
智香,すーっ
美世,？
P,？
若葉,？
ケイト,ア……トモカが悪いカオをしていマスネ。ご愁傷様デス、プロデューサー、ミヨ
智香,美世さんっ★Pさんとどこまでいったんですかっ！！！
P,！？
美世,！？
若葉,あ、それ私も気になってたんです～
ケイト,ンー、アイドルとして相応しくはないデスガ、気になりマスネ
智香,さぁ、白状してください★美世さんも、Pさんもっ★
ケイト,トモカ、なかなか良い顔をするもんデス。オトナになった証拠でもあるのデショウ
美世,ちょ、ちょっと、Pさん！？
P,と、と、智香ぁっ！
智香,さぁさぁさぁ★。白状するまで、容赦しませんよ★
凛,……
加蓮,な、なに？どうしたの？凛、美世さんまで呼んで
美世,あれ、加蓮ちゃんも凛ちゃんに呼ばれたの？
加蓮,そーなんですよー。もう、どしたってのよ、凛は
凛,……。プロデューサー、喉が痛いんだけど嘘
P,なにっ。そいつはイカンな、今日のレッスンはやめにして、辛いようなら仮眠室で休みなさい。なんなら、今すぐにでも家まで連れて……
凛,……
P,り、凛？
凛,仮眠室で休んでくる……
P,お、おう
加蓮,凛、いきなりどうしたんでしょう？
美世,うーん？
加蓮,プロデューサー、なんか頭痛いの嘘
P,なにっ！？。だだだ、大丈夫かっ、まま、まずは熱を計ってだな、。そうだ！確かここにとっておきの秘薬……。バフ○リンだ！。さあ飲め、今すぐ飲んで、仮眠室で休んでなさい。仕事が終わったらすぐに車を飛ばしてやるからな！
加蓮,え、えーっと……。多分、薬飲んで寝てたら大丈夫だと思う……
P,そ、そう？
凛,さ、次は美世さんですよ
美世,り、凛ちゃん、顔が怖いよ……。PさんPさん、さっきのレッスンで足を痛めたみたいで……
P,んんなにいいいいいっ！？。イカン！ダメだ！立つんじゃない！。すぐに横になりなさいっ！
美世,え、い、いいよ。そんなに大げさにならなくても
P,ももももも、もしも、その足の痛みがエライことになって。ショック死でもしたら！。み、みみっ、みみみみ、美世ォ！
美世,ちょ、ちょっと！モバコインのプリペイドカードを天日干しにするのはやめてっ！
P,じゃ、じゃあ、すぐ横になりなさい！あっちで湿布を貼ろう！
美世,きゃっ、は、恥ずかしいよ……
凛,お姫様だっこ……！
加蓮,あー、なるほどね
美世,もう！Pさんったら！
P,だ、だって、美世が心配で……
美世,だからって、あんなのはやりすぎ！。い、嫌じゃなかったけど……
P,み、美世、痛いのはここか？ここなのか？
美世,ひゃっ、Pさんの手、冷たい！
P,しょ、しょうがないだろ。僕、冷え症なんだから
美世,もう、普段ちゃんとしたご飯食べてないんでしょ？
P,うっ……。そ、そりゃっ
美世,ひゃっ、冷たい！。Pさんのばかっ
P,いって
美世,ふふっ、もう……
P,なんだよ……
凛,……
加蓮,あー……凛、ほら、覗きなんてやめよ。ねっ
凛,……
加蓮,ほらほら
美世,Pさんは過保護すぎだよ
P,え、そうか？
美世,そうだよ……。でも、そんな優しいPさんが好きだよ
P,えっ？
美世,えっ？
P,え、えーっと
美世,？。！？。あっ！あ、あ、な、なんでもないっ！
P,み、美世
美世,や、やだ……顔、見られたくない。はずかしい……
P,そ、そっか。あはは、じゃ、僕、仕事に戻るから……
美世,う、うん……
P,足、大事にするんだぞ
美世,わ、分かったから！
P,……
美世,……。ね、Pさんっ
P,ん？
美世,栄養、ちゃんと取らなきゃダメでしょ？
P,あ、ああ……分かってはいるけど
美世,絶対そう言うと思った！
P,ぐっ……
美世,だから、そんなPさんに提案があるの。明日から、あたしがお弁当、作ってきてあげるから。だから、ご飯、テキトーに食べちゃダメ！。ねっ？
P,……。……あはは、美世も、なかなか過保護じゃないか
美世,Pさんほどじゃないよ！
P,そうか？
美世,そうだよ！でも、Pさんのこと、大切に思ってるのは本当だから。だから、あたしもPさんに対して過保護になるの。覚悟してよ？あたしの過保護なプロデューサーさんっ
P,あ、あぁ
美世,……どう？過保護に扱われるのって
P,……。いや、とっても嬉しいよ。誰かに大切に扱われるのは、窮屈だけど、嬉しいんだな……。でも、僕の気持ちは、美世には絶対に負けないからな
美世,あはは、なにそれ……
P,僕の方が、美世をずっとずっと思ってるってこと
美世,むっ、それは聞き捨てならないなっ。あたしだって負けないからね？。あたしだって、Pさんのことが大好きだから！
