・細かいミス等あると思います,なくすように努力はします
莉嘉,あ、そうだ！卯月ちゃん、なんなのあのデッキ！？
卯月,どの色のデッキを作るか迷ったので、全部混ぜちゃいました。えへへ
未央,それで回るんだからすごいよねー。私のデッキと何が違うんだろう
みく,卯月チャンのデッキはちゃーんと6色用に作られてるから、未央チャンのごった煮デッキとはいろいろと違うのにゃ
卯月,でも、今みたいにうまくいくことばかりじゃないですからね。莉嘉ちゃんが緑デッキで、私の小型スピリットを除去する手段を持っていなかったのが大きかったのかもしれません
莉嘉,緑の弱点ってそこなんだよねー。疲労させるのは楽チンだけど
みく,単色デッキだからこそのウィークポイントだけど、そのぶん忍風デッキのハマった時の展開力はすさまじいにゃ
卯月,トレインとラスタバンを引けてなかったらどうなっていたことか……
ちひろ,みんな難しいことを考えているのね
未央,私もこれ以上こみ入った話になるとついていけなくなりそう
みく,というわけで、他の人のバトルを見た感想はどう？
未央,うーん。とりあえず、6色デッキでもちゃんと戦えるってことはわかった
みく,いきなり真似しちゃダメだよ？
未央,しないってば。とりあえずは、みくにゃんが教えてくれた赤緑の構築で組んでみるから
ちひろ,まずは基本的な形から、ですね。私も始めてみようかしら、バトスピ
未央,仲間が増えるのは大歓迎だよ
みく,ちひろさんはどんなデッキで戦いたいの？
ちひろ,そうねえ……。相手に何もさせないような、そんな感じのデッキ？
みく,ロックデッキかにゃ？いきなり変化球な――
李衣菜,今ロックって聞こえたんだけど
未央,そのロックじゃないと思うよ
李衣菜,違ったか
凛,今回紹介するのは、卯月の使った6色混合デッキだよ
智絵里,莉嘉ちゃんの忍風デッキは、Wikiの情報が充実しているので……そちらを参考にしてください
凛,忍風デッキは環境トップクラスの構築だから、それだけ注目されてるってことだね。一口に6色混合デッキと言ってもいろいろあるんだけど、卯月のはムゲンドラゴン・ノヴァをメインに据えた構築だね
智絵里,ほぼ同じような使い方ができるメテオドライアンとセットで3枚ずつ入れていたはず……だよね
自分がアルティメットカードを召喚するとき、このスピリットに[赤]/[紫]/[緑]/[白]/[黄]/[青],召喚するアルティメットカードと同じ色のシンボル2つ
凛,違うのはバトル時にBPアップするのか相手スピリットを破壊するのかだけ。この2体は1作前でのアニメでの主人公たちの相棒だったりもするよ
智絵里,普通はスピリットソウル：∞を使って、アルティメットを召喚しやすくするためのサポートがメインのスピリットなんだけど……卯月ちゃんは、この子達にブレイヴをつけてアタックしていきます
凛,今回のバトルでも利用したネオ・ケルベロード。それともうひとつメインのブレイヴが、これ
自分の手札にある系統：,剣使
凛,バーストを破棄しながら相手スピリットを破壊できる強力なブレイヴだよ
智絵里,軽減に使える色がバラバラだから、普通はそこが使いどころの悪い点になるんですけど……
凛,その問題点をなくすための構築をしているわけだね。ムゲンとイアンは何色にもなれるからどんな色の軽減も満たせるし。それに加えて、このデッキの小型スピリットたち。ゲッコ・ゴレムやホムライタチといった、自身に他の色のシンボルを追加するスピリットを多く採用しているみたい
智絵里,今の環境なら、召喚時効果を無効にできるウバタマンもいいのかも……
凛,いろんな色のシンボルを一度に並べて、上に挙げたブレイヴを少ないコストで召喚する算段だね。ムゲンとイアンは何色のシンボルでも軽減ができるから、実はゲッコ・ゴレム1体出すだけで3軽減2コストで出せたりするんだよ
智絵里,意外と出しやすかったりするんだね
凛,次にアルティメットだけど、このデッキと相性がいいのはやっぱりアンタークかな
智絵里,卯月ちゃんも使ってたね
凛,ネオ・ケルベロードとかと一緒で軽減がばらけてる分、全部軽減できればノーコストで出せるから。Uトリガーも破壊とコアブーストで使いやすいね。マジックについては……いろいろ入れてるみたい
智絵里,ムゲンかイアンにブレイヴを付けられれば、どの色のマジックも2コスト軽減できるから……
凛,シンボル2つ分の色を自由に変えられるようになるのがポイントだよ。連鎖を確定で発生させられるから便利だね。とまあ、卯月デッキについてはこんな感じかな。弱点としては、小型スピリットを破壊されるとテンポがとれなくなること。あとはなんといっても、ムゲンとイアンにかなりの比重がかかってるから、これらが除去されると相当辛いってところかな。速攻デッキに対しては、ちゃんと対策を入れておけばどうにかなると思うよ。卯月が入れていたトレインとか、今ならシラヌイがいいかも
智絵里,環境トップに入れるほどの強力なデッキではないけど……でも、楽しい、よね
凛,そうだね。うまく盤面を作れれば面白いよ。まあ、それはだいたいのデッキに言えることなんだけど。ただ、案外その盤面を整えやすいといえばそうなのかも
智絵里,うん……というわけで、デッキ構築紹介でした
