こずえ,ぷろでゅーさー。ここー、こずえすわるー
美穂,うん。プロデューサーさんの私たちへの認識が……クラスダウンした！
卯月,まるで猫か犬にじゃれつかれているような感覚に置き換えた、ということですね
P,君たちさっきから目くばせだけで会話してない？
美穂,ど、どうしよう。これじゃあさすがに
卯月,……いいえ、逆です！
響子,逆……あ、そっか！そうしないといけないくらい追い詰められているってことだね！
美穂,つまり、プロデューサーさんの自己暗示を解くことができれば……？でも、どうやって
卯月,試したかったことがあるんです。いいですか？
響子,うん
美穂,お願い。卯月ちゃんに、任せるよ！
P,なんか会話が進んでいる気がする！怖い！
卯月,プロデューサーさん！
P,うわっ、な、なんだ卯月
卯月,私が初めてプロデューサーさんの膝に座った時のこと、覚えていますか
P,そんな昔のことじゃないよね。むしろ最近だよね
卯月,あの時……私思ったんです。プロデューサーさんの顔がとても近いなって
P,まぁ、近いかもしれないけど
卯月,このままプロデューサーさんの顔を、抱きしめられるんじゃないかなって
P,そんなこともできはする……けど……。……。ははは、ちょっと待て卯月、一度冷静になろう
卯月,冷静じゃこんなことできません！
P,できなくていいんだよ！
卯月,でも私、ずっと気がかりだった……！あの時！。未央ちゃんのおっぱいに反応したんじゃないのかって！だから！
P,シリアスな口調で言うのやめてくれない！？
卯月,確かめさせて……貰いますね
P,う、卯月……！。この胸に抱きしめられるだと……！？そんなことされたら……。いや、意志を保て！俺の花簪がこんちきちんなんて大問題なんだ！。自分を騙せ！ちょっと柔らかいクッションに顔をうずめるだけ……そう、そこは桃源郷でも何でもない、部長の三段腹だと！。あ、きっつ。よし、いける！
卯月,では、島村卯月、頑張ります！
P,何でブラウスのボタン外してるの！？
卯月,は、恥ずかしいですけど、プロデューサーさんを直に感じるためにはこうするしか！
P,必要ない！恥ずかしいならやらんでいい！
卯月,恥ずかしがるなんて誰でもできるもん！
P,その恥じらいは持ったままでいて！はにかみDaysを忘れないで！
卯月,恥じらいを捨てて世界が輝いて見えたの！
P,お前後で裕美に謝れ！！
卯月,プロデューサーさん……
P,だ、だめ……それはマジで……ダメ……
美穂,大丈夫です♡
響子,怖がらないで♡
美穂,プロデューサーさん♡
響子,Pさん♡
卯月,フーッ、フーッ♡
P,カヒューッ、カヒューッ。ゆっくりと、でも迷いなく卯月が近づいて……。俺の顔をその胸に抱え込んだ。――
卯月美穂響子,ピンクチェックスクール、いえーい♡
P,うっ、うっ……。こんなのよぉ……
響子,よしよし。大丈夫ですよ、Pさん
P,加害者に慰められるのって中々ない体験だよぉ……
美穂,それとも、こっちをなでなでしてあげた方がいいのかな……
P,頭に辛子蓮根詰まってんの！？
響子,美穂ちゃんだいたーん♡
P,お前らさぁ……俺の理性がぷっつんして襲っていたらどうするんだよ……
響子,んー……
卯月,それならそ・れ・で♡
美穂,きゃーっ♡
響子,やーん♡
P,もうこの子ら怖い！
卯月,でも、すっごく我慢してたんですよね
響子,三人で甘えた時にもう、そうなっているのかなーって思ったんですが
P,ノーコメント！
響子,次は私も、Pさん抱きしめてみたいです♡
美穂,え、そ、それじゃあ私も♡
P,次はない！
卯月美穂響子,えーっ
P,えーっじゃない！君らのためだなんだ言ってたけど、こっちの身体と精神が持たないの！
響子,そうですかぁ……
美穂,それじゃあ……
卯月,いま、続きします？♡
P,出ていきなさーい！！
卯月美穂響子,きゃーっ♡
P,陽が落ちるの早くなってきたから早く帰れよ！。はぁ、はぁ……。結局全敗だった……。まったく、興味がある年頃と言ったってなぁ。やれやれ、参ったもんだ……。…………。…………。帰ったら４Pモノ検索しよう
奏,……
美波,……
まゆ,……
奏,ふぅん……
美波,…………
まゆ,うふふふ……
P,！？
