※,このすば
アクア,カズマは自分がこう出来ればいいと考えたら、それが実際に出来るようになった。つまりは、それがカズマの能力って事ね
カズマ,お、おい、それが真実って言うなら、俺の能力の名称はどうなるんだよ？
ダクネス,まぁ、それは自分の能力だ。自分で名前を考え、決めるのが妥当であろう
カズマ,そうか…。う～ん。俺はゲームが好き。特にチートがお気に入り………よし、決めたぞ。俺の能力名は、チトチトだ！そして、俺はチトチトの実の能力者
めぐみん・ダクネス,……………………
アクア,プッ！あーはははは、チート～～？プークスクスクスｗｗ
カズマ,おい、何が可笑しい？俺自身で決めた能力名に何か笑う要素があんのか？！
アクア,だ、だってぇ～、狡賢く見えるカズマにはピッタリだと思ってぇ～～ｗｗｗ
カズマ,どういう意味だ、こらぁ～！！
アクア,アンタは知らないと思うけど、チートは直訳すれば、ズルとか騙すって意味なのよ！！
カズマ,はぁっ！？
アクア,でも、カズマが住んでた所のゲームじゃ、チートを使えば何でもアリだったわね？。なら、ピッタリじゃない。実際、空を飛ぶ、壁を走る、鉄壁の防御を簡単に打ち破る程の凄い力も出せたし、まさにこの世界ではチートと呼ぶにふさわしいと思うし
カズマ,だろう？くぅ～、それにしてもまさか俺自身がチートを使える日が来るとは、夢みたいだ！！
めぐみん,あのぅ、お二人だけが納得されても私とダクネスには理解不能なのですが…
ダクネス,あ、あぁ。で、さっきからカズマやアクアが言っているチート
カズマ,んっ、チートも知らねぇのか？
アクア,カズマー、異世界にはチートなんて言葉は存在してないから分からないわよ
カズマ,あぁ、そういや、そうだな。分かった、要約して説明すると………つまりは何でもアリだ
めぐみん,何でもアリとは？
カズマ,俺が考えたら全てその通りになるって事だよ。更に言えば、俺が空を飛びたいって考えれば空を飛べるようになったり、攻撃力をあげたいって考えたら攻撃力が本当にあがるとかな、それがチートだよ
ダクネス,なんだそれは！？卑怯で、なんというか無茶苦茶ではないか！？
アクア,確かそうかもしれないけど、まぁ役には立ちそうだし、いいんじゃないの！
めぐみん,それにしても自分が考えた事が実現する、能力なんて羨ましいですよ！！まさかに憧れ、言うなれば紅魔族の琴線に触れます！
カズマ,んじゃあ、俺の能力はこれではっきりしたな！
ダクネス,そういえば、アクア…私のメンバー入りはどうなる？
アクア,あ、そうね。その防御が戦いの時には絶対に有利になるし、ダクネスはメンバー入り決定よ
ダクネス,そうか、それなら良かった。
カズマ,これでメンバーは俺含めて四人。仲間を二人ぐらい増やす目的も達成できたな
めぐみん,それにしても、ダクネスの武装色は見事でした。しかも自分の能力に重ね掛けする事で防御力を向上させた所も良かったです
ダクネス,そうか。で、めぐみんも武装色の覇気は使えるのか？
めぐみん,武装色は使えませんが、見聞色は使えますよ
ダクネス,ほぉ、それは見事だな
カズマ,あ、あのさ？
ダクネス,むっ、なんだ？
カズマ,その、覇気ってヤツは一体なんだ？
ダクネス,なに、覇気を知らないのかっ！！？
めぐみん,あ、そういえば、それを聞いてませんでしたね！実はカズマ、覇気を伝えてもピンと来ないような顔をし、しかも覇気自体を見た事も聞いた事がない、という不思議な有様です
ダクネス,信じられないぞ……。この世界に住んでいる以上、覇気を知らなくては困るぞ！
カズマ,本当は転生して、この世界に来たばかりのよそ者だけどな
アクア,遠い場所でも覇気が知られず、使える者が極端にいないせいもあって覇気を知らないようなのよ、許して
ダクネス,そ、そうか。まぁ、そういう事情なら仕方あるまい。そして、カズマ………
カズマ,なんだ？
ダクネス,覇気を知らぬなら、私が直々に覇気を教えよう！
カズマ,えっ？！
ダクネス,遠慮はするな。ちょっと、近くの場所まで移動しよう…そこで存在する覇気とその効果について教える
カズマ,ふわぁ～。俺はもう疲れてんだ。教えるなら、手短に頼んだぞ
ダクネス,分かった、分かった。とりあえず、私についてこい！
カズマ,ここはジャイアント・トードの巣がある所じゃねえか…大丈夫なのかよ？
ダクネス,心配ない。出てきたところで私が盾になってお前を守ろう、私は粘液まみれにっ/////
カズマ,おーい、ダクネスー？
ダクネス,おっと、悪いな。で、カズマ、お前に今から覇気の説明をするが、その前に条件がある？
カズマ,一応聞いてやる、なんだ？
ダクネス,その、先ほどのお前が私の鉄壁の防御を破って吹き飛ばしたのがあるだろう？
カズマ,あぁ。俺のチトチトの力で俺がダクネスを越える力を発揮して吹き飛ばした、アレな
ダクネス,また後で、同じのをやって貰いたい…それが条件だ
カズマ,なんだ、俺に吹き飛ばされた感覚が癖になったのか？
ダクネス,そうｄ……って、違うぞ！？
カズマ,今、そうだって言いそうにならなかったか？
ダクネス,気のせいだ。私がお願いした理由は絶壁の防御を更に鍛え上げる為だ
カズマ,はいはい、そういう事にしといてやるよ
ダクネス,で、どうなのだカズマ？
カズマ,いいだろう。変な性癖は別として、お前の修行には付き合うよ
ダクネス,やってくれるか！！ありがとう、カズマ。では、条件通り覇気を教えるとしようか
カズマ,あぁ。頼む
ダクネス,まずは、覇気についてだ。覇気はいわば、この世界における特殊能力だ。そして、覇気は基本的に世界中の全ての人が持っていて、それを開花させるには鍛錬が必要され、実際に体得する人物は極一部だけだ。だが、覇気を習得したとて必ず討伐や戦いが優位に運ぶわけではない。時には上手く使いこなしたり、応用することも必要だ。更には覇気は、鍛えれば鍛える程、熟練度が増し、更に強力なものとなる、それが覇気だ！
カズマ,なんだか長いし、難しいから良く分かんないけど、能力であって凄いって事だけは伝わったよ
ダクネス,そして、次に覇気の種類を説明しよう
カズマ,種類？
ダクネス,覇気は3種類の色
カズマ,3種類も！
ダクネス,そうだ。一つは…
ジャイアント・トード,
カズマ,うわっ、いつの間にジャイアント・トードが一匹来てるぞ！？
ダクネス,ちょうどいい。カズマ、これから私が実際の覇気を見せてやる。良く見ておけ？
カズマ,えっ？
ダクネス,まずは最初に私が見せた武装色の覇気
カズマ,ぶ、武装！？確か、めぐみんが言ってたな？
ジャイアント・トード,
カズマ,捕食する気か！
ダクネス,武装硬化！！。ふんっ
カズマ,っ！？
ジャイアント・トード,
ダクネス,ふう、どうだったか？
カズマ,す、すげぇ…。ジャイアント・トードの舌を硬化したパンチで殴り返し、その衝撃でジャイアント・トードを倒すなんてなぁ…
ダクネス,見たか。これが武装色の覇気……体に見えない鎧のような力を作り出す覇気だ
カズマ,見えない鎧って響きがカッコいいな！けど、ダクネスは鎧だらけじゃねぇか？
ダクネス,よ、余計な事は言わなくていい！？。で、武装色の覇気は私が最初に使用したように防御だけでなく、先ほどみたいに攻撃にも転用できる
カズマ,防御と攻撃が同時で出来るなんて益々かっこいいな！！
ダクネス,それだけではないぞ。応用すれば武器に纏わせて威力を上げたり、上達させれば私にみたいに全身に纏わせて硬化させることも可能になるぞ
カズマ,おぉーーーー！！！
ダクネス,だが、一番の醍醐味は、悪魔の実の能力者の弱点を突くことを除けばこの覇気が唯一の対抗策となりえる事だ
カズマ,なんだと、一体どういうことだ？
ダクネス,そのままの意味だ。攻撃を無効化する能力なら攻撃を容易に当てられるという事だ。また、能力者の攻撃も防げるぞ
カズマ,なんと、武装って覇気は本当に便利で、凄いんだな！！
ダクネス,ただし、使用し過ぎるとしばらくは覇気が使えなくなるからそこは要注意だ
カズマ,成る程な
ダクネス,では次は二つ目の覇気見聞色の覇気
カズマ,見聞色？そういえばさっき、めぐみんが使えるとか言ってたけど？
ダクネス,めぐみんも使えるようだが、今回は私が実際に見せよう
カズマ,ダクネスは、その見聞色を使えるのか？
ダクネス,もちろん、使えるぞ。
ジャイアント・トード,
カズマ,ゲッ！？今度は別の方から二匹のジャイアント・トードが！？
ダクネス,タイミングが良いな。では、見聞色の覇気を見せてやろう
カズマ,おい、なに目を瞑っｔダクネスいいから、黙って見ろ
ダクネス,ふむ。片方のジャイアント・トードが口を開けて私を食べようとしているな
ジャイアント・トード,
ダクネス,だが、当たらんぞ
カズマ,なっ！？
ダクネス,そして、もう一方は舌で捕食しようとしているな
ジャイアント・トード,
ダクネス,甘いな！
カズマ,えええぇぇーーー、目を瞑ってるはずなのに、軽々とジャイアント・トードの攻撃を交わしてるっ！！？
ダクネス,見たか？。これが。見聞色の覇気……。相手の気配をより強く感じる覇気…。だ！
カズマ,すげぇー。余裕で避けながら説明までしてんなぁ……。
ダクネス,よっと！。でな、この力は高めることで視界に入らない相手の位置や数を把握したり、相手が次の瞬間に何をするか先読みしたりすることが出来る！
カズマ,うぉっ、なんだそれ！？夢にまだみた予知じゃねぇか！？
ダクネス,予知、という単語は別として、更に鍛え上げれば相手の力量を見極める事はおろか、少し先の未来まで見る事が可能となるのだ
カズマ,本当に未来予知だ！！便利だな、見聞色も
ダクネス,まだあるぞ。相手の心や感情さえも読み取る事が出来る。しかも見聞色は生まれ付きか、戦いでの極限状態に見に付くともされている。だが、冷静でないと上手く発動しないからな、気を付けろ
カズマ,あぁ、分かった！。って、あれ待てよ？
ダクネス,どうした？
カズマ,いや、実は以前、めぐみんも……
めぐみん,ですから、心配はないと言っているじゃないですか。この程度は………。簡単に避けれますよ
ジャイアント・トード,
めぐみん,次はもう片方からですか。
ジャイアント・トード,
めぐみん,今度は自慢の長い下で捕食する気ですか？ですが…
ジャイアント・トード,
めぐみん,そのようなものは私に通じませんよ
カズマ,軽々とジャイアント・トードの攻撃を先読みするかのように交わしていたけど、あれも？
ダクネス,あぁ、違いないだろう。回想でめぐみんが使用していたのも正真正銘、見聞色の覇気だな
カズマ,で、最後の三つ目の覇気はなんだ？
ダクネス,あぁ。それなんだが、
カズマ,ん？
ダクネス,三つ目の覇気は、使える者が非常に少ない上に珍しいため、一般に武装色や見聞色の2種類を覇気
カズマ,どういう事だよ？分かるように説明しろ？？
ダクネス,まぁ、つまりだな……その……
カズマ,おい、ダクネス？
ダクネス,あぁー、とにかく、カズマ。お前に三つ目の覇気を教えるには早すぎる…ではない、無理だ！！
カズマ,はぁっ！？
ダクネス,と、とにかく、今私が教えた二つの覇気を習得してもらおう
カズマ,おい、話を変えるｎ…って、お、俺も出来るのか？！
ダクネス,？……当たり前だろ。ただし、とことん鍛え抜かないといけないからな……覚悟はしておけよ
カズマ,あ、あぁ…。んっ？
ジャイアント・トード,
カズマ,うわぁっ！！？い、いつの間にか俺の周りに二匹集まってるぅっ！！？
ダクネス,カズマ！私を盾ｎカズマ出来るか！！
カズマ,逃げろーーー！！
ダクネス,あ、おい、カズマ！？
ジャイアント・トード,
カズマ,ぎゃああああぁぁーーー、追いかけてきたああぁぁーーー！？
ダクネス,慌てて逃げるからだ！カズマー、走らずに止まれ。そして、私が来るまで何とか持ちこたえてくれ！
カズマ,そ、そう言われてもなぁ～！？
ジャイアント・トード,
カズマ,うおっ！？
ジャイアント・トード,
カズマ,よっと！？
ダクネス,見聞色ではないが、見事な反射神経だぞ、カズマ！
カズマ,感心してないで、早く来て助けてくれぇ！！
ジャイアント・トード,
カズマ,よっ！。あっ！ヤベッ、舌に引っ掛かって！？
ダクネス,カズマ！？
カズマ,イタタ…。あっ！！
ジャイアント・トード,
カズマ,うおっ！舌が俺の方に向かって！。くっ………俺はこのまま捕食されて！！
ダクネス,カズマアアアアアアァァァァーーーーーーーーッ！！！！？
カズマ,くっそおおおおおおおぉぉぉぉぉーーーーーーーっ！！！
ダクネス,っ！！？
ジャイアント・トード,
カズマ,…………………あれ？
ジャイアント・トード,。
カズマ,…………………なっ！？。え、なんでジャイアント・トードが倒れたんだ……。えっ、えぇと…………。…………………なっ。なんじゃこりゃあああああああぁぁーーーーーー！！！？？
ダクネス,…………………。ハッ！？。カズマ！！
カズマ,え、なんで急に倒れたんだ、意味不明だ！？つーか、ジャイアント・トードが白目向いてて、気持ち悪いわ！？
ダクネス,おーい、カズマーー！！
カズマ,モンスターが白目向いてんの初めてみたわ！！大体、俺がなんにもしてないのに勝手に倒れるなんてアリか、アリなら誰か言ってくれえぇー！？
ダクネス,…………どうやら気が動転してて、聞こえないようだな。それにしても、これは一体どういう事だ！！。カズマから突然発せられたあの威圧………まさかのアレ。本当に何がどうなっているのだ！カズマにアレ。面白くなりそうだ/////。まったく普通の奴だと思っていたはずが、実はとんでもない素質があったとはなぁ…。カズマ、お前はどこまで私を興奮させたら気が済むのだっ！？/////
カズマ,なんでだあああぁぁぁーーーーーーーっ！！？。も、戻ったぞぉ～
めぐみん,あ、カズマ。覇気の修行は、どうでした？
カズマ,疲れた…。ってか、訳わかんねぇ
アクア,何があったのよ？
カズマ,………
アクア,ちょっとぉ、無視しないでよ！？
ダクネス,まぁまぁ。カズマは今日ある覇気の修行中にある事があって、驚いている内に疲れただけだ。
めぐみん,ある事？
アクア,何に驚いてたのよ？
ダクネス,そうだな…。まぁ、後々のお楽しみという事にしておいてやろう。今は何も聞くな
アクア,ダクネスー、もったいぶらずに教えなさいよ！！
めぐみん,そうですよ、気になるではありませんか！？
ダクネス,なに…そのうち分かる。凄い事だ
アクア・めぐみん,はぁっ？！
カズマ,ZZZ………
ダクネス,クエストの合間を縫って、覇気の修行を付けているが、そろそろ武装色と見聞色は習得できただろう？
カズマ,あぁ。とりあえず、見聞色はなんとか物になったけど、武装色がまだなんだよな…
ダクネス,そうか。そういえば、武装色と見聞色の他に、アレの兆候が見れていない…。最初に修行を付けた時にカズマがジャイアント・トードを2匹気絶させたのは間違いなくアレなのだが、それ以降はここ数日、全然発動しなかった。……………私の気のせいだったのだろうか…。
カズマ,なんだ！？
ダクネス,むっ、これは！！
受付嬢,ルナ
カズマ,この声、あの受付のお姉さんだよな？
ダクネス,この時期に、正門集合と冒険者全員に呼び掛けるこのアナウンス……間違いないな
カズマ,はぁっ？なにがだよ？
ダクネス,知らないのか？あ、カズマは遠い所から来たばかりだったな…
カズマ,なんだ？この時期にアクセルの街に何かあんのか？？
ダクネス,説明するより見せた方が早い。カズマ、私らも正門に急ぐぞ！
カズマ,あ、おい、ダクネス！？
ダクネス,おー、今回もたくさんの人が集まっているな
カズマ,なんだ、凄い数の冒険者たちが！？
アクア,あ、カズマ。それにダクネスも！！
カズマ,アクア、お前も来てたのか？
アクア,もちろん。この世界の収穫イベントだもん。参加するに決まってるじゃないの
カズマ,収穫イベント……なんの収穫だよ？
ダクネス,それは見た方が早いと言っただろ？おっ、そろそろ来る頃だな
めぐみん,嵐が、来る…
カズマ,って、めぐみんも居るのかよ！？しかも一番前に！！
冒険者たち,収穫だああぁぁーーー！！！
カズマ,おわっ、びっくりしたぁ！？お祭りみたいな騒ぎだな！
アクア,マヨネーズ、もってこーい！
カズマ,お前も祭り騒ぎかよ！？ってか、マヨネーズって！！？
ダクネス,来たぞ、カズマ。あれだ！！
カズマ,んーっ？。なんだ、なにか緑のような物がたくさん……！？
キャベツ,きゃべきゃべきゃべ、つーーーーーーーー
カズマ,なんじゃこりゃああぁぁーーーー！！？キャベツが大群で空を飛んでるぞ！？
ダクネス,そうだ、これこそが冒険者たちが正門に集まった理由。そう、この時期にだけ現れるキャベツの収穫イベントだ！！
カズマ,マジかよ！！
アクア,この世界のキャベツは飛ぶわ！味が濃縮してきて、収穫の時期が近づくと簡単に食われてたまるかとばかりに。街や草原を疾走する彼らは、大陸を渡り、海を越え、最後には人知れぬ秘境の奥で誰にも食べられずにひっそりと息を引き取ると言われているわ。私達はひと玉でも彼らを捕まえて美味しく食べてあげようってことよ。
カズマ,この世界のキャベツ、半端ねえなぁ～。
受付嬢,ルナ
カズマ,俺、もう帰って寝てもいいかな？
ダクネス,逃げるのは男らしくないぞ、カズマ。見ろ、女の私を！！
カズマ,あっ！
キャベツ,きゃべつーー
男,うわああぁーー！？
ダクネス,はああああーーー！！。ぐふぅっ！///
男,！？
ダクネス,くっ。ここは私が、今のうちに離れろ
キャベツたち,きゃべきゃべーー
ダクネス,ぐはぁーーっ！///
カズマ,ダクネスウウウゥゥゥゥーーーー！？
ダクネス,鉄板に武装硬化………鉄壁の防御。これなら、どうだ！！
キャベツ,きゃべつーーー
ダクネス,ぐっ！？先ほどの痛みが無いが、当たった時の振動が凄まじいっ！///
男,む、無理だ！せめて、あんただけでも逃げてくれ！？
ダクネス,バカを言うな。倒れたものを見捨てるなど・・・出来るものか？！
冒険者A,騎士の鏡だ！
冒険者B,おぉ…
クルセイダーA,俺も騎士として見習わなければ
女,例え大変だと分かっていても、人を守るなんて…
カズマ,ダクネス、お前って奴は……んっ！？
ダクネス,むくつけき男達が私の肌を見て興奮している！何という辱め！汚らわしい！たまらん！/////?
カズマ,よ、喜んでる！？
冒険者たち,頑張れーーーー、金髪クルセイダーーーー！！！
カズマ,違う。皆、誤解してるぞ！！
めぐみん,ふふふ、あれほどの敵の大群を前にして、能力による爆裂技を放つ衝動が抑えられようか！いや、ない！
カズマ,いや、あるよ！？
めぐみん,エクスプロージョン！
冒険者C,うわああぁぁーーーー！？
冒険者D,ひええええぇーーー！？
めぐみん,まとめて、ダブルエクスプロージョン！！
カズマ,キャベツだけじゃなくて、皆やダクネスまで巻き込んでるぞ！？
めぐみん,ナイス爆裂！
カズマ,いや、ナイスじゃねぇよ！？
めぐみん,むっ！まだ大群が残っているようですね…
キャベツたち,きゃべきゃべきゃべ、つーーーーーーー
冒険者E,お、おい、今年のキャベツ、ヤケに多くねぇか！？
冒険者F,きっと、いつもより育ち過ぎて、かなり繁殖してるんだ！！
キャベツたち,きゃべつーーーーーーーー
クルセイダーA,うわぁっ、やっぱ多すぎる！？
女,しかも攻撃もいつもより激しいし、痛い！
男,これ以上は無理だ！
受付嬢,ルナ。ルナ
ダクネス,うおおおぉぉーーー、私は一歩も引かんぞ！もっとだ、もっと来い！！??
アクア,逃げたら、女神の名が廃るわ！！
めぐみん,まだまだ撃ちますよ、エクスプロージョン
カズマ,お前ら……
冒険者G,見ろ、あいつら！最後まで立ち向かい続けるなんてカッコいいぞ！
冒険者H,最高だああぁーーーー！！
めぐみん,むっ、カズマ、危ない！？
カズマ,えっ？
キャベツ,きゃべつーーー
カズマ,ぐはっ！？
キャベツたち,きゃべきゃべきゃべ、つーーーーーーーーーー
カズマ,って、おい、今度はなんで俺の方に一斉に来るんだよ！？
キャベツたち,きゃべつーーーーーー
カズマ,うおおぉぉーーー！！
めぐみん,そういえば、同じ色の物って愛着が湧きますからねぇーｗｗｗ
ダクネス,笑っている場合ではない！！カズマを助けに行くぞ！
冒険者I,見ろ、キャベツの大群が全員、あの冒険者を追ってるぞ！
冒険者J,どうなるんだ？！
カズマ,おわっ！？
アクア,あ、カズマがこけたわ！
カズマ,イタタ………あっ！？
キャベツ,きゃべつーーーーーーーーー
めぐみん,大変です！？このままですと、カズマがキャベツの一斉攻撃を！？
ダクネス,そ、それは羨ま、ではなく大変だ！！
キャベツたち,きゃべきゃべーーー
カズマ,うっ………や、ヤバい！？
ダクネス,カズマアアアアァァァーーーーーーッ！！？
カズマ,うわああああああぁぁぁぁぁーーーーーーーーーーーーーっ！！！
ダクネス,っ！？
アクア,っ！？
めぐみん,っ！？
冒険者たち,っ！！？
受付嬢,ルナ
キャベツたち,
冒険者たち,
めぐみん,
カズマ,………………………んっ？
キャベツたち,
めぐみん,
キャベツたち・,一部の
カズマ,……………………はぁっ？！。な、なんだよ…。キャベツが、いやキャベツだけじゃない……周りの奴らとかめぐみんが気絶してる！？なんでだ！！？
冒険者A,お、おい……今のって！？
冒険者D,う、嘘だろ！？まさかこの街にあんなどえらい奴がいたとは！？
アクア,…………ねぇ、ダクネス
ダクネス,なんだ？
アクア,今、カズマが……アレを発動させたんですけど！？一体、どういうことよ！！
ダクネス,ここ数日兆候を見ないため、私の気のせいかと思ったが、やはり本当に使えるようだな…
アクア,えっ、なに、ダクネス…知ってたの！？
ダクネス,あ、あぁ…。覇気を教えたその日に、ジャイアント・トードを一気に気絶させたんだ、カズマは…。それで確信してた訳だ
アクア,ちょ、ありえないんですけどぉ！？あんなヒキニートにアレの素質があるなんておかしいんですけど！！？
ダクネス,いや、人は見た目ではない。時には大きな才能や実力を発揮するものさ
カズマ,一体、なにがどうなってんだ！？
ダクネス,カズマ！！！
カズマ,だ、ダクネス…？
ダクネス,お前、やはり素質があったようだな
カズマ,へっ？
アクア,あ～あ、脳までヒキニートだから素質
カズマ,おい、こら！！
ダクネス,カズマ…お前に襲い掛かったキャベツ、周りの冒険者とめぐみんが気絶したのはお前自身がやった事だ
カズマ,はぁっ！？
ダクネス,そして、本当に素質を秘めていたようだ……………覇王色のな！
カズマ,は、覇王色？？
ルナ,…………………凄い！！。まさか、アクセルの街で覇王色の気質を秘めている者がいて、それがまさかのカズマさんとは……。これは興味深いです。ステータスが幸運の高さだけというカズマさんの、今後の活躍にかなり期待を寄せられそうです。
カズマ,おっ、美味い！！まさかキャベツがこんなにも美味いとは驚きだな！
めぐみん,いえ、驚きなのは貴方ですよ、カズマ…。
カズマ,俺が？
めぐみん,私は気絶してしまいましたが、その直前に感じたあの威圧……間違いなく噂に聞いた覇王色の覇気でしたよ！！
カズマ,そういやあ、その…覇王色ってなんだよ？
ダクネス,お前に覇気の説明をしていた時、最後の三つ目の覇気だけ説明してなかったのは、覚えているな？
カズマ,あ、あぁ…。確か、お前あの時、勿体ぶって教えてくれなかっただろ。えっ…って事は最後の三つ目って、その覇王色なのか？！
ダクネス,あぁ、そうだ！だが、勿体ぶったのではない！！お前に敢えて教えなかっただけだ！
カズマ,どうしてだよ？
ダクネス,この際、素質あるお前には教えるしかないが、覇王色の覇気は数百万人に一人しか素質を持たないとされ、故に見聞色や武装色と違って皆が簡単に習得できるような覇気ではない為だ！
カズマ,す、数百万人に一人だとっ！？
アクア,だから、アンタが覇王色の覇気を発動させた時は、驚きだったのよ！。よりによって、アンタみたいなヒキニートが、覇王色の覇気を秘める凄い素質だって事も信じられないわよ
めぐみん,ですが、私たちのメンバーの中にあの覇王色の覇気を使える者が居るって事に関して紅魔族の琴線に触れますよ！。なによりもそれがカズマだと知ってだけでも、私は感動ですよ！！
カズマ,さっきから聞いてるけど、俺そんなに凄いのか…？
ダクネス,当たり前だ。覇王色の覇気を使えるのは王の資質を持つとも言われ、過去にこの世界で名を上げた大物や伝説を残した者でさえこの資質を備え、覇王色の覇気を使っていた、という逸話もあるくらいだぞ！
カズマ,マジかっ！？
ダクネス,覇王色の覇気は敵を威圧し、場合によっては気絶させる事も出来る。使いこなせば、たくさんの者を簡単に気絶させる事も可能だ…それこそ、三万いや、10万人くらい出来るかもしれない
カズマ,すげえぇっ！？だから、ジャイアント・トードとかキャベツとか冒険者とかめぐみんが気絶したんだな…。
アクア,でも、あれはまだ使いこなせていないわね…
ダクネス,そうだな。ピンチになって偶発的に発動したって訳だからな
カズマ,そうか。それで、俺は普段から発動できないのか
めぐみん,それでも、資質を持つと分かれば、かなり収穫ですよ。後は修行あるのみです
ダクネス,だな。あ、カズマ…もう一つ付け加えるが、覇王色の覇気は普通の鍛錬では強化されない。いわば、当人自身の人間的な成長でしか強化されないから、これからお前がそこをどう成長していくかも鍵になる。心しておけよ
カズマ,お、おう…。
アクア,本当に大丈夫なのかしら？
ダクネス,とにかく、明日から覇気の修行は覇王色も前提に私が引き続き指導しよう
カズマ,分かったよ
アクア,それにしても、キャベツを他の奴らにも山分けし、報酬も分配で支払われるとはねぇ…。
めぐみん,どうしたんですか、アクア？
アクア,どうしてもこうしたもないわよ！？カズマが全部キャベツを気絶して収穫したのに、ほぼ独り占めしたら他の冒険者たちの分が無くなるから山分けっていうのが納得いかないんですけど！？
ダクネス,仕方がないだろ。私たちだけが他の者よりたくさん報酬を受け取るのも不公平、というしな
めぐみん,それより私はまだ足りないですよ。流石にキャベツだけというのもアレです……出来ればもう少し別の料理も食べたいのですが…
ルナ,でしたら、私が振る舞いましょうか
めぐみん,えっ？！
ルナ,こんにちは♪
カズマ,あ、受付嬢のルナさん。
ルナ,はい
アクア,いきなり乱入するなんてびっくりするじゃないの！？
ルナ,すみません…。
ダクネス,ところで…私が振る舞いましょう、というのは一体どういう事だ？
ルナ,そのままの意味ですよ。
カズマ,丸太？
めぐみん,そ、それのどこが料理なんですか！？
ルナ,ここからです。見てて下さいね
カズマ,なにぃっ！？
アクア,ええぇーーっ！？
めぐみん,な、なんと…ただの丸太がハムに！？
ダクネス,まさか、貴方も能力者なのか？！
ルナ,えぇ?。私はショクショクの実の能力者の食材人間です！。包丁を使用した時だけですが、丸太や石など食べれない物を食材に変えることが出来ます
めぐみん,す、凄いです！？こんな便利な能力があるとは……紅魔族の琴線に触れますよ！！というか、食べていいですか？
ルナ,どうぞ
めぐみん,では遠慮なく…
ダクネス,お、おい、めぐみん！？
めぐみん,
カズマ,食っちゃったよ…
めぐみん,
アクア,ど、どうせ元は丸太なんだし、いくらハムに変えたとはいえ、味まで変えられるはずが……
めぐみん,美味しいですっ?/////
ダクネス・アクア・カズマ,えええぇぇーーーーーっ！！？
めぐみん,本当にハムの味ですよ、これは！！
ルナ,えぇ?見た目だけでなく、味も変えられます
カズマ,マジかっ！？
アクア,どれ……。！！………うん、美味いわ///
ダクネス,ほんとだな。確かにハムの味……いや、ハムだ！
カズマ,すげえ！本当の食材に変えられる能力なんて、夢のようじゃねぇか！。ってか、これなら食うに困らねえだろ！？しかも食費も掛からないし、普通にある石や丸太だけで食材に変えられるから便利すぎる！！
めぐみん,これならば、料理を作る人になれるのではないですか？
アクア,確かにそうね
ダクネス,なぜ貴方は、シェフにならなかったんだ？
ルナ,し、シェフなんて私には向けてませんよ！？せいぜい受付の仕事で十分なくらいですよ！
カズマ,でもな……
ルナ,それに私はあまり能力を行使したくはありませんし…。
アクア,なぜよ？
ルナ,もちろん、それは私が能力で生み出しただけの物だからです。本来の料理は採ってきた食材で作りだす物です。そして、シェフが頑張って作ったからこそ本当に美味しく頂き、ギルドを訪れる者の胃袋を満たせるのです。ですから、私が能力で生み出したのは物ではギルドを訪れる人の胃袋を満たせるなんて出来ません……シェフが手間を掛けて頑張って作り、振る舞う事こそ本当の料理であり、ギルドを訪れる人に笑顔を届けられると私は思うんです
カズマ,立派だ、この人！？
めぐみん,かっこいいです///
ダクネス,うむ。ここまで人の為に考えられる者はそういない。
アクア,生意気だけど、その心意気だけは褒めてあげる。感謝しなさいよ
ルナ,本来、私は能力を使わないんですが、今回だけカズマさんを労う為に行使した次第です
カズマ,マジで！？俺の労う為って言うのが嬉しいんだが！？
ルナ,見ていましたよ。覇王色の覇気を使うカズマさんを……王の資質を持つ者がこの街に来た、というのは救いです。ですから、今後の期待も込めて今日だけ私が料理を振る舞いますね
アクア,やったわーーー、食べ放題よ♪
めぐみん,ハムだけでは足りません。もっと厚めで、高そうな肉を所望します！！
ダクネス,おい、いくら能力で出せるからタダと言っても、少しは遠慮というものをしろ！？
カズマ,まぁまぁ、せっかくルナさんが労ってくれるって言うんだから今回だけは好意に甘えようぜ
ダクネス,まったくお前は、すぐに調子に乗る…。いいか、いくら覇王色の覇気の素質を秘めるからといって、驕り高ぶるような事はするなよ？
カズマ,分かってるって！
ダクネス,本当に分かっているのか…？。さぁ、カズマ。今日も覇気の修行を始めるぞ
カズマ,やれやれ、今日もか…。
ダクネス,今日もか、じゃない！？完璧になるまでやるんだ！！
カズマ,だからと言って、毎日はきついぜ…。それに、覇王色だっけ？。数百万人に一人しか見に付けない覇気とやらを、使えないお前がどう教えるんだよ？
ダクネス,ふっふっふ。本当の事を明かすが、実は私も覇王色の覇気が使える
カズマ,はぁっ！？嘘だろ？！
ダクネス,嘘ではない、本当だ！なら、ちょうどいいところに実験体が来たようだ。実際に見せてやろう
ジャイアント・トード,
カズマ,うおっ、いつの間にジャイアント・トードが！？
ダクネス,今から私はあいつに覇王色の覇気を使う。良く見ておけよ？
ジャイアント・トード,
ダクネス,フン！
カズマ,！？
ジャイアント・トード,。
カズマ,なっ………あ………あぁ…………
ダクネス,どうだ、これで信じてくれるか？
カズマ,あ、あぁ……。確かにダクネス、お前が覇王色を使えるって事は分かった…。だけど、ダクネスも覇王色の覇気を使えるって、お前何者なんだよ！？
