モバマス初めて七か月くらいなのでおかしな点,アイドルの口調、キャラなど
美嘉,そ、そうかな？
莉嘉,そうだよ★だってお姉ちゃんだもん♪
美嘉,そう言ってもらうと嬉しいか、かな？じ、じゃあ一緒に着替えようか？
莉嘉,？お姉ちゃん、やっぱりさっきから変だよ？
美嘉,そんなことないよ？ほらっ、試着室に入るよ
莉嘉,うーん...？
凛,私たちはそれぞれ別の試着室で着替えようか
蘭子,そうですね
美玲,プロデューサー覗くなよ！！
P,そんなことしないって
莉嘉,どう、お姉ちゃん似合う？これP君に選んでもらったのなんだけど
美嘉,うんうん、可愛いよ莉嘉♪プロデューサーのセンスもなかなかだねっ♪
莉嘉,へへっ、やったー♪お姉ちゃんは着替えないの？
美嘉,へっ！？あの...ほらっ！莉嘉はプロデューサーに見てもらってきたら？その間にアタシが着替えるから。その間にこれをどうにかしないと...
莉嘉,.......やっぱり変、お姉ちゃん何か隠してる！！最初と言ってることが違うし！
美嘉,ギクッ！！な、なんのことかなっ？
莉嘉,今ギクッ、ってしたー！！それにさっきからずっと持ってきた下着を手で隠してるし！
美嘉,いやっ、あの...これはね？...あっ！？。あれを落としちゃった！！
莉嘉,あれっ？これって...ふふーん♪なーんだ、そういう事かー♪
美嘉,ち、違うんだからね、莉嘉っ！？それは間違って持ってきて...
莉嘉,アタシには隠さなくてもいいのに★さすがお姉ちゃん！ぐいぐい攻めるね♪さあ、さあ着替えて着替えて
美嘉,だ、だから～...
莉嘉,JKなら大胆にいかないと★蘭子ちゃんと凛ちゃんに負けちゃうよ？
美嘉,う～...
莉嘉,お姉ちゃんすっごい決まってるよ♪これならP君もイチコロだよー♪
美嘉,そ、そうかな？サイズをよく見てなかったから胸が少しゆるいんだけど
莉嘉,全然問題ないよ★さっ、P君に見てもらおうよ♪
美嘉,待って莉嘉！アタシはそんなつもりじゃ...
莉嘉,ほらほら、早く早く★
美嘉,ちょっ、押さないで！...あっ！
P,蘭子と凛に似合ってるか感想を聞かれているが...俺その度に二人の下着姿を見ているんだよな...ファンに殺されないか俺？。二人は着替えるために試着室に戻っている。そういえば美嘉と莉嘉の試着室はさっきから賑やかだな？
莉嘉,ほらほら、早く早く★
美嘉,ちょっ、押さないで！...あっ！
P,
美嘉,...ほ、ほらっ、プロデューサー、今のアタシ最高にイケてる感じ？なーんちゃって、あ、はは...
P,多分美嘉は莉嘉に押されて試着室から出されたんだろうが、なんで蘭子や凛が着ていたガーターベルト付きの下着の赤いやつを着ているんだ...？
莉嘉,ねえねえ、P君どう？
P,あ？...ああとても似合っている。素敵だよ
美嘉,そ、そう？嬉しいなー...
P,美嘉にその下着が似合っているのはもちろんだが、今の恥らっている美嘉の表情がまたいい。いつもの勝気なところを知っているぶん、そのギャップが相まってさらに魅力的だ
莉嘉,へぇー★そうだって。良かったね、お姉ちゃん♪
美嘉,...
P,しまった！？美嘉の姿に圧倒されてまた馬鹿正直な感想を...。美嘉？気に障ったのなら...
美嘉,本当に？
P,へっ？
美嘉,本当にそう思った？
P,...本心だよ。正直に言い過ぎて美嘉に謝ろうかと思ったよ
美嘉,そっか...へへっ、ありがとうねっプロデューサー★嬉しいよ♪それに怒ってなんかないよ？...でもあんまり褒められ過ぎると恥ずかしいかな？褒め殺しだよ
P,美嘉が傷ついてないんなら良かったよ。...恥ずかしがらせてゴメンな？今日は美嘉に謝ってばかりだな
美嘉,ふふっ、へーきだからプロデューサーも気にしないで。素敵って言ってくれてホントありがとう...じゃあさすがに恥ずかしさが限界だから着替えるね
P,あぁ...美嘉っ、段差！
美嘉,えっ？...あっ！？
P,...っ
美嘉,...あれ？
P,ふぅ～、間に合った...。後ずさりしていた美嘉が試着室の段差に躓いて後ろ向き倒れそうになったが、駆け寄って倒れる前に抱きかかえることができた。大丈夫か美嘉？怪我はないか？
美嘉,うん...大丈夫だよ。ありがとうプロデューサー
莉嘉,大丈夫お姉ちゃん！？...お姉ちゃん胸、胸っ！？
美嘉,胸？....あっ！！？
P,...んっ？...あ...。ブラがずれて美嘉の胸が....ポロリと...。その...本当にごめん
美嘉,......っ！？～～～～～！！？
店員A,ふふ、しかしお嬢様も恋する乙女よね。プロデューサーさんの好みを知りたいなんて。まあ協力をしたら系列のリゾート施設の特別優遇チケットをいただけるって話だし。何よりお嬢さまの味方をしたいしね～
P,あのー、お会計をお願いします
店員A,はい。いかがでしたか...
蘭子,...ギュー
凛,...ギュー
美嘉,...シクシク
店員A,え、え～...？
P,すみませんカードでお願いします。一括で
店員A,あっ？はい、かしこまりました。え～と...お会計が完了いたしました。カードをお返しいたします
P,はい、どうも...
蘭子,まさかあんなことが起きちゃうなんて...プロデューサーの記憶を何とか上書きしなきゃ...
凛,美嘉は気の毒だけど...プロデューサーに印象づけたのも確かなんだよね...
莉嘉,お姉ちゃん、いつまでも落ち込んでないで。ほらっ、今からみんなでお昼ごはん食べに行くんだから元気出して
美玲,ウチは美嘉の気持ちがわかるよ...美嘉程じゃないけどウチも似たような目にあったし
美嘉,...ううっ、見られた...プロデューサーに...む、胸を...、絶対...絶対に責任とってもらう...
店員A,ありがとうございました。またお越し下さいませ...。...いったい何が...？
美玲,へぇ～、そんなことがあったのか蘭子
莉嘉,そっか...偶々だけどP君とのデートの邪魔しちゃってごめんね、蘭子ちゃん？
蘭子,そんなことないよ？みんなとお買いものができて楽しかったですよ
美玲,だったらいいんだけどさ
凛,年下二人が遠慮していると心が痛む...それに...
美嘉,うぅ...
凛,美玲にもだけど、美嘉には本当に悪いことしちゃったな...
P,なぁ、凛？
凛,何？
P,何とか美嘉を立ち直らせたいんだけど、どうすればいいのかな？”事故だから気にしないで”とは美嘉は言ってくれるが。それだけで割り切れる問題でもないだろ、今回のは？
凛,そうだよね...こればっかりは時間を掛けないといけないかな？
P,でも何とかしてやりたいんだよな...
凛,...私が原因でもあるし...。プロデューサー、私に任せてもらってもいい？
P,凛に何か考えが有るんなら、俺からお願いしたいんだが...
凛,うん、大丈夫任せてよ。美嘉ちょっといい？
美嘉,うぅ...何？
凛,私もね、美嘉と同じような経験をしたことがあるんだ。あれは去年の五月のことだったんだけどね、夕立が降ってビショビショになったんだ。急いで事務所に戻って着替えようとしてシャワー室で服を脱いでいたんだよ。そしたら...
P,ちょっと待って、凛！？
凛,同じように夕立で濡れたプロデューサーがシャワー室に入ってきたんだ
美玲・蘭子,プロデューサー...
P,お願い、弁明させて！！その日は予定じゃ事務所に誰もいないはずだったんだ！それにあの時の事務所はシャワー室が男女共同だったんだし！
莉嘉,そういえばそうだったね。今の事務所に移転する前の頃だし...
美玲,新しい女子寮を建てる話と同じ時に事務所の移転の話もあったんだよな
凛,そうそう、偶々事務所に忘れものを取りに行った帰りだったからね...でっ、プロデューサー入ってきた時私はスカートを脱ごうとしていたところだったんだ
美玲・蘭子・莉嘉,...
P,その...間違いございません。はっきりと覚えております...
凛,その時は凄い恥ずかしかったけど、でも今では笑い話だよ？。仲間がいることを知ってもらって、美嘉が少しでも気が楽になってくれれば...
美嘉,...でもそれはかなり古い話じゃん...
凛,えっ...
美嘉,それに...凛だって立ち直るのに時間が掛かったんじゃないの？
凛,いやっ、それは確かに2，3日掛かったけど...。失敗した！？これじゃ私の恥ずかしい過去とプロデューサーの失敗を暴露しただけだよ！。み、美嘉っ、だからね...
美嘉,...ふふっ
凛,み、美嘉っ？
美嘉,ふふふっ、あはははは！はー、ごめんね凛？ちょっとからかっちゃった、ふふふっ
凛,もぅ、美嘉！
美嘉,ふー、ありがとうね、だいぶ気持ちが楽になったよ。アタシ以外にも似たような人がいるって分かって
凛,だったら良かったよ...
美嘉,いつまでも引きずってちゃアタシらしくもないしね★みんなもごめんね？折角のお休みなのにアタシが暗くなって雰囲気悪くしちゃって
美玲,そんなことないぞ。ウチも美嘉のことが心配だったから立ち直ってくれて嬉しいし
莉嘉,やっぱりお姉ちゃんは元気でなくちゃあね★そうだ！お昼ごはんの後みんなでカラオケに行く予定だったんだけどP君と蘭子ちゃんも一緒に行かない？
蘭子,あっ...えっと...
P,...すまん莉嘉、この後まだ蘭子との約束があるんだ
蘭子,えっ？
莉嘉,そっか...残念だな
美嘉,まあ機会はあるだろうし、また今度ねっ★
P,そうだな、その時は付き合わせてもらうよ
美玲,みんな食べ終わったしそろそろ出るか？
凛,そうだね
美玲,じゃあな！プロデューサー、蘭子
凛,また事務所でね
美嘉,プロデューサー、蘭子ちゃんへのお詫びなんだからちゃんと楽しませてあげるんだよ？
P,分かってるよ
莉嘉,P君蘭子ちゃんに変なことしちゃダメだよ？
P,しないよ！じゃあみんなもあまり遅くならないうちに帰るんだぞ
美嘉・美玲・莉嘉・凛,はーい
蘭子,あの、プロデューサー？
P,なんだい蘭子？
蘭子,この後の予定ってなにも...
P,映画を見に行くんじゃなかったのか？
蘭子,...！？どうしてそれを？
P,実は俺が最初に蘭子の下着を選んでた時、蘭子が映画のチケットを眺めていたのが見えたんだ。だからみんなには予定があるって言ったんだが...余計なおせっかいだったかな？
蘭子,...いえ、そんなことないです。嬉しいですよ...でもいいんですか？今日は買い物に付き合ってもらうだけの約束だったのに...
P,今日は蘭子のために一日を使うって決めていたからさ、今日一日はできることなら何でも付き合うぞ？
蘭子,ありがとうございます！この映画前から見たかったんです。早速行きましょう♪
P,土曜日の割には人が少ないな？
蘭子,そうですね。でもそのほうが良くないですか？
P,まあな。映画館には悪いがそのほうがゆったりできるしな
蘭子,はい♪じゃあ受付に行きましょう。すみません、二人なんですけど...
映画館受付スタッフ,はい...あっ、おめでとうございます！！
蘭子,えっ？
映画館受付スタッフ,お客様達は当映画館のカップル入場者1万組目のお客様となります！！
P,いやっ、ちょっと...
映画館受付スタッフ,あれっ？お二人様はカップルでございますよね？
蘭子,はい、そうです♪
P,！？
映画館受付スタッフ,ですよねー♪ではカップル入場者1万組目の記念として特別な部屋にご案内いたします。どうぞ、係の者について行って下さい
映画館案内スタッフ,どうぞ、こちらです
蘭子,はい♪行きましょう、Pさん
P,お、おいっ
映画館案内スタッフ,こちらになります。改修が終わったばかりのカップル専用のシアタールームとなります
蘭子,うわぁー、素敵です♪
P,カッ、カップルシート...。あの、この部屋は？
映画館案内スタッフ,さきほども申しましたが改修が終わったばかりのカップル専用のシアタールームとなります。もともとは普通のシアタールームだったのですが。小さい箱ですので、もっといい運用方法はないのかと検討した結果のカップルのお客様専用のシアタールームにすることになりました。改修が完了した時期にもうすぐカップル入場者1万組目となるので、本運用の前にカップル入場者1万組目のお客様に記念として最初に使っていただくことになっておりまして。ですので本日限定でここはお客様二人だけのシアタールームとなります。どうぞお好きな席でごゆっくり御鑑賞下さい。では私はこれで失礼いたします
蘭子,ですって、Pさん♪ラッキーですね♪
P,確かに他に人がいないしくつろいで見れるな...ところで蘭子、さっきから俺の呼び方が...
蘭子,だって、私たちカップルなんですから♪下の名前で呼び合うのは普通ですよ？それともメアリーちゃんみたいに”ダーリン”って呼んだ方がいいですか？
P,いやっ...蘭子の好きな呼び方でいいよ。まあ折角の記念なんだし、楽しむか
蘭子,そうですよ♪えへへっ、これも茄子さんのお守りのおかげかな？
P,茄子のお守り？
蘭子,はい、今日のことを話したらくれたんです♪そうだ！いいことがあったらPさんに中身を見てもらうように言われてました！
P,お守りの中身を？
蘭子,これです。私が見ちゃうと御利益が下がるそうなんですけど...
P,どれどれ？ん？紙が入っている...願掛けでも書いてあるのかな？
茄子,蘭子ちゃんが幸せな一日をおくれますように♪。それとプロデューサー、これを見ているということは良いことがあったということですよね？。でしたらプロデューサーから私に幸運のお裾分けがあっても良いと思いますよ♪。最後に一つ。今日はプロデューサーが積極的になって蘭子ちゃんを幸せにするんですよ？いいですか？
P,はははっ、確かにその通りだな
蘭子,...プロデューサー？
P,いや、願掛けの言葉が書いてあったよ。それよりそろそろ上映が始まるな、座ろうか？どこがいい？
蘭子,じゃあ真ん中の席で♪それと...
P,なんだ？
蘭子,上映中に腕に抱きついていいですか？
P,あぁ、いいぞ
蘭子,ありがとうございます♪
P,それと蘭子
蘭子,なんですか？
P,映画を見た後なんだけど、蘭子が良ければ町を少し散策して夕飯はレストランで二人で食事をしないか？
蘭子,い、いいんですか？
P,さっきも言ったろ？今日は蘭子のために一日を使うって
蘭子,は、はい、ありがとうございます！ぜひそうしましょう♪
P,そうか、おっと？映画が始まるな。ほらっ、おいで蘭子
蘭子,...はいっ♪
P,映画は終わったが、余韻に浸っているのか蘭子はまだ俺に腕に抱きついたままだ。いい映画だったな。あまり恋愛ものの映画は見ないんだが、今日これを見れて良かったよ
蘭子,ねぇ...プロデューサー？今日は私とっても幸せですよ。本当に...ありがとう
P,そうか、なら俺も嬉しいよ。でも今日はまだ終わってないぞ？
蘭子,はい、そうですよね。でも...二人っきりの今だから伝えたいことがあるんです。私...必ずトップアイドルになります。そしてプロデューサー...Pさんの夢と、私の夢を叶えてみせます。だから...。これからも...宜しくお願いします♪ずっと傍に居て...見守って下さいね
