モバマスより早坂美玲と小日向美穂,たぬき
美嘉,だってさ、その歳でファッションのジャンルをカチッと決めるってそうそう出来ないことだよ？。普通はもっとこう、あちこちフラフラしたり、悩んだりでさ。なんだかんだ決まるのは高校過ぎてからだったりするわけ。今自分に一番似合うのが何かってわかってるのは凄いよ。信念っていうの？それがかっちり通ってる感じ★
美玲,ん……へへ。やっぱし、ウチの目で見てカッコいいって思ったのがいいからなッ
莉嘉,アタシ、ガルモンっぽいコーデって思い付かなかったんだ！美玲ちゃんを見てこうすればよかったんだーって思ったもん！
美嘉,でも、地元にショップ無かったんでしょ？どうやってそこらへん磨いたの？
美玲,んと、ネットとか雑誌とか見て……好きな感じのデザインを探したりして。ほんとに、ウチだけの好みに合うカンジのが欲しかったんだ。誰に言われたんじゃなくてさ
小梅,…………
美玲,デントウとかカクシキとか知るもんかッ。ウチは、ウチだけのカッコいいやり方でキメてやるんだって……！。だいたい、みんなそうなんだッ。伝統を守れとか、形式を守れとか！ウチは……ウチはそんな枠、知らないモン
莉嘉,美玲ちゃん……
美玲,だから決めたんだッ！ウチの好きなファッションで、好きなやり方でッ！誰も文句言えない結果を出してやるんだって……！
デビキャ,小さき者よ……バリトンボイス
美玲,！おっオマッ、こんな時に……ッ！！
美嘉,美玲ちゃん？何かあったの？
美玲,なっなんでもないッ！ごめん！ウチちょっと用事が……ッ！！
デビキャ,理解ワカ。何の為に此処まで来たか、わからぬ筈もあるまいて……バリトンボイス
美玲,……そんなのッ！わかってるって言ってるだろ……！
デビキャ,断じて行えば鬼神も之を避く……汝の決意、この程度ではない筈よ……バリトンボイス
美玲,当たり前だッ！ウチはハンパな覚悟でここまで来たんじゃないッ！。でも……でもさ……！
小梅,――美玲ちゃん……
美玲,……！
小梅,みんな、心配してるよ……。早く、戻ろう……？
美玲,……ん……ウン
小梅,使い魔と、ケンカしてるの……？
美玲,！
小梅,それは……大丈夫、だよ。自分がちゃんと決めれば……文句は、言わない……
美玲,オマエの傍にいつもいる、ソイツみたいにか？
小梅,……なんのこと？
あの子,…………
美玲,ウチが知らないと思ってるのか？兵庫の白坂家はそのスジじゃ有名だぞ。最初は、なんか目的があるのかもって思ったんだ。でもそんなんじゃなさそうだった。何でかってずっと考えてた
小梅,…………
美玲,ずっと隠してるその目だって――
輝子,そこのコンビニで、なめこの缶詰があった…………
美玲,うわぁびっくりした！！！
輝子,あの……あんまし、難しいことは、わからないんだけど。私はただのぼっちで……メタルで……オタクで、キノコで……そういう、アレだから……。で、でも、そんな私でも……ここは、いいところなんだ。色んな子がいて……なんていうか、その、個性……があって……個性のままに、楽しめて……。そ……そんな感じなんだ。私は、それが好きなんだ……。私は、小梅ちゃんとも、美玲ちゃんとも、一緒にいたいんだけど……ダメ、かな……
美玲,……個性……
小梅,輝子ちゃん……
輝子,オフォウッフ……ナデナデは、予想外だった……ヘフフ……
小梅,……美玲ちゃん。もし……もし良かったらなんだけど……結論は……待ってくれたら、嬉しい……かな……。私、すごく楽しいの。ひとりぼっちだったけど、今はすごく……みんな、大好きで……。……もし、ね。もし……美玲ちゃんも、同じ気持ちになれたら……
美玲,…………。そんなの……すぐわかるわけ、ないだろッ
響子,それじゃ、流しますよーっ
一同,おーっ！
響子,はい、さらさら～っ
周子,よっしゃ一番乗りっ！
美玲,ああっ、ずるいぞシューコ！背が高いからって！
周子,ふふん。流しそうめんには地の利が重要なのだよ。つるるんっ……んまーい！
菜帆,二番乗りは私で～……はい美玲ちゃん、どうぞ～♪
美玲,あ……い、いいのか？
菜帆,私も自分のは取ってますから～。このツユ、すっごくおいしいんですよ～♪
美玲,そういえば手作りって言ってたな……つるるっ。！！ウマッ！！
まゆ,まゆが作ったんですよぉ♪
輝子,トモダチが、ダシに協力してくれました……
智絵里,みょうが刻んできましたっ
紗枝,おにぎりも握ってますえ～
美玲,えと、ウチ何か手伝うことないか？
芳乃,奥で西瓜を冷やしておりますのでー、持ってきていただきたくー
美玲,わかった！。えーっとスイカスイカ……デカッ！ていうか多いなッ！
？？,ふっふっふ……
美玲,あ、ランコだ。これ手伝って！
蘭子,魔界の暗幕を引き裂く魔力！？訳：演出ガン無視！？
美玲,ほっほっほっ……
蘭子,ひっひっふー……
小梅,えへへ……スイカ割りなら、任せて……♡
みく,小梅チャン小梅チャン！それマチェットにゃ！１３日の金曜日は過ぎてるにゃあ！
まゆ,普通に切りますねぇ
小梅,あっあっあっ……やぁ……あ、赤い汁がぁ……っ♡
美玲,なんでゾクゾクしてるんだッ
美穂,みんなにそうめん行き渡ったー？薬味大丈夫っ？。おにぎりあるよっ！食べたらスイカもあるからねーっ。そうだっ。そろそろイヴちゃん達が……
イヴ,スーパーに花火セットありましたぁ！
こずえ,ほしのはなびー……
ブリッツェン,ブモーッ！
みく,おかえりー！わぁ、大収穫にゃ！
菜帆,これは全部なくなるまで寝られませんね～♪
智絵里,あ、あんまり大きな音がするのは怖いです……
響子,はいはーい、花火は全部食べてからですよーっ
紗枝,たぁんと作ってますさかい、残さず食べてな～♪
まゆ,美玲ちゃん、おいしいですかぁ？
美玲,ん……ウン。この梅干しおにぎりとか、悪くないなッ
まゆ,それまゆが握ったんです♪
美玲,ふブっ、けふっけふっ！……うっ……ぐ……んぐ。……おいしいよッ。これで満足だろッ！
まゆ,うふふっ♪
美穂,あれ？
美玲,ん……？なんだ？
美穂,美玲ちゃん、その髪……。赤い部分、増えてない？染め直したの？
――稀に見る験,しるし
――なれど、妄,みだ
――お前の左眼は、遍く悪鬼羅刹の正体を見顕,みあらわ
いつの間にかなんとなく先延ばしにしていた,いつか
薄暗い夕闇が打ち払われて、たちまち世界が,虚
あんまり使っちゃいけないのは,見え過ぎる
Ｐ,今日も残業頑張るぞい死
ちひろ,この世のものとは思えぬほど不景気な顔しないでください
Ｐ,だってエアコンまだ直ってないし……アーニャいないし……。あ、知ってます？女子寮の晩飯ってカレーなんですって
ちひろ,現実逃避やめろ
Ｐ,ヒィン……カレー食べたい……。あっ電話だ。まゆから？
ちひろ,カレーのお誘いですか？
Ｐ,もしそうだったら行かせてくれます？
ちひろ,……
Ｐ,ヒエッ……はいもしもし。……なんだって？美玲がいなくなった！？
ちひろ,……？
Ｐ,どうしたんだ？喧嘩か？あー……いや、とにかく細かい話は後にしよう。この後すぐ寮に電話するんだ。まず芳乃に声をかけろ。あの子なら探せる。あーあー泣かない泣かない！俺もすぐ行くから！車で行くから寮で落ち合おう！。……ということでちひろさん、後は任せました！！
ちひろ,そう言うと思ってましたよ！！
Ｐ,うわもう暗くなっちゃうな、急がないと……
ちひろ,プロデューサーさん
Ｐ,はい？
ちひろ,美玲ちゃんは、うちのアイドルってわけじゃありませんよ。それでも行くんですか？
Ｐ,？行きますよ。関係ないでしょ
ちひろ,そうですか。……そうでしょうね、ふふっ。あ、帰りにダッツ買ってきてください。これ全部片付けるんだからそれくらいの役得はあっていい筈です
Ｐ,オッスオッス。何味ですか？
ちひろ,定番のクッキー＆クリームとマカデミアナッツと最近出た甘夏とクリスピーのキャラメルクラシック
Ｐ,多いな！！！
先祖代々の御霊,みたま
美玲,…………。どこだっけ、ここ……
デビキャ,捲土重来の時は遠からぬ。消沈せぬことだバリトンボイス
美玲,オマエ、言ってることわかりづらいんだよ
デビキャ,汝が望む限り、機は幾らでも訪れようバリトンボイス。堅物共の目を啓かせるには、手柄を立てねばならぬは真理……バリトンボイス
美玲,……オマエはウチのやり方どう思ってんだ？
デビキャ,是非も無し、従うのみ。汝に与えられし依代は快適なりバリトンボイス
美玲,…………そか。でも、楽しかったんだ。アイツらといるの……悪くなかったんだ。……おなか空いたなぁ
芳乃,こちらでしてー
Ｐ,あっ、いた！
美穂,美玲ちゃん！
美玲,……！！。そうか、ヨシノの……！
まゆ,――美玲ちゃぁん！！
美玲,！？。や……やめ、やめろッ！離せよッ！ウチは慣れ合うつもりなんか……！
まゆ,ごめんなさい！まゆ、あなたにひどいこと……。美玲ちゃんはたくさん悩んでるのに、そんなことも知らないで……！
美玲,な、なんでオマエが謝るんだッ！ウチはウチのやりたいようにやっただけだ！なのに……。なのに、こんな……。こんなこと教えるなんて、ひどいじゃないかぁ……！
芳乃,……美玲さんー。そなたの御家の事情は、皆まで語らずともわかりまするー。なれどそれは、お一人で抱えるべきではなきものー……。わたくし達と、分かち合うわけには参りますまいかー
美玲,…………
まゆ,美玲ちゃん……
美玲,……それは……できない。これは、ウチのケジメなんだ。ここでウンって言ったら、自分で決めたことを自分で捨てることになっちゃう。……ウチらしさで、アイツらを見返す。だから…………
芳乃,…………
美穂,わかった。戦おう、美玲ちゃん。私が相手になるよ！
Ｐ,！？。いやいやいや、急にどうした！？そういうの苦手だろお前！？
美穂,大丈夫です。その……美玲ちゃんの気持ち、ちょっとわかるんです。熊本からここまで来た私と同じです。だから……私なりに、美玲ちゃんと向き合ってみたいんです……！
Ｐ,……そうか。わかった
美玲,……いいのかよ。ウチは祓うぞ。ホンキだぞッ
美穂,うん。私も、私のやり方で美玲ちゃんと向き合うから！
まゆ,美穂ちゃん……
美穂,大丈夫、まゆちゃん。私に任せて！これでもお姉さんだからねっ！
芳乃,……。よろしいでしょうー。然らば、わたくし達が立ち合いましてー。まずは、場所を改めましょうー
美穂,……
美玲,……
周子,……え、どゆこと？
輝子,な……なんか、西部劇の……決闘みたい、だけど……
小梅,…………うん。決闘だね
みく,ちょちょちょ、大丈夫なの？だってあれ絶対危ないにゃ……！
デビキャ,狼狽えるなかれ……バリトンボイス
みく,なんか喋っとるねんけど！？！？！？
Ｐ,慌てるなみく。美玲の相棒は喋るのだ
デビキャ,彼の者らは、己が覇道を突き進まんとする猛者の様……何者とて阻むべきではないのだバリトンボイス
みく,なんかこのぬいぐるみだけ作風違わない？
Ｐ,俺もそう思う
まゆ,美穂ちゃん……美玲ちゃん……
芳乃,合図はわたくしが致しまするゆえー。双方とも、悔いのなきようー
美玲,わかった。……全力でいくぞッ
蘭子,ふおおおおおおおお！！！
周子,蘭子ちゃんがめちゃくちゃスケッチしとる！？
由愛,わぁ……す、すごい……！
みく,こっちも！？
美穂,それじゃあ私も、全力でいくよ……！。はぁぁあああああああああっ！！
紗枝,なんたることや……美穂はんのたぬきゲージが限界値を越えてはる……！
智絵里,危険粋です……！
周子,なんなんたぬきゲージて
蘭子,はふーっ、はふーっ！か、かっこいい……！！！
みく,蘭子チャンお水飲んどいた方がいいにゃ
美玲,たぬきの化け術だって、ナメてかかっちゃいけない……。凄いヤツは、でかい虎とか電車とか、山一つにだって化けられるって聞いたことあるからな。アイツだって、それだけのヤツじゃないなんて保証はない……！
芳乃,それではー……
美玲,だけど、ウチの目があれば見切ることはできるッ。どんな姿に化けたって、必ず見通してやる……！
芳乃,よーい……
美玲,何が出る、何が……鬼が出るか蛇が出るか、それとも別の……？。いや、集中しろッ。油断するな。いつも通りのウチで、やっつけてやるんだ……！
芳乃,どんっ
美穂,たぬき
美玲,…………ってたぬきに戻っただけかよッ！！！。はッ！ついツッコミを……！
美穂,ぽこ！
まゆ,あぁっ！美玲ちゃんがついつい突っ込んでしまった隙を……！
畢竟,ひっきょう
美玲,しまッ……！！
美穂,ぽっぽこぽーーーーーーーーーーんっ！！！！
美玲,ふぁっぷ……！？
Ｐ,け……
周子,決着……
芳乃,でしてー
美玲,…………う……う、うぅうっ。たぬきに……たぬきに負けた！眼帯まで外して！負けた……ッ！！
美穂,ぽこ。美玲ちゃん……
美玲,なんだよ！そんな目で見んなッ！。けっ……結局、ウチはここまでだったってことだッ！あんだけツッパっといて、カッコ悪い……！
美穂,かっこ悪くない。正面からちゃんとやったら、私絶対勝てなかったもん
美玲,……ふざけんなッ！勝っといて慰めかよッ！。大体こんなッ、こんな遊びみたいなやり方で……！バカにして楽しいかよッ！ウチのこと何だと思ってんだよッ！！
美穂,友達だよっ！！
美玲,……ッ
美穂,友達なんだから、かっこいいとか悪いとか無いよ！だから私のやり方でぶつかりたかったんだもん！。美玲ちゃんの言うことはわかるよ。でもこうして一緒に過ごして、本当は優しくて、まっすぐな子なんだってわかって……。一緒に暮らしてて、すごく楽しくって……。……なんにも言わないでいなくなったら、悲しいよ……！
まゆ,…………
美玲,友達……。それは、言わせちゃいけなかった。だって、一回も言われたことが無かったから……。……初めて知った。すごく嬉しいんだ。わかったよ。ウチの負けだ。ごめんな。もうオマエらに手を出そうなんて思わない。……帰るよ。帰って、やり直す。それで、ちゃんと自分を見直して……
デビキャ,その必要は無いバリトンボイス
小梅,と思う……よ……
あの子,ｺｸｺｸ
美玲,え……
小梅,だって……一回、負けただけだもの。美玲ちゃんの、やり方は……その全部が、一回で否定されたわけじゃ、ない……でしょ
美玲,で、でも、ウチはミホに……
デビキャ,此は修行なり。汝は未熟なれども、故にこそ越ゆるべき青山せいざん
周子,……まあ、実家に思うところがあるってのはなんとなく察せるけどさ。腕を磨きたいとかだったら、ここほど好都合な場所もないと思うけどねー。だってこんなバラエティ豊かな場所無いでしょ
美玲,だけどウチ、みんなにひどいこと……！
まゆ,いいんですよぉ、そんなこと
デビキャ,此は汝の武者修行。確固たる決意さえあらば、我は主と共に征くことこそ快なりバリトンボイス
みく,いやおめーは結局なんなのにゃ……いい声してるけど……
美玲,………………
響子,みんなーっ！ごはんできましたよーっ！
菜帆,お待たせしました～っ
イヴ,すっごくおいしいカレーですよぉ！
ブリッツェン,ブモンヌ！！！
響子,はぁ、はぁ……えっと、間に合いましたか！？
みく,ばっちりにゃ！
美玲,修行……修行、か。でもウチ、それだと、みんなと戦う為にいるってことになっちゃう……
美穂,うんっ。私で良かったら、いつでも相手になるよ！
紗枝,最後にどうなるかはわかれへんけど……お稽古やったら、うちもお付き合いできる思います～
智絵里,その。もし気が変わったら、それでもいいと思いますからっ
美玲,…………い、いい……のかな。もうちょっと……ここにいても……
美穂,いいよ。だって、友達だもん！
美玲,……っ
まゆ,まゆも、最初は同じでした。自分の目的ありきで、周りが見えなくて……。だから今、言わせてください。美玲ちゃん、あなたはここにいていいんです。……いてくれないと、寂しいですよ。ほら、晩ご飯の時間ですよぉ。一緒に食べましょう？
響子,はいっ、美玲ちゃん。カレーよそってきましたよ
美玲,！
響子,あ、ご飯の量とかこれくらいで良かったかな？好きみたいだから、粉チーズもかけてきたんだけど……
美玲,……ウン、ちょうどいい。ウチ、いつもこんくらいチーズかけるし……。にんじん、細かく刻んでる……食べやすい……。おいしい。……おいしいよﾞぅﾞ……
Ｐ,…………うん
芳乃,これにて一件落着、ということでよろしいのでしてー？
Ｐ,ああ。後はこっちのフォローで済む。あの子がうちにいられるように、色々便宜を図らないとな――。ということで部外者がこれ以上女子寮に居座ることは普通にダメっす
美玲,はァッ！？
美穂,え、そ、そんな！？
Ｐ,色々言い訳を付けて上にも納得させてたんだけどね。そろそろ限界っぽいんだ
ちひろ,ギリギリまで粘りましたけど、やっぱり厳しいんですよ。うちも会社ですから……
美玲,じゃ、じゃあ、寮は出てかなきゃダメってことか……！？
美穂,でもそれじゃ、どうすれば……そうだ、ライラちゃんみたいにすれば！
美玲,そ……そうだ！ウチ、自分で稼いで部屋とか借りるッ！
Ｐ,ライラの場合も特殊なケースだしなぁ。あっちにはメイドさんもいたし。宮城から家出同然で出てきた１４歳の女の子に、任せる仕事も貸す部屋もあるかってことでな。そもそも、学校どうするって話でもあるだろ？
美玲,はうッ！……う、うう……
Ｐ,だが安心しな。すぐに仕事を紹介してやるぜ
美玲,！？
Ｐ,その仕事に年齢制限はないんだ。下は９歳、上は今のところ３１歳まで確認されている
美玲,おおッ！なら、ウチもやれるってことか！？
Ｐ,そうとも。これは頑張り次第だが、成果によって儲けもガンガン入るしな。更になんと、この仕事を始めると引き続き女子寮にもいられるし、なんと個室もゲットできちまうんだ！
美玲,わ、わっ……！ホントにいいのか！？そういうのゴツゴーシュギって言うんじゃないのかッ！？
Ｐ,ご都合主義の何が悪い！その全部を実現できる職業が確かにあるのさ！
美穂,あっ
ちひろ,♪
美玲,………………ってオイ、ちょっと待てよ。それって
Ｐ,アイドルやろうぜ
美玲,ああああああッ！やっぱりかああああああああッ！！
まゆ,ほんとですかぁ？
周子,ええやん
蘭子,魂の共鳴を今ここに！
小梅,あの子も喜んでる……♪
輝子,トモダチたくさん……
美玲,おい！すごい勢いで外堀が埋まっていくぞッ！！
Ｐ,はっはっは。はっはっはっはっはっはっは
美玲,笑うなーッ！！！
Ｐ,まあまあまあ早坂さん、これを見てみなさいよまあまあまあまあまあ
美玲,え……な、なんだこの……デザイン……？
Ｐ,実は最初のステージまで構想が見えててさ。これはその衣装案なんだが
美玲,えっあっ……わ……すご……っ
Ｐ,パンクでポップで、キュートな感じな。ガルモンのイメージを参考にしてて。この衣装デザインには、美嘉と莉嘉にも協力して貰ってるんだ。こないだ一緒に原宿行ったろ？
美玲,あ……う、ウン……
Ｐ,これは、美玲にこそ似合う衣装だと思うんだが……。どうだろう。修行がてら、社会勉強もしてみるというのは
美玲,ぁ……。……わ、わかった。他に選択肢なんか無いんだろッ！
Ｐ,よし！！
周子,あの詰め方よ
小梅,結局……人間が、一番……ずるいのかもね……
ちひろ,ところで……宮城のご実家には事前に連絡したんですか？
Ｐ,しましたよ。全部説明しました
ちひろ,それで、何と？
Ｐ,いやぁ、あっさりしたもんでした。文句の一言もありゃしなかった。娘さんがいきなり東京に行って、それでアイドルになるってのに、はいそうですかってなもんで。ＮＧ出たらそりゃ従うつもりでしたよ。なんなら向こうまで馳せ参じて一発殴られるくらいのつもりでいたのに。……あっさり見限れるもんですかね。仮に意に沿わないお子さんだったとしても、そんな……
楓,向こうからすれば、もう勘当しているつもりなんでしょう
Ｐ,楓さ、えっ、いつの間にいたの
楓,さっきからいました。ビール頂いてます♪
Ｐ,そりゃ事務所で缶ビール冷やしてるのなんてあんたくらいだからな！
楓,けぷっ
Ｐ,この数秒で一本空いたの？
楓,ともあれ、旧い家にはそういうところがあるんですよ。あの子はうちには関係ない、何をしようが家名に響かない、なんて。早坂家も知らぬ存ぜぬの段階に入ったんでしょう。要は切り捨てです。どうでしょうプロデューサー。今度、早坂さんのお宅にご挨拶に行きませんか？
Ｐ,……やめておきましょう
楓,あら
Ｐ,思惑は知らんけど、あの子がアイドルになることのお許しは頂いたわけだ。じゃあその世界で成功するよう頑張るのがこっちの仕事だ。いいじゃないですか、それで。うちは芸能事務所なんだから
楓,…………。……ふふ♪そうですね、その通りです
ちひろ,ま、私は私の仕事をこなすだけですよー……。…………ん？今楓ちゃんが食べてるダッツ、クッキー＆クリーム味だったりしません？
楓,あっ
ちひろ,あっ
美玲,……
美穂,わぁ、かわいいっ！
まゆ,とってもお似合いですよぉ♪
小梅,ゴーストハンターみたい……♪
美玲,そ、そうかッ？
莉嘉,うん！お姉ちゃんのデザイン、美玲ちゃんのイメージにぴったし！
美嘉,莉嘉も協力したでしょ？でも……ま、バッチリみたいで良かった★
美玲,う、ウチ、これで踊るのか……。へへッ。カッコいいし、カワイイじゃないか……♪
幸子,なるほど悪くありませんね！！ボク達の事務所にはありそうでなかったカワイイです！！
美玲,わ！？誰ッ！？
桃華,このようなファッションの方向性もありますのね！新感覚ですわ……！
藍子,わぁ、色使いがすっごく綺麗ですね！まるで夜のお祭りみたい♪
奏,ふふ、いいわね。人は何色にでも染まる……真理だわ
美玲,おおぅ……！？
美穂,美玲ちゃん大丈夫？
まゆ,まだ知らない子もいますから……
美玲,だ……大丈夫だッ。ウチは負けない！そう決めたんだからなッ！
デビキャ,七転八起……バリトンボイス
Ｐ,よし。美玲の最初の仕事はバックダンサーだ。いずれ自分がメインに立つステージだ。あそこに立つ感覚を覚えておきなさい
美玲,すーっ……ふーっ……わ、わかった……！。修行の時より、緊張するかも……
デビキャ,賽は投げられた。武運長久を祈るバリトンボイス
美玲,…………フン。励まし方までドヘタかよッ
Ｐ,いけるか？
美穂,がんばってね！
まゆ,ここで待ってますから……！
美玲,ん。……それじゃあ
輝子,フヒ……いこうか……
美玲,ウチは、ウチのやり方でやる。ウチなりの生き方を決める。これもまた、その一つなら……全部ホンキでやる。その中で本当の自分らしさを見つけ出すんだ。友達が待っててくれるなら、怖くない……ッ！。――上ッ等ッだッ！。行くぞッ！！！。んー……
こずえ,んー……？
美玲,一個、でっかいナゾがまだあるんだよな
こずえ,なにー……？
美玲,オマエだよッ。結局なんなのかわかんないままだぞ！
こずえ,おー……
美玲,んん……聞くより見るのが手っ取り早いな。コズエ、いいか？
こずえ,いいよー……
美玲,あっさりＯＫ出た。よしッ、それじゃ眼帯外して……
デビキャ,小さき者よ……バリトンボイス
美玲,うわまた出た！今度は何だよ！？
デビキャ,一つの杯に海を収めること能わず……いかなるものにも限界があるのだ……バリトンボイス
美玲,はぁ？どういうことだよッ
デビキャ,……
こずえ,……
デビキャ,……よかろう……それもまた修行……バリトンボイス
美玲,な、なんだよ。聞き分けがいいのか悪いのか……まあいいや。それじゃ……見るぞッ。……ん？。あれ？。コズエ？おーい、コズエーッ。ど、どこ行っちゃったんだよ！？いないぞ！？。なんだよ、やっぱイヤだったんじゃ……
こずえ,みえたー……？
美玲,うわいた！！び、びっくりさせんなッ、どこ隠れてたんだよ！
こずえ,ずっと……ここにいたー……
美玲,いや、そんなすぐにいなくなれるわけ……
こずえ,みれい……かみのいろ、きれいー……
美玲,わっ、こ、こら。あんまりそこは触っちゃダメだぞッ
こずえ,でも……このいろは、だめー……
美玲,ダメって……もう、なんなんだよオマエは
こずえ,こずえは、こずえだよー……。こずえはー……ずっと、ここにいるよー……
美玲,その後、洗面所で鏡を見て驚いた。赤くなった髪の色が元に戻ってる。ちょうど、ここに来て左目を使っただけの分が、時間を戻したみたいに無くなっていた。原因はわからない。ウチだって戻し方がわからなかったんだから。……アイツ、ほんとに何者なんだ？
デレステ限定SSR美玲ちゃんの衣装を見て,アニメの妖怪モノとかに出てくる、使い魔連れたゴーストハンターっぽくない？
確かに美玲は,ちょろい
