モバＰ(以降Ｐ表記でも堪忍してや),おお、あの新進気鋭の新ゲームから
はづき,アイドル個々の能力の高さはもちろんの事、その強烈な個性とそれを十二分に生かしたメディア展開でプロジェクト設立から数年で今の人気を勝ち取っています
Ｐ,はぁー…とんでもないところなんですねえ
はづき,やはり人気の秘訣はアイドルの個性みたいですね
Ｐ,個性ならうちも負けないと思いますよ？ほら、何せ鳩とかチョコとかダンベルとか鳩とか摩美々とか鳩とか
はづき,でも流石に空を飛んだりする娘や人体を面白おかしく変化させる薬を作る娘や破壊神の異名を持つ娘とかはいないでしょう？
Ｐ,何ですかソレいるわけないでしょ！アイドルですよ？アイドル事務所ですよ！？
はづき,日によっては巨大ロボが出現したり
Ｐ,ジャンルが違う！
はづき,神様がいたり
Ｐ,世界線が違う！
はづき,プロデューサーが１人で１８０人以上のアイドルを担当していたり
Ｐ,俺の１０倍！？
はづき,この業界、やっぱり個性がナンボなんですかねぇ
Ｐ,個性で済ませていいんですかコレ！
アッキー,終わりだ
マメ丸,なんで犬がしゃべるん？
