事件２,真犯人を探せ
P,えぇ、まぁそんなところです
主人,それは本当かね？それと…そちらのお嬢さん方は？
P,こちらは星井美希、うちの探偵社で働いているものです
美希,初めましてなの
主人,初めまして、随分と可愛らしい助手さんだね？それとこちらの小さな子は？
P,あぁ…その子は
やよい,高槻…やよいです
主人,高槻…
P,お気づきのようですね、その子は高槻弥吉さんの長女。高槻やよいちゃんです…
主人,弥吉の…探偵さん、これは一体どういうことですかな？
P,今日私どもがここに来たのは他でもありません…
美希,…
P,弥吉さんの疑いをはらして欲しく、伺ったんです
主人,貴方は、今自分が何を言っているのかわかっているのかね？
P,えぇ、しっかりとわかっていますよ
主人,それならば、自分がどれだけ無礼なことを言っているかは理解しているということだな
P,はい、そうですね
主人,なら、私が冷静を保っているうちにすぐさまこの屋敷から出て行きなさい
P,いいえ、それはできません
主人,なんだと？
P,確かに、被害者の家に加害者の娘を連れて加害者の疑いをはらせなんて言ったのなら…それは追い出されても仕方のない事でしょう
主人,そうだっ…なら…
美希,でもそれは、やよいのパパが犯人なら…の話なの
主人,なに？
P,そのままの意味です、やよいちゃんのお父さん…弥吉さんは犯人なんかじゃない
主人,あいつはもう警察に逮捕されているんだぞ？それを犯人じゃないなんて
P,警察が捕まえたからといって、それが真犯人なわけではないんですよ
主人,何を馬鹿なことを…
P,実際に馬鹿なことがあったんですよ、今回の事件の捜査…何者かによる圧力がかけられていたようなんです
主人,…
P,区長から万代署の署長を通じてです、結果として弥吉さんの早期逮捕につながった
主人,…
P,区長にそれを促したのは貴方ですね？
主人,圧力と言うと聞こえが悪いが、確かに弥吉が犯人だろうと言った事は事実だ…かなり金にも困っていたようだしな？
やよい,…
主人,逮捕を急かせたのは、盗まれたものが当家の宝だからだ…うだうだしてるうちに売られてしまったのなら後の祭りだからな
P,という事は、この件に関してはお認めになるのですね？
主人,あぁ、それは認めよう…しかしだからと言って弥吉が犯人ではないという証拠にはならんぞ
P,確かに、そうですね
主人,なら…
美希,でも、これだけじゃないんだよねハニー？
P,もちろんだよ
主人,何？
P,実は私、昨日この屋敷に来た時からどうも変な違和感を感じていたんです
主人,違和感？
P,外見も中身も立派なお屋敷だ、昔ながらの武家屋敷…なかなかに広いです
美希,…
P,しかしね、だとしたらおかしいんですよ…。これだけ大きな家ならば維持や管理が大変だ、お庭に関しては弥吉さんが精魂込めて手入れしてあったのか綺麗なもんでしたが
主人,…
P,普通、この規模の屋敷なら使用人の一人でもいて良いものです、しかし私が昨日来た時に出迎えてくれたのは奥様だった。お茶を入れてくれたのも…恐らく屋敷内の掃除なども奥様がやられていたとお見受けします、限界もあるでしょうがあまり使われない部屋はお世辞にも綺麗とは言えませんでしたし
主人,それは…妻がそうしたいというからだな…
P,いくら何でも無理があるでしょう？それに近所の方から聞いたところによると数年前までは何人も使用人がいたようじゃないですか
やよい,…
P,それと、この手の大きな屋敷につきものなのは骨董品や美術品の類です、偏見かもしれませんがね？
主人,私が元々そういった物に興味がないだけだ
P,本当にそうでしょうか？
主人,あぁ…そうだ
P,では何故昨日、骨董商がわざわざ家まで来ていたんですか
主人,それはだな…
美希,…
P,話を変えましょうか、ご主人…貴方はいくつもの会社を経営してらっしゃる
主人,あぁ…それが何かね
P,昨日、この屋敷を出た後…少しばかりその会社の事を調べさせていただきました
主人,…
P,どうやら会社の経営、うまく行っていなかったようで？
主人,この不景気にうまく行っている会社を探すほうが難しいんじゃないかね
P,ごもっとも、しかしそれにしても…大変なようだ
主人,…
P,私、実は水瀬関係の者が知り合いにいましてね…貴方のことを詳しく調べてもらったんです。貴方、水瀬銀行を含めて何行からか多額の借金をしていますね…もちろんこの屋敷もその借金のカタに入っている
主人,…
P,…思ったよりも莫大な額だったので驚きましたよ
主人,話の先がわからんな…私自身の借金と今回の事件、いったいどんな関係があると言うんだ
P,まぁ聞いてください、実はその水瀬の人間からもう一つ面白い話を聞いたんですよ
主人,…
P,ご主人、物保険というのはご存知で？
主人,車や家にかける保険ではなかったかね…
P,その通りです、それじゃあ先日…水瀬生命から出された新しい物保険については？
主人,…
美希,…
P,この保険、今まで人や家…あと最近出てきた車なんかにしか掛からなかった保険から枠を広げた物です。対象は自分の財産となりうるもの、もう一度聞きます…ご存知ですね？
主人,…知らないな
P,それはおかしい、貴方…この保険に加入してるじゃないですか
主人,…
P,失礼ついでにその保険が何にかけられていたのかも調べました
主人,…っ
P,無くなった刀にかけられてますね？
主人,…
P,さて、ここで話を戻しましょう。この家に骨董品や美術品がないことですが…
主人,…
P,これはやはり借金返済のため、もしくは会社の資金に回すためなんじゃないですか？
主人,…
P,元々そういった物に興味を持っていない家にわざわざ骨董商が足を運ぶのであれば、別段おかしな考えではありません。そして、そうであるならば…私には新たにもう一つ考えが浮かんできます
美希,どんな考えなの？ハニー！
P,おっ、聞きたいのか美希？
美希,もちろんなの！
P,よし、じゃあ美希にもわかるように簡単に説明してやろう
美希,うん！
P,お前も今俺が話してた事聞いてたろ？
美希,ちょっと難しかったけどなんとなく…
P,良いか？こちらのご主人は今大きな借金をしてるんだ
美希,大変なの…
P,どうしたら借金を減らせると思う？
美希,それは、お金を返すしかないの！
P,でも、そのお金がないんだぞ？
美希,ん～…だったら何かを売ってお金を作るの！
P,そうなるよな？でしょうご主人
主人,何が…言いたいんだね？
P,まぁもう少しお付き合いを…それじゃあ美希、そんなお前の前に大切だけどとっても高価な刀がある
美希,かたな？
P,そう、とっても大切だけど…でもこれを売らないと生きていき行けなくなるんだ
美希,そ、そうなの？
P,あぁ…
美希,それじゃあ…本当は嫌だけど、かたなを売るしかないの…
P,しかし残念…この刀を売っただけではまだお金は足りないんだ
美希,えっ…じゃあもう売れるものはないの！
主人,いい加減にしてくれ…こんな茶番に付き合うほど私は暇じゃないんd…
P,そんな美希に良い提案をしよう
美希,え？どんな提案なの？
P,新しくできた保険がある、色んな物にかけられる保険なんだ
美希,それがどうかしたの？
P,この保険はかかっている物が壊れたときや無くなった時にそれに応じたお金をくれるんだよ
美希,う～ん…ハニーの言いたいことがわからないの…
P,だからな？お前の刀に保険をかけるんだよ
主人,…
美希,え？でもこのかたなは売らないといけないんじゃ…
P,だから…保険をかけたまま、無くしたことにしてこっそりと売っちゃうんだよ、そうすれば保険金と実際に刀を売ったお金のどちらももらえるだろう？
美希,えっ…そんな事して良いの？
P,ダメに決まってるだろう？でもな美希、このご主人はそれをやったんだよ
主人,…
P,最近、欧米諸国との交流が民間でも盛んになっているのはご主人もご存じのはずです。そして同時に日本の芸術品が海外で高値の取引がなされていることも
美希,かたなも高く売れるの？
P,あぁ、特に歴史のある物ならばある程にな？
主人,…
P,盗難を偽装して保険金を得る…おそらく、骨董商を通して外国人にでも刀を売りつける算段だったんでしょう。いくら調査の厳しい水瀬といっても、犯人が無実の弥吉さんと決めつけられた事件じゃ調査をすすめるのは難しいでしょう
主人,…
P,どんなに弥吉さんの周囲を調べようが物が出てくるはず無いんですからね。そしてあなたの周囲を調べ始める頃には刀は海外にある…国内では無敵の水瀬でも海外にまで調査の手を広げるのは難しいでしょうしね？。恐らく貴方が無理やりにでも事件解決を焦ったのは周囲に、すぐこの事件を悟らせないためだ
主人,…
P,保険金を受け取る為には盗難事件がなければいけない…しかし事件捜査を長引かせれば真相の発覚や水瀬の介入も考えられる。いくら貴方でも水瀬財閥相手じゃ分が悪い…水瀬にバレずに、すぐに売りつける必要が…その為に無実の弥吉さんが犯人に仕立て上げられた。自分が今持ちうる力を使ってね？
やよい,そんな事で…お父さんが犯人に！
P,弥吉さんはこの人にの計画にとって格好の餌食だったってわけだな
主人,…っ！
P,昨日の時点で骨董商がこの屋敷に来ていたことを考えると…おそらく刀は骨董商の下にあるか、もしくはまだこの屋敷のどこかに隠されている、違いますか？
主人,貴様らは…私にどうしろと言うんだ
P,我々は警察でもなんでもありません…ただの探偵屋です
主人,…
P,そして我々の依頼人はこの可愛いお嬢さんだ
やよい,うっ…
P,私達はこのお嬢さんの依頼…お父さんを助けてくれというものを遂行しに来ただけなんですよ
主人,…
P,さぁご主人、ここで私が最初に言ったことを思い出してください
主人,…
P,高槻弥吉さんの疑いを貴方の口で晴らしてください
主人,しっ…しかしだな…
P,貴方がもし、そうしてくれないと言うのなら私は今すぐ水瀬の人間に事の真相を話します
主人,…
P,しかし、貴方が刀の件を自分の勘違いだとでも言ってくれるのなら…この事全て、私の胸の奥にしまっておきましょう
美希,…
P,刀が見つかれば保険金は降りないでしょう、まぁ売るのは勝手ですが…。もし水瀬にこの事がバレれば、流石に警察も介入するでしょう…そうすれば
主人,今、私の頭に浮かぶ最悪の事態になるという事かね…
P,そういう事です
婦人,ま、待ってください！
主人,お前…何をしに来たんだ
P,…
婦人,この件を企てたのは私です！ですから…
主人,おいっ…
婦人,探偵さんを信じていないわけではありませんが、もし万が一…何かあった時には私がやったんだと、その様に口添えをして頂けないでしょうか
P,…
婦人,主人は…主人は本当に私の言われた通りに動いただけなのです…ですから…
美希,嘘なの
P,…
婦人,本当です！
美希,嘘なの！おばさんからは嘘の匂いがするの…
P,…
美希,悲しい嘘をついてる人の匂いなの
婦人,そんな事…
P,まぁ美希が言うならそうなんだろう…安心してください奥様、私は絶対にこの事を他言いたしません
婦人,…
P,ご主人、奥様にここまで言わせたんです…
主人,わかった…すぐに連絡させてもらおう…
P,よろしくお願いします
主人,しかし探偵さん、難儀なものだとは思わないかね？
P,難儀…ですか？
主人,会社の経営が立ち行かなくなって、家の中の売れそうな物は全て売った…なんとしてもこの屋敷と刀だけは人手に渡したくはなかったからね。先祖が武士としての誇りを持って継いできた刀と、父が大好きだった庭があるこの屋敷を…
P,しかし貴方はその誇りである刀も売ろうとし、そして家もカタに入れてしまっている…。さらにお父上が大事にしていた庭を守り続けた庭師までも犠牲にして…
主人,…例え誇りや思い出を失ったとしても、もっと守りたいモノがあったからからだよ
P,それは会社ですか？それとも見栄みたいなもの？
主人,いいや…それよりももっと大切なものだよ
美希,…
婦人,…
主人,しかし情けない、最後の最後でずっと自分が守りたいと思っていたものに…私自身が守られていたんだな
P,…
主人,刀が人手に渡る前に、貴方に会えて良かったよ
P,という事は…まだこの屋敷の中に？
主人,貴方の推察の通り…この屋敷の中にある
P,…
主人,あの刀を手放そうとした時に私の運命は決まっていたのかもしれないな…。刀は武士の魂…それを手放すということは武士にとって死をも意味する。すまん…随分と苦労をかけたな
婦人,あなた…
P,…
美希,…
主人,あぁ…そうそう、やよいちゃんと言ったかな？
やよい,はい…
主人,弥吉と君、それと御家族には本当に迷惑をかけた…申し訳ない…
やよい,い、いえ…
主人,すぐにお父さんを出してもらうようにするから…少しだけ待っていて欲しい
P,…
主人,探偵さんと、それとそこの可憐な助手さんも…ご迷惑をおかけしたね
美希,…
P,いえ、私は依頼のために動いただけですから
弥吉,旦那！今日の手入れが終わりやした！
やよい,うっうー！終わりましたー！
P,あぁ…弥吉さんもやよいちゃんも、お疲れさん！しかしこんな庭をわざわざ手入れしに来なくたって良いのに…
やよい,お父さんを助けてくれたお礼です！これからもずっとやらせてもらいます！
律子,あっ、二人共すぐにお茶を用意しますからね！
弥吉,いえ！これからあっしらは四条様のお宅に伺わなきゃなんねぇんで！
P,これからいくんですか…どうですか、あそこは庭が広くて大変でしょう？
弥吉,確かに広いですがね、腕がなるってもんですよ！旦那が四条様に口を聞いてくれたおかげでさぁ！
P,いやいや、俺は四条のお嬢様に腕の良い庭師はいないか聞かれただけだからさ
弥吉,何言ってんですかい旦那！こうしてお天道様の下で仕事できんのも、旦那のお陰なんですから！
P,それならやよいちゃんのおかげですよ、彼女がここに来なければ自体は変わっていたかもしれませんしね？
弥吉,そりゃまぁ確かに！しかし旦那とお嬢さん随分仲がよろしいんですね？
P,仲が良いって…昔馴染みなだけですよ
弥吉,お屋敷に伺うたんびに、お嬢さんに旦那はどうしてるのかって、あっしは聞かれんですぜ？
P,ははっ…
美希,ハニー？お嬢様ってだれなの～…
P,だから昔からの知り合いなんだよ…お前が突っ込んでくるような話題じゃないって…
美希,怪しいの…
弥吉,おっとコイツはいけねぇ…奥方様の前で他の女の人の話なんてまずかったですかねぇ…
美希,お、奥方様！
P,誰が奥方様ですか、こいつはただの居候ですよ
弥吉,あらっ？あっしはてっきりそういう仲なんだと
美希,ぜーんぜん間違ってないの！大当たりなの！
P,間違いしかないわ！
弥吉,おっと、話の途中ですがあっしはそろそろ行かないと…そいじゃこれで！また近いうちにまた伺いやすから！ほらやよいも行くぞ！
やよい,はーい！それじゃあ先生！私もまた来ますね！
P,おう、二人共気をつけて
美希,ふふっ…奥方様なの…
律子,あんたはいつまで悦に浸ってんのよ…
P,ふぅ…
律子,はい先生、珈琲どうぞ
P,おぉ、ありがとう…
律子,やよいちゃん、あれから弥吉さんにべったりですね
P,そりゃあべったりもするだろうさ…わけのわからん罪で危うく父親を失いかけたんだからさ
律子,弥吉さんの話だと、どの仕事場にも一緒について行ってるらしいですよ
P,弥吉さんも満更じゃないようだし良いんじゃないか？
律子,そうですね
P,…
律子,…
P,…
律子,ところであの二人…知ってるんでしょうかね
P,何の話だ？
律子,なんのって…決まってるじゃないですか、例の夫婦の事ですよ
P,…
律子,やっぱり知らないんですかね、二人共元気な感じだし…弥吉さんは字が読めないから新聞も読まないって言ってましたし
P,噂好きの江戸っ子が知らないわけ無いだろう…やよいちゃんだってきっと知ってるさ
律子,え…でもとてもそんな風には…
P,元気に振舞ってるだけだろ…
律子,そうなんですかね…
P,あんな胸糞の悪い結末じゃな、俺だって気分は良くないよ
律子,えぇ、まさか…自殺してしまうなんて…
P,それも、家宝の刀でだ…あぁ気分が悪い！
律子,奥さんは後を追ったみたいだって新聞には書いてありましたけど、本当なんでしょうかね？
P,書いてあったんならそうなんだろよ
律子,あら…てっきり先生のことだから、警官さんにでも詳しい事を聞いてるかと思ったんですけど…
P,聞いてないよ…というか聞きたくない…
律子,そうですか…
P,…
律子,…
P,…
律子,あっでも、とりあえず美希が代わりなくて良かったですね…あの子が一番そういう事に反応しそうですし
P,美希なぁ…あれが一番、元気に振舞ってるだけなんじゃないか？
律子,え？でもあの子いつもより元気なぐらいで
P,いつもより元気ってのが何よりの証拠だよ…
律子,あっ…
P,あれは育ってきた環境のせいか人の心の動きに機敏な子だ。もしかしたら、あの時既に…二人が死ぬかもしれない事がわかっていたかもしれないな
律子,美希…
P,はぁ…
律子,…
P,悪い、ちょっと外に出てくる…美希の事頼むよ律子嬢
律子,あ…はい
P,それと…マッチをもらえるか？
律子,珍しいですね煙草吸うんですか
P,儀式みたいなもんだよ…
律子,それじゃあマッチを…
P,ほい…じゃあな
律子,でも、どう見たって一番やられてるのは先生なんですけどね…大丈夫かしら
P,ふぅー…。武士のまま死ぬ…か。…。ふぅー…。…。刀がなきゃ武士は武士でいられない…。でも結局、守りたかったもの何一つ守れてやいないじゃないか…。…。…。やっぱり死のうとする人間の考えは俺にはわからんな…。ふぅー…。…。この馬鹿野郎
事件２,真犯人を探せ
P,仕事が舞い込んでくるなんて！
美希,雨が降っちゃうの！
律子,あんたらねぇ…
P,そうか…これは最初から違ってたんだ
美希,さ、最初から？。ハニーの想い人は美希なの！
P,何を言っとるんだお前は…
あずさ,私の恋人を探して欲しいんです…
事件３,想い人を探せ
