モバP,ごめんって。現場で偉いさんとの話や手続きが長引いてさ……
七海,近づかなければ愛らしくてカッコいい、そんなサメなのれすが……敵に回すとそれはもう～
むつみ,…………
P,な、七海さん？何のお話かな？
七海,七海はお魚の知識だけれなく、聴覚にも自信があるのれ～
乃々・雪美・芽衣子・ちひろ,…………
P,…………。……えっ？
まゆ,Ｐさぁん、お帰りなさい♪うふっ♪
P,……あっ
乃々,……浮気自体はさほど問題じゃないんですけど……NTR興奮しますし
P,すんな
乃々,それよりももりくぼは……もりくぼは……う～
P,なんだよ。何が言いたいんだよ
乃々,……別に何でもないです
P,……ふっ。分かってる分かってる
乃々,えっ？
P,乃々も……水族館に行きたかったんだろ？
乃々,…………
P,そう言うと思って買ってきたぞ。……じゃん！
乃々,！？……なんですかこの……カード？。……あ、あんな遠い所にある水族館……フリーパス貰っても使えないんですけど……。……あ、あと……このフリーパスに使われてる私の顔写真は……
P,あ。それは俺が普段から財布に入れてあるヤツを使った
乃々,……！……！
P,痛い！殴るな殴るな。お、おう。すまん？
乃々,怒ってたことが、もうどうでも良くなってくるんですけど！
P,やっぱり拗ねてたんじゃねーか
乃々,拗ねてません！。……はい
P,んじゃ、あらためて……誕生日おめでとう。乃々
乃々,……ありがとぅ……ございます。…………
P,乃々？
乃々,……す
P,す？
乃々,す、少し……足りません
P,えっ？
乃々,少し……足りないので……目を瞑って……下さい……
P,別にいいけど……それはどういう。！？
乃々,……う、上書き……なんですけど。………。……浮気自体よりも、それを隠して飄々としてる所が不満でしたが……今回はこれで良しとします
P,うっ……
乃々,黙って家を空け、後をつけたもりくぼにも非がありますしね……
P,……だから帰宅した時、イヴが干からびて泣いてたんだな
乃々,……ねぇ。Ｐさん
P,……なんだ？
乃々,Ｐさんのお膝……あったかいです……
P,……そうか
乃々,ここに座っていると……今みたいに向かい合って座っていると……特に……Ｐさんのことがよく分かります……
P,………
乃々,今日は芽衣子さんの帰りも遅くなるみたいですし……
P,…………
乃々,…………
P,…………
乃々,……い……いいんですよ？
P,……っ！……の、乃々っ！。着メロ……この曲は芽衣子からか……
乃々,あとちょっとだったんですけど……
イヴ,あー。唐揚げうめぇ！
ブリッツェン,ブモッ
P,はい。俺だけど。シ、シテナイアルヨ。なんでっ！？。どうやってじゃなくて、なんでって聞いたんですけどっ！？。なんのや！
乃々,なぜ急に関西弁……
P,一緒にいるのか……。いやほんと何してんだ……。だからっ！。何その地獄絵図。なんでいるの？
芽衣子さらについでに、その３人のまわりを、はっぴを着て大きなうちわを持った七海ちゃんが,そいやそいやっ
P,煽るな煽るな。ソウダネ。思う存分食い溜めさせてやってくれ……！。むつみまでいるのか。！？。…………。…………。な、七海ぃーーっ！？
