また、モブ,演出家・王子役など
智代子,あ……うん、そうだよね
夏葉,それじゃあ、続けるわよ
智代子,う、うーん……？分かるようなー、分からないようなー……
果穂,むむむ、むつかしいです……
凛世,王子様は、報われないのですね……
果穂,えーと……最後にガラスの靴を返したのは、サンドリヨンさんに戻ってきて欲しかったから、ですよね？
凛世,はい。その通りだと……思われます……
果穂,そうすると、サンドリヨンさんが、ガラスの靴を置いていったのは……
智代子,王子様が探しに来ると思ったから、じゃないかな。それで、シンデレラが見つけてもらえるように……だと思う。多分
果穂,……？じゃあ、そもそもサンドリヨンさんは、何で舞踏会に行ったんでしょう……？
智代子,それは、その……なんでだろうね？
夏葉,それで相談というのは、役作りのことなんだけど……
智代子,そ、そうだった。あれ？夏葉ちゃんの役ってたしか……
凛世,シンデレラ様で……ございですね……
智代子,あー……。ズバリ！夏葉ちゃんは、かなり切羽詰まっていると見ました！
果穂,ど、どういうことですか！チョコ先輩！？
智代子,ズバリズバリ！夏葉ちゃんは、シンデレラのキャラが掴めずに悩んでいるのです！。何故なら！夏葉ちゃんとシンデレラで、キャラが違いすぎるからです！
凛世,切羽詰まっている、というのは……？
智代子,夏葉ちゃんが素直に頼ってくれてるから、そういうことなのかなって。滅多にないことだし
凛世,納得、致しました……
夏葉,演出家の方曰く、お前の演技は、ただキャラの輪郭をなぞっているだけ……だそうよ。正直な所、舞台の練習が上手くいっているとは言い難いわ
智代子,ううん……何かアドバイスできれば良いんだけど……うーん……
果穂,樹里ちゃん、来れないのが残念です……
智代子,そうだね。後は樹里ちゃんくらいだもん、舞台経験があるのって……。あ、そうだ！はい、果穂先生！
果穂,なんでしょうか、園田さん
智代子,学ぶは真似ぶということで、シンデレラに似た人を観察してみるのはどうでしょう！
夏葉,同じ事を、プロデューサーからも言われたわ
智代子,あれ、そうなの？というか、プロデューサーさんにも相談してたんだ
夏葉,ええ。六日ほど前だったかしら。問題は、学ぶ対象が丁度よく居てくれるわけではない、という所よね
智代子,あ……うん、そうだよね
凛世,では、次は私が……
果穂,はい、杜野さん！
凛世,はい……。夏葉さんは……シンデレラの話を、あまり好まれていないのでは……？
夏葉,どういうことかしら？
凛世,好きなものを語る時ほど……人の気持ちも……高まるもので、ございます……。先ほどまでの、智代子さんの様に……
智代子,え
凛世,逆もまた然り……だと思います……。今日の夏葉さんは、覇気がなく見えましたので……
夏葉,……たしかに、凛世の言う通りかもしれないわね。待っているだけなんて、性に合わないもの
果穂,夏葉さんなら、悪い継母さん達なんてやっつけちゃいそうです！
智代子,うんうん。お城に行くのだって、カボチャの馬車を使わずに徒歩で行っちゃいそう
夏葉,そんなことは事はしないわよ
智代子,あ、さすがに？
夏葉,でも、そっか。好みじゃない、か……
智代子,夏葉ちゃん、そういえば何だけど
夏葉,何かしら？
智代子,ここ数日、夏葉ちゃんの家に泊めてるよね。たしか、アルストロメリアの……
夏葉,甜花ね。舞台練習の為よ
智代子,それって、いつから？
夏葉,……三日前からになるわ
智代子,そっか。三日差かぁ……どうなんだろう。でも、勘違いだとなぁ……
夏葉,言ってちょうだい、智代子
智代子,あ、うん……さっきの真似ぶの話に戻っちゃうんだけど。プロデューサーに相談したのが五日前で、その数日後に、甜花ちゃんが来たんだよね？
夏葉,……ええ
智代子,やっぱり、そういうこと……なんじゃないかな
甜花,て、甜花は……美味しくない……です……！
カトレア,はっ！はっ！
甜花,ひんっ！
夏葉,その……何をしているのかしら？
甜花,あ！た、助けて……夏葉さん……！
カトレア,ハゥッ！はっ！はっ！
甜花,ひんっ！
夏葉,ステイ、カトレア
甜花,あ、ありがとう……夏葉さん
夏葉,礼には及ばないわ。カトレアの方から、近寄って来たのでしょう？
甜花,うん……練習してたら、急に。そんなこと今までなかったのに、何でだろう……
夏葉,カトレアも、アナタに馴れてきたんじゃないかしら。もう三日目だしね
甜花,そう、なのかな……？
夏葉,少なくとも、もう警戒はされていないわよ
甜花,そうだと……嬉しい
夏葉,ほら、アナタからも撫でてあげて。カトレアも遊んで欲しかっただけだから
甜花,や、やってみる……！えっと……よし、よし……
カトレア,……くぅん
甜花,可愛い、ね……にへへ……
夏葉,でも……あの推測が、まるで的外れだとも思えないのよね。……
甜花,夏葉さん……？甜花、何か変……？
夏葉,いえ、変なところは無いわ。ただ……。アナタって、髪も肌も凄く綺麗よね
甜花,え……あ、ありがとう……ございます……？
夏葉,普段の手入れって、どういう風にやっているの？
甜花,甜花……そういうのしたこと、ない……
夏葉,……！特に何もせずに、これを保っていられるの……！？
甜花,そ、その……なーちゃんが色々持ってて、よくやってくれる……。えっと……だから、方法とかはよく分からない、です……
夏葉,……納得したわ。甜花、浴室に行くわよ
甜花,い、今から……？
夏葉,ええ、今すぐ。さ、行きましょう。基本の基から教えてあげるわ
甜花,夏葉さん、どう……？
夏葉,気持ちいいわ。上手なのね、甜花
甜花,なーちゃんと、時々してるから……
夏葉,本当に仲良しなのね、アナタたち
甜花,うん。なーちゃんは……甜花にとって、自慢の家族だよ……。何でもできるし……優しいし……。……それに家族だから、仲良し
夏葉,家族だから……ね
甜花,夏葉さん、家族仲は良くないの……？そうは見えないけど……
夏葉,いたって良好よ。私は家族の事が好きだし、有栖川の家のことも誇りに思ってる。両親からだって、信頼を得れているわ。……大したことじゃないわ。さ、もう流してちょうだい
甜花,うん……分かった
夏葉,いっそのこと、服とかのコーディネートまでやってしまおうかしら。でも、ダメね。それは寄り道がすぎるわ
甜花,それじゃあ……またの機会、だね
夏葉,いいの？
甜花,甜花、そういうのも勉強中だから。見てくれると、嬉しい……
夏葉,それなら大船に乗ったつもりでいなさい。私、人の服を見繕うのは得意なのよ
甜花,特技の……トータルコーディネート、だよね……
夏葉,あら。私のプロフィール、見てくれてたのね
甜花,うん、気になっちゃって……
夏葉,アナタは何を書いたの、特技のところ
甜花,え、甜花……？甜花は……。その、えっと……自分の口からだと言いにくい、です……
夏葉,……？それなら、後で自分で確認するのは……。恥ずかしく思うような特技なのかしら……？。自分のことながら、酷いうっかりね。もっと早くに見ておけばよかったわ。見つけた。ええっと、身長159cmに体重が44kg……。出身地・富山県……趣味・お昼寝、ネットサーフィン、アニメ、ゲーム……。特技……。特技……特に無い。だけど……。また、だわ……
小道具,というわけでラストシーンは、当初に予定していた通りの演出となります。再確認致しますと……ステップ1、シンデレラ役が舞台の池にガラスの靴を返す。ステップ2、靴が沈んだのを確認した後、上部から煙を降らせて舞台を隠す。ステップ3、煙で舞台が隠れている内に、総出で指定されたセットを撤収する。以上の段取りもちまして、魔法が解けるという演出になりますが、何か質問はあるでしょうか
継母役,ネックだった煙の量とか、降らせる方法は？。スモークマシンだけだと、まばらな煙になるって話だったわよね
小道具,その点を解決するために、特注の巨大二重構造バルーンを用意しました。この特注バルーンは、内側バルーンの部分と外側バルーンに分けられて……。内側バルーンに煙が溜められる様になっています。外側バルーンには半径50ミリの穴が、既に等間隔で開けられています。天井付近に設置したこの特注バルーンに煙を注入しておき、必要なタイミングで内側バルーンを割って煙を降らせます。内側のバルーンで煙の量を確保して、外側のバルーンの穴によって、煙の出方を制御できる予定です。デメリットして、公演ごと内側のバルーンの交換が必要となりますが……
夏葉,内側バルーンに、穴を開ける方法は？
小道具,大道具さんに、既に作成してもらっています
大道具,ボタン一つで割れる仕掛けを作ってある。内側バルーンの一箇所にでも穴が開けばいいからな。簡単な仕事だ
王子役,一気に大量の煙を……となると、お客さんは大丈夫なの？
小道具,人体には無害なので健康被害はあり得ません。一応ですが、最前列を開けて、吸引機を設置することになっています
義姉2役,ケムることを観客が知れるの？一応の注意喚起とかをした方がいいんじゃない？
小道具,ええっと、それは……
演出家,ああ
小道具,はい。採用の方向で、検討させてもらいます
王子役,あ、そうそう！例の脅迫じょ……
演出家,その話は後にしろ
継母役,？それじゃあ、ステージの……
甜花,ラストシーンの打ち合わせ……みんな、気合いが入ってた……
夏葉,一番大切なシーンだもの。自然な事だわ
甜花,甜花も……このラストシーンは、好き……
夏葉,私もよ
甜花,……甜花、本当に何もしなくていいのかな？
夏葉,仕方がないわよ。割り振りが決まったのは、代役を探してる時期だったから
甜花,それは、そうなんだけど……でも……。でも……みんな凄いよね。こんな大きいの……甜花の力じゃ、無理かな……
夏葉,動かせるわよ
甜花,え……かなり重そう、だよ……？
夏葉,見た目はそうだけどね。甜花、裏側を覗いてみなさい
甜花,裏側……？あ……
夏葉,動かしやすくしているみたいよ。言い方が悪くなるけど、ハリボテみたいな物ね
甜花,工夫、してるんだ……。これなら甜花でも、役に立てそう……
夏葉,撤収にも代役が必要になったら、その時はアナタの出番が来るかもしれないわね
甜花,そうなったら、頑張る……
夏葉,甜花だったら、どんなセットでも十分役に立てるわ
甜花,そう、かな……？
夏葉,ええ。筋トレ、頑張っているもの
甜花,あ……うん……
物を引き寄せる筋肉である、腕橈骨筋,わんとうこつきん
甜花,毎日、やってるもんね。筋トレ……
夏葉,日々の筋トレは欠かせないわ。二人なら、出来るトレーニングの幅も広がるし
甜花,筋肉って……そんなに、舞台の役に立つのかな……？
夏葉,全てにおいて、筋トレは裏切らないものよ
甜花,そ、そう……だよね……。……甜花、夏葉さんのこと……わかってきたと思う……
大道具,アンタには、人の気持ちなど分かるまい……！
演出家,……
大道具,不出来な弟の気持ちなど！俺の気持ちなど……！。優秀なアンタには……！絶対に……！
演出家,そうかもな
大道具,……っ！
演出家,なら、どうすればいい？
大道具,もういい……！！
演出家,おい、いるんだろ？入んな。つまんねぇところ、見せちまったな
夏葉,い、いえ……。その、御兄弟だったんですね
演出家,そうだな。仲の悪い兄弟だよ。というか、Pの奴から聞いてないのか
夏葉,P……？。うちのプロデューサーの、Pですか？
演出家,そうか……あの野郎、何も話してないんだな。そりゃそうか。古巣の事なんて、そんなもんだ。まぁいい。呼び出した理由はこいつだ。持って帰って、貴社のプロデューサー殿に渡してくれ。少し前に、古い倉庫でボヤ騒ぎがあったんだ。それで倉庫の整理をしてたら、コイツが出て来たんだよ。捨てても良かったんだが、一応な
夏葉,……あの人は何故、この劇団を辞めたんですか？
演出家,嫌気がさしたんだろうさ
夏葉,嫌気……
演出家,何かと鋭い奴だったからな。気づいてしまったんだろうさ、俺と弟の軋轢に。あいつは、見て見ぬ振りだって出来たんだろうけどな。知った顔で捨て台詞を吐いてから、この劇団を去って行ったよ。奴に言わせると……。優秀な身内というのは、苦しいものですよだとさ
甜花,夏葉さんは……甜花の先輩なのかな……？
夏葉,質問の意図が、よく分からないのだけど
甜花,あ、そうだよね……えっと……。さっきまで、なーちゃんと電話してたんだけど……。夏葉さんのこと……なーちゃんが知ってるか、分からなかったから……。事務所の先輩って、言ったんだけど……変じゃ、なかったのかな……？
夏葉,ああ、そういうこと。それだと、そうね……。……っ！
甜花,な、夏葉さん……？どうしたの……？
夏葉,その……ジャガイモが一つ、生煮えだったわ
甜花,失敗すること……夏葉さんでも、あるんだね
夏葉,私だってそれなりに……いえ、たまには失敗する事もあるわよ。最近までは、自分の力を過信することも多かったしね
甜花,……そう、なの……？
夏葉,でも！カレー作りに関しては、かなり上達しているのよ！。これでも！。……カレーのことはともかく、話を戻すわよ
甜花,うん……
夏葉,芸能界における先輩後輩って、芸歴で決まるものじゃないかしら。とすると、デビューの時期は同じくらいだし……先輩とは違うと思うわ
甜花,やっぱり、そうだよね……
夏葉,ちなみに、どういう話の流れでそう言ったの？
甜花,なーちゃんに、今どこにいるのかを、聞かれた……
夏葉,……え
甜花,それで、先輩の家だよ……って
甘奈,そういえば、甜花ちゃん。今って、何処にいるの？。自分の部屋……じゃないよね？。声の聞こえ方……かな。前の時みたいに、若干こもった風じゃなかったから。それで室内じゃなくて外にいるのかなって、思ったんだー
甜花,やっぱり……なーちゃんは、さすが……
甘奈,甜花ちゃんのことだもん。そのくらい、分かっちゃうよ☆。それで、帰る途中？それとも事務所近くの公園とかかな？。甘奈も、もうすぐ家に着くから……。な？
甜花あ、その……,事務所の
甘奈,え……？学校の。え、えっと……甜花ちゃんと仲のいい先輩の話なんて、聞いた事ないけど……。さすがに女の人……だよね？た、確かめなきゃ……！。……甜花ちゃん。その人って、どんな人なの？。背が高くて！格好いい男の。～～っ！。もう8時も回ってて……それで、甜花ちゃんが先輩の家にって……。だ、ダメだよ、甜花ちゃん！甜花ちゃんには、まだ早いよ！。と、とにかくダメ！この時間に人の家なんて！まして、お泊まりなんてしたら……。え……。え……？。……あ！待って、甜花ちゃん！待っ……！。……あ、切れちゃった……。……。～～～～～～っ！！。た、助けて……千雪さん……プロデューサーさん……！
P,さて。落ち着いたか、甘奈？
甘奈,うん……。ごめんね、プロデューサーさん。変なところ見せちゃって
P,謝ることはないさ。直帰するって言ってから、急に来たことには驚いたけどな。それだけだよ。紅茶だ。甘奈の分も淹れておいたぞ
甘奈,……ありがとう、プロデューサーさん
P,どういたしまして。……それにしても、甜花も少しおっちょこちょいだな。泊まりの事、伝え忘れているだなんて
甘奈,……忘れてただけ、だよね。伝えなくてもいいって思われたわけじゃ、ないんだよね？
P,それは考えすぎだ。甜花がどういう子なのか、甘奈が一番知ってるだろ。それに、甜花は集中力が高いからな
甘奈,そ、そうだよね。それくらい甜花ちゃんが、真剣だってことで……。それは、間違いなく良い事のはずなんだけど……。でも……
P,……
甘奈,……
はづき,コホン
P,あ、はづきさん
はづき,あとは何ですか。あとは。ずっと居ましたよ。甘奈さんと、一緒に戻ってきたんですからね
P,それはそうなんですが、全く会話に入って来なかったものですから。何にせよ、お疲れ様でした。地方遠征の引率は大変だったでしょう
はづき,ええ、本当に。そもそも社長は、人使いが荒すぎます。普通なら、アルバイトの事務員に出張とか任せないですよね
P,それほど信頼されてるってことじゃないですか。人間的にも、能力的にも。事務員とは何ぞや、と思いますけどね
はづき,まぁ……任せて頂いた以上は、ちゃんと責任持ってやりますけど
P,そういう所ですよ
はづき,……と、そういう話がしたいんじゃないんです。プロデューサーさん、言ってましたよね。甘奈ちゃんが帰ってきたら、ぜひ見せたい物があるって
P,ああ、そうでした。驚いたせいで、すっかり忘れてましたよ
甘奈,甘奈に、見せたいもの？
P,正確にいうなら読ませたい物かな。今は時間大丈夫か、甘奈？
甘奈,うん。元々、家に帰るだけだったし……
P,それなら、これを。はづきさんも読んで、意見お願いします
はづき,はい、お願いされました～
甘奈,……あ、これって……
P,ああ。シンデレラとサンドリヨンの舞台台本だ
はづき,むむむ……
甘奈,……
P,二人とも読み終わったみたいですね。どうでした？
はづき,そうですね。なんというか、不思議なお話でした。元の話から結構変わっていて
P,だけど、悪くない話じゃないですか？
はづき,そうですね～。私は好きかもしれません。あ、でも……サンドリヨンさんが舞踏会に行った理由、よく分かりませんでした。あ、単にお城に憧れたからでない事くらいは分かりますよ。シンデレラに、思う所があったんですよね。ただサンドリヨンの気持ちに、しっくり来る解釈が思いつかなくて……
甘奈,……甘奈は、分かる気がする。きっとね……サンドリヨンも、置いて行かれたくなかったんだ
はづき,甘奈さん？
甘奈,姉妹から知らない世界の話を聞かされて、怖くなった。大好きな姉妹が見たものを、自分も見たくなった。それできっと、魔が差しちゃったんだ
P,……その、根拠は？
甘奈,ここだよ。サンドリヨンが、王宮を去るシーン
P,サンドリヨンが王子に名を問われて、何も言えなくなった場面だな
甘奈,うん。サンドリヨンは、どちらの名前も言わなかった。王宮での暮らしを夢見るなら、サンドリヨンだと。姉妹のことだけを思うのなら、シンデレラだと。そう言えれば、よかったはずなのに……
P,そうだな。姉妹が大好きだったからこそ、どうすべきか分からなったのだろう
甘奈,……でもサンドリヨンは、最後にちゃんと答えを出したんだね
P,ああ。ガラスの靴は、シンデレラの手元に残った
甘奈,ねぇ、プロデューサーさん
P,何だ？
甘奈,なんで甜花ちゃんを、この舞台の代役に選んだの？
P,……。理由は二つ。一つは夏葉のため。甜花が、彼女の演技の助けになると思ったからだ。そして、もう一つはもちろん、甜花のためだよ。この舞台は間違いなく、甜花の成長に繋がると思ったんだ。……サンドリヨンというのは、シンデレラのフランス語書きだ。和名なら灰かぶり姫か。言語の違いの他に、サンドリヨンと言う場合は、シャルル・ペロー版のシンデレラを指すことが多い
はづき,まるまる版と言うと……。ああ、シンデレラの話って色々ありますもんね
P,元は民間伝承ですからね。まとめる人や媒体で、少しずつ話が異なってはきます。まぁ、長々と講釈を垂れて、結局なにが言いたいのかと言うと……。シンデレラもサンドリヨンも、元は同じ人物だって事ですよ。この舞台の二人に関して言えば、コインの裏表みたいなもの。サンドリヨンの強さも、シンデレラの弱さも、表裏一体のはずなんですよ。だからこそ、この台本を初めて読んだ時に強く思いました。甜花に、シンデレラとサンドリヨンを演じて欲しいと
甘奈,……甜花ちゃん、この台本を何処まで読み解けたのかな？
P,さあな。それは分からない。だけど、甜花が今一生懸命頑張っているのは確かだよ
甘奈,そっか……。それなら……このお話なら……。ちょっとくらい忘れられても、仕方がないのかな……
はづき,あ
P,お
甘奈,うぇ？ど、どうしたの、二人とも……？
P,いや、やっと笑ってくれたなって
はづき,事務所に着いてからの甘奈さん、ずっと沈んだ顔でしたからね～
甘奈,え、そうだったかな……
はづき,はい♪プロデューサーさん、これで一安心ですね～
P,ですね。それじゃあ、元気になったところで、家まで送っていきますかね
甘奈,いいの？
P,当たり前だ。この遅い時間に、一人で帰すことはしないさ。あ、そうだ
甘奈,どうしたの、プロデューサーさん？
P,今日はもう無理だけど、時間を見つけて夏葉の所に遊びに行ったらどうだ？。甜花はもちろんのこと、夏葉も喜ぶぞ
甘奈,あ！それ、とっても楽しそうかも！。……あ、でも……。……でも、やめとくね
P,何でだ？遠慮する事でもないと思うぞ。俺が言うのも何だが
甘奈,ううん、遠慮とかじゃなくて。甜花ちゃんが頑張ってるなら、甘奈もいっぱい頑張んなくちゃ。だから、そういう時間はレッスンとかいれてね。プロデューサーさん☆
P,甘奈……
甘奈,大丈夫だよ。仕事とかあるから、甜花ちゃんと全く会えなくなるわけじゃないし。それに、甜花ちゃんの初回公演は絶対見にいくからね！
P,そう、か。そうだな……ああ。……少し早くなってしまったが、地方遠征お疲れ様だな。甘奈
甘奈,うん！
夏葉,……朝……。なぜ今更、そんな昔のことなんて……。まぁ、そんな夢を見ることもあるわよね。よし！甜花を起こしてきましょうか。甜……。これだけでも、愉快な気分になれるものなのね……。おかしいわ……。樹里じゃない。奇遇ね、こんな所で会うなんて
樹里,それはアタシの台詞だよ。何で夏葉がゲーセンに居るんだ？
夏葉,居たら、まずいのかしら
樹里,え？いや、そういう意味じゃねぇけど……。なんつーか、その……珍しいと思ったんだよ。うん
夏葉,樹里、手を貸してほしいわ
樹里,は？
夏葉,これで遊びたいのだけど、どうしてか動かないの。壊してしまったのかしら
樹里,そりゃ、お金を入れないと動かねーよ
夏葉,キャッシュカードじゃ駄目なのかしら？
樹里,いや、何処に読み取らせるんだよ
夏葉,あ、ICカードはあるわよ！最近作ったの
樹里,それも同じ！読み込む所が明らかにねーだろ！？
夏葉,そ、そういう物なのね……
樹里,あのな。小銭が無いなら、そこらへんにある両替機で……まぁ、いいか。アタシもやる。二人プレイできる奴だろ、これ
夏葉,このゲーム、得意なの？
樹里,操作方法は知ってるけど、やった事は無い。あんまし、やろうと思えなくて……。というか！夏葉は大丈夫なのかよ、このゲーム
夏葉,何がよ？
樹里,何がって、その……このゲーム、ゾンビ物じゃん
夏葉,……。大丈夫に決まっているじゃない。樹里、アナタこそ怖がっているのかしら
樹里,ア、アタシだって全然平気だっての！
夏葉,なら何の問題も無いわね。始めるわよ！
樹里,お、おう！……って、ちょっと待て夏葉！今選んだの、最高難度じゃなかったか！？。おい、夏葉？夏葉！？
夏葉,……
樹里,なぁ、もう止めにしないか？
夏葉,そう……ね。諦めることにするわ、さすがに。付き合わせちゃって、悪かったわね
樹里,別にいいよ。アタシも楽しかったし
夏葉,そう言ってくれると、ありがたいわ
樹里,無理もねえよ。このゲームの最高難度、クリアできない事でちょっと有名だしさ。夏葉だって、やったの初めてなんだろ？
夏葉,家にあるエアガンくらいなら、撃った事はあるんだけど……
樹里,たぶん関係ねーぞ、それ
夏葉,これがクリアできたら、ゲームが特技って言えるのかしら
樹里,特技？いや、どうだろう。人に寄るんじゃないか
夏葉,じゃあ、これを片方の銃だけでクリアできたら？
樹里,そんな奴、居ると思えねーけど……。そんな事まで出来たら、胸張って良いと思うぞ
夏葉,そう……そうよね
樹里,もう行くのかよ？
夏葉,事務所に戻ってみようと思うの
樹里,ふーん……。その……込み入ったこと、聞いたりしないけどさ。根詰め過ぎないようにしろよな
夏葉,ええ、ありがとう。樹里。甜……！。いない、わね……。何かしら、これ……？
千雪,綺麗ですよね、それ？
夏葉,えっと……千雪、でいいのよね？
千雪,はい。唯一の成年同士ですから、そういうのは無しでいきましょう
夏葉,でもプロデューサーには、最初から敬語を外していたわね
千雪,これ……とっても美味しいわ。上手なのね、夏葉ちゃん
夏葉,千雪の言う通りね。その髪飾り、本当に可愛らしくて綺麗だわ。手入れでもしていたの？
千雪,そんなところです。たまに陰干ししてあげないと、痛んじゃいますから。あ……でも、それは半分かな。何か理由を付けて、眺めたくなっちゃっただけなのかも。この髪飾り、アルストロメリアでの仕事で使った物なんです。思い出の品かな。また使うかもって思って、事務所に置いているの
夏葉,どんな仕事だったの？
千雪,縁日の取材のお仕事です。浴衣を着て行く予定だったから、それに似合う髪飾りを用意したんだけど……。結局、三人とも浴衣を用意できなくて、髪飾りだけを付けていく事になっちゃいました。ああ、えっと……そうですね……。甜花ちゃんのこと、知りたいんですよね？
夏葉,……驚いたわ。アナタ、人の心でも読めるのかしら？
千雪,事務所に入って来た時、名前を呼びかけていたじゃないですか
夏葉,……。それもそうだったわね
千雪,それだけじゃないですけどね。甜花ちゃん、夏葉ちゃんの事をよく話してくれますから
夏葉,甜花が、私のことを？
千雪,ええ。舞台での事とか、家での事とか……。最近はいつも、夏葉さんは凄いって言っていますよ
夏葉,甜花は……他人の事を、褒めてばっかりね
千雪,そうですね。ええ、確かにそう……
夏葉,……千雪。甜花について、聞きたい事があるの
千雪,はい
夏葉,彼女の、プロフィールの事なんだけど……。甜花には、出来ることがある。自信を持てない自分に、苦しんでいる。それなら何故……彼女は、自分を誇ってあげられないの？
千雪,私には、答えられない……と思います。夏葉ちゃんが望む答えを、私だと上手く言語に出来ないの。でも……一つだけなら、話をしてあげられます。だからその前に、聞かせて下さい。夏葉ちゃんは、何で甜花ちゃんの事を知りたいんですか？
夏葉,何故……。よく、分からないわ。最初は、演技の為だったわ。それも、もちろん大事な理由よ。それは変わっていない。だけど今は、それだけじゃないの。それらを、色々と引っくるめて、ちゃんと言葉にするのなら……。私は甜花の、良き友人で在りたいわ
千雪,このお話はね、甘奈ちゃんから聞いた物なの。甘奈ちゃんに取っては、甜花ちゃんをもっと好きになった話なんだけど……
夏葉,甜花がどう思ってるかは……分からない
千雪,そう。甜花ちゃんから、この話を聞いた事は無いの。甜花ちゃんですから、そこまで深刻に引きずってはいないと思いますけど。……少なくとも、表面上は
夏葉,あれは小学生の頃。何かのコンクールの結果を、報告した時の……。甜花も、同じ痛みを感じたとしたなら……
千雪,お役に立てたようで、良かったです
夏葉,だから、私は……。だから、確かめなくちゃ。明日の……早朝。また、早朝ね。起きて、甜花。着いたわよ
甜花,ふぇ……？あ……うん……
夏葉,悪いわね。朝早くから付き合わせちゃって
甜花,ううん、大丈夫……車の中で寝れたから……。甜花……その気になれば、何処でも寝れる……
夏葉,それは便利でいいわね。さ、こっちよ
甜花,な、夏葉さん……こ、ここ……どこなの……？
夏葉,何処、と言われる難しいわね。だけど心配はいらないわ。有栖川家の管理してる土地で、ちゃんと許可は取っているから
甜花,あ、そうなんだ……それじゃあ、甜花を連れてきたのは……
夏葉,アレよ
甜花,え……これって、エアガンと的……だよね……。甜花、これ……撃ってみてもいいの……？
夏葉,ええ、もちろん。その為に連れて来たのだもの。でも条件……というより、やって欲しい事があるわ。あの右から三番目の的、距離にして20メートル。アレに当てられるようになりなさい。時間は30分。できそう？
甜花,サイトとかの……調整は……？
夏葉,好きに使ってもらっていいわ。道具は一通り揃えてあるはずよ
甜花,それなら……うん、やってみる……
夏葉,一応聞くけど、使い方の説明は必要？
甜花,ううん、大丈夫……
夏葉,……そうよね。経ったわよ、30分
甜花,え……？あれ、もう……？
夏葉,ラスト五分の命中率が八割五分くらいかしら。なかなか良い成績じゃない
甜花,そ、そうかな……にへへ……。あ、でも……撃つのは初めてってわけじゃない……
夏葉,エアガンも経験あったのね
甜花,うん、ちょっとだけ……それに興味があって……色々調べたことあって……。だから、甜花……大したことないよ……？
夏葉,私が……今、やったとして。アナタの射撃精度には及ばないわ
甜花,夏葉さん……？だけど……
夏葉,聞いて、甜花。私はアナタに聞きたい事があるの。だから、今日この場所にアナタを呼んだの。見たわ、アナタのプロフィールと……その特技のところも。でも、見たのはそれだけじゃないの。ゲームセンターでのアナタも、今ここで銃を撃つアナタも見たわ。確かな技術をアナタは持っている。だけど、それを誇ることは決してない。誇ることなく、ただ自分を痛めつけている。教えて、甜花。アナタは……。アナタは何で……！
甜花,……甜花、誰かの役に立てるわけじゃないから……。射撃じゃ……なーちゃんの役には、立てなかったから……。質問、ちゃんと答えられてるかな……？
夏葉,……ええ、これ以上ないくらいに。甜花
甜花,なに、夏葉さん……？
夏葉,今日の舞台練習、私を見ていなさい。瞬きすらさせないわ。だから私の姿を……。目に、焼き付けていて。サンドリヨン……何処に、行ってしまったの……。私は、そんなつもりじゃなかった……。そんなつもりで、舞踏会に行ったのではないの……。サンドリヨン……貴女が、羨ましかった。舞踏会に行けば、貴女に追いつけるのだと思った……。それだけ……それだけ、なの……。私は……あの笑顔に、いつも心の中で震えていた……。その手のひらが、いつだって怖かった……。だけど……貴女の事が、好きだった……。私は……！貴女と自分を比べてしまって、苦しかった……！。それでも、貴女を憎めなかった……！。惨めな自分を……！浮き彫りにされるのが、たまらなく嫌だった……！。それでも、貴女を嫌いになんてなれなかった……！。貴女に、悪いところなんて無い……どんな私でも愛してくれるって、分かっているわ……。貴女を、憎いと思った事なんてない……！。私達は露ほどだって、貴女を嫌いになったりしない……！。居なくなって欲しいなんて、一度だって思った事はないよ……！。だから笑いかけてよ……！手を差し伸べてよ……。その恐ろしい両腕で、私を抱きしめて……。側に居てよ……離れて、いかないでよぅ……。……お姉ちゃん……
甜花,今日の演技……よかった、と思う……。その……なんて言うか、鬼気迫る……？みたいな……
夏葉,褒めてくれて嬉しいわ。でも、まだまだ私は満足していないわよ。セリフだって、間違えてしまったし
甜花,で、でも……！。演出家さん……そこ以外は、褒めてくれてたよね……？
夏葉,そうね。分かりにくかったけど、そうだと思うわ
甜花,うん……あれは、分かりにくいと思う……
夏葉,ねえ、甜花。私、信じている事があるの
甜花,それって、神様とか……奇跡とか……？
夏葉,ううん、そういうのじゃなくて。言うならそう……信条という奴ね
甜花,……信条……
夏葉,ずっと思っていた事だけど、最近やっと言葉になったの。聞いてくれるかしら？
甜花,うん……聞かせて、欲しい……。夏葉さんが、信じてるものなら……聞きたい……
夏葉,ふふ、ありがとう。私は、信じてる。どんなに現実に打ちのめされて、自分の弱さに苛まされたとしても……。歯を食いしばって、足を地に踏ん張って、前を向いて立っていられるのなら……。必ず人は、望んだものに成れるって……私は、そう信じているの。だから──。──だから、私は言うわ。私は絶対に、トップアイドルになるんだって……。有栖川夏葉は、きっと何処へだって行けるんだって……！。どんな時だって胸を張って、私はそう叫ぶのよ！
甜花,甜花も……そう、なれるのかな……。甜花も、そんな風になりたよ……でも……。そう出来るのは……夏葉さんみたいな、凄い人だけだって……。そう……思っちゃうんだ……
夏葉,大丈夫よ、大丈夫。アナタが、私をそう思ってくれているなら……大丈夫。だって私達、結構似た者同士なんだから
大道具,初回公演、本当にやるんだな
演出家,変更はしない
大道具,例の脅迫状はいいのか？この前に見せてもらった奴。公演を中止しないと不幸になるぞ……だったか。何回か、送られてきてるんだろう
