闇の深いＰ(以降Ｐ表記),おー、ペイントボール頼むわ
Ｐ,楓さん、残念ですがこれでは俺達と同じゲームは出来ません
楓,だと思いまして、ちゃんと他にも持ってきてます
ありす,違うと思ったのなら何故持ってきたのでしょう…
幸子,こういうリアクション狙いでしょう、凄いドヤ顔ですね
芳乃,ですがー、これも見たことの無いものでしてー？
Ｐ,そうだな。楓さん…コレも違います。コレはゲームボーイです。ちょっとだけ進化しましたけどまだまだ時代が追いついてません
楓,大丈夫です。まだ用意してますから
Ｐ,ボケるためだけに色々持ち込んでくるのやめてくださいね
楓,う～…こ、これ、ちょっと、重い、です…
Ｐ,でしょうねえ、それはメガドライブ。もはや携帯機ですら無くなりましたハードです、ハード
楓,これも違いましたか…
Ｐ,どう見ても違うでしょ。どれだけ自由人なんですかアナタは
楓,…
Ｐ,え、マジでこれ当たりだと思ってた？泣かないで下さい引っ張らないで下さいどさくさに膝に乗ろうとしないでください
ありす,プロデューサーの膝は私のですっ！
Ｐ,いや俺自身のものだよ
みく,違うにゃ！みくの寝床にゃ！
芳乃,私の定位置なのですー
幸子,ボク専用の座椅子という名誉を上げますよ！
アッキー,いいや私のだ
Ｐ,おいゲームやろうぜゲーム。今度晶葉に参加人数もっと増やせるように頼んでみるか…
みく,事務所でモンハンやってる人結構多いもんにゃあ
幸子,乃々さんとか意外でしたね。むぅーりぃー
ありす,泰葉さんも上手ですよ。一緒にクエストいくとモンスター何度も麻痺させてくれてほとんど一方的です
Ｐ,まあ、中にはどれだけやってもジャギィにすら勝てない人もいるけどな…別に某東郷さんとか高峰のあナントカさんとは言わないけど
みく,おおぅ、それでぼかしてるつもりだったらポンコツにも程があるにゃ。まゆチャンレベルにゃ
芳乃,私もー、上達しませんのでー
ありす,その割に芳乃さんって一度もモンスターに倒されないんですよね…
幸子,モンスターも気を使っているのでは？
楓,プロデューサーさぁん…私も混ざりたいです、遊びたいです…
Ｐ,あだだだだっベルトを引っ張らないで下さい
芳乃,楓殿ー、私のゲーム機をお貸しするのでー
楓,ｽﾝ､ｽﾝ…、いいの…？
芳乃,私はー、皆様が楽しんでいるお姿だけで満足でしてー
楓,わーい。プロデューサーさん、ゲームしましょうゲーム
Ｐ,実年齢逆じゃないのかね、この２人
みく,じゃあ楓さん参加だしクック先生でもいくかにゃ？
幸子,そうですね。難易度下げてワイワイ楽しみましょう
Ｐ,よーし、ピニャコラタウス行くぞー
ありす,たった今難易度下げるって言いましたよね
みく,何なのにゃあこのクエスト！どこが難易度下げてワイワイやるのにゃあ！？
幸子,見たことも無いモンスターがウジャウジャ出てくるんですけどっ！？１エリアに大型モンスター４体とか酷すぎでしょ！
Ｐ,うおっ、この蒼アシラ凄ぇ勢いでクンスカしてきやがる
楓,この朱ムトルムってモンスター…さっきからリボンで縛ってくるんですけど、どうすれば…
みく,ほらありすチャンっ、ピニャコラタウスがきたにゃ！
ありす,わかってます！ああっ、後ろからミクボレアスが…ってあれ、弱い
みく,モンスターの強さ設定に悪意を感じるにゃ！
Ｐ,くっ…、こうなったら自爆するしか…
幸子,やめてください！モンスター倒す前にボク達が巻き込まれるだけです！
楓,うんしょ、よいしょっ…ああ、脱出できました…っと、回復アイテムは…
幸子,ﾌﾞｯ!
ありす,誰ですか一斉風靡流したのは！
みく,Ｐチャンも何でメルヘンデビュー流すにゃ！何の対抗心にゃ！
Ｐ,えっ…だって
ありす,ＢＧＭが混ざって耳が凄く気持ち悪いです！何でご丁寧に歌まで入ってるんですか！？
幸子,やってられますかぁもう！
Ｐ,ダメだこりゃ
芳乃,皆みなさまー、楽しそうで何よりなのでしてー
楓,プロデューサーさん、プロデューサーさん
Ｐ,はい、どうしました？
楓,とうっ
Ｐ,ごふっ
楓,ふふ、ようやくお膝に乗れました
Ｐ,それはよかったですね。お陰で俺は今の隙にやられましたけど
幸子,うぎゃーっ！ボクもやられました！何ですかこの蒼アシラって！シマムラージャンとミオシャンロン呼び出すとか、ゲーム画面モンスターで埋め尽くされたんですけど！
ありす,もう自分のキャラがどこにいるか…あ、朱ムトルムに刺されました
Ｐ,…普通のモンハンやろっか
みく,…もうちょっと早く気付くべきだったにゃ
Ｐ,と言う訳で久しぶりのオフだったのに大騒ぎで疲れが取れなかったんですよカキン・モーランさん
ちひろ,今月のお給料モバコインカードでお渡ししましょうか？
Ｐ,しんでしまいますごめんなさい
ちひろ,晶葉ちゃんは大喜びしてましたよ。データがたっぷり取れた
Ｐ,…まあ、役に立ったのなら良しとしますか。ところで…？。俺のデスクの上にあるコレは何です？
ちひろ,ああ、晶葉ちゃんの最新作だそうですよ。凛クやミカチュウ、美世ッシー、リサードン等々人気キャラクターを346テイストにアレンジした多人数大戦アクションゲーム。名付けて大乱闘スマッシュブラザーズＤＸリザレクション誓いの場所
Ｐ,もはやどこから怒られても文句の言えないタイトルですね
ちひろ,通信プレイで最大２００人以上同時対戦可能らしいですよ。凄いですね
Ｐ,対戦っていうか、それだともはや大戦ですわ
ちひろ,折角ですから在籍アイドル全員に配布して１日プロデューサー所有権
Ｐ,おぅ、通りで事務所に誰もいないと思った！
ちひろ,安心してください。所有権はプロデューサーさんの次のオフを利用させてもらいますから
Ｐ,数ヶ月に１日あるか無いかの人の休日に何してくれてんだアンタは！
？,ﾝﾌｯ…今度は私たちと。大人のゲームというものを。楽しみませんか？プロデューサーさん
