――東京都内、橘宅,玄関
Ｐ,ありすの知り合いだっていうから、話もすんなり進んで早く終わったよ。スケジュールのほうはこれから組まなきゃダメだけど……来週あたりから、ありすのレッスンの見学から来てもらおうかなって思ってる
ありす,そうですか。それじゃあ私も、文香さんに情けない姿を見せないようにしっかりやらないといけませんね
文香,これから、よろしく……お願いします。右も左も分からない、若輩者ですが……
Ｐ,いえいえ、頑張っていきましょう。それにしても、鷺沢さんも承諾してくれてありがとうございます
文香,いえ……これも、ご縁ということで……それに、あのとき……貴方には、助けて頂きましたので……
Ｐ,何がなんだかって感じで逃げたけど、あのときは助かってよかったですよ。さてと……ちょっと備品庫に行ってきますから、２人でここで休んでてください
文香,わかりました……
ありす,余ってるグッズの棚卸ですか？
Ｐ,月末近いからなー。あとちょっとで終わりだから、すぐ戻ってくるよ
ありす,ふぅ、それにしても文香さんがアイドルをやることになって、私も嬉しいです
文香,偶然が重なった結果……とでも言えばよいのでしょうか。これから……よろしく、お願いします。ありすちゃんには、色々教えて頂くことに、なると思いますが……
ありす,はい、任せてください。あ、いまお茶淹れてきますね。ちょうどお湯を沸かしていたところなので、待っていてください
文香,……。あの……魔法少女、さん
ありす,はい？
文香,……
ありす,……。……え？
文香,……
ありす,あの……文香、さん……？
文香,やっぱり、あのとき私たちを助けてくれたのは……ありすちゃんだったのですね……
ゆっこ,まさか第１話終了時点で正体がバレることになるとは
ありす,あ、あのですね、えっと……
文香,大丈夫です。私は……魔法少女のありすちゃんを、全力でサポートします……！
ありす,お話は嬉しいですけど、私のサポートの前にまずはレッスンを頑張ってください
文香,あう……
？？,そう、私ももう３１歳……夢も希望も、何も残ってない……。このパーティーの光も、いつかは消えていく儚い光……
ありす,いえ、このご時世、世間一般的に３１歳はまだ十分若い年齢だと思います。おばさんだとは思いますが
ゆっこ,このままじゃピンチですよ、ありすちゃん！
ありす,まだ、諦めません……魔法少女ですから！。魔法少女の契約内容は確認したんですけど、労災っておりるんですよね？
ゆっこ,確かこっちの資料に詳しい内容が……
