・独自設定を多く含みます。中には,？
カルパッチョ,三年生が乗員にいた車輛はもう編成が変わっているはずよ。ポルシェティーガーは足回りが弱いから、あまり高所には持ってこないはず。わざわざ牽引するなんてことはしないでしょう。Ⅲ突の火力は脅威よ。用心して。Ⅳ号、ヘッツァー、三式は要注意ね。一年生の練度はまだそれほど高くはないでしょうけれど、油断は禁物です。訓練でやってきたことを忘れないで。今回のこちらの編成は蠍、蛸、鴉、狼、蛇、山猫、トム、ハリー、ディックの計9輌。大洗の編成は8輌までですし、あまり多すぎては勝負にならないのでそれくらいが妥当です。今回参戦しない車輛の出番は次の練習試合または大会まで持ち越しになります。ごめんね。次に作戦内容を確認します。まず既視感作戦。迅速に移動し、指定位置にデコイを配置するシンプルな作戦です。釘付けにして包囲して叩く。ほんのわずかなミスでこの策は破られてしまいますから、気をつけて。次に、既視感作戦が失敗した際に実行する。ミニミニ大作戦。こちらはCVの機動力が命です。行進間射撃で、当たらなくても構わないのでとにかく誘導してください。では総員、出撃用意！
審判,それでは、大洗女子学園対アンツィオ高校の練習試合を始めます！気をつけ、礼！
カルパッチョ,
みほ,。PanzerVor!
カルパッチョ,Abanti!。危険を冒す者が勝利するのよ
ピカタ,そうだね
ペパロニ,ポチっとな。エンジン音付きなのか。すげえな
ジャンドゥーヤ,なんか変
ヴェルミチェッリ,姐さん、もういいですか～？
ペパロニ,おう！終わったぜ！
優花里,今度はどんな作戦で来るんでしょうか？
みほ,まさかまた同じ作戦では来ないだろうけど...
華,どんな作戦で来ようとも、私達なら打ち破れますよ
沙織,慢心しちゃダメだよ華
麻子,...(眠い)
忍,！
みほ,今度は欺瞞じゃないみたいだね
優花里,さすがアンツィオ、機動力はすごいです！
華,...本当でしょうか？
みほ,この配置なら理想的...でも
典子,...エンジンはかかったままだね。音するし
あけび,もう少し近づけるかな？
典子,ちょっと！危ないよ！
あけび,かがんで行けば大丈夫です！根性で！
ブルスケッタ,カファレル、榴弾装填。アランチーニ！上に向けて、マカロニとあの子たちとは違う方向に。当てないようにね！
アランチーニ,はい！
ブルスケッタ,Spara!
あけび,！！
典子,佐々木、戻ろう！危ないよ！
あけび,は、はい！
ブルスケッタ,戻ってくれた。よかった
カファレル,ヒヤヒヤしたわ
カルパッチョ,八九式はどこから来たのかしら？
ピカタ,うちらの警戒網もそんなに綿密じゃないし、どっかしら穴あるでしょ
パスティエーラ,私たちがいないとこでこの丘まで来れるのって～地点くらいじゃない？
カルパッチョ,...ここか。でも全車で来るような下手は打たないはず。場合によっては回り込まれそうね
ピカタ,火力と機動力、命中精度ならうちらのが上でしょ。回り込まれても大丈夫だよ。あんだけ訓練積んできたんだから
カルパッチョ,そうね。でもみほさんなら、こちらの常識を超えた戦いをしてくるわ。油断はできない。幸いにも配置したパンターとセモヴェンテの位置はまだ特定されずに済んだみたいだから、あちらさんの出方を伺っていましょう。焦って闇雲に動いたら相手の思う壺よ
カズ,まだこっちは動きがないな
オセロット,忍耐力は着実に付いているな。良いことだ
スネーク,...ふむ
優花里,また欺瞞作戦なんて
華,同じ手が二度も通用すると思っているのでしょうか？
沙織,その心理を利用したんじゃない？
みほ,釘付けにして包囲する作戦...?でも、それならどうしてデコイに近づいたアヒルさんチームに威嚇射撃なんて...もしかして。優花里さん、偵察に出てもらっていい？
優花里,はい！喜んで！
みほ,相手は茂みに擬態している可能性があります。多分、草を車体に貼り付けて。ですが刈った草はすぐに枯れ始めます。色の違いで車輛を見つけてください
優花里,やってみます！。パンターの車高からすると...。！
バローロ,動くな。貴女、大洗の生徒ね？
優花里,あっ...あうう
バローロ,答えなさい。偵察でここに？
優花里,んぐぐうｯ...はっはいい...そうでありますｯ
バローロ,まあいいわ。ルール上捕獲した捕虜は陣地まで引っ張らないといけないから、ついてきなさい。さて、そこに跪きなさい
優花里,...
バローロ,迎えが着くまで、お話しましょうか？お嬢ちゃん
優花里,ひっ...
バローロ,"何を見たの？"
優花里,えっ...何も見てないでありますっ
バローロ,質問を変えましょう。"貴女の隊長の命令は何？"
優花里,あっ...あああっ
バローロ,...怖がらなくていいわ。ほら
優花里,あぅ...
バローロ,怖がらせてごめんね。涙を拭きましょう。可愛い顔が台無しよ
優花里,はうぅ...
バローロ,あなた、名前はなんていうの？
優花里,不肖、秋山優花里と申します
バローロ,良い名前ね、優花里
優花里,！
バローロ,それで、ねぇ...。!!まさか____
優花里,うっ、うわぁあああ!!!
バローロ,あっ！。!しまった____。待ちなさい!!!。ああもう、台無しよ！
モルタデッラ,Spara！
ソアーヴェ,Spara！
あや,やっぱ、パンター強いねぇ。また眼鏡割れちゃった
フリット,ちょっとバローロ！帰ってくるの遅いよ！
バローロ,大目に見てよ！
優花里,はぁ、ハァーｯ。秋山優花里、ただいま戻りましたぁ！
みほ,秋山さん！無事だった？
沙織,ってゆかりんどうしたのその手錠！？捕まっちゃったの？
優花里,な、なんとか逃げて来れました...でも配置は割り出せませんでした。ごめんなさい
みほ,気にしないで。アヒルさんチームとウサギさんチームが発射煙でパンターの位置は特定してくれましたから、あちらの意図もある程度読めました
優花里,...///
沙織,ゆかりん、大丈夫？顔赤いよ
優花里,えっ、ああ、大丈夫です///
華,優花里さん、それで装填はできますか？(これは...なにかあったのね)
優花里,流石にこれではやりづらいので...。ピッキングで外します
華,流石ですね
カルパッチョ,土地勘のない私たちが不用意に市街地へ入り込んでも、遭遇戦の得意な大洗に蹂躙されるだけ...ましてやあちらにしてみれば庭みたいな地元
ピカタ,CVに先導させてナビゲーター役やってもらおっか？
カルパッチョ,そうね
カネロニ,Spara！。ナイス！行進間射撃で当てるなんて！
オセロット,大洗が退き始めた。騙しきれなかったようだな
カズ,まぁ、長続きはしなかっただろうしな
みほ,これで6対9。主力はほとんど残ってるから大したことじゃない
沙織,そうそう、全国大会のときほどじゃないよね！
華,廃校になる心配もありませんし
みほ,よっ
カルパッチョ,さて、どうしたものか。この位置にⅢ突...。三式・ポルシェティーガー・ヘッツァーは西に移動中...
パスティエーラ,Ⅳ号の所在が気がかりね
ピカタ,CVからは見えない位置なんでしょ？一台回して誘導させたら？
カルパッチョ,そうね。それじゃ...。Ⅳ号を始末しに行くわ。パンチェッタ、発進！
パンチェッタ,はいよっ！
ツチヤ,撃てｯ！。ああ、やられちゃったか。まあ、しょうがないね。みんな怪我ない？
パスティエーラ,これで5対8。予想以上に粘るね
カルパッチョ,マジノ戦に比べればマシよ
ピカタ,そうそう
パンチェッタ,行くよ！
カルパッチョ,P40の性能はⅣ号と大して変わらないけれど、地の利は向こうにあるわ。よっ...
パスティエーラ,落ちないでよね！
カルパッチョ,大丈夫。その時は貴女が指揮をとって。！。10時の方向！土産物屋の陰にⅣ号発見！追い込むわよ！
パンチェッタ,Ok！
カルパッチョ,きゃっ
パスティエーラ,危ないから車内に入ってよ！
カルパッチョ,心配性ね、もう
ピカタ,あんたはもっと自分を大事にした方がいいよ
カルパッチョ,
みほ,4時の方向にP40！麻子さん、その先に入り込んで！華さん、砲撃の用意を！
麻子,わかった
華,いつでも撃てます
みほ,一発で決めてください。ここでP40を撃破してアンツィオの士気に大きく揺さぶりをかけます
華,心得ました
カルパッチョ,Spara!!。次ｯ！
ピカタ,オラｧ！
みほ,大丈夫。合図したら言った通りに！
カルパッチョ,次の角で曲がるはず！そこで停止して決めて！
ピカタ,Si!
パスティエーラ,来たｧｧｧｧ！
パンチェッタ,よっ______
ピカタ,…やった！
オセロット,ほう、隊長車を喰っちまうとはやるじゃないか
カズ,金をかけた甲斐があるな
みほ,...うう
カルパッチョ,...今度は、こちらの勝ちですね
みほ,はい。でもまだ終わってません
カルパッチョ,ええ、その通り。残存兵力の掃討に向かいます！。Abanti！
みほ,...負けたの、久しぶりだなぁ
沙織,まだ負けてないよ、みぽりん
華,そうですよ。みんなを信じましょう
みほ,...そうだね
モルタデッラ,うっ、わっ
エルヴィン,どうやら気づかなかったらしいな
ラルド,狼のわき通ってヘッツァー追うよ！まっすぐなら行進間射撃でも当てられる！
コッパ,よく狙って...
エルヴィン,...ジリ貧だな。これで3対7だ
ピカタ,Ⅲ突って、あの子がいたよね
カルパッチョ,カエサルとは因縁があるのよ。色々と
エルヴィン,撃てっ！
左衛門佐,...！
おりょう,また命中ぜよ
カエサル,流石だな
エルヴィン,...ん？。P40だ、用意しろ！
カルパッチョ,見つけた
カエサル,私が勝つ
カルパッチョ,パンチェッタ、追って！
エルヴィン,退くぞ、急げ！
カルパッチョ,Spara!
エルヴィン,回避！。後ろにつかれた！回転砲塔が欲しいｯ
カルパッチョ,流石ね。そうでないと面白くないわ
カエサル,エルヴィン、ここはアレで行こう
エルヴィン,この道路じゃ無理だ、狭すぎる
おりょう,あと少しで大通りに出られるぜよ
左衛門佐,案ずるな。真っ直ぐに止まってくれれば、確実に当てて見せようぞ
エルヴィン,わかった。おりょう、合図したらターンしろ。左衛門佐はその瞬間に砲弾を叩き込め。...ぐっ(思った以上に揺れるな)
カルパッチョ,パンチェッタ、Ⅲ突がターンしたらドリフト状に右に回り込んで！
パンチェッタ,！
エルヴィン,今だ!!
おりょう,それっ！
パンチェッタ,うわっ！
カズ,やられてしまったか
オセロット,まあよくやったさ。むしろ1週間でよくここまで仕上げたというべきだろう
ピカタ,大丈夫？カルパッチョ
パスティエーラ,背中とか打ってない？
カルパッチョ,大丈夫。ありがとう
ピカタ,やっぱⅢ突は強いね。ごめんね、仕留められなくて
カルパッチョ,気にしないで。私の指揮が悪かったわ
パンチェッタ,それを言ったら私の操縦だって、ねぇ？
ピカタ,まさかⅢ突がうちのCVターンを使ってくるとは思わないでしょ。仕方ないよ
ブルスケッタ,うっ、わっ、まさか
Ⅲ突,
ブルスケッタ,。急いで！
エルヴィン,まだいけるぞ！我々が諦めてはならん！
カエサル,ああ！
ブルスケッタ,間に合わなかった！くそｯ。あのⅢ突はどうしてもここで仕留めないと負けるわ！。カファレル、装填早めに！カルツォーネ、あっちの砲撃の後に側面に回り込んで！。アランチーニ！確実に決めて！。ピアディーナ！祈って！。Abanti！
カエサル,どこでもいい、当てろ！
エルヴィン,回転砲塔相手にどこまで立ち回れるか...
おりょう,辞世の句を詠むにはまだ早いぜよ！
左衛門佐,祈ってくれ、元帥殿
ブルスケッタ,Spara！。弾かれた！
カファレル,もう一発！
エルヴィン,全速後退!!
ﾄﾞｶﾞｱｱｱﾝ,住宅が倒壊
老人,ああ家がー！！でもこれで新築できる
子供,やったねおじいちゃん！
ブルスケッタ,くそｯ
エルヴィン,撃てｪ!
カエサル,いいぞ！
カファレル,しゃらくせぇ！
ブルスケッタ,カルツォーネ、ぶつけられる!?合図したらぶつけて！
カルツォーネ,やってみる！
ブルスケッタ,アランチーニ！接射で仕留めるわよ！
アランチーニ,OK！
ブルスケッタ,今よ！
カズ,これで2対5か。大洗も結構やるじゃないか。勝てるのか
オセロット,わからんよ。奴らを信じよう
スネーク,思ったより白熱してるな
カエサル,あとはセモヴェンテ1輌、パンター1輌とcv3輌
エルヴィン,心配ないさ。あいつらならどうってことない
典子,河西！ぶっ飛ばして！
忍,はい！
典子,佐々木！弱点を確実に撃ち抜いて！
あけび,はいっ！
ペパロニ,避けろ！
妙子,キャプテン！装甲に傷がっ！このままじゃやられちゃいます！
典子,あのCV、機銃替えたのか？くっ。河西！ジグザクに動いて回避して！
忍,はい！
典子,佐々木！冷却部を狙え！
あけび,はい！
ペパロニ,ちっ、なめやがって
妙子,うわぁああああ
典子,佐々木！もう一発！
あけび,はいっ！
ヴェルミチェッリ,ここで仕留めないとね
ブレサオーラ,そうだね
典子,もう一発！
あけび,はいｯ！
ヴェルミチェッリ,うわああああ!!
妙子,キャプテン！もうダメです！
典子,!!エンジン出火！
ねこにゃー,あとは、僕たちだけ...
ももがー,1対2ならまだやれるっちゃ！
ねこにゃー,がんばるにゃ。ネトゲならこういう時は...
カネロニ,くそっ、どこに行った？
ねこにゃー,き、来た...微速前進。そこ、隠れて。エンジンの回転数は下げ目で
ももがー,はいっちゃ
ねこにゃー,来た...用意
ブルスケッタ,見失った...?
ねこにゃー,まだ...
ブルスケッタ,...まさか
カネロニ,うわあっ！
ブルスケッタ,蛇がやられたわ...これで1対1。負けてはやらないわよ。ここで待機。カルツォーネ、音が聞こえたら追って。いつでも撃てるわね？
アランチーニ,いつでも
ねこにゃー,よ、よし、行こう。前進
ブルスケッタ,...来たか。位置を特定しないと。5秒だけエンジンを切って！耳を澄ましなさい！。...あそこか。微速前進。8時の方向
オセロット,いよいよ勝負がわからなくなってきたな
スネーク,戦車道がここまで白熱した戦いだとは思いもしなかった
ブルスケッタ,よっと…。見つけた。カルツォーネ、合図したら一瞬で前に出て急停止。アランチーニ、反動が収まったら一発撃ち込んで
カルツォーネ,OK！
アランチーニ,Si!
ブルスケッタ,Abanti!
カルツォーネ,ぐっ
ももがー,後退！
ブルスケッタ,避けられた！もう一発！
カファレル,気付かれたか！
ねこにゃー,砲塔旋回！5時の方向！
ブルスケッタ,Spara!!
ねこにゃー,ううっ...
ブルスケッタ,...やった
オセロット,はたから見れば、とんでもないジャイアントキリングなんだろうな
カズ,ともあれ、勝利は勝利だ。祝いに行ってやろう
スネーク,そうだな
ねこにゃー,す、すごい...
ブルスケッタ,砲塔の旋回が間に合ってたらこっちがやられてたわ。全国で優勝しただけあるわね
ねこにゃー,い、いや僕たちなんて...あの時だってすぐに撃たれちゃったし...
ブルスケッタ,...。まあいいわ。あとで食事にしましょう。みんなお疲れ様
カルパッチョ,みほさん、今日はありがとうございました
みほ,いえいえ。いい戦いができました
カルパッチョ,また同じ作戦で来るとは思いもしなかったでしょう？
みほ,はい。展開の仕方がさらに上手くなってましたし、それにパンターが...
カルパッチョ,ええ、その辺はスポンサーが付いたおかげで...。それじゃ皆！ごはんの用意始め！
ペパロニ,湯を沸かせ！釜を炊け！
モルタデッラ,野外炊具持ってきて！
カルパッチョ,じゃあ皆手を合わせて_____
カエサル,あのP40、やっぱりひなちゃんだったんだね
カルパッチョ,そうだよ。今度は負けちゃったなぁ...
カエサル,危なかったよ、実際。大通りに出る前に当てられたらこっちが負けてた。今回はこっちにツキがあったのかな
カルパッチョ,そうかもね。たかちゃ...じゃなかった、カエサル
カエサル,そうだよ、カルパッチョ
カルパッチョ,次は負けないから
カエサル,楽しみにしてる
整備兵C,よう、やってるな
ジャンドゥーヤ,いらしてたんですか！
整備兵C,ああ。観戦のついでに、戦車の損傷具合も見ようと思ってな。見に来たのは俺だけじゃないぞ
オセロット,そうだぞ
カズ,新生アンツィオの初勝利おめでとう。いい戦いだったよ
スネーク,おめでとう
ジャンドゥーヤ,ありがとうございます！皆さんのおかげです！
カズ,謙遜するな。勝ったのはお前たちの実力だ
オセロット,とはいえ、慢心されても困るがな
アマレット,あっ！教官！食事いかがですか？
カズ,ああ、頂こう
スネーク,丁度腹が減ってたんだ
オセロット,ボス、日本語で食事前の挨拶は...
カズ,それは俺が言うべき台詞だ
オセロット,…やっぱりこういうことだったか
カズ,なっ、お前＿＿＿＿！
オセロット,怪しいとは思っていたが…またダイアモンド・ドッグズを私的に利用していたとはな。ハンバーガー屋だけじゃ飽き足らず、ピザ屋にも手を出そうってか？。今度やったらボートで出て行ってもらう、と言ったのを忘れていたようだな
カズ,違うんだ！これは＿＿＿＿
カルパッチョ,その後、何やら不穏な空気を感じたので行ってみると。なんだかもめているようだった。聞いてみれば、アンツィオの技術を流用してミラーさんが個人的なデリバリーピザ屋の開業を画策していたのだという。それなら、と。いっそアンツィオの事業にしませんかと言ってみたら。アダムさんが存外に興味を示してくれた。ミラーさんの方は安堵した様子だった。学園長の方にも話が行き、すぐにプロジェクトとしてまとめられた。学園長は収入源が増えると喜んでいた。まあ、これでよかったのかな？
