速水奏,……ふぅ
P,少しはアイドルに慣れてきたと思ったけど、まだまだ候補生だな。上辺だけでファンを魅了できるはずもない。嘘をつくにしても全身全霊でつかない限りファンは騙せない。その奥底まで見せられるから、応援したくなるし、練習の末に絞り切った歌とダンスに心震わされるんだろう
奏,Pさんのアイドル像は分かったわ。それで？私にも血反吐を吐く努力をしてほしいの？
P,ああ。俺には欲しいものがある。奏にあの頂点までいってほしいと思っている。いまは、奏のままでいる限界まで、きっちりやっている。だけどそこは。あの人が立っている場所は、手を伸ばしただけじゃ届かないんだ。だから足をあげて一歩ずつ踏み出して、そこまで歩いていく。いや、這ってでも行きたい
奏,……私には、できないわ
P,できる。自分を捨ててまで努力したんなら、俺がその舞台を用意する
奏,やめて
P,いや、聞いてくれ。なんなら聞いたあとで部屋を出ても構わない
奏,……
P,奏の限界じゃない。俺はその先が見たい、そこを超えた奏が見たいんだ。一人で無理なら、俺が超えさせる。奏の限界はそこじゃない。だから、俺の見せる景色が奏を満たせるか、俺に賭けてほしい。奏が一緒にいてくれるなら、俺はどこまででも這って行ける
奏,……。随分と……恥ずかしい言葉を言うのね
P,あ、えっと……なんていうか、勢いで
奏,……
P,……。いかん、いまさら恥ずかしくなってきた。一緒にいてくれるなら、ってなんだよ……奏が呆れるのも当然……ん？
奏,……
P,耳真っ赤だな……
奏,勢いだって別にいいけど……さすがに泥臭いんじゃない？
P,アイドルは泥臭いもんだよ
奏,……私にならできるって、信じているの？
P,信じている。だから、信じてほしい。奏を最高のアイドルにする
奏,あなたが、私を？
P,そうだ
奏,私の、限界の先まで？
P,ああ。努力が報われる世界じゃない。やっても超えられない壁があるかもしれない。それでもぶつかって超えていくしかない。そうするしかない世界だから。奏が歩み続ける限り、俺は背中を押し続ける
奏,…………
P,…………
奏,負けたわ。はーっ……。あの人を見た時……凄い人だと思った。憧れる人だって。同時にね。あの人に追いつける気がしなかった。でも。それでも。私も……。私もそこまで行ってみたい
P,ああ
奏,Pさん。あの素敵な人の、隣に並ばせて
P,ああ。もちろん
奏,そして……追い越させてくれるのなら。あげる。Pさんに私の人生を、あげる
P,……人生は大げさだろ
奏,大げさでも何でもない。私のこれまでの17年を賭ける、アイドルの道なんでしょう。それがこれからの、私の生き様になるんでしょう。ならこれは、私の全てだわ
P,……
奏,……
P,そうだな。分かった。一部なんて言わない。丸ごと預からせてもらう
奏,ダメだった時は、そのまま貰ってくれるのは、あり？
P,え、えー……
奏,ふふっ
P,いまは、なし
奏,いまは？
P,いまは
奏,じゃあ、いま、じゃない時を楽しみにしてる
P,……調子が戻ったようで、なにより
奏,あーあ。スポ根なんてキャラじゃないと思ったのに
P,いいじゃないか、それでも
奏,私のことじゃないわ
P,ん？
奏,Pさんのことよ
P,それはその……勢いというか、流れというか
奏,いいわ。そんなPさんも素敵よ
P,……そりゃどうも
奏,でも、覚悟してね
P,うん？
奏,本気になった私がどうなるか。歩くなんて言わない。駆け抜けていくから。いつまでも、背中を押してね
P,ああ
奏,？
P,……あ、いや、なんかこう、握手の流れかと思ったんだ。すまん、先走った
奏,ふっ、ふふ、ふふふっ
P,あーもう……笑ってくれ
奏,いえ、ちょっと慣れないことだったから。そうね、手を出してくれる？
P,ん？ああ。……これは握手とは違うんじゃないか
奏,握手するなんて言ってないわ。手を繋ぎたかったの。こうやって、指一本ずつ。温かい手
P,……奏の方が温かい気がするけど
奏,そう？不思議ね。どちらか、熱量が高い方が冷たいって感じるのかと思ったけど。私一人では出せない熱を。あなたが持ってきてくれた。Pさんがそうしてくれたなら、私は応えなくちゃいけないわね
P,繋いだ手に頭をくっつけて……何しているんだろう、これは。奏
奏,もう少しだけ
P,……こんなの、誰かに見られてみろ
奏,そう？私と話す時間を取っているんでしょう？
P,……まぁ
奏,それなら、ここは月の丘の裏側よ
P,？。ああ……誰も来やしないって？
奏,ふふっ、素敵な歌詞ね。だから、もう少しだけ
P,……わかった
奏,ねえ、Pさん。私が折れそうになったら。またこうしてくれる？
P,あー…………誰にも見られないなら
奏,ありがとう。あ、それに加えて……キスはだめ？
P,悪いけど、それは気分じゃないな
奏,そう。残念ね
P,……そろそろいいか
奏,ええ。名残惜しいけど
P,部屋の時間もあるから
奏,そうね。……続きは、このホテルで？
P,……。……そうだな、その曲についても話さないといけないんだ
奏,ふ、ふふっ、下手な誤魔化し方ね
P,うるさいよ。レコーディングは3週間後。ライブはその後だから、まずは歌の方を完璧にしておいてくれ。当然、ライブは踊りながらになる。通常のレッスンメニューに加えて、ボーカルレッスンを集中的に入れる。振付が固まってきたらダンスレッスンも増やす
奏,ええ……それからライブ？
P,といってもだいぶ先の話だけどな。それまでに他のアイドルのライブで場慣れしてもらう
奏,ライブ自体はそれまでに出られるのね
P,でも覚悟しておいてくれよ。ソロでライブ会場に立つんだ
奏,そう……
P,いけるな
奏,ええ。やってみせるわ
P,いつもながら、頼もしいよ
奏,この曲は、Pさんが発注したのよね
P,そう。俺が売り出したいイメージを伝えて作ってもらった曲
奏,私の曲……私のための曲。この曲は、Pさんからの最初のプレゼントね
P,……別に俺自身が作曲家さんにお金を出すわけじゃない
奏,それでも、私を想って作ってくれたものだわ
P,アイドルとしての速水奏だよ
奏,それでもいい。あなた色に染めあげてみせて。私、応えられるから
P,……。気にいったと受け取っておくよ
奏,ええ
P,そうだ、奏
奏,なに？
P,やってみたいことは無いか
奏,やってみたいこと？
P,この曲のライブデビューで、なにかやってみたい演出プランとか
奏,……それは、あなたの仕事じゃない？
P,いや、そんなこともない。アイドルの方から、こんなことやりたい、なんて良くある話だから
奏,そう
P,プランナーさんとの兼ね合いもあるけど、とりあえず言うだけ言ってみるといい。ミーティングにあげられるかは俺が判断するし、出来るだけ希望に沿うようにする
奏,……考えておくわ
P,そろそろ時間かな
奏,月も沈むものね。もっと話をしていたいけど
P,じゃあまた、時間を取るよ
奏,ええ。有意義だった……私の歌を貰ったんだもの
P,ほら。曲のデータと歌詞。自分で聞く分にはいいけど社外秘だぞ
奏,それはそうよね
P,じゃあ……奏。これからもよろしくな
奏,ええ、よろしくね。Pさん
P,あー。CDが出たら……
奏,？
P,なにか美味しいものでも食べに行くか？
奏,……
P,あ、いや、別に変な意味は無くて。……あの？
奏,いえ、そのっ……そう言うのあるって思ってなくって……
P,そうだよな、いや、気にしないでくれ
奏,えっ？だ、ダメ！
P,え？
奏,その、嬉しいの……だから、行きたい……
P,あ、ああ。うん、わかった
奏,……楽しみにしてる
P,ああ
奏,俺もだ
P,それから俺も奏も、目まぐるしいほど忙しい時間を過ごした。CDデビューからの勢いは爆発的で、もう候補生とは呼べなくなっていた。宣言通り、駆け出し始めたアイドル。その手を引っ張り、背中を押し続けて。ライブの日はまだ遠く、それでも確実に近づいていた。セットリストがでたんだが、なかなか難しい位置だ
奏,難しい？んーと……ふぅん、MC直後になるのね
P,出番ある直後だからな。はけて出直すより、そのまま残ってソロを始める感じになるだろうけど
奏,私一人残って、そこからイントロが入ってくるの？
P,うーん。ビシッと決まりはしないか。でも退場している暇はない。そんな時間観客を待たせていられない
奏,一度暗転はできる？
P,他のアイドルが退場できなくなる
奏,うーん……
P,できるだけインパクトある事したいなとは思うんだが
奏,ダンサーさんに繋いでもらう……
P,ん？
奏,いえ、思いつき。袖から中央の出口までじゃ、時間かかりすぎるものね
P,そうだな。イントロにそんな時間はないし
奏,でもやってみたいわね。まるでダンスフロアのようなステージで。イントロも照明も最高潮。１・２・キスキスの直前で初めて私の姿がみえるの
P,あー、いいな。気持ちいいくらい盛り上がるだろうけど……。そうだな……イントロのロングバージョンを用意すればできるか？
奏,用意してもらうの？
P,それくらいの価値はある。それに作曲の人、アレンジも得意なんだ
奏,ライブ用に……
P,作ってもらおう。ライブバージョンとして別に収録すればそれでまた売れる
奏,……抜け目ないわ
P,売るのが仕事なんですー
奏,正直なんだから
P,OK。プランは出たからこれで一回だしてみるよ
奏,わかった
P,あとはいつも通りのレッスンと、仕事と、もうそろそろライブの合同練習も始まるな
奏,ええ。……大丈夫、きちんとやるわ
P,頼んだぞ
奏,こちらこそ
スタッフ,次、照明音響セット。センターへのカート、あと一人行けるよー
P,やってるか
奏,プロデューサーさん
P,おつかれ。なんだ、今日は衣装じゃなかったか
奏,今日はきっかけだけだから
P,そうだったな。少し途中で時間貰う
奏,？ええ……
スタッフ,次きっかけ入りまーす！
奏,はーい
P,出番か。いってらっしゃい
奏,ええ……いってきます。投げキッスはいらないわね
P,ああ
奏,イントロでここにポップアップ。ライトが点灯してから0番の位置まで移動。1番サビまでここね。2番からはステージの下手に移動、か。移動中のカメラは……あぁ、あそこね。赤いランプ。目線を送って……あとは下手の端で2番のサビ終わりまで歌とダンス。曲終わりで戻ってハケ。うん、だいたい入ったかな。どうかしら？舞台監督さん、演出家さん？今の動きで問題があれば教えてください
舞台監督,舞監おっけーでーす
演出家,んー。んーー。優等生だね。まあ、問題は無いんで、本番はいい感じにお願いしますねー
奏,はーい
演出家,はい、じゃあPさんおっけーよ
P,どうも。5分くらいで済みますんで
奏,えっ？
P,おー、思った以上に高いんだな
奏,どうしたの？プロデューサーさんもステージに立ちたくなった？
P,俺が立ってどうするんだよ
奏,そうね……デュエットはちょっとしてみたいけど
P,せいぜいカラオケ程度にしておくよ
奏,それで？
P,ああ。奏は程よく緊張感があるといい働きをしそうだから、いまからプレッシャーを掛ける
奏,……そんなこと言っていいの？
P,言っておけば軽く受け取れるだろ
奏,そういうものかしら
P,そういうものだよ。奏。何を思ってステージに立つ
奏,何を？んー……無事にステージを成功させる意識かしら。プロデューサーさんのことを想いながら立ってほしかった？それはいくらなんでも罪作りが過ぎるってものじゃ……
P,ここから何が見える
奏,客席……うん、客席一杯にいるお客さん
P,そう、これから奏が魅了するファンのみんな。その全員の視線が奏を見る。客席のあの端から、反対側の端まで。君が発したものを余すことなく受け取る。気張れよ。ステージの上じゃ、嘘も本当もすべてが関係ない。奏がやったことが全て真実だ
奏,そうね。ええ……
P,だから、思うままやって見せてほしい
奏,思うまま？
P,そう。奏の好きなように。自分の魅力を好きなだけ、見せつけてほしい
奏,スタッフさんの手を止めてまで何を言うのかと思えば……。私はもう、アイドルよね
P,ああ。自慢のアイドルだ
奏,それなら……そんな心配いらないわ。見せてあげる。ファンにも。あなたにも。最高の私を
P,ああ
奏,……。……。はい、どうぞ
P,お疲れさま
奏,Pさん……お疲れさま
P,お客さんがはいり始めている。気分はどうだ
奏,……そうね。人並みに緊張しているわ。……ふぅ
P,冷たいものはあまり飲み過ぎるなよ
奏,……わかってるわ。Pさんがプレッシャー掛けるから
P,それはまあ、この先も考えると、これぐらいは乗り越えてもらわないと
奏,ひどい人。ここは、緊張をほぐす言葉でもかけるところじゃない？
P,そうだな。キスが欲しい、とか？
奏,……なんでプロデューサーさんが欲しがるのよ
P,ファンにしたら絶対欲しいと思うぞ
奏,それはそうかもしれないけど、Pさんはプロデューサーでしょう
P,プロデューサーでもあるけど……俺が奏の、一番最初のファンなんだよ
奏,……それは素敵なことだけど。ファンにキスするアイドルなんていちゃダメよ
P,なら、ステージの上で
奏,あなたを呼びつけてステージの上で？私をそんな破廉恥なキャラで売りだそうとするなんて。ちょっと失望したわ。なんてね
P,……
奏,……ふふ
P,ははは。……どうだ？
奏,ありがとう。少しほぐれたかも
P,とはいえ、飴の方も用意しておかないといけないよな
奏,飴？
P,プレッシャー掛けるだけじゃフェアじゃないだろ。だから、何かご褒美を用意しよう
奏,……ご褒美、ね
P,せっかくのライブだからな。よし、望みをかなえよう
奏,あら、大盤振る舞いね。望みを叶える魔法使いかしら
P,ドレスを用意して、舞踏会に送り届けたなら、魔法使いみたいなもんだろう
奏,ああ。確かにね
P,それなら、シンデレラの願いに応えなきゃな
奏,……どんなことなら叶えられるの？
P,まあ、可能なことなら。また食事に行くか？もっとちゃんとしたところ予約入れるぞ。欲しいものなら、うーん、自腹だからあまり高価なものになると辛いかな
奏,ふふっ……現実的な魔法使いね
P,まぁそんなもんだ。なんなら。キスでも本当にしよう
奏,……
P,……
奏,……そうね。映画とディナー、なんてどう？
P,ああ。それでいいのか？
奏,ええ。いいでしょう。Pさんにとっても、女子高生アイドルとデートなんて
P,まあ、それは悪くないけど
奏,……キスを選ばなくて不思議？
P,いや、そうでもない
奏,私ね、欲しいものに手が届くと、臆病になるのよ
P,もっともらしい理由だな
奏,そうね。キスが欲しいのは本当だけど。私から望んで、あなたにさせてしまうなんて、違ったものになっていると思わない？
P,……キスが欲しいなんて言う割には、全部相手にゆだねるんだな
奏,そう。ずるいのよ、私
P,面倒なアイドルだ
奏,ふふ……デート、楽しみにしてる
P,ああ、わかった
奏,あ、でも普通に待ち合わせるんじゃなくてね
P,ん？
奏,学校に迎えに来て？
P,おっと、急にハードル高くなったぞ
奏,どう？
P,……可能なことなら、なんて言いすぎたかなぁ
奏,ふふ、私を甘く見た仕返し。どうせキスを選ぶわけないと思っていたんでしょう
P,ん？あー……
奏,確かに選びはしなかったけど、あなたの予想は裏切れたかな
P,……わかった。迎えに行くよ
奏,本当？嬉しいわ。……そろそろ袖に向かうね
P,ああ。見ている。奏
奏,なに？
P,キスが欲しい
奏,……ここで？
P,ステージで
奏,あなたに？
P,俺に、俺たち、すべてのファンに。とびきりのキスを
奏,……。ええ。見ていてね、Pさん。とびきりの、キスをあげる
