モバＰ(以後Ｐ表記),凄いレトロなデザインですね…５０年ぐらい前のマンガにある未来銃
ちっひ,ｵﾏｴﾉｾｲﾀﾞﾖｰ
幸子,プロデューサーさんが、変なモノを…浴びせたからじゃ、ない、で…
Ｐ,おっと！
幸子,ひゃん！！
Ｐ,さ、幸子…？
幸子,あ、あぅ…っ！んっ……！
Ｐ,アカンこれ、さっきの美穂みたいな反応しとるがな…
ちっひ,ｸﾘﾑｿﾞﾝｺﾐｯｸｰ
幸子,は、離して、ください…っ！。…ひゃっ！
Ｐ,ちょっ！
幸子,ひぅぅっん！！
Ｐ,説明しよう。完全に腰砕けになってしまっていて手を離すと既に立っていることも出来ない幸子が崩れ落ちそうになったので思わず抱き込んでしまった
幸子,～～～～ッ！！
Ｐ,思い切り抱きしめてしまう形になってしまった結果、俺の胸にしがみ付いて悶え狂い続けている…
幸子,～ｯ！！んん～～っ！？
ちっひ,ｳｽｲﾎﾝｰ、ｴﾛﾄﾞｳｼﾞﾝｰ
Ｐ,不吉な鳴き声をやめろモバコイン妖精
幸子,ぷ、ぷろ、でゅぅさぁさん…
Ｐ,やめてください、恍惚顔で見上げないで下さい荒い吐息で覗き込まないで下さい。埼玉県民が紳士でも限界というものがあるんです
ちっひ,ｼﾞｭｳﾏﾝｺﾞｸﾏﾝｼﾞｭｳｰ
Ｐ,ほ、ほら、離して欲しいんだろ？そこにゆっくり座って…そう、んじゃあ離すぞ…？
幸子,…やぁ
Ｐ,わふん
幸子,か、カワイイボクが、こんなになってるのに…はなれるんですかぁ…？
Ｐ,うぉっ！
幸子,プロデューサーさん…
Ｐ,押し倒された…ヤバイヤバイヤバいヤバい。こういう時こそ僕らのヒーロー早苗さん！早苗さーん！！
幸子,プロデューサーさん…ふふ…、プロデューサーさぁん…
Ｐ,お願いですから早く来てくれ早苗さーーん！！
ちっひ,ｾﾞﾂﾎｳﾞｶﾞｵﾏｴﾉｺﾞｰﾙﾀﾞ
早苗,ｲｯｷｼ！。あ゛～…、どこかでイケメンがあたしの噂してるのかしら
瑞樹,…それより私に何か言う事ないかしら？
Ｐ,あ、危ないところだった…。どうやってあの状況から紳士的に脱出したかは秘密にしておく
幸子,
ちっひ,ﾉｯｸｱｳﾄｰ
Ｐ,白目剥いて悶絶痙攣してる幸子をこのままにしておく訳にもいかん…誰もいないしレッスンルームに放り込んでおこう。さて残量は…あれ？幸子にしこたまぶっ放したのにそんなに減ってないな。…あ、そう言えば同じ対象には１回しか効果が無いんだっけか…。無駄にビリビリさせただけやん
のあ,何が無駄なのかしら
Ｐ,うわっ！…ビックリするから音も気配も無く背後に立たないでください、のあさん
ちっひ,ﾆｬﾝﾆｬﾝﾆｬﾝｰ
のあ,……そう。驚かせるつもりは無かったのだけれど…何をしているのかしら
Ｐ,まあ、あちこちで色々と…。そういうのあさんは？
のあ,…私も色々と、かしら。……ところでＰ。みくを見かけなかったかしら
Ｐ,ああ、やっぱりみくを探してたんですね…脇に土佐ガツオ抱えて何やってんだって思ってたところですよ
ちっひ,ﾄﾚﾀﾃｰ､ｾﾝﾄﾞﾊﾞﾂｸﾞｰﾝ
のあ,……別に、みくのお昼をコレと摩り替えようとなんて考えてないわ……んっ、安心して、頂戴……っ
Ｐ,脇でカツオがピッチピチ暴れてますけど。よりによって何で生きたままなんですか
のあ,その、ほうが…、面白いと思ったから…っ…よっ…
Ｐ,カツオめっちゃ暴れてますやん。事務所の廊下が磯臭いんですけど。相変わらずキング・オブ・ミステリアスだわ…。…だからこそ、のあさんを撃ったらどうなるかという興味が沸いて仕方が無い
ちっひ,ｶﾞﾁｬｰ､ｶｷｰﾝ、ｷｭｳﾘｮｳﾂｷﾞｺﾐｰ
のあ,…じゃあ、私はみくを探しにいくわね……
Ｐ,ああはい。いってらっしゃい。お手柔らかにお願いしますねー。後ろを向いた…今なら当てられるか…？。いや、当ててみせるっ！
ちっひ,ﾈﾗｲｳﾂｾﾞｰ
のあ,……ブリのほうが良かったかしら……
Ｐ,もらったぁ！
ちっひ,ｳｫﾌﾞﾏﾈｰ!
のあ,……甘いわ
Ｐ,っ！。完全に虚を突いた筈なのに…まさか反応するだと！？
のあ,……甘いわ、Ｐ。…一体、何のつもりかは知らないけれども……。そう、易々と私の隙をつけなんて……少し楽観的すぎないかしらゃゃやややややややややややややややややや
Ｐ,でも全然避けれてねぇや
のあ,あやややややややややややややややややややや
カツオ,ｳｫｫｫｫｫｫｫｫｫｫｫｫｫｫｫｫｫｫｫｫ
ちっひ,ｽﾍﾟｼｬﾙｽｶｳﾄｰ
のあ,……くっ、やるわね…流石よ、Ｐ…
Ｐ,いや、のあさん振り返っただけじゃん
ちっひ,ﾎﾟﾝｺﾂｰ
のあ,…それで、その怪しい銃は…一体何なのかしら…？
Ｐ,晶葉特性のキャライメージ崩壊光線銃
のあ,…なんてものを撃ったの、貴方という人は……
Ｐ,のあさん、体の調子はどうです？何か違和感とかはありますか？
のあ,……そうね…特に、これと言って何も感じないわ……
カツオ,
のあ,…Ｐ。…こういうイタズラは、ほどほどにしておくことね…
Ｐ,すんません。以後気をつけます
のあ,……やるなら、みくにしなさい
Ｐ,はいそうします。……っておい今何つった？
のあ,…カツオの鮮度が落ちるから、もういくわ
Ｐ,あ、はい。いってらっしゃい…今度こそ
のあ,またね、Ｐ
ちっひ,ﾋﾟﾖﾋﾟﾖｻﾝﾀﾞﾙｰ
Ｐ,大分使ったな…あとちょっとってところかな
ちっひ,ﾓﾊﾞｺｲﾝｺｳｶｰﾝ
Ｐ,そんなタイヤコウカーンみたいに言われても
まゆ,あらぁ…？随分可愛らしい子ですねぇ…
Ｐ,うおっ！…どうしてみんな音も無く背後に立ちたがるんだよ。俺がゴルゴだったら大変な事になってるぞ
まゆ,うふ…こんにちわぁＰさん。随分楽しそうにお話していましたけど誰とお喋りしていたんですかぁ…？
Ｐ,え？ああ、頭の上のコレ
ちっひ,ﾏﾏﾕｰ、ﾘﾎﾞﾝｰ、ﾎﾟﾝｺﾂｰ
まゆ,
Ｐ,どうだ、可愛げがあるようで微妙だろ。ちなみにほら、こうしてモバコインカードを渡すと…
ちっひ,ｶｷﾝｰ、ｶｷﾝｯｶｷｰﾝ、ｶﾞﾁｬｶﾞﾁｬｰ
Ｐ,金額に応じて喜びの舞を踊るんだ。どうだ？やっぱり可愛さ微妙だろ
まゆ,。…はっ！？ご、ごめんなさい…うっかり意識の手綱をポイしちゃいました…
Ｐ,おいおい、やめてくれよそんな加蓮みたいなマネすんの
ちっひ,ﾎﾟﾝｺﾂｰ、ﾏﾕﾏﾕﾍﾀﾚｰ
まゆ,何だかこの小さいちひろさん、まゆに対して辛辣じゃないですかぁ…？
Ｐ,そうか？さっきからずっと不吉な鳴き声ばっかりだけど
ちっひ,ﾏﾏﾕｰ､ﾅｷﾑｼｰ
まゆ,あ、今確実にまゆのほう見て言いましたよ。絶対ワザとです
ちっひ,ｻｸﾏﾄﾞﾛｯﾌﾟｰ
Ｐ,まあまあ、重課金兵の死神相手にムキになっても仕方ないだろ？
ちっひ,ｴﾅﾝｻﾞﾑｰ、ﾊｻﾝｰ
まゆ,ぐぬぬ……。…ところで、Ｐさんはその死神と何をしているんですかぁ…？
Ｐ,ああ、あちこち見て回りながら。こんなことやってるところだ
まゆ,何ですかぁ？そのレトロなオモチャわにゃにゃにゃにゃにゃにゃにゃにゃにゃにゃにゃにゃにゃ
ちっひ,ｼﾝﾃﾞﾚﾗﾄﾞﾘｰﾑｰ
まゆ,うぅ…何ですかぁ？
Ｐ,すまんすまん、晶葉の新作ポンコツ風評被害治療光線銃
まゆ,そうだったんですかぁ？…もう、先に言ってくれればまゆはＰさんにならどんな事をされたって…
ちっひ,ｷｬﾘｱｹｯｻｲｰ
Ｐ,で、どうだまゆ？ポンコツは改善されたっぽいか？
まゆ,改善も何も、まゆは元々ポンコツじゃありませんよぉ…どこかの花屋の娘さんじゃないんですから
ちっひ,ｸﾝｶｰｸﾝｶｰ、ｼﾌﾞﾜﾝｺｰ
まゆ,変化…と言われても、普段どおりのＰさんのまゆのままですよぉ…？。…あ、でもしいて言うなら…
Ｐ,言うなら？
まゆ,何だか胸が苦しいような…あぁ、でもそれってＰさんがまゆの目の前にいるからですかねぇ…？
Ｐ,え？俺って底に立っているだけでまゆの動悸息切れの原因？
まゆ,もう、分かっててそういう意地悪を言うんですねぇ…うふ、でもそういうお茶目なところも…
Ｐ,いてっ
ちっひ,ﾊｼﾞｹﾄﾝﾀﾞｰ
まゆ,…はい？
Ｐ,何か飛んできたぞ……何だこれ、ボタン？。まゆ、ボタンが飛んだ、け……ど…
まゆ,……え？
ちっひ,ｵｲｶﾜﾎﾞｸｼﾞｮｳｰ
まゆ,えっ、えっ？な、なんですかっ、なんですかぁ？
Ｐ,なるほど…まゆに光線当てると一部分及川化
まゆ,な、何を撮ってるんですかぁ…！
ちっひ,ﾀｶｸｳﾚﾙｾﾞｰ
まゆ,と、撮らないでくださいよぉ…流石にＰさん相手でも、これは恥ずかしすぎますぅ…
Ｐ,大丈夫、綺麗だよまゆ。さぁ…その手をゆっくり離してみようか
まゆ,いかがわしい映像のインタビューみたいなこと言わないでくださいよぉ…せ、せめてお部屋で、２人きりで…
Ｐ,いやいや、それはマズい。アイドルに手をださないのがプロデューサーのルールだろう
まゆ,写メを撮るのもアウトだと思いますよぉ…
Ｐ,動画だよ
まゆ,どっちでもいいですよぉ！？
ちっひ,ﾑｰﾃﾞｨｰｽﾞｰ、TMAｰ
まゆ,あ、あのＰさん…？お部屋でしたら、まゆは何でもしますよ…？だから、お願いですから…
Ｐ,…
まゆ,Ｐさぁん…
Ｐ,すまん、悪ノリしすぎた
まゆ,…あっ
Ｐ,なかなか、こんなまゆのリアクションなんて見られないからな。つい調子に乗っちまった、ごめんな
まゆ,い、いいえ…いいんです
ちっひ,ﾁｮﾛｽｷﾞｰ、ﾁｮﾛｲﾎﾟﾝｺﾂｰ
まゆ,あ、あのＰさん…？こ、このまま、上着を少しお借りしてていいですかぁ…？
Ｐ,え？嗅ぐのか？
まゆ,まゆはクンカーじゃあないですよぉ…どこぞの３代目シンデレラガール様じゃあないんですからぁ………ｸﾝｸﾝ
ちっひ,ﾌｰﾝ､ｱﾝﾀｶﾞﾜﾀｼﾉｶｲﾇｼｻﾏｰ
まゆ,で、出来れば寮のお部屋までお借りしていきたいんですけど…駄目ですかぁ？
Ｐ,…ジップロックに入れて保存したりしないよな
まゆ,ポンコツクンカー犬じゃないですってばぁ…
ちっひ,ﾅﾏﾊﾑﾒﾛｰﾝ、ﾀﾍﾞﾀｲ
まゆ,えっと、その…、こんな格好ですから…
Ｐ,…ああ、それもそうだ。悪い、気が利かなくて
まゆ,いえ、いいんですよぉ……？。……
Ｐ,…え、何？今の音
まゆ,……れました
Ｐ,はい？
まゆ,…ブラのホック、千切れました…
Ｐ,…。…
まゆ,だから撮らないでくださいよぉ…！
Ｐ,へくちっ！。う～…、事務所の中とは言え、そろそろこの時期は上着がないと肌寒いな…
ちっひ,ﾌﾄｺﾛﾓｻﾑｲｾﾞｰ
Ｐ,まゆに上着を貸したら真っ赤な顔で慌てて帰って行った。…あんなまゆ滅多に見られないので正直ムラッとしました。まあ、埼玉県民は紳士なので手を出したりはしませんよ？
ちっひ,ｻｲﾀﾏｰ、ﾜﾝﾊﾟﾝｰ
Ｐ,…お、そろそろ残量もなくなりそうだ。ようやく終わりが見えてきたぞ
楓,そろそろ名古屋に到着ですか？
Ｐ,それは終わりじゃなくて尾張……こんにちは楓さん
楓,はいこんにちは。…上着どうしたんですか？
Ｐ,只今レンタル中です
楓,上着が無いとうわ、Ｐへぴちっ！
Ｐ,う～…、すいません。流石に寒いですね
楓,…くすん
ちっひ,ﾎﾞｹｺﾞﾛｼｰ
楓,休憩室、暖房効いてますからどうぞ？
Ｐ,ああ、気を使わせてしまってすいません…
楓,いえいえ、ちょうど私も一休みしようと思っていたところですから。暖房でひーとり暖まろうとしていました…ﾝﾌｯ
Ｐ,３２点
楓,っ！
ちっひ,25ｻｲｼﾞｰ、sﾚｱﾎｳｼｭｳｰ
Ｐ,う゛あ゛～…暖けぇ…
ちっひ,ｶｷｰﾝ
楓,何か暖かいもの飲みます？
Ｐ,あ、どうもありがとうございます。…その手に持っている一升瓶は使いませんよね？
楓,熱燗は、あっかんですか？
Ｐ,ダブルの意味でアウトです
楓,むぅー
ちっひ,ｽﾄﾗｲｸﾌﾘｰﾀﾞﾑｰ
楓,あ、プロデューサーってお砂糖幾ついれるんでしたっあわわわわわわわわわわわわわわわわわわわわわわわわわわ。あやややややややややややややややややややややややややややややや
ちっひ,ｳｯﾃﾙｰﾖ
Ｐ,…あ、いつの間に
楓,ふにゃあ…。うーん…、何ですか、今の…
Ｐ,すいません、晶葉特性ダジャレ向上光線銃
楓,ビームをくらって、くらくらします…
Ｐ,おぅ、全然余裕じゃないっスか
楓,…アイドルに不意打ちするなんて酷いです。罰として今夜付き合ってください
Ｐ,え？いや今夜は…
楓,この前言ってたお店でいいです。私、明日はオフですから
Ｐ,俺は思い切り明日も明後日も仕事なんですけど…。あ、あの楓さん？晩酌は今度付き合いますから…。いきなり撃ったのも謝りますから
楓,やっ！
Ｐ,えぇ～…
ちっひ,ﾀｶｶﾞｷﾁｬﾝ25ｻｲｼﾞｰ
楓,プロデューサーは、お仕事とお酒どっちが大事なんですか！
Ｐ,１００パー仕事ですよ！？
楓,っ！？！？
Ｐ,めっちゃショック受けてますけど俺どんなイメージなんですか！
ちっひ,ｻｹｰ､ｽﾀﾄﾞﾘﾉﾒﾖｰ
楓,駄目ですっ！プロデューサーは今夜私と飲みにいくんです！
Ｐ,いやだから今夜は無理ですってば痛い痛いポカポカパンチしないでくださいネクタイ引っ張らないでください
楓,う～～っ、おーさーけー！ぷーろーでゅぅーさぁーっ！
Ｐ,痛い痛い。だから叩かないで引っかかないで噛み付かないで…あっコラ！指を咥えない！
楓,うじゅぅぅ～…
Ｐ,志乃さんや礼子さんとかいるでしょう？別に俺じゃなくても…ってあだだだだ
楓,ううぅぅ～…
Ｐ,やめて噛まないで指無くなっちゃいます
楓,私は、プロデューサーと行きたいんですっ！
Ｐ,だから今夜は無理ですってば！後日予定空けますから…
楓,やーっ！
Ｐ,だーかーらー指を咥えないで！
ちっひ,ﾌﾘｰﾀﾞﾑｰ、ｽﾄﾗｲｸﾌﾘｰﾀﾞﾑｰ
楓,むぅぅぅ～…
Ｐ,…っ！噛むなとは言ったけど、だからって舐めないで！しゃぶらないで！
楓,んっ…、ちゅ……じゃあ、行ってくれますか…？
Ｐ,無理どす
楓,やーっ
ちっひ,ｺﾉｴｲｿﾞｳﾊｰ、5000ﾓﾊﾞｺｲﾝｶﾗｰ
楓,んっ、ちゅっ…んむ、ちゅっ、ぴちゃっ…れる、んん…。…んぅ？
Ｐ,…駄目ですってば
楓,…ぷぅ
ちっひ,ﾐﾀｹﾘｬｶｷﾝｼﾛｰ
楓,…んっ、ふぅ、あむ…ん、んんっ…
Ｐ,～～～っ！！だ、駄目なものは駄目ですっ！
楓,…あっ。むぅぅ～…どうしてそんな意地悪ばっか言うんですか…。意地悪ばっかり言う悪いプロデューサーなんか…こうですっ
Ｐ,うおっ！？
楓,んふふ…素直に今夜付き合ってくれると言うなら今のうちですよ…？
ちっひ,ﾊﾞｯﾁﾘﾐﾛｰ
Ｐ,か、楓さん…？今夜急には流石に都合がつきませんから、だから後日、後日絶対予定を空けますから！付き合いますから…！
楓,だーめっ
Ｐ,！？！？
楓,んふっ…嫌って言い続ける悪いプロデューサーなんか、いやーを噛んであげます…っ。ん～…っ♪あむっ、はむっ…
ちっひ,ｼｮｰﾀｲﾑﾀﾞｰ
光,へっぷち！！。うーん…どこかで助けを求める声が聞こえたような…
麗奈,そう、アタシは取り合えずタオルを求めたいんだけど
Ｐ,うぅ…、もうお嫁にいけない…。結局今夜付き合います
ちっひ,ﾍﾟﾛﾍﾟﾛｰ､ﾓｸﾞﾓｸﾞｰ
Ｐ,…誰かに残業押し付けないと…
凛,何を押し付けるって？
Ｐ,うわぁ！だからいきなり背後に立つな！
ちっひ,ｸﾝｶｰｸﾝｶｰ!
凛,そんな驚かなくてもいいじゃない。…どうしたの、なんかボロボロだけど
Ｐ,…色々あったんだよ、色々…
凛,ふーん、まあ、別になんでもいいけど
Ｐ,凛はレッスン帰りか？毎日頑張ってくれてるなぁ
凛,…当たり前のことをやってるだけでしょ？子ども扱いしないの
ちっひ,ｼｯﾎﾟﾌﾙﾅﾖｰ､ﾒｽｲﾇｰ
Ｐ,あ、すまんすまん。何か凛は撫でたくなるんだよな…何でだ？
凛,知らないよ…。あと、人によってはそういうのセクハラなんだから気をつけてよ？。……
Ｐ,…凛？
凛,…っ！。…え、何？
Ｐ,いや、何身構えてんの？…ってかソワソワしてるけど、どうした
ちっひ,ﾊｽﾊｽｼﾀｲﾉｶｰ
凛,そ、そんな事ないよ。気のせいじゃないの？
Ｐ,そうか？まあ、ならいいんだけど
凛,…
Ｐ,さてと…これからどうしたものか…
凛,…
Ｐ,…凛？
凛,…っ！？
Ｐ,だからどうして身構える。どうしたんだよ、何か俺に用か？
ちっひ,ｶｷﾝｼﾀｲﾉｶｰ
凛,…ないの？
Ｐ,え？
凛,どうして私のことは撃たないの！？
Ｐ,
凛,他の娘みたいに思い切り撃てばいいじゃない。バリバリビリビリさせればいいじゃない！。なのにこんな隙だらけのシンデレラガールに何もしないなんてプロデューサー、どうしちゃったのさ！
Ｐ,どうしちゃったのさ、は俺がお前にかけたい言葉なのですが…。…え？凛ってこの銃のこと知ってるのか？
凛,知ってるも何も、見てたからね
Ｐ,…いつから？
凛,プロデューサーがそれを拾ったところから、かな
Ｐ,最初っからじゃねーか！
ちっひ,ｶｷﾝｼﾏｾﾝｶｰ、ｲﾏﾅﾗ1ﾜﾘﾏｼﾃﾞｽﾖｰ
凛,ほらほら、遠慮なく撃ちなよ！それで晴みたいなムチムチにするなりまゆみたいなダプンダプンにするなりケモ耳生やさせたり発情させたりハムハムさせればいいんだよ！
Ｐ,お前それ全部自分がやりたいだけだろ。アホになったり縮んだりするかもしれないんだぞ？
凛,プロデューサーをハムハムできる可能性があるなら、私はそれに賭けてみるよ
Ｐ,うわあ、仕事でもなかなか見せない良い顔をこんな状況で見せられたよ…どんな顔すればいいんだよプロデューサーとしては
ちっひ,ﾜﾗｴﾊﾞｲｲﾄｵﾓｳﾖ
Ｐ,ハハッ(裏声)
凛,さあ、プロデューサー！思い切り撃ち抜いて！
Ｐ,誤解を招くからそんな大声で言うな。…まあ、使い切らないといけないから撃つけどさぁ…
凛,さあさあ、ハリーハリー！。ふーん、これがプロデューサーのビーム？悪くないかななななななななななななななななななななななな
ちっひ,ｷﾚｲﾅﾊﾅﾋﾞﾃﾞｽﾖｰ
Ｐ,さて、凛には一体どんな効果が………んっ？
凛,ﾈﾊﾞｾｯ!
Ｐ,うぉっ！？。またビックリした…いきなり爆発したよ、銃も凛も…
凛,きゅう…
Ｐ,どうやらエネルギー全部使い切ったみたいだな…。よかった、ようやく終わった…。…一時はどうなることかと思ったけど、これといった騒ぎにもならずに済んで良かった…
美穂,
晴,
幸子,
優,あっ、プロデューサー。昨日は大変だったみたいだねぇ
夏樹,まったくだぜ…
Ｐ,おう、お疲れ様二人とも
優,私は特に何の被害も無かったけど。ねぇ？アッキー☆
アッキー,飼い主を守るのが飼い犬の指名ではないのか
夏樹,アタシはあの後だりーと約束してたから大変だったんだからな？
Ｐ,本当に悪かった…
優,まあ、おかげで私はアッキーとお喋り出来たんだけどねぇ～♪
アッキー,みみのうらをみせろ
夏樹,ったく…二度とゴメンだからな、勘弁してくれよ？
楓,銃を撃つのは、重々気をつけて…んふっ
Ｐ,…４３点です。あと肩に顎を乗せないでください
楓,えー…
Ｐ,夕べ嫌って言うほど付き合ったでしょう…ビームの効果が切れても結局飲みに連れていかれたし…
楓,だってプロデューサーとお酒を飲みに行く機会なんて、なかなか作れないじゃないですか
Ｐ,やめてくださいお願いしますから。昨日のアレはワガママじゃなくて脅迫ですからね。ほら、もう撮影の時間でしょう？都合が合えばまたお酒ぐらい付き合いますから
楓,…はーい。あ、そうそう。まゆちゃん今日はお休みするそうですよ？何でも風邪を引いちゃったとか…
Ｐ,それはそれは…、後で見舞いにいかないと
楓,それじゃあ、いってきますね？
Ｐ,はい、いってらっしゃい。今日も頑張ってくださいね
楓,…っ
Ｐ,…っ！？
楓,んふっ…ご馳走様ですっ♪。お酒、約束ですからね？
Ｐ,…。…何か目覚めさせちゃったような…。ま、クヨクヨ考えても仕方ない。仕事仕事。…。…あ、そこのハンコ取ってもらえます？
ちっひ,ｶｷｰﾝ
思いついたモノを深夜のテンションで殴り書きするとコレが出来上がります。翌朝読み直すと布団にもぐって,ｳﾜｧｰ
