ちょっとアレなＰ,以降Ｐ表記
美波,あ、ちょっと待っててね。汗だくになっちゃったからちょっと着替えるから
Ｐアナスタシア,コーホー
美波,ええっと…替えのシャツどこだっけ…
Ｐアナスタシア,よし、何とか乗り切ったぞ。ぶっちゃけバレても何の問題もないんだけどね
美波,今アーニャちゃんしかいないし、ちょっとはしたないけど平気だよね？
Ｐアナスタシア,バレたら大問題になりやがりました
美波,？
Ｐアナスタシア,落ち着けＰ、ここで下手に騒いだり狼狽えたりする方が怪しまれる…。心を静めろ、明鏡止水だ、フォースを感じるのだ…
美波,どうしたの、目を瞑ったりして
Ｐアナスタシア,わふんっ！
美波,きゃっ、ビックリしたぁ…
Ｐアナスタシア,ビックリはこっちですよ！いつまで下着姿でいるんですか！
美波,えっ？ちょっと暑いから…
Ｐアナスタシア,それは初代様の持ちネタですよ！これだから歩くゼクロスとか風評被害が広まるんですよミナミ！
美波,わ、私パーフェクトサイボーグの忍者ライダーじゃないよ！？
Ｐアナスタシア,いいからさっさと着替えなさい！。埼玉市民がヒヒイロカネ制の理性があるとしても限度があるんだぞ！？
美波,えっ？
Ｐアナスタシア,…。…あ、やべ
美波,…。…ふぅ。……プロデューサーさん？
Ｐアナスタシア,…はい、プロデューサーです
美波,ちょっと、お話しましょうか
Ｐアナスタシア,アワワ…
Ｐ,かくかくしかじか
美波,みんみんみなみん
Ｐ,と、言う訳でございます
美波,また晶葉ちゃんシリーズですか…安易に便利なネタとして乱用しすぎですよ？
Ｐ,耳から血が出そうなぐらい痛いです
美波,まぁ、さっきの事は私にも非がありますし、今回だけは大目に見ます
Ｐ,さっきの事って？
美波,言わせないでください！わかってて言ってますよね！？
Ｐ,ごめんなさい。埼玉銘菓五家宝あげるから許してください
美波,何でそんなものを常備しているんですか。もう…あんまり人の事からかったり意地悪ばかりしているといつか痛い目にあいますよ？
Ｐ,うん、実際時々痛い目にはあってます。あ、そうだみなみん、俺に何か用事があるんじゃなかったっけ？
美波,みなみんって……いえ、この前の撮影の事で
Ｐ,やはりあの例のプール
美波,そういう水着を着ないようにプロデューサーさんが助けてくださった事です。スタッフさんから聞きましたよ
Ｐ,なんだ、そんな事か。当たり前のことしただけだよ、自分のアイドルにそんなイメージビデオみたいな真似させられるかい。まったく、うちの事務所のプロデューサーは俺以外ハゲだのホモだのロリコンだのろくでもない奴ばっかりで困るよな
美波,多分他のプロデューサーさん達もお前には言われたくない
Ｐ,美波はエロそうなだけでエロい訳じゃないのにな。みんなそこのところをちゃんと分かっていない。けしからん
美波,その発言も十分本人にとってはけしからんですよ
Ｐ,クールＰに至っては水着というよりただの糸だったもんな
美波,流石にビックリしてプールに突き落としちゃいました…
Ｐ,構わんよ。アイツも美波の出汁が出たプールで溺れて本望だろうし
※美波は,まじかる☆ラクロスみんみんミナミン
Ｐ,今更ながらコレ、無駄に混乱と事件を起こすだけのアイテムなんじゃね？。そもそもアイドルに変身してどんなメリットがあるんだよ…そりゃファンの手にでも落ちたら大惨事だけど。よし、晶葉に返しにいこう。これ以上は無益なトラブルを引き起こすだけだ。おーい、あきえもーん
晶葉,お、もう戻ってきたのか助手。そしてその呼び方はやめてくれ
Ｐ,どら焼き買ってきたけど食べるか？あきえもん
晶葉,だからやめてくれ。…食べるけども
Ｐ,ほれ、もう返すよこのディケイドライ
晶葉,アイドル変身カード＆ベルトだな。もういいのか？
Ｐ,最初は面白そうだと思ったけど使い道がねぇや
晶葉,ふむ…使いようによっては色々とやりたい放題出来ると思うが
Ｐ,見た目だけ変身出来ても結局人間っていうのは大事なのは中身だからな
晶葉,ほう、珍しく良い事を言うじゃあないか
Ｐ,それにアイドルの姿だと下手にからかったり出来ない
晶葉,９割そちらが本音だろ
Ｐ,それにアイドル達もオッサンが自分の姿に変身するのは良い気分じゃないだろうしな
晶葉,それは人それぞれだとは思うが…
Ｐ,ほら、さっきから時子から着信とメールがすんげぇんだわ。留守電聞いてみる？
晶葉,ヒィッ！
Ｐ,な？この声アラームに設定したら一生寝坊しないと思うわ。そして翌日だよおはようございます
ちひろ,おはようございます。随分個性的な挨拶ですね
Ｐ,ハハッ、エイプリルフールに歌って踊ったアシスタントに個性的と言われるとは
ちひろ,レアメダルにしますよ？
Ｐ,やめて。せめて人のまま終わらせて？
ちひろ,それは２割冗談として、昨日何かあったんですか？
Ｐ,昨日？ああ、チヒロイミュードがステージに立って歌って踊って課金請求していた頃ですか
ちひろ,前々から聞き語ったですけど、プロデューサーさんって私のこと嫌いでしょ
Ｐ,まさか、そんなことないわけないでしょ。昨日、昨日って何かあったっけ…
アナスタシア,おはようございます、ミナミ
美波,おはようアーニャちゃん。…
アナスタシア？,ミナミ？
美波,アーナャちゃん、アーニャちゃんは本物だよね？
アナスタシア,？？？
乃々,あ、あの…、もりくぼに何かご用件でしょうか…？
みく,…ねぇありすチャン。この乃々チャンは本物乃々チャンだと思う？
ありす,橘です。そうですね…一見本物の乃々さん。通称ほんもののに見えますが
乃々,な、何ですかその斬新な呼び名…
みく,あれにゃ。本物ならきっとブレイクダンスが出来るはずにゃ
ありす,そうですね。本物ならそこからムーンサルト→ロンダート→昇龍拳まで出来る筈ですしね
乃々,ど、どういうことだってばですけど…！？
Ｐ,おぅふっ、昨日のアレの影響が…
ちひろ,やっぱり何かあったんじゃないですかやだーこのプロデューサー
Ｐ,いかん、変身ベルトのせいで被害者達が疑心暗鬼になっておる…
ちひろ,だから説明してくださいよ
まゆ,おはようございますＰさん。今日はＰさんのままなんですねぇ
幸子,おはようございますっ。カワイイボクが来たというのに皆さんなんだか混乱してますね！
Ｐ,おうまゆ、幸子。昨日のアレのせいでこんな二次被害が出るとは思わなんだ
幸子,そりゃそうでしょうよ。さっき時子さんと擦れ違いましたけど滅茶苦茶機嫌が悪そうでしたよ？
Ｐ,それは割といつも通りだと思うけど
まゆ,そう言えば、さっき凛ちゃんが天井に突き刺さった未央ちゃんを引っこ抜こうと頑張ってましたよぉ？
Ｐ,それもいつも通りな気がするけど。っていうかそんなん見たなら手伝ってあげなさいな
まゆ,まゆ、Ｐさんのお隣でウェディングドレスを着る日が来るまで命を粗末にできませんよぉ
Ｐ,なら今度またブライダルの仕事取ってきてあげよう
幸子,絶対分かってて言ってるでしょ。あ、そう言えばこの混乱の原因になった例のヘンテコベルトは結局どうしたんですか？
Ｐ,んっ？ああ、ちゃんと世のため人のため俺のために有効活用してるぞ？
まゆ,俺のため、って言っちゃうところが残念ですねぇ…でもそういうところが良いんですけど
幸子,まゆさんも十分残念ですよ？それで、有効活用って？
？,プロデューサー、音楽番組の出演を取り付けてきたぞ
Ｐ,おっ、噂をすれば
まゆ,えっ……？
幸子,ぷ、プロデューサーさんがもう１人…？な、なんという悪夢…
Ｐ,流石にそれは傷つくんですけど
？Ｐ,どうかしたのか
Ｐ,いんや、丁度お前さんの事を話してたところだったからさ。外回り営業お疲れさん。そろそろ元の姿に戻すか
？Ｐ,問題無い。まだ働ける
Ｐ,まぁそう言うなって。十分頑張ってくれたし。また手が足りなくなったら頼んでもいいか？
？Ｐ,わかった。任せておくがいい
まゆ,Ｐさん…？そ、そのやけに頼りがいのありそうなＰさんは一体誰が…？
Ｐ,えっ、分からないか？みんなもよく知ってる人じゃないか
幸子,姿形がまんまプロデューサーさんですから全然わかりませんよ！
まゆ,でも、確かにこの口調はどこかで聞いた事があるような……
Ｐ,はい時間切れ。それでは正解です。カード抜くぞー
？Ｐ,抜いてから言うな
アッキー,ワフッ
幸子,人じゃないし！！
まゆ,猫じゃなくて犬の手借りてます！？
Ｐ,いやあ、冗談で試してみたらすんげぇ有能でさぁ。臨時社員みたいな扱い出来ないか常務に相談しちまったよ。まあ、疲れているのか？
アッキー,人間の為に働くのが飼い犬の使命ではないのか
幸子,だからって社会人として普通に働いてどうするんですか
芳乃,おしまいなのですー
Ｐ,芳乃、デスクの下から出てきて？
