？？,もふもふとは、何か？。それは、柔らかいこと。手触りがいいこと。癒されること。お布団、クッション、はたまたかわいい動物たちが持つ癒しの特性……。それならば、アイドルだって負けてないっ！！。もふもふクイーン決定戦とは、事務所に所属するアイドルの誰が一番もふもふなのかを決める戦いだぁーっ！！
Ｐ,お前ら俺の両足をどういう空間だと思ってんの！？
？,ちょっと待ったー
Ｐ,ハッ！？このこいかぜＭＶのイントロみたいにドアを開く姿は……！
楓,大会まつり
美穂,楓さん！？
楓,もう、みんな。私を置いてこんなに重要……おもしろ……阿呆……楽しいイベントを催すなんて、もぉよしてくださいね？
一同,はーい
Ｐ,その途中まで建前用意しようとしてあっさり諦めるスタンス嫌いじゃないですよ
未央,ということは、かえねーさまも……？
楓,はい。高垣楓、エントリーしまーす♪
Ｐ,いやもう結果出てますから！優勝決まってるし！
楓,……。私の髪も結構もふもふだと思うのですが
Ｐ,だから後の祭りなんですって
楓,そんな……。では、もう不毛なアピールでしたね……毛だけに………………
Ｐ,ああっもうわかりましたよやりますよ！マジで落ち込むんだもんなこの人！
楓,それでは失礼しますね
Ｐ,ええ。…………楓さん
楓,はい？
Ｐ,後頭部しか見えないっす
楓,あら、そうですか？私からはなかなかいい景色なんですけど
未央,おおっと、ここでモデル出身の高身長が仇となったか！？
藍子,楓さんは全然気にしてませんね。流石ですっ
楓,なるほどー……。プロデューサーはこういう視点でお仕事をなさっていたんですね右を見る
Ｐ,おふっ
楓,あ、これあの時の写真。デスクに飾っていてくれてたんですね、嬉しいです左を見る
Ｐ,へぶっ。た、高さ的に、髪先がちょうど鼻をくすぐって……。……へっぷしっ
楓,あら？
Ｐ,すいません、唾飛ばないようにしま……ぶぇくしょっ！
楓,あ、私の髪のせいなんですね。なるほど。…………。♪左右左右左右左右左右左右左右
Ｐ,グワーッ！？へっぶし！！ぶへっ！！ぼはっ！！
楓,楽しい……♪
未央,エキシビジョンマーッチ！ポジパのもふもふは茜ちんだけにあらず！！
Ｐ,おっなんだなんだ
未央,気にならないかねプロデューサー君？私達の秘密兵器が誰なのか……
Ｐ,藍子？
未央,即バレ！？
Ｐ,いやまぁポジパっていったら三人だし
藍子,あはは……。私はいいって言ったんですけど
未央,いやいや、あーちゃんのポテンシャルを知らないでいるのはもったいないよプロデューサー！。一回審査してみて、ほらほらっ。それに最近またお疲れみたいだしさっ♪
藍子,あの、クッキーを焼いてきたんです。よろしければどうかなって……
Ｐ,二人とも……。い、いかんな最近涙もろくなって……。よしわかった、審査員としてその実力を測らせてもらおうじゃないか
藍子,はい。では、失礼しますね
志希,たっだいまー。あ、いたいたプロデューサー！はいこれお土産のジンギスカンキャラメル
Ｐ,
志希,あれ？なんか停止してる。まいいや今のうちに補給しとこ～ハスハス～。ｸｶｯフレーメン反応。あっそうだ、ねーねー聞いて聞いて？北海道でおもしろそーな子見つけちゃった！。カクカクシカジカでなかなか学術的興味をそそられる子でね～。で、うちってそういう子結構いるでしょ？
Ｐ,
志希,来る？って聞いたら――――聞いてるのかねーキミー？
Ｐ,
志希,……感染済みかにゃ？
Ｐ,
