・聖グロ戦をせずに仲間集めしていたというif,劇場版のネタバレを多少含む
しほ,…………。認めるしかないようね。良い試合だったわ。みほ。それがあなたの戦車道だというのなら突き進んでみせなさい。まほは……説教ね
ダージリン,今年はまほさんにやられてしまったわ
カチューシャ,ダージリン、あなた弱くなったんじゃない？
ダージリン,油断しなかったくせにみほさんに負けたあなたに言われたくないわ
ケイ,まあまあ。みほはかな～り手ごわかったから仕方ないわ！
アンチョビ,ああ、今年は大洗が優勝すると思うぞ？
ミカ,勝負の行方は雲よりも読めないものさ
西,ええ。どちらが勝ってもおかしくありません
愛里寿,私が稽古したんだから、みほが負けるはずない
審判,それでは高校戦車道大会・決勝戦を始めます。両者、礼！
みほ・まほ,よろしくお願いします
みほ,それではみなさん、頑張りましょう。黒森峰は強豪ですがここまで来れたのは私たちの実力です！。勝って、優勝しましょう！。パンツァーフォー！
